time,Utah,pts.away,score,pts.home,Brooklyn
8:33.0,J. Withey misses 2-pt shot from 13 ft (block by A. Bargnani),,28-30,,
8:32.0,Offensive rebound by Team,,28-30,,
8:32.0,Turnover by Team (shot clock),,28-30,,
8:32.0,Official timeout,,28-30,,
8:32.0,T. Lyles enters the game for J. Withey,,28-30,,
8:32.0,R. Gobert enters the game for T. Booker,,28-30,,
8:17.0,,,28-30,,T. Robinson misses 2-pt shot from 10 ft
8:16.0,Defensive rebound by J. Ingles,,28-30,,
7:59.0,R. Neto makes 2-pt shot from 3 ft,2,30-30,,
7:51.0,Personal foul by R. Neto (drawn by S. Larkin),,30-30,,
7:37.0,,,30-30,,B. Bogdanovic misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by R. Hood,,30-30,,
7:29.0,R. Hood makes 2-pt shot from 1 ft,2,32-30,,
7:15.0,,,32-30,,Turnover by M. Brown (bad pass)
7:15.0,,,32-30,,J. Johnson enters the game for B. Bogdanovic
7:02.0,Shooting foul by A. Bargnani (drawn by T. Lyles),,32-30,,
7:02.0,T. Lyles misses free throw 1 of 2,,32-30,,
7:02.0,Offensive rebound by Team,,32-30,,
7:02.0,,,32-30,,W. Ellington enters the game for M. Brown
7:02.0,G. Hayward enters the game for J. Ingles,,32-30,,
7:02.0,T. Lyles makes free throw 2 of 2,1,33-30,,
6:40.0,,,33-30,,A. Bargnani misses 2-pt shot from 18 ft
6:39.0,Defensive rebound by R. Neto,,33-30,,
6:25.0,R. Hood misses 3-pt shot from 24 ft,,33-30,,
6:24.0,Offensive rebound by Team,,33-30,,
6:24.0,,,33-30,,B. Lopez enters the game for T. Robinson
6:08.0,T. Lyles misses 2-pt shot from 10 ft,,33-30,,
6:07.0,,,33-30,,Defensive rebound by W. Ellington
5:56.0,,,33-30,,B. Lopez misses 2-pt shot from 19 ft
5:55.0,Defensive rebound by R. Hood,,33-30,,
5:47.0,R. Hood makes 2-pt shot from 2 ft,2,35-30,,
5:47.0,,,35-30,,Brooklyn full timeout
5:47.0,,,35-30,,T. Young enters the game for A. Bargnani
5:34.0,,,35-30,,Turnover by J. Johnson (bad pass)
5:24.0,,,35-30,,Personal foul by J. Johnson (drawn by R. Gobert)
5:24.0,C. Johnson enters the game for R. Hood,,35-30,,
5:19.0,Turnover by G. Hayward (bad pass; steal by S. Larkin),,35-30,,
5:15.0,,,35-30,,Shooting foul by C. Johnson (drawn by W. Ellington)
5:15.0,,,35-31,1,W. Ellington makes free throw 1 of 2
5:15.0,,,35-32,1,W. Ellington makes free throw 2 of 2
4:56.0,T. Lyles makes 2-pt shot from 8 ft (assist by G. Hayward),2,37-32,,
4:33.0,,,37-32,,W. Ellington misses 2-pt shot from 20 ft
4:32.0,Defensive rebound by Team,,37-32,,
4:32.0,,,37-32,,Loose ball foul by B. Lopez (drawn by G. Hayward)
4:32.0,G. Hayward makes free throw 1 of 2,1,38-32,,
4:32.0,G. Hayward makes free throw 2 of 2,1,39-32,,
4:25.0,Personal foul by R. Neto (drawn by S. Larkin),,39-32,,
4:25.0,,,39-32,,D. Sloan enters the game for S. Larkin
4:25.0,R. Hood enters the game for R. Neto,,39-32,,
4:11.0,,,39-32,,Turnover by D. Sloan (bad pass; steal by T. Lyles)
3:51.0,R. Gobert makes 2-pt shot at rim (assist by C. Johnson),2,41-32,,
3:50.0,,,41-32,,Brooklyn full timeout
3:33.0,,,41-32,,T. Young misses 2-pt shot from 4 ft (block by R. Gobert)
3:31.0,Defensive rebound by G. Hayward,,41-32,,
3:13.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,43-32,,
2:52.0,,,43-34,2,B. Lopez makes 2-pt shot from 4 ft
2:28.0,R. Hood misses 2-pt shot from 17 ft,,43-34,,
2:27.0,,,43-34,,Defensive rebound by T. Young
2:15.0,,,43-36,2,B. Lopez makes 2-pt shot from 3 ft
1:54.0,G. Hayward misses 3-pt shot from 24 ft,,43-36,,
1:53.0,,,43-36,,Defensive rebound by B. Lopez
1:42.0,Utah full timeout,,43-36,,
1:36.0,,,43-38,2,W. Ellington makes 2-pt shot from 10 ft (assist by J. Johnson)
1:18.0,T. Lyles misses 2-pt shot from 20 ft,,43-38,,
1:17.0,,,43-38,,Defensive rebound by J. Johnson
1:10.0,Personal foul by R. Gobert (drawn by B. Lopez),,43-38,,
1:10.0,T. Booker enters the game for R. Gobert,,43-38,,
0:58.0,,,43-38,,W. Ellington misses 2-pt shot from 15 ft
0:56.0,,,43-38,,Offensive rebound by D. Sloan
0:46.0,,,43-38,,T. Young misses 2-pt shot from 9 ft
0:45.0,Defensive rebound by G. Hayward,,43-38,,
0:20.0,G. Hayward makes 3-pt shot from 23 ft (assist by C. Johnson),3,46-38,,
0:06.0,,,46-38,,Shooting foul by T. Booker (drawn by D. Sloan)
0:06.0,,,46-39,1,D. Sloan makes free throw 1 of 2
0:06.0,T. Burke enters the game for C. Johnson,,46-39,,
0:06.0,,,46-39,,T. Robinson enters the game for B. Lopez
0:06.0,,,46-39,,M. Brown enters the game for J. Johnson
0:06.0,,,46-40,1,D. Sloan makes free throw 2 of 2
0:01.0,T. Booker makes 2-pt shot at rim (assist by G. Hayward),2,48-40,,
0:00.0,,,48-40,,T. Young misses 3-pt shot from 53 ft
0:00.0,,,48-40,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,R. Gobert misses 2-pt shot from 2 ft,,48-40,,
11:45.0,Offensive rebound by R. Gobert,,48-40,,
11:44.0,R. Gobert makes 2-pt shot at rim,2,50-40,,
11:26.0,,,50-40,,Offensive foul by B. Lopez
11:26.0,,,50-40,,Turnover by B. Lopez (offensive foul)
11:05.0,T. Lyles misses 2-pt shot from 17 ft,,50-40,,
11:04.0,,,50-40,,Defensive rebound by D. Sloan
10:46.0,,,50-42,2,T. Young makes 2-pt shot from 3 ft
10:31.0,G. Hayward misses 2-pt shot from 11 ft,,50-42,,
10:30.0,,,50-42,,Defensive rebound by J. Johnson
10:20.0,,,50-42,,Turnover by B. Lopez (bad pass; steal by G. Hayward)
10:15.0,R. Hood makes 2-pt shot from 1 ft (assist by G. Hayward),2,52-42,,
9:59.0,,,52-42,,T. Young misses 2-pt shot from 9 ft
9:57.0,Defensive rebound by T. Lyles,,52-42,,
9:56.0,Turnover by T. Lyles (bad pass; steal by B. Lopez),,52-42,,
9:39.0,,,52-42,,B. Lopez misses 2-pt shot from 3 ft
9:37.0,Defensive rebound by R. Gobert,,52-42,,
9:24.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,54-42,,
9:24.0,,,54-42,,Brooklyn full timeout
9:06.0,,,54-42,,J. Johnson misses 2-pt shot from 7 ft
9:05.0,Defensive rebound by T. Lyles,,54-42,,
8:45.0,G. Hayward misses 2-pt shot from 17 ft,,54-42,,
8:43.0,Offensive rebound by R. Gobert,,54-42,,
8:36.0,R. Neto makes 2-pt shot from 15 ft,2,56-42,,
8:22.0,,,56-42,,D. Sloan misses 2-pt shot from 1 ft
8:21.0,,,56-42,,Offensive rebound by B. Lopez
8:20.0,,,56-42,,Turnover by B. Lopez (traveling)
8:20.0,,,56-42,,Violation by Team (delay of game)
8:00.0,R. Hood misses 2-pt shot from 9 ft,,56-42,,
7:59.0,Offensive rebound by T. Lyles,,56-42,,
7:58.0,T. Lyles makes 2-pt shot from 2 ft,2,58-42,,
7:44.0,,,58-44,2,T. Young makes 2-pt shot from 6 ft
7:25.0,,,58-44,,Personal foul by T. Young (drawn by G. Hayward)
7:25.0,,,58-44,,W. Reed enters the game for B. Lopez
7:16.0,T. Lyles makes 3-pt shot from 23 ft (assist by G. Hayward),3,61-44,,
7:01.0,,,61-44,,W. Ellington misses 3-pt shot from 25 ft
7:00.0,,,61-44,,Offensive rebound by D. Sloan
6:45.0,,,61-46,2,T. Young makes 2-pt shot from 1 ft (assist by J. Johnson)
6:38.0,T. Lyles makes 2-pt shot at rim (assist by G. Hayward),2,63-46,,
6:20.0,,,63-48,2,J. Johnson makes 2-pt shot from 11 ft (assist by D. Sloan)
5:54.0,R. Neto makes 2-pt shot from 20 ft,2,65-48,,
5:39.0,,,65-50,2,W. Reed makes 2-pt shot at rim (assist by W. Ellington)
5:19.0,G. Hayward makes 2-pt shot from 5 ft (assist by R. Gobert),2,67-50,,
5:03.0,,,67-50,,W. Reed misses 2-pt shot at rim (block by R. Gobert)
5:02.0,Defensive rebound by R. Gobert,,67-50,,
4:55.0,R. Neto makes 2-pt shot from 1 ft,2,69-50,,
4:48.0,,,69-50,,Brooklyn full timeout
4:48.0,C. Johnson enters the game for R. Hood,,69-50,,
4:48.0,T. Booker enters the game for T. Lyles,,69-50,,
4:37.0,,,69-50,,J. Johnson misses 2-pt shot from 6 ft
4:34.0,Defensive rebound by G. Hayward,,69-50,,
4:23.0,G. Hayward makes 2-pt shot at rim,2,71-50,,
4:11.0,,,71-50,,J. Johnson misses 3-pt shot from 24 ft
4:10.0,Defensive rebound by Team,,71-50,,
4:10.0,,,71-50,,Loose ball foul by W. Reed (drawn by R. Gobert)
4:10.0,J. Withey enters the game for R. Gobert,,71-50,,
4:10.0,,,71-50,,B. Bogdanovic enters the game for J. Johnson
3:57.0,J. Withey makes 2-pt shot at rim (assist by G. Hayward),2,73-50,,
3:41.0,,,73-53,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Sloan)
3:19.0,T. Booker makes 2-pt shot from 2 ft (assist by R. Neto),2,75-53,,
3:01.0,Personal foul by G. Hayward (drawn by T. Young),,75-53,,
3:01.0,,,75-53,,A. Bargnani enters the game for T. Young
3:01.0,,,75-53,,S. Larkin enters the game for D. Sloan
3:01.0,T. Burke enters the game for R. Neto,,75-53,,
2:51.0,,,75-53,,Shooting foul by G. Hayward (drawn by B. Bogdanovic)
2:51.0,Utah full timeout,,75-53,,
2:51.0,,,75-54,1,B. Bogdanovic makes free throw 1 of 2
2:51.0,,,75-55,1,B. Bogdanovic makes free throw 2 of 2
2:32.0,T. Booker makes 3-pt shot from 23 ft (assist by T. Burke),3,78-55,,
2:20.0,,,78-55,,S. Larkin misses 2-pt shot from 5 ft (block by J. Withey)
2:18.0,Defensive rebound by G. Hayward,,78-55,,
2:15.0,G. Hayward makes 2-pt shot at rim,2,80-55,,
1:58.0,,,80-55,,Turnover by S. Larkin (bad pass; steal by C. Johnson)
1:54.0,C. Johnson makes 2-pt shot from 1 ft,2,82-55,,
1:28.0,,,82-55,,B. Bogdanovic misses 2-pt shot at rim
1:26.0,,,82-55,,Offensive rebound by W. Reed
1:25.0,,,82-57,2,W. Reed makes 2-pt shot at rim
1:12.0,Offensive charge foul by J. Withey,,82-57,,
1:12.0,Turnover by J. Withey (offensive foul),,82-57,,
1:12.0,R. Hood enters the game for G. Hayward,,82-57,,
1:12.0,,,82-57,,M. Brown enters the game for W. Ellington
0:49.0,,,82-57,,S. Larkin misses 3-pt shot from 22 ft
0:49.0,,,82-57,,Offensive rebound by Team
0:49.0,,,82-57,,Turnover by Team (shot clock)
0:33.0,,,82-57,,Personal foul by B. Bogdanovic (drawn by R. Hood)
0:33.0,R. Hood makes free throw 1 of 3,1,83-57,,
0:33.0,R. Hood makes free throw 2 of 3,1,84-57,,
0:33.0,R. Hood makes free throw 3 of 3,1,85-57,,
0:25.0,,,85-57,,B. Bogdanovic misses 3-pt shot from 23 ft
0:23.0,Defensive rebound by T. Burke,,85-57,,
0:01.0,R. Hood misses 2-pt shot from 10 ft,,85-57,,
0:00.0,Offensive rebound by Team,,85-57,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,85-57,,Turnover by B. Bogdanovic (bad pass; steal by C. Johnson)
11:26.0,T. Burke makes 3-pt shot from 24 ft (assist by J. Withey),3,88-57,,
11:05.0,,,88-59,2,A. Bargnani makes 2-pt shot from 15 ft (assist by S. Larkin)
10:48.0,T. Booker makes 2-pt shot from 2 ft (assist by C. Johnson),2,90-59,,
10:24.0,,,90-59,,W. Reed misses 2-pt shot from 5 ft
10:23.0,Defensive rebound by T. Booker,,90-59,,
10:05.0,T. Burke misses 2-pt shot from 15 ft,,90-59,,
10:04.0,,,90-59,,Defensive rebound by A. Bargnani
9:49.0,,,90-61,2,A. Bargnani makes 2-pt shot from 17 ft (assist by S. Larkin)
9:35.0,Turnover by C. Johnson (step out of bounds),,90-61,,
9:35.0,,,90-61,,S. Karasev enters the game for S. Larkin
9:23.0,,,90-63,2,S. Karasev makes 2-pt shot from 2 ft (assist by W. Reed)
9:06.0,T. Burke makes 2-pt shot from 15 ft,2,92-63,,
8:52.0,,,92-65,2,B. Bogdanovic makes 2-pt shot from 17 ft (assist by M. Brown)
8:35.0,Offensive foul by T. Booker,,92-65,,
8:35.0,Turnover by T. Booker (offensive foul),,92-65,,
8:35.0,Official timeout,,92-65,,
8:35.0,J. Ingles enters the game for R. Hood,,92-65,,
8:35.0,G. Hayward enters the game for C. Johnson,,92-65,,
8:35.0,R. Gobert enters the game for J. Withey,,92-65,,
8:18.0,,,92-65,,A. Bargnani misses 2-pt shot from 20 ft
8:16.0,Defensive rebound by T. Burke,,92-65,,
7:53.0,T. Burke misses 3-pt shot from 24 ft,,92-65,,
7:52.0,Offensive rebound by Team,,92-65,,
7:52.0,Turnover by Team (shot clock),,92-65,,
7:40.0,,,92-65,,Turnover by A. Bargnani (bad pass; steal by J. Ingles)
7:26.0,T. Booker makes 2-pt shot at rim (assist by T. Burke),2,94-65,,
7:20.0,,,94-67,2,S. Karasev makes 2-pt shot at rim (assist by M. Brown)
6:57.0,Turnover by G. Hayward (traveling),,94-67,,
6:43.0,,,94-69,2,A. Bargnani makes 2-pt shot from 7 ft (assist by M. Brown)
6:19.0,J. Ingles makes 3-pt shot from 23 ft (assist by G. Hayward),3,97-69,,
6:08.0,Personal foul by T. Burke (drawn by M. Brown),,97-69,,
6:08.0,T. Lyles enters the game for T. Booker,,97-69,,
6:08.0,R. Neto enters the game for T. Burke,,97-69,,
6:08.0,C. Johnson enters the game for G. Hayward,,97-69,,
6:02.0,,,97-72,3,S. Karasev makes 3-pt shot from 25 ft (assist by M. Brown)
5:36.0,T. Lyles misses 2-pt shot from 11 ft,,97-72,,
5:35.0,Offensive rebound by R. Gobert,,97-72,,
5:34.0,R. Gobert misses 2-pt shot from 4 ft,,97-72,,
5:33.0,Offensive rebound by R. Gobert,,97-72,,
5:32.0,R. Gobert misses 2-pt shot from 1 ft (block by M. Brown),,97-72,,
5:31.0,,,97-72,,Defensive rebound by B. Bogdanovic
5:26.0,,,97-72,,Turnover by B. Bogdanovic (bad pass)
5:26.0,,,97-72,,Brooklyn full timeout
5:13.0,Turnover by T. Lyles (bad pass),,97-72,,
4:50.0,,,97-72,,S. Karasev misses 3-pt shot from 23 ft
4:49.0,,,97-72,,Offensive rebound by Team
4:49.0,Loose ball foul by R. Gobert (drawn by W. Reed),,97-72,,
4:49.0,J. Withey enters the game for R. Gobert,,97-72,,
4:41.0,,,97-72,,Shooting foul by J. Withey (drawn by W. Reed)
4:41.0,,,97-72,,W. Reed misses free throw 1 of 2
4:41.0,,,97-72,,Offensive rebound by Team
4:41.0,,,97-73,1,W. Reed makes free throw 2 of 2
4:27.0,J. Withey makes 2-pt shot from 2 ft (assist by J. Ingles),2,99-73,,
4:12.0,,,99-73,,A. Bargnani misses 2-pt shot from 9 ft
4:11.0,Defensive rebound by C. Johnson,,99-73,,
4:11.0,,,99-73,,Personal foul by W. Reed (drawn by C. Johnson)
4:11.0,T. Burke enters the game for R. Neto,,99-73,,
3:56.0,T. Burke makes 2-pt shot from 15 ft,2,101-73,,
3:44.0,,,101-73,,Shooting foul by T. Burke (drawn by M. Brown)
3:44.0,,,101-74,1,M. Brown makes free throw 1 of 2
3:44.0,T. Booker enters the game for T. Lyles,,101-74,,
3:44.0,,,101-75,1,M. Brown makes free throw 2 of 2
3:26.0,Offensive foul by T. Booker,,101-75,,
3:26.0,Turnover by T. Booker (offensive foul),,101-75,,
3:12.0,,,101-77,2,W. Reed makes 2-pt shot from 6 ft (assist by M. Brown)
2:59.0,Utah full timeout,,101-77,,
2:59.0,T. Pleiss enters the game for T. Booker,,101-77,,
2:51.0,T. Pleiss makes 2-pt shot from 18 ft (assist by T. Burke),2,103-77,,
2:26.0,,,103-77,,B. Bogdanovic misses 2-pt shot from 18 ft
2:25.0,Defensive rebound by J. Withey,,103-77,,
2:09.0,J. Ingles misses 3-pt shot from 22 ft,,103-77,,
2:08.0,,,103-77,,Defensive rebound by S. Karasev
2:04.0,,,103-79,2,B. Bogdanovic makes 2-pt shot at rim (assist by S. Karasev)
1:49.0,,,103-79,,Personal foul by M. Brown (drawn by T. Burke)
1:49.0,T. Burke makes free throw 1 of 2,1,104-79,,
1:49.0,J. O'Brien enters the game for C. Johnson,,104-79,,
1:49.0,T. Burke makes free throw 2 of 2,1,105-79,,
1:37.0,,,105-79,,Shooting foul by T. Pleiss (drawn by W. Reed)
1:37.0,,,105-80,1,W. Reed makes free throw 1 of 2
1:37.0,,,105-81,1,W. Reed makes free throw 2 of 2
1:19.0,J. O'Brien misses 2-pt shot from 9 ft,,105-81,,
1:19.0,,,105-81,,Defensive rebound by M. Brown
1:10.0,,,105-81,,Shooting foul by T. Pleiss (drawn by W. Reed)
1:10.0,,,105-81,,W. Reed misses free throw 1 of 2
1:10.0,,,105-81,,Offensive rebound by Team
1:10.0,,,105-82,1,W. Reed makes free throw 2 of 2
0:56.0,T. Burke makes 3-pt shot from 24 ft (assist by J. Ingles),3,108-82,,
0:53.0,,,108-82,,Brooklyn full timeout
0:44.0,,,108-84,2,S. Karasev makes 2-pt shot from 9 ft
0:30.0,T. Pleiss misses 3-pt shot from 23 ft,,108-84,,
0:29.0,,,108-84,,Defensive rebound by M. Brown
0:24.0,Personal foul by J. Ingles (drawn by M. Brown),,108-84,,
0:24.0,,,108-85,1,M. Brown makes free throw 1 of 2
0:24.0,,,108-86,1,M. Brown makes free throw 2 of 2
0:00.0,Turnover by Team (shot clock),,108-86,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
