time,Denver,pts.away,score,pts.home,Milwaukee
8:09.0,K. Faried makes 2-pt shot from 5 ft (assist by D. Gallinari),2,9-6,,
7:58.0,,,9-8,2,G. Monroe makes 2-pt shot from 1 ft (assist by J. Bayless)
7:46.0,E. Mudiay misses 3-pt shot from 27 ft,,9-8,,
7:44.0,Offensive rebound by R. Foye,,9-8,,
7:33.0,N. Jokic makes 2-pt shot from 13 ft (assist by E. Mudiay),2,11-8,,
7:19.0,,,11-8,,G. Monroe misses 2-pt shot from 5 ft (block by N. Jokic)
7:15.0,Defensive rebound by E. Mudiay,,11-8,,
7:08.0,N. Jokic misses 3-pt shot from 27 ft,,11-8,,
7:06.0,,,11-8,,Defensive rebound by G. Antetokounmpo
6:51.0,,,11-8,,G. Antetokounmpo misses 3-pt shot from 27 ft (block by D. Gallinari)
6:48.0,Defensive rebound by D. Gallinari,,11-8,,
6:34.0,D. Gallinari misses 2-pt shot from 19 ft,,11-8,,
6:33.0,,,11-8,,Defensive rebound by J. Bayless
6:29.0,,,11-8,,Shooting foul by E. Mudiay (drawn by J. Bayless)
6:29.0,,,11-9,1,J. Bayless makes free throw 1 of 2
6:29.0,,,11-9,,J. Parker enters the game for G. Antetokounmpo
6:29.0,,,11-10,1,J. Bayless makes free throw 2 of 2
6:19.0,Turnover by E. Mudiay (bad pass; steal by G. Monroe),,11-10,,
6:13.0,,,11-12,2,J. Parker makes 2-pt shot at rim (assist by K. Middleton)
5:54.0,,,11-12,,Personal foul by K. Middleton (drawn by D. Gallinari)
5:54.0,,,11-12,,Milwaukee full timeout
5:54.0,,,11-12,,M. Carter-Williams enters the game for J. Bayless
5:43.0,E. Mudiay misses 2-pt shot from 3 ft (block by J. Parker),,11-12,,
5:42.0,Offensive rebound by R. Foye,,11-12,,
5:42.0,,,11-12,,Personal foul by O. Mayo (drawn by R. Foye)
5:29.0,D. Gallinari misses 2-pt shot from 18 ft,,11-12,,
5:29.0,Offensive rebound by Team,,11-12,,
5:29.0,Turnover by Team (shot clock),,11-12,,
5:16.0,,,11-15,3,K. Middleton makes 3-pt shot from 26 ft (assist by G. Monroe)
5:01.0,Shooting foul by M. Carter-Williams (drawn by E. Mudiay),,11-15,,
5:01.0,E. Mudiay makes free throw 1 of 2,1,12-15,,
5:01.0,E. Mudiay makes free throw 2 of 2,1,13-15,,
4:47.0,,,13-17,2,G. Monroe makes 2-pt shot from 2 ft
4:35.0,Turnover by R. Foye (lost ball; steal by O. Mayo),,13-17,,
4:31.0,,,13-17,,Shooting foul by K. Faried (drawn by J. Parker)
4:31.0,,,13-18,1,J. Parker makes free throw 1 of 2
4:31.0,J. Lauvergne enters the game for N. Jokic,,13-18,,
4:31.0,D. Arthur enters the game for K. Faried,,13-18,,
4:31.0,,,13-19,1,J. Parker makes free throw 2 of 2
4:07.0,Turnover by Team (shot clock),,13-19,,
3:54.0,,,13-19,,Turnover by O. Mayo (bad pass; steal by D. Arthur)
3:45.0,D. Arthur misses 2-pt shot from 14 ft,,13-19,,
3:44.0,Offensive rebound by J. Lauvergne,,13-19,,
3:43.0,J. Nelson enters the game for E. Mudiay,,13-19,,
3:43.0,,,13-19,,J. Henson enters the game for G. Monroe
3:40.0,J. Lauvergne makes 2-pt shot at rim (assist by J. Nelson),2,15-19,,
3:23.0,,,15-22,3,K. Middleton makes 3-pt shot from 24 ft (assist by J. Henson)
3:06.0,J. Nelson makes 2-pt shot from 20 ft,2,17-22,,
2:45.0,,,17-24,2,J. Parker makes 2-pt shot from 6 ft (assist by O. Mayo)
2:29.0,Turnover by R. Foye (bad pass; steal by O. Mayo),,17-24,,
2:26.0,,,17-26,2,J. Parker makes 2-pt shot at rim (assist by M. Carter-Williams)
2:26.0,Denver full timeout,,17-26,,
2:26.0,,,17-26,,J. Bayless enters the game for O. Mayo
2:26.0,W. Barton enters the game for R. Foye,,17-26,,
2:11.0,Turnover by D. Gallinari (traveling),,17-26,,
1:55.0,,,17-26,,J. Henson misses 2-pt shot from 5 ft
1:53.0,Defensive rebound by D. Arthur,,17-26,,
1:43.0,D. Arthur makes 2-pt shot from 2 ft (assist by D. Gallinari),2,19-26,,
1:32.0,,,19-26,,K. Middleton misses 3-pt shot from 26 ft
1:31.0,Defensive rebound by W. Barton,,19-26,,
1:22.0,J. Lauvergne misses 2-pt shot at rim (block by J. Henson),,19-26,,
1:20.0,,,19-26,,Defensive rebound by J. Parker
1:07.0,,,19-28,2,J. Parker makes 2-pt shot from 14 ft (assist by K. Middleton)
0:51.0,W. Barton makes 3-pt shot from 24 ft (assist by J. Nelson),3,22-28,,
0:40.0,,,22-28,,Turnover by K. Middleton (bad pass; steal by D. Arthur)
0:31.0,J. Nelson misses 2-pt shot from 21 ft,,22-28,,
0:30.0,,,22-28,,Defensive rebound by J. Henson
0:14.0,Personal take foul by J. Nelson (drawn by M. Carter-Williams),,22-28,,
0:14.0,,,22-28,,G. Antetokounmpo enters the game for K. Middleton
0:14.0,K. Papanikolaou enters the game for D. Gallinari,,22-28,,
0:06.0,,,22-28,,Turnover by M. Carter-Williams (bad pass; steal by J. Nelson)
0:02.0,Shooting foul by J. Bayless (drawn by J. Lauvergne),,22-28,,
0:02.0,J. Lauvergne misses free throw 1 of 2,,22-28,,
0:02.0,Offensive rebound by Team,,22-28,,
0:02.0,J. Lauvergne makes free throw 2 of 2,1,23-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,W. Barton misses 2-pt shot from 1 ft,,23-28,,
11:40.0,,,23-28,,Defensive rebound by J. Henson
11:40.0,Personal foul by D. Arthur (drawn by J. Henson),,23-28,,
11:27.0,,,23-28,,Turnover by J. Bayless (step out of bounds)
11:17.0,J. Lauvergne misses 2-pt shot from 19 ft,,23-28,,
11:16.0,,,23-28,,Defensive rebound by M. Carter-Williams
11:00.0,,,23-28,,J. Parker misses 2-pt shot from 19 ft
10:59.0,Defensive rebound by K. Papanikolaou,,23-28,,
10:50.0,W. Barton makes 2-pt shot from 3 ft (assist by J. Nelson),2,25-28,,
10:28.0,,,25-28,,M. Carter-Williams misses 2-pt shot from 18 ft
10:26.0,Defensive rebound by W. Barton,,25-28,,
10:17.0,Turnover by D. Arthur (step out of bounds),,25-28,,
10:10.0,Personal foul by K. Papanikolaou (drawn by G. Antetokounmpo),,25-28,,
10:02.0,,,25-28,,G. Antetokounmpo misses 2-pt shot from 12 ft
10:02.0,,,25-28,,Offensive rebound by Team
10:02.0,Personal foul by J. Lauvergne (drawn by J. Henson),,25-28,,
9:56.0,,,25-28,,Turnover by M. Carter-Williams (bad pass)
9:43.0,W. Barton misses 2-pt shot from 12 ft,,25-28,,
9:43.0,,,25-28,,Defensive rebound by Team
9:36.0,,,25-28,,Offensive foul by G. Antetokounmpo
9:36.0,,,25-28,,Turnover by G. Antetokounmpo (offensive foul)
9:21.0,,,25-28,,Personal foul by M. Carter-Williams (drawn by J. Nelson)
9:19.0,Offensive charge foul by J. Nelson,,25-28,,
9:19.0,Turnover by J. Nelson (offensive foul),,25-28,,
9:05.0,,,25-28,,M. Carter-Williams misses 2-pt shot from 1 ft
9:05.0,,,25-28,,Offensive rebound by M. Carter-Williams
9:05.0,,,25-28,,Shooting foul by K. Papanikolaou (drawn by G. Antetokounmpo)
9:05.0,,,25-29,1,G. Antetokounmpo makes free throw 1 of 2
9:05.0,,,25-29,,G. Antetokounmpo misses free throw 2 of 2
9:03.0,,,25-29,,Offensive rebound by J. Henson
8:52.0,Personal foul by D. Arthur (drawn by J. Henson),,25-29,,
8:52.0,Official timeout,,25-29,,
8:52.0,,,25-29,,R. Vaughn enters the game for M. Carter-Williams
8:52.0,,,25-29,,J. Henson misses free throw 1 of 2
8:52.0,,,25-29,,Offensive rebound by Team
8:52.0,,,25-29,,J. Henson misses free throw 2 of 2
8:51.0,Defensive rebound by J. Lauvergne,,25-29,,
8:40.0,D. Arthur misses 2-pt shot from 12 ft,,25-29,,
8:39.0,,,25-29,,Defensive rebound by J. Parker
8:25.0,,,25-29,,Turnover by J. Bayless (bad pass)
8:07.0,K. Papanikolaou misses 2-pt shot from 2 ft (block by J. Henson),,25-29,,
8:07.0,Offensive rebound by Team,,25-29,,
8:02.0,K. Papanikolaou misses 2-pt shot from 5 ft (block by J. Henson),,25-29,,
8:01.0,,,25-29,,Defensive rebound by J. Henson
7:43.0,,,25-29,,G. Antetokounmpo misses 2-pt shot from 3 ft
7:41.0,,,25-29,,Offensive rebound by G. Antetokounmpo
7:41.0,,,25-29,,G. Antetokounmpo misses 2-pt shot from 1 ft
7:39.0,,,25-29,,Offensive rebound by G. Antetokounmpo
7:38.0,,,25-31,2,G. Antetokounmpo makes 2-pt shot from 1 ft
7:23.0,,,25-31,,Personal foul by J. Parker (drawn by J. Lauvergne)
7:23.0,K. Faried enters the game for D. Arthur,,25-31,,
7:23.0,E. Mudiay enters the game for J. Nelson,,25-31,,
7:23.0,,,25-31,,G. Monroe enters the game for J. Henson
7:13.0,J. Lauvergne misses 2-pt shot from 16 ft,,25-31,,
7:12.0,Offensive rebound by K. Faried,,25-31,,
7:12.0,,,25-31,,Loose ball foul by G. Antetokounmpo (drawn by K. Faried)
7:12.0,,,25-31,,O. Mayo enters the game for G. Antetokounmpo
7:04.0,J. Lauvergne misses 2-pt shot from 1 ft,,25-31,,
7:02.0,Offensive rebound by J. Lauvergne,,25-31,,
7:00.0,J. Lauvergne makes 2-pt shot at rim,2,27-31,,
6:46.0,,,27-31,,J. Parker misses 2-pt shot from 3 ft
6:44.0,,,27-31,,Offensive rebound by G. Monroe
6:43.0,,,27-33,2,G. Monroe makes 2-pt shot at rim
6:24.0,Turnover by K. Papanikolaou (bad pass; steal by J. Parker),,27-33,,
6:14.0,,,27-36,3,O. Mayo makes 3-pt shot from 27 ft (assist by J. Parker)
6:12.0,Denver full timeout,,27-36,,
6:12.0,N. Jokic enters the game for J. Lauvergne,,27-36,,
6:12.0,D. Gallinari enters the game for K. Papanikolaou,,27-36,,
5:47.0,W. Barton misses 2-pt shot from 2 ft,,27-36,,
5:45.0,,,27-36,,Defensive rebound by G. Monroe
5:36.0,,,27-36,,O. Mayo misses 2-pt shot from 13 ft
5:34.0,Defensive rebound by N. Jokic,,27-36,,
5:26.0,K. Faried misses 2-pt shot at rim (block by J. Parker),,27-36,,
5:24.0,,,27-36,,Defensive rebound by R. Vaughn
5:07.0,,,27-36,,J. Parker misses 2-pt shot from 1 ft
5:05.0,Defensive rebound by D. Gallinari,,27-36,,
5:02.0,Shooting foul by O. Mayo (drawn by D. Gallinari),,27-36,,
5:02.0,D. Gallinari makes free throw 1 of 2,1,28-36,,
5:02.0,,,28-36,,K. Middleton enters the game for R. Vaughn
5:02.0,D. Gallinari makes free throw 2 of 2,1,29-36,,
4:45.0,,,29-38,2,J. Parker makes 2-pt shot at rim (assist by J. Bayless)
4:32.0,N. Jokic makes 2-pt shot from 1 ft (assist by W. Barton),2,31-38,,
4:21.0,,,31-38,,Turnover by J. Bayless (lost ball; steal by E. Mudiay)
4:15.0,E. Mudiay makes 2-pt shot at rim,2,33-38,,
4:02.0,,,33-38,,J. Parker misses 2-pt shot from 18 ft
4:00.0,Defensive rebound by W. Barton,,33-38,,
3:50.0,E. Mudiay makes 3-pt shot from 26 ft (assist by N. Jokic),3,36-38,,
3:49.0,,,36-38,,Milwaukee full timeout
3:49.0,,,36-38,,M. Carter-Williams enters the game for J. Bayless
3:49.0,,,36-38,,J. Henson enters the game for J. Parker
3:35.0,,,36-38,,K. Middleton misses 2-pt shot from 19 ft
3:34.0,Defensive rebound by K. Faried,,36-38,,
3:21.0,,,36-38,,Def 3 sec tech foul by J. Henson
3:21.0,D. Gallinari makes technical free throw,1,37-38,,
3:09.0,K. Faried misses 2-pt shot from 2 ft,,37-38,,
3:08.0,Offensive rebound by Team,,37-38,,
3:06.0,E. Mudiay misses 3-pt shot from 26 ft,,37-38,,
3:04.0,Offensive rebound by K. Faried,,37-38,,
3:03.0,Denver full timeout,,37-38,,
2:51.0,D. Gallinari makes 3-pt shot from 26 ft (assist by E. Mudiay),3,40-38,,
2:36.0,,,40-38,,G. Monroe misses 2-pt shot from 3 ft (block by N. Jokic)
2:34.0,Defensive rebound by K. Faried,,40-38,,
2:20.0,Turnover by E. Mudiay (lost ball),,40-38,,
2:03.0,,,40-40,2,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton)
1:43.0,Turnover by D. Gallinari (lost ball),,40-40,,
1:30.0,,,40-42,2,G. Monroe makes 2-pt shot at rim (assist by M. Carter-Williams)
1:08.0,E. Mudiay misses 2-pt shot from 14 ft (block by M. Carter-Williams),,40-42,,
1:06.0,,,40-42,,Defensive rebound by J. Henson
1:02.0,,,40-42,,J. Henson misses 2-pt shot at rim
1:00.0,Defensive rebound by K. Faried,,40-42,,
0:58.0,K. Faried makes 2-pt shot at rim (assist by D. Gallinari),2,42-42,,
0:45.0,,,42-44,2,M. Carter-Williams makes 2-pt shot from 10 ft
0:24.0,N. Jokic makes 2-pt shot from 6 ft,2,44-44,,
0:06.0,,,44-46,2,M. Carter-Williams makes 2-pt shot from 4 ft
0:00.0,E. Mudiay misses 3-pt shot from 26 ft,,44-46,,
0:00.0,Offensive rebound by Team,,44-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,R. Foye makes 3-pt shot from 27 ft (assist by K. Faried),3,47-46,,
11:19.0,,,47-46,,G. Antetokounmpo misses 2-pt shot from 2 ft
11:18.0,Defensive rebound by N. Jokic,,47-46,,
11:08.0,Turnover by N. Jokic (bad pass),,47-46,,
10:50.0,,,47-49,3,J. Bayless makes 3-pt shot from 26 ft (assist by K. Middleton)
10:36.0,,,47-49,,Personal foul by K. Middleton (drawn by E. Mudiay)
10:27.0,D. Gallinari makes 2-pt shot from 1 ft,2,49-49,,
10:19.0,,,49-49,,O. Mayo misses 3-pt shot from 27 ft
10:17.0,Defensive rebound by R. Foye,,49-49,,
10:03.0,D. Gallinari misses 3-pt shot from 24 ft,,49-49,,
10:02.0,,,49-49,,Defensive rebound by G. Antetokounmpo
9:52.0,,,49-49,,J. Bayless misses 2-pt shot from 13 ft
9:51.0,Defensive rebound by K. Faried,,49-49,,
9:29.0,K. Faried makes 2-pt shot from 5 ft,2,51-49,,
9:07.0,,,51-49,,K. Middleton misses 3-pt shot from 27 ft
9:05.0,Defensive rebound by D. Gallinari,,51-49,,
8:52.0,R. Foye misses 2-pt shot from 1 ft (block by G. Monroe),,51-49,,
8:52.0,Offensive rebound by Team,,51-49,,
8:52.0,,,51-49,,M. Carter-Williams enters the game for J. Bayless
8:46.0,Turnover by E. Mudiay (lost ball; steal by M. Carter-Williams),,51-49,,
8:42.0,,,51-49,,Shooting foul by K. Faried (drawn by G. Monroe)
8:42.0,,,51-50,1,G. Monroe makes free throw 1 of 2
8:42.0,,,51-51,1,G. Monroe makes free throw 2 of 2
8:18.0,D. Gallinari makes 3-pt shot from 25 ft (assist by E. Mudiay),3,54-51,,
8:01.0,,,54-53,2,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton)
7:38.0,R. Foye misses 3-pt shot from 24 ft,,54-53,,
7:38.0,Offensive rebound by Team,,54-53,,
7:38.0,,,54-53,,Loose ball foul by M. Carter-Williams (drawn by D. Gallinari)
7:28.0,N. Jokic misses 2-pt shot from 3 ft,,54-53,,
7:27.0,,,54-53,,Defensive rebound by O. Mayo
7:11.0,,,54-55,2,M. Carter-Williams makes 2-pt shot at rim (assist by G. Monroe)
6:58.0,Turnover by E. Mudiay (bad pass; steal by M. Carter-Williams),,54-55,,
6:53.0,,,54-57,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams)
6:53.0,Denver full timeout,,54-57,,
6:40.0,K. Faried misses 2-pt shot from 1 ft (block by G. Monroe),,54-57,,
6:37.0,,,54-57,,Defensive rebound by G. Antetokounmpo
6:30.0,,,54-59,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
6:07.0,D. Gallinari misses 2-pt shot from 4 ft (block by M. Carter-Williams),,54-59,,
6:07.0,Offensive rebound by Team,,54-59,,
6:01.0,E. Mudiay misses 2-pt shot from 10 ft,,54-59,,
6:00.0,,,54-59,,Defensive rebound by G. Monroe
5:55.0,,,54-59,,Shooting foul by E. Mudiay (drawn by G. Antetokounmpo)
5:55.0,,,54-60,1,G. Antetokounmpo makes free throw 1 of 2
5:55.0,J. Nelson enters the game for E. Mudiay,,54-60,,
5:55.0,J. Lauvergne enters the game for N. Jokic,,54-60,,
5:55.0,,,54-61,1,G. Antetokounmpo makes free throw 2 of 2
5:30.0,D. Gallinari misses 3-pt shot from 23 ft,,54-61,,
5:29.0,Offensive rebound by R. Foye,,54-61,,
5:22.0,Shooting foul by O. Mayo (drawn by D. Gallinari),,54-61,,
5:22.0,D. Gallinari makes free throw 1 of 2,1,55-61,,
5:22.0,D. Gallinari makes free throw 2 of 2,1,56-61,,
5:07.0,,,56-61,,O. Mayo misses 2-pt shot at rim (block by R. Foye)
5:07.0,,,56-61,,Offensive rebound by Team
5:03.0,,,56-61,,K. Middleton misses 2-pt shot from 19 ft
5:02.0,Defensive rebound by J. Lauvergne,,56-61,,
4:50.0,J. Lauvergne misses 2-pt shot from 3 ft,,56-61,,
4:48.0,,,56-61,,Defensive rebound by M. Carter-Williams
4:41.0,,,56-61,,O. Mayo misses 3-pt shot from 25 ft
4:40.0,Defensive rebound by J. Lauvergne,,56-61,,
4:31.0,R. Foye misses 2-pt shot from 19 ft,,56-61,,
4:29.0,,,56-61,,Defensive rebound by G. Antetokounmpo
4:20.0,,,56-61,,G. Antetokounmpo misses 3-pt shot from 26 ft
4:18.0,Defensive rebound by R. Foye,,56-61,,
4:12.0,Turnover by K. Faried (traveling),,56-61,,
4:12.0,W. Barton enters the game for K. Faried,,56-61,,
4:12.0,D. Arthur enters the game for R. Foye,,56-61,,
4:12.0,,,56-61,,J. Bayless enters the game for O. Mayo
4:00.0,,,56-63,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
3:47.0,J. Lauvergne makes 2-pt shot from 5 ft (assist by J. Nelson),2,58-63,,
3:26.0,,,58-63,,J. Bayless misses 3-pt shot from 24 ft
3:24.0,Defensive rebound by J. Nelson,,58-63,,
3:15.0,J. Lauvergne misses 2-pt shot from 2 ft (block by M. Carter-Williams),,58-63,,
3:13.0,,,58-63,,Defensive rebound by G. Monroe
2:54.0,,,58-63,,M. Carter-Williams misses 2-pt shot from 2 ft
2:52.0,,,58-63,,Offensive rebound by G. Monroe
2:52.0,,,58-65,2,G. Monroe makes 2-pt shot from 1 ft
2:42.0,Offensive foul by D. Gallinari,,58-65,,
2:42.0,Turnover by D. Gallinari (offensive foul),,58-65,,
2:42.0,,,58-65,,Milwaukee full timeout
2:42.0,,,58-65,,J. Henson enters the game for G. Antetokounmpo
2:42.0,,,58-65,,J. Parker enters the game for G. Monroe
2:17.0,,,58-65,,M. Carter-Williams misses 2-pt shot from 2 ft
2:15.0,,,58-65,,Offensive rebound by J. Henson
2:15.0,,,58-65,,J. Henson misses 2-pt shot from 2 ft
2:14.0,Defensive rebound by W. Barton,,58-65,,
2:10.0,,,58-65,,Personal foul by J. Henson (drawn by D. Arthur)
1:57.0,J. Nelson misses 3-pt shot from 28 ft,,58-65,,
1:55.0,,,58-65,,Defensive rebound by J. Parker
1:40.0,,,58-65,,Shooting foul by J. Nelson (drawn by J. Parker)
1:40.0,,,58-66,1,J. Parker makes free throw 1 of 2
1:40.0,,,58-67,1,J. Parker makes free throw 2 of 2
1:26.0,Turnover by J. Nelson (bad pass; steal by J. Henson),,58-67,,
1:17.0,,,58-67,,K. Middleton misses 2-pt shot from 17 ft
1:16.0,Defensive rebound by W. Barton,,58-67,,
1:06.0,D. Arthur makes 2-pt shot from 17 ft (assist by J. Lauvergne),2,60-67,,
0:52.0,,,60-67,,Turnover by J. Henson (traveling)
0:31.0,W. Barton misses 2-pt shot from 4 ft,,60-67,,
0:30.0,,,60-67,,Defensive rebound by M. Carter-Williams
0:08.0,,,60-67,,J. Parker misses 2-pt shot from 10 ft
0:07.0,,,60-67,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,60-67,,J. Parker misses 2-pt shot from 3 ft
11:44.0,Defensive rebound by R. Foye,,60-67,,
11:29.0,Turnover by W. Barton (step out of bounds),,60-67,,
11:06.0,,,60-69,2,J. Bayless makes 2-pt shot from 18 ft (assist by M. Carter-Williams)
10:37.0,J. Nelson makes 2-pt shot from 1 ft,2,62-69,,
10:19.0,,,62-69,,J. Bayless misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by Team,,62-69,,
10:03.0,D. Arthur misses 2-pt shot from 16 ft,,62-69,,
10:01.0,,,62-69,,Defensive rebound by K. Middleton
9:56.0,,,62-69,,Shooting foul by J. Nelson (drawn by J. Henson)
9:56.0,,,62-69,,J. Henson misses free throw 1 of 2
9:56.0,,,62-69,,Offensive rebound by Team
9:56.0,,,62-69,,O. Mayo enters the game for K. Middleton
9:56.0,,,62-69,,J. Henson misses free throw 2 of 2
9:55.0,Defensive rebound by J. Lauvergne,,62-69,,
9:41.0,J. Nelson misses 3-pt shot from 23 ft,,62-69,,
9:40.0,,,62-69,,Defensive rebound by O. Mayo
9:33.0,,,62-72,3,O. Mayo makes 3-pt shot from 27 ft (assist by M. Carter-Williams)
9:12.0,Turnover by D. Arthur (bad pass; steal by M. Carter-Williams),,62-72,,
9:09.0,,,62-74,2,M. Carter-Williams makes 2-pt shot at rim
9:09.0,Denver full timeout,,62-74,,
9:09.0,N. Jokic enters the game for J. Lauvergne,,62-74,,
8:57.0,,,62-74,,Personal foul by J. Henson (drawn by J. Nelson)
8:51.0,Turnover by R. Foye (bad pass; steal by J. Parker),,62-74,,
8:36.0,,,62-74,,J. Parker misses 2-pt shot from 19 ft
8:35.0,Defensive rebound by N. Jokic,,62-74,,
8:25.0,R. Foye misses 2-pt shot from 17 ft,,62-74,,
8:23.0,Offensive rebound by N. Jokic,,62-74,,
8:18.0,Shooting foul by O. Mayo (drawn by N. Jokic),,62-74,,
8:18.0,N. Jokic misses free throw 1 of 2,,62-74,,
8:18.0,Offensive rebound by Team,,62-74,,
8:18.0,N. Jokic misses free throw 2 of 2,,62-74,,
8:16.0,,,62-74,,Defensive rebound by J. Henson
8:04.0,,,62-74,,Turnover by O. Mayo (bad pass; steal by J. Nelson)
8:00.0,Shooting foul by J. Bayless (drawn by R. Foye),,62-74,,
8:00.0,R. Foye makes free throw 1 of 2,1,63-74,,
8:00.0,D. Gallinari enters the game for D. Arthur,,63-74,,
8:00.0,R. Foye makes free throw 2 of 2,1,64-74,,
7:42.0,,,64-76,2,J. Henson makes 2-pt shot at rim (assist by M. Carter-Williams)
7:20.0,R. Foye misses 3-pt shot from 29 ft,,64-76,,
7:19.0,,,64-76,,Defensive rebound by O. Mayo
6:56.0,,,64-78,2,J. Parker makes 2-pt shot from 5 ft
6:46.0,Denver full timeout,,64-78,,
6:46.0,E. Mudiay enters the game for J. Nelson,,64-78,,
6:28.0,N. Jokic misses 2-pt shot from 16 ft,,64-78,,
6:27.0,,,64-78,,Defensive rebound by J. Parker
6:13.0,Personal foul by R. Foye (drawn by J. Henson),,64-78,,
6:01.0,,,64-78,,O. Mayo misses 3-pt shot from 24 ft
5:59.0,Defensive rebound by D. Gallinari,,64-78,,
5:59.0,Offensive charge foul by W. Barton,,64-78,,
5:59.0,Turnover by W. Barton (offensive foul),,64-78,,
5:43.0,,,64-80,2,J. Henson makes 2-pt shot at rim (assist by J. Bayless)
5:20.0,R. Foye misses 2-pt shot from 1 ft,,64-80,,
5:18.0,,,64-80,,Defensive rebound by M. Carter-Williams
5:15.0,,,64-80,,Shooting foul by D. Gallinari (drawn by M. Carter-Williams)
5:15.0,,,64-81,1,M. Carter-Williams makes free throw 1 of 2
5:15.0,J. Nelson enters the game for R. Foye,,64-81,,
5:15.0,,,64-82,1,M. Carter-Williams makes free throw 2 of 2
5:01.0,,,64-82,,Violation by J. Henson (kicked ball)
4:53.0,Shooting foul by M. Carter-Williams (drawn by E. Mudiay),,64-82,,
4:53.0,E. Mudiay misses free throw 1 of 2,,64-82,,
4:53.0,Offensive rebound by Team,,64-82,,
4:53.0,E. Mudiay makes free throw 2 of 2,1,65-82,,
4:34.0,,,65-84,2,J. Henson makes 2-pt shot from 6 ft (assist by M. Carter-Williams)
4:15.0,J. Nelson misses 3-pt shot from 24 ft,,65-84,,
4:14.0,,,65-84,,Defensive rebound by M. Carter-Williams
4:04.0,,,65-86,2,O. Mayo makes 2-pt shot from 1 ft
4:04.0,,,65-86,,Shooting foul by W. Barton (drawn by O. Mayo)
4:04.0,,,65-87,1,O. Mayo makes free throw 1 of 1
3:47.0,W. Barton makes 2-pt shot from 18 ft,2,67-87,,
3:33.0,,,67-89,2,M. Carter-Williams makes 2-pt shot at rim (assist by J. Henson)
3:33.0,Denver full timeout,,67-89,,
3:33.0,,,67-89,,T. Ennis enters the game for O. Mayo
3:33.0,,,67-89,,M. Plumlee enters the game for J. Bayless
3:33.0,,,67-89,,J. O'Bryant enters the game for J. Parker
3:33.0,,,67-89,,R. Vaughn enters the game for M. Carter-Williams
3:33.0,,,67-89,,C. Copeland enters the game for J. Henson
3:33.0,D. Arthur enters the game for D. Gallinari,,67-89,,
3:33.0,K. Papanikolaou enters the game for N. Jokic,,67-89,,
