time,Portland,pts.away,score,pts.home,LA Clippers
6:48.0,E. Davis misses free throw 2 of 2,,32-33,,
6:47.0,,,32-33,,Defensive rebound by D. Jordan
6:31.0,,,32-33,,J. Redick misses 2-pt shot from 17 ft
6:29.0,Defensive rebound by E. Davis,,32-33,,
6:22.0,D. Lillard misses 2-pt shot from 2 ft (block by D. Jordan),,32-33,,
6:21.0,,,32-33,,Defensive rebound by J. Green
6:16.0,,,32-35,2,J. Green makes 2-pt shot at rim
6:16.0,Portland full timeout,,32-35,,
6:16.0,M. Plumlee enters the game for E. Davis,,32-35,,
5:53.0,C. McCollum misses 2-pt shot from 16 ft,,32-35,,
5:50.0,,,32-35,,Defensive rebound by D. Jordan
5:40.0,,,32-35,,Shooting foul by M. Harkless (drawn by J. Green)
5:40.0,,,32-35,,J. Green misses free throw 1 of 2
5:40.0,,,32-35,,Offensive rebound by Team
5:40.0,,,32-35,,A. Rivers enters the game for J. Redick
5:40.0,A. Aminu enters the game for A. Crabbe,,32-35,,
5:40.0,,,32-35,,J. Green misses free throw 2 of 2
5:38.0,Defensive rebound by M. Harkless,,32-35,,
5:24.0,M. Harkless makes 2-pt shot from 2 ft (assist by M. Plumlee),2,34-35,,
5:11.0,,,34-37,2,D. Jordan makes 2-pt shot at rim (assist by P. Prigioni)
4:58.0,M. Harkless misses 2-pt shot from 2 ft,,34-37,,
4:56.0,Offensive rebound by M. Plumlee,,34-37,,
4:56.0,Shooting foul by J. Green (drawn by M. Plumlee),,34-37,,
4:56.0,M. Plumlee makes free throw 1 of 2,1,35-37,,
4:56.0,M. Plumlee makes free throw 2 of 2,1,36-37,,
4:45.0,,,36-37,,J. Crawford misses 2-pt shot from 18 ft
4:43.0,Defensive rebound by A. Aminu,,36-37,,
4:38.0,,,36-37,,Personal foul by P. Prigioni
4:30.0,Turnover by A. Aminu (lost ball; steal by J. Green),,36-37,,
4:26.0,,,36-39,2,J. Green makes 2-pt shot at rim
4:16.0,M. Harkless misses 3-pt shot from 25 ft,,36-39,,
4:15.0,,,36-39,,Defensive rebound by A. Rivers
4:06.0,,,36-39,,J. Crawford misses 2-pt shot from 13 ft
4:03.0,Defensive rebound by M. Plumlee,,36-39,,
3:50.0,A. Aminu misses 3-pt shot from 26 ft,,36-39,,
3:49.0,,,36-39,,Defensive rebound by P. Prigioni
3:31.0,,,36-39,,Turnover by P. Prigioni (bad pass)
3:23.0,D. Lillard misses 2-pt shot from 20 ft,,36-39,,
3:20.0,,,36-39,,Defensive rebound by D. Jordan
2:59.0,,,36-39,,P. Prigioni misses 2-pt shot from 15 ft
2:59.0,Defensive rebound by Team,,36-39,,
2:59.0,,,36-39,,Loose ball foul by P. Prigioni
2:59.0,Official timeout,,36-39,,
2:59.0,,,36-39,,P. Pierce enters the game for J. Green
2:59.0,,,36-39,,J. Redick enters the game for P. Prigioni
2:59.0,D. Lillard misses free throw 1 of 2,,36-39,,
2:59.0,Offensive rebound by Team,,36-39,,
2:59.0,D. Lillard makes free throw 2 of 2,1,37-39,,
2:59.0,Personal take foul by M. Plumlee,,37-39,,
2:59.0,,,37-40,1,D. Jordan makes free throw 1 of 2
2:59.0,,,37-40,,D. Jordan misses free throw 2 of 2
2:56.0,Defensive rebound by A. Aminu,,37-40,,
2:41.0,M. Harkless misses 2-pt shot from 6 ft (block by D. Jordan),,37-40,,
2:39.0,,,37-40,,Defensive rebound by J. Redick
2:31.0,,,37-42,2,A. Rivers makes 2-pt shot from 6 ft
