time,Utah,pts.away,score,pts.home,Miami
4:28.0,,,12-17,3,T. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic)
4:17.0,Shooting foul by J. Winslow (drawn by G. Hayward),,12-17,,
4:17.0,G. Hayward makes free throw 1 of 2,1,13-17,,
4:17.0,A. Burks enters the game for R. Hood,,13-17,,
4:17.0,G. Hayward makes free throw 2 of 2,1,14-17,,
3:52.0,,,14-17,,G. Dragic misses 3-pt shot from 24 ft
3:51.0,,,14-17,,Offensive rebound by H. Whiteside
3:50.0,,,14-17,,Shooting foul by D. Favors (drawn by H. Whiteside)
3:50.0,,,14-17,,H. Whiteside misses free throw 1 of 2
3:50.0,,,14-17,,Offensive rebound by Team
3:50.0,,,14-18,1,H. Whiteside makes free throw 2 of 2
3:34.0,,,14-18,,Personal foul by J. Winslow (drawn by G. Hayward)
3:34.0,G. Hayward makes free throw 1 of 2,1,15-18,,
3:34.0,,,15-18,,J. McRoberts enters the game for J. Winslow
3:34.0,G. Hayward makes free throw 2 of 2,1,16-18,,
3:15.0,,,16-18,,Turnover by T. Johnson (bad pass; steal by T. Booker)
3:09.0,T. Burke misses 3-pt shot from 24 ft,,16-18,,
3:08.0,,,16-18,,Defensive rebound by H. Whiteside
2:54.0,,,16-18,,G. Dragic misses 3-pt shot from 24 ft
2:53.0,,,16-18,,Offensive rebound by H. Whiteside
2:52.0,,,16-20,2,H. Whiteside makes 2-pt shot at rim
2:27.0,D. Favors makes 2-pt shot at rim (assist by A. Burks),2,18-20,,
2:12.0,,,18-20,,H. Whiteside misses 2-pt shot from 6 ft
2:11.0,Defensive rebound by G. Hayward,,18-20,,
1:58.0,Shooting foul by J. McRoberts (drawn by G. Hayward),,18-20,,
1:58.0,G. Hayward makes free throw 1 of 2,1,19-20,,
1:58.0,,,19-20,,C. Bosh enters the game for H. Whiteside
1:58.0,J. Ingles enters the game for D. Favors,,19-20,,
1:58.0,G. Hayward makes free throw 2 of 2,1,20-20,,
1:42.0,,,20-22,2,C. Bosh makes 2-pt shot from 1 ft
1:27.0,Turnover by G. Hayward (lost ball; steal by L. Deng),,20-22,,
1:23.0,,,20-24,2,L. Deng makes 2-pt shot from 2 ft
1:15.0,Turnover by A. Burks (lost ball),,20-24,,
1:05.0,,,20-24,,Shooting foul by T. Booker (drawn by C. Bosh)
1:05.0,,,20-25,1,C. Bosh makes free throw 1 of 2
1:05.0,E. Millsap enters the game for G. Hayward,,20-25,,
1:05.0,,,20-25,,B. Udrih enters the game for G. Dragic
1:05.0,,,20-26,1,C. Bosh makes free throw 2 of 2
0:42.0,T. Booker misses 2-pt shot from 17 ft,,20-26,,
0:41.0,,,20-26,,Defensive rebound by C. Bosh
0:30.0,,,20-26,,T. Johnson misses 2-pt shot from 16 ft
0:29.0,Defensive rebound by E. Millsap,,20-26,,
0:08.0,A. Burks makes 2-pt shot from 1 ft,2,22-26,,
0:01.0,,,22-28,2,T. Johnson makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,A. Burks misses 2-pt shot from 11 ft,,22-28,,
11:42.0,,,22-28,,Defensive rebound by J. McRoberts
11:31.0,,,22-28,,Shooting foul by T. Booker (drawn by J. McRoberts)
11:31.0,,,22-29,1,J. McRoberts makes free throw 1 of 2
11:31.0,R. Hood enters the game for T. Booker,,22-29,,
11:31.0,,,22-30,1,J. McRoberts makes free throw 2 of 2
11:21.0,T. Lyles makes 2-pt shot from 1 ft (assist by R. Hood),2,24-30,,
11:01.0,,,24-32,2,C. Bosh makes 2-pt shot from 18 ft (assist by B. Udrih)
10:42.0,R. Hood makes 2-pt shot from 2 ft,2,26-32,,
10:31.0,,,26-32,,B. Udrih misses 2-pt shot at rim
10:28.0,Defensive rebound by T. Burke,,26-32,,
10:18.0,T. Burke misses 2-pt shot from 15 ft,,26-32,,
10:17.0,,,26-32,,Defensive rebound by T. Johnson
10:07.0,,,26-34,2,T. Johnson makes 2-pt shot from 12 ft
9:55.0,J. Ingles misses 3-pt shot from 25 ft,,26-34,,
9:54.0,,,26-34,,Defensive rebound by B. Udrih
9:47.0,Personal foul by T. Burke (drawn by C. Bosh),,26-34,,
9:35.0,,,26-36,2,T. Johnson makes 2-pt shot from 1 ft
9:15.0,R. Hood misses 2-pt shot from 8 ft,,26-36,,
9:14.0,,,26-36,,Defensive rebound by J. Richardson
8:54.0,,,26-38,2,C. Bosh makes 2-pt shot from 2 ft
8:39.0,T. Burke makes 2-pt shot from 1 ft,2,28-38,,
8:18.0,,,28-40,2,C. Bosh makes 2-pt shot from 2 ft
8:17.0,Utah full timeout,,28-40,,
8:17.0,E. Millsap enters the game for T. Lyles,,28-40,,
8:17.0,D. Favors enters the game for J. Ingles,,28-40,,
8:17.0,,,28-40,,H. Whiteside enters the game for C. Bosh
8:17.0,,,28-40,,G. Dragic enters the game for T. Johnson
8:02.0,A. Burks misses 2-pt shot from 12 ft,,28-40,,
8:01.0,Offensive rebound by D. Favors,,28-40,,
7:59.0,D. Favors makes 2-pt shot at rim,2,30-40,,
7:43.0,,,30-40,,H. Whiteside misses 2-pt shot from 1 ft (block by D. Favors)
7:42.0,,,30-40,,Offensive rebound by Team
7:39.0,,,30-40,,J. McRoberts misses 3-pt shot from 23 ft
7:38.0,Defensive rebound by Team,,30-40,,
7:18.0,D. Favors misses 2-pt shot from 15 ft,,30-40,,
7:17.0,,,30-40,,Defensive rebound by H. Whiteside
7:06.0,,,30-40,,J. McRoberts misses 2-pt shot from 1 ft
7:05.0,Defensive rebound by E. Millsap,,30-40,,
6:48.0,R. Hood misses 2-pt shot from 2 ft (block by H. Whiteside),,30-40,,
6:47.0,Offensive rebound by Team,,30-40,,
6:47.0,,,30-40,,L. Deng enters the game for J. McRoberts
6:47.0,G. Hayward enters the game for E. Millsap,,30-40,,
6:47.0,,,30-40,,J. Winslow enters the game for J. Richardson
6:41.0,R. Hood misses 3-pt shot from 23 ft,,30-40,,
6:40.0,,,30-40,,Defensive rebound by H. Whiteside
6:28.0,,,30-40,,B. Udrih misses 2-pt shot from 15 ft
6:26.0,Defensive rebound by A. Burks,,30-40,,
6:20.0,,,30-40,,Violation by H. Whiteside (def goaltending)
6:20.0,T. Burke makes 2-pt shot from 1 ft,2,32-40,,
6:01.0,,,32-42,2,G. Dragic makes 2-pt shot from 1 ft
5:44.0,Turnover by G. Hayward (lost ball),,32-42,,
5:44.0,Official timeout,,32-42,,
5:34.0,,,32-42,,Turnover by L. Deng (bad pass; steal by R. Hood)
5:28.0,R. Hood misses 2-pt shot from 1 ft (block by H. Whiteside),,32-42,,
5:27.0,,,32-42,,Defensive rebound by L. Deng
5:13.0,,,32-42,,Turnover by L. Deng (offensive foul)
5:13.0,,,32-42,,Offensive charge foul by L. Deng
4:58.0,T. Burke misses 2-pt shot from 1 ft (block by H. Whiteside),,32-42,,
4:57.0,,,32-42,,Defensive rebound by G. Dragic
4:43.0,,,32-42,,Turnover by H. Whiteside (lost ball)
4:28.0,D. Favors makes 2-pt shot from 1 ft (assist by T. Burke),2,34-42,,
4:11.0,Personal foul by A. Burks (drawn by G. Dragic),,34-42,,
4:11.0,,,34-42,,T. Johnson enters the game for B. Udrih
4:11.0,R. Neto enters the game for T. Burke,,34-42,,
4:09.0,,,34-42,,Turnover by T. Johnson (bad pass)
3:57.0,G. Hayward misses 3-pt shot from 24 ft,,34-42,,
3:56.0,Offensive rebound by A. Burks,,34-42,,
3:48.0,A. Burks makes 2-pt shot from 1 ft,2,36-42,,
3:48.0,Shooting foul by H. Whiteside (drawn by A. Burks),,36-42,,
3:48.0,,,36-42,,Miami full timeout
3:48.0,A. Burks makes free throw 1 of 1,1,37-42,,
3:32.0,,,37-42,,Turnover by G. Dragic (lost ball; steal by D. Favors)
3:29.0,Turnover by D. Favors (lost ball; steal by G. Dragic),,37-42,,
3:15.0,,,37-42,,Offensive charge foul by T. Johnson
3:15.0,,,37-42,,Turnover by T. Johnson (offensive foul)
3:15.0,T. Pleiss enters the game for R. Neto,,37-42,,
3:15.0,,,37-42,,C. Bosh enters the game for H. Whiteside
3:05.0,Turnover by A. Burks (lost ball; steal by T. Johnson),,37-42,,
2:59.0,,,37-44,2,L. Deng makes 2-pt shot at rim (assist by C. Bosh)
2:59.0,Utah full timeout,,37-44,,
2:59.0,T. Burke enters the game for T. Pleiss,,37-44,,
2:47.0,Offensive charge foul by R. Hood,,37-44,,
2:47.0,Turnover by R. Hood (offensive foul),,37-44,,
2:24.0,,,37-44,,G. Dragic misses 2-pt shot from 15 ft
2:23.0,Defensive rebound by G. Hayward,,37-44,,
2:16.0,G. Hayward makes 2-pt shot from 8 ft,2,39-44,,
2:03.0,,,39-44,,Turnover by C. Bosh (lost ball; steal by T. Burke)
1:59.0,G. Hayward makes 2-pt shot at rim (assist by A. Burks),2,41-44,,
1:41.0,,,41-46,2,L. Deng makes 2-pt shot from 22 ft (assist by G. Dragic)
1:25.0,D. Favors makes 2-pt shot from 2 ft (assist by R. Hood),2,43-46,,
1:08.0,,,43-46,,J. Richardson enters the game for J. Winslow
1:00.0,,,43-46,,C. Bosh misses 2-pt shot from 1 ft (block by D. Favors)
0:59.0,Defensive rebound by G. Hayward,,43-46,,
0:54.0,A. Burks makes 2-pt shot from 1 ft,2,45-46,,
0:54.0,Shooting foul by T. Johnson (drawn by A. Burks),,45-46,,
0:54.0,A. Burks misses free throw 1 of 1,,45-46,,
0:53.0,,,45-46,,Defensive rebound by L. Deng
0:31.0,,,45-46,,G. Dragic misses 2-pt shot from 13 ft
0:30.0,,,45-46,,Offensive rebound by C. Bosh
0:27.0,,,45-46,,J. Richardson misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by T. Burke,,45-46,,
0:04.0,T. Burke misses 3-pt shot from 24 ft,,45-46,,
0:02.0,Offensive rebound by D. Favors,,45-46,,
0:01.0,D. Favors misses 2-pt shot at rim,,45-46,,
0:00.0,Offensive rebound by Team,,45-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,A. Burks makes 3-pt shot from 23 ft (assist by D. Favors),3,48-46,,
11:31.0,Personal foul by R. Neto (drawn by G. Dragic),,48-46,,
11:19.0,,,48-46,,H. Whiteside misses 2-pt shot from 2 ft
11:18.0,Defensive rebound by D. Favors,,48-46,,
10:57.0,G. Hayward misses 2-pt shot from 18 ft,,48-46,,
10:56.0,Offensive rebound by D. Favors,,48-46,,
10:46.0,R. Neto misses 3-pt shot from 25 ft,,48-46,,
10:45.0,Offensive rebound by Team,,48-46,,
10:30.0,D. Favors misses 2-pt shot from 4 ft (block by H. Whiteside),,48-46,,
10:29.0,Offensive rebound by A. Burks,,48-46,,
10:25.0,Shooting foul by H. Whiteside (drawn by D. Favors),,48-46,,
10:25.0,D. Favors makes free throw 1 of 2,1,49-46,,
10:25.0,D. Favors makes free throw 2 of 2,1,50-46,,
10:11.0,,,50-48,2,H. Whiteside makes 2-pt shot at rim (assist by C. Bosh)
9:50.0,D. Favors makes 2-pt shot from 3 ft (assist by G. Hayward),2,52-48,,
9:37.0,,,52-48,,Turnover by G. Dragic (bad pass; steal by R. Neto)
9:32.0,G. Hayward misses 2-pt shot at rim,,52-48,,
9:31.0,,,52-48,,Defensive rebound by J. Richardson
9:28.0,Personal foul by R. Neto (drawn by J. Richardson),,52-48,,
9:25.0,,,52-48,,J. Richardson misses 2-pt shot from 6 ft (block by D. Favors)
9:24.0,,,52-48,,Offensive rebound by Team
9:17.0,,,52-48,,Turnover by G. Dragic (bad pass; steal by A. Burks)
9:07.0,A. Burks misses 2-pt shot from 1 ft,,52-48,,
9:06.0,Offensive rebound by T. Lyles,,52-48,,
8:58.0,G. Hayward misses 2-pt shot from 16 ft,,52-48,,
8:57.0,,,52-48,,Defensive rebound by H. Whiteside
8:50.0,,,52-48,,L. Deng misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by T. Lyles,,52-48,,
8:39.0,Turnover by R. Neto (bad pass; steal by G. Dragic),,52-48,,
8:23.0,Personal foul by A. Burks (drawn by J. Richardson),,52-48,,
8:10.0,,,52-50,2,G. Dragic makes 2-pt shot from 16 ft
7:56.0,D. Favors misses 2-pt shot from 2 ft (block by H. Whiteside),,52-50,,
7:55.0,,,52-50,,Defensive rebound by H. Whiteside
7:52.0,Personal foul by R. Neto (drawn by G. Dragic),,52-50,,
7:52.0,R. Hood enters the game for R. Neto,,52-50,,
7:37.0,,,52-52,2,G. Dragic makes 2-pt shot from 21 ft (assist by C. Bosh)
7:18.0,T. Lyles misses 2-pt shot from 19 ft,,52-52,,
7:17.0,,,52-52,,Defensive rebound by Team
6:51.0,,,52-54,2,C. Bosh makes 2-pt shot from 13 ft
6:27.0,A. Burks makes 2-pt shot from 5 ft,2,54-54,,
6:09.0,,,54-54,,Turnover by H. Whiteside (lost ball; steal by D. Favors)
6:05.0,Shooting foul by J. Richardson (drawn by A. Burks),,54-54,,
6:05.0,A. Burks makes free throw 1 of 2,1,55-54,,
6:05.0,T. Booker enters the game for T. Lyles,,55-54,,
6:05.0,,,55-54,,J. Winslow enters the game for C. Bosh
6:05.0,A. Burks makes free throw 2 of 2,1,56-54,,
5:50.0,,,56-56,2,J. Winslow makes 2-pt shot from 1 ft
5:33.0,D. Favors misses 2-pt shot from 13 ft,,56-56,,
5:32.0,,,56-56,,Defensive rebound by J. Richardson
5:22.0,,,56-56,,H. Whiteside misses 2-pt shot from 14 ft
5:21.0,Defensive rebound by T. Booker,,56-56,,
5:01.0,D. Favors makes 2-pt shot from 3 ft,2,58-56,,
4:59.0,,,58-56,,Miami full timeout
4:59.0,,,58-56,,Violation by Team (delay of game)
4:50.0,,,58-56,,J. Winslow misses 2-pt shot from 1 ft (block by T. Booker)
4:49.0,Defensive rebound by T. Booker,,58-56,,
4:34.0,Shooting foul by J. Richardson (drawn by D. Favors),,58-56,,
4:34.0,D. Favors misses free throw 1 of 2,,58-56,,
4:34.0,Offensive rebound by Team,,58-56,,
4:34.0,T. Burke enters the game for A. Burks,,58-56,,
4:34.0,,,58-56,,T. Johnson enters the game for J. Richardson
4:34.0,,,58-56,,C. Bosh enters the game for L. Deng
4:34.0,D. Favors makes free throw 2 of 2,1,59-56,,
4:16.0,,,59-56,,G. Dragic misses 2-pt shot from 15 ft
4:15.0,Defensive rebound by T. Burke,,59-56,,
4:11.0,Offensive charge foul by T. Booker,,59-56,,
4:11.0,Turnover by T. Booker (offensive foul),,59-56,,
3:50.0,,,59-56,,J. Winslow misses 2-pt shot from 4 ft (block by D. Favors)
3:49.0,,,59-56,,Offensive rebound by T. Johnson
3:48.0,,,59-58,2,T. Johnson makes 2-pt shot from 14 ft
3:22.0,T. Booker misses 2-pt shot from 19 ft,,59-58,,
3:21.0,,,59-58,,Defensive rebound by H. Whiteside
3:03.0,,,59-58,,Turnover by G. Dragic (lost ball; steal by R. Hood)
3:00.0,G. Hayward makes 2-pt shot at rim,2,61-58,,
2:40.0,,,61-61,3,C. Bosh makes 3-pt shot from 23 ft (assist by T. Johnson)
2:34.0,Utah full timeout,,61-61,,
2:34.0,,,61-61,,J. McRoberts enters the game for H. Whiteside
2:34.0,,,61-61,,B. Udrih enters the game for G. Dragic
2:34.0,A. Burks enters the game for D. Favors,,61-61,,
2:23.0,R. Hood makes 2-pt shot from 5 ft,2,63-61,,
2:02.0,,,63-61,,Turnover by B. Udrih (bad pass; steal by T. Burke)
1:57.0,T. Burke misses 2-pt shot from 2 ft,,63-61,,
1:56.0,,,63-61,,Defensive rebound by B. Udrih
1:47.0,,,63-63,2,J. Winslow makes 2-pt shot from 18 ft (assist by T. Johnson)
1:31.0,T. Burke misses 2-pt shot from 1 ft,,63-63,,
1:30.0,Offensive rebound by T. Booker,,63-63,,
1:28.0,G. Hayward misses 3-pt shot from 25 ft,,63-63,,
1:27.0,Offensive rebound by Team,,63-63,,
1:27.0,,,63-63,,Loose ball foul by J. McRoberts (drawn by T. Booker)
1:13.0,R. Hood makes 3-pt shot from 24 ft,3,66-63,,
1:02.0,,,66-63,,Shooting foul by T. Booker (drawn by C. Bosh)
1:02.0,,,66-63,,C. Bosh misses free throw 1 of 2
1:02.0,,,66-63,,Offensive rebound by Team
1:02.0,T. Lyles enters the game for T. Booker,,66-63,,
1:02.0,,,66-64,1,C. Bosh makes free throw 2 of 2
0:48.0,T. Lyles misses 2-pt shot from 2 ft,,66-64,,
0:47.0,,,66-64,,Defensive rebound by B. Udrih
0:37.0,,,66-64,,Turnover by C. Bosh (lost ball)
0:32.0,A. Burks misses 2-pt shot from 2 ft (block by T. Johnson),,66-64,,
0:31.0,,,66-64,,Defensive rebound by C. Bosh
0:26.0,,,66-66,2,T. Johnson makes 2-pt shot at rim
0:01.0,R. Hood misses 3-pt shot from 25 ft,,66-66,,
0:00.0,,,66-66,,Defensive rebound by J. Winslow
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,66-66,,J. Winslow misses 2-pt shot from 4 ft
11:38.0,,,66-66,,Offensive rebound by J. Winslow
11:37.0,,,66-66,,J. Winslow misses 2-pt shot from 1 ft
11:36.0,Defensive rebound by D. Favors,,66-66,,
11:16.0,A. Burks misses 2-pt shot from 15 ft,,66-66,,
11:15.0,,,66-66,,Defensive rebound by J. Winslow
11:06.0,,,66-68,2,B. Udrih makes 2-pt shot from 16 ft
10:50.0,,,66-68,,Personal foul by J. McRoberts (drawn by D. Favors)
10:35.0,T. Burke makes 2-pt shot from 2 ft,2,68-68,,
10:30.0,Personal foul by D. Favors (drawn by C. Bosh),,68-68,,
10:27.0,Violation by D. Favors (kicked ball),,68-68,,
10:17.0,,,68-70,2,C. Bosh makes 2-pt shot from 2 ft
9:56.0,D. Favors misses 2-pt shot from 1 ft (block by C. Bosh),,68-70,,
9:55.0,Offensive rebound by Team,,68-70,,
9:47.0,J. Ingles misses 2-pt shot from 21 ft,,68-70,,
9:46.0,,,68-70,,Defensive rebound by T. Johnson
9:36.0,,,68-72,2,C. Bosh makes 2-pt shot from 1 ft (assist by J. Winslow)
9:36.0,,,68-72,,Shooting foul by A. Burks (drawn by C. Bosh)
9:36.0,T. Booker enters the game for T. Burke,,68-72,,
9:36.0,R. Neto enters the game for A. Burks,,68-72,,
9:36.0,,,68-73,1,C. Bosh makes free throw 1 of 1
9:14.0,R. Hood misses 2-pt shot from 17 ft (block by T. Johnson),,68-73,,
9:13.0,,,68-73,,Defensive rebound by J. McRoberts
9:06.0,,,68-73,,T. Johnson misses 2-pt shot from 1 ft (block by J. Ingles)
9:05.0,Defensive rebound by J. Ingles,,68-73,,
9:00.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Neto),2,70-73,,
8:35.0,,,70-73,,C. Bosh misses 2-pt shot from 19 ft
8:34.0,,,70-73,,Offensive rebound by J. McRoberts
8:33.0,,,70-73,,J. McRoberts misses 2-pt shot from 1 ft
8:32.0,Defensive rebound by J. Ingles,,70-73,,
8:24.0,R. Hood misses 2-pt shot from 8 ft,,70-73,,
8:23.0,,,70-73,,Defensive rebound by C. Bosh
8:17.0,,,70-75,2,J. Winslow makes 2-pt shot from 1 ft (assist by C. Bosh)
8:11.0,Utah full timeout,,70-75,,
8:11.0,G. Hayward enters the game for J. Ingles,,70-75,,
8:01.0,G. Hayward misses 2-pt shot from 19 ft,,70-75,,
8:00.0,,,70-75,,Defensive rebound by C. Bosh
7:42.0,,,70-75,,Shooting foul by G. Hayward (drawn by J. Winslow)
7:42.0,,,70-75,,J. Winslow misses free throw 1 of 2
7:42.0,,,70-75,,Offensive rebound by Team
7:42.0,,,70-76,1,J. Winslow makes free throw 2 of 2
7:22.0,G. Hayward misses 2-pt shot at rim (block by C. Bosh),,70-76,,
7:20.0,,,70-76,,Defensive rebound by J. Winslow
7:14.0,,,70-76,,Shooting foul by R. Hood (drawn by C. Bosh)
7:14.0,,,70-76,,C. Bosh misses free throw 1 of 2
7:14.0,,,70-76,,Offensive rebound by Team
7:14.0,,,70-77,1,C. Bosh makes free throw 2 of 2
6:52.0,R. Hood misses 2-pt shot from 8 ft,,70-77,,
6:51.0,Offensive rebound by Team,,70-77,,
6:42.0,D. Favors misses 2-pt shot from 16 ft,,70-77,,
6:41.0,,,70-77,,Defensive rebound by J. Winslow
6:23.0,,,70-77,,C. Bosh misses 2-pt shot from 19 ft
6:22.0,Defensive rebound by G. Hayward,,70-77,,
6:08.0,R. Neto misses 2-pt shot from 15 ft,,70-77,,
6:07.0,,,70-77,,Defensive rebound by J. McRoberts
6:06.0,Personal foul by T. Booker (drawn by J. McRoberts),,70-77,,
6:06.0,,,70-78,1,J. McRoberts makes free throw 1 of 2
6:06.0,T. Burke enters the game for R. Neto,,70-78,,
6:06.0,A. Burks enters the game for T. Booker,,70-78,,
6:06.0,,,70-78,,G. Dragic enters the game for B. Udrih
6:06.0,,,70-79,1,J. McRoberts makes free throw 2 of 2
5:55.0,G. Hayward misses 2-pt shot from 8 ft,,70-79,,
5:54.0,Offensive rebound by G. Hayward,,70-79,,
5:53.0,G. Hayward misses 2-pt shot from 1 ft,,70-79,,
5:52.0,Offensive rebound by D. Favors,,70-79,,
5:51.0,D. Favors makes 2-pt shot from 1 ft,2,72-79,,
5:51.0,Shooting foul by C. Bosh (drawn by D. Favors),,72-79,,
5:51.0,Official timeout,,72-79,,
5:51.0,D. Favors makes free throw 1 of 1,1,73-79,,
5:25.0,,,73-79,,G. Dragic misses 2-pt shot from 10 ft
5:24.0,Defensive rebound by D. Favors,,73-79,,
5:09.0,A. Burks misses 2-pt shot from 1 ft,,73-79,,
5:08.0,Offensive rebound by D. Favors,,73-79,,
5:07.0,,,73-79,,Personal foul by T. Johnson (drawn by D. Favors)
5:07.0,,,73-79,,H. Whiteside enters the game for J. McRoberts
4:56.0,A. Burks makes 2-pt shot from 19 ft (assist by T. Burke),2,75-79,,
4:36.0,,,75-81,2,H. Whiteside makes 2-pt shot at rim (assist by T. Johnson)
4:21.0,Shooting foul by J. Winslow (drawn by G. Hayward),,75-81,,
4:21.0,G. Hayward misses free throw 1 of 2,,75-81,,
4:21.0,Offensive rebound by Team,,75-81,,
4:21.0,T. Booker enters the game for T. Burke,,75-81,,
4:21.0,G. Hayward misses free throw 2 of 2,,75-81,,
4:20.0,,,75-81,,Defensive rebound by T. Johnson
3:55.0,,,75-81,,H. Whiteside misses 2-pt shot from 10 ft
3:54.0,Defensive rebound by D. Favors,,75-81,,
3:41.0,A. Burks makes 3-pt shot from 25 ft,3,78-81,,
3:21.0,,,78-81,,T. Johnson misses 2-pt shot from 1 ft
3:20.0,,,78-81,,Offensive rebound by H. Whiteside
3:19.0,,,78-83,2,H. Whiteside makes 2-pt shot at rim
3:04.0,G. Hayward makes 2-pt shot at rim (assist by D. Favors),2,80-83,,
2:55.0,,,80-83,,Miami full timeout
2:55.0,T. Burke enters the game for R. Hood,,80-83,,
2:48.0,,,80-83,,T. Johnson misses 2-pt shot from 2 ft
2:47.0,Defensive rebound by D. Favors,,80-83,,
2:30.0,Turnover by A. Burks (bad pass; steal by H. Whiteside),,80-83,,
2:15.0,,,80-83,,Shooting foul by T. Booker (drawn by C. Bosh)
