time,Memphis,pts.away,score,pts.home,Chicago
2:05.0,Turnover by Z. Randolph (bad pass),,18-23,,
1:44.0,,,18-23,,Turnover by K. Hinrich (bad pass; steal by C. Lee)
1:41.0,M. Chalmers makes 2-pt shot from 2 ft (assist by C. Lee),2,20-23,,
1:41.0,Shooting foul by D. McDermott (drawn by M. Chalmers),,20-23,,
1:41.0,M. Barnes enters the game for M. Gasol,,20-23,,
1:41.0,,,20-23,,N. Mirotic enters the game for P. Gasol
1:41.0,J. Green enters the game for J. Green,,20-23,,
1:41.0,M. Chalmers makes free throw 1 of 1,1,21-23,,
1:29.0,,,21-26,3,K. Hinrich makes 3-pt shot from 24 ft
1:06.0,Z. Randolph makes 2-pt shot from 7 ft,2,23-26,,
0:51.0,,,23-26,,D. McDermott misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by Z. Randolph,,23-26,,
0:45.0,C. Lee makes 3-pt shot from 24 ft (assist by M. Chalmers),3,26-26,,
0:33.0,,,26-28,2,J. Noah makes 2-pt shot from 1 ft (assist by K. Hinrich)
0:16.0,Z. Randolph misses 2-pt shot from 21 ft,,26-28,,
0:15.0,,,26-28,,Defensive rebound by K. Hinrich
0:04.0,,,26-30,2,K. Hinrich makes 2-pt shot from 2 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Shooting foul by J. Noah (drawn by Z. Randolph),,26-30,,
11:45.0,Z. Randolph makes free throw 1 of 2,1,27-30,,
11:45.0,Z. Randolph makes free throw 2 of 2,1,28-30,,
11:33.0,,,28-30,,N. Mirotic misses 3-pt shot from 24 ft
11:32.0,Defensive rebound by J. Ennis,,28-30,,
11:26.0,M. Chalmers makes 2-pt shot from 1 ft,2,30-30,,
11:12.0,,,30-30,,Turnover by A. Brooks (lost ball)
11:05.0,,,30-30,,Personal foul by A. Brooks (drawn by M. Chalmers)
10:55.0,M. Chalmers misses 2-pt shot from 2 ft,,30-30,,
10:54.0,,,30-30,,Defensive rebound by J. Noah
10:47.0,,,30-30,,A. Brooks misses 2-pt shot from 11 ft
10:46.0,Defensive rebound by Z. Randolph,,30-30,,
10:35.0,M. Barnes misses 3-pt shot from 25 ft,,30-30,,
10:34.0,Offensive rebound by J. Green,,30-30,,
10:34.0,Shooting foul by K. Hinrich (drawn by J. Green),,30-30,,
10:34.0,J. Green misses free throw 1 of 2,,30-30,,
10:34.0,Offensive rebound by Team,,30-30,,
10:34.0,J. Green misses free throw 2 of 2,,30-30,,
10:32.0,,,30-30,,Defensive rebound by N. Mirotic
10:17.0,,,30-30,,D. McDermott misses 3-pt shot from 24 ft
10:15.0,,,30-30,,Offensive rebound by J. Noah
10:14.0,,,30-30,,J. Noah misses 2-pt shot from 10 ft
10:13.0,,,30-30,,Offensive rebound by Team
10:09.0,Personal foul by J. Green (drawn by N. Mirotic),,30-30,,
10:06.0,,,30-32,2,D. McDermott makes 2-pt shot from 4 ft (assist by N. Mirotic)
10:06.0,,,30-32,,Shooting foul by M. Barnes (drawn by D. McDermott)
10:06.0,,,30-33,1,D. McDermott makes free throw 1 of 1
9:50.0,Shooting foul by J. Noah (drawn by J. Green),,30-33,,
9:50.0,J. Green misses free throw 1 of 2,,30-33,,
9:50.0,Offensive rebound by Team,,30-33,,
9:50.0,J. Green makes free throw 2 of 2,1,31-33,,
9:38.0,,,31-36,3,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Noah)
9:12.0,Z. Randolph misses 2-pt shot from 13 ft,,31-36,,
9:11.0,Offensive rebound by J. Ennis,,31-36,,
9:09.0,J. Ennis misses 2-pt shot from 2 ft,,31-36,,
9:07.0,,,31-36,,Defensive rebound by Team
8:50.0,,,31-36,,Shooting foul by M. Barnes (drawn by J. Noah)
8:50.0,,,31-36,,Chicago full timeout
8:50.0,,,31-36,,D. Rose enters the game for K. Hinrich
8:50.0,M. Conley enters the game for J. Ennis,,31-36,,
8:50.0,,,31-36,,J. Noah misses free throw 1 of 2
8:50.0,,,31-36,,Offensive rebound by Team
8:50.0,,,31-37,1,J. Noah makes free throw 2 of 2
8:37.0,Turnover by J. Green (traveling),,31-37,,
8:22.0,,,31-37,,Turnover by D. Rose (lost ball; steal by J. Green)
8:13.0,,,31-37,,Def 3 sec tech foul by J. Noah
8:13.0,M. Chalmers misses technical free throw,,31-37,,
8:13.0,Offensive rebound by Team,,31-37,,
8:01.0,J. Green makes 2-pt shot at rim (assist by Z. Randolph),2,33-37,,
7:41.0,,,33-37,,Turnover by A. Brooks (bad pass)
7:32.0,M. Conley misses 3-pt shot from 25 ft,,33-37,,
7:31.0,,,33-37,,Defensive rebound by D. Rose
7:25.0,,,33-40,3,A. Brooks makes 3-pt shot from 25 ft (assist by D. Rose)
7:11.0,J. Green makes 2-pt shot from 20 ft (assist by M. Chalmers),2,35-40,,
6:57.0,,,35-43,3,D. McDermott makes 3-pt shot from 24 ft (assist by J. Noah)
6:36.0,M. Barnes makes 2-pt shot from 2 ft (assist by Z. Randolph),2,37-43,,
6:35.0,,,37-43,,Technical foul by N. Mirotic
6:35.0,Technical foul by J. Green,,37-43,,
6:35.0,M. Gasol enters the game for J. Green,,37-43,,
6:35.0,,,37-43,,J. Butler enters the game for D. McDermott
6:25.0,,,37-43,,A. Brooks misses 2-pt shot from 1 ft
6:24.0,,,37-43,,Offensive rebound by J. Noah
6:18.0,,,37-43,,D. Rose misses 3-pt shot from 24 ft
6:17.0,Defensive rebound by M. Chalmers,,37-43,,
5:59.0,M. Gasol misses 2-pt shot from 6 ft,,37-43,,
5:58.0,,,37-43,,Defensive rebound by J. Butler
5:50.0,,,37-46,3,J. Butler makes 3-pt shot from 25 ft
5:39.0,Memphis full timeout,,37-46,,
5:39.0,,,37-46,,P. Gasol enters the game for N. Mirotic
5:31.0,M. Conley misses 3-pt shot from 23 ft,,37-46,,
5:30.0,,,37-46,,Defensive rebound by A. Brooks
5:17.0,,,37-46,,J. Butler misses 2-pt shot from 17 ft
5:16.0,Defensive rebound by M. Conley,,37-46,,
5:10.0,Shooting foul by A. Brooks (drawn by M. Chalmers),,37-46,,
5:10.0,M. Chalmers makes free throw 1 of 2,1,38-46,,
5:10.0,J. Green enters the game for Z. Randolph,,38-46,,
5:10.0,C. Lee enters the game for M. Barnes,,38-46,,
5:10.0,M. Chalmers makes free throw 2 of 2,1,39-46,,
4:57.0,,,39-46,,Turnover by D. Rose (bad pass; steal by M. Conley)
4:42.0,M. Gasol makes 2-pt shot from 18 ft (assist by M. Conley),2,41-46,,
4:25.0,,,41-46,,J. Noah misses 2-pt shot from 2 ft (block by M. Chalmers)
4:22.0,Defensive rebound by C. Lee,,41-46,,
4:16.0,M. Chalmers misses 2-pt shot from 8 ft (block by A. Brooks),,41-46,,
4:16.0,Offensive rebound by Team,,41-46,,
4:16.0,,,41-46,,T. Gibson enters the game for J. Noah
4:07.0,J. Green makes 3-pt shot from 24 ft (assist by C. Lee),3,44-46,,
3:57.0,,,44-46,,Turnover by D. Rose (bad pass)
3:50.0,,,44-46,,Personal foul by A. Brooks (drawn by M. Chalmers)
3:50.0,M. Chalmers makes free throw 1 of 2,1,45-46,,
3:50.0,,,45-46,,T. Snell enters the game for A. Brooks
3:50.0,M. Chalmers misses free throw 2 of 2,,45-46,,
3:48.0,,,45-46,,Defensive rebound by P. Gasol
3:36.0,,,45-46,,J. Butler misses 2-pt shot from 3 ft (block by M. Conley)
3:36.0,,,45-46,,Offensive rebound by Team
3:27.0,,,45-46,,J. Butler misses 2-pt shot from 22 ft
3:26.0,Defensive rebound by J. Green,,45-46,,
3:11.0,M. Conley makes 2-pt shot from 2 ft (assist by M. Gasol),2,47-46,,
3:10.0,,,47-46,,Chicago full timeout
2:53.0,,,47-46,,P. Gasol misses 2-pt shot from 6 ft
2:52.0,Defensive rebound by M. Chalmers,,47-46,,
2:39.0,C. Lee misses 2-pt shot from 19 ft,,47-46,,
2:38.0,,,47-46,,Defensive rebound by T. Snell
2:28.0,,,47-46,,D. Rose misses 2-pt shot from 2 ft
2:27.0,,,47-46,,Offensive rebound by T. Gibson
2:22.0,,,47-46,,J. Butler misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by M. Gasol,,47-46,,
2:14.0,J. Green makes 2-pt shot from 2 ft,2,49-46,,
2:07.0,Personal foul by M. Conley (drawn by J. Butler),,49-46,,
1:54.0,,,49-46,,Turnover by J. Butler (bad pass; steal by C. Lee)
1:41.0,J. Green misses 3-pt shot from 24 ft,,49-46,,
1:40.0,,,49-46,,Defensive rebound by T. Gibson
1:32.0,,,49-46,,D. Rose misses 2-pt shot from 3 ft
1:31.0,Defensive rebound by M. Conley,,49-46,,
1:08.0,M. Gasol misses 2-pt shot from 14 ft,,49-46,,
1:07.0,,,49-46,,Defensive rebound by P. Gasol
0:57.0,,,49-48,2,J. Butler makes 2-pt shot from 3 ft
0:51.0,C. Lee makes 2-pt shot from 2 ft (assist by M. Chalmers),2,51-48,,
0:42.0,,,51-48,,T. Snell misses 3-pt shot from 23 ft
0:41.0,,,51-48,,Offensive rebound by T. Gibson
0:41.0,,,51-48,,Shooting foul by J. Green (drawn by T. Gibson)
0:41.0,,,51-49,1,T. Gibson makes free throw 1 of 2
0:41.0,Z. Randolph enters the game for M. Chalmers,,51-49,,
0:41.0,,,51-50,1,T. Gibson makes free throw 2 of 2
0:34.0,M. Conley misses 3-pt shot from 24 ft,,51-50,,
0:33.0,Offensive rebound by M. Conley,,51-50,,
0:15.0,J. Green makes 2-pt shot from 2 ft (assist by M. Gasol),2,53-50,,
0:00.0,,,53-50,,J. Butler misses 3-pt shot from 25 ft
0:00.0,,,53-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,J. Green misses 2-pt shot from 18 ft,,53-50,,
11:46.0,,,53-50,,Defensive rebound by T. Snell
11:42.0,,,53-50,,T. Snell misses 2-pt shot from 2 ft (block by J. Green)
11:41.0,Defensive rebound by M. Conley,,53-50,,
11:33.0,Turnover by M. Conley (step out of bounds),,53-50,,
11:12.0,,,53-50,,D. Rose misses 2-pt shot from 1 ft
11:11.0,Defensive rebound by M. Gasol,,53-50,,
10:53.0,M. Conley misses 3-pt shot from 24 ft,,53-50,,
10:52.0,,,53-50,,Defensive rebound by J. Butler
10:42.0,,,53-52,2,T. Gibson makes 2-pt shot from 2 ft (assist by J. Butler)
10:24.0,C. Lee makes 3-pt shot from 23 ft (assist by M. Gasol),3,56-52,,
10:13.0,Personal foul by M. Barnes (drawn by J. Butler),,56-52,,
10:07.0,,,56-52,,J. Butler misses 3-pt shot from 24 ft
10:06.0,Defensive rebound by C. Lee,,56-52,,
9:48.0,M. Gasol misses 2-pt shot from 19 ft,,56-52,,
9:47.0,,,56-52,,Defensive rebound by T. Snell
9:35.0,,,56-52,,D. Rose misses 3-pt shot from 25 ft
9:33.0,,,56-52,,Offensive rebound by J. Butler
9:29.0,,,56-54,2,P. Gasol makes 2-pt shot from 20 ft (assist by J. Butler)
9:08.0,M. Gasol misses 2-pt shot from 2 ft (block by P. Gasol),,56-54,,
9:08.0,Offensive rebound by Team,,56-54,,
9:05.0,M. Conley misses 2-pt shot from 11 ft,,56-54,,
9:03.0,,,56-54,,Defensive rebound by T. Snell
8:44.0,,,56-54,,T. Gibson misses 2-pt shot from 5 ft (block by M. Barnes)
8:43.0,,,56-54,,Offensive rebound by T. Gibson
8:40.0,,,56-56,2,T. Gibson makes 2-pt shot from 4 ft
8:22.0,Turnover by M. Barnes (bad pass; steal by T. Gibson),,56-56,,
8:18.0,,,56-58,2,J. Butler makes 2-pt shot from 2 ft
8:16.0,Memphis full timeout,,56-58,,
7:59.0,M. Barnes misses 3-pt shot from 25 ft,,56-58,,
7:57.0,,,56-58,,Defensive rebound by D. Rose
7:39.0,,,56-58,,P. Gasol misses 3-pt shot from 23 ft
7:39.0,,,56-58,,Offensive rebound by Team
7:39.0,Z. Randolph enters the game for M. Barnes,,56-58,,
7:25.0,,,56-60,2,D. Rose makes 2-pt shot from 6 ft (assist by J. Butler)
6:59.0,Turnover by Team (shot clock),,56-60,,
6:47.0,,,56-62,2,P. Gasol makes 2-pt shot from 1 ft (assist by D. Rose)
6:47.0,,,56-62,,Shooting foul by C. Lee (drawn by P. Gasol)
6:47.0,,,56-63,1,P. Gasol makes free throw 1 of 1
6:22.0,C. Lee misses 2-pt shot from 11 ft,,56-63,,
6:22.0,Offensive rebound by Team,,56-63,,
6:12.0,M. Conley makes 2-pt shot from 9 ft (assist by Z. Randolph),2,58-63,,
5:59.0,,,58-65,2,D. Rose makes 2-pt shot at rim
5:47.0,Turnover by M. Gasol (bad pass; steal by D. Rose),,58-65,,
5:42.0,,,58-67,2,D. Rose makes 2-pt shot from 1 ft
5:24.0,Z. Randolph makes 2-pt shot from 1 ft (assist by C. Lee),2,60-67,,
5:11.0,,,60-67,,D. Rose misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by Z. Randolph,,60-67,,
5:01.0,J. Green misses 2-pt shot from 2 ft,,60-67,,
5:00.0,,,60-67,,Defensive rebound by T. Gibson
4:52.0,,,60-67,,T. Gibson misses 2-pt shot at rim
4:51.0,Defensive rebound by M. Conley,,60-67,,
4:37.0,Z. Randolph misses 2-pt shot from 17 ft,,60-67,,
4:36.0,,,60-67,,Defensive rebound by J. Butler
4:28.0,,,60-67,,J. Butler misses 2-pt shot from 5 ft
4:27.0,Defensive rebound by Z. Randolph,,60-67,,
4:12.0,Turnover by M. Gasol (lost ball; steal by J. Butler),,60-67,,
4:08.0,,,60-69,2,J. Butler makes 2-pt shot from 1 ft
4:07.0,Memphis full timeout,,60-69,,
4:07.0,,,60-69,,J. Noah enters the game for T. Gibson
4:07.0,M. Chalmers enters the game for M. Gasol,,60-69,,
4:07.0,J. Green enters the game for M. Conley,,60-69,,
3:55.0,Turnover by J. Green (traveling),,60-69,,
3:40.0,,,60-69,,J. Butler misses 2-pt shot from 2 ft
3:39.0,Defensive rebound by M. Chalmers,,60-69,,
3:29.0,Turnover by M. Chalmers (bad pass),,60-69,,
3:29.0,,,60-69,,N. Mirotic enters the game for P. Gasol
3:16.0,,,60-69,,D. Rose misses 2-pt shot from 21 ft
3:15.0,Defensive rebound by Z. Randolph,,60-69,,
2:54.0,J. Green makes 2-pt shot from 4 ft (assist by Z. Randolph),2,62-69,,
2:31.0,,,62-69,,T. Snell misses 2-pt shot from 7 ft
2:30.0,Defensive rebound by Z. Randolph,,62-69,,
2:13.0,J. Green misses 2-pt shot from 17 ft,,62-69,,
2:12.0,,,62-69,,Defensive rebound by N. Mirotic
2:06.0,,,62-69,,D. Rose misses 2-pt shot from 2 ft
2:05.0,Defensive rebound by Z. Randolph,,62-69,,
1:54.0,Turnover by M. Chalmers (bad pass; steal by N. Mirotic),,62-69,,
1:39.0,,,62-71,2,J. Butler makes 2-pt shot at rim (assist by J. Noah)
1:38.0,Memphis full timeout,,62-71,,
1:38.0,J. Ennis enters the game for J. Green,,62-71,,
1:38.0,,,62-71,,A. Brooks enters the game for T. Snell
1:38.0,,,62-71,,D. McDermott enters the game for D. Rose
1:23.0,Shooting foul by N. Mirotic (drawn by J. Green),,62-71,,
1:23.0,J. Green makes free throw 1 of 2,1,63-71,,
1:23.0,J. Green makes free throw 2 of 2,1,64-71,,
1:10.0,,,64-71,,J. Butler misses 2-pt shot from 15 ft
1:09.0,Defensive rebound by J. Green,,64-71,,
0:59.0,Z. Randolph misses 2-pt shot from 8 ft (block by J. Noah),,64-71,,
0:56.0,,,64-71,,Defensive rebound by J. Noah
0:56.0,,,64-71,,Turnover by J. Noah (bad pass)
0:43.0,J. Green makes 2-pt shot from 13 ft (assist by C. Lee),2,66-71,,
0:33.0,,,66-71,,J. Noah misses 2-pt shot from 3 ft
0:32.0,Defensive rebound by Z. Randolph,,66-71,,
0:23.0,Turnover by J. Ennis (bad pass),,66-71,,
0:02.0,,,66-74,3,D. McDermott makes 3-pt shot from 26 ft (assist by A. Brooks)
0:00.0,J. Green misses 3-pt shot from 51 ft,,66-74,,
0:00.0,Offensive rebound by Team,,66-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,66-74,,Turnover by D. McDermott (traveling)
11:25.0,J. Green misses 2-pt shot from 22 ft,,66-74,,
11:25.0,Offensive rebound by Team,,66-74,,
11:25.0,Turnover by Team (shot clock),,66-74,,
11:17.0,,,66-74,,Turnover by J. Noah (bad pass)
11:08.0,,,66-74,,Personal foul by K. Hinrich (drawn by M. Chalmers)
10:55.0,Turnover by C. Lee (lost ball; steal by N. Mirotic),,66-74,,
10:48.0,,,66-74,,A. Brooks misses 3-pt shot from 26 ft
10:47.0,Defensive rebound by C. Lee,,66-74,,
10:37.0,Turnover by J. Green (step out of bounds),,66-74,,
10:37.0,Memphis full timeout,,66-74,,
10:24.0,,,66-74,,D. McDermott misses 2-pt shot from 22 ft
10:23.0,,,66-74,,Offensive rebound by A. Brooks
10:10.0,,,66-77,3,D. McDermott makes 3-pt shot from 23 ft (assist by N. Mirotic)
9:53.0,Z. Randolph makes 2-pt shot from 1 ft (assist by J. Ennis),2,68-77,,
9:29.0,,,68-77,,K. Hinrich misses 2-pt shot from 10 ft
9:29.0,Defensive rebound by Z. Randolph,,68-77,,
9:29.0,,,68-77,,Personal foul by J. Noah (drawn by Z. Randolph)
9:29.0,M. Conley enters the game for C. Lee,,68-77,,
9:20.0,Shooting foul by A. Brooks (drawn by M. Chalmers),,68-77,,
9:20.0,M. Chalmers misses free throw 1 of 2,,68-77,,
9:20.0,Offensive rebound by Team,,68-77,,
9:20.0,M. Chalmers misses free throw 2 of 2,,68-77,,
9:18.0,,,68-77,,Defensive rebound by D. McDermott
9:10.0,,,68-77,,Shooting foul by M. Chalmers (drawn by A. Brooks)
9:10.0,,,68-77,,A. Brooks misses free throw 1 of 2
9:10.0,,,68-77,,Offensive rebound by Team
9:10.0,M. Gasol enters the game for J. Green,,68-77,,
9:10.0,,,68-78,1,A. Brooks makes free throw 2 of 2
8:56.0,Offensive foul by M. Gasol,,68-78,,
8:56.0,Turnover by M. Gasol (offensive foul),,68-78,,
8:56.0,,,68-78,,P. Gasol enters the game for N. Mirotic
8:45.0,,,68-78,,D. McDermott misses 2-pt shot from 19 ft
8:44.0,Defensive rebound by Z. Randolph,,68-78,,
8:37.0,Shooting foul by D. McDermott (drawn by J. Ennis),,68-78,,
8:37.0,J. Ennis makes free throw 1 of 2,1,69-78,,
8:37.0,J. Ennis misses free throw 2 of 2,,69-78,,
8:35.0,,,69-78,,Defensive rebound by P. Gasol
8:18.0,,,69-81,3,A. Brooks makes 3-pt shot from 25 ft (assist by K. Hinrich)
8:02.0,J. Ennis makes 3-pt shot from 25 ft (assist by M. Gasol),3,72-81,,
7:38.0,,,72-81,,D. McDermott misses 3-pt shot from 23 ft (block by J. Ennis)
7:36.0,,,72-81,,Offensive rebound by A. Brooks
7:34.0,,,72-81,,A. Brooks misses 2-pt shot from 5 ft
7:34.0,,,72-81,,Offensive rebound by Team
7:34.0,,,72-81,,Turnover by Team (shot clock)
7:34.0,,,72-81,,J. Butler enters the game for K. Hinrich
7:34.0,J. Green enters the game for J. Ennis,,72-81,,
7:22.0,M. Gasol makes 2-pt shot from 2 ft (assist by J. Green),2,74-81,,
7:06.0,,,74-84,3,D. McDermott makes 3-pt shot from 24 ft (assist by P. Gasol)
6:40.0,M. Conley misses 3-pt shot from 24 ft,,74-84,,
6:39.0,,,74-84,,Defensive rebound by P. Gasol
6:23.0,Personal foul by Z. Randolph (drawn by P. Gasol),,74-84,,
6:08.0,,,74-84,,A. Brooks misses 3-pt shot from 27 ft
6:07.0,Defensive rebound by M. Gasol,,74-84,,
5:57.0,Z. Randolph makes 2-pt shot from 6 ft (assist by J. Green),2,76-84,,
5:30.0,,,76-84,,A. Brooks misses 2-pt shot from 6 ft
5:29.0,Defensive rebound by Z. Randolph,,76-84,,
5:07.0,Z. Randolph misses 2-pt shot from 18 ft,,76-84,,
5:06.0,,,76-84,,Defensive rebound by P. Gasol
4:59.0,Personal foul by M. Chalmers (drawn by J. Butler),,76-84,,
4:59.0,,,76-84,,Chicago full timeout
4:59.0,,,76-84,,D. Rose enters the game for A. Brooks
4:59.0,C. Lee enters the game for M. Chalmers,,76-84,,
4:46.0,,,76-86,2,D. Rose makes 2-pt shot from 8 ft
4:27.0,M. Conley makes 3-pt shot from 26 ft (assist by M. Gasol),3,79-86,,
4:14.0,,,79-88,2,D. McDermott makes 2-pt shot at rim (assist by J. Noah)
3:54.0,M. Conley misses 2-pt shot from 12 ft,,79-88,,
3:53.0,,,79-88,,Defensive rebound by P. Gasol
3:29.0,,,79-88,,J. Butler misses 2-pt shot from 8 ft
3:28.0,Defensive rebound by M. Gasol,,79-88,,
3:20.0,Shooting foul by D. Rose (drawn by M. Conley),,79-88,,
3:20.0,M. Conley misses free throw 1 of 2,,79-88,,
3:20.0,Offensive rebound by Team,,79-88,,
3:20.0,M. Conley makes free throw 2 of 2,1,80-88,,
3:10.0,Personal foul by Z. Randolph (drawn by P. Gasol),,80-88,,
3:07.0,Personal foul by Z. Randolph (drawn by D. Rose),,80-88,,
3:07.0,,,80-88,,D. Rose misses free throw 1 of 2
3:07.0,,,80-88,,Offensive rebound by Team
3:07.0,,,80-89,1,D. Rose makes free throw 2 of 2
2:54.0,Shooting foul by P. Gasol (drawn by J. Green),,80-89,,
2:54.0,,,80-89,,Chicago full timeout
2:54.0,M. Barnes enters the game for Z. Randolph,,80-89,,
2:54.0,J. Green misses free throw 1 of 2,,80-89,,
2:54.0,Offensive rebound by Team,,80-89,,
2:54.0,J. Green makes free throw 2 of 2,1,81-89,,
2:44.0,,,81-91,2,P. Gasol makes 2-pt shot from 1 ft (assist by J. Noah)
2:44.0,,,81-91,,Shooting foul by C. Lee (drawn by P. Gasol)
2:44.0,,,81-92,1,P. Gasol makes free throw 1 of 1
2:33.0,,,81-92,,Personal foul by J. Noah (drawn by M. Barnes)
2:33.0,M. Barnes makes free throw 1 of 2,1,82-92,,
2:33.0,M. Barnes makes free throw 2 of 2,1,83-92,,
