time,Boston,pts.away,score,pts.home,LA Clippers
8:17.0,J. Sullinger misses 2-pt shot from 20 ft,,10-11,,
8:17.0,,,10-11,,Defensive rebound by D. Jordan
8:03.0,,,10-13,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
7:37.0,Turnover by A. Bradley (lost ball),,10-13,,
7:22.0,,,10-15,2,P. Pierce makes 2-pt shot from 10 ft (assist by C. Paul)
7:09.0,I. Thomas misses 2-pt shot from 1 ft (block by D. Jordan),,10-15,,
7:08.0,,,10-15,,Defensive rebound by C. Paul
7:00.0,,,10-17,2,J. Redick makes 2-pt shot from 3 ft (assist by P. Pierce)
7:00.0,Boston full timeout,,10-17,,
6:42.0,J. Sullinger misses 2-pt shot from 3 ft,,10-17,,
6:40.0,Offensive rebound by A. Johnson,,10-17,,
6:40.0,A. Johnson makes 2-pt shot at rim,2,12-17,,
6:15.0,,,12-19,2,L. Mbah a Moute makes 2-pt shot from 21 ft (assist by C. Paul)
5:55.0,E. Turner makes 2-pt shot from 12 ft,2,14-19,,
5:44.0,,,14-21,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
5:44.0,,,14-21,,Shooting foul by A. Johnson (drawn by D. Jordan)
5:44.0,,,14-21,,W. Johnson enters the game for P. Pierce
5:44.0,M. Smart enters the game for J. Sullinger,,14-21,,
5:44.0,K. Olynyk enters the game for A. Bradley,,14-21,,
5:44.0,,,14-21,,D. Jordan misses free throw 1 of 1
5:44.0,Defensive rebound by K. Olynyk,,14-21,,
5:34.0,Turnover by M. Smart (lost ball; steal by D. Jordan),,14-21,,
5:24.0,,,14-21,,C. Paul misses 2-pt shot at rim
5:23.0,Defensive rebound by A. Johnson,,14-21,,
5:17.0,I. Thomas misses 3-pt shot from 24 ft,,14-21,,
5:14.0,,,14-21,,Defensive rebound by J. Redick
5:02.0,,,14-21,,J. Redick misses 2-pt shot from 20 ft
5:00.0,Defensive rebound by E. Turner,,14-21,,
4:56.0,,,14-21,,Personal foul by J. Redick
4:56.0,T. Zeller enters the game for A. Johnson,,14-21,,
4:56.0,,,14-21,,J. Crawford enters the game for J. Redick
4:37.0,T. Zeller misses 2-pt shot from 6 ft,,14-21,,
4:35.0,,,14-21,,Defensive rebound by D. Jordan
4:26.0,,,14-21,,Turnover by J. Crawford (lost ball; steal by M. Smart)
4:20.0,I. Thomas makes 3-pt shot from 23 ft (assist by M. Smart),3,17-21,,
4:01.0,Personal foul by I. Thomas,,17-21,,
4:01.0,,,17-21,,J. Green enters the game for L. Mbah a Moute
3:57.0,Personal foul by I. Thomas,,17-21,,
3:49.0,,,17-23,2,C. Paul makes 2-pt shot from 7 ft
3:34.0,E. Turner misses 3-pt shot from 24 ft,,17-23,,
3:34.0,,,17-23,,Defensive rebound by J. Green
3:34.0,Loose ball foul by T. Zeller,,17-23,,
3:22.0,Personal foul by M. Smart,,17-23,,
3:22.0,,,17-24,1,C. Paul makes free throw 1 of 2
3:22.0,,,17-25,1,C. Paul makes free throw 2 of 2
3:03.0,M. Smart misses 3-pt shot from 23 ft,,17-25,,
3:03.0,,,17-25,,Defensive rebound by D. Jordan
2:51.0,,,17-25,,J. Green misses 2-pt shot from 11 ft
2:50.0,,,17-25,,Offensive rebound by D. Jordan
2:49.0,,,17-25,,D. Jordan misses 2-pt shot from 5 ft
2:49.0,,,17-25,,Offensive rebound by Team
2:49.0,Loose ball foul by K. Olynyk,,17-25,,
2:49.0,,,17-25,,LA Clippers full timeout
2:49.0,T. Rozier enters the game for I. Thomas,,17-25,,
2:49.0,,,17-25,,J. Green misses free throw 1 of 2
2:49.0,,,17-25,,Offensive rebound by Team
2:49.0,,,17-26,1,J. Green makes free throw 2 of 2
2:35.0,K. Olynyk misses 2-pt shot from 8 ft,,17-26,,
2:32.0,Offensive rebound by T. Zeller,,17-26,,
2:23.0,E. Turner misses 2-pt shot from 16 ft,,17-26,,
2:21.0,,,17-26,,Defensive rebound by J. Crawford
2:12.0,,,17-26,,C. Paul misses 2-pt shot from 17 ft
2:10.0,Defensive rebound by K. Olynyk,,17-26,,
1:55.0,T. Zeller makes 2-pt shot from 18 ft (assist by M. Smart),2,19-26,,
1:32.0,,,19-26,,Turnover by D. Jordan (lost ball)
1:32.0,,,19-26,,A. Rivers enters the game for C. Paul
1:15.0,,,19-26,,Personal block foul by J. Crawford
1:09.0,T. Zeller makes 2-pt shot from 19 ft (assist by E. Turner),2,21-26,,
0:47.0,,,21-29,3,W. Johnson makes 3-pt shot from 22 ft (assist by A. Rivers)
0:32.0,K. Olynyk makes 3-pt shot from 24 ft (assist by M. Smart),3,24-29,,
0:28.0,Personal take foul by T. Zeller,,24-29,,
0:28.0,,,24-30,1,D. Jordan makes free throw 1 of 2
0:28.0,,,24-30,,D. Jordan misses free throw 2 of 2
0:28.0,Defensive rebound by K. Olynyk,,24-30,,
0:14.0,T. Zeller misses 2-pt shot from 19 ft,,24-30,,
0:14.0,Offensive rebound by T. Rozier,,24-30,,
0:04.0,E. Turner misses 2-pt shot from 18 ft,,24-30,,
0:01.0,,,24-30,,Defensive rebound by J. Green
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,24-30,,J. Green misses 2-pt shot from 6 ft
11:49.0,Defensive rebound by M. Smart,,24-30,,
11:34.0,T. Zeller misses 2-pt shot at rim,,24-30,,
11:32.0,,,24-30,,Defensive rebound by W. Johnson
11:19.0,,,24-30,,W. Johnson misses 3-pt shot from 24 ft
11:19.0,Defensive rebound by K. Olynyk,,24-30,,
11:11.0,M. Smart makes 2-pt shot from 1 ft,2,26-30,,
10:53.0,,,26-30,,J. Green misses 2-pt shot from 20 ft
10:51.0,Defensive rebound by T. Rozier,,26-30,,
10:43.0,K. Olynyk misses 2-pt shot from 7 ft,,26-30,,
10:41.0,,,26-30,,Defensive rebound by J. Green
10:35.0,,,26-32,2,W. Johnson makes 2-pt shot from 20 ft (assist by J. Crawford)
10:11.0,M. Smart misses 3-pt shot from 24 ft,,26-32,,
10:10.0,Offensive rebound by T. Zeller,,26-32,,
10:01.0,Turnover by M. Smart (lost ball; steal by A. Rivers),,26-32,,
9:58.0,,,26-32,,Shooting foul by T. Rozier (drawn by A. Rivers)
9:58.0,,,26-33,1,A. Rivers makes free throw 1 of 2
9:58.0,J. Jerebko enters the game for T. Zeller,,26-33,,
9:58.0,,,26-34,1,A. Rivers makes free throw 2 of 2
9:37.0,M. Smart makes 2-pt shot from 5 ft (assist by K. Olynyk),2,28-34,,
9:23.0,,,28-34,,J. Green misses 2-pt shot from 9 ft
9:22.0,,,28-34,,Offensive rebound by C. Aldrich
9:18.0,,,28-37,3,A. Rivers makes 3-pt shot from 25 ft (assist by C. Aldrich)
9:05.0,J. Jerebko misses 2-pt shot from 2 ft,,28-37,,
9:05.0,Offensive rebound by J. Jerebko,,28-37,,
8:59.0,M. Smart misses 3-pt shot from 23 ft,,28-37,,
8:56.0,Offensive rebound by K. Olynyk,,28-37,,
8:56.0,K. Olynyk misses 2-pt shot from 1 ft,,28-37,,
8:53.0,Offensive rebound by J. Jerebko,,28-37,,
8:53.0,J. Jerebko misses 2-pt shot from 1 ft,,28-37,,
8:52.0,Offensive rebound by M. Smart,,28-37,,
8:49.0,Turnover by T. Rozier (lost ball; steal by W. Johnson),,28-37,,
8:45.0,,,28-37,,Turnover by J. Crawford (step out of bounds)
8:45.0,Official timeout,,28-37,,
8:30.0,A. Bradley makes 3-pt shot from 24 ft (assist by T. Rozier),3,31-37,,
8:11.0,,,31-37,,Shooting foul by T. Rozier (drawn by A. Rivers)
8:11.0,,,31-38,1,A. Rivers makes free throw 1 of 2
8:11.0,,,31-38,,J. Redick enters the game for W. Johnson
8:11.0,,,31-39,1,A. Rivers makes free throw 2 of 2
8:02.0,Shooting foul by J. Redick (drawn by J. Jerebko),,31-39,,
8:02.0,J. Jerebko makes free throw 1 of 2,1,32-39,,
8:02.0,J. Jerebko makes free throw 2 of 2,1,33-39,,
7:43.0,,,33-39,,Turnover by J. Green (lost ball)
7:24.0,K. Olynyk misses 2-pt shot from 7 ft,,33-39,,
7:24.0,,,33-39,,Defensive rebound by Team
7:24.0,Loose ball foul by J. Jerebko,,33-39,,
7:24.0,,,33-39,,P. Pierce enters the game for J. Green
7:24.0,A. Johnson enters the game for K. Olynyk,,33-39,,
7:22.0,,,33-39,,Turnover by C. Aldrich (lost ball; steal by J. Jerebko)
7:18.0,,,33-39,,Personal block foul by C. Aldrich
7:07.0,A. Bradley misses 2-pt shot from 19 ft,,33-39,,
7:07.0,,,33-39,,Defensive rebound by C. Aldrich
6:57.0,,,33-39,,A. Rivers misses 2-pt shot from 2 ft (block by A. Johnson)
6:56.0,,,33-39,,Offensive rebound by C. Aldrich
6:53.0,,,33-41,2,C. Aldrich makes 2-pt shot from 1 ft
6:37.0,T. Rozier misses 3-pt shot from 25 ft,,33-41,,
6:36.0,Offensive rebound by J. Jerebko,,33-41,,
6:29.0,T. Rozier misses 2-pt shot from 18 ft,,33-41,,
6:29.0,,,33-41,,Defensive rebound by P. Pierce
6:20.0,,,33-44,3,J. Crawford makes 3-pt shot from 26 ft (assist by P. Pierce)
6:20.0,Boston full timeout,,33-44,,
6:20.0,I. Thomas enters the game for T. Rozier,,33-44,,
6:06.0,I. Thomas misses 3-pt shot from 24 ft,,33-44,,
6:05.0,,,33-44,,Defensive rebound by J. Crawford
5:54.0,,,33-46,2,P. Pierce makes 2-pt shot from 16 ft
5:40.0,Turnover by A. Johnson (lost ball; steal by A. Rivers),,33-46,,
5:34.0,,,33-49,3,J. Crawford makes 3-pt shot from 24 ft
5:34.0,Boston full timeout,,33-49,,
5:34.0,J. Sullinger enters the game for J. Jerebko,,33-49,,
5:17.0,Turnover by J. Sullinger (lost ball; steal by P. Pierce),,33-49,,
5:12.0,,,33-49,,Turnover by A. Rivers (lost ball; steal by A. Bradley)
5:07.0,,,33-49,,Personal block foul by J. Redick
5:07.0,,,33-49,,C. Paul enters the game for J. Redick
5:01.0,Shooting foul by P. Pierce (drawn by J. Sullinger),,33-49,,
5:01.0,J. Sullinger misses free throw 1 of 2,,33-49,,
5:01.0,Offensive rebound by Team,,33-49,,
5:01.0,E. Turner enters the game for M. Smart,,33-49,,
5:01.0,,,33-49,,D. Jordan enters the game for C. Aldrich
5:01.0,J. Sullinger makes free throw 2 of 2,1,34-49,,
4:47.0,,,34-52,3,A. Rivers makes 3-pt shot from 22 ft (assist by C. Paul)
4:24.0,I. Thomas makes 3-pt shot from 24 ft,3,37-52,,
4:03.0,,,37-54,2,P. Pierce makes 2-pt shot from 20 ft (assist by C. Paul)
3:57.0,,,37-54,,Personal foul by P. Pierce
3:57.0,I. Thomas makes free throw 1 of 2,1,38-54,,
3:57.0,I. Thomas makes free throw 2 of 2,1,39-54,,
3:44.0,,,39-54,,J. Crawford misses 3-pt shot from 26 ft
3:43.0,Defensive rebound by E. Turner,,39-54,,
3:29.0,A. Bradley misses 2-pt shot from 19 ft,,39-54,,
3:28.0,Offensive rebound by J. Sullinger,,39-54,,
3:21.0,E. Turner makes 2-pt shot from 12 ft (assist by J. Sullinger),2,41-54,,
3:03.0,,,41-54,,P. Pierce misses 3-pt shot from 23 ft
3:02.0,Defensive rebound by J. Sullinger,,41-54,,
2:56.0,I. Thomas makes 2-pt shot from 2 ft,2,43-54,,
2:45.0,,,43-56,2,C. Paul makes 2-pt shot from 17 ft
2:26.0,E. Turner misses 2-pt shot from 6 ft,,43-56,,
2:24.0,,,43-56,,Defensive rebound by P. Pierce
2:07.0,,,43-58,2,P. Pierce makes 2-pt shot from 1 ft (assist by C. Paul)
2:06.0,,,43-58,,Personal take foul by A. Rivers
2:06.0,,,43-58,,LA Clippers full timeout
2:06.0,,,43-58,,Technical foul by A. Rivers
2:06.0,A. Bradley misses technical free throw,,43-58,,
2:06.0,Offensive rebound by Team,,43-58,,
2:06.0,,,43-58,,J. Green enters the game for P. Pierce
2:06.0,I. Thomas makes free throw 1 of 2,1,44-58,,
2:06.0,I. Thomas makes free throw 2 of 2,1,45-58,,
1:44.0,,,45-58,,D. Jordan misses 2-pt shot from 3 ft
1:43.0,Defensive rebound by J. Sullinger,,45-58,,
1:30.0,,,45-58,,Personal foul by J. Crawford
1:30.0,A. Johnson misses free throw 1 of 2,,45-58,,
1:30.0,Offensive rebound by Team,,45-58,,
1:30.0,A. Johnson makes free throw 2 of 2,1,46-58,,
1:14.0,,,46-58,,C. Paul misses 2-pt shot from 17 ft
1:14.0,,,46-58,,Offensive rebound by D. Jordan
1:14.0,,,46-58,,Shooting foul by J. Sullinger (drawn by D. Jordan)
1:14.0,,,46-59,1,D. Jordan makes free throw 1 of 2
1:14.0,,,46-60,1,D. Jordan makes free throw 2 of 2
0:57.0,J. Sullinger makes 2-pt shot from 7 ft,2,48-60,,
0:39.0,,,48-62,2,J. Green makes 2-pt shot from 7 ft (assist by C. Paul)
0:31.0,Shooting foul by A. Rivers (drawn by I. Thomas),,48-62,,
0:31.0,I. Thomas makes free throw 1 of 2,1,49-62,,
0:31.0,K. Olynyk enters the game for A. Johnson,,49-62,,
0:31.0,I. Thomas makes free throw 2 of 2,1,50-62,,
0:29.0,Personal foul by K. Olynyk,,50-62,,
0:29.0,,,50-63,1,D. Jordan makes free throw 1 of 2
0:29.0,,,50-63,,L. Mbah a Moute enters the game for J. Crawford
0:29.0,,,50-64,1,D. Jordan makes free throw 2 of 2
0:13.0,I. Thomas misses 2-pt shot from 2 ft,,50-64,,
0:12.0,,,50-64,,Defensive rebound by D. Jordan
0:12.0,,,50-64,,LA Clippers full timeout
0:12.0,,,50-64,,W. Johnson enters the game for L. Mbah a Moute
0:12.0,,,50-64,,J. Crawford enters the game for D. Jordan
0:12.0,A. Johnson enters the game for J. Sullinger,,50-64,,
0:12.0,M. Smart enters the game for K. Olynyk,,50-64,,
0:02.0,,,50-67,3,C. Paul makes 3-pt shot from 26 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,50-67,,Turnover by C. Paul (lost ball; steal by A. Johnson)
11:31.0,E. Turner misses 2-pt shot from 12 ft,,50-67,,
11:30.0,,,50-67,,Defensive rebound by C. Paul
11:20.0,,,50-67,,C. Paul misses 2-pt shot from 20 ft
11:19.0,Defensive rebound by J. Sullinger,,50-67,,
11:00.0,J. Sullinger misses 2-pt shot from 10 ft,,50-67,,
10:57.0,,,50-67,,Defensive rebound by D. Jordan
10:43.0,,,50-67,,J. Redick misses 2-pt shot from 21 ft
10:42.0,Defensive rebound by A. Johnson,,50-67,,
10:35.0,J. Sullinger misses 2-pt shot from 20 ft,,50-67,,
10:33.0,,,50-67,,Defensive rebound by D. Jordan
10:26.0,Personal foul by A. Johnson,,50-67,,
10:11.0,,,50-69,2,W. Johnson makes 2-pt shot from 22 ft (assist by J. Redick)
9:53.0,A. Bradley makes 3-pt shot from 24 ft (assist by A. Johnson),3,53-69,,
9:34.0,,,53-69,,J. Redick misses 2-pt shot from 12 ft
9:32.0,Defensive rebound by A. Johnson,,53-69,,
9:28.0,I. Thomas misses 2-pt shot from 6 ft,,53-69,,
9:25.0,,,53-69,,Defensive rebound by C. Paul
9:21.0,,,53-71,2,W. Johnson makes 2-pt shot at rim (assist by C. Paul)
8:57.0,A. Bradley misses 2-pt shot from 1 ft,,53-71,,
8:55.0,Offensive rebound by J. Sullinger,,53-71,,
8:55.0,J. Sullinger misses 2-pt shot at rim,,53-71,,
8:50.0,Offensive rebound by J. Sullinger,,53-71,,
8:45.0,E. Turner misses 2-pt shot from 16 ft,,53-71,,
8:44.0,Offensive rebound by J. Sullinger,,53-71,,
8:38.0,J. Sullinger makes 2-pt shot from 9 ft,2,55-71,,
8:17.0,,,55-71,,C. Paul misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by A. Johnson,,55-71,,
8:12.0,Shooting foul by D. Jordan (drawn by I. Thomas),,55-71,,
8:12.0,I. Thomas makes free throw 1 of 2,1,56-71,,
8:12.0,M. Smart enters the game for E. Turner,,56-71,,
8:12.0,I. Thomas makes free throw 2 of 2,1,57-71,,
7:59.0,Personal foul by M. Smart,,57-71,,
7:47.0,,,57-71,,J. Redick misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by A. Bradley,,57-71,,
7:34.0,A. Johnson misses 2-pt shot from 6 ft,,57-71,,
7:32.0,,,57-71,,Defensive rebound by J. Redick
7:30.0,,,57-71,,Shooting foul by A. Johnson (drawn by W. Johnson)
7:30.0,,,57-72,1,W. Johnson makes free throw 1 of 2
7:30.0,,,57-73,1,W. Johnson makes free throw 2 of 2
7:19.0,A. Bradley misses 2-pt shot from 19 ft,,57-73,,
7:19.0,Offensive rebound by J. Sullinger,,57-73,,
7:09.0,Turnover by A. Bradley (lost ball; steal by J. Redick),,57-73,,
7:03.0,,,57-73,,C. Paul misses 2-pt shot from 1 ft (block by A. Bradley)
7:01.0,Defensive rebound by M. Smart,,57-73,,
7:01.0,K. Olynyk enters the game for A. Johnson,,57-73,,
6:53.0,,,57-73,,Personal foul by W. Johnson
6:43.0,Turnover by A. Bradley (lost ball; steal by L. Mbah a Moute),,57-73,,
6:38.0,,,57-73,,W. Johnson misses 2-pt shot at rim
6:35.0,,,57-73,,Offensive rebound by D. Jordan
6:35.0,,,57-75,2,D. Jordan makes 2-pt shot at rim
6:16.0,J. Sullinger makes 2-pt shot from 2 ft (assist by I. Thomas),2,59-75,,
6:03.0,Personal foul by I. Thomas,,59-75,,
6:03.0,J. Jerebko enters the game for A. Bradley,,59-75,,
5:55.0,,,59-75,,C. Paul misses 2-pt shot from 18 ft
5:53.0,Defensive rebound by J. Sullinger,,59-75,,
5:45.0,J. Sullinger misses 2-pt shot from 20 ft,,59-75,,
5:45.0,,,59-75,,Defensive rebound by D. Jordan
5:35.0,,,59-75,,W. Johnson misses 3-pt shot from 24 ft
5:34.0,Defensive rebound by J. Jerebko,,59-75,,
5:26.0,Shooting foul by W. Johnson (drawn by I. Thomas),,59-75,,
5:26.0,,,59-75,,LA Clippers full timeout
5:26.0,,,59-75,,Violation by Team (jump ball)
5:26.0,,,59-75,,J. Crawford enters the game for W. Johnson
5:26.0,I. Thomas misses free throw 1 of 2,,59-75,,
5:26.0,Offensive rebound by Team,,59-75,,
5:26.0,I. Thomas makes free throw 2 of 2,1,60-75,,
5:07.0,,,60-77,2,J. Redick makes 2-pt shot from 3 ft (assist by D. Jordan)
4:54.0,Shooting foul by D. Jordan (drawn by I. Thomas),,60-77,,
4:54.0,I. Thomas makes free throw 1 of 2,1,61-77,,
4:54.0,I. Thomas makes free throw 2 of 2,1,62-77,,
4:36.0,,,62-77,,C. Paul misses 3-pt shot from 25 ft
4:34.0,Defensive rebound by J. Sullinger,,62-77,,
4:28.0,M. Smart makes 2-pt shot from 2 ft (assist by J. Sullinger),2,64-77,,
4:13.0,,,64-77,,Offensive foul by C. Paul
4:13.0,,,64-77,,Turnover by C. Paul (offensive foul)
4:13.0,,,64-77,,A. Rivers enters the game for J. Redick
4:02.0,I. Thomas makes 2-pt shot from 9 ft,2,66-77,,
3:40.0,,,66-79,2,J. Crawford makes 2-pt shot from 9 ft
3:35.0,Turnover by I. Thomas (lost ball; steal by C. Paul),,66-79,,
3:32.0,,,66-79,,Turnover by C. Paul (bad pass)
3:32.0,,,66-79,,J. Green enters the game for L. Mbah a Moute
3:23.0,,,66-79,,Personal foul by A. Rivers
3:23.0,J. Jerebko makes free throw 1 of 2,1,67-79,,
3:23.0,E. Turner enters the game for J. Sullinger,,67-79,,
3:23.0,J. Jerebko makes free throw 2 of 2,1,68-79,,
3:07.0,,,68-81,2,D. Jordan makes 2-pt shot from 2 ft (assist by J. Crawford)
2:55.0,M. Smart misses 2-pt shot at rim (block by D. Jordan),,68-81,,
2:52.0,,,68-81,,Defensive rebound by C. Paul
2:48.0,,,68-81,,A. Rivers misses 2-pt shot from 1 ft (block by J. Jerebko)
2:45.0,Defensive rebound by E. Turner,,68-81,,
2:44.0,Turnover by I. Thomas (bad pass),,68-81,,
2:44.0,Boston full timeout,,68-81,,
2:25.0,,,68-84,3,J. Green makes 3-pt shot from 23 ft (assist by C. Paul)
2:00.0,I. Thomas misses 2-pt shot from 7 ft (block by D. Jordan),,68-84,,
2:00.0,Offensive rebound by Team,,68-84,,
1:56.0,M. Smart misses 2-pt shot from 2 ft,,68-84,,
1:54.0,,,68-84,,Defensive rebound by D. Jordan
1:50.0,,,68-86,2,J. Green makes 2-pt shot from 1 ft (assist by C. Paul)
1:44.0,Turnover by M. Smart (lost ball; steal by C. Paul),,68-86,,
1:38.0,,,68-86,,J. Crawford misses 3-pt shot from 23 ft
1:34.0,Defensive rebound by M. Smart,,68-86,,
1:27.0,I. Thomas misses 2-pt shot from 1 ft,,68-86,,
1:27.0,Offensive rebound by M. Smart,,68-86,,
1:27.0,M. Smart makes 2-pt shot at rim,2,70-86,,
1:16.0,,,70-86,,P. Prigioni enters the game for C. Paul
1:03.0,,,70-89,3,J. Crawford makes 3-pt shot from 28 ft
0:46.0,K. Olynyk misses 2-pt shot from 12 ft,,70-89,,
0:44.0,,,70-89,,Defensive rebound by D. Jordan
0:33.0,,,70-92,3,J. Crawford makes 3-pt shot from 26 ft (assist by D. Jordan)
0:25.0,I. Thomas misses 2-pt shot from 10 ft,,70-92,,
0:24.0,,,70-92,,Defensive rebound by P. Prigioni
0:04.0,,,70-92,,J. Crawford misses 3-pt shot from 31 ft
0:02.0,Defensive rebound by J. Jerebko,,70-92,,
0:01.0,J. Jerebko misses 3-pt shot from 77 ft,,70-92,,
0:00.0,Offensive rebound by Team,,70-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,Technical foul by I. Thomas,,70-92,,
12:00.0,,,70-93,1,J. Crawford makes technical free throw
11:39.0,T. Zeller misses 2-pt shot from 7 ft,,70-93,,
11:38.0,,,70-93,,Defensive rebound by A. Rivers
11:21.0,,,70-95,2,A. Rivers makes 2-pt shot from 1 ft (assist by J. Green)
11:09.0,Turnover by T. Zeller (lost ball; steal by P. Prigioni),,70-95,,
11:05.0,,,70-95,,Turnover by C. Aldrich (lost ball; steal by E. Turner)
10:59.0,K. Olynyk misses 3-pt shot from 24 ft,,70-95,,
10:56.0,,,70-95,,Defensive rebound by A. Rivers
10:45.0,,,70-95,,Turnover by A. Rivers (lost ball; steal by A. Bradley)
10:38.0,K. Olynyk makes 3-pt shot from 23 ft (assist by A. Bradley),3,73-95,,
10:21.0,,,73-97,2,A. Rivers makes 2-pt shot from 11 ft
10:15.0,Offensive charge foul by T. Rozier,,73-97,,
10:15.0,Turnover by T. Rozier (offensive foul),,73-97,,
10:02.0,,,73-97,,J. Crawford misses 2-pt shot from 17 ft
10:01.0,Defensive rebound by T. Rozier,,73-97,,
9:50.0,K. Olynyk makes 2-pt shot from 2 ft,2,75-97,,
9:36.0,,,75-97,,Turnover by J. Crawford (lost ball; steal by A. Bradley)
9:30.0,A. Bradley makes 2-pt shot from 1 ft,2,77-97,,
9:14.0,,,77-97,,A. Rivers misses 2-pt shot from 1 ft
9:12.0,,,77-97,,Offensive rebound by P. Prigioni
8:59.0,,,77-99,2,J. Green makes 2-pt shot from 1 ft (assist by P. Prigioni)
8:45.0,A. Bradley misses 2-pt shot from 21 ft,,77-99,,
8:44.0,,,77-99,,Defensive rebound by C. Aldrich
8:27.0,,,77-99,,P. Prigioni misses 3-pt shot from 24 ft
8:27.0,,,77-99,,Offensive rebound by C. Aldrich
8:23.0,,,77-99,,J. Crawford misses 3-pt shot from 23 ft
8:23.0,Defensive rebound by T. Rozier,,77-99,,
8:05.0,T. Zeller makes 2-pt shot from 2 ft,2,79-99,,
7:46.0,,,79-101,2,C. Aldrich makes 2-pt shot from 1 ft (assist by P. Prigioni)
7:33.0,T. Zeller misses 2-pt shot from 5 ft,,79-101,,
7:31.0,,,79-101,,Defensive rebound by C. Aldrich
7:16.0,,,79-101,,J. Crawford misses 3-pt shot from 25 ft
7:15.0,Defensive rebound by E. Turner,,79-101,,
7:08.0,Turnover by T. Rozier (lost ball; steal by J. Crawford),,79-101,,
6:45.0,,,79-101,,J. Green misses 2-pt shot from 8 ft
6:44.0,,,79-101,,Offensive rebound by C. Aldrich
6:44.0,,,79-103,2,C. Aldrich makes 2-pt shot from 5 ft
6:43.0,Boston full timeout,,79-103,,
6:43.0,J. Mickey enters the game for K. Olynyk,,79-103,,
6:28.0,J. Mickey misses 2-pt shot from 1 ft (block by C. Aldrich),,79-103,,
6:26.0,Offensive rebound by J. Mickey,,79-103,,
6:23.0,J. Mickey misses 2-pt shot from 2 ft (block by C. Aldrich),,79-103,,
6:22.0,Offensive rebound by T. Rozier,,79-103,,
6:18.0,T. Rozier makes 2-pt shot from 17 ft,2,81-103,,
5:57.0,,,81-105,2,A. Rivers makes 2-pt shot from 1 ft
5:41.0,Shooting foul by C. Aldrich (drawn by J. Mickey),,81-105,,
5:41.0,Official timeout,,81-105,,
5:41.0,M. Smart enters the game for A. Bradley,,81-105,,
5:41.0,J. Mickey misses free throw 1 of 2,,81-105,,
5:41.0,Offensive rebound by Team,,81-105,,
5:41.0,J. Mickey misses free throw 2 of 2,,81-105,,
5:40.0,,,81-105,,Defensive rebound by J. Green
5:22.0,,,81-105,,J. Crawford misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by J. Mickey,,81-105,,
5:14.0,,,81-105,,C. Wilcox enters the game for J. Crawford
5:14.0,,,81-105,,J. Ayres enters the game for C. Aldrich
5:04.0,M. Smart makes 2-pt shot from 2 ft,2,83-105,,
