time,Detroit,pts.away,score,pts.home,Charlotte
6:09.0,Shooting foul by C. Zeller (drawn by M. Morris),,10-8,,
6:09.0,M. Morris misses free throw 1 of 2,,10-8,,
6:09.0,Offensive rebound by Team,,10-8,,
6:09.0,M. Morris makes free throw 2 of 2,1,11-8,,
5:50.0,,,11-8,,N. Batum misses 2-pt shot from 20 ft
5:49.0,,,11-8,,Offensive rebound by C. Zeller
5:43.0,,,11-11,3,M. Williams makes 3-pt shot from 22 ft (assist by J. Lin)
5:24.0,E. Ilyasova misses 3-pt shot from 25 ft,,11-11,,
5:22.0,,,11-11,,Defensive rebound by P. Hairston
5:17.0,,,11-11,,P. Hairston misses 3-pt shot from 24 ft
5:15.0,Defensive rebound by K. Caldwell-Pope,,11-11,,
5:12.0,Turnover by R. Jackson (bad pass),,11-11,,
5:12.0,,,11-11,,Charlotte full timeout
5:12.0,,,11-11,,F. Kaminsky enters the game for M. Williams
4:55.0,,,11-13,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
4:55.0,,,11-13,,Shooting foul by R. Jackson (drawn by C. Zeller)
4:55.0,,,11-14,1,C. Zeller makes free throw 1 of 1
4:40.0,Shooting foul by F. Kaminsky (drawn by A. Drummond),,11-14,,
4:40.0,A. Drummond misses free throw 1 of 2,,11-14,,
4:40.0,Offensive rebound by Team,,11-14,,
4:40.0,A. Drummond makes free throw 2 of 2,1,12-14,,
4:27.0,,,12-16,2,P. Hairston makes 2-pt shot at rim
4:27.0,,,12-16,,Shooting foul by M. Morris (drawn by P. Hairston)
4:27.0,,,12-17,1,P. Hairston makes free throw 1 of 1
4:07.0,E. Ilyasova makes 3-pt shot from 24 ft,3,15-17,,
3:55.0,,,15-17,,Turnover by N. Batum (lost ball; steal by A. Drummond)
3:52.0,Shooting foul by P. Hairston (drawn by A. Drummond),,15-17,,
3:52.0,A. Drummond misses free throw 1 of 2,,15-17,,
3:52.0,Offensive rebound by Team,,15-17,,
3:52.0,S. Johnson enters the game for M. Morris,,15-17,,
3:52.0,,,15-17,,J. Lamb enters the game for P. Hairston
3:52.0,Turnover by E. Ilyasova (lane violation.),,15-17,,
3:43.0,,,15-17,,C. Zeller misses 2-pt shot from 2 ft
3:38.0,Defensive rebound by E. Ilyasova,,15-17,,
3:36.0,Turnover by E. Ilyasova (traveling),,15-17,,
3:27.0,,,15-17,,Shooting foul by K. Caldwell-Pope (drawn by N. Batum)
3:27.0,,,15-18,1,N. Batum makes free throw 1 of 3
3:27.0,,,15-19,1,N. Batum makes free throw 2 of 3
3:27.0,M. Morris enters the game for K. Caldwell-Pope,,15-19,,
3:27.0,,,15-20,1,N. Batum makes free throw 3 of 3
3:12.0,E. Ilyasova misses 3-pt shot from 23 ft,,15-20,,
3:09.0,Offensive rebound by M. Morris,,15-20,,
3:07.0,M. Morris misses 2-pt shot from 3 ft,,15-20,,
3:07.0,,,15-20,,Defensive rebound by Team
3:07.0,Loose ball foul by A. Drummond (drawn by C. Zeller),,15-20,,
3:07.0,,,15-20,,C. Zeller misses free throw 1 of 2
3:07.0,,,15-20,,Offensive rebound by Team
3:07.0,,,15-21,1,C. Zeller makes free throw 2 of 2
2:48.0,A. Drummond misses 2-pt shot from 8 ft,,15-21,,
2:47.0,,,15-21,,Defensive rebound by F. Kaminsky
2:39.0,,,15-24,3,N. Batum makes 3-pt shot from 24 ft
2:34.0,Detroit full timeout,,15-24,,
2:34.0,,,15-24,,S. Hawes enters the game for C. Zeller
2:34.0,S. Blake enters the game for E. Ilyasova,,15-24,,
2:34.0,A. Tolliver enters the game for R. Jackson,,15-24,,
2:21.0,S. Blake makes 3-pt shot from 25 ft (assist by A. Drummond),3,18-24,,
1:58.0,,,18-26,2,J. Lin makes 2-pt shot from 19 ft
1:38.0,Turnover by S. Blake (bad pass; steal by J. Lin),,18-26,,
1:32.0,,,18-26,,N. Batum misses 3-pt shot from 25 ft
1:30.0,,,18-26,,Offensive rebound by Team
1:19.0,,,18-26,,S. Hawes misses 2-pt shot from 9 ft
1:18.0,Defensive rebound by S. Johnson,,18-26,,
1:12.0,S. Johnson makes 2-pt shot from 9 ft,2,20-26,,
1:00.0,Personal foul by S. Johnson (drawn by J. Lamb),,20-26,,
1:00.0,,,20-26,,J. Lamb misses free throw 1 of 2
1:00.0,,,20-26,,Offensive rebound by Team
1:00.0,,,20-26,,J. Lamb misses free throw 2 of 2
0:59.0,Defensive rebound by A. Drummond,,20-26,,
0:59.0,S. Johnson misses 2-pt shot from 2 ft (block by J. Lamb),,20-26,,
0:59.0,Offensive rebound by S. Blake,,20-26,,
0:41.0,S. Blake misses 3-pt shot from 25 ft,,20-26,,
0:40.0,,,20-26,,Defensive rebound by S. Hawes
0:33.0,,,20-26,,J. Lin misses 2-pt shot from 20 ft
0:31.0,Defensive rebound by A. Drummond,,20-26,,
0:21.0,A. Tolliver misses 3-pt shot from 25 ft,,20-26,,
0:19.0,,,20-26,,Defensive rebound by J. Lin
0:03.0,,,20-28,2,J. Lin makes 2-pt shot from 1 ft
0:00.0,S. Blake misses 3-pt shot from 31 ft,,20-28,,
0:00.0,Offensive rebound by Team,,20-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,20-28,,J. Lamb misses 2-pt shot from 1 ft
11:45.0,,,20-28,,Offensive rebound by J. Lamb
11:45.0,,,20-28,,J. Lamb misses 2-pt shot from 1 ft
11:43.0,,,20-28,,Offensive rebound by J. Lamb
11:43.0,,,20-28,,J. Lamb misses 2-pt shot from 2 ft
11:41.0,,,20-28,,Offensive rebound by J. Lamb
11:41.0,,,20-30,2,J. Lamb makes 2-pt shot from 2 ft
11:15.0,A. Baynes makes 2-pt shot from 9 ft (assist by S. Blake),2,22-30,,
10:56.0,,,22-30,,J. Lin misses 2-pt shot from 9 ft
10:55.0,Defensive rebound by A. Tolliver,,22-30,,
10:52.0,A. Baynes makes 2-pt shot from 1 ft (assist by S. Blake),2,24-30,,
10:52.0,,,24-30,,Charlotte full timeout
10:38.0,,,24-32,2,J. Lamb makes 2-pt shot from 11 ft (assist by J. Lin)
10:22.0,K. Caldwell-Pope makes 2-pt shot from 17 ft,2,26-32,,
10:07.0,,,26-34,2,J. Lamb makes 2-pt shot at rim (assist by S. Hawes)
10:00.0,Detroit full timeout,,26-34,,
9:51.0,Turnover by Team (back court),,26-34,,
9:38.0,,,26-37,3,M. Williams makes 3-pt shot from 24 ft (assist by J. Lamb)
9:15.0,A. Baynes misses 2-pt shot from 6 ft,,26-37,,
9:14.0,,,26-37,,Defensive rebound by M. Williams
9:03.0,,,26-39,2,S. Hawes makes 2-pt shot from 2 ft (assist by J. Lamb)
8:46.0,Shooting foul by J. Lamb (drawn by A. Baynes),,26-39,,
8:46.0,A. Baynes makes 2-pt shot at rim (assist by S. Blake),2,28-39,,
8:46.0,A. Baynes misses free throw 1 of 1,,28-39,,
8:45.0,,,28-39,,Defensive rebound by S. Hawes
8:28.0,,,28-39,,Turnover by F. Kaminsky (lost ball; steal by A. Baynes)
8:11.0,A. Tolliver misses 3-pt shot from 25 ft,,28-39,,
8:10.0,,,28-39,,Defensive rebound by J. Lamb
7:59.0,,,28-39,,J. Lamb misses 2-pt shot from 13 ft
7:58.0,Defensive rebound by A. Tolliver,,28-39,,
7:51.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by S. Blake),2,30-39,,
7:39.0,,,30-42,3,F. Kaminsky makes 3-pt shot from 25 ft
7:22.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,30-42,,
7:21.0,,,30-42,,Defensive rebound by M. Williams
7:09.0,,,30-42,,K. Walker enters the game for J. Lin
6:58.0,,,30-42,,J. Lamb misses 2-pt shot from 15 ft
6:57.0,,,30-42,,Offensive rebound by M. Williams
6:57.0,,,30-44,2,M. Williams makes 2-pt shot from 1 ft
6:41.0,K. Caldwell-Pope makes 2-pt shot from 16 ft (assist by A. Baynes),2,32-44,,
6:20.0,,,32-44,,S. Hawes misses 3-pt shot from 26 ft
6:19.0,Defensive rebound by A. Tolliver,,32-44,,
6:15.0,,,32-44,,Violation by K. Walker (kicked ball)
6:15.0,A. Drummond enters the game for S. Johnson,,32-44,,
6:15.0,M. Morris enters the game for S. Blake,,32-44,,
6:15.0,R. Jackson enters the game for A. Tolliver,,32-44,,
6:15.0,E. Ilyasova enters the game for A. Baynes,,32-44,,
6:15.0,,,32-44,,N. Batum enters the game for M. Williams
6:15.0,,,32-44,,C. Zeller enters the game for J. Lamb
6:15.0,,,32-44,,J. Lin enters the game for S. Hawes
6:02.0,M. Morris makes 2-pt shot from 21 ft (assist by R. Jackson),2,34-44,,
5:37.0,,,34-44,,C. Zeller misses 2-pt shot from 16 ft
5:36.0,Defensive rebound by E. Ilyasova,,34-44,,
5:26.0,M. Morris makes 2-pt shot from 2 ft,2,36-44,,
5:26.0,Shooting foul by J. Lin (drawn by M. Morris),,36-44,,
5:26.0,Official timeout,,36-44,,
5:26.0,M. Morris makes free throw 1 of 1,1,37-44,,
5:14.0,,,37-44,,Shooting foul by A. Drummond (drawn by C. Zeller)
5:14.0,,,37-45,1,C. Zeller makes free throw 1 of 2
5:14.0,,,37-46,1,C. Zeller makes free throw 2 of 2
5:02.0,Turnover by M. Morris (bad pass; steal by N. Batum),,37-46,,
4:56.0,,,37-48,2,N. Batum makes 2-pt shot from 1 ft (assist by K. Walker)
4:41.0,A. Drummond misses 2-pt shot from 1 ft,,37-48,,
4:40.0,,,37-48,,Defensive rebound by C. Zeller
4:36.0,,,37-50,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
4:36.0,,,37-50,,Shooting foul by R. Jackson (drawn by C. Zeller)
4:36.0,,,37-51,1,C. Zeller makes free throw 1 of 1
4:24.0,R. Jackson makes 2-pt shot from 1 ft,2,39-51,,
4:11.0,,,39-51,,K. Walker misses 3-pt shot from 25 ft
4:08.0,,,39-51,,Offensive rebound by N. Batum
4:07.0,,,39-51,,Shooting foul by R. Jackson (drawn by K. Walker)
4:07.0,,,39-52,1,K. Walker makes free throw 1 of 2
4:07.0,S. Blake enters the game for R. Jackson,,39-52,,
4:07.0,,,39-53,1,K. Walker makes free throw 2 of 2
3:48.0,M. Morris misses 3-pt shot from 23 ft,,39-53,,
3:47.0,Offensive rebound by Team,,39-53,,
3:47.0,,,39-53,,Loose ball foul by J. Lin (drawn by E. Ilyasova)
3:40.0,,,39-53,,Violation by C. Zeller (kicked ball)
3:30.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by S. Blake),3,42-53,,
3:14.0,,,42-55,2,J. Lin makes 2-pt shot from 1 ft
3:07.0,Shooting foul by F. Kaminsky (drawn by E. Ilyasova),,42-55,,
3:07.0,E. Ilyasova makes free throw 1 of 2,1,43-55,,
3:07.0,S. Johnson enters the game for K. Caldwell-Pope,,43-55,,
3:07.0,,,43-55,,M. Williams enters the game for F. Kaminsky
3:07.0,E. Ilyasova misses free throw 2 of 2,,43-55,,
3:06.0,Offensive rebound by A. Drummond,,43-55,,
3:06.0,A. Drummond makes 2-pt shot from 1 ft,2,45-55,,
2:51.0,,,45-55,,N. Batum misses 3-pt shot from 24 ft
2:51.0,,,45-55,,Offensive rebound by C. Zeller
2:51.0,,,45-55,,Shooting foul by A. Drummond (drawn by C. Zeller)
2:51.0,,,45-55,,Charlotte full timeout
2:51.0,A. Baynes enters the game for A. Drummond,,45-55,,
2:51.0,,,45-55,,C. Zeller misses free throw 1 of 2
2:51.0,,,45-55,,Offensive rebound by Team
2:51.0,,,45-56,1,C. Zeller makes free throw 2 of 2
2:36.0,Shooting foul by M. Williams (drawn by E. Ilyasova),,45-56,,
2:36.0,E. Ilyasova misses free throw 1 of 2,,45-56,,
2:36.0,Offensive rebound by Team,,45-56,,
2:36.0,E. Ilyasova makes free throw 2 of 2,1,46-56,,
2:19.0,,,46-56,,N. Batum misses 2-pt shot from 11 ft
2:18.0,,,46-56,,Offensive rebound by C. Zeller
2:14.0,,,46-56,,M. Williams misses 3-pt shot from 24 ft
2:13.0,Defensive rebound by M. Morris,,46-56,,
1:59.0,S. Blake makes 3-pt shot from 24 ft,3,49-56,,
1:41.0,,,49-56,,K. Walker misses 3-pt shot from 22 ft
1:39.0,Defensive rebound by E. Ilyasova,,49-56,,
1:28.0,E. Ilyasova misses 2-pt shot from 1 ft,,49-56,,
1:26.0,,,49-56,,Defensive rebound by J. Lin
1:18.0,,,49-58,2,C. Zeller makes 2-pt shot from 18 ft (assist by J. Lin)
0:59.0,M. Morris makes 2-pt shot from 19 ft,2,51-58,,
0:42.0,,,51-58,,Shooting foul by A. Baynes (drawn by K. Walker)
0:42.0,,,51-59,1,K. Walker makes free throw 1 of 2
0:42.0,,,51-59,,J. Lamb enters the game for J. Lin
0:42.0,,,51-60,1,K. Walker makes free throw 2 of 2
0:31.0,M. Morris misses 2-pt shot from 2 ft (block by C. Zeller),,51-60,,
0:29.0,,,51-60,,Defensive rebound by K. Walker
0:11.0,,,51-60,,K. Walker misses 2-pt shot from 15 ft
0:11.0,,,51-60,,Offensive rebound by M. Williams
0:11.0,,,51-62,2,M. Williams makes 2-pt shot at rim
0:00.0,S. Johnson misses 2-pt shot from 13 ft,,51-62,,
0:00.0,Offensive rebound by Team,,51-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,51-62,,K. Walker misses 2-pt shot from 8 ft
11:38.0,Defensive rebound by Team,,51-62,,
11:15.0,K. Caldwell-Pope misses 2-pt shot from 10 ft,,51-62,,
11:12.0,Offensive rebound by E. Ilyasova,,51-62,,
11:12.0,E. Ilyasova makes 2-pt shot from 1 ft,2,53-62,,
10:52.0,,,53-62,,P. Hairston misses 3-pt shot from 22 ft
10:51.0,Defensive rebound by R. Jackson,,53-62,,
10:50.0,Shooting foul by P. Hairston (drawn by E. Ilyasova),,53-62,,
10:50.0,E. Ilyasova makes free throw 1 of 2,1,54-62,,
10:50.0,E. Ilyasova makes free throw 2 of 2,1,55-62,,
10:41.0,,,55-62,,M. Williams misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by A. Drummond,,55-62,,
10:33.0,R. Jackson misses 3-pt shot from 25 ft,,55-62,,
10:30.0,,,55-62,,Defensive rebound by M. Williams
10:17.0,,,55-64,2,M. Williams makes 2-pt shot from 2 ft (assist by N. Batum)
10:02.0,E. Ilyasova misses 3-pt shot from 24 ft,,55-64,,
10:01.0,,,55-64,,Defensive rebound by K. Walker
9:56.0,,,55-66,2,K. Walker makes 2-pt shot from 8 ft
9:40.0,Turnover by K. Caldwell-Pope (traveling),,55-66,,
9:28.0,,,55-66,,Turnover by N. Batum (bad pass; steal by A. Drummond)
9:26.0,Turnover by A. Drummond (bad pass),,55-66,,
9:11.0,,,55-66,,Turnover by K. Walker (bad pass; steal by A. Drummond)
9:03.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,55-66,,
9:02.0,,,55-66,,Defensive rebound by K. Walker
8:59.0,,,55-66,,Turnover by K. Walker (bad pass; steal by K. Caldwell-Pope)
8:58.0,,,55-66,,Personal foul by K. Walker (drawn by K. Caldwell-Pope)
8:44.0,M. Morris misses 2-pt shot from 17 ft,,55-66,,
8:42.0,,,55-66,,Defensive rebound by M. Williams
8:30.0,,,55-66,,N. Batum misses 3-pt shot from 24 ft
8:29.0,Defensive rebound by E. Ilyasova,,55-66,,
8:15.0,R. Jackson misses 3-pt shot from 27 ft,,55-66,,
8:14.0,,,55-66,,Defensive rebound by N. Batum
8:07.0,,,55-66,,C. Zeller misses 2-pt shot from 20 ft
8:05.0,Defensive rebound by A. Drummond,,55-66,,
7:57.0,Turnover by E. Ilyasova (traveling),,55-66,,
7:47.0,,,55-66,,N. Batum misses 2-pt shot from 1 ft (block by E. Ilyasova)
7:47.0,,,55-66,,Offensive rebound by Team
7:37.0,,,55-66,,Shooting foul by A. Drummond (drawn by K. Walker)
7:37.0,,,55-67,1,K. Walker makes free throw 1 of 2
7:37.0,,,55-67,,K. Walker misses free throw 2 of 2
7:34.0,Defensive rebound by E. Ilyasova,,55-67,,
7:21.0,E. Ilyasova misses 3-pt shot from 24 ft,,55-67,,
7:19.0,,,55-67,,Defensive rebound by N. Batum
7:06.0,,,55-67,,Shooting foul by A. Drummond (drawn by C. Zeller)
7:06.0,,,55-67,,C. Zeller misses free throw 1 of 2
7:06.0,,,55-67,,Offensive rebound by Team
7:06.0,A. Baynes enters the game for A. Drummond,,55-67,,
7:06.0,,,55-68,1,C. Zeller makes free throw 2 of 2
6:54.0,R. Jackson misses 2-pt shot from 3 ft,,55-68,,
6:53.0,,,55-68,,Defensive rebound by K. Walker
6:52.0,,,55-68,,Shooting foul by E. Ilyasova (drawn by K. Walker)
6:52.0,,,55-69,1,K. Walker makes free throw 1 of 2
6:52.0,,,55-70,1,K. Walker makes free throw 2 of 2
6:35.0,M. Morris misses 2-pt shot from 7 ft (block by K. Walker),,55-70,,
6:34.0,,,55-70,,Defensive rebound by K. Walker
6:25.0,,,55-70,,N. Batum misses 3-pt shot from 24 ft
6:25.0,,,55-70,,Offensive rebound by M. Williams
6:25.0,,,55-72,2,M. Williams makes 2-pt shot from 1 ft
6:25.0,Detroit full timeout,,55-72,,
6:10.0,A. Baynes makes 2-pt shot from 19 ft (assist by M. Morris),2,57-72,,
5:54.0,,,57-72,,Turnover by C. Zeller (lost ball; steal by K. Caldwell-Pope)
5:48.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,57-72,,
5:47.0,,,57-72,,Defensive rebound by K. Walker
5:38.0,,,57-74,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
5:38.0,,,57-74,,Shooting foul by A. Baynes (drawn by C. Zeller)
5:38.0,,,57-75,1,C. Zeller makes free throw 1 of 1
5:25.0,R. Jackson misses 2-pt shot from 17 ft,,57-75,,
5:25.0,,,57-75,,Defensive rebound by Team
5:15.0,,,57-75,,Turnover by N. Batum (bad pass; steal by A. Baynes)
5:07.0,R. Jackson misses 2-pt shot from 1 ft,,57-75,,
5:06.0,,,57-75,,Defensive rebound by M. Williams
4:46.0,,,57-75,,Shooting foul by M. Morris (drawn by C. Zeller)
4:46.0,,,57-76,1,C. Zeller makes free throw 1 of 2
4:46.0,A. Tolliver enters the game for E. Ilyasova,,57-76,,
4:46.0,,,57-76,,F. Kaminsky enters the game for M. Williams
4:46.0,,,57-77,1,C. Zeller makes free throw 2 of 2
4:35.0,Turnover by R. Jackson (lost ball; steal by K. Walker),,57-77,,
4:33.0,,,57-77,,P. Hairston misses 2-pt shot from 1 ft
4:33.0,Defensive rebound by Team,,57-77,,
4:24.0,Turnover by R. Jackson (bad pass; steal by N. Batum),,57-77,,
4:17.0,,,57-79,2,F. Kaminsky makes 2-pt shot from 18 ft (assist by P. Hairston)
4:03.0,,,57-79,,Personal block foul by P. Hairston (drawn by R. Jackson)
4:03.0,,,57-79,,J. Lin enters the game for P. Hairston
3:50.0,A. Tolliver makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope),3,60-79,,
3:38.0,,,60-82,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
3:18.0,K. Caldwell-Pope makes 2-pt shot from 10 ft,2,62-82,,
3:04.0,Personal foul by K. Caldwell-Pope (drawn by J. Lin),,62-82,,
3:04.0,,,62-83,1,J. Lin makes free throw 1 of 2
3:04.0,,,62-83,,J. Lin misses free throw 2 of 2
3:02.0,Defensive rebound by A. Tolliver,,62-83,,
2:45.0,A. Baynes misses 2-pt shot from 7 ft,,62-83,,
2:45.0,Offensive rebound by Team,,62-83,,
2:45.0,Turnover by A. Tolliver (turnover),,62-83,,
2:45.0,,,62-83,,Charlotte full timeout
2:45.0,S. Blake enters the game for M. Morris,,62-83,,
2:45.0,S. Johnson enters the game for R. Jackson,,62-83,,
2:45.0,,,62-83,,S. Hawes enters the game for C. Zeller
2:45.0,,,62-83,,J. Lamb enters the game for K. Walker
2:33.0,,,62-85,2,S. Hawes makes 2-pt shot at rim (assist by J. Lin)
2:16.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,62-85,,
2:14.0,,,62-85,,Defensive rebound by J. Lamb
1:56.0,,,62-88,3,J. Lin makes 3-pt shot from 25 ft (assist by N. Batum)
1:37.0,A. Tolliver makes 3-pt shot from 24 ft (assist by S. Johnson),3,65-88,,
1:21.0,,,65-88,,N. Batum misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by Team,,65-88,,
1:02.0,A. Tolliver misses 3-pt shot from 29 ft,,65-88,,
1:01.0,Offensive rebound by A. Baynes,,65-88,,
0:48.0,S. Blake makes 3-pt shot from 23 ft (assist by A. Tolliver),3,68-88,,
0:38.0,,,68-88,,J. Lin misses 2-pt shot from 18 ft
0:36.0,Defensive rebound by A. Baynes,,68-88,,
0:28.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by S. Blake),2,70-88,,
0:28.0,Shooting foul by F. Kaminsky (drawn by K. Caldwell-Pope),,70-88,,
0:28.0,K. Caldwell-Pope misses free throw 1 of 1,,70-88,,
0:27.0,Offensive rebound by K. Caldwell-Pope,,70-88,,
0:05.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,70-88,,
0:04.0,,,70-88,,Defensive rebound by Team
0:00.0,,,70-88,,J. Lin misses 3-pt shot from 32 ft
0:00.0,,,70-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,70-88,,
11:47.0,,,70-88,,Defensive rebound by J. Lin
11:34.0,,,70-88,,Turnover by F. Kaminsky (bad pass; steal by A. Baynes)
11:20.0,S. Johnson makes 2-pt shot from 10 ft (assist by S. Blake),2,72-88,,
11:03.0,,,72-88,,Turnover by J. Lin (bad pass; steal by A. Baynes)
10:52.0,S. Johnson misses 3-pt shot from 26 ft,,72-88,,
10:47.0,,,72-88,,Defensive rebound by J. Lamb
10:42.0,,,72-88,,F. Kaminsky misses 2-pt shot from 1 ft
10:41.0,Defensive rebound by A. Baynes,,72-88,,
10:31.0,A. Baynes misses 2-pt shot from 1 ft (block by F. Kaminsky),,72-88,,
10:29.0,,,72-88,,Defensive rebound by F. Kaminsky
10:21.0,,,72-88,,S. Hawes misses 2-pt shot from 22 ft
10:20.0,Defensive rebound by S. Johnson,,72-88,,
10:03.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by A. Tolliver),3,75-88,,
10:02.0,,,75-88,,Charlotte full timeout
9:46.0,Violation by A. Baynes (kicked ball),,75-88,,
9:38.0,,,75-88,,J. Lamb misses 3-pt shot from 23 ft
9:37.0,Defensive rebound by K. Caldwell-Pope,,75-88,,
9:25.0,A. Baynes misses 2-pt shot from 5 ft,,75-88,,
9:23.0,,,75-88,,Defensive rebound by S. Hawes
9:14.0,,,75-88,,Shooting foul by A. Baynes (drawn by J. Lin)
9:14.0,,,75-89,1,J. Lin makes free throw 1 of 2
9:14.0,,,75-89,,J. Lin misses free throw 2 of 2
9:11.0,Defensive rebound by S. Johnson,,75-89,,
9:05.0,,,75-89,,Personal foul by J. Lamb (drawn by K. Caldwell-Pope)
8:56.0,A. Tolliver misses 2-pt shot from 22 ft,,75-89,,
8:55.0,,,75-89,,Defensive rebound by F. Kaminsky
8:34.0,,,75-91,2,S. Hawes makes 2-pt shot from 12 ft
8:17.0,S. Johnson misses 2-pt shot from 22 ft,,75-91,,
8:16.0,,,75-91,,Defensive rebound by J. Lamb
8:05.0,,,75-91,,S. Hawes misses 3-pt shot from 25 ft
8:03.0,,,75-91,,Offensive rebound by M. Williams
8:00.0,,,75-91,,J. Lin misses 3-pt shot from 24 ft
7:58.0,,,75-91,,Offensive rebound by M. Williams
7:47.0,,,75-93,2,S. Hawes makes 2-pt shot from 2 ft (assist by J. Lamb)
7:32.0,S. Blake misses 2-pt shot from 19 ft,,75-93,,
7:30.0,,,75-93,,Defensive rebound by M. Williams
7:11.0,,,75-95,2,J. Lin makes 2-pt shot from 6 ft (assist by F. Kaminsky)
7:11.0,Detroit full timeout,,75-95,,
7:11.0,,,75-95,,C. Zeller enters the game for M. Williams
7:11.0,,,75-95,,K. Walker enters the game for J. Lin
7:11.0,,,75-95,,N. Batum enters the game for S. Hawes
