time,Minnesota,pts.away,score,pts.home,LA Lakers
5:13.0,N. Bjelica makes 3-pt shot from 25 ft (assist by R. Rubio),3,17-10,,
5:04.0,Personal foul by R. Rubio (drawn by J. Clarkson),,17-10,,
5:04.0,S. Muhammad enters the game for A. Wiggins,,17-10,,
5:04.0,Z. LaVine enters the game for R. Rubio,,17-10,,
4:53.0,,,17-10,,J. Randle misses 2-pt shot from 2 ft
4:52.0,,,17-10,,Offensive rebound by R. Hibbert
4:48.0,,,17-12,2,R. Hibbert makes 2-pt shot from 1 ft
4:39.0,K. Martin misses 3-pt shot from 26 ft,,17-12,,
4:38.0,,,17-12,,Defensive rebound by R. Hibbert
4:34.0,,,17-12,,Shooting foul by K. Martin (drawn by L. Williams)
4:34.0,,,17-13,1,L. Williams makes free throw 1 of 2
4:34.0,G. Dieng enters the game for K. Towns,,17-13,,
4:34.0,,,17-14,1,L. Williams makes free throw 2 of 2
4:21.0,Z. LaVine misses 2-pt shot from 15 ft,,17-14,,
4:21.0,,,17-14,,Defensive rebound by J. Randle
4:11.0,,,17-14,,N. Young misses 3-pt shot from 24 ft
4:10.0,Defensive rebound by Z. LaVine,,17-14,,
3:55.0,G. Dieng misses 2-pt shot from 19 ft,,17-14,,
3:54.0,,,17-14,,Defensive rebound by N. Young
3:40.0,,,17-16,2,J. Randle makes 2-pt shot at rim (assist by R. Hibbert)
3:23.0,K. Martin misses 3-pt shot from 26 ft,,17-16,,
3:23.0,,,17-16,,Defensive rebound by N. Young
3:11.0,,,17-18,2,N. Young makes 2-pt shot from 12 ft
2:56.0,G. Dieng misses 2-pt shot from 4 ft (block by R. Hibbert),,17-18,,
2:55.0,,,17-18,,Defensive rebound by R. Hibbert
2:40.0,,,17-18,,J. Randle misses 2-pt shot from 2 ft (block by G. Dieng)
2:40.0,,,17-18,,Offensive rebound by Team
2:40.0,,,17-18,,LA Lakers full timeout
2:40.0,,,17-18,,R. Kelly enters the game for J. Randle
2:40.0,,,17-18,,B. Bass enters the game for R. Hibbert
2:37.0,,,17-18,,L. Williams misses 2-pt shot from 20 ft
2:37.0,,,17-18,,Offensive rebound by Team
2:37.0,Loose ball foul by N. Bjelica (drawn by R. Kelly),,17-18,,
2:29.0,,,17-21,3,L. Williams makes 3-pt shot from 23 ft (assist by J. Clarkson)
2:07.0,G. Dieng misses 2-pt shot from 14 ft,,17-21,,
2:06.0,,,17-21,,Defensive rebound by L. Williams
1:59.0,Shooting block foul by N. Bjelica (drawn by J. Clarkson),,17-21,,
1:59.0,,,17-21,,J. Clarkson misses free throw 1 of 2
1:59.0,,,17-21,,Offensive rebound by Team
1:59.0,A. Payne enters the game for N. Bjelica,,17-21,,
1:59.0,,,17-22,1,J. Clarkson makes free throw 2 of 2
1:36.0,S. Muhammad makes 3-pt shot from 24 ft (assist by Z. LaVine),3,20-22,,
1:19.0,,,20-24,2,L. Williams makes 2-pt shot from 2 ft
0:54.0,Z. LaVine misses 3-pt shot from 24 ft,,20-24,,
0:53.0,,,20-24,,Defensive rebound by B. Bass
0:47.0,,,20-26,2,J. Clarkson makes 2-pt shot from 2 ft
0:32.0,Turnover by S. Muhammad (bad pass),,20-26,,
0:23.0,,,20-28,2,L. Williams makes 2-pt shot from 15 ft (assist by J. Clarkson)
0:03.0,Z. LaVine misses 2-pt shot from 1 ft,,20-28,,
0:03.0,Offensive rebound by Z. LaVine,,20-28,,
0:03.0,Z. LaVine makes 2-pt shot from 1 ft,2,22-28,,
0:00.0,,,22-31,3,N. Young makes 3-pt shot from 40 ft (assist by R. Kelly)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,22-31,,B. Bass misses 2-pt shot from 9 ft
11:36.0,Defensive rebound by G. Dieng,,22-31,,
11:17.0,,,22-31,,Personal foul by L. Williams
11:06.0,K. Martin makes 2-pt shot from 5 ft (assist by Z. LaVine),2,24-31,,
10:47.0,,,24-31,,R. Kelly misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by K. Martin,,24-31,,
10:43.0,Shooting foul by N. Young (drawn by K. Martin),,24-31,,
10:43.0,K. Martin makes free throw 1 of 2,1,25-31,,
10:43.0,K. Martin makes free throw 2 of 2,1,26-31,,
10:32.0,,,26-33,2,L. Williams makes 2-pt shot from 2 ft
10:17.0,A. Payne misses 2-pt shot from 1 ft,,26-33,,
10:14.0,,,26-33,,Defensive rebound by M. Huertas
10:12.0,,,26-33,,Offensive charge foul by R. Kelly
10:12.0,,,26-33,,Turnover by R. Kelly (offensive foul)
10:12.0,D. Rudez enters the game for A. Payne,,26-33,,
10:00.0,K. Martin misses 2-pt shot from 11 ft,,26-33,,
9:59.0,,,26-33,,Defensive rebound by R. Kelly
9:40.0,,,26-33,,L. Williams misses 3-pt shot from 24 ft
9:39.0,,,26-33,,Offensive rebound by M. Huertas
9:21.0,,,26-36,3,N. Young makes 3-pt shot from 24 ft (assist by M. Huertas)
9:01.0,Z. LaVine makes 2-pt shot from 2 ft,2,28-36,,
8:50.0,,,28-38,2,R. Kelly makes 2-pt shot from 4 ft (assist by L. Williams)
8:50.0,,,28-38,,Shooting foul by D. Rudez (drawn by R. Kelly)
8:50.0,Official timeout,,28-38,,
8:50.0,R. Rubio enters the game for G. Dieng,,28-38,,
8:50.0,K. Towns enters the game for Z. LaVine,,28-38,,
8:50.0,,,28-39,1,R. Kelly makes free throw 1 of 1
8:34.0,R. Rubio misses 2-pt shot from 10 ft,,28-39,,
8:33.0,,,28-39,,Defensive rebound by B. Bass
8:25.0,,,28-39,,Offensive foul by M. Huertas
8:25.0,,,28-39,,Turnover by M. Huertas (offensive foul)
8:25.0,A. Wiggins enters the game for S. Muhammad,,28-39,,
8:16.0,Turnover by K. Towns (bad pass),,28-39,,
8:09.0,Personal foul by A. Wiggins,,28-39,,
8:09.0,,,28-40,1,L. Williams makes free throw 1 of 2
8:09.0,,,28-41,1,L. Williams makes free throw 2 of 2
7:54.0,,,28-41,,Def 3 sec tech foul by R. Kelly
7:54.0,K. Martin misses technical free throw,,28-41,,
7:54.0,Offensive rebound by Team,,28-41,,
7:54.0,,,28-41,,K. Bryant enters the game for N. Young
7:54.0,,,28-41,,D. Russell enters the game for L. Williams
7:42.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,30-41,,
7:18.0,,,30-43,2,K. Bryant makes 2-pt shot from 19 ft
7:06.0,K. Martin makes 2-pt shot from 12 ft (assist by R. Rubio),2,32-43,,
6:55.0,,,32-45,2,B. Bass makes 2-pt shot from 1 ft (assist by D. Russell)
6:41.0,Turnover by K. Towns (bad pass; steal by K. Bryant),,32-45,,
6:35.0,,,32-45,,Turnover by D. Russell (bad pass; steal by R. Rubio)
6:27.0,K. Martin misses 3-pt shot from 24 ft,,32-45,,
6:27.0,Offensive rebound by Team,,32-45,,
6:27.0,,,32-45,,Loose ball foul by R. Kelly (drawn by K. Towns)
6:27.0,Minnesota full timeout,,32-45,,
6:27.0,,,32-45,,J. Randle enters the game for R. Kelly
6:19.0,R. Rubio misses 3-pt shot from 24 ft,,32-45,,
6:18.0,Offensive rebound by D. Rudez,,32-45,,
6:16.0,D. Rudez makes 2-pt shot from 2 ft,2,34-45,,
5:54.0,,,34-48,3,K. Bryant makes 3-pt shot from 28 ft (assist by M. Huertas)
5:40.0,Turnover by A. Wiggins (lost ball),,34-48,,
5:40.0,,,34-48,,R. Hibbert enters the game for B. Bass
5:40.0,T. Prince enters the game for D. Rudez,,34-48,,
5:40.0,K. Garnett enters the game for K. Martin,,34-48,,
5:31.0,Personal foul by T. Prince (drawn by K. Bryant),,34-48,,
5:18.0,,,34-50,2,K. Bryant makes 2-pt shot from 12 ft
5:02.0,R. Rubio makes 2-pt shot from 16 ft,2,36-50,,
4:32.0,,,36-50,,M. Huertas misses 3-pt shot from 29 ft
4:32.0,Defensive rebound by K. Garnett,,36-50,,
4:14.0,R. Rubio misses 3-pt shot from 27 ft,,36-50,,
4:14.0,Offensive rebound by T. Prince,,36-50,,
4:02.0,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio),2,38-50,,
3:38.0,,,38-50,,K. Bryant misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by R. Rubio,,38-50,,
3:34.0,Shooting foul by K. Bryant (drawn by T. Prince),,38-50,,
3:34.0,T. Prince misses free throw 1 of 2,,38-50,,
3:34.0,Offensive rebound by Team,,38-50,,
3:34.0,S. Muhammad enters the game for A. Wiggins,,38-50,,
3:34.0,,,38-50,,J. Clarkson enters the game for M. Huertas
3:34.0,T. Prince makes free throw 2 of 2,1,39-50,,
3:14.0,,,39-50,,J. Randle misses 2-pt shot from 2 ft
3:14.0,,,39-50,,Offensive rebound by R. Hibbert
3:14.0,,,39-50,,Shooting foul by K. Garnett (drawn by R. Hibbert)
3:14.0,Technical foul by K. Garnett (drawn by R. Hibbert),,39-50,,
3:14.0,,,39-51,1,K. Bryant makes technical free throw
3:14.0,,,39-52,1,R. Hibbert makes free throw 1 of 2
3:14.0,,,39-53,1,R. Hibbert makes free throw 2 of 2
2:58.0,K. Garnett makes 2-pt shot from 19 ft (assist by R. Rubio),2,41-53,,
2:39.0,,,41-53,,LA Lakers full timeout
2:37.0,Jump ball: J. Randle vs. R. Rubio,,,,Jump ball: J. Randle vs. R. Rubio
2:29.0,,,41-53,,J. Clarkson misses 3-pt shot from 23 ft
2:29.0,Defensive rebound by K. Garnett,,41-53,,
2:14.0,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio),2,43-53,,
2:01.0,,,43-55,2,D. Russell makes 2-pt shot from 22 ft (assist by J. Randle)
1:44.0,S. Muhammad makes 2-pt shot from 5 ft (assist by R. Rubio),2,45-55,,
1:40.0,Personal foul by S. Muhammad (drawn by J. Clarkson),,45-55,,
1:40.0,,,45-56,1,J. Clarkson makes free throw 1 of 2
1:40.0,,,45-57,1,J. Clarkson makes free throw 2 of 2
1:25.0,S. Muhammad misses 3-pt shot from 26 ft,,45-57,,
1:25.0,Offensive rebound by Team,,45-57,,
1:25.0,,,45-57,,Loose ball foul by R. Hibbert (drawn by K. Towns)
1:25.0,K. Towns makes free throw 1 of 2,1,46-57,,
1:25.0,K. Towns makes free throw 2 of 2,1,47-57,,
1:13.0,,,47-60,3,K. Bryant makes 3-pt shot from 27 ft
1:00.0,,,47-60,,Personal foul by J. Clarkson (drawn by R. Rubio)
1:00.0,R. Rubio makes free throw 1 of 2,1,48-60,,
1:00.0,R. Rubio makes free throw 2 of 2,1,49-60,,
0:46.0,,,49-60,,J. Clarkson misses 2-pt shot from 1 ft (block by K. Garnett)
0:46.0,,,49-60,,Offensive rebound by Team
0:46.0,,,49-60,,Offensive foul by R. Hibbert
0:46.0,,,49-60,,Turnover by R. Hibbert (offensive foul)
0:29.0,K. Garnett makes 2-pt shot from 2 ft (assist by R. Rubio),2,51-60,,
0:25.0,,,51-60,,Offensive foul by J. Clarkson
0:25.0,,,51-60,,Turnover by J. Clarkson (offensive foul)
0:25.0,Minnesota full timeout,,51-60,,
0:25.0,K. Martin enters the game for T. Prince,,51-60,,
0:02.0,K. Towns misses 3-pt shot from 28 ft,,51-60,,
0:02.0,,,51-60,,Defensive rebound by R. Hibbert
0:00.0,,,51-60,,K. Bryant misses 3-pt shot from 57 ft
0:00.0,,,51-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,51-60,,K. Bryant misses 3-pt shot from 24 ft
11:39.0,Defensive rebound by K. Towns,,51-60,,
11:36.0,Shooting foul by J. Clarkson (drawn by T. Prince),,51-60,,
11:36.0,T. Prince makes free throw 1 of 2,1,52-60,,
11:36.0,T. Prince misses free throw 2 of 2,,52-60,,
11:36.0,,,52-60,,Defensive rebound by J. Randle
11:18.0,,,52-60,,J. Randle misses 2-pt shot from 4 ft
11:17.0,,,52-60,,Offensive rebound by J. Randle
11:16.0,,,52-62,2,J. Randle makes 2-pt shot from 2 ft
11:16.0,,,52-62,,Shooting foul by K. Garnett (drawn by J. Randle)
11:16.0,,,52-63,1,J. Randle makes free throw 1 of 1
11:10.0,,,52-63,,Personal foul by J. Randle (drawn by K. Garnett)
10:59.0,A. Wiggins misses 2-pt shot from 17 ft,,52-63,,
10:58.0,,,52-63,,Defensive rebound by K. Bryant
10:48.0,,,52-63,,D. Russell misses 3-pt shot from 26 ft
10:47.0,Defensive rebound by K. Garnett,,52-63,,
10:34.0,K. Garnett misses 2-pt shot from 16 ft,,52-63,,
10:33.0,,,52-63,,Defensive rebound by D. Russell
10:31.0,,,52-63,,Turnover by D. Russell (bad pass)
10:13.0,K. Towns makes 2-pt shot from 17 ft (assist by R. Rubio),2,54-63,,
9:56.0,,,54-63,,R. Hibbert misses 2-pt shot from 2 ft
9:54.0,Defensive rebound by K. Towns,,54-63,,
9:42.0,Shooting foul by R. Hibbert (drawn by A. Wiggins),,54-63,,
9:42.0,A. Wiggins makes free throw 1 of 2,1,55-63,,
9:42.0,G. Dieng enters the game for K. Garnett,,55-63,,
9:42.0,A. Wiggins makes free throw 2 of 2,1,56-63,,
9:29.0,,,56-65,2,K. Bryant makes 2-pt shot from 19 ft (assist by R. Hibbert)
9:29.0,,,56-65,,Shooting foul by T. Prince (drawn by K. Bryant)
9:29.0,,,56-66,1,K. Bryant makes free throw 1 of 1
9:13.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,58-66,,
9:03.0,Personal foul by R. Rubio (drawn by J. Clarkson),,58-66,,
8:58.0,,,58-66,,D. Russell misses 2-pt shot from 2 ft
8:58.0,,,58-66,,Offensive rebound by R. Hibbert
8:58.0,Personal foul by G. Dieng (drawn by R. Hibbert),,58-66,,
8:52.0,,,58-69,3,K. Bryant makes 3-pt shot from 25 ft (assist by R. Hibbert)
8:32.0,R. Rubio misses 2-pt shot from 17 ft,,58-69,,
8:31.0,,,58-69,,Defensive rebound by R. Hibbert
8:25.0,,,58-69,,Shooting foul by R. Rubio (drawn by R. Hibbert)
8:25.0,,,58-70,1,R. Hibbert makes free throw 1 of 2
8:25.0,K. Martin enters the game for T. Prince,,58-70,,
8:25.0,,,58-71,1,R. Hibbert makes free throw 2 of 2
8:06.0,A. Wiggins misses 3-pt shot from 26 ft,,58-71,,
8:05.0,,,58-71,,Defensive rebound by K. Bryant
7:59.0,,,58-71,,K. Bryant misses 3-pt shot from 25 ft
7:57.0,,,58-71,,Offensive rebound by D. Russell
7:54.0,,,58-71,,K. Bryant misses 3-pt shot from 24 ft
7:54.0,,,58-71,,Offensive rebound by Team
7:54.0,Loose ball foul by G. Dieng (drawn by R. Hibbert),,58-71,,
7:54.0,,,58-72,1,R. Hibbert makes free throw 1 of 2
7:54.0,,,58-73,1,R. Hibbert makes free throw 2 of 2
7:34.0,R. Rubio makes 2-pt shot from 13 ft,2,60-73,,
7:34.0,Shooting foul by D. Russell (drawn by R. Rubio),,60-73,,
7:34.0,R. Rubio makes free throw 1 of 1,1,61-73,,
7:20.0,,,61-73,,J. Clarkson misses 3-pt shot from 22 ft
7:20.0,Defensive rebound by K. Towns,,61-73,,
7:08.0,K. Martin makes 2-pt shot from 13 ft (assist by R. Rubio),2,63-73,,
7:02.0,,,63-73,,Turnover by J. Clarkson (bad pass)
6:48.0,K. Towns misses 2-pt shot from 19 ft,,63-73,,
6:48.0,,,63-73,,Defensive rebound by J. Randle
6:41.0,,,63-75,2,J. Randle makes 2-pt shot from 1 ft
6:34.0,Minnesota full timeout,,63-75,,
6:23.0,A. Wiggins misses 2-pt shot from 20 ft,,63-75,,
6:21.0,,,63-75,,Defensive rebound by J. Clarkson
6:06.0,,,63-77,2,J. Randle makes 2-pt shot from 3 ft
6:06.0,,,63-77,,Shooting foul by K. Towns (drawn by J. Randle)
6:06.0,,,63-78,1,J. Randle makes free throw 1 of 1
5:46.0,Turnover by G. Dieng (3 sec),,63-78,,
5:30.0,,,63-78,,K. Bryant misses 3-pt shot from 24 ft
5:30.0,Defensive rebound by Team,,63-78,,
5:30.0,N. Bjelica enters the game for K. Towns,,63-78,,
5:17.0,K. Martin makes 2-pt shot from 9 ft,2,65-78,,
5:17.0,Shooting foul by J. Clarkson (drawn by K. Martin),,65-78,,
5:17.0,,,65-78,,L. Williams enters the game for J. Clarkson
5:17.0,K. Martin makes free throw 1 of 1,1,66-78,,
5:02.0,,,66-78,,J. Randle misses 2-pt shot from 2 ft
5:02.0,,,66-78,,Offensive rebound by Team
5:02.0,Loose ball foul by N. Bjelica (drawn by R. Hibbert),,66-78,,
5:02.0,,,66-79,1,R. Hibbert makes free throw 1 of 2
5:02.0,,,66-79,,N. Young enters the game for K. Bryant
5:02.0,,,66-80,1,R. Hibbert makes free throw 2 of 2
4:51.0,R. Rubio makes 2-pt shot from 2 ft,2,68-80,,
4:44.0,Personal foul by G. Dieng (drawn by R. Hibbert),,68-80,,
4:44.0,Technical foul by Team,,68-80,,
4:44.0,,,68-81,1,L. Williams makes technical free throw
4:44.0,,,68-82,1,R. Hibbert makes free throw 1 of 2
4:44.0,,,68-83,1,R. Hibbert makes free throw 2 of 2
4:34.0,K. Martin misses 3-pt shot from 27 ft,,68-83,,
4:33.0,Offensive rebound by G. Dieng,,68-83,,
4:24.0,Shooting foul by J. Randle (drawn by K. Martin),,68-83,,
4:24.0,K. Martin makes free throw 1 of 2,1,69-83,,
4:24.0,Z. LaVine enters the game for R. Rubio,,69-83,,
4:24.0,K. Martin makes free throw 2 of 2,1,70-83,,
4:15.0,,,70-85,2,D. Russell makes 2-pt shot from 17 ft
3:55.0,A. Wiggins makes 2-pt shot from 17 ft (assist by G. Dieng),2,72-85,,
3:49.0,Personal foul by A. Wiggins,,72-85,,
3:49.0,,,72-86,1,L. Williams makes free throw 1 of 2
3:49.0,S. Muhammad enters the game for A. Wiggins,,72-86,,
3:49.0,,,72-87,1,L. Williams makes free throw 2 of 2
3:37.0,,,72-87,,Shooting block foul by J. Randle (drawn by K. Martin)
3:37.0,K. Martin makes free throw 1 of 2,1,73-87,,
3:37.0,,,73-87,,B. Bass enters the game for J. Randle
3:37.0,,,73-87,,R. Kelly enters the game for R. Hibbert
3:37.0,K. Martin makes free throw 2 of 2,1,74-87,,
3:20.0,,,74-87,,Turnover by L. Williams (lost ball; steal by Z. LaVine)
3:17.0,Shooting foul by N. Young (drawn by S. Muhammad),,74-87,,
3:17.0,S. Muhammad makes free throw 1 of 2,1,75-87,,
3:17.0,S. Muhammad makes free throw 2 of 2,1,76-87,,
3:01.0,,,76-87,,R. Kelly misses 2-pt shot from 12 ft
2:59.0,Defensive rebound by S. Muhammad,,76-87,,
2:43.0,S. Muhammad makes 2-pt shot from 3 ft (assist by N. Bjelica),2,78-87,,
2:39.0,,,78-87,,LA Lakers full timeout
2:29.0,,,78-87,,L. Williams misses 2-pt shot from 2 ft
2:28.0,,,78-87,,Offensive rebound by B. Bass
2:26.0,,,78-87,,Turnover by Team (back court)
2:17.0,Shooting foul by N. Young (drawn by S. Muhammad),,78-87,,
2:17.0,S. Muhammad misses free throw 1 of 2,,78-87,,
2:17.0,Offensive rebound by Team,,78-87,,
2:17.0,S. Muhammad makes free throw 2 of 2,1,79-87,,
2:04.0,,,79-90,3,N. Young makes 3-pt shot from 27 ft (assist by D. Russell)
1:58.0,S. Muhammad misses 2-pt shot from 13 ft,,79-90,,
1:58.0,Offensive rebound by Team,,79-90,,
1:58.0,,,79-90,,Loose ball foul by B. Bass (drawn by G. Dieng)
1:58.0,G. Dieng makes free throw 1 of 2,1,80-90,,
1:58.0,G. Dieng makes free throw 2 of 2,1,81-90,,
1:33.0,,,81-93,3,N. Young makes 3-pt shot from 25 ft (assist by R. Kelly)
1:25.0,K. Martin makes 2-pt shot from 18 ft (assist by Z. LaVine),2,83-93,,
1:25.0,Shooting foul by L. Williams (drawn by K. Martin),,83-93,,
1:25.0,K. Martin makes free throw 1 of 1,1,84-93,,
1:08.0,,,84-93,,D. Russell misses 3-pt shot from 26 ft
1:08.0,Defensive rebound by N. Bjelica,,84-93,,
1:03.0,N. Bjelica makes 2-pt shot from 3 ft,2,86-93,,
0:47.0,,,86-95,2,L. Williams makes 2-pt shot from 6 ft
0:36.0,Z. LaVine misses 3-pt shot from 27 ft,,86-95,,
0:36.0,,,86-95,,Defensive rebound by R. Kelly
0:17.0,,,86-95,,Turnover by D. Russell (bad pass; steal by G. Dieng)
0:02.0,Z. LaVine makes 2-pt shot from 4 ft,2,88-95,,
0:01.0,,,88-95,,D. Russell misses 3-pt shot from 55 ft
0:00.0,,,88-95,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:32.0,N. Bjelica misses 3-pt shot from 24 ft,,88-95,,
11:31.0,,,88-95,,Defensive rebound by B. Bass
11:14.0,,,88-95,,B. Bass misses 2-pt shot at rim (block by G. Dieng)
11:12.0,Defensive rebound by G. Dieng,,88-95,,
11:11.0,Shooting foul by M. Huertas (drawn by K. Martin),,88-95,,
11:11.0,K. Martin makes free throw 1 of 3,1,89-95,,
11:11.0,K. Martin makes free throw 2 of 3,1,90-95,,
11:11.0,K. Martin makes free throw 3 of 3,1,91-95,,
10:52.0,,,91-95,,N. Young misses 3-pt shot from 25 ft
10:52.0,Defensive rebound by Z. LaVine,,91-95,,
10:47.0,,,91-95,,Personal foul by R. Kelly (drawn by Z. LaVine)
10:40.0,K. Martin misses 2-pt shot from 3 ft,,91-95,,
10:38.0,,,91-95,,Defensive rebound by B. Bass
10:23.0,,,91-95,,B. Bass misses 2-pt shot from 10 ft
10:22.0,Defensive rebound by N. Bjelica,,91-95,,
10:09.0,N. Bjelica misses 3-pt shot from 25 ft,,91-95,,
10:08.0,,,91-95,,Defensive rebound by B. Bass
10:05.0,,,91-95,,Turnover by B. Bass (bad pass)
9:49.0,K. Martin misses 3-pt shot from 25 ft,,91-95,,
9:48.0,,,91-95,,Defensive rebound by R. Kelly
9:35.0,,,91-95,,L. Williams misses 3-pt shot from 26 ft
9:35.0,Defensive rebound by G. Dieng,,91-95,,
9:23.0,Z. LaVine misses 2-pt shot from 15 ft,,91-95,,
9:22.0,,,91-95,,Defensive rebound by R. Kelly
9:13.0,,,91-97,2,M. Huertas makes 2-pt shot from 3 ft (assist by R. Kelly)
9:07.0,Minnesota full timeout,,91-97,,
9:07.0,R. Rubio enters the game for K. Martin,,91-97,,
9:07.0,K. Towns enters the game for S. Muhammad,,91-97,,
9:07.0,A. Wiggins enters the game for G. Dieng,,91-97,,
8:55.0,A. Wiggins misses 2-pt shot from 3 ft,,91-97,,
8:54.0,,,91-97,,Defensive rebound by R. Kelly
8:44.0,,,91-97,,N. Young misses 3-pt shot from 24 ft
8:43.0,Defensive rebound by K. Towns,,91-97,,
8:27.0,Turnover by K. Towns (3 sec),,91-97,,
8:08.0,,,91-97,,R. Kelly misses 2-pt shot from 5 ft (block by N. Bjelica)
8:07.0,Defensive rebound by K. Towns,,91-97,,
8:01.0,Z. LaVine makes 2-pt shot from 2 ft (assist by R. Rubio),2,93-97,,
7:44.0,,,93-97,,L. Williams misses 3-pt shot from 24 ft
7:43.0,Defensive rebound by K. Towns,,93-97,,
7:36.0,R. Rubio makes 2-pt shot from 19 ft,2,95-97,,
7:26.0,,,95-97,,Offensive foul by B. Bass
7:26.0,,,95-97,,Turnover by B. Bass (offensive foul)
7:26.0,,,95-97,,K. Bryant enters the game for N. Young
7:26.0,,,95-97,,R. Hibbert enters the game for B. Bass
7:26.0,,,95-97,,J. Clarkson enters the game for M. Huertas
