time,New York,pts.away,score,pts.home,Cleveland
8:06.0,,,30-35,,K. Love misses 2-pt shot from 16 ft
8:05.0,,,30-35,,Offensive rebound by K. Irving
8:05.0,,,30-35,,Shooting foul by K. Porzingis (drawn by K. Irving)
8:05.0,Official timeout,,30-35,,
8:05.0,A. Afflalo enters the game for J. Grant,,30-35,,
8:05.0,,,30-36,1,K. Irving makes free throw 1 of 2
8:05.0,,,30-37,1,K. Irving makes free throw 2 of 2
7:49.0,Shooting foul by K. Love (drawn by D. Williams),,30-37,,
7:49.0,D. Williams makes free throw 1 of 2,1,31-37,,
7:49.0,D. Williams makes free throw 2 of 2,1,32-37,,
7:34.0,,,32-37,,L. James misses 3-pt shot from 23 ft
7:34.0,,,32-37,,Offensive rebound by T. Thompson
7:34.0,Personal foul by L. Thomas (drawn by T. Thompson),,32-37,,
7:34.0,,,32-38,1,T. Thompson makes free throw 1 of 2
7:34.0,,,32-39,1,T. Thompson makes free throw 2 of 2
7:21.0,,,32-39,,Violation by T. Thompson (def goaltending)
7:21.0,D. Williams makes 2-pt shot at rim,2,34-39,,
7:21.0,Shooting foul by T. Thompson (drawn by D. Williams),,34-39,,
7:21.0,,,34-39,,J. Smith enters the game for K. Irving
7:21.0,D. Williams makes free throw 1 of 1,1,35-39,,
7:02.0,,,35-41,2,J. Smith makes 2-pt shot from 12 ft (assist by M. Dellavedova)
6:46.0,K. Porzingis misses 2-pt shot at rim,,35-41,,
6:45.0,,,35-41,,Defensive rebound by L. James
6:38.0,,,35-41,,K. Love misses 3-pt shot from 22 ft
6:38.0,Defensive rebound by K. Porzingis,,35-41,,
6:32.0,L. Galloway makes 2-pt shot from 23 ft (assist by A. Afflalo),2,37-41,,
6:14.0,,,37-41,,L. James misses 2-pt shot at rim
6:13.0,Defensive rebound by K. Porzingis,,37-41,,
6:13.0,,,37-41,,Personal foul by J. Smith (drawn by L. Galloway)
6:13.0,New York full timeout,,37-41,,
5:56.0,D. Williams misses 3-pt shot from 25 ft,,37-41,,
5:55.0,,,37-41,,Defensive rebound by L. James
5:45.0,,,37-41,,L. James misses 2-pt shot from 1 ft
5:44.0,Defensive rebound by D. Williams,,37-41,,
5:37.0,D. Williams misses 2-pt shot from 3 ft,,37-41,,
5:36.0,,,37-41,,Defensive rebound by T. Thompson
5:33.0,J. Calderon enters the game for L. Galloway,,37-41,,
5:33.0,,,37-41,,Technical foul by L. James
5:33.0,J. Calderon makes technical free throw,1,38-41,,
5:15.0,,,38-41,,L. James misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by J. Calderon,,38-41,,
5:09.0,K. Porzingis misses 2-pt shot from 1 ft,,38-41,,
5:08.0,,,38-41,,Defensive rebound by L. James
4:56.0,,,38-43,2,L. James makes 2-pt shot at rim (assist by K. Love)
4:48.0,,,38-43,,Personal foul by M. Dellavedova (drawn by K. Porzingis)
4:48.0,K. Porzingis makes free throw 1 of 2,1,39-43,,
4:48.0,R. Lopez enters the game for D. Williams,,39-43,,
4:48.0,,,39-43,,I. Shumpert enters the game for T. Thompson
4:48.0,K. Porzingis makes free throw 2 of 2,1,40-43,,
4:30.0,,,40-43,,J. Smith misses 2-pt shot from 8 ft
4:29.0,Defensive rebound by A. Afflalo,,40-43,,
4:20.0,Turnover by J. Calderon (lost ball; steal by J. Smith),,40-43,,
4:14.0,,,40-45,2,K. Love makes 2-pt shot at rim (assist by L. James)
3:53.0,L. Thomas misses 2-pt shot from 15 ft,,40-45,,
3:53.0,,,40-45,,Defensive rebound by L. James
3:50.0,,,40-45,,Shooting foul by J. Calderon (drawn by K. Love)
3:50.0,Technical foul by R. Lopez,,40-45,,
3:50.0,,,40-46,1,L. James makes technical free throw
3:50.0,,,40-47,1,K. Love makes free throw 1 of 2
3:50.0,D. Williams enters the game for R. Lopez,,40-47,,
3:50.0,,,40-47,,K. Love misses free throw 2 of 2
3:48.0,Defensive rebound by K. Porzingis,,40-47,,
3:38.0,,,40-47,,Personal foul by J. Smith (drawn by A. Afflalo)
3:38.0,A. Afflalo makes free throw 1 of 2,1,41-47,,
