time,Phoenix,pts.away,score,pts.home,Utah
2:51.0,Shooting foul by A. Burks (drawn by B. Knight),,59-77,,
2:51.0,B. Knight makes free throw 1 of 2,1,60-77,,
2:51.0,B. Knight makes free throw 2 of 2,1,61-77,,
2:36.0,,,61-77,,A. Burks misses 2-pt shot from 14 ft
2:35.0,Defensive rebound by A. Len,,61-77,,
2:22.0,A. Len misses 2-pt shot from 6 ft,,61-77,,
2:21.0,,,61-77,,Defensive rebound by J. Withey
2:03.0,,,61-79,2,T. Burke makes 2-pt shot from 21 ft
1:44.0,B. Knight misses 3-pt shot from 25 ft,,61-79,,
1:43.0,,,61-79,,Defensive rebound by J. Withey
1:26.0,,,61-79,,E. Millsap misses 3-pt shot from 23 ft
1:25.0,Defensive rebound by M. Teletovic,,61-79,,
1:05.0,A. Len misses 2-pt shot from 4 ft,,61-79,,
1:04.0,,,61-79,,Defensive rebound by T. Booker
0:50.0,,,61-79,,T. Burke misses 2-pt shot from 2 ft
0:49.0,Defensive rebound by P. Tucker,,61-79,,
0:33.0,R. Price misses 3-pt shot from 24 ft,,61-79,,
0:32.0,Offensive rebound by B. Knight,,61-79,,
0:17.0,A. Len misses 2-pt shot from 1 ft,,61-79,,
0:17.0,,,61-79,,Defensive rebound by J. Withey
0:01.0,,,61-79,,T. Booker misses 2-pt shot from 3 ft
0:01.0,Defensive rebound by Team,,61-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Shooting foul by T. Booker (drawn by M. Teletovic),,61-79,,
11:45.0,M. Teletovic makes free throw 1 of 2,1,62-79,,
11:45.0,M. Teletovic makes free throw 2 of 2,1,63-79,,
11:33.0,,,63-79,,Shooting foul by R. Price (drawn by A. Burks)
11:33.0,,,63-79,,A. Burks misses free throw 1 of 3
11:33.0,,,63-79,,Offensive rebound by Team
11:33.0,,,63-80,1,A. Burks makes free throw 2 of 3
11:33.0,,,63-80,,A. Burks misses free throw 3 of 3
11:32.0,Defensive rebound by P. Tucker,,63-80,,
11:11.0,M. Teletovic makes 2-pt shot from 7 ft (assist by M. Morris),2,65-80,,
10:48.0,,,65-80,,A. Burks misses 2-pt shot from 5 ft
10:47.0,,,65-80,,Offensive rebound by T. Booker
10:45.0,,,65-82,2,T. Booker makes 2-pt shot from 3 ft
10:41.0,,,65-82,,Personal foul by T. Booker (drawn by B. Knight)
10:41.0,B. Knight makes free throw 1 of 2,1,66-82,,
10:41.0,B. Knight makes free throw 2 of 2,1,67-82,,
10:22.0,,,67-82,,R. Neto misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by Team,,67-82,,
10:21.0,,,67-82,,R. Hood enters the game for A. Burks
10:13.0,Offensive foul by M. Morris,,67-82,,
10:13.0,Turnover by M. Morris (offensive foul),,67-82,,
9:54.0,,,67-82,,T. Booker misses 2-pt shot from 8 ft
9:54.0,Defensive rebound by M. Teletovic,,67-82,,
9:45.0,M. Morris misses 3-pt shot from 24 ft,,67-82,,
9:45.0,,,67-82,,Defensive rebound by T. Lyles
9:29.0,,,67-82,,G. Hayward misses 3-pt shot from 25 ft
9:28.0,,,67-82,,Offensive rebound by T. Lyles
9:09.0,,,67-82,,G. Hayward misses 3-pt shot from 23 ft
9:08.0,Defensive rebound by M. Teletovic,,67-82,,
8:56.0,Shooting foul by T. Booker (drawn by M. Teletovic),,67-82,,
8:56.0,Phoenix full timeout,,67-82,,
8:56.0,,,67-82,,D. Favors enters the game for T. Booker
8:56.0,E. Bledsoe enters the game for B. Knight,,67-82,,
8:56.0,M. Teletovic makes free throw 1 of 2,1,68-82,,
8:56.0,A. Len enters the game for M. Morris,,68-82,,
8:56.0,M. Teletovic makes free throw 2 of 2,1,69-82,,
8:37.0,,,69-82,,Shooting foul by R. Price (drawn by R. Hood)
8:37.0,,,69-83,1,R. Hood makes free throw 1 of 2
8:37.0,,,69-84,1,R. Hood makes free throw 2 of 2
8:20.0,E. Bledsoe makes 2-pt shot from 13 ft,2,71-84,,
7:52.0,,,71-84,,Turnover by Team (shot clock)
7:41.0,Turnover by A. Len (lost ball; steal by G. Hayward),,71-84,,
7:38.0,,,71-84,,Shooting foul by M. Teletovic (drawn by T. Lyles)
7:38.0,,,71-85,1,T. Lyles makes free throw 1 of 2
7:38.0,,,71-86,1,T. Lyles makes free throw 2 of 2
7:21.0,E. Bledsoe misses 2-pt shot from 6 ft,,71-86,,
7:21.0,,,71-86,,Defensive rebound by G. Hayward
7:13.0,,,71-88,2,G. Hayward makes 2-pt shot from 2 ft
7:01.0,Turnover by M. Teletovic (bad pass; steal by R. Neto),,71-88,,
6:55.0,Personal foul by P. Tucker (drawn by D. Favors),,71-88,,
6:55.0,B. Knight enters the game for R. Price,,71-88,,
6:55.0,J. Leuer enters the game for A. Len,,71-88,,
6:46.0,,,71-88,,D. Favors misses 2-pt shot from 18 ft
6:45.0,Defensive rebound by J. Leuer,,71-88,,
6:35.0,B. Knight misses 2-pt shot from 2 ft,,71-88,,
6:32.0,Offensive rebound by J. Leuer,,71-88,,
6:32.0,J. Leuer misses 2-pt shot from 1 ft,,71-88,,
6:31.0,,,71-88,,Defensive rebound by D. Favors
6:18.0,,,71-90,2,R. Neto makes 2-pt shot from 13 ft
6:03.0,,,71-90,,Violation by D. Favors (def goaltending)
6:03.0,M. Teletovic makes 2-pt shot from 2 ft,2,73-90,,
6:03.0,,,73-90,,Utah full timeout
6:03.0,,,73-90,,T. Booker enters the game for T. Lyles
5:39.0,,,73-90,,R. Neto misses 2-pt shot from 6 ft
5:39.0,Defensive rebound by E. Bledsoe,,73-90,,
5:32.0,Shooting foul by R. Hood (drawn by E. Bledsoe),,73-90,,
5:32.0,E. Bledsoe makes free throw 1 of 2,1,74-90,,
5:32.0,,,74-90,,A. Burks enters the game for R. Neto
5:32.0,E. Bledsoe makes free throw 2 of 2,1,75-90,,
5:11.0,,,75-90,,R. Hood misses 2-pt shot from 7 ft
5:10.0,Defensive rebound by J. Leuer,,75-90,,
4:51.0,B. Knight misses 3-pt shot from 22 ft,,75-90,,
4:49.0,,,75-90,,Defensive rebound by G. Hayward
4:36.0,,,75-90,,Shooting foul by M. Teletovic (drawn by G. Hayward)
4:36.0,,,75-91,1,G. Hayward makes free throw 1 of 2
4:36.0,,,75-92,1,G. Hayward makes free throw 2 of 2
4:20.0,B. Knight misses 2-pt shot from 5 ft (block by D. Favors),,75-92,,
4:19.0,,,75-92,,Defensive rebound by D. Favors
4:19.0,Personal foul by B. Knight (drawn by A. Burks),,75-92,,
4:19.0,,,75-93,1,A. Burks makes free throw 1 of 2
4:19.0,D. Booker enters the game for M. Teletovic,,75-93,,
4:19.0,,,75-94,1,A. Burks makes free throw 2 of 2
4:10.0,Shooting foul by D. Favors (drawn by E. Bledsoe),,75-94,,
4:10.0,E. Bledsoe makes free throw 1 of 2,1,76-94,,
4:10.0,E. Bledsoe makes free throw 2 of 2,1,77-94,,
3:51.0,,,77-94,,Shooting foul by B. Knight (drawn by A. Burks)
3:51.0,,,77-95,1,A. Burks makes free throw 1 of 2
3:51.0,,,77-96,1,A. Burks makes free throw 2 of 2
3:43.0,J. Leuer makes 2-pt shot at rim,2,79-96,,
3:23.0,,,79-96,,A. Burks misses 2-pt shot from 1 ft
3:20.0,,,79-96,,Offensive rebound by D. Favors
3:20.0,,,79-98,2,D. Favors makes 2-pt shot from 1 ft
3:10.0,Turnover by J. Leuer (bad pass; steal by T. Booker),,79-98,,
3:06.0,,,79-100,2,T. Booker makes 2-pt shot at rim
2:46.0,B. Knight misses 2-pt shot from 3 ft (block by D. Favors),,79-100,,
2:45.0,,,79-100,,Defensive rebound by D. Favors
2:25.0,,,79-100,,G. Hayward misses 3-pt shot from 24 ft
2:25.0,,,79-100,,Offensive rebound by Team
2:25.0,Phoenix full timeout,,79-100,,
2:25.0,A. Goodwin enters the game for B. Knight,,79-100,,
2:25.0,R. Price enters the game for E. Bledsoe,,79-100,,
2:11.0,,,79-102,2,A. Burks makes 2-pt shot at rim (assist by D. Favors)
2:00.0,D. Booker makes 2-pt shot from 2 ft,2,81-102,,
1:47.0,,,81-102,,Shooting foul by D. Booker (drawn by R. Hood)
