time,Washington,pts.away,score,pts.home,Cleveland
9:59.0,,,60-43,,Defensive rebound by K. Love
9:52.0,Personal foul by M. Gortat (drawn by T. Mozgov),,60-43,,
9:45.0,,,60-43,,M. Williams misses 2-pt shot from 11 ft
9:43.0,Defensive rebound by O. Porter,,60-43,,
9:37.0,B. Beal misses 3-pt shot from 27 ft,,60-43,,
9:36.0,,,60-43,,Defensive rebound by L. James
9:30.0,,,60-43,,L. James misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by M. Gortat,,60-43,,
9:20.0,M. Gortat makes 2-pt shot from 5 ft (assist by J. Wall),2,62-43,,
9:20.0,,,62-43,,Cleveland full timeout
9:20.0,,,62-43,,A. Varejao enters the game for T. Mozgov
9:20.0,,,62-43,,M. Dellavedova enters the game for M. Williams
9:06.0,,,62-45,2,A. Varejao makes 2-pt shot from 15 ft
8:44.0,J. Dudley misses 3-pt shot from 25 ft,,62-45,,
8:44.0,,,62-45,,Defensive rebound by L. James
8:40.0,,,62-45,,Turnover by L. James (bad pass)
8:29.0,O. Porter misses 2-pt shot from 17 ft,,62-45,,
8:29.0,,,62-45,,Defensive rebound by K. Love
8:07.0,,,62-45,,K. Love misses 2-pt shot from 3 ft
8:06.0,Defensive rebound by J. Dudley,,62-45,,
7:59.0,J. Wall makes 2-pt shot from 1 ft,2,64-45,,
7:40.0,,,64-45,,L. James misses 2-pt shot from 20 ft
7:39.0,Defensive rebound by B. Beal,,64-45,,
7:30.0,Turnover by J. Wall (bad pass; steal by K. Love),,64-45,,
7:22.0,,,64-45,,J. Smith misses 3-pt shot from 23 ft
7:21.0,,,64-45,,Offensive rebound by L. James
7:21.0,,,64-45,,Shooting foul by O. Porter (drawn by L. James)
7:21.0,,,64-46,1,L. James makes free throw 1 of 2
7:21.0,,,64-47,1,L. James makes free throw 2 of 2
7:01.0,B. Beal misses 2-pt shot from 9 ft,,64-47,,
6:58.0,Jump ball: B. Beal vs. L. James (A. Varejao gains possession),,,,Jump ball: B. Beal vs. L. James (A. Varejao gains possession)
6:58.0,,,64-47,,Offensive rebound by Team
6:46.0,Personal foul by J. Wall (drawn by J. Smith),,64-47,,
6:46.0,,,64-47,,R. Jefferson enters the game for J. Smith
6:33.0,,,64-47,,A. Varejao misses 2-pt shot from 8 ft
6:32.0,Defensive rebound by M. Gortat,,64-47,,
6:18.0,J. Dudley makes 3-pt shot from 22 ft (assist by J. Wall),3,67-47,,
5:59.0,,,67-47,,K. Love misses 2-pt shot from 1 ft
5:56.0,,,67-47,,Offensive rebound by K. Love
5:54.0,,,67-47,,K. Love misses 2-pt shot from 1 ft
5:54.0,Defensive rebound by M. Gortat,,67-47,,
5:46.0,J. Dudley makes 2-pt shot from 1 ft,2,69-47,,
5:30.0,,,69-47,,T. Thompson enters the game for K. Love
5:22.0,,,69-50,3,R. Jefferson makes 3-pt shot from 24 ft (assist by A. Varejao)
4:59.0,B. Beal misses 3-pt shot from 24 ft,,69-50,,
4:58.0,,,69-50,,Defensive rebound by A. Varejao
4:44.0,,,69-50,,R. Jefferson misses 2-pt shot from 6 ft
4:42.0,Defensive rebound by M. Gortat,,69-50,,
4:29.0,J. Wall misses 3-pt shot from 25 ft,,69-50,,
4:29.0,,,69-50,,Defensive rebound by Team
4:29.0,Loose ball foul by M. Gortat (drawn by A. Varejao),,69-50,,
4:15.0,,,69-52,2,L. James makes 2-pt shot at rim
4:08.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,72-52,,
3:51.0,,,72-52,,L. James misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by J. Wall,,72-52,,
3:41.0,J. Dudley misses 3-pt shot from 25 ft,,72-52,,
3:41.0,,,72-52,,Defensive rebound by T. Thompson
3:37.0,R. Sessions enters the game for J. Wall,,72-52,,
3:37.0,,,72-52,,J. Smith enters the game for L. James
3:37.0,G. Temple enters the game for O. Porter,,72-52,,
3:32.0,,,72-54,2,M. Dellavedova makes 2-pt shot from 10 ft (assist by R. Jefferson)
3:12.0,Turnover by M. Gortat (traveling),,72-54,,
3:06.0,Personal foul by R. Sessions (drawn by M. Dellavedova),,72-54,,
3:06.0,,,72-55,1,M. Dellavedova makes free throw 1 of 2
3:06.0,,,72-56,1,M. Dellavedova makes free throw 2 of 2
3:02.0,Washington full timeout,,72-56,,
2:49.0,R. Sessions makes 2-pt shot from 5 ft,2,74-56,,
2:28.0,,,74-59,3,M. Dellavedova makes 3-pt shot from 24 ft
2:13.0,M. Gortat misses 2-pt shot from 14 ft,,74-59,,
2:12.0,,,74-59,,Defensive rebound by R. Jefferson
1:58.0,,,74-62,3,J. Smith makes 3-pt shot from 25 ft (assist by M. Dellavedova)
1:48.0,,,74-62,,Personal block foul by A. Varejao (drawn by G. Temple)
1:48.0,,,74-62,,Technical foul by Team
1:48.0,B. Beal makes technical free throw,1,75-62,,
1:48.0,K. Humphries enters the game for J. Dudley,,75-62,,
1:39.0,,,75-62,,Personal foul by R. Jefferson (drawn by M. Gortat)
1:39.0,M. Gortat makes free throw 1 of 2,1,76-62,,
1:39.0,M. Gortat misses free throw 2 of 2,,76-62,,
1:38.0,,,76-62,,Defensive rebound by A. Varejao
1:26.0,,,76-62,,Shooting foul by B. Beal (drawn by J. Smith)
1:26.0,,,76-63,1,J. Smith makes free throw 1 of 3
1:26.0,,,76-63,,J. Smith misses free throw 2 of 3
1:26.0,,,76-63,,Offensive rebound by Team
1:26.0,,,76-64,1,J. Smith makes free throw 3 of 3
1:12.0,B. Beal makes 2-pt shot from 10 ft,2,78-64,,
1:00.0,,,78-67,3,M. Dellavedova makes 3-pt shot from 24 ft
0:43.0,B. Beal makes 2-pt shot from 13 ft,2,80-67,,
0:33.0,,,80-67,,J. Smith misses 3-pt shot from 25 ft
0:32.0,,,80-67,,Offensive rebound by Team
0:32.0,Loose ball foul by M. Gortat (drawn by T. Thompson),,80-67,,
0:32.0,,,80-67,,T. Thompson misses free throw 1 of 2
0:32.0,,,80-67,,Offensive rebound by Team
0:32.0,,,80-67,,J. Cunningham enters the game for M. Dellavedova
0:32.0,J. Wall enters the game for K. Humphries,,80-67,,
0:32.0,,,80-67,,T. Thompson misses free throw 2 of 2
0:32.0,Defensive rebound by R. Sessions,,80-67,,
0:21.0,Turnover by J. Wall (bad pass; steal by J. Smith),,80-67,,
0:00.0,,,80-67,,J. Smith misses 3-pt shot from 25 ft
0:00.0,,,80-67,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,B. Beal makes 2-pt shot at rim,2,82-67,,
11:33.0,,,82-67,,Shooting foul by O. Porter (drawn by K. Love)
11:33.0,,,82-68,1,K. Love makes free throw 1 of 2
11:33.0,,,82-69,1,K. Love makes free throw 2 of 2
11:14.0,K. Humphries misses 3-pt shot from 25 ft,,82-69,,
11:13.0,,,82-69,,Defensive rebound by T. Thompson
11:11.0,,,82-69,,Turnover by L. James (bad pass; steal by J. Wall)
11:03.0,J. Wall misses 2-pt shot from 5 ft (block by L. James),,82-69,,
11:03.0,Jump ball: L. James vs. J. Wall,,,,Jump ball: L. James vs. J. Wall
11:02.0,Offensive rebound by Team,,82-69,,
10:47.0,J. Wall makes 3-pt shot from 25 ft (assist by B. Beal),3,85-69,,
10:28.0,,,85-69,,L. James misses 2-pt shot from 7 ft
10:28.0,,,85-69,,Offensive rebound by L. James
10:24.0,,,85-71,2,L. James makes 2-pt shot at rim
10:16.0,G. Temple misses 3-pt shot from 24 ft,,85-71,,
10:15.0,,,85-71,,Defensive rebound by K. Love
10:09.0,,,85-71,,Turnover by L. James (offensive foul)
10:09.0,,,85-71,,Offensive charge foul by L. James
10:09.0,M. Gortat enters the game for K. Humphries,,85-71,,
10:09.0,R. Sessions enters the game for B. Beal,,85-71,,
10:01.0,Offensive foul by M. Gortat,,85-71,,
10:01.0,Turnover by M. Gortat (offensive foul),,85-71,,
10:01.0,,,85-71,,J. Jones enters the game for T. Thompson
9:46.0,,,85-71,,Turnover by L. James (lost ball)
9:30.0,J. Wall makes 2-pt shot from 15 ft,2,87-71,,
9:15.0,,,87-71,,Shooting foul by M. Gortat (drawn by L. James)
9:15.0,,,87-72,1,L. James makes free throw 1 of 2
9:15.0,J. Dudley enters the game for M. Gortat,,87-72,,
9:15.0,,,87-73,1,L. James makes free throw 2 of 2
8:57.0,,,87-73,,Personal foul by L. James (drawn by G. Temple)
8:57.0,Official timeout,,87-73,,
8:49.0,Turnover by J. Wall (bad pass; steal by M. Dellavedova),,87-73,,
8:41.0,,,87-73,,Turnover by L. James (lost ball)
8:39.0,,,87-73,,Loose ball foul by L. James (drawn by G. Temple)
8:26.0,R. Sessions misses 3-pt shot from 23 ft,,87-73,,
8:25.0,,,87-73,,Defensive rebound by K. Love
8:13.0,Personal foul by G. Temple (drawn by K. Love),,87-73,,
8:13.0,B. Beal enters the game for R. Sessions,,87-73,,
8:13.0,,,87-73,,J. Smith enters the game for M. Williams
8:03.0,,,87-73,,Turnover by J. Jones (bad pass)
7:52.0,J. Dudley makes 2-pt shot from 12 ft (assist by J. Wall),2,89-73,,
7:37.0,,,89-73,,J. Smith misses 3-pt shot from 23 ft
7:37.0,,,89-73,,Offensive rebound by Team
7:34.0,Personal foul by G. Temple (drawn by L. James),,89-73,,
7:25.0,,,89-73,,K. Love misses 2-pt shot from 5 ft
7:24.0,Defensive rebound by J. Wall,,89-73,,
7:12.0,J. Wall makes 3-pt shot from 25 ft (assist by J. Dudley),3,92-73,,
6:58.0,,,92-73,,L. James misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by B. Beal,,92-73,,
6:42.0,O. Porter misses 2-pt shot from 2 ft,,92-73,,
6:41.0,,,92-73,,Defensive rebound by K. Love
6:30.0,,,92-73,,K. Love misses 2-pt shot from 16 ft
6:29.0,Defensive rebound by G. Temple,,92-73,,
6:20.0,B. Beal misses 3-pt shot from 24 ft,,92-73,,
6:20.0,,,92-73,,Defensive rebound by M. Dellavedova
6:04.0,,,92-73,,Shooting foul by G. Temple (drawn by L. James)
6:04.0,,,92-74,1,L. James makes free throw 1 of 2
6:04.0,,,92-75,1,L. James makes free throw 2 of 2
5:53.0,G. Temple misses 3-pt shot from 24 ft,,92-75,,
5:53.0,Offensive rebound by Team,,92-75,,
5:53.0,,,92-75,,Loose ball foul by J. Jones (drawn by O. Porter)
5:53.0,,,92-75,,Cleveland full timeout
5:53.0,,,92-75,,T. Thompson enters the game for K. Love
5:41.0,J. Wall misses 2-pt shot from 18 ft,,92-75,,
5:40.0,,,92-75,,Defensive rebound by T. Thompson
5:24.0,,,92-78,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
5:08.0,Shooting foul by T. Thompson (drawn by B. Beal),,92-78,,
5:08.0,B. Beal makes free throw 1 of 2,1,93-78,,
5:08.0,B. Beal misses free throw 2 of 2,,93-78,,
5:07.0,,,93-78,,Defensive rebound by T. Thompson
4:54.0,,,93-78,,L. James misses 2-pt shot from 3 ft
4:53.0,Defensive rebound by O. Porter,,93-78,,
4:32.0,B. Beal misses 3-pt shot from 27 ft,,93-78,,
4:32.0,,,93-78,,Defensive rebound by L. James
4:22.0,,,93-80,2,L. James makes 2-pt shot from 1 ft
3:55.0,J. Dudley makes 2-pt shot at rim (assist by J. Wall),2,95-80,,
3:42.0,,,95-80,,J. Jones misses 3-pt shot from 22 ft
3:41.0,Defensive rebound by B. Beal,,95-80,,
3:24.0,G. Temple misses 2-pt shot from 6 ft (block by J. Smith),,95-80,,
3:24.0,Jump ball: J. Smith vs. G. Temple (T. Thompson gains possession),,,,Jump ball: J. Smith vs. G. Temple (T. Thompson gains possession)
3:24.0,,,95-80,,Defensive rebound by Team
