time,Utah,pts.away,score,pts.home,LA Lakers
7:26.0,Jump ball: G. Hayward vs. R. Hibbert (T. Lyles gains possession),,,,Jump ball: G. Hayward vs. R. Hibbert (T. Lyles gains possession)
7:26.0,Offensive rebound by Team,,8-2,,
7:11.0,Shooting foul by A. Brown (drawn by G. Hayward),,8-2,,
7:11.0,G. Hayward misses free throw 1 of 2,,8-2,,
7:11.0,Offensive rebound by Team,,8-2,,
7:11.0,G. Hayward makes free throw 2 of 2,1,9-2,,
6:57.0,,,9-2,,J. Clarkson misses 2-pt shot from 19 ft
6:56.0,Defensive rebound by R. Gobert,,9-2,,
6:46.0,R. Hood misses 2-pt shot from 14 ft,,9-2,,
6:45.0,,,9-2,,Defensive rebound by L. Nance
6:20.0,,,9-4,2,J. Clarkson makes 2-pt shot from 19 ft
6:02.0,G. Hayward misses 2-pt shot from 3 ft,,9-4,,
6:02.0,,,9-4,,Defensive rebound by R. Hibbert
5:59.0,Personal take foul by R. Hood (drawn by J. Clarkson),,9-4,,
5:59.0,,,9-4,,LA Lakers full timeout
5:57.0,C. Johnson enters the game for R. Hood,,9-4,,
5:44.0,,,9-4,,L. Nance misses 2-pt shot from 4 ft
5:43.0,,,9-4,,Offensive rebound by L. Nance
5:38.0,,,9-7,3,J. Clarkson makes 3-pt shot from 24 ft (assist by L. Williams)
5:21.0,Turnover by R. Neto (bad pass),,9-7,,
5:07.0,,,9-7,,Turnover by R. Hibbert (bad pass; steal by C. Johnson)
5:03.0,Shooting foul by R. Hibbert (drawn by R. Gobert),,9-7,,
5:03.0,R. Gobert misses free throw 1 of 2,,9-7,,
5:03.0,Offensive rebound by Team,,9-7,,
5:03.0,T. Burke enters the game for R. Neto,,9-7,,
5:03.0,R. Gobert misses free throw 2 of 2,,9-7,,
5:02.0,,,9-7,,Defensive rebound by R. Hibbert
4:46.0,,,9-7,,A. Brown misses 3-pt shot from 23 ft
4:45.0,Defensive rebound by T. Lyles,,9-7,,
4:27.0,G. Hayward misses 3-pt shot from 24 ft,,9-7,,
4:26.0,,,9-7,,Defensive rebound by L. Williams
4:15.0,,,9-7,,L. Nance misses 2-pt shot from 19 ft
4:14.0,Defensive rebound by R. Gobert,,9-7,,
4:06.0,G. Hayward misses 2-pt shot from 19 ft,,9-7,,
4:05.0,,,9-7,,Defensive rebound by L. Williams
3:55.0,,,9-7,,Turnover by L. Williams (lost ball; steal by R. Gobert)
3:54.0,,,9-7,,Personal foul by J. Clarkson (drawn by T. Burke)
3:54.0,,,9-7,,J. Randle enters the game for L. Nance
3:54.0,,,9-7,,R. Sacre enters the game for R. Hibbert
3:54.0,J. Withey enters the game for R. Gobert,,9-7,,
3:54.0,,,9-7,,N. Young enters the game for L. Williams
3:37.0,T. Burke misses 2-pt shot from 17 ft,,9-7,,
3:36.0,,,9-7,,Defensive rebound by J. Randle
3:12.0,,,9-7,,J. Randle misses 2-pt shot from 14 ft
3:12.0,Defensive rebound by C. Johnson,,9-7,,
2:59.0,G. Hayward misses 2-pt shot from 8 ft,,9-7,,
2:58.0,,,9-7,,Defensive rebound by J. Randle
2:46.0,,,9-9,2,R. Sacre makes 2-pt shot from 14 ft (assist by J. Clarkson)
2:40.0,Utah full timeout,,9-9,,
2:40.0,T. Booker enters the game for T. Lyles,,9-9,,
2:21.0,C. Johnson misses 3-pt shot from 24 ft,,9-9,,
2:21.0,,,9-9,,Defensive rebound by Team
2:03.0,,,9-11,2,N. Young makes 2-pt shot from 20 ft (assist by R. Sacre)
1:52.0,Turnover by T. Booker (offensive foul),,9-11,,
1:52.0,Offensive foul by T. Booker,,9-11,,
1:52.0,R. Hood enters the game for G. Hayward,,9-11,,
1:35.0,,,9-11,,N. Young misses 2-pt shot from 19 ft
1:34.0,Defensive rebound by J. Withey,,9-11,,
1:19.0,R. Hood makes 3-pt shot from 22 ft (assist by J. Withey),3,12-11,,
1:05.0,,,12-13,2,J. Clarkson makes 2-pt shot at rim
1:05.0,,,12-13,,Shooting foul by J. Withey (drawn by J. Clarkson)
1:05.0,,,12-14,1,J. Clarkson makes free throw 1 of 1
0:56.0,,,12-14,,Personal foul by N. Young (drawn by J. Withey)
0:52.0,T. Burke makes 3-pt shot from 25 ft (assist by R. Hood),3,15-14,,
0:27.0,,,15-14,,R. Sacre misses 2-pt shot from 14 ft
0:27.0,Defensive rebound by T. Booker,,15-14,,
0:13.0,C. Johnson misses 3-pt shot from 22 ft,,15-14,,
0:12.0,,,15-14,,Defensive rebound by J. Randle
0:01.0,,,15-14,,J. Randle misses 2-pt shot from 4 ft
0:00.0,Defensive rebound by C. Johnson,,15-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,J. Withey makes 2-pt shot from 14 ft (assist by T. Booker),2,17-14,,
11:16.0,,,17-14,,M. World Peace misses 3-pt shot from 22 ft
11:15.0,Defensive rebound by C. Johnson,,17-14,,
11:01.0,T. Burke misses 2-pt shot from 4 ft,,17-14,,
10:58.0,,,17-14,,Defensive rebound by J. Randle
10:55.0,,,17-14,,Turnover by M. Huertas (bad pass; steal by R. Hood)
10:51.0,R. Hood makes 2-pt shot at rim,2,19-14,,
10:51.0,Shooting foul by J. Randle (drawn by R. Hood),,19-14,,
10:51.0,R. Hood makes free throw 1 of 1,1,20-14,,
10:35.0,,,20-16,2,N. Young makes 2-pt shot from 17 ft (assist by R. Sacre)
10:09.0,C. Johnson makes 2-pt shot at rim (assist by T. Burke),2,22-16,,
9:53.0,,,22-18,2,J. Randle makes 2-pt shot from 17 ft (assist by M. World Peace)
9:39.0,Shooting foul by M. Huertas (drawn by J. Withey),,22-18,,
9:39.0,J. Withey makes free throw 1 of 2,1,23-18,,
9:39.0,J. Withey makes free throw 2 of 2,1,24-18,,
9:25.0,,,24-18,,M. Huertas misses 2-pt shot from 17 ft
9:24.0,Defensive rebound by J. Withey,,24-18,,
9:12.0,Shooting foul by M. World Peace (drawn by J. Withey),,24-18,,
9:12.0,J. Withey makes free throw 1 of 2,1,25-18,,
9:12.0,J. Withey makes free throw 2 of 2,1,26-18,,
8:52.0,,,26-18,,Turnover by R. Sacre (bad pass; steal by J. Withey)
8:47.0,C. Johnson makes 2-pt shot at rim,2,28-18,,
8:47.0,,,28-18,,LA Lakers full timeout
8:47.0,,,28-18,,L. Nance enters the game for R. Sacre
8:24.0,,,28-18,,L. Nance misses 2-pt shot from 14 ft (block by T. Booker)
8:22.0,Defensive rebound by C. Johnson,,28-18,,
8:04.0,Turnover by R. Hood (lost ball; steal by L. Nance),,28-18,,
7:54.0,,,28-18,,N. Young misses 2-pt shot from 10 ft
7:52.0,Defensive rebound by C. Johnson,,28-18,,
7:37.0,T. Burke makes 3-pt shot from 24 ft (assist by R. Hood),3,31-18,,
7:24.0,,,31-18,,M. World Peace misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by T. Booker,,31-18,,
7:12.0,T. Burke makes 2-pt shot from 7 ft,2,33-18,,
6:57.0,,,33-21,3,M. World Peace makes 3-pt shot from 24 ft (assist by M. Huertas)
6:21.0,R. Hood misses 3-pt shot from 25 ft,,33-21,,
6:20.0,Offensive rebound by J. Withey,,33-21,,
6:15.0,R. Hood misses 2-pt shot from 3 ft (block by L. Nance),,33-21,,
6:15.0,Offensive rebound by Team,,33-21,,
6:15.0,Utah full timeout,,33-21,,
6:15.0,,,33-21,,J. Clarkson enters the game for N. Young
6:15.0,,,33-21,,L. Williams enters the game for M. Huertas
6:15.0,G. Hayward enters the game for R. Hood,,33-21,,
6:15.0,R. Gobert enters the game for C. Johnson,,33-21,,
6:15.0,J. Ingles enters the game for J. Withey,,33-21,,
6:13.0,,,33-21,,Personal foul by L. Nance (drawn by R. Gobert)
6:00.0,T. Booker misses 3-pt shot from 22 ft,,33-21,,
6:00.0,,,33-21,,Defensive rebound by L. Williams
5:36.0,,,33-23,2,J. Randle makes 2-pt shot from 5 ft
5:23.0,Offensive foul by G. Hayward,,33-23,,
5:23.0,Turnover by G. Hayward (offensive foul),,33-23,,
5:23.0,T. Lyles enters the game for T. Booker,,33-23,,
5:23.0,R. Neto enters the game for T. Burke,,33-23,,
5:11.0,,,33-23,,J. Clarkson misses 2-pt shot from 5 ft
5:11.0,Defensive rebound by R. Gobert,,33-23,,
4:58.0,G. Hayward makes 2-pt shot from 1 ft,2,35-23,,
4:36.0,,,35-23,,L. Williams misses 2-pt shot from 12 ft
4:35.0,Defensive rebound by T. Lyles,,35-23,,
4:29.0,,,35-23,,Personal foul by J. Randle (drawn by R. Gobert)
4:29.0,R. Gobert makes free throw 1 of 2,1,36-23,,
4:29.0,,,36-23,,R. Hibbert enters the game for J. Randle
4:29.0,R. Gobert misses free throw 2 of 2,,36-23,,
4:29.0,,,36-23,,Defensive rebound by R. Hibbert
4:05.0,,,36-23,,M. World Peace misses 3-pt shot from 26 ft
4:04.0,Defensive rebound by R. Gobert,,36-23,,
3:51.0,J. Ingles misses 2-pt shot from 2 ft,,36-23,,
3:50.0,,,36-23,,Defensive rebound by Team
3:50.0,,,36-23,,A. Brown enters the game for M. World Peace
3:50.0,C. Johnson enters the game for J. Ingles,,36-23,,
3:43.0,,,36-23,,Offensive foul by R. Hibbert
3:43.0,,,36-23,,Turnover by R. Hibbert (offensive foul)
3:25.0,C. Johnson makes 2-pt shot from 8 ft (assist by G. Hayward),2,38-23,,
3:08.0,,,38-23,,L. Williams misses 2-pt shot from 6 ft
3:07.0,Defensive rebound by C. Johnson,,38-23,,
2:53.0,R. Neto misses 2-pt shot from 3 ft (block by J. Clarkson),,38-23,,
2:52.0,,,38-23,,Defensive rebound by L. Williams
2:49.0,,,38-23,,Turnover by L. Williams (bad pass; steal by C. Johnson)
2:30.0,R. Gobert makes 2-pt shot from 9 ft (assist by C. Johnson),2,40-23,,
2:15.0,,,40-25,2,J. Clarkson makes 2-pt shot from 3 ft
1:54.0,Shooting foul by L. Nance (drawn by G. Hayward),,40-25,,
1:54.0,G. Hayward makes 2-pt shot from 11 ft,2,42-25,,
1:54.0,Official timeout,,42-25,,
1:54.0,G. Hayward makes free throw 1 of 1,1,43-25,,
1:41.0,,,43-25,,Turnover by L. Williams (bad pass; steal by R. Neto)
1:23.0,C. Johnson misses 2-pt shot from 9 ft,,43-25,,
1:22.0,Offensive rebound by G. Hayward,,43-25,,
1:21.0,G. Hayward misses 2-pt shot from 2 ft,,43-25,,
1:21.0,,,43-25,,Defensive rebound by Team
1:21.0,Loose ball foul by R. Gobert (drawn by J. Clarkson),,43-25,,
1:10.0,,,43-25,,J. Clarkson misses 2-pt shot from 1 ft
1:08.0,,,43-25,,Offensive rebound by L. Williams
1:01.0,Shooting block foul by C. Johnson (drawn by A. Brown),,43-25,,
1:01.0,,,43-26,1,A. Brown makes free throw 1 of 2
1:01.0,R. Hood enters the game for C. Johnson,,43-26,,
1:01.0,,,43-27,1,A. Brown makes free throw 2 of 2
0:52.0,G. Hayward misses 2-pt shot from 3 ft,,43-27,,
0:52.0,,,43-27,,Defensive rebound by Team
0:47.0,,,43-27,,Shooting foul by R. Gobert (drawn by L. Williams)
0:47.0,Violation by Team (delay of game),,43-27,,
0:47.0,,,43-28,1,L. Williams makes free throw 1 of 2
0:47.0,T. Burke enters the game for R. Neto,,43-28,,
0:47.0,J. Withey enters the game for R. Gobert,,43-28,,
0:47.0,,,43-28,,L. Williams misses free throw 2 of 2
0:46.0,,,43-28,,Offensive rebound by R. Hibbert
0:45.0,,,43-30,2,R. Hibbert makes 2-pt shot from 1 ft
0:32.0,G. Hayward misses 2-pt shot from 13 ft,,43-30,,
0:31.0,,,43-30,,Defensive rebound by R. Hibbert
0:14.0,,,43-30,,L. Williams misses 3-pt shot from 24 ft
0:13.0,Defensive rebound by J. Withey,,43-30,,
0:02.0,T. Burke misses 3-pt shot from 24 ft,,43-30,,
0:00.0,,,43-30,,Defensive rebound by A. Brown
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,R. Hood misses 2-pt shot from 6 ft,,43-30,,
11:37.0,,,43-30,,Defensive rebound by J. Clarkson
11:14.0,,,43-30,,J. Clarkson misses 3-pt shot from 24 ft
11:13.0,Defensive rebound by R. Hood,,43-30,,
10:58.0,Turnover by R. Gobert (lost ball; steal by L. Williams),,43-30,,
10:53.0,,,43-30,,J. Clarkson misses 2-pt shot from 1 ft (block by G. Hayward)
10:53.0,,,43-30,,Offensive rebound by Team
10:37.0,,,43-33,3,L. Williams makes 3-pt shot from 24 ft (assist by R. Hibbert)
10:25.0,Shooting foul by R. Hibbert (drawn by R. Gobert),,43-33,,
10:25.0,R. Gobert makes free throw 1 of 2,1,44-33,,
10:25.0,R. Gobert makes free throw 2 of 2,1,45-33,,
10:01.0,,,45-35,2,J. Clarkson makes 2-pt shot from 6 ft
9:50.0,G. Hayward makes 3-pt shot from 23 ft,3,48-35,,
9:34.0,,,48-37,2,A. Brown makes 2-pt shot from 18 ft (assist by L. Nance)
9:23.0,G. Hayward makes 2-pt shot at rim (assist by R. Neto),2,50-37,,
9:23.0,Shooting foul by R. Hibbert (drawn by G. Hayward),,50-37,,
9:23.0,G. Hayward makes free throw 1 of 1,1,51-37,,
8:58.0,,,51-37,,L. Nance misses 2-pt shot from 20 ft
8:58.0,Defensive rebound by R. Hood,,51-37,,
8:39.0,R. Hood makes 2-pt shot from 14 ft (assist by R. Gobert),2,53-37,,
8:31.0,,,53-37,,Shooting foul by R. Gobert (drawn by L. Williams)
8:31.0,,,53-39,2,L. Williams makes 2-pt shot from 3 ft
8:31.0,,,53-40,1,L. Williams makes free throw 1 of 1
8:10.0,G. Hayward misses 2-pt shot from 18 ft,,53-40,,
8:10.0,,,53-40,,Defensive rebound by L. Williams
8:02.0,,,53-42,2,L. Nance makes 2-pt shot at rim (assist by L. Williams)
7:46.0,G. Hayward makes 2-pt shot from 7 ft,2,55-42,,
7:30.0,,,55-42,,R. Hibbert misses 2-pt shot from 3 ft (block by R. Gobert)
7:29.0,Defensive rebound by T. Lyles,,55-42,,
7:18.0,Turnover by G. Hayward (lost ball; steal by J. Clarkson),,55-42,,
7:16.0,,,55-42,,Turnover by A. Brown (bad pass)
7:16.0,J. Withey enters the game for R. Gobert,,55-42,,
6:58.0,G. Hayward misses 2-pt shot from 2 ft (block by R. Hibbert),,55-42,,
6:58.0,Offensive rebound by Team,,55-42,,
6:54.0,R. Hood makes 2-pt shot from 6 ft (assist by T. Lyles),2,57-42,,
6:48.0,,,57-42,,Shooting foul by J. Withey (drawn by L. Williams)
6:48.0,,,57-43,1,L. Williams makes free throw 1 of 2
6:48.0,C. Johnson enters the game for R. Hood,,57-43,,
6:48.0,,,57-43,,L. Williams misses free throw 2 of 2
6:46.0,,,57-43,,Offensive rebound by L. Nance
6:36.0,,,57-45,2,R. Hibbert makes 2-pt shot at rim (assist by L. Williams)
6:24.0,Turnover by R. Neto (bad pass; steal by J. Clarkson),,57-45,,
6:18.0,,,57-45,,J. Clarkson misses 2-pt shot at rim (block by G. Hayward)
6:16.0,,,57-45,,Offensive rebound by A. Brown
6:12.0,,,57-45,,L. Williams misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by J. Withey,,57-45,,
6:10.0,Turnover by J. Withey (bad pass; steal by J. Clarkson),,57-45,,
6:05.0,,,57-45,,J. Clarkson misses 2-pt shot from 1 ft (block by J. Withey)
6:03.0,,,57-45,,Offensive rebound by L. Williams
5:58.0,,,57-45,,L. Williams misses 3-pt shot from 24 ft
5:57.0,Defensive rebound by J. Withey,,57-45,,
5:37.0,Turnover by Team (shot clock),,57-45,,
5:14.0,,,57-45,,J. Clarkson misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by T. Lyles,,57-45,,
4:52.0,C. Johnson misses 3-pt shot from 25 ft,,57-45,,
4:52.0,,,57-45,,Defensive rebound by L. Nance
4:41.0,,,57-45,,L. Williams misses 2-pt shot from 1 ft
4:41.0,,,57-45,,Offensive rebound by R. Hibbert
4:41.0,,,57-47,2,R. Hibbert makes 2-pt shot at rim
4:41.0,Utah full timeout,,57-47,,
4:37.0,T. Burke enters the game for G. Hayward,,57-47,,
4:37.0,T. Booker enters the game for T. Lyles,,57-47,,
4:37.0,J. Ingles enters the game for R. Neto,,57-47,,
4:30.0,,,57-47,,M. Huertas enters the game for J. Clarkson
4:22.0,Offensive foul by J. Withey,,57-47,,
4:22.0,Turnover by J. Withey (offensive foul),,57-47,,
4:14.0,,,57-47,,L. Williams misses 3-pt shot from 25 ft
4:13.0,Defensive rebound by T. Booker,,57-47,,
4:02.0,,,57-47,,Personal foul by M. Huertas (drawn by T. Burke)
4:02.0,,,57-47,,J. Randle enters the game for R. Hibbert
4:02.0,,,57-47,,N. Young enters the game for A. Brown
3:54.0,T. Burke misses 2-pt shot from 3 ft,,57-47,,
3:54.0,,,57-47,,Defensive rebound by L. Nance
3:46.0,,,57-47,,Turnover by L. Williams (traveling)
3:29.0,C. Johnson misses 3-pt shot from 22 ft,,57-47,,
3:29.0,Offensive rebound by Team,,57-47,,
3:29.0,,,57-47,,Loose ball foul by J. Randle (drawn by J. Withey)
3:21.0,Turnover by J. Ingles (bad pass; steal by L. Nance),,57-47,,
3:12.0,,,57-47,,L. Williams misses 2-pt shot from 5 ft
3:10.0,Jump ball: L. Nance vs. J. Withey (J. Ingles gains possession),,,,Jump ball: L. Nance vs. J. Withey (J. Ingles gains possession)
3:10.0,Offensive rebound by J. Withey,,57-47,,
2:52.0,C. Johnson misses 3-pt shot from 24 ft,,57-47,,
2:52.0,,,57-47,,Defensive rebound by Team
2:52.0,Loose ball foul by T. Booker,,57-47,,
2:52.0,,,57-47,,LA Lakers full timeout
2:38.0,,,57-47,,L. Williams misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by C. Johnson,,57-47,,
2:18.0,C. Johnson misses 2-pt shot from 2 ft,,57-47,,
2:17.0,Offensive rebound by C. Johnson,,57-47,,
1:56.0,T. Booker makes 2-pt shot from 4 ft (assist by J. Ingles),2,59-47,,
1:45.0,Personal foul by J. Withey (drawn by J. Randle),,59-47,,
1:37.0,,,59-47,,J. Randle misses 3-pt shot from 25 ft
1:34.0,,,59-47,,Offensive rebound by L. Nance
1:22.0,,,59-47,,M. Huertas misses 3-pt shot from 25 ft
1:20.0,Defensive rebound by T. Booker,,59-47,,
1:01.0,J. Ingles misses 2-pt shot from 2 ft,,59-47,,
1:01.0,Offensive rebound by Team,,59-47,,
0:58.0,C. Johnson misses 3-pt shot from 23 ft,,59-47,,
0:57.0,Offensive rebound by Team,,59-47,,
0:57.0,,,59-47,,Loose ball foul by J. Randle (drawn by T. Booker)
0:57.0,T. Booker makes free throw 1 of 2,1,60-47,,
0:57.0,T. Booker makes free throw 2 of 2,1,61-47,,
0:44.0,,,61-49,2,J. Randle makes 2-pt shot at rim
0:44.0,,,61-49,,Shooting foul by J. Withey (drawn by J. Randle)
0:44.0,,,61-50,1,J. Randle makes free throw 1 of 1
0:22.0,T. Burke misses 2-pt shot from 13 ft,,61-50,,
0:20.0,Offensive rebound by T. Booker,,61-50,,
0:20.0,T. Booker misses 2-pt shot from 1 ft,,61-50,,
0:18.0,,,61-50,,Defensive rebound by J. Randle
0:01.0,,,61-50,,Turnover by L. Williams (bad pass; steal by T. Booker)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,61-52,2,N. Young makes 2-pt shot from 15 ft (assist by M. Huertas)
11:26.0,R. Hood makes 2-pt shot from 10 ft,2,63-52,,
11:11.0,,,63-52,,N. Young misses 2-pt shot from 16 ft
11:10.0,Defensive rebound by R. Hood,,63-52,,
11:03.0,Turnover by R. Hood (lost ball; steal by J. Clarkson),,63-52,,
10:42.0,,,63-52,,J. Randle misses 2-pt shot from 4 ft
10:41.0,,,63-52,,Offensive rebound by N. Young
10:34.0,,,63-52,,J. Randle misses 2-pt shot from 1 ft (block by R. Gobert)
10:33.0,Defensive rebound by T. Lyles,,63-52,,
10:20.0,Turnover by R. Gobert (lost ball; steal by J. Randle),,63-52,,
10:14.0,,,63-54,2,J. Randle makes 2-pt shot at rim
9:52.0,R. Hood makes 2-pt shot from 9 ft,2,65-54,,
9:27.0,,,65-54,,M. Huertas misses 2-pt shot from 2 ft
9:26.0,Defensive rebound by R. Hood,,65-54,,
9:13.0,Shooting foul by R. Hibbert (drawn by R. Gobert),,65-54,,
9:13.0,R. Gobert misses free throw 1 of 2,,65-54,,
9:13.0,Offensive rebound by Team,,65-54,,
9:13.0,G. Hayward enters the game for J. Ingles,,65-54,,
9:13.0,,,65-54,,M. World Peace enters the game for M. Huertas
9:13.0,R. Neto enters the game for T. Burke,,65-54,,
9:13.0,R. Gobert makes free throw 2 of 2,1,66-54,,
9:00.0,,,66-56,2,J. Clarkson makes 2-pt shot from 7 ft
8:43.0,,,66-56,,Personal foul by J. Clarkson (drawn by R. Gobert)
8:43.0,Official timeout,,66-56,,
8:30.0,R. Hood misses 2-pt shot from 14 ft,,66-56,,
8:30.0,,,66-56,,Defensive rebound by J. Randle
8:17.0,,,66-56,,J. Randle misses 2-pt shot from 1 ft
8:16.0,Defensive rebound by T. Lyles,,66-56,,
8:02.0,Shooting foul by R. Hibbert (drawn by G. Hayward),,66-56,,
8:02.0,,,66-56,,L. Nance enters the game for R. Hibbert
8:02.0,G. Hayward misses free throw 1 of 2,,66-56,,
8:02.0,Offensive rebound by Team,,66-56,,
8:02.0,T. Booker enters the game for T. Lyles,,66-56,,
8:02.0,G. Hayward makes free throw 2 of 2,1,67-56,,
7:38.0,,,67-58,2,L. Nance makes 2-pt shot from 4 ft (assist by J. Randle)
7:20.0,Turnover by R. Neto (bad pass),,67-58,,
7:04.0,,,67-58,,N. Young misses 2-pt shot from 20 ft
7:03.0,Defensive rebound by T. Booker,,67-58,,
6:46.0,G. Hayward misses 2-pt shot from 2 ft (block by M. World Peace),,67-58,,
6:44.0,,,67-58,,Defensive rebound by L. Nance
6:36.0,,,67-58,,J. Clarkson misses 2-pt shot from 15 ft
6:34.0,Defensive rebound by R. Gobert,,67-58,,
6:14.0,T. Booker makes 2-pt shot from 1 ft (assist by R. Hood),2,69-58,,
6:06.0,,,69-58,,LA Lakers full timeout
6:06.0,,,69-58,,L. Williams enters the game for N. Young
5:57.0,,,69-58,,J. Clarkson misses 2-pt shot from 7 ft
5:56.0,Defensive rebound by Team,,69-58,,
5:31.0,R. Neto makes 3-pt shot from 25 ft,3,72-58,,
5:14.0,,,72-58,,M. World Peace misses 2-pt shot from 4 ft (block by G. Hayward)
5:13.0,,,72-58,,Offensive rebound by J. Randle
5:04.0,,,72-58,,J. Randle misses 2-pt shot from 2 ft
5:01.0,,,72-58,,Offensive rebound by L. Williams
5:01.0,,,72-60,2,L. Williams makes 2-pt shot at rim
4:45.0,G. Hayward makes 2-pt shot from 14 ft,2,74-60,,
4:30.0,,,74-62,2,L. Williams makes 2-pt shot at rim
4:05.0,G. Hayward misses 3-pt shot from 26 ft,,74-62,,
4:02.0,Offensive rebound by T. Booker,,74-62,,
4:02.0,Turnover by Team (back court),,74-62,,
4:02.0,,,74-62,,A. Brown enters the game for M. World Peace
3:55.0,,,74-64,2,L. Nance makes 2-pt shot from 11 ft (assist by L. Williams)
3:39.0,R. Neto makes 2-pt shot from 1 ft,2,76-64,,
3:26.0,,,76-64,,L. Williams misses 3-pt shot from 24 ft
3:26.0,Defensive rebound by Team,,76-64,,
3:26.0,,,76-64,,Loose ball foul by J. Randle (drawn by R. Gobert)
3:08.0,Turnover by G. Hayward (bad pass; steal by L. Williams),,76-64,,
2:50.0,,,76-64,,A. Brown misses 2-pt shot from 20 ft
2:50.0,,,76-64,,Offensive rebound by J. Clarkson
2:50.0,Loose ball foul by R. Hood (drawn by J. Clarkson),,76-64,,
2:50.0,Utah full timeout,,76-64,,
2:41.0,,,76-66,2,L. Nance makes 2-pt shot from 1 ft (assist by L. Williams)
2:18.0,R. Hood misses 2-pt shot from 8 ft,,76-66,,
2:18.0,,,76-66,,Defensive rebound by L. Nance
2:08.0,,,76-68,2,J. Randle makes 2-pt shot at rim (assist by L. Williams)
1:47.0,G. Hayward makes 2-pt shot from 14 ft,2,78-68,,
1:41.0,,,78-68,,Shooting foul by R. Gobert (drawn by L. Williams)
1:41.0,,,78-69,1,L. Williams makes free throw 1 of 2
1:41.0,T. Burke enters the game for R. Neto,,78-69,,
1:41.0,,,78-70,1,L. Williams makes free throw 2 of 2
1:19.0,G. Hayward makes 2-pt shot from 4 ft,2,80-70,,
1:08.0,,,80-70,,L. Williams misses 2-pt shot from 13 ft
1:08.0,,,80-70,,Offensive rebound by Team
1:08.0,Loose ball foul by R. Gobert (drawn by L. Nance),,80-70,,
1:08.0,,,80-71,1,L. Nance makes free throw 1 of 2
1:08.0,,,80-72,1,L. Nance makes free throw 2 of 2
0:50.0,R. Gobert makes 2-pt shot at rim (assist by R. Hood),2,82-72,,
0:46.0,,,82-72,,LA Lakers full timeout
0:46.0,C. Johnson enters the game for T. Burke,,82-72,,
0:43.0,,,82-72,,Turnover by L. Williams (bad pass; steal by R. Hood)
0:39.0,,,82-72,,Personal foul by J. Randle (drawn by T. Booker)
0:39.0,,,82-72,,M. World Peace enters the game for J. Randle
