time,Detroit,pts.away,score,pts.home,Milwaukee
11:04.0,,,59-52,3,K. Middleton makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
10:48.0,R. Jackson makes 2-pt shot from 19 ft (assist by M. Morris),2,61-52,,
10:36.0,,,61-54,2,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
10:23.0,A. Drummond misses 2-pt shot from 1 ft (block by M. Plumlee),,61-54,,
10:20.0,,,61-54,,Defensive rebound by O. Mayo
10:16.0,,,61-56,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker)
10:16.0,Detroit full timeout,,61-56,,
10:05.0,Turnover by M. Morris (bad pass; steal by M. Plumlee),,61-56,,
9:54.0,,,61-56,,K. Middleton misses 2-pt shot from 11 ft
9:53.0,Defensive rebound by K. Caldwell-Pope,,61-56,,
9:46.0,,,61-56,,Personal foul by M. Plumlee (drawn by M. Morris)
9:40.0,,,61-56,,Personal foul by K. Middleton (drawn by A. Drummond)
9:33.0,Offensive charge foul by R. Jackson,,61-56,,
9:33.0,Turnover by R. Jackson (offensive foul),,61-56,,
9:18.0,,,61-56,,Turnover by M. Plumlee (bad pass; steal by T. Harris)
9:06.0,T. Harris makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,63-56,,
8:47.0,,,63-58,2,K. Middleton makes 2-pt shot from 4 ft
8:18.0,A. Drummond misses 2-pt shot from 9 ft,,63-58,,
8:17.0,,,63-58,,Defensive rebound by K. Middleton
8:07.0,,,63-58,,O. Mayo misses 3-pt shot from 23 ft
8:05.0,Defensive rebound by A. Drummond,,63-58,,
7:56.0,R. Jackson makes 2-pt shot from 2 ft,2,65-58,,
7:42.0,Personal foul by M. Morris (drawn by K. Middleton),,65-58,,
7:42.0,,,65-58,,G. Monroe enters the game for M. Plumlee
7:39.0,,,65-60,2,J. Parker makes 2-pt shot at rim (assist by G. Monroe)
7:25.0,Shooting foul by O. Mayo (drawn by R. Jackson),,65-60,,
7:25.0,R. Jackson makes free throw 1 of 2,1,66-60,,
7:25.0,R. Jackson makes free throw 2 of 2,1,67-60,,
7:08.0,,,67-62,2,K. Middleton makes 2-pt shot from 10 ft
6:55.0,T. Harris makes 2-pt shot from 2 ft (assist by R. Jackson),2,69-62,,
6:37.0,,,69-62,,Turnover by J. Parker (bad pass; steal by K. Caldwell-Pope)
6:29.0,T. Harris misses 2-pt shot from 1 ft (block by K. Middleton),,69-62,,
6:26.0,,,69-62,,Defensive rebound by J. Parker
6:19.0,,,69-65,3,O. Mayo makes 3-pt shot from 24 ft (assist by K. Middleton)
6:06.0,,,69-65,,Personal foul by O. Mayo (drawn by R. Jackson)
6:06.0,,,69-65,,M. Carter-Williams enters the game for O. Mayo
5:53.0,A. Drummond makes 2-pt shot from 7 ft (assist by K. Caldwell-Pope),2,71-65,,
5:32.0,,,71-65,,Turnover by G. Antetokounmpo (traveling)
5:19.0,M. Morris makes 2-pt shot from 18 ft,2,73-65,,
4:59.0,,,73-67,2,K. Middleton makes 2-pt shot from 10 ft
4:39.0,Turnover by M. Morris (bad pass),,73-67,,
4:26.0,,,73-67,,K. Middleton misses 2-pt shot from 17 ft
4:23.0,Defensive rebound by M. Morris,,73-67,,
4:14.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,73-67,,
4:12.0,,,73-67,,Defensive rebound by J. Parker
4:08.0,,,73-67,,Turnover by J. Parker (lost ball)
3:45.0,R. Jackson misses 3-pt shot from 25 ft,,73-67,,
3:44.0,Offensive rebound by A. Drummond,,73-67,,
3:44.0,A. Drummond misses 2-pt shot from 2 ft,,73-67,,
3:42.0,Offensive rebound by A. Drummond,,73-67,,
3:42.0,Turnover by A. Drummond (step out of bounds),,73-67,,
3:28.0,,,73-67,,Turnover by G. Monroe (lost ball; steal by A. Drummond)
3:22.0,K. Caldwell-Pope makes 2-pt shot at rim,2,75-67,,
3:10.0,,,75-69,2,G. Monroe makes 2-pt shot from 1 ft (assist by J. Parker)
2:46.0,K. Caldwell-Pope makes 2-pt shot from 16 ft,2,77-69,,
2:31.0,,,77-71,2,M. Carter-Williams makes 2-pt shot from 8 ft
2:11.0,R. Jackson makes 2-pt shot at rim,2,79-71,,
1:59.0,,,79-71,,M. Carter-Williams misses 2-pt shot from 17 ft
1:57.0,Defensive rebound by A. Drummond,,79-71,,
1:46.0,Shooting foul by G. Antetokounmpo (drawn by A. Drummond),,79-71,,
1:46.0,,,79-71,,Milwaukee full timeout
1:46.0,S. Blake enters the game for R. Jackson,,79-71,,
1:46.0,,,79-71,,S. Novak enters the game for J. Parker
1:46.0,R. Bullock enters the game for M. Morris,,79-71,,
1:46.0,A. Drummond misses free throw 1 of 2,,79-71,,
1:46.0,Offensive rebound by Team,,79-71,,
1:46.0,A. Drummond misses free throw 2 of 2,,79-71,,
1:46.0,,,79-71,,Defensive rebound by G. Antetokounmpo
1:23.0,,,79-73,2,K. Middleton makes 2-pt shot from 17 ft
1:08.0,Shooting foul by G. Antetokounmpo (drawn by A. Drummond),,79-73,,
1:08.0,A. Drummond makes free throw 1 of 2,1,80-73,,
1:08.0,A. Drummond misses free throw 2 of 2,,80-73,,
1:07.0,,,80-73,,Defensive rebound by G. Antetokounmpo
0:55.0,,,80-73,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by A. Drummond)
0:52.0,Defensive rebound by T. Harris,,80-73,,
0:46.0,R. Bullock misses 3-pt shot from 26 ft,,80-73,,
0:45.0,,,80-73,,Defensive rebound by K. Middleton
0:39.0,,,80-73,,G. Antetokounmpo misses 2-pt shot from 19 ft
0:37.0,Defensive rebound by A. Drummond,,80-73,,
0:17.0,Offensive foul by T. Harris,,80-73,,
0:17.0,Turnover by T. Harris (offensive foul),,80-73,,
0:08.0,,,80-73,,Turnover by M. Carter-Williams (lost ball)
0:02.0,Turnover by S. Blake (lost ball; steal by G. Monroe),,80-73,,
0:01.0,,,80-73,,M. Carter-Williams misses 3-pt shot from 34 ft
0:00.0,,,80-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,M. Morris makes 3-pt shot from 26 ft (assist by S. Blake),3,83-73,,
11:36.0,,,83-73,,Turnover by K. Middleton (offensive foul)
11:36.0,,,83-73,,Offensive foul by K. Middleton
11:20.0,A. Baynes misses 2-pt shot from 13 ft,,83-73,,
11:18.0,,,83-73,,Defensive rebound by K. Middleton
11:12.0,,,83-73,,K. Middleton misses 2-pt shot from 2 ft
11:11.0,,,83-73,,Offensive rebound by G. Monroe
11:10.0,,,83-73,,G. Monroe misses 2-pt shot from 1 ft
11:09.0,,,83-73,,Offensive rebound by K. Middleton
11:08.0,,,83-73,,K. Middleton misses 2-pt shot from 1 ft
11:05.0,Defensive rebound by Team,,83-73,,
10:48.0,Turnover by D. Hilliard (3 sec),,83-73,,
10:35.0,,,83-73,,M. Carter-Williams misses 2-pt shot from 7 ft
10:34.0,,,83-73,,Offensive rebound by G. Monroe
10:33.0,,,83-73,,Turnover by G. Monroe (bad pass; steal by S. Blake)
10:33.0,,,83-73,,Personal foul by G. Monroe (drawn by S. Blake)
10:15.0,R. Bullock misses 3-pt shot from 24 ft,,83-73,,
10:14.0,,,83-73,,Defensive rebound by M. Carter-Williams
10:00.0,,,83-73,,S. Novak misses 3-pt shot from 27 ft
9:58.0,Defensive rebound by M. Morris,,83-73,,
9:43.0,Shooting foul by G. Antetokounmpo (drawn by D. Hilliard),,83-73,,
9:43.0,D. Hilliard makes free throw 1 of 2,1,84-73,,
9:43.0,D. Hilliard makes free throw 2 of 2,1,85-73,,
9:22.0,,,85-73,,G. Monroe misses 2-pt shot from 6 ft
9:21.0,Defensive rebound by M. Morris,,85-73,,
9:15.0,R. Bullock misses 2-pt shot at rim,,85-73,,
9:11.0,,,85-73,,Defensive rebound by M. Carter-Williams
9:11.0,,,85-73,,Shooting foul by A. Baynes (drawn by K. Middleton)
9:11.0,,,85-74,1,K. Middleton makes free throw 1 of 2
9:11.0,,,85-75,1,K. Middleton makes free throw 2 of 2
8:58.0,Turnover by M. Morris (bad pass; steal by K. Middleton),,85-75,,
8:52.0,,,85-77,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams)
8:45.0,M. Morris misses 2-pt shot from 16 ft,,85-77,,
8:45.0,Offensive rebound by M. Morris,,85-77,,
8:45.0,Shooting foul by G. Monroe (drawn by M. Morris),,85-77,,
8:45.0,Official timeout,,85-77,,
8:45.0,,,85-77,,J. Parker enters the game for S. Novak
8:45.0,M. Morris misses free throw 1 of 2,,85-77,,
8:45.0,Offensive rebound by Team,,85-77,,
8:45.0,T. Harris enters the game for R. Bullock,,85-77,,
8:45.0,M. Morris makes free throw 2 of 2,1,86-77,,
8:32.0,Personal foul by A. Baynes (drawn by K. Middleton),,86-77,,
8:28.0,,,86-77,,G. Antetokounmpo misses 2-pt shot from 21 ft
8:26.0,Defensive rebound by S. Blake,,86-77,,
8:07.0,S. Blake misses 3-pt shot from 24 ft,,86-77,,
8:06.0,,,86-77,,Defensive rebound by G. Monroe
7:47.0,,,86-77,,M. Carter-Williams misses 2-pt shot from 18 ft
7:45.0,Defensive rebound by T. Harris,,86-77,,
7:29.0,M. Morris makes 2-pt shot from 21 ft (assist by D. Hilliard),2,88-77,,
7:18.0,,,88-79,2,K. Middleton makes 2-pt shot from 4 ft
7:10.0,,,88-79,,Personal foul by M. Carter-Williams (drawn by S. Blake)
7:10.0,R. Jackson enters the game for S. Blake,,88-79,,
7:10.0,K. Caldwell-Pope enters the game for D. Hilliard,,88-79,,
6:59.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,88-79,,
6:59.0,Offensive rebound by Team,,88-79,,
6:51.0,T. Harris misses 2-pt shot from 1 ft (block by G. Monroe),,88-79,,
6:50.0,Offensive rebound by A. Baynes,,88-79,,
6:49.0,A. Baynes misses 2-pt shot from 1 ft,,88-79,,
6:48.0,,,88-79,,Defensive rebound by Team
6:43.0,,,88-79,,Turnover by M. Carter-Williams (lost ball; steal by R. Jackson)
6:41.0,Shooting foul by K. Middleton (drawn by R. Jackson),,88-79,,
6:41.0,R. Jackson makes free throw 1 of 2,1,89-79,,
6:41.0,A. Drummond enters the game for A. Baynes,,89-79,,
6:41.0,R. Jackson makes free throw 2 of 2,1,90-79,,
6:33.0,Personal foul by A. Drummond (drawn by K. Middleton),,90-79,,
6:27.0,,,90-79,,K. Middleton misses 2-pt shot from 7 ft
6:25.0,,,90-79,,Offensive rebound by G. Monroe
6:22.0,,,90-79,,G. Monroe misses 2-pt shot at rim
6:21.0,Defensive rebound by A. Drummond,,90-79,,
6:21.0,,,90-79,,Personal foul by G. Monroe (drawn by A. Drummond)
6:21.0,A. Drummond misses free throw 1 of 2,,90-79,,
6:21.0,Offensive rebound by Team,,90-79,,
6:21.0,A. Drummond misses free throw 2 of 2,,90-79,,
6:20.0,,,90-79,,Defensive rebound by G. Antetokounmpo
6:06.0,,,90-79,,J. Parker misses 2-pt shot from 11 ft
6:04.0,Defensive rebound by R. Jackson,,90-79,,
5:50.0,,,90-79,,Milwaukee full timeout
5:50.0,,,90-79,,O. Mayo enters the game for M. Carter-Williams
5:42.0,T. Harris misses 2-pt shot from 8 ft,,90-79,,
5:40.0,,,90-79,,Defensive rebound by G. Antetokounmpo
5:30.0,,,90-81,2,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton)
5:16.0,R. Jackson makes 2-pt shot from 1 ft,2,92-81,,
4:58.0,,,92-81,,J. Parker misses 2-pt shot from 20 ft
4:55.0,,,92-81,,Offensive rebound by G. Antetokounmpo
4:51.0,,,92-81,,Turnover by G. Monroe (lost ball; steal by A. Drummond)
4:32.0,A. Drummond makes 2-pt shot from 4 ft (assist by R. Jackson),2,94-81,,
4:22.0,Personal foul by R. Jackson (drawn by O. Mayo),,94-81,,
4:18.0,,,94-81,,J. Parker misses 2-pt shot from 14 ft
4:16.0,Defensive rebound by A. Drummond,,94-81,,
4:03.0,,,94-81,,Personal foul by O. Mayo (drawn by R. Jackson)
4:03.0,R. Jackson misses free throw 1 of 2,,94-81,,
4:03.0,Offensive rebound by Team,,94-81,,
