time,Chicago,pts.away,score,pts.home,Detroit
7:59.0,,,6-7,,Personal foul by E. Ilyasova (drawn by D. Rose)
7:46.0,P. Gasol makes 2-pt shot from 16 ft (assist by J. Butler),2,8-7,,
7:28.0,,,8-9,2,K. Caldwell-Pope makes 2-pt shot from 15 ft
7:12.0,D. Rose misses 2-pt shot from 14 ft,,8-9,,
7:11.0,,,8-9,,Defensive rebound by E. Ilyasova
6:59.0,,,8-11,2,A. Drummond makes 2-pt shot from 4 ft (assist by R. Jackson)
6:49.0,D. Rose misses 3-pt shot from 25 ft,,8-11,,
6:48.0,,,8-11,,Defensive rebound by E. Ilyasova
6:35.0,,,8-11,,A. Drummond misses 2-pt shot from 7 ft
6:30.0,Defensive rebound by J. Butler,,8-11,,
6:28.0,Turnover by J. Butler (bad pass; steal by A. Drummond),,8-11,,
6:20.0,,,8-11,,K. Caldwell-Pope misses 2-pt shot from 5 ft
6:19.0,,,8-11,,Offensive rebound by R. Jackson
6:19.0,,,8-13,2,R. Jackson makes 2-pt shot at rim
6:19.0,Chicago full timeout,,8-13,,
6:06.0,J. Butler misses 3-pt shot from 25 ft,,8-13,,
6:06.0,,,8-13,,Defensive rebound by Team
5:54.0,,,8-16,3,E. Ilyasova makes 3-pt shot from 27 ft (assist by R. Jackson)
5:31.0,P. Gasol misses 3-pt shot from 23 ft,,8-16,,
5:31.0,,,8-16,,Defensive rebound by K. Caldwell-Pope
5:22.0,,,8-18,2,A. Drummond makes 2-pt shot from 4 ft (assist by R. Jackson)
5:08.0,J. Butler makes 2-pt shot from 15 ft (assist by P. Gasol),2,10-18,,
4:42.0,,,10-20,2,M. Morris makes 2-pt shot from 16 ft
4:28.0,T. Gibson misses 2-pt shot from 3 ft,,10-20,,
4:27.0,,,10-20,,Defensive rebound by E. Ilyasova
4:15.0,,,10-22,2,M. Morris makes 2-pt shot from 16 ft (assist by A. Drummond)
4:02.0,D. Rose makes 2-pt shot at rim,2,12-22,,
3:42.0,,,12-24,2,E. Ilyasova makes 2-pt shot at rim
3:22.0,Shooting foul by M. Morris (drawn by J. Butler),,12-24,,
3:22.0,J. Butler makes free throw 1 of 2,1,13-24,,
3:22.0,A. Brooks enters the game for D. Rose,,13-24,,
3:22.0,D. McDermott enters the game for T. Gibson,,13-24,,
3:22.0,,,13-24,,S. Johnson enters the game for K. Caldwell-Pope
3:22.0,N. Mirotic enters the game for T. Snell,,13-24,,
3:22.0,J. Butler misses free throw 2 of 2,,13-24,,
3:21.0,,,13-24,,Defensive rebound by E. Ilyasova
3:06.0,,,13-26,2,R. Jackson makes 2-pt shot from 17 ft
2:58.0,A. Brooks makes 2-pt shot at rim,2,15-26,,
2:48.0,,,15-26,,Turnover by A. Drummond (offensive foul)
2:48.0,,,15-26,,Offensive foul by A. Drummond
2:48.0,,,15-26,,Detroit full timeout
2:48.0,,,15-26,,B. Jennings enters the game for R. Jackson
2:27.0,D. McDermott makes 3-pt shot from 26 ft (assist by N. Mirotic),3,18-26,,
2:06.0,,,18-28,2,M. Morris makes 2-pt shot from 17 ft
1:47.0,P. Gasol makes 2-pt shot from 16 ft (assist by J. Butler),2,20-28,,
1:27.0,,,20-30,2,E. Ilyasova makes 2-pt shot from 18 ft
1:12.0,P. Gasol makes 2-pt shot from 5 ft (assist by J. Butler),2,22-30,,
0:56.0,,,22-30,,E. Ilyasova misses 2-pt shot from 6 ft
0:55.0,Defensive rebound by N. Mirotic,,22-30,,
0:45.0,P. Gasol makes 2-pt shot from 19 ft (assist by A. Brooks),2,24-30,,
0:34.0,,,24-32,2,E. Ilyasova makes 2-pt shot at rim (assist by B. Jennings)
0:22.0,J. Butler makes 2-pt shot from 16 ft,2,26-32,,
0:15.0,Personal take foul by A. Brooks (drawn by B. Jennings),,26-32,,
0:01.0,,,26-32,,M. Morris misses 3-pt shot from 22 ft
0:00.0,,,26-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,N. Mirotic misses 2-pt shot from 19 ft,,26-32,,
11:39.0,,,26-32,,Defensive rebound by S. Johnson
11:30.0,,,26-32,,Turnover by S. Johnson (bad pass)
11:11.0,B. Portis misses 3-pt shot from 25 ft,,26-32,,
11:10.0,Offensive rebound by B. Portis,,26-32,,
11:01.0,A. Brooks misses 3-pt shot from 26 ft,,26-32,,
11:00.0,,,26-32,,Defensive rebound by K. Caldwell-Pope
10:54.0,,,26-32,,Turnover by B. Jennings (bad pass; steal by D. McDermott)
10:40.0,D. McDermott misses 2-pt shot from 11 ft,,26-32,,
10:39.0,,,26-32,,Defensive rebound by B. Jennings
10:26.0,,,26-34,2,A. Baynes makes 2-pt shot at rim (assist by B. Jennings)
10:16.0,N. Mirotic makes 2-pt shot at rim (assist by A. Brooks),2,28-34,,
9:58.0,,,28-36,2,S. Johnson makes 2-pt shot from 4 ft
9:52.0,Shooting foul by A. Baynes (drawn by N. Mirotic),,28-36,,
9:52.0,N. Mirotic misses free throw 1 of 2,,28-36,,
9:52.0,Offensive rebound by Team,,28-36,,
9:52.0,N. Mirotic misses free throw 2 of 2,,28-36,,
9:51.0,,,28-36,,Defensive rebound by K. Caldwell-Pope
9:35.0,,,28-36,,A. Baynes misses 2-pt shot from 15 ft
9:35.0,Defensive rebound by B. Portis,,28-36,,
9:14.0,A. Brooks makes 2-pt shot from 1 ft,2,30-36,,
9:07.0,,,30-38,2,B. Jennings makes 2-pt shot at rim
8:50.0,N. Mirotic misses 2-pt shot at rim,,30-38,,
8:50.0,Offensive rebound by N. Mirotic,,30-38,,
8:50.0,Shooting foul by A. Tolliver (drawn by N. Mirotic),,30-38,,
8:50.0,Official timeout,,30-38,,
8:50.0,T. Gibson enters the game for B. Portis,,30-38,,
8:50.0,N. Mirotic makes free throw 1 of 2,1,31-38,,
8:50.0,N. Mirotic makes free throw 2 of 2,1,32-38,,
8:36.0,,,32-38,,S. Johnson misses 2-pt shot from 6 ft
8:36.0,Defensive rebound by Team,,32-38,,
8:36.0,,,32-38,,Loose ball foul by A. Baynes (drawn by T. Gibson)
8:23.0,D. McDermott makes 3-pt shot from 25 ft (assist by A. Brooks),3,35-38,,
8:07.0,,,35-38,,S. Johnson misses 3-pt shot from 23 ft
8:07.0,,,35-38,,Offensive rebound by A. Tolliver
8:02.0,,,35-38,,Turnover by S. Johnson (traveling)
7:42.0,D. McDermott makes 2-pt shot from 17 ft,2,37-38,,
7:24.0,,,37-38,,A. Baynes misses 2-pt shot from 10 ft
7:22.0,Defensive rebound by A. Brooks,,37-38,,
7:16.0,E. Moore makes 2-pt shot from 8 ft,2,39-38,,
7:16.0,,,39-38,,Detroit full timeout
6:55.0,,,39-40,2,S. Johnson makes 2-pt shot from 9 ft (assist by A. Tolliver)
6:35.0,T. Gibson makes 2-pt shot from 15 ft (assist by A. Brooks),2,41-40,,
6:09.0,,,41-40,,B. Jennings misses 3-pt shot from 26 ft
6:09.0,Defensive rebound by Team,,41-40,,
5:54.0,,,41-40,,Personal foul by K. Caldwell-Pope (drawn by D. McDermott)
5:54.0,,,41-40,,A. Drummond enters the game for S. Johnson
5:54.0,,,41-40,,M. Morris enters the game for B. Jennings
5:54.0,,,41-40,,R. Jackson enters the game for A. Baynes
5:54.0,P. Gasol enters the game for N. Mirotic,,41-40,,
5:54.0,J. Butler enters the game for E. Moore,,41-40,,
5:54.0,D. Rose enters the game for A. Brooks,,41-40,,
5:50.0,Turnover by D. McDermott (lost ball; steal by K. Caldwell-Pope),,41-40,,
5:44.0,,,41-42,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by A. Drummond)
5:24.0,P. Gasol makes 2-pt shot from 17 ft (assist by D. Rose),2,43-42,,
5:11.0,,,43-44,2,R. Jackson makes 2-pt shot at rim
4:55.0,D. Rose makes 3-pt shot from 23 ft (assist by P. Gasol),3,46-44,,
4:43.0,,,46-44,,A. Tolliver misses 3-pt shot from 26 ft
4:43.0,,,46-44,,Offensive rebound by A. Drummond
4:40.0,,,46-46,2,A. Drummond makes 2-pt shot at rim
4:27.0,P. Gasol misses 3-pt shot from 25 ft,,46-46,,
4:26.0,,,46-46,,Defensive rebound by M. Morris
4:14.0,,,46-46,,K. Caldwell-Pope misses 2-pt shot from 6 ft
4:12.0,Defensive rebound by J. Butler,,46-46,,
4:01.0,D. Rose makes 2-pt shot from 12 ft (assist by J. Butler),2,48-46,,
3:42.0,,,48-46,,K. Caldwell-Pope misses 2-pt shot from 4 ft (block by T. Gibson)
3:41.0,Defensive rebound by P. Gasol,,48-46,,
3:40.0,,,48-46,,E. Ilyasova enters the game for A. Tolliver
3:29.0,D. Rose misses 2-pt shot from 20 ft,,48-46,,
3:28.0,,,48-46,,Defensive rebound by A. Drummond
3:21.0,,,48-46,,E. Ilyasova misses 3-pt shot from 26 ft
3:20.0,Defensive rebound by D. McDermott,,48-46,,
3:07.0,T. Gibson misses 2-pt shot from 10 ft,,48-46,,
3:07.0,,,48-46,,Defensive rebound by A. Drummond
2:49.0,,,48-46,,Turnover by A. Drummond (lost ball; steal by J. Butler)
2:46.0,Turnover by J. Butler (lost ball; steal by R. Jackson),,48-46,,
2:37.0,,,48-46,,E. Ilyasova misses 3-pt shot from 23 ft
2:37.0,Defensive rebound by D. McDermott,,48-46,,
2:27.0,D. Rose misses 2-pt shot from 10 ft,,48-46,,
2:26.0,,,48-46,,Defensive rebound by A. Drummond
2:20.0,,,48-48,2,K. Caldwell-Pope makes 2-pt shot from 13 ft
2:20.0,,,48-48,,Shooting foul by D. McDermott (drawn by K. Caldwell-Pope)
2:20.0,Chicago full timeout,,48-48,,
2:20.0,E. Moore enters the game for D. McDermott,,48-48,,
2:20.0,,,48-49,1,K. Caldwell-Pope makes free throw 1 of 1
2:06.0,J. Butler misses 2-pt shot from 13 ft,,48-49,,
2:04.0,,,48-49,,Defensive rebound by Team
1:47.0,,,48-49,,M. Morris misses 2-pt shot from 13 ft
1:47.0,,,48-49,,Offensive rebound by A. Drummond
1:32.0,,,48-49,,A. Drummond misses 2-pt shot from 4 ft
1:30.0,Defensive rebound by P. Gasol,,48-49,,
1:22.0,,,48-49,,Personal foul by A. Drummond (drawn by P. Gasol)
1:22.0,P. Gasol makes free throw 1 of 2,1,49-49,,
1:22.0,,,49-49,,A. Baynes enters the game for A. Drummond
1:22.0,P. Gasol misses free throw 2 of 2,,49-49,,
1:21.0,Offensive rebound by T. Gibson,,49-49,,
1:15.0,E. Moore makes 3-pt shot from 23 ft (assist by J. Butler),3,52-49,,
1:00.0,,,52-51,2,R. Jackson makes 2-pt shot from 16 ft
0:43.0,D. Rose makes 2-pt shot from 15 ft,2,54-51,,
0:32.0,,,54-51,,R. Jackson misses 2-pt shot from 11 ft
0:31.0,,,54-51,,Offensive rebound by R. Jackson
0:31.0,,,54-51,,R. Jackson misses 2-pt shot at rim
0:30.0,Defensive rebound by J. Butler,,54-51,,
0:22.0,Turnover by J. Butler (bad pass; steal by E. Ilyasova),,54-51,,
0:18.0,,,54-53,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by E. Ilyasova)
0:02.0,J. Butler makes 2-pt shot from 20 ft,2,56-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,P. Gasol makes 2-pt shot from 17 ft (assist by J. Butler),2,58-53,,
11:17.0,,,58-53,,R. Jackson misses 3-pt shot from 26 ft
11:16.0,Defensive rebound by T. Snell,,58-53,,
11:06.0,D. Rose misses 2-pt shot from 15 ft,,58-53,,
11:06.0,,,58-53,,Defensive rebound by A. Drummond
10:58.0,,,58-53,,R. Jackson misses 2-pt shot from 8 ft
10:58.0,Defensive rebound by T. Snell,,58-53,,
10:43.0,T. Gibson makes 2-pt shot from 16 ft (assist by J. Butler),2,60-53,,
10:26.0,,,60-53,,K. Caldwell-Pope misses 2-pt shot from 8 ft (block by T. Snell)
10:25.0,Defensive rebound by P. Gasol,,60-53,,
10:19.0,D. Rose makes 2-pt shot at rim,2,62-53,,
10:14.0,,,62-53,,Detroit full timeout
9:56.0,,,62-55,2,A. Drummond makes 2-pt shot at rim
9:44.0,J. Butler misses 2-pt shot from 17 ft,,62-55,,
9:44.0,,,62-55,,Defensive rebound by E. Ilyasova
9:30.0,,,62-55,,Turnover by K. Caldwell-Pope (traveling)
9:30.0,,,62-55,,Technical foul by K. Caldwell-Pope
9:30.0,J. Butler misses technical free throw,,62-55,,
9:30.0,Offensive rebound by Team,,62-55,,
9:06.0,D. Rose makes 2-pt shot from 12 ft (assist by J. Butler),2,64-55,,
8:54.0,,,64-57,2,E. Ilyasova makes 2-pt shot from 17 ft (assist by R. Jackson)
8:32.0,D. Rose misses 2-pt shot from 16 ft,,64-57,,
8:31.0,,,64-57,,Defensive rebound by K. Caldwell-Pope
8:26.0,,,64-60,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
8:17.0,,,64-60,,Personal foul by A. Drummond (drawn by J. Butler)
8:07.0,P. Gasol makes 2-pt shot from 17 ft (assist by T. Snell),2,66-60,,
7:46.0,,,66-60,,M. Morris misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by T. Snell,,66-60,,
7:31.0,T. Gibson misses 2-pt shot from 7 ft,,66-60,,
7:31.0,,,66-60,,Defensive rebound by A. Drummond
7:26.0,,,66-60,,R. Jackson misses 2-pt shot from 6 ft (block by P. Gasol)
7:26.0,,,66-60,,Offensive rebound by Team
7:18.0,,,66-60,,K. Caldwell-Pope misses 2-pt shot at rim
7:16.0,Defensive rebound by P. Gasol,,66-60,,
7:12.0,Offensive charge foul by J. Butler,,66-60,,
7:12.0,Turnover by J. Butler (offensive foul),,66-60,,
6:59.0,,,66-60,,M. Morris misses 3-pt shot from 26 ft
6:58.0,Defensive rebound by T. Gibson,,66-60,,
6:42.0,T. Snell makes 3-pt shot from 24 ft (assist by D. Rose),3,69-60,,
6:26.0,,,69-60,,A. Drummond misses 2-pt shot from 7 ft
6:24.0,Defensive rebound by T. Gibson,,69-60,,
6:10.0,P. Gasol misses 2-pt shot from 12 ft,,69-60,,
6:10.0,,,69-60,,Defensive rebound by A. Drummond
5:59.0,,,69-63,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Jackson)
5:47.0,D. Rose makes 2-pt shot from 6 ft,2,71-63,,
5:47.0,Shooting foul by E. Ilyasova (drawn by D. Rose),,71-63,,
5:47.0,N. Mirotic enters the game for T. Gibson,,71-63,,
5:47.0,D. Rose makes free throw 1 of 1,1,72-63,,
5:24.0,,,72-65,2,M. Morris makes 2-pt shot from 17 ft (assist by K. Caldwell-Pope)
5:09.0,N. Mirotic misses 2-pt shot from 16 ft,,72-65,,
5:08.0,,,72-65,,Defensive rebound by A. Drummond
5:01.0,,,72-65,,R. Jackson misses 3-pt shot from 25 ft
5:00.0,,,72-65,,Offensive rebound by E. Ilyasova
4:56.0,,,72-65,,E. Ilyasova misses 2-pt shot from 4 ft (block by P. Gasol)
4:55.0,,,72-65,,Offensive rebound by E. Ilyasova
4:54.0,,,72-68,3,E. Ilyasova makes 3-pt shot from 24 ft
4:54.0,Chicago full timeout,,72-68,,
4:54.0,E. Moore enters the game for T. Snell,,72-68,,
4:36.0,D. Rose misses 2-pt shot from 12 ft,,72-68,,
4:36.0,,,72-68,,Defensive rebound by K. Caldwell-Pope
4:26.0,,,72-70,2,E. Ilyasova makes 2-pt shot from 5 ft (assist by K. Caldwell-Pope)
4:04.0,Turnover by D. Rose (lost ball; steal by K. Caldwell-Pope),,72-70,,
4:02.0,Personal foul by E. Moore (drawn by K. Caldwell-Pope),,72-70,,
4:02.0,A. Brooks enters the game for D. Rose,,72-70,,
3:50.0,,,72-70,,Turnover by M. Morris (bad pass; steal by A. Brooks)
3:42.0,Turnover by J. Butler (lost ball; steal by M. Morris),,72-70,,
3:38.0,,,72-72,2,R. Jackson makes 2-pt shot at rim
3:38.0,,,72-72,,Shooting foul by A. Brooks (drawn by R. Jackson)
3:38.0,,,72-72,,S. Johnson enters the game for M. Morris
3:38.0,,,72-73,1,R. Jackson makes free throw 1 of 1
3:12.0,J. Butler misses 3-pt shot from 25 ft,,72-73,,
3:12.0,Offensive rebound by Team,,72-73,,
3:02.0,Shooting foul by S. Johnson (drawn by J. Butler),,72-73,,
3:02.0,J. Butler makes 2-pt shot at rim,2,74-73,,
3:02.0,J. Butler makes free throw 1 of 1,1,75-73,,
2:36.0,,,75-75,2,R. Jackson makes 2-pt shot at rim
2:26.0,Turnover by N. Mirotic (lost ball; steal by S. Johnson),,75-75,,
2:23.0,,,75-75,,Turnover by S. Johnson (lost ball; steal by E. Moore)
2:19.0,P. Gasol misses 2-pt shot at rim,,75-75,,
2:19.0,Offensive rebound by Team,,75-75,,
2:19.0,,,75-75,,Loose ball foul by A. Drummond (drawn by J. Butler)
2:19.0,,,75-75,,A. Baynes enters the game for A. Drummond
2:19.0,,,75-75,,Technical foul by A. Drummond (drawn by J. Butler)
2:19.0,J. Butler makes technical free throw,1,76-75,,
2:19.0,,,76-75,,B. Jennings enters the game for R. Jackson
2:02.0,N. Mirotic makes 3-pt shot from 26 ft (assist by A. Brooks),3,79-75,,
1:48.0,,,79-75,,Shooting foul by J. Butler (drawn by S. Johnson)
1:48.0,,,79-76,1,S. Johnson makes free throw 1 of 2
1:48.0,,,79-77,1,S. Johnson makes free throw 2 of 2
1:24.0,A. Brooks misses 2-pt shot from 8 ft,,79-77,,
1:24.0,,,79-77,,Defensive rebound by E. Ilyasova
1:18.0,,,79-79,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by S. Johnson)
1:00.0,P. Gasol misses 2-pt shot from 9 ft,,79-79,,
1:00.0,,,79-79,,Defensive rebound by B. Jennings
0:56.0,,,79-79,,Turnover by S. Johnson (traveling)
0:45.0,J. Butler misses 2-pt shot from 10 ft,,79-79,,
0:45.0,Offensive rebound by P. Gasol,,79-79,,
0:45.0,P. Gasol makes 2-pt shot at rim,2,81-79,,
0:22.0,,,81-79,,K. Caldwell-Pope misses 2-pt shot at rim (block by P. Gasol)
0:21.0,Defensive rebound by A. Brooks,,81-79,,
0:08.0,,,81-79,,Personal foul by K. Caldwell-Pope (drawn by E. Moore)
0:08.0,,,81-79,,Technical foul by K. Caldwell-Pope (drawn by E. Moore)
0:08.0,,,81-79,,M. Morris enters the game for K. Caldwell-Pope
0:08.0,J. Butler makes technical free throw,1,82-79,,
0:08.0,T. Gibson enters the game for P. Gasol,,82-79,,
0:08.0,E. Moore misses free throw 1 of 2,,82-79,,
0:08.0,Offensive rebound by Team,,82-79,,
0:08.0,E. Moore makes free throw 2 of 2,1,83-79,,
0:02.0,,,83-79,,B. Jennings misses 3-pt shot from 26 ft
0:00.0,,,83-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,83-81,2,A. Baynes makes 2-pt shot from 3 ft (assist by A. Tolliver)
11:21.0,A. Brooks misses 2-pt shot from 4 ft,,83-81,,
11:21.0,,,83-81,,Defensive rebound by A. Tolliver
11:15.0,,,83-81,,A. Tolliver misses 3-pt shot from 26 ft
11:14.0,,,83-81,,Offensive rebound by S. Johnson
11:04.0,Personal foul by A. Brooks (drawn by M. Morris),,83-81,,
10:54.0,,,83-83,2,A. Baynes makes 2-pt shot from 4 ft (assist by A. Tolliver)
10:34.0,N. Mirotic makes 3-pt shot from 26 ft (assist by A. Brooks),3,86-83,,
10:18.0,,,86-83,,B. Jennings misses 2-pt shot from 4 ft
10:18.0,Defensive rebound by T. Gibson,,86-83,,
10:17.0,Offensive charge foul by A. Brooks,,86-83,,
10:17.0,Turnover by A. Brooks (offensive foul),,86-83,,
10:01.0,,,86-83,,S. Johnson misses 3-pt shot from 27 ft
10:00.0,Defensive rebound by T. Gibson,,86-83,,
9:42.0,T. Gibson makes 2-pt shot at rim (assist by A. Brooks),2,88-83,,
9:26.0,,,88-83,,M. Morris misses 2-pt shot from 7 ft
9:25.0,Defensive rebound by T. Gibson,,88-83,,
9:16.0,Turnover by N. Mirotic (bad pass; steal by A. Tolliver),,88-83,,
9:10.0,,,88-83,,S. Johnson misses 2-pt shot from 8 ft
9:09.0,,,88-83,,Offensive rebound by S. Johnson
9:05.0,,,88-83,,S. Johnson misses 2-pt shot from 8 ft
9:05.0,,,88-83,,Offensive rebound by B. Jennings
9:04.0,,,88-83,,B. Jennings misses 2-pt shot from 4 ft (block by T. Gibson)
9:04.0,,,88-83,,Offensive rebound by M. Morris
9:04.0,,,88-83,,Shooting foul by E. Moore (drawn by M. Morris)
9:04.0,,,88-84,1,M. Morris makes free throw 1 of 2
9:04.0,,,88-85,1,M. Morris makes free throw 2 of 2
8:46.0,E. Moore misses 3-pt shot from 26 ft,,88-85,,
8:45.0,,,88-85,,Defensive rebound by M. Morris
8:35.0,,,88-87,2,A. Baynes makes 2-pt shot from 3 ft (assist by A. Tolliver)
8:20.0,T. Gibson makes 2-pt shot from 7 ft (assist by A. Brooks),2,90-87,,
8:08.0,,,90-87,,M. Morris misses 3-pt shot from 25 ft
8:08.0,,,90-87,,Offensive rebound by M. Morris
7:52.0,,,90-87,,B. Jennings misses 2-pt shot from 4 ft
7:51.0,Defensive rebound by T. Gibson,,90-87,,
7:43.0,D. McDermott makes 3-pt shot from 24 ft (assist by A. Brooks),3,93-87,,
7:34.0,,,93-87,,Detroit full timeout
7:34.0,J. Butler enters the game for E. Moore,,93-87,,
7:34.0,,,93-87,,E. Ilyasova enters the game for S. Johnson
7:34.0,,,93-87,,A. Drummond enters the game for B. Jennings
7:34.0,,,93-87,,R. Jackson enters the game for A. Tolliver
7:34.0,,,93-87,,D. Hilliard enters the game for A. Baynes
7:16.0,,,93-87,,R. Jackson misses 2-pt shot from 16 ft
7:16.0,Defensive rebound by N. Mirotic,,93-87,,
7:01.0,A. Brooks makes 2-pt shot at rim,2,95-87,,
6:31.0,,,95-87,,R. Jackson misses 3-pt shot from 26 ft
6:30.0,,,95-87,,Offensive rebound by M. Morris
6:26.0,,,95-87,,Shooting foul by T. Gibson (drawn by A. Drummond)
6:26.0,,,95-87,,A. Drummond misses free throw 1 of 2
6:26.0,,,95-87,,Offensive rebound by Team
6:26.0,,,95-88,1,A. Drummond makes free throw 2 of 2
6:05.0,A. Brooks misses 2-pt shot from 4 ft (block by A. Drummond),,95-88,,
6:05.0,Offensive rebound by Team,,95-88,,
6:05.0,P. Gasol enters the game for N. Mirotic,,95-88,,
5:59.0,P. Gasol makes 3-pt shot from 23 ft (assist by A. Brooks),3,98-88,,
5:50.0,Official timeout,,98-88,,
5:41.0,,,98-90,2,M. Morris makes 2-pt shot from 16 ft
5:22.0,J. Butler misses 3-pt shot from 27 ft,,98-90,,
5:21.0,Offensive rebound by P. Gasol,,98-90,,
5:06.0,T. Gibson misses 2-pt shot from 17 ft,,98-90,,
5:05.0,,,98-90,,Defensive rebound by A. Drummond
4:57.0,,,98-90,,E. Ilyasova misses 3-pt shot from 26 ft
4:56.0,,,98-90,,Offensive rebound by A. Drummond
4:56.0,,,98-90,,Shooting foul by P. Gasol (drawn by A. Drummond)
4:56.0,,,98-90,,A. Drummond misses free throw 1 of 2
4:56.0,,,98-90,,Offensive rebound by Team
4:56.0,D. Rose enters the game for A. Brooks,,98-90,,
4:56.0,,,98-90,,S. Johnson enters the game for D. Hilliard
4:56.0,,,98-90,,A. Drummond misses free throw 2 of 2
4:55.0,Defensive rebound by T. Gibson,,98-90,,
4:31.0,D. Rose misses 2-pt shot from 5 ft,,98-90,,
4:29.0,,,98-90,,Defensive rebound by E. Ilyasova
4:25.0,,,98-90,,R. Jackson misses 3-pt shot from 25 ft
4:25.0,,,98-90,,Offensive rebound by Team
4:25.0,Loose ball foul by P. Gasol (drawn by A. Drummond),,98-90,,
4:25.0,,,98-91,1,A. Drummond makes free throw 1 of 2
4:25.0,,,98-91,,A. Drummond misses free throw 2 of 2
4:24.0,Defensive rebound by P. Gasol,,98-91,,
4:01.0,Shooting foul by A. Drummond (drawn by P. Gasol),,98-91,,
4:01.0,P. Gasol makes free throw 1 of 3,1,99-91,,
4:01.0,P. Gasol makes free throw 2 of 3,1,100-91,,
4:01.0,P. Gasol makes free throw 3 of 3,1,101-91,,
3:52.0,,,101-91,,M. Morris misses 3-pt shot from 22 ft
3:52.0,,,101-91,,Offensive rebound by S. Johnson
3:51.0,Loose ball foul by D. McDermott (drawn by S. Johnson),,101-91,,
3:51.0,,,101-92,1,S. Johnson makes free throw 1 of 2
3:51.0,,,101-93,1,S. Johnson makes free throw 2 of 2
3:23.0,J. Butler misses 2-pt shot from 20 ft,,101-93,,
3:22.0,,,101-93,,Defensive rebound by M. Morris
3:14.0,Personal foul by T. Gibson (drawn by R. Jackson),,101-93,,
3:14.0,,,101-94,1,R. Jackson makes free throw 1 of 2
3:14.0,,,101-94,,R. Jackson misses free throw 2 of 2
3:13.0,Defensive rebound by T. Gibson,,101-94,,
2:53.0,D. Rose makes 2-pt shot from 1 ft,2,103-94,,
2:42.0,,,103-94,,E. Ilyasova misses 3-pt shot from 23 ft
2:42.0,Defensive rebound by D. Rose,,103-94,,
2:25.0,D. Rose makes 2-pt shot from 6 ft,2,105-94,,
2:24.0,,,105-94,,Detroit full timeout
2:24.0,Chicago full timeout,,105-94,,
2:08.0,,,105-96,2,M. Morris makes 2-pt shot from 6 ft
1:48.0,P. Gasol makes 2-pt shot from 21 ft (assist by D. Rose),2,107-96,,
1:39.0,,,107-96,,R. Jackson misses 2-pt shot at rim
1:38.0,,,107-96,,Offensive rebound by A. Drummond
