time,Sacramento,pts.away,score,pts.home,Portland
3:17.0,Defensive rebound by O. Casspi,,44-58,,
3:07.0,D. Collison makes 2-pt shot from 14 ft,2,46-58,,
2:53.0,,,46-58,,Turnover by M. Harkless (lost ball; steal by K. Koufos)
2:50.0,Turnover by D. Collison (lost ball; steal by D. Lillard),,46-58,,
2:41.0,,,46-61,3,D. Lillard makes 3-pt shot from 25 ft (assist by M. Harkless)
2:18.0,O. Casspi misses 2-pt shot from 9 ft,,46-61,,
2:17.0,,,46-61,,Defensive rebound by M. Plumlee
2:02.0,,,46-61,,B. Roberts misses 2-pt shot from 6 ft (block by K. Koufos)
2:01.0,Defensive rebound by J. Anderson,,46-61,,
1:58.0,D. Collison makes 2-pt shot from 1 ft (assist by O. Casspi),2,48-61,,
1:58.0,,,48-61,,Portland full timeout
1:58.0,,,48-61,,C. McCollum enters the game for B. Roberts
1:37.0,,,48-64,3,A. Aminu makes 3-pt shot from 22 ft (assist by D. Lillard)
1:16.0,J. Anderson makes 2-pt shot from 4 ft,2,50-64,,
1:04.0,,,50-64,,C. McCollum misses 2-pt shot from 15 ft
1:04.0,Defensive rebound by K. Koufos,,50-64,,
0:56.0,Shooting foul by D. Lillard (drawn by O. Casspi),,50-64,,
0:56.0,O. Casspi makes free throw 1 of 2,1,51-64,,
0:56.0,O. Casspi makes free throw 2 of 2,1,52-64,,
0:44.0,,,52-66,2,M. Harkless makes 2-pt shot at rim (assist by M. Plumlee)
0:34.0,K. Koufos misses 2-pt shot from 4 ft,,52-66,,
0:33.0,,,52-66,,Defensive rebound by M. Harkless
0:23.0,,,52-68,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
0:00.0,O. Casspi misses 3-pt shot from 25 ft,,52-68,,
0:00.0,Offensive rebound by Team,,52-68,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Turnover by O. Casspi (lost ball; steal by A. Aminu),,52-68,,
11:32.0,,,52-68,,A. Aminu misses 3-pt shot from 24 ft
11:31.0,Defensive rebound by K. Koufos,,52-68,,
11:19.0,S. Curry makes 3-pt shot from 25 ft (assist by Q. Acy),3,55-68,,
11:09.0,Personal foul by D. Collison,,55-68,,
10:59.0,,,55-68,,M. Harkless misses 3-pt shot from 23 ft
10:58.0,Defensive rebound by Team,,55-68,,
10:58.0,,,55-68,,Loose ball foul by M. Plumlee
10:34.0,D. Collison misses 2-pt shot from 8 ft,,55-68,,
10:32.0,,,55-68,,Defensive rebound by M. Plumlee
10:11.0,,,55-68,,A. Aminu misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by O. Casspi,,55-68,,
10:04.0,D. Collison misses 2-pt shot from 1 ft (block by A. Aminu),,55-68,,
10:03.0,,,55-68,,Defensive rebound by Team
9:37.0,,,55-70,2,A. Aminu makes 2-pt shot from 5 ft (assist by D. Lillard)
9:17.0,,,55-70,,Personal foul by M. Harkless
9:07.0,Turnover by S. Curry (lost ball; steal by M. Plumlee),,55-70,,
8:55.0,,,55-70,,D. Lillard misses 2-pt shot from 12 ft
8:55.0,Defensive rebound by O. Casspi,,55-70,,
8:43.0,Turnover by K. Koufos (offensive foul),,55-70,,
8:43.0,Offensive foul by K. Koufos,,55-70,,
8:26.0,,,55-72,2,C. McCollum makes 2-pt shot from 20 ft
8:13.0,K. Koufos makes 2-pt shot from 13 ft (assist by D. Collison),2,57-72,,
7:46.0,,,57-72,,M. Plumlee misses 2-pt shot from 2 ft (block by Q. Acy)
7:45.0,Defensive rebound by S. Curry,,57-72,,
7:45.0,Shooting foul by C. McCollum (drawn by O. Casspi),,57-72,,
7:45.0,O. Casspi misses free throw 1 of 2,,57-72,,
7:45.0,Offensive rebound by Team,,57-72,,
7:45.0,O. Casspi misses free throw 2 of 2,,57-72,,
7:42.0,,,57-72,,Defensive rebound by M. Harkless
7:38.0,Personal foul by D. Collison,,57-72,,
7:38.0,,,57-73,1,D. Lillard makes free throw 1 of 2
7:38.0,,,57-74,1,D. Lillard makes free throw 2 of 2
7:20.0,Turnover by Q. Acy (traveling),,57-74,,
7:08.0,,,57-76,2,D. Lillard makes 2-pt shot from 18 ft
6:52.0,D. Collison misses 2-pt shot from 19 ft,,57-76,,
6:51.0,,,57-76,,Defensive rebound by A. Aminu
6:39.0,,,57-79,3,C. McCollum makes 3-pt shot from 22 ft (assist by M. Plumlee)
6:37.0,Sacramento full timeout,,57-79,,
6:37.0,J. Anderson enters the game for O. Casspi,,57-79,,
6:37.0,B. McLemore enters the game for S. Curry,,57-79,,
6:25.0,B. McLemore misses 2-pt shot from 20 ft,,57-79,,
6:24.0,,,57-79,,Defensive rebound by M. Plumlee
6:06.0,,,57-81,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
5:48.0,Turnover by J. Anderson (lost ball; steal by C. McCollum),,57-81,,
5:48.0,Personal foul by J. Anderson,,57-81,,
5:33.0,,,57-81,,Turnover by A. Aminu (traveling)
5:33.0,W. Cauley-Stein enters the game for Q. Acy,,57-81,,
5:08.0,K. Koufos misses 2-pt shot from 6 ft,,57-81,,
5:08.0,,,57-81,,Defensive rebound by A. Aminu
4:56.0,,,57-81,,A. Aminu misses 3-pt shot from 23 ft
4:55.0,,,57-81,,Offensive rebound by Team
4:55.0,Loose ball foul by B. McLemore,,57-81,,
4:55.0,,,57-81,,E. Davis enters the game for M. Plumlee
4:48.0,,,57-81,,C. McCollum misses 3-pt shot from 26 ft
4:47.0,Defensive rebound by K. Koufos,,57-81,,
4:38.0,D. Collison misses 2-pt shot from 20 ft,,57-81,,
4:37.0,,,57-81,,Defensive rebound by A. Aminu
4:24.0,,,57-83,2,E. Davis makes 2-pt shot from 3 ft (assist by A. Aminu)
4:15.0,,,57-83,,A. Crabbe enters the game for C. McCollum
4:15.0,,,57-83,,G. Henderson enters the game for M. Harkless
4:10.0,Shooting foul by E. Davis (drawn by J. Anderson),,57-83,,
4:10.0,J. Anderson makes free throw 1 of 2,1,58-83,,
4:10.0,J. Anderson makes free throw 2 of 2,1,59-83,,
3:47.0,,,59-83,,G. Henderson misses 2-pt shot from 23 ft
3:47.0,Defensive rebound by D. Collison,,59-83,,
3:39.0,K. Koufos misses 2-pt shot from 2 ft,,59-83,,
3:38.0,,,59-83,,Defensive rebound by D. Lillard
3:35.0,,,59-83,,Turnover by D. Lillard (lost ball; steal by B. McLemore)
3:26.0,J. Anderson misses 2-pt shot from 15 ft,,59-83,,
3:25.0,,,59-83,,Defensive rebound by E. Davis
3:17.0,,,59-83,,Turnover by D. Lillard (lost ball; steal by D. Collison)
3:11.0,Q. Acy enters the game for K. Koufos,,59-83,,
3:11.0,,,59-83,,N. Vonleh enters the game for A. Aminu
3:01.0,Turnover by B. McLemore (lost ball; steal by A. Crabbe),,59-83,,
2:58.0,,,59-83,,Shooting foul by Q. Acy (drawn by A. Crabbe)
2:58.0,,,59-83,,Portland full timeout
2:58.0,,,59-84,1,A. Crabbe makes free throw 1 of 2
2:58.0,,,59-84,,A. Crabbe misses free throw 2 of 2
2:56.0,Defensive rebound by W. Cauley-Stein,,59-84,,
2:34.0,W. Cauley-Stein misses 2-pt shot from 7 ft,,59-84,,
2:33.0,,,59-84,,Defensive rebound by A. Crabbe
2:22.0,,,59-87,3,D. Lillard makes 3-pt shot from 25 ft
2:08.0,D. Collison makes 2-pt shot from 20 ft,2,61-87,,
1:52.0,,,61-87,,D. Lillard misses 3-pt shot from 22 ft
1:51.0,Defensive rebound by W. Cauley-Stein,,61-87,,
1:42.0,D. Collison makes 2-pt shot from 19 ft,2,63-87,,
1:31.0,,,63-87,,Offensive foul by G. Henderson
1:31.0,,,63-87,,Turnover by G. Henderson (offensive foul)
1:31.0,S. Curry enters the game for D. Collison,,63-87,,
1:16.0,S. Curry misses 3-pt shot from 25 ft,,63-87,,
1:15.0,,,63-87,,Defensive rebound by G. Henderson
1:06.0,Personal foul by J. Anderson,,63-87,,
1:06.0,,,63-88,1,G. Henderson makes free throw 1 of 2
1:06.0,,,63-89,1,G. Henderson makes free throw 2 of 2
0:52.0,Q. Acy misses 2-pt shot from 13 ft,,63-89,,
0:51.0,,,63-89,,Defensive rebound by A. Crabbe
0:35.0,,,63-89,,Turnover by D. Lillard (lost ball)
0:28.0,S. Curry misses 2-pt shot from 20 ft (block by D. Lillard),,63-89,,
0:27.0,,,63-89,,Defensive rebound by G. Henderson
0:04.0,,,63-91,2,A. Crabbe makes 2-pt shot from 19 ft (assist by D. Lillard)
0:03.0,Turnover by W. Cauley-Stein (lost ball; steal by G. Henderson),,63-91,,
0:00.0,,,63-91,,G. Henderson misses 3-pt shot from 23 ft
0:00.0,,,63-91,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Personal foul by W. Cauley-Stein,,63-91,,
11:34.0,,,63-91,,E. Davis misses 2-pt shot from 3 ft
11:34.0,Defensive rebound by W. Cauley-Stein,,63-91,,
11:17.0,Q. Acy misses 2-pt shot from 5 ft,,63-91,,
11:16.0,,,63-91,,Defensive rebound by E. Davis
11:03.0,,,63-91,,Turnover by G. Henderson (bad pass)
10:39.0,B. McLemore misses 3-pt shot from 28 ft,,63-91,,
10:39.0,Offensive rebound by Team,,63-91,,
10:39.0,Turnover by Team (shot clock),,63-91,,
10:24.0,,,63-91,,G. Henderson misses 2-pt shot from 17 ft
10:22.0,Defensive rebound by Q. Acy,,63-91,,
10:08.0,S. Curry makes 3-pt shot from 25 ft (assist by O. Casspi),3,66-91,,
9:45.0,,,66-91,,N. Vonleh misses 2-pt shot from 19 ft
9:45.0,Defensive rebound by S. Curry,,66-91,,
9:39.0,S. Curry misses 3-pt shot from 25 ft,,66-91,,
9:38.0,,,66-91,,Defensive rebound by E. Davis
9:27.0,,,66-91,,Turnover by E. Davis (lost ball; steal by Q. Acy)
9:21.0,O. Casspi misses 2-pt shot from 2 ft,,66-91,,
9:20.0,,,66-91,,Defensive rebound by N. Vonleh
9:16.0,,,66-91,,Shooting foul by S. Curry (drawn by N. Vonleh)
9:16.0,,,66-92,1,N. Vonleh makes free throw 1 of 2
9:16.0,,,66-92,,N. Vonleh misses free throw 2 of 2
9:15.0,Defensive rebound by Q. Acy,,66-92,,
9:03.0,,,66-92,,Personal foul by G. Henderson
8:53.0,W. Cauley-Stein makes 2-pt shot from 18 ft (assist by O. Casspi),2,68-92,,
8:27.0,,,68-92,,B. Roberts misses 2-pt shot from 19 ft
8:26.0,Defensive rebound by O. Casspi,,68-92,,
8:21.0,,,68-92,,Shooting block foul by B. Roberts (drawn by B. McLemore)
8:21.0,Official timeout,,68-92,,
8:21.0,K. Koufos enters the game for Q. Acy,,68-92,,
8:21.0,B. McLemore misses free throw 1 of 2,,68-92,,
8:21.0,Offensive rebound by Team,,68-92,,
8:21.0,B. McLemore makes free throw 2 of 2,1,69-92,,
8:04.0,,,69-92,,G. Henderson misses 2-pt shot from 8 ft
8:02.0,Defensive rebound by B. McLemore,,69-92,,
7:48.0,O. Casspi misses 2-pt shot from 4 ft,,69-92,,
7:47.0,,,69-92,,Defensive rebound by G. Henderson
7:33.0,,,69-92,,A. Crabbe misses 3-pt shot from 22 ft
7:32.0,Defensive rebound by W. Cauley-Stein,,69-92,,
7:12.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by O. Casspi),2,71-92,,
6:58.0,,,71-92,,Shooting foul by B. McLemore (drawn by A. Crabbe)
6:58.0,,,71-94,2,A. Crabbe makes 2-pt shot from 16 ft (assist by B. Roberts)
6:58.0,,,71-95,1,A. Crabbe makes free throw 1 of 1
6:43.0,O. Casspi misses 2-pt shot from 4 ft,,71-95,,
6:42.0,Offensive rebound by K. Koufos,,71-95,,
6:40.0,O. Casspi makes 2-pt shot from 1 ft,2,73-95,,
6:26.0,Personal foul by B. McLemore,,73-95,,
6:26.0,D. Collison enters the game for B. McLemore,,73-95,,
6:15.0,,,73-97,2,N. Vonleh makes 2-pt shot from 19 ft (assist by B. Roberts)
6:00.0,O. Casspi makes 2-pt shot from 3 ft (assist by W. Cauley-Stein),2,75-97,,
6:00.0,Shooting foul by G. Henderson (drawn by O. Casspi),,75-97,,
6:00.0,O. Casspi misses free throw 1 of 1,,75-97,,
5:59.0,,,75-97,,Defensive rebound by N. Vonleh
5:40.0,,,75-99,2,G. Henderson makes 2-pt shot from 4 ft
5:21.0,K. Koufos makes 2-pt shot from 4 ft (assist by D. Collison),2,77-99,,
5:04.0,,,77-101,2,A. Crabbe makes 2-pt shot from 19 ft (assist by B. Roberts)
4:55.0,D. Collison misses 2-pt shot from 19 ft,,77-101,,
4:53.0,,,77-101,,Defensive rebound by B. Roberts
4:43.0,,,77-104,3,A. Crabbe makes 3-pt shot from 22 ft (assist by B. Roberts)
4:41.0,Sacramento full timeout,,77-104,,
4:41.0,,,77-104,,P. Connaughton enters the game for A. Crabbe
4:41.0,,,77-104,,L. Montero enters the game for E. Davis
4:41.0,,,77-104,,C. Alexander enters the game for G. Henderson
4:41.0,J. Anderson enters the game for O. Casspi,,77-104,,
4:19.0,S. Curry makes 3-pt shot from 24 ft (assist by J. Anderson),3,80-104,,
3:59.0,,,80-104,,Turnover by P. Connaughton (lost ball; steal by D. Collison)
3:54.0,S. Curry makes 2-pt shot from 2 ft (assist by W. Cauley-Stein),2,82-104,,
3:34.0,,,82-104,,L. Montero misses 3-pt shot from 23 ft
3:33.0,Defensive rebound by W. Cauley-Stein,,82-104,,
3:25.0,S. Curry misses 2-pt shot from 4 ft (block by N. Vonleh),,82-104,,
3:24.0,,,82-104,,Defensive rebound by L. Montero
3:21.0,,,82-104,,Shooting foul by J. Anderson (drawn by L. Montero)
3:21.0,,,82-104,,L. Montero misses free throw 1 of 2
3:21.0,,,82-104,,Offensive rebound by Team
3:21.0,Q. Acy enters the game for K. Koufos,,82-104,,
3:21.0,B. McLemore enters the game for D. Collison,,82-104,,
