time,Brooklyn,pts.away,score,pts.home,Minnesota
6:54.0,B. Bogdanovic misses 2-pt shot from 17 ft,,10-13,,
6:53.0,,,10-13,,Defensive rebound by R. Rubio
6:49.0,,,10-15,2,R. Rubio makes 2-pt shot from 1 ft
6:49.0,,,10-15,,Shooting foul by D. Sloan (drawn by R. Rubio)
6:49.0,,,10-15,,R. Rubio misses free throw 1 of 1
6:49.0,Defensive rebound by T. Robinson,,10-15,,
6:35.0,Turnover by D. Sloan (bad pass; steal by S. Muhammad),,10-15,,
6:30.0,,,10-17,2,S. Muhammad makes 2-pt shot from 1 ft
6:15.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by K. Towns),,10-17,,
6:14.0,,,10-17,,Defensive rebound by R. Rubio
6:11.0,,,10-19,2,R. Rubio makes 2-pt shot from 1 ft (assist by Z. LaVine)
6:11.0,Brooklyn full timeout,,10-19,,
6:11.0,M. Brown enters the game for W. Ellington,,10-19,,
6:11.0,S. Larkin enters the game for D. Sloan,,10-19,,
5:47.0,T. Robinson misses 2-pt shot from 11 ft,,10-19,,
5:46.0,Offensive rebound by Team,,10-19,,
5:46.0,Turnover by Team (shot clock),,10-19,,
5:29.0,,,10-21,2,K. Towns makes 2-pt shot from 19 ft (assist by Z. LaVine)
5:11.0,W. Reed misses 2-pt shot from 4 ft (block by G. Dieng),,10-21,,
5:09.0,,,10-21,,Defensive rebound by R. Rubio
5:03.0,,,10-24,3,Z. LaVine makes 3-pt shot from 25 ft (assist by R. Rubio)
4:47.0,M. Brown misses 2-pt shot from 1 ft (block by G. Dieng),,10-24,,
4:44.0,Offensive rebound by M. Brown,,10-24,,
4:42.0,M. Brown makes 3-pt shot from 25 ft,3,13-24,,
4:35.0,,,13-24,,S. Muhammad misses 2-pt shot from 2 ft
4:34.0,Defensive rebound by T. Robinson,,13-24,,
4:24.0,T. Robinson makes 2-pt shot from 4 ft (assist by W. Reed),2,15-24,,
4:03.0,,,15-26,2,K. Towns makes 2-pt shot from 2 ft (assist by Z. LaVine)
3:47.0,,,15-26,,Personal foul by S. Muhammad (drawn by T. Robinson)
3:47.0,,,15-26,,T. Jones enters the game for R. Rubio
3:47.0,S. Kilpatrick enters the game for B. Bogdanovic,,15-26,,
3:39.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by W. Reed),3,18-26,,
3:21.0,Personal foul by W. Reed (drawn by K. Towns),,18-26,,
3:12.0,,,18-26,,S. Muhammad misses 2-pt shot from 3 ft (block by W. Reed)
3:11.0,Defensive rebound by S. Kilpatrick,,18-26,,
3:06.0,,,18-26,,Personal foul by Z. LaVine (drawn by M. Brown)
3:06.0,M. Brown makes free throw 1 of 2,1,19-26,,
3:06.0,M. Brown makes free throw 2 of 2,1,20-26,,
2:51.0,,,20-28,2,S. Muhammad makes 2-pt shot at rim (assist by K. Towns)
2:37.0,Turnover by T. Robinson (bad pass),,20-28,,
2:37.0,,,20-28,,G. Smith enters the game for G. Dieng
2:27.0,,,20-30,2,K. Towns makes 2-pt shot from 23 ft
2:12.0,S. Larkin makes 2-pt shot from 7 ft,2,22-30,,
2:02.0,,,22-30,,Turnover by K. Towns (lost ball; steal by T. Robinson)
1:59.0,Shooting foul by T. Jones (drawn by T. Robinson),,22-30,,
1:59.0,T. Robinson makes free throw 1 of 2,1,23-30,,
1:59.0,C. McCullough enters the game for W. Reed,,23-30,,
1:59.0,T. Robinson makes free throw 2 of 2,1,24-30,,
1:43.0,,,24-33,3,T. Jones makes 3-pt shot from 22 ft (assist by S. Muhammad)
1:30.0,S. Larkin makes 2-pt shot from 1 ft,2,26-33,,
1:23.0,,,26-33,,K. Towns misses 2-pt shot from 16 ft
1:22.0,Defensive rebound by S. Kilpatrick,,26-33,,
1:22.0,,,26-33,,Personal foul by S. Muhammad (drawn by S. Kilpatrick)
1:22.0,S. Kilpatrick makes free throw 1 of 2,1,27-33,,
1:22.0,,,27-33,,A. Payne enters the game for K. Towns
1:22.0,,,27-33,,T. Prince enters the game for S. Muhammad
1:22.0,S. Kilpatrick makes free throw 2 of 2,1,28-33,,
1:07.0,,,28-35,2,G. Smith makes 2-pt shot from 1 ft (assist by Z. LaVine)
0:56.0,T. Robinson misses 2-pt shot from 13 ft,,28-35,,
0:55.0,,,28-35,,Defensive rebound by G. Smith
0:45.0,,,28-37,2,A. Payne makes 2-pt shot from 22 ft (assist by T. Jones)
0:30.0,Shooting foul by G. Smith (drawn by T. Robinson),,28-37,,
0:30.0,T. Robinson misses free throw 1 of 2,,28-37,,
0:30.0,Offensive rebound by Team,,28-37,,
0:30.0,T. Robinson misses free throw 2 of 2,,28-37,,
0:30.0,,,28-37,,Defensive rebound by A. Payne
0:06.0,,,28-37,,Z. LaVine misses 3-pt shot from 27 ft
0:05.0,Defensive rebound by C. McCullough,,28-37,,
0:00.0,M. Brown makes 2-pt shot from 4 ft,2,30-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,S. Kilpatrick misses 2-pt shot from 21 ft,,30-37,,
11:44.0,Offensive rebound by C. McCullough,,30-37,,
11:39.0,C. McCullough makes 2-pt shot from 13 ft,2,32-37,,
11:25.0,Personal foul by S. Larkin (drawn by Z. LaVine),,32-37,,
11:21.0,,,32-37,,Turnover by T. Jones (bad pass; steal by M. Brown)
11:18.0,,,32-37,,Personal foul by T. Jones (drawn by M. Brown)
11:12.0,S. Larkin misses 2-pt shot from 4 ft (block by G. Smith),,32-37,,
11:12.0,Offensive rebound by Team,,32-37,,
11:12.0,,,32-37,,A. Wiggins enters the game for Z. LaVine
11:03.0,S. Larkin misses 3-pt shot from 25 ft,,32-37,,
11:02.0,,,32-37,,Defensive rebound by A. Wiggins
10:37.0,,,32-40,3,A. Wiggins makes 3-pt shot from 25 ft (assist by A. Payne)
10:20.0,M. Brown misses 3-pt shot from 26 ft,,32-40,,
10:18.0,,,32-40,,Defensive rebound by G. Smith
10:08.0,,,32-42,2,G. Smith makes 2-pt shot from 2 ft (assist by T. Prince)
9:51.0,S. Kilpatrick misses 2-pt shot from 1 ft,,32-42,,
9:50.0,Offensive rebound by Team,,32-42,,
9:50.0,W. Reed enters the game for T. Robinson,,32-42,,
9:37.0,M. Brown misses 3-pt shot from 25 ft,,32-42,,
9:36.0,,,32-42,,Defensive rebound by A. Payne
9:29.0,,,32-42,,Shooting foul by C. McCullough (drawn by A. Payne)
9:29.0,,,32-43,1,A. Payne makes free throw 1 of 2
9:29.0,,,32-44,1,A. Payne makes free throw 2 of 2
9:15.0,M. Brown makes 2-pt shot from 2 ft,2,34-44,,
9:01.0,,,34-44,,T. Jones misses 2-pt shot from 2 ft (block by W. Reed)
9:00.0,Defensive rebound by W. Reed,,34-44,,
8:54.0,W. Reed misses 2-pt shot at rim,,34-44,,
8:52.0,,,34-44,,Defensive rebound by T. Jones
8:47.0,,,34-46,2,A. Wiggins makes 2-pt shot from 2 ft (assist by T. Jones)
8:26.0,C. McCullough misses 3-pt shot from 22 ft,,34-46,,
8:25.0,,,34-46,,Defensive rebound by A. Payne
8:14.0,,,34-49,3,T. Jones makes 3-pt shot from 25 ft (assist by A. Wiggins)
8:14.0,Brooklyn full timeout,,34-49,,
8:14.0,,,34-49,,K. Towns enters the game for A. Payne
7:53.0,W. Reed misses 2-pt shot from 9 ft,,34-49,,
7:51.0,,,34-49,,Defensive rebound by K. Towns
7:42.0,Def 3 sec tech foul by C. McCullough,,34-49,,
7:42.0,,,34-50,1,T. Jones makes technical free throw
7:42.0,,,34-50,,R. Rubio enters the game for T. Jones
7:38.0,,,34-50,,Shooting foul by C. McCullough (drawn by A. Wiggins)
7:38.0,,,34-51,1,A. Wiggins makes free throw 1 of 2
7:38.0,,,34-52,1,A. Wiggins makes free throw 2 of 2
7:15.0,M. Brown misses 2-pt shot from 2 ft,,34-52,,
7:13.0,Offensive rebound by W. Reed,,34-52,,
7:13.0,W. Reed makes 2-pt shot from 1 ft,2,36-52,,
7:05.0,,,36-52,,T. Prince misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by W. Reed,,36-52,,
6:54.0,Shooting foul by T. Prince (drawn by S. Kilpatrick),,36-52,,
6:54.0,S. Kilpatrick makes free throw 1 of 2,1,37-52,,
6:54.0,T. Robinson enters the game for C. McCullough,,37-52,,
6:54.0,S. Kilpatrick makes free throw 2 of 2,1,38-52,,
6:34.0,,,38-52,,A. Wiggins misses 2-pt shot from 14 ft
6:33.0,Defensive rebound by T. Robinson,,38-52,,
6:32.0,Turnover by T. Robinson (bad pass),,38-52,,
6:32.0,,,38-52,,G. Dieng enters the game for G. Smith
6:32.0,B. Bogdanovic enters the game for S. Kilpatrick,,38-52,,
6:30.0,Personal foul by B. Bogdanovic (drawn by A. Wiggins),,38-52,,
6:30.0,W. Ellington enters the game for M. Brown,,38-52,,
6:24.0,,,38-54,2,A. Wiggins makes 2-pt shot from 20 ft (assist by K. Towns)
6:04.0,W. Ellington misses 2-pt shot from 20 ft (block by T. Prince),,38-54,,
6:02.0,,,38-54,,Defensive rebound by G. Dieng
5:59.0,,,38-54,,Turnover by G. Dieng (bad pass; steal by S. Larkin)
5:56.0,T. Robinson makes 2-pt shot at rim (assist by B. Bogdanovic),2,40-54,,
5:37.0,,,40-54,,R. Rubio misses 3-pt shot from 24 ft
5:36.0,Defensive rebound by T. Robinson,,40-54,,
5:26.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by S. Larkin),2,42-54,,
5:26.0,,,42-54,,Minnesota full timeout
5:26.0,,,42-54,,Z. LaVine enters the game for T. Prince
5:10.0,,,42-54,,Turnover by G. Dieng (lost ball; steal by T. Robinson)
5:08.0,Shooting foul by G. Dieng (drawn by T. Robinson),,42-54,,
5:08.0,T. Robinson misses free throw 1 of 2,,42-54,,
5:08.0,Offensive rebound by Team,,42-54,,
5:08.0,T. Robinson misses free throw 2 of 2,,42-54,,
5:07.0,,,42-54,,Defensive rebound by A. Wiggins
4:53.0,,,42-54,,Turnover by R. Rubio (lost ball)
4:34.0,Turnover by S. Larkin (traveling),,42-54,,
4:08.0,,,42-56,2,R. Rubio makes 2-pt shot from 1 ft
3:52.0,Turnover by T. Robinson (3 sec),,42-56,,
3:52.0,D. Sloan enters the game for S. Larkin,,42-56,,
3:38.0,,,42-58,2,Z. LaVine makes 2-pt shot from 22 ft (assist by A. Wiggins)
3:18.0,D. Sloan makes 2-pt shot from 13 ft,2,44-58,,
3:08.0,Personal foul by T. Robinson (drawn by G. Dieng),,44-58,,
3:08.0,,,44-58,,G. Dieng misses free throw 1 of 2
3:08.0,,,44-58,,Offensive rebound by Team
3:08.0,,,44-58,,G. Dieng misses free throw 2 of 2
3:06.0,Defensive rebound by T. Robinson,,44-58,,
3:03.0,Turnover by T. Robinson (lost ball; steal by Z. LaVine),,44-58,,
3:00.0,,,44-61,3,Z. LaVine makes 3-pt shot from 24 ft
3:00.0,Brooklyn full timeout,,44-61,,
2:36.0,B. Bogdanovic misses 3-pt shot from 25 ft,,44-61,,
2:34.0,Offensive rebound by W. Reed,,44-61,,
2:32.0,Offensive foul by D. Sloan,,44-61,,
2:32.0,Turnover by D. Sloan (offensive foul),,44-61,,
2:32.0,,,44-61,,Minnesota full timeout
2:32.0,S. Larkin enters the game for D. Sloan,,44-61,,
2:20.0,,,44-61,,K. Towns misses 2-pt shot from 20 ft
2:19.0,Defensive rebound by T. Robinson,,44-61,,
2:05.0,W. Reed misses 2-pt shot from 12 ft,,44-61,,
2:02.0,Offensive rebound by T. Robinson,,44-61,,
2:00.0,W. Reed makes 2-pt shot at rim (assist by T. Robinson),2,46-61,,
1:41.0,,,46-64,3,Z. LaVine makes 3-pt shot from 24 ft (assist by G. Dieng)
1:21.0,Turnover by B. Bogdanovic (bad pass; steal by Z. LaVine),,46-64,,
1:17.0,,,46-66,2,Z. LaVine makes 2-pt shot at rim
0:57.0,Turnover by S. Larkin (bad pass; steal by A. Wiggins),,46-66,,
0:53.0,,,46-68,2,A. Wiggins makes 2-pt shot from 1 ft
0:37.0,Shooting foul by G. Dieng (drawn by W. Reed),,46-68,,
0:37.0,W. Reed makes 2-pt shot from 1 ft (assist by S. Larkin),2,48-68,,
0:37.0,W. Reed makes free throw 1 of 1,1,49-68,,
0:30.0,,,49-68,,Z. LaVine misses 3-pt shot from 27 ft
0:29.0,Defensive rebound by T. Robinson,,49-68,,
0:10.0,W. Ellington makes 2-pt shot from 1 ft (assist by T. Robinson),2,51-68,,
0:01.0,,,51-68,,K. Towns misses 2-pt shot from 2 ft (block by W. Reed)
0:00.0,,,51-68,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,D. Sloan misses 3-pt shot from 24 ft,,51-68,,
11:46.0,Offensive rebound by T. Robinson,,51-68,,
11:46.0,,,51-68,,Loose ball foul by G. Dieng (drawn by T. Robinson)
11:31.0,Turnover by T. Robinson (lost ball; steal by R. Rubio),,51-68,,
11:25.0,,,51-68,,R. Rubio misses 2-pt shot from 5 ft
11:24.0,Defensive rebound by T. Robinson,,51-68,,
11:11.0,B. Bogdanovic misses 2-pt shot from 9 ft,,51-68,,
11:09.0,,,51-68,,Defensive rebound by R. Rubio
11:03.0,,,51-70,2,Z. LaVine makes 2-pt shot at rim (assist by A. Wiggins)
10:41.0,D. Sloan makes 2-pt shot at rim (assist by W. Reed),2,53-70,,
10:25.0,,,53-70,,A. Wiggins misses 2-pt shot from 14 ft
10:24.0,,,53-70,,Offensive rebound by K. Towns
10:23.0,,,53-72,2,K. Towns makes 2-pt shot from 1 ft
10:20.0,,,53-72,,Violation by Team (delay of game)
9:58.0,W. Ellington makes 2-pt shot from 1 ft,2,55-72,,
9:42.0,,,55-74,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
9:24.0,T. Robinson misses 2-pt shot from 5 ft (block by K. Towns),,55-74,,
9:23.0,Offensive rebound by Team,,55-74,,
9:18.0,D. Sloan makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,58-74,,
9:06.0,Personal foul by W. Reed (drawn by K. Towns),,58-74,,
9:02.0,,,58-74,,Turnover by A. Wiggins (lost ball; steal by T. Robinson)
8:59.0,B. Bogdanovic makes 2-pt shot at rim (assist by T. Robinson),2,60-74,,
8:59.0,,,60-74,,Minnesota full timeout
8:42.0,,,60-74,,G. Dieng misses 3-pt shot from 22 ft
8:41.0,Defensive rebound by B. Bogdanovic,,60-74,,
8:22.0,Shooting foul by K. Towns (drawn by W. Reed),,60-74,,
8:22.0,W. Reed makes free throw 1 of 2,1,61-74,,
8:22.0,W. Reed makes free throw 2 of 2,1,62-74,,
8:06.0,,,62-76,2,A. Wiggins makes 2-pt shot from 18 ft
7:49.0,W. Ellington misses 2-pt shot from 20 ft,,62-76,,
7:48.0,,,62-76,,Defensive rebound by G. Dieng
7:24.0,,,62-79,3,R. Rubio makes 3-pt shot from 23 ft (assist by G. Dieng)
7:10.0,D. Sloan misses 2-pt shot from 19 ft,,62-79,,
7:09.0,,,62-79,,Defensive rebound by A. Wiggins
6:59.0,,,62-81,2,K. Towns makes 2-pt shot at rim (assist by A. Wiggins)
6:45.0,W. Ellington makes 2-pt shot from 19 ft (assist by D. Sloan),2,64-81,,
6:27.0,,,64-81,,R. Rubio misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by W. Reed,,64-81,,
6:13.0,Turnover by D. Sloan (bad pass; steal by K. Towns),,64-81,,
6:08.0,,,64-83,2,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio)
6:08.0,Brooklyn full timeout,,64-83,,
5:46.0,Turnover by D. Sloan (bad pass),,64-83,,
5:31.0,,,64-83,,A. Wiggins misses 2-pt shot from 16 ft
5:30.0,Defensive rebound by Team,,64-83,,
5:12.0,Turnover by T. Robinson (bad pass; steal by R. Rubio),,64-83,,
4:56.0,,,64-85,2,G. Dieng makes 2-pt shot from 21 ft (assist by R. Rubio)
4:55.0,Brooklyn full timeout,,64-85,,
4:55.0,C. McCullough enters the game for T. Robinson,,64-85,,
4:55.0,S. Kilpatrick enters the game for W. Ellington,,64-85,,
4:55.0,S. Larkin enters the game for D. Sloan,,64-85,,
4:55.0,M. Brown enters the game for B. Bogdanovic,,64-85,,
4:39.0,W. Reed makes 2-pt shot at rim (assist by S. Larkin),2,66-85,,
4:25.0,,,66-85,,K. Towns misses 2-pt shot from 2 ft
4:24.0,,,66-85,,Offensive rebound by K. Towns
4:23.0,,,66-87,2,K. Towns makes 2-pt shot at rim
4:09.0,S. Kilpatrick misses 2-pt shot from 1 ft,,66-87,,
4:08.0,Offensive rebound by C. McCullough,,66-87,,
4:01.0,S. Kilpatrick misses 3-pt shot from 25 ft,,66-87,,
4:00.0,,,66-87,,Defensive rebound by G. Dieng
3:49.0,,,66-89,2,K. Towns makes 2-pt shot from 22 ft (assist by R. Rubio)
3:28.0,,,66-89,,Personal foul by R. Rubio (drawn by C. McCullough)
3:28.0,,,66-89,,G. Smith enters the game for G. Dieng
3:28.0,,,66-89,,T. Jones enters the game for R. Rubio
3:16.0,S. Larkin makes 2-pt shot from 3 ft,2,68-89,,
3:08.0,,,68-89,,A. Wiggins misses 2-pt shot from 5 ft (block by W. Reed)
3:04.0,Defensive rebound by S. Larkin,,68-89,,
3:00.0,M. Brown makes 3-pt shot from 25 ft (assist by S. Larkin),3,71-89,,
2:42.0,,,71-91,2,K. Towns makes 2-pt shot from 21 ft
2:16.0,W. Reed misses 2-pt shot from 20 ft,,71-91,,
2:15.0,,,71-91,,Defensive rebound by G. Smith
2:02.0,,,71-93,2,K. Towns makes 2-pt shot from 13 ft
1:37.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by C. McCullough),3,74-93,,
1:24.0,,,74-93,,Turnover by K. Towns (bad pass)
1:24.0,,,74-93,,S. Muhammad enters the game for Z. LaVine
1:24.0,,,74-93,,T. Prince enters the game for A. Wiggins
1:07.0,S. Kilpatrick makes 3-pt shot from 25 ft,3,77-93,,
0:54.0,,,77-95,2,S. Muhammad makes 2-pt shot from 18 ft (assist by G. Smith)
0:39.0,M. Brown misses 3-pt shot from 26 ft,,77-95,,
0:39.0,,,77-95,,Defensive rebound by Team
0:18.0,,,77-95,,Shooting foul by M. Brown (drawn by S. Muhammad)
0:18.0,,,77-96,1,S. Muhammad makes free throw 1 of 2
0:18.0,T. Robinson enters the game for W. Reed,,77-96,,
0:18.0,,,77-97,1,S. Muhammad makes free throw 2 of 2
0:08.0,,,77-97,,Personal take foul by T. Jones (drawn by S. Larkin)
0:02.0,S. Kilpatrick misses 2-pt shot from 19 ft,,77-97,,
0:01.0,Offensive rebound by T. Robinson,,77-97,,
0:01.0,T. Robinson makes 2-pt shot at rim,2,79-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,79-97,,T. Jones misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by C. McCullough,,79-97,,
11:31.0,,,79-97,,Shooting block foul by T. Prince (drawn by S. Larkin)
11:31.0,S. Larkin makes free throw 1 of 2,1,80-97,,
11:31.0,S. Larkin makes free throw 2 of 2,1,81-97,,
11:15.0,,,81-97,,Turnover by A. Payne (lost ball; steal by T. Robinson)
11:09.0,S. Kilpatrick makes 2-pt shot from 1 ft (assist by T. Robinson),2,83-97,,
10:44.0,,,83-100,3,A. Payne makes 3-pt shot from 24 ft (assist by S. Muhammad)
10:22.0,T. Robinson makes 2-pt shot from 2 ft (assist by M. Brown),2,85-100,,
10:22.0,Shooting foul by G. Smith (drawn by T. Robinson),,85-100,,
10:22.0,,,85-100,,Minnesota full timeout
10:22.0,T. Robinson makes free throw 1 of 1,1,86-100,,
10:00.0,,,86-100,,Turnover by A. Payne (lost ball; steal by S. Kilpatrick)
9:55.0,S. Kilpatrick makes 2-pt shot at rim,2,88-100,,
9:40.0,,,88-100,,A. Payne misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by C. McCullough,,88-100,,
9:20.0,T. Robinson misses 2-pt shot at rim,,88-100,,
9:19.0,Offensive rebound by S. Larkin,,88-100,,
9:18.0,S. Larkin misses 3-pt shot from 24 ft,,88-100,,
9:17.0,Offensive rebound by Team,,88-100,,
9:17.0,,,88-100,,Loose ball foul by A. Payne (drawn by T. Robinson)
9:17.0,,,88-100,,R. Rubio enters the game for T. Jones
9:07.0,M. Brown misses 3-pt shot from 23 ft,,88-100,,
9:06.0,Offensive rebound by T. Robinson,,88-100,,
9:00.0,M. Brown makes 2-pt shot at rim (assist by T. Robinson),2,90-100,,
9:00.0,Shooting foul by A. Payne (drawn by M. Brown),,90-100,,
9:00.0,,,90-100,,K. Towns enters the game for A. Payne
9:00.0,M. Brown makes free throw 1 of 1,1,91-100,,
8:42.0,Personal foul by S. Larkin (drawn by R. Rubio),,91-100,,
8:36.0,,,91-103,3,R. Rubio makes 3-pt shot from 25 ft (assist by K. Towns)
8:19.0,S. Larkin makes 2-pt shot from 1 ft,2,93-103,,
8:09.0,Personal foul by S. Larkin (drawn by R. Rubio),,93-103,,
8:09.0,B. Bogdanovic enters the game for C. McCullough,,93-103,,
8:09.0,,,93-103,,A. Wiggins enters the game for T. Prince
7:59.0,,,93-103,,Shooting foul by M. Brown (drawn by S. Muhammad)
7:59.0,,,93-104,1,S. Muhammad makes free throw 1 of 2
7:59.0,,,93-104,,Z. LaVine enters the game for G. Smith
7:59.0,,,93-104,,S. Muhammad misses free throw 2 of 2
7:59.0,Defensive rebound by T. Robinson,,93-104,,
7:44.0,S. Larkin makes 3-pt shot from 25 ft,3,96-104,,
7:31.0,Personal foul by T. Robinson (drawn by R. Rubio),,96-104,,
7:31.0,Brooklyn full timeout,,96-104,,
7:21.0,,,96-104,,Shooting foul by S. Larkin (drawn by R. Rubio)
7:21.0,,,96-105,1,R. Rubio makes free throw 1 of 2
7:21.0,,,96-106,1,R. Rubio makes free throw 2 of 2
7:11.0,T. Robinson misses 2-pt shot from 1 ft,,96-106,,
7:10.0,,,96-106,,Defensive rebound by A. Wiggins
6:56.0,,,96-108,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
6:43.0,S. Larkin misses 3-pt shot from 23 ft,,96-108,,
6:42.0,,,96-108,,Defensive rebound by K. Towns
6:30.0,,,96-110,2,A. Wiggins makes 2-pt shot at rim (assist by K. Towns)
6:30.0,Brooklyn full timeout,,96-110,,
6:14.0,B. Bogdanovic misses 3-pt shot from 27 ft,,96-110,,
6:13.0,Offensive rebound by S. Kilpatrick,,96-110,,
6:09.0,S. Kilpatrick misses 3-pt shot from 25 ft,,96-110,,
6:08.0,,,96-110,,Defensive rebound by S. Muhammad
5:52.0,,,96-112,2,A. Wiggins makes 2-pt shot from 12 ft
5:36.0,S. Karasev enters the game for B. Bogdanovic,,96-112,,
5:26.0,S. Kilpatrick misses 2-pt shot from 8 ft,,96-112,,
5:24.0,Offensive rebound by T. Robinson,,96-112,,
5:24.0,T. Robinson makes 2-pt shot at rim,2,98-112,,
5:14.0,,,98-112,,Shooting foul by T. Robinson (drawn by R. Rubio)
5:14.0,,,98-113,1,R. Rubio makes free throw 1 of 2
5:14.0,,,98-114,1,R. Rubio makes free throw 2 of 2
5:08.0,M. Brown makes 3-pt shot from 24 ft,3,101-114,,
4:48.0,Personal block foul by S. Karasev (drawn by A. Wiggins),,101-114,,
4:48.0,,,101-115,1,A. Wiggins makes free throw 1 of 2
4:48.0,,,101-116,1,A. Wiggins makes free throw 2 of 2
4:40.0,Turnover by S. Larkin (bad pass; steal by K. Towns),,101-116,,
4:31.0,,,101-116,,Offensive foul by K. Towns
4:31.0,,,101-116,,Turnover by K. Towns (offensive foul)
4:20.0,T. Robinson makes 2-pt shot from 2 ft (assist by S. Larkin),2,103-116,,
4:20.0,Shooting foul by A. Wiggins (drawn by T. Robinson),,103-116,,
4:20.0,T. Robinson makes free throw 1 of 1,1,104-116,,
4:09.0,,,104-116,,Shooting foul by M. Brown (drawn by S. Muhammad)
4:09.0,,,104-117,1,S. Muhammad makes free throw 1 of 2
4:09.0,,,104-118,1,S. Muhammad makes free throw 2 of 2
3:59.0,M. Brown misses 3-pt shot from 24 ft,,104-118,,
3:57.0,,,104-118,,Defensive rebound by R. Rubio
3:49.0,,,104-120,2,Z. LaVine makes 2-pt shot from 19 ft (assist by R. Rubio)
3:48.0,Brooklyn full timeout,,104-120,,
3:34.0,M. Brown misses 3-pt shot from 24 ft,,104-120,,
3:33.0,Offensive rebound by T. Robinson,,104-120,,
