time,Chicago,pts.away,score,pts.home,Denver
10:20.0,K. Hinrich misses 3-pt shot from 22 ft,,28-33,,
10:19.0,,,28-33,,Defensive rebound by J. Nurkic
10:04.0,,,28-33,,Shooting foul by D. McDermott (drawn by J. Lauvergne)
10:04.0,D. Rose enters the game for K. Hinrich,,28-33,,
10:04.0,,,28-34,1,J. Lauvergne makes free throw 1 of 2
10:04.0,T. Gibson enters the game for B. Portis,,28-34,,
10:04.0,,,28-34,,Denver full timeout
10:04.0,,,28-34,,J. Lauvergne misses free throw 2 of 2
10:04.0,Defensive rebound by Team,,28-34,,
10:04.0,,,28-34,,Personal foul by J. Nurkic (drawn by T. Gibson)
9:52.0,D. Rose misses 2-pt shot from 1 ft (block by J. Nurkic),,28-34,,
9:51.0,,,28-34,,Defensive rebound by J. Nurkic
9:40.0,,,28-34,,G. Harris misses 3-pt shot from 23 ft
9:39.0,,,28-34,,Offensive rebound by Team
9:30.0,,,28-34,,Turnover by J. Nurkic (lost ball; steal by D. Rose)
9:25.0,Turnover by D. Rose (bad pass),,28-34,,
9:06.0,,,28-34,,J. Lauvergne misses 2-pt shot at rim
9:06.0,Defensive rebound by D. Rose,,28-34,,
8:56.0,T. Snell misses 2-pt shot from 1 ft,,28-34,,
8:56.0,,,28-34,,Defensive rebound by J. Nurkic
8:50.0,,,28-36,2,W. Barton makes 2-pt shot from 6 ft
8:38.0,Shooting foul by J. Nurkic (drawn by D. Rose),,28-36,,
8:38.0,Official timeout,,28-36,,
8:38.0,,,28-36,,E. Mudiay enters the game for J. Nurkic
8:38.0,D. Rose makes free throw 1 of 2,1,29-36,,
8:38.0,D. Rose makes free throw 2 of 2,1,30-36,,
8:24.0,,,30-36,,R. Foye misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by Team,,30-36,,
8:24.0,,,30-36,,Loose ball foul by J. Lauvergne (drawn by T. Gibson)
8:13.0,D. Rose makes 2-pt shot from 1 ft,2,32-36,,
7:54.0,,,32-36,,E. Mudiay misses 2-pt shot at rim (block by T. Gibson)
7:52.0,,,32-36,,Offensive rebound by G. Harris
7:49.0,,,32-36,,W. Barton misses 3-pt shot from 26 ft
7:48.0,Defensive rebound by D. Rose,,32-36,,
7:44.0,Turnover by D. McDermott (step out of bounds),,32-36,,
7:44.0,,,32-36,,N. Jokic enters the game for J. Lauvergne
7:34.0,Personal foul by A. Brooks (drawn by E. Mudiay),,32-36,,
7:34.0,J. Butler enters the game for T. Snell,,32-36,,
7:30.0,,,32-36,,W. Barton misses 2-pt shot from 20 ft
7:30.0,Defensive rebound by Team,,32-36,,
7:18.0,D. McDermott makes 3-pt shot from 25 ft (assist by D. Rose),3,35-36,,
7:15.0,,,35-36,,Denver full timeout
7:15.0,,,35-36,,D. Gallinari enters the game for R. Foye
6:56.0,,,35-36,,E. Mudiay misses 2-pt shot from 20 ft
6:56.0,Defensive rebound by D. Rose,,35-36,,
6:51.0,Shooting foul by N. Jokic (drawn by T. Gibson),,35-36,,
6:51.0,T. Gibson makes free throw 1 of 2,1,36-36,,
6:51.0,T. Gibson misses free throw 2 of 2,,36-36,,
6:50.0,,,36-36,,Defensive rebound by W. Barton
6:30.0,,,36-38,2,G. Harris makes 2-pt shot from 13 ft (assist by E. Mudiay)
6:13.0,T. Gibson makes 2-pt shot at rim (assist by D. Rose),2,38-38,,
6:00.0,,,38-40,2,D. Gallinari makes 2-pt shot from 1 ft
5:38.0,J. Butler misses 2-pt shot from 3 ft,,38-40,,
5:38.0,,,38-40,,Defensive rebound by N. Jokic
5:31.0,,,38-40,,G. Harris misses 3-pt shot from 23 ft
5:30.0,Defensive rebound by T. Gibson,,38-40,,
5:19.0,Shooting foul by N. Jokic (drawn by A. Brooks),,38-40,,
5:19.0,A. Brooks makes free throw 1 of 2,1,39-40,,
5:19.0,,,39-40,,K. Faried enters the game for N. Jokic
5:19.0,A. Brooks makes free throw 2 of 2,1,40-40,,
5:04.0,,,40-40,,Turnover by W. Barton (traveling)
4:46.0,T. Gibson makes 2-pt shot from 4 ft (assist by J. Butler),2,42-40,,
4:24.0,,,42-42,2,W. Barton makes 2-pt shot from 11 ft
4:13.0,Turnover by J. Butler (bad pass; steal by E. Mudiay),,42-42,,
4:10.0,,,42-44,2,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay)
4:10.0,,,42-44,,Shooting foul by D. McDermott (drawn by K. Faried)
4:10.0,,,42-44,,K. Faried misses free throw 1 of 1
4:08.0,Defensive rebound by J. Butler,,42-44,,
4:01.0,J. Butler makes 2-pt shot from 9 ft,2,44-44,,
4:01.0,,,44-44,,Shooting block foul by K. Faried (drawn by J. Butler)
4:01.0,E. Moore enters the game for D. McDermott,,44-44,,
4:01.0,J. Butler makes free throw 1 of 1,1,45-44,,
3:39.0,,,45-44,,D. Gallinari misses 2-pt shot from 6 ft
3:36.0,,,45-44,,Offensive rebound by W. Barton
3:36.0,,,45-46,2,W. Barton makes 2-pt shot at rim
3:25.0,D. Rose misses 2-pt shot from 1 ft,,45-46,,
3:22.0,Offensive rebound by T. Gibson,,45-46,,
3:22.0,T. Gibson misses 2-pt shot from 2 ft,,45-46,,
3:20.0,,,45-46,,Defensive rebound by K. Faried
3:15.0,,,45-46,,W. Barton misses 3-pt shot from 24 ft
3:13.0,,,45-46,,Offensive rebound by G. Harris
3:00.0,,,45-46,,E. Mudiay misses 2-pt shot from 18 ft
3:00.0,Defensive rebound by D. Rose,,45-46,,
2:58.0,Shooting foul by E. Mudiay (drawn by J. Butler),,45-46,,
2:58.0,Chicago full timeout,,45-46,,
2:58.0,J. Butler makes free throw 1 of 2,1,46-46,,
2:58.0,J. Butler makes free throw 2 of 2,1,47-46,,
2:47.0,,,47-46,,Shooting foul by A. Brooks (drawn by E. Mudiay)
2:47.0,,,47-47,1,E. Mudiay makes free throw 1 of 2
2:47.0,,,47-47,,J. Lauvergne enters the game for K. Faried
2:47.0,,,47-47,,E. Mudiay misses free throw 2 of 2
2:46.0,Defensive rebound by T. Gibson,,47-47,,
2:36.0,Shooting foul by W. Barton (drawn by J. Butler),,47-47,,
2:36.0,J. Butler makes 2-pt shot from 2 ft (assist by D. Rose),2,49-47,,
2:36.0,J. Butler makes free throw 1 of 1,1,50-47,,
2:22.0,,,50-47,,Shooting foul by T. Gibson (drawn by D. Gallinari)
2:22.0,,,50-48,1,D. Gallinari makes free throw 1 of 2
2:22.0,,,50-49,1,D. Gallinari makes free throw 2 of 2
2:12.0,,,50-49,,Personal foul by J. Lauvergne (drawn by D. Rose)
2:12.0,D. Rose misses free throw 1 of 2,,50-49,,
2:12.0,Offensive rebound by Team,,50-49,,
2:12.0,D. Rose makes free throw 2 of 2,1,51-49,,
1:54.0,,,51-51,2,D. Gallinari makes 2-pt shot from 18 ft
1:34.0,A. Brooks misses 2-pt shot from 6 ft,,51-51,,
1:29.0,,,51-51,,Defensive rebound by W. Barton
1:27.0,,,51-51,,W. Barton misses 2-pt shot from 2 ft (block by A. Brooks)
1:26.0,,,51-51,,Offensive rebound by Team
1:18.0,,,51-51,,E. Mudiay misses 2-pt shot from 20 ft
1:16.0,Defensive rebound by Team,,51-51,,
1:06.0,,,51-51,,Shooting block foul by J. Lauvergne (drawn by J. Butler)
1:06.0,Chicago full timeout,,51-51,,
1:06.0,,,51-51,,J. Hickson enters the game for J. Lauvergne
1:06.0,J. Butler misses free throw 1 of 2,,51-51,,
1:06.0,Offensive rebound by Team,,51-51,,
1:06.0,J. Butler makes free throw 2 of 2,1,52-51,,
1:05.0,Personal take foul by E. Moore (drawn by D. Gallinari),,52-51,,
1:05.0,D. McDermott enters the game for J. Butler,,52-51,,
1:05.0,,,52-52,1,D. Gallinari makes free throw 1 of 2
1:05.0,,,52-53,1,D. Gallinari makes free throw 2 of 2
0:53.0,E. Moore makes 3-pt shot from 24 ft (assist by D. Rose),3,55-53,,
0:43.0,,,55-55,2,W. Barton makes 2-pt shot from 2 ft
0:31.0,D. Rose misses 2-pt shot from 6 ft,,55-55,,
0:29.0,Offensive rebound by D. Rose,,55-55,,
0:19.0,E. Moore misses 2-pt shot from 12 ft,,55-55,,
0:18.0,Offensive rebound by D. Rose,,55-55,,
0:15.0,D. Rose misses 2-pt shot from 18 ft,,55-55,,
0:12.0,Offensive rebound by A. Brooks,,55-55,,
0:00.0,D. Rose makes 2-pt shot from 20 ft,2,57-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,T. Gibson misses 2-pt shot from 5 ft,,57-55,,
11:39.0,,,57-55,,Defensive rebound by Team
