time,Denver,pts.away,score,pts.home,New Orleans
4:09.0,Defensive rebound by K. Faried,,16-18,,
4:00.0,J. Sampson makes 2-pt shot from 3 ft (assist by G. Harris),2,18-18,,
4:00.0,,,18-18,,Technical foul by L. Babbitt
4:00.0,G. Harris makes technical free throw,1,19-18,,
4:00.0,,,19-18,,J. Ennis enters the game for J. Hamilton
4:00.0,,,19-18,,A. Ajinca enters the game for O. Asik
3:48.0,,,19-20,2,T. Douglas makes 2-pt shot from 20 ft (assist by J. Ennis)
3:48.0,,,19-20,,Shooting foul by E. Mudiay (drawn by T. Douglas)
3:48.0,,,19-21,1,T. Douglas makes free throw 1 of 1
3:34.0,E. Mudiay makes 3-pt shot from 25 ft (assist by J. Sampson),3,22-21,,
3:27.0,,,22-23,2,D. Cunningham makes 2-pt shot at rim (assist by T. Douglas)
3:10.0,K. Faried misses 2-pt shot from 1 ft (block by A. Ajinca),,22-23,,
3:09.0,,,22-23,,Defensive rebound by J. Ennis
3:02.0,,,22-23,,T. Douglas misses 2-pt shot from 19 ft
3:02.0,Defensive rebound by E. Mudiay,,22-23,,
2:51.0,K. Faried makes 2-pt shot from 1 ft (assist by G. Harris),2,24-23,,
2:40.0,Personal foul by E. Mudiay,,24-23,,
2:40.0,,,24-23,,New Orleans full timeout
2:40.0,D. Arthur enters the game for J. Sampson,,24-23,,
2:40.0,D. Augustin enters the game for K. Faried,,24-23,,
2:40.0,J. Lauvergne enters the game for N. Jokic,,24-23,,
2:40.0,W. Barton enters the game for E. Mudiay,,24-23,,
2:34.0,,,24-25,2,A. Ajinca makes 2-pt shot at rim (assist by T. Douglas)
2:08.0,D. Arthur makes 2-pt shot from 16 ft (assist by W. Barton),2,26-25,,
1:51.0,,,26-27,2,L. Babbitt makes 2-pt shot from 4 ft (assist by T. Douglas)
1:31.0,D. Arthur misses 3-pt shot from 25 ft,,26-27,,
1:30.0,,,26-27,,Defensive rebound by D. Cunningham
1:15.0,,,26-29,2,A. Ajinca makes 2-pt shot from 11 ft (assist by L. Babbitt)
0:52.0,W. Barton misses 3-pt shot from 25 ft,,26-29,,
0:52.0,,,26-29,,Defensive rebound by T. Douglas
0:47.0,,,26-31,2,D. Cunningham makes 2-pt shot at rim (assist by T. Douglas)
0:46.0,Denver full timeout,,26-31,,
0:46.0,,,26-31,,J. Hamilton enters the game for D. Cunningham
0:46.0,,,26-31,,T. Frazier enters the game for T. Douglas
0:29.0,J. Lauvergne misses 2-pt shot from 16 ft,,26-31,,
0:28.0,,,26-31,,Defensive rebound by L. Babbitt
0:10.0,Personal take foul by D. Augustin,,26-31,,
0:04.0,,,26-31,,Turnover by T. Frazier (bad pass)
0:00.0,D. Augustin misses 3-pt shot from 33 ft,,26-31,,
0:00.0,Offensive rebound by Team,,26-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,26-31,,L. Babbitt misses 2-pt shot from 3 ft
11:48.0,Defensive rebound by W. Barton,,26-31,,
11:32.0,D. Augustin makes 2-pt shot from 11 ft,2,28-31,,
11:08.0,,,28-31,,L. Babbitt misses 2-pt shot from 8 ft
11:07.0,,,28-31,,Offensive rebound by Team
10:59.0,,,28-31,,Turnover by A. Ajinca (bad pass)
10:46.0,D. Arthur makes 2-pt shot from 7 ft (assist by W. Barton),2,30-31,,
10:46.0,Shooting foul by L. Babbitt (drawn by D. Arthur),,30-31,,
10:46.0,D. Arthur misses free throw 1 of 1,,30-31,,
10:45.0,,,30-31,,Defensive rebound by J. Hamilton
10:31.0,,,30-33,2,T. Frazier makes 2-pt shot from 1 ft
10:31.0,,,30-33,,Shooting foul by D. Arthur (drawn by T. Frazier)
10:31.0,,,30-33,,K. Perkins enters the game for L. Babbitt
10:31.0,,,30-34,1,T. Frazier makes free throw 1 of 1
10:17.0,W. Barton misses 3-pt shot from 25 ft,,30-34,,
10:17.0,,,30-34,,Defensive rebound by K. Perkins
10:01.0,,,30-34,,J. Ennis misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by W. Barton,,30-34,,
9:53.0,A. Toupane makes 2-pt shot from 1 ft (assist by W. Barton),2,32-34,,
9:53.0,,,32-34,,Violation by J. Hamilton (def goaltending)
9:36.0,,,32-36,2,J. Ennis makes 2-pt shot from 1 ft (assist by T. Frazier)
9:21.0,D. Arthur makes 3-pt shot from 25 ft (assist by D. Augustin),3,35-36,,
8:54.0,,,35-36,,T. Frazier misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by A. Toupane,,35-36,,
8:43.0,W. Barton misses 2-pt shot at rim,,35-36,,
8:43.0,,,35-36,,Defensive rebound by A. Ajinca
8:40.0,,,35-36,,Turnover by A. Ajinca (lost ball; steal by D. Augustin)
8:36.0,J. Lauvergne makes 2-pt shot at rim (assist by D. Augustin),2,37-36,,
8:16.0,,,37-36,,J. Ennis misses 2-pt shot at rim
8:16.0,,,37-36,,Offensive rebound by A. Ajinca
8:14.0,,,37-36,,A. Ajinca misses 2-pt shot from 1 ft
8:12.0,,,37-36,,Offensive rebound by J. Ennis
8:10.0,,,37-39,3,J. Ennis makes 3-pt shot from 24 ft
7:54.0,D. Arthur makes 2-pt shot from 2 ft (assist by D. Augustin),2,39-39,,
7:31.0,Official timeout,,39-39,,
7:27.0,,,39-41,2,A. Ajinca makes 2-pt shot from 3 ft (assist by J. Ennis)
7:10.0,D. Arthur makes 3-pt shot from 23 ft (assist by D. Augustin),3,42-41,,
6:57.0,,,42-43,2,K. Perkins makes 2-pt shot from 2 ft (assist by T. Frazier)
6:46.0,Offensive foul by D. Arthur,,42-43,,
6:46.0,Turnover by D. Arthur (offensive foul),,42-43,,
6:36.0,,,42-43,,J. Hamilton misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by D. Arthur,,42-43,,
6:24.0,D. Arthur makes 3-pt shot from 26 ft (assist by D. Augustin),3,45-43,,
6:07.0,,,45-43,,Offensive foul by K. Perkins
6:07.0,,,45-43,,Turnover by K. Perkins (offensive foul)
6:07.0,,,45-43,,D. Cunningham enters the game for K. Perkins
5:57.0,D. Augustin makes 3-pt shot from 24 ft,3,48-43,,
5:40.0,,,48-43,,Shooting foul by A. Toupane (drawn by D. Cunningham)
5:40.0,,,48-43,,New Orleans full timeout
5:40.0,,,48-43,,T. Douglas enters the game for J. Hamilton
5:40.0,,,48-44,1,D. Cunningham makes free throw 1 of 2
5:40.0,,,48-44,,D. Cunningham misses free throw 2 of 2
5:39.0,Defensive rebound by D. Arthur,,48-44,,
5:17.0,J. Lauvergne makes 2-pt shot from 19 ft (assist by D. Arthur),2,50-44,,
5:04.0,,,50-44,,Offensive foul by A. Ajinca
5:04.0,,,50-44,,Turnover by A. Ajinca (offensive foul)
4:52.0,Turnover by W. Barton (lost ball; steal by A. Ajinca),,50-44,,
4:48.0,,,50-44,,Turnover by J. Ennis (lost ball; steal by A. Toupane)
4:40.0,Turnover by J. Lauvergne (3 sec),,50-44,,
4:27.0,,,50-46,2,A. Ajinca makes 2-pt shot at rim (assist by T. Frazier)
4:09.0,Turnover by D. Augustin (lost ball; steal by A. Ajinca),,50-46,,
3:59.0,,,50-46,,D. Cunningham misses 3-pt shot from 24 ft
3:58.0,Defensive rebound by Team,,50-46,,
3:57.0,N. Jokic enters the game for J. Lauvergne,,50-46,,
3:57.0,G. Harris enters the game for A. Toupane,,50-46,,
3:44.0,,,50-46,,Personal foul by A. Ajinca
3:44.0,,,50-46,,K. Perkins enters the game for A. Ajinca
3:38.0,Turnover by D. Augustin (lost ball; steal by D. Cunningham),,50-46,,
3:33.0,,,50-48,2,T. Douglas makes 2-pt shot at rim
3:14.0,D. Augustin makes 2-pt shot from 1 ft,2,52-48,,
2:52.0,Denver full timeout,,52-48,,
2:52.0,,,52-48,,L. Babbitt enters the game for J. Ennis
2:52.0,K. Faried enters the game for D. Arthur,,52-48,,
2:50.0,,,52-51,3,T. Douglas makes 3-pt shot from 23 ft (assist by T. Frazier)
2:27.0,N. Jokic misses 2-pt shot from 3 ft,,52-51,,
2:26.0,Offensive rebound by K. Faried,,52-51,,
2:26.0,K. Faried misses 2-pt shot at rim,,52-51,,
2:26.0,,,52-51,,Defensive rebound by Team
2:13.0,,,52-53,2,K. Perkins makes 2-pt shot from 6 ft (assist by T. Frazier)
1:58.0,Turnover by W. Barton (traveling),,52-53,,
1:53.0,,,52-56,3,T. Frazier makes 3-pt shot from 25 ft (assist by T. Douglas)
1:40.0,,,52-56,,Personal foul by K. Perkins
1:30.0,W. Barton misses 2-pt shot from 10 ft,,52-56,,
1:29.0,,,52-56,,Defensive rebound by D. Cunningham
1:06.0,,,52-56,,T. Frazier misses 2-pt shot from 8 ft
1:05.0,Defensive rebound by N. Jokic,,52-56,,
0:49.0,K. Faried misses 2-pt shot from 8 ft,,52-56,,
0:49.0,Offensive rebound by N. Jokic,,52-56,,
0:49.0,N. Jokic makes 2-pt shot at rim,2,54-56,,
0:33.0,,,54-56,,L. Babbitt misses 2-pt shot from 7 ft
0:32.0,Defensive rebound by K. Faried,,54-56,,
0:09.0,K. Faried misses 2-pt shot from 7 ft,,54-56,,
0:08.0,Offensive rebound by K. Faried,,54-56,,
0:02.0,Offensive charge foul by G. Harris,,54-56,,
0:02.0,Turnover by G. Harris (offensive foul),,54-56,,
0:00.0,,,54-56,,T. Frazier misses 3-pt shot from 35 ft
0:00.0,,,54-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,54-56,,L. Babbitt misses 3-pt shot from 26 ft
11:40.0,,,54-56,,Offensive rebound by D. Cunningham
11:38.0,,,54-56,,Turnover by D. Cunningham (back court)
11:22.0,K. Faried makes 2-pt shot from 1 ft (assist by N. Jokic),2,56-56,,
10:59.0,,,56-56,,L. Babbitt misses 2-pt shot from 9 ft (block by N. Jokic)
10:57.0,Defensive rebound by N. Jokic,,56-56,,
10:51.0,E. Mudiay misses 2-pt shot from 16 ft,,56-56,,
10:50.0,,,56-56,,Defensive rebound by J. Hamilton
10:39.0,,,56-56,,Turnover by J. Hamilton (lost ball; steal by G. Harris)
10:35.0,G. Harris makes 2-pt shot at rim,2,58-56,,
10:07.0,,,58-58,2,L. Babbitt makes 2-pt shot from 6 ft (assist by T. Douglas)
9:45.0,E. Mudiay makes 3-pt shot from 25 ft (assist by J. Sampson),3,61-58,,
9:31.0,,,61-60,2,T. Douglas makes 2-pt shot from 20 ft (assist by O. Asik)
9:19.0,K. Faried misses 2-pt shot from 6 ft,,61-60,,
9:18.0,,,61-60,,Defensive rebound by O. Asik
9:11.0,,,61-60,,D. Cunningham misses 2-pt shot from 2 ft
9:11.0,Defensive rebound by N. Jokic,,61-60,,
8:58.0,J. Sampson misses 2-pt shot from 7 ft,,61-60,,
8:56.0,Offensive rebound by K. Faried,,61-60,,
8:56.0,K. Faried misses 2-pt shot at rim,,61-60,,
8:55.0,,,61-60,,Defensive rebound by O. Asik
8:49.0,,,61-63,3,J. Hamilton makes 3-pt shot from 24 ft (assist by T. Douglas)
8:28.0,N. Jokic misses 3-pt shot from 24 ft,,61-63,,
8:27.0,,,61-63,,Defensive rebound by J. Hamilton
8:19.0,,,61-63,,T. Douglas misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by N. Jokic,,61-63,,
8:01.0,Turnover by J. Sampson (lost ball; steal by J. Hamilton),,61-63,,
7:55.0,,,61-63,,J. Hamilton misses 3-pt shot from 22 ft
7:54.0,Defensive rebound by K. Faried,,61-63,,
7:41.0,Denver full timeout,,61-63,,
7:30.0,E. Mudiay makes 3-pt shot from 25 ft,3,64-63,,
7:13.0,,,64-63,,L. Babbitt misses 2-pt shot from 4 ft (block by J. Sampson)
7:12.0,,,64-63,,Offensive rebound by Team
7:04.0,,,64-63,,J. Hamilton misses 2-pt shot from 9 ft
7:03.0,Defensive rebound by N. Jokic,,64-63,,
6:53.0,G. Harris misses 3-pt shot from 24 ft,,64-63,,
6:52.0,,,64-63,,Defensive rebound by J. Hamilton
6:40.0,,,64-65,2,L. Babbitt makes 2-pt shot from 15 ft (assist by D. Cunningham)
6:26.0,G. Harris misses 2-pt shot from 19 ft,,64-65,,
6:25.0,,,64-65,,Defensive rebound by L. Babbitt
6:16.0,,,64-67,2,T. Douglas makes 2-pt shot from 1 ft (assist by L. Babbitt)
6:15.0,Denver full timeout,,64-67,,
6:15.0,,,64-67,,J. Ennis enters the game for D. Cunningham
5:56.0,N. Jokic makes 2-pt shot from 11 ft (assist by G. Harris),2,66-67,,
5:37.0,,,66-67,,O. Asik misses 2-pt shot at rim
5:36.0,Defensive rebound by K. Faried,,66-67,,
5:27.0,N. Jokic makes 3-pt shot from 25 ft (assist by K. Faried),3,69-67,,
5:04.0,,,69-67,,Turnover by T. Douglas (lost ball; steal by K. Faried)
4:59.0,Shooting foul by T. Douglas (drawn by K. Faried),,69-67,,
4:59.0,K. Faried makes free throw 1 of 2,1,70-67,,
4:59.0,,,70-67,,A. Ajinca enters the game for O. Asik
4:59.0,K. Faried misses free throw 2 of 2,,70-67,,
4:59.0,,,70-67,,Defensive rebound by A. Ajinca
4:38.0,,,70-67,,L. Babbitt misses 2-pt shot from 4 ft
4:37.0,Defensive rebound by J. Sampson,,70-67,,
4:32.0,Offensive charge foul by N. Jokic,,70-67,,
4:32.0,Turnover by N. Jokic (offensive foul),,70-67,,
4:32.0,,,70-67,,T. Frazier enters the game for T. Douglas
4:20.0,,,70-70,3,J. Ennis makes 3-pt shot from 25 ft (assist by L. Babbitt)
3:56.0,E. Mudiay misses 2-pt shot from 10 ft,,70-70,,
3:55.0,,,70-70,,Defensive rebound by A. Ajinca
3:45.0,,,70-70,,A. Ajinca misses 2-pt shot from 6 ft
3:44.0,,,70-70,,Offensive rebound by A. Ajinca
3:40.0,,,70-70,,Turnover by L. Babbitt (lost ball; steal by G. Harris)
3:36.0,Shooting foul by J. Hamilton (drawn by G. Harris),,70-70,,
3:36.0,G. Harris makes free throw 1 of 2,1,71-70,,
3:36.0,W. Barton enters the game for K. Faried,,71-70,,
3:36.0,G. Harris makes free throw 2 of 2,1,72-70,,
3:22.0,,,72-70,,L. Babbitt misses 2-pt shot from 1 ft (block by J. Sampson)
3:21.0,,,72-70,,Offensive rebound by A. Ajinca
3:13.0,,,72-73,3,J. Ennis makes 3-pt shot from 24 ft (assist by J. Hamilton)
2:58.0,J. Sampson misses 2-pt shot from 1 ft,,72-73,,
2:57.0,,,72-73,,Defensive rebound by A. Ajinca
2:36.0,,,72-75,2,L. Babbitt makes 2-pt shot from 3 ft (assist by J. Ennis)
2:19.0,E. Mudiay misses 2-pt shot from 12 ft,,72-75,,
2:18.0,,,72-75,,Defensive rebound by A. Ajinca
2:11.0,,,72-77,2,J. Hamilton makes 2-pt shot at rim (assist by T. Frazier)
2:11.0,Denver full timeout,,72-77,,
2:11.0,D. Arthur enters the game for N. Jokic,,72-77,,
2:11.0,A. Toupane enters the game for G. Harris,,72-77,,
2:11.0,D. Augustin enters the game for E. Mudiay,,72-77,,
2:02.0,D. Arthur makes 3-pt shot from 25 ft (assist by D. Augustin),3,75-77,,
1:48.0,,,75-77,,A. Ajinca misses 2-pt shot from 19 ft
1:48.0,Defensive rebound by D. Augustin,,75-77,,
1:43.0,Offensive foul by D. Augustin,,75-77,,
1:43.0,Turnover by D. Augustin (offensive foul),,75-77,,
1:43.0,,,75-77,,D. Cunningham enters the game for A. Ajinca
1:29.0,,,75-77,,T. Frazier misses 2-pt shot from 4 ft (block by D. Arthur)
1:28.0,Defensive rebound by A. Toupane,,75-77,,
1:27.0,,,75-77,,Personal foul by T. Frazier
1:18.0,Shooting foul by J. Ennis (drawn by W. Barton),,75-77,,
1:18.0,W. Barton makes free throw 1 of 3,1,76-77,,
1:18.0,W. Barton makes free throw 2 of 3,1,77-77,,
1:18.0,W. Barton makes free throw 3 of 3,1,78-77,,
1:07.0,,,78-77,,L. Babbitt misses 2-pt shot at rim
1:06.0,,,78-77,,Offensive rebound by L. Babbitt
1:06.0,,,78-77,,L. Babbitt misses 2-pt shot at rim
1:04.0,Defensive rebound by D. Arthur,,78-77,,
0:55.0,D. Augustin misses 3-pt shot from 24 ft,,78-77,,
0:54.0,,,78-77,,Defensive rebound by J. Hamilton
0:51.0,Personal foul by A. Toupane,,78-77,,
0:41.0,,,78-77,,J. Ennis misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by D. Arthur,,78-77,,
0:23.0,W. Barton misses 2-pt shot from 5 ft,,78-77,,
0:21.0,,,78-77,,Defensive rebound by L. Babbitt
0:01.0,,,78-77,,T. Frazier misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by D. Arthur,,78-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,D. Arthur makes 2-pt shot from 11 ft (assist by D. Augustin),2,80-77,,
11:22.0,Violation by W. Barton (def goaltending),,80-77,,
11:22.0,,,80-79,2,J. Hamilton makes 2-pt shot from 1 ft
11:05.0,Turnover by W. Barton (lost ball; steal by J. Hamilton),,80-79,,
10:39.0,,,80-79,,T. Frazier misses 2-pt shot from 20 ft
10:39.0,,,80-79,,Offensive rebound by Team
10:39.0,,,80-79,,Turnover by Team (shot clock)
10:32.0,D. Augustin misses 2-pt shot from 2 ft (block by D. Cunningham),,80-79,,
10:32.0,Offensive rebound by Team,,80-79,,
10:22.0,D. Arthur misses 2-pt shot from 12 ft,,80-79,,
10:21.0,,,80-79,,Defensive rebound by T. Frazier
10:08.0,,,80-81,2,T. Frazier makes 2-pt shot from 10 ft (assist by T. Douglas)
9:47.0,A. Toupane misses 3-pt shot from 24 ft,,80-81,,
9:46.0,,,80-81,,Defensive rebound by D. Cunningham
9:37.0,,,80-84,3,J. Hamilton makes 3-pt shot from 24 ft (assist by T. Frazier)
9:17.0,D. Augustin makes 2-pt shot from 15 ft,2,82-84,,
9:16.0,Violation by Team (jump ball),,82-84,,
8:59.0,,,82-84,,J. Hamilton misses 2-pt shot from 9 ft
8:58.0,,,82-84,,Offensive rebound by J. Ennis
8:55.0,,,82-84,,J. Ennis misses 2-pt shot from 2 ft
8:53.0,,,82-84,,Offensive rebound by J. Ennis
8:50.0,,,82-84,,J. Ennis misses 2-pt shot from 2 ft
8:49.0,,,82-84,,Offensive rebound by J. Ennis
8:45.0,,,82-86,2,J. Hamilton makes 2-pt shot at rim (assist by T. Frazier)
8:24.0,D. Augustin misses 2-pt shot from 17 ft,,82-86,,
8:23.0,,,82-86,,Defensive rebound by J. Hamilton
8:14.0,,,82-86,,J. Hamilton misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by D. Arthur,,82-86,,
8:06.0,,,82-86,,Personal foul by T. Frazier
8:06.0,Official timeout,,82-86,,
8:06.0,,,82-86,,L. Babbitt enters the game for J. Ennis
7:52.0,D. Arthur misses 2-pt shot from 13 ft,,82-86,,
7:51.0,,,82-86,,Defensive rebound by T. Frazier
7:37.0,,,82-86,,L. Babbitt misses 3-pt shot from 24 ft
7:36.0,Defensive rebound by D. Arthur,,82-86,,
7:18.0,Turnover by A. Toupane (lost ball; steal by L. Babbitt),,82-86,,
7:18.0,Jump ball: L. Babbitt vs. A. Toupane (J. Hamilton gains possession),,,,Jump ball: L. Babbitt vs. A. Toupane (J. Hamilton gains possession)
6:57.0,,,82-86,,T. Douglas misses 3-pt shot from 24 ft
6:56.0,Defensive rebound by A. Toupane,,82-86,,
6:48.0,W. Barton misses 2-pt shot from 3 ft (block by J. Hamilton),,82-86,,
6:47.0,,,82-86,,Defensive rebound by T. Frazier
6:43.0,,,82-86,,Shooting foul by W. Barton (drawn by T. Frazier)
6:43.0,,,82-88,2,T. Frazier makes 2-pt shot from 1 ft
6:43.0,E. Mudiay enters the game for A. Toupane,,82-88,,
6:43.0,,,82-88,,J. Ennis enters the game for J. Hamilton
6:43.0,,,82-89,1,T. Frazier makes free throw 1 of 1
6:26.0,W. Barton misses 3-pt shot from 25 ft,,82-89,,
6:25.0,,,82-89,,Defensive rebound by D. Cunningham
6:09.0,,,82-89,,J. Ennis misses 2-pt shot from 8 ft
6:06.0,,,82-89,,Offensive rebound by J. Ennis
6:06.0,,,82-89,,J. Ennis misses 2-pt shot from 1 ft
6:05.0,Defensive rebound by D. Arthur,,82-89,,
5:58.0,D. Arthur makes 2-pt shot from 2 ft (assist by W. Barton),2,84-89,,
5:41.0,,,84-92,3,T. Frazier makes 3-pt shot from 25 ft
5:24.0,D. Arthur misses 2-pt shot from 2 ft,,84-92,,
5:23.0,Offensive rebound by D. Arthur,,84-92,,
5:23.0,D. Arthur makes 2-pt shot from 2 ft,2,86-92,,
5:11.0,,,86-92,,L. Babbitt misses 3-pt shot from 24 ft
5:10.0,,,86-92,,Offensive rebound by T. Douglas
5:02.0,,,86-92,,New Orleans full timeout
4:45.0,,,86-92,,Turnover by Team (shot clock)
4:26.0,D. Arthur misses 2-pt shot from 9 ft,,86-92,,
4:25.0,,,86-92,,Defensive rebound by L. Babbitt
4:13.0,Personal foul by D. Arthur,,86-92,,
4:13.0,K. Faried enters the game for D. Arthur,,86-92,,
4:01.0,,,86-92,,D. Cunningham misses 2-pt shot from 21 ft
4:00.0,Defensive rebound by K. Faried,,86-92,,
3:52.0,Shooting foul by D. Cunningham (drawn by W. Barton),,86-92,,
3:52.0,W. Barton makes free throw 1 of 2,1,87-92,,
3:52.0,W. Barton misses free throw 2 of 2,,87-92,,
3:51.0,,,87-92,,Defensive rebound by L. Babbitt
3:39.0,,,87-92,,Turnover by D. Cunningham (lost ball; steal by K. Faried)
3:30.0,E. Mudiay misses 2-pt shot from 11 ft (block by L. Babbitt),,87-92,,
3:29.0,Offensive rebound by K. Faried,,87-92,,
3:23.0,K. Faried misses 2-pt shot from 2 ft,,87-92,,
3:22.0,,,87-92,,Defensive rebound by D. Cunningham
3:07.0,,,87-92,,Turnover by L. Babbitt (lost ball; steal by D. Augustin)
3:03.0,G. Harris makes 2-pt shot at rim (assist by D. Augustin),2,89-92,,
2:43.0,,,89-92,,T. Douglas misses 3-pt shot from 25 ft
2:42.0,Defensive rebound by E. Mudiay,,89-92,,
2:27.0,G. Harris misses 3-pt shot from 25 ft,,89-92,,
2:26.0,,,89-92,,Defensive rebound by L. Babbitt
2:23.0,,,89-92,,New Orleans full timeout
2:07.0,,,89-94,2,L. Babbitt makes 2-pt shot from 2 ft
1:46.0,D. Augustin misses 3-pt shot from 25 ft,,89-94,,
1:44.0,Offensive rebound by K. Faried,,89-94,,
1:43.0,Shooting foul by L. Babbitt (drawn by K. Faried),,89-94,,
1:43.0,K. Faried makes free throw 1 of 2,1,90-94,,
1:43.0,K. Faried makes free throw 2 of 2,1,91-94,,
1:28.0,,,91-94,,L. Babbitt misses 3-pt shot from 25 ft
1:27.0,Defensive rebound by W. Barton,,91-94,,
1:20.0,W. Barton misses 3-pt shot from 24 ft,,91-94,,
1:19.0,,,91-94,,Defensive rebound by T. Frazier
1:15.0,,,91-94,,Shooting foul by G. Harris (drawn by L. Babbitt)
1:15.0,,,91-95,1,L. Babbitt makes free throw 1 of 2
1:15.0,,,91-96,1,L. Babbitt makes free throw 2 of 2
1:15.0,Denver full timeout,,91-96,,
1:05.0,E. Mudiay misses 3-pt shot from 25 ft,,91-96,,
1:05.0,,,91-96,,Defensive rebound by Team
0:53.0,,,91-96,,J. Ennis misses 2-pt shot from 2 ft (block by W. Barton)
0:52.0,,,91-96,,Offensive rebound by T. Frazier
0:45.0,,,91-99,3,T. Frazier makes 3-pt shot from 25 ft
0:35.0,G. Harris makes 2-pt shot from 1 ft (assist by E. Mudiay),2,93-99,,
0:28.0,,,93-99,,Turnover by T. Frazier (lost ball; steal by W. Barton)
0:26.0,,,93-99,,Personal foul by T. Frazier
