time,Portland,pts.away,score,pts.home,New York
2:31.0,,,20-22,,J. Grant enters the game for R. Lopez
2:31.0,,,20-22,,K. O'Quinn enters the game for J. Calderon
2:31.0,,,20-23,1,D. Williams makes free throw 1 of 1
2:11.0,Turnover by D. Lillard (lost ball; steal by J. Grant),,20-23,,
2:05.0,Personal foul by M. Leonard (drawn by K. O'Quinn),,20-23,,
1:54.0,,,20-23,,D. Williams misses 2-pt shot from 20 ft
1:52.0,Defensive rebound by E. Davis,,20-23,,
1:46.0,G. Henderson misses 2-pt shot from 16 ft,,20-23,,
1:44.0,,,20-23,,Defensive rebound by K. O'Quinn
1:27.0,,,20-23,,C. Anthony misses 2-pt shot from 10 ft
1:25.0,,,20-23,,Offensive rebound by D. Williams
1:18.0,,,20-23,,C. Anthony misses 2-pt shot from 19 ft
1:16.0,Defensive rebound by M. Leonard,,20-23,,
1:08.0,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard),3,23-23,,
0:55.0,,,23-23,,D. Williams misses 2-pt shot from 2 ft (block by M. Leonard)
0:53.0,Defensive rebound by E. Davis,,23-23,,
0:32.0,Shooting foul by C. Anthony (drawn by D. Lillard),,23-23,,
0:32.0,D. Lillard makes free throw 1 of 2,1,24-23,,
0:32.0,D. Lillard makes free throw 2 of 2,1,25-23,,
0:15.0,,,25-23,,K. O'Quinn misses 2-pt shot from 13 ft
0:14.0,,,25-23,,Offensive rebound by C. Anthony
0:14.0,,,25-25,2,C. Anthony makes 2-pt shot from 2 ft
0:00.0,D. Lillard makes 2-pt shot at rim,2,27-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,27-25,,L. Thomas misses 2-pt shot at rim
11:42.0,Defensive rebound by M. Leonard,,27-25,,
11:31.0,C. McCollum makes 2-pt shot from 1 ft,2,29-25,,
11:14.0,,,29-27,2,L. Thomas makes 2-pt shot from 18 ft (assist by K. O'Quinn)
11:02.0,G. Henderson makes 2-pt shot from 1 ft,2,31-27,,
10:50.0,Personal foul by M. Leonard (drawn by K. O'Quinn),,31-27,,
10:50.0,,,31-27,,A. Afflalo enters the game for J. Grant
10:40.0,,,31-27,,Shooting foul by M. Leonard (drawn by D. Williams)
10:40.0,,,31-27,,D. Williams misses free throw 1 of 2
10:40.0,,,31-27,,Offensive rebound by Team
10:40.0,M. Harkless enters the game for M. Leonard,,31-27,,
10:40.0,,,31-27,,D. Williams misses free throw 2 of 2
10:39.0,Defensive rebound by G. Henderson,,31-27,,
10:20.0,Turnover by A. Crabbe (bad pass),,31-27,,
10:05.0,,,31-27,,L. Galloway misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by G. Henderson,,31-27,,
9:51.0,C. McCollum misses 2-pt shot from 16 ft,,31-27,,
9:49.0,,,31-27,,Defensive rebound by A. Afflalo
9:28.0,,,31-29,2,K. O'Quinn makes 2-pt shot from 20 ft (assist by D. Williams)
9:12.0,A. Crabbe misses 3-pt shot from 24 ft,,31-29,,
9:10.0,,,31-29,,Defensive rebound by D. Williams
8:59.0,,,31-29,,Turnover by K. O'Quinn (bad pass; steal by G. Henderson)
8:52.0,C. McCollum misses 3-pt shot from 23 ft,,31-29,,
8:50.0,,,31-29,,Defensive rebound by L. Thomas
8:45.0,,,31-29,,L. Galloway misses 2-pt shot from 3 ft
8:43.0,Defensive rebound by E. Davis,,31-29,,
8:28.0,G. Henderson makes 2-pt shot from 17 ft (assist by M. Harkless),2,33-29,,
8:10.0,,,33-29,,D. Williams misses 2-pt shot from 1 ft (block by E. Davis)
8:08.0,,,33-29,,Offensive rebound by D. Williams
8:07.0,,,33-31,2,D. Williams makes 2-pt shot from 1 ft
7:52.0,G. Henderson misses 3-pt shot from 23 ft,,33-31,,
7:50.0,,,33-31,,Defensive rebound by K. O'Quinn
7:42.0,,,33-34,3,K. O'Quinn makes 3-pt shot from 24 ft (assist by A. Afflalo)
7:23.0,C. McCollum misses 2-pt shot from 18 ft,,33-34,,
7:22.0,,,33-34,,Defensive rebound by K. O'Quinn
7:14.0,,,33-36,2,A. Afflalo makes 2-pt shot from 8 ft
7:13.0,Portland full timeout,,33-36,,
7:13.0,,,33-36,,J. Calderon enters the game for L. Galloway
6:58.0,G. Henderson misses 2-pt shot from 9 ft,,33-36,,
6:56.0,,,33-36,,Defensive rebound by D. Williams
6:42.0,,,33-36,,Turnover by K. O'Quinn (bad pass; steal by G. Henderson)
6:37.0,M. Harkless makes 2-pt shot from 1 ft (assist by C. McCollum),2,35-36,,
6:09.0,,,35-36,,L. Thomas misses 2-pt shot from 9 ft
6:07.0,Defensive rebound by Team,,35-36,,
6:07.0,,,35-36,,Loose ball foul by K. O'Quinn (drawn by E. Davis)
6:07.0,,,35-36,,R. Lopez enters the game for K. O'Quinn
6:07.0,,,35-36,,K. Porzingis enters the game for D. Williams
6:07.0,,,35-36,,C. Anthony enters the game for L. Thomas
6:07.0,M. Plumlee enters the game for G. Henderson,,35-36,,
5:52.0,A. Crabbe misses 3-pt shot from 24 ft,,35-36,,
5:50.0,Offensive rebound by E. Davis,,35-36,,
5:48.0,E. Davis makes 2-pt shot from 1 ft,2,37-36,,
5:32.0,,,37-36,,K. Porzingis misses 2-pt shot from 6 ft
5:31.0,Defensive rebound by A. Crabbe,,37-36,,
5:21.0,M. Harkless makes 3-pt shot from 24 ft (assist by M. Plumlee),3,40-36,,
5:11.0,,,40-38,2,C. Anthony makes 2-pt shot from 16 ft
4:58.0,M. Harkless misses 3-pt shot from 24 ft,,40-38,,
4:56.0,,,40-38,,Defensive rebound by K. Porzingis
4:47.0,,,40-41,3,K. Porzingis makes 3-pt shot from 24 ft (assist by J. Calderon)
4:36.0,M. Plumlee misses 2-pt shot from 3 ft,,40-41,,
4:34.0,Offensive rebound by E. Davis,,40-41,,
4:32.0,E. Davis makes 2-pt shot at rim,2,42-41,,
4:25.0,,,42-41,,Turnover by R. Lopez (offensive foul)
4:25.0,,,42-41,,Offensive foul by R. Lopez
4:25.0,Official timeout,,42-41,,
4:25.0,D. Lillard enters the game for C. McCollum,,42-41,,
4:25.0,G. Henderson enters the game for A. Crabbe,,42-41,,
4:06.0,D. Lillard makes 2-pt shot from 20 ft (assist by M. Harkless),2,44-41,,
3:52.0,,,44-41,,K. Porzingis misses 2-pt shot from 1 ft
3:50.0,Defensive rebound by D. Lillard,,44-41,,
3:44.0,D. Lillard makes 3-pt shot from 25 ft,3,47-41,,
3:28.0,,,47-43,2,C. Anthony makes 2-pt shot from 2 ft (assist by R. Lopez)
3:19.0,D. Lillard makes 3-pt shot from 24 ft,3,50-43,,
3:10.0,,,50-43,,New York full timeout
2:52.0,,,50-45,2,C. Anthony makes 2-pt shot from 1 ft
2:35.0,Shooting foul by J. Calderon (drawn by D. Lillard),,50-45,,
2:35.0,D. Lillard makes free throw 1 of 3,1,51-45,,
2:35.0,D. Lillard makes free throw 2 of 3,1,52-45,,
2:35.0,D. Lillard makes free throw 3 of 3,1,53-45,,
2:21.0,,,53-45,,Shooting foul by E. Davis (drawn by C. Anthony)
2:21.0,,,53-46,1,C. Anthony makes free throw 1 of 2
2:21.0,,,53-46,,L. Galloway enters the game for J. Calderon
2:21.0,,,53-46,,K. O'Quinn enters the game for R. Lopez
2:21.0,,,53-47,1,C. Anthony makes free throw 2 of 2
2:06.0,Turnover by E. Davis (bad pass; steal by C. Anthony),,53-47,,
2:00.0,,,53-50,3,A. Afflalo makes 3-pt shot from 25 ft (assist by C. Anthony)
1:40.0,E. Davis makes 2-pt shot from 2 ft (assist by D. Lillard),2,55-50,,
1:30.0,,,55-50,,C. Anthony misses 2-pt shot from 14 ft
1:29.0,Defensive rebound by G. Henderson,,55-50,,
1:21.0,D. Lillard makes 3-pt shot from 23 ft,3,58-50,,
1:00.0,,,58-50,,L. Galloway misses 3-pt shot from 23 ft
0:58.0,Defensive rebound by G. Henderson,,58-50,,
0:48.0,,,58-50,,Personal foul by L. Galloway (drawn by D. Lillard)
0:48.0,C. McCollum enters the game for G. Henderson,,58-50,,
0:48.0,M. Leonard enters the game for M. Plumlee,,58-50,,
0:36.0,D. Lillard misses 3-pt shot from 25 ft,,58-50,,
0:34.0,,,58-50,,Defensive rebound by Team
0:34.0,M. Plumlee enters the game for M. Leonard,,58-50,,
0:15.0,,,58-50,,K. O'Quinn misses 2-pt shot from 1 ft (block by M. Plumlee)
0:14.0,Defensive rebound by Team,,58-50,,
0:14.0,M. Leonard enters the game for M. Plumlee,,58-50,,
0:14.0,A. Crabbe enters the game for E. Davis,,58-50,,
0:14.0,G. Henderson enters the game for M. Harkless,,58-50,,
0:14.0,,,58-50,,L. Thomas enters the game for K. O'Quinn
0:14.0,,,58-50,,S. Vujacic enters the game for C. Anthony
0:03.0,D. Lillard misses 2-pt shot from 1 ft (block by K. Porzingis),,58-50,,
0:01.0,,,58-50,,Defensive rebound by K. Porzingis
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,Personal foul by A. Aminu (drawn by C. Anthony),,58-50,,
11:28.0,,,58-50,,Turnover by J. Calderon (lost ball; steal by A. Aminu)
11:23.0,A. Aminu makes 2-pt shot at rim,2,60-50,,
11:08.0,,,60-52,2,C. Anthony makes 2-pt shot from 16 ft
10:46.0,N. Vonleh misses 2-pt shot from 22 ft,,60-52,,
10:45.0,,,60-52,,Defensive rebound by C. Anthony
10:41.0,,,60-52,,Offensive foul by K. Porzingis
10:41.0,,,60-52,,Turnover by K. Porzingis (offensive foul)
10:30.0,D. Lillard misses 2-pt shot from 18 ft,,60-52,,
10:28.0,,,60-52,,Defensive rebound by C. Anthony
10:17.0,,,60-54,2,R. Lopez makes 2-pt shot from 1 ft (assist by K. Porzingis)
9:59.0,C. McCollum makes 3-pt shot from 23 ft (assist by D. Lillard),3,63-54,,
9:32.0,,,63-56,2,K. Porzingis makes 2-pt shot from 7 ft
9:22.0,C. McCollum makes 2-pt shot from 1 ft,2,65-56,,
9:10.0,,,65-56,,J. Calderon misses 2-pt shot from 18 ft
9:08.0,Defensive rebound by A. Aminu,,65-56,,
9:01.0,C. McCollum makes 2-pt shot from 18 ft,2,67-56,,
9:00.0,,,67-56,,New York full timeout
8:41.0,,,67-59,3,J. Calderon makes 3-pt shot from 24 ft (assist by C. Anthony)
8:21.0,C. McCollum misses 2-pt shot from 18 ft,,67-59,,
8:20.0,Offensive rebound by N. Vonleh,,67-59,,
8:18.0,N. Vonleh misses 2-pt shot from 1 ft (block by K. Porzingis),,67-59,,
8:16.0,,,67-59,,Defensive rebound by K. Porzingis
8:08.0,,,67-59,,Turnover by J. Calderon (bad pass; steal by M. Plumlee)
7:45.0,D. Lillard misses 2-pt shot from 15 ft,,67-59,,
7:43.0,,,67-59,,Defensive rebound by C. Anthony
7:42.0,Personal foul by D. Lillard (drawn by C. Anthony),,67-59,,
7:42.0,,,67-59,,Technical foul by R. Lopez
7:42.0,D. Lillard makes technical free throw,1,68-59,,
7:33.0,Personal foul by N. Vonleh (drawn by K. Porzingis),,68-59,,
7:24.0,Personal foul by N. Vonleh (drawn by A. Afflalo),,68-59,,
7:16.0,,,68-59,,A. Afflalo misses 2-pt shot from 16 ft
7:14.0,Defensive rebound by M. Plumlee,,68-59,,
7:07.0,Turnover by A. Aminu (traveling),,68-59,,
6:53.0,,,68-61,2,C. Anthony makes 2-pt shot from 2 ft
6:35.0,C. McCollum makes 2-pt shot from 2 ft (assist by M. Plumlee),2,70-61,,
6:23.0,,,70-61,,J. Calderon misses 3-pt shot from 24 ft
6:21.0,Defensive rebound by A. Aminu,,70-61,,
6:16.0,M. Plumlee misses 2-pt shot from 2 ft,,70-61,,
6:14.0,,,70-61,,Defensive rebound by C. Anthony
6:07.0,,,70-61,,J. Calderon misses 3-pt shot from 24 ft
6:05.0,,,70-61,,Offensive rebound by R. Lopez
6:05.0,,,70-63,2,R. Lopez makes 2-pt shot from 1 ft
5:56.0,,,70-63,,Personal foul by R. Lopez (drawn by M. Plumlee)
5:56.0,,,70-63,,L. Galloway enters the game for J. Calderon
5:56.0,,,70-63,,K. O'Quinn enters the game for R. Lopez
5:50.0,N. Vonleh misses 2-pt shot from 21 ft,,70-63,,
5:48.0,,,70-63,,Defensive rebound by C. Anthony
5:44.0,Personal foul by N. Vonleh (drawn by K. Porzingis),,70-63,,
5:44.0,,,70-64,1,K. Porzingis makes free throw 1 of 2
5:44.0,M. Leonard enters the game for N. Vonleh,,70-64,,
5:44.0,A. Crabbe enters the game for C. McCollum,,70-64,,
5:44.0,,,70-64,,K. Porzingis misses free throw 2 of 2
5:43.0,Defensive rebound by M. Plumlee,,70-64,,
5:29.0,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard),3,73-64,,
5:16.0,,,73-64,,C. Anthony misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by A. Crabbe,,73-64,,
4:58.0,D. Lillard misses 3-pt shot from 24 ft,,73-64,,
4:56.0,,,73-64,,Defensive rebound by K. O'Quinn
4:48.0,,,73-64,,K. Porzingis misses 3-pt shot from 24 ft
4:47.0,Defensive rebound by M. Plumlee,,73-64,,
4:28.0,Shooting foul by L. Galloway (drawn by M. Plumlee),,73-64,,
4:28.0,M. Plumlee makes free throw 1 of 2,1,74-64,,
4:28.0,,,74-64,,L. Thomas enters the game for K. Porzingis
4:28.0,G. Henderson enters the game for A. Aminu,,74-64,,
4:28.0,M. Plumlee makes free throw 2 of 2,1,75-64,,
4:14.0,,,75-64,,L. Thomas misses 2-pt shot from 8 ft
4:12.0,Defensive rebound by M. Plumlee,,75-64,,
4:04.0,A. Crabbe misses 3-pt shot from 24 ft,,75-64,,
4:02.0,,,75-64,,Defensive rebound by K. O'Quinn
3:48.0,,,75-66,2,C. Anthony makes 2-pt shot from 17 ft
3:30.0,D. Lillard misses 2-pt shot from 1 ft,,75-66,,
3:28.0,,,75-66,,Defensive rebound by C. Anthony
3:23.0,Personal foul by M. Leonard (drawn by K. O'Quinn),,75-66,,
3:23.0,,,75-66,,K. O'Quinn misses free throw 1 of 2
3:23.0,,,75-66,,Offensive rebound by Team
3:23.0,E. Davis enters the game for M. Plumlee,,75-66,,
3:23.0,,,75-67,1,K. O'Quinn makes free throw 2 of 2
3:09.0,G. Henderson misses 2-pt shot from 18 ft,,75-67,,
3:07.0,,,75-67,,Defensive rebound by C. Anthony
2:51.0,,,75-67,,L. Thomas misses 2-pt shot from 17 ft
2:49.0,Defensive rebound by G. Henderson,,75-67,,
2:37.0,M. Leonard makes 3-pt shot from 24 ft (assist by A. Crabbe),3,78-67,,
2:36.0,,,78-67,,New York full timeout
2:36.0,Portland full timeout,,78-67,,
2:36.0,C. McCollum enters the game for D. Lillard,,78-67,,
2:36.0,,,78-67,,S. Vujacic enters the game for A. Afflalo
2:19.0,,,78-67,,K. O'Quinn misses 2-pt shot from 8 ft
2:17.0,,,78-67,,Offensive rebound by C. Anthony
2:17.0,,,78-69,2,C. Anthony makes 2-pt shot from 2 ft
1:52.0,C. McCollum misses 2-pt shot from 1 ft,,78-69,,
1:50.0,,,78-69,,Defensive rebound by L. Thomas
1:42.0,,,78-72,3,L. Thomas makes 3-pt shot from 24 ft (assist by C. Anthony)
1:24.0,,,78-72,,Personal foul by C. Anthony (drawn by C. McCollum)
1:24.0,,,78-72,,D. Williams enters the game for C. Anthony
1:19.0,C. McCollum makes 2-pt shot from 14 ft (assist by E. Davis),2,80-72,,
0:56.0,,,80-72,,L. Galloway misses 3-pt shot from 24 ft
0:54.0,Defensive rebound by M. Leonard,,80-72,,
0:41.0,A. Crabbe makes 3-pt shot from 22 ft (assist by C. McCollum),3,83-72,,
0:35.0,,,83-72,,S. Vujacic misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by E. Davis,,83-72,,
0:23.0,C. McCollum makes 2-pt shot from 7 ft,2,85-72,,
0:02.0,,,85-72,,L. Thomas misses 3-pt shot from 23 ft
0:01.0,Defensive rebound by M. Leonard,,85-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Shooting foul by K. O'Quinn (drawn by G. Henderson),,85-72,,
11:46.0,G. Henderson makes free throw 1 of 2,1,86-72,,
11:46.0,G. Henderson makes free throw 2 of 2,1,87-72,,
11:30.0,,,87-72,,L. Galloway misses 2-pt shot from 1 ft
11:28.0,Defensive rebound by M. Leonard,,87-72,,
11:14.0,A. Crabbe misses 3-pt shot from 24 ft,,87-72,,
11:12.0,,,87-72,,Defensive rebound by L. Galloway
11:06.0,,,87-72,,D. Williams misses 2-pt shot from 1 ft
11:04.0,Defensive rebound by M. Leonard,,87-72,,
10:54.0,Turnover by E. Davis (lost ball; steal by D. Williams),,87-72,,
10:32.0,,,87-72,,K. O'Quinn misses 2-pt shot from 5 ft
10:30.0,Defensive rebound by C. McCollum,,87-72,,
10:11.0,Shooting foul by L. Galloway (drawn by C. McCollum),,87-72,,
10:11.0,C. McCollum makes free throw 1 of 3,1,88-72,,
10:11.0,C. McCollum makes free throw 2 of 3,1,89-72,,
10:11.0,,,89-72,,K. Porzingis enters the game for K. O'Quinn
10:11.0,,,89-72,,C. Anthony enters the game for D. Williams
10:11.0,C. McCollum makes free throw 3 of 3,1,90-72,,
10:01.0,,,90-72,,L. Galloway misses 2-pt shot from 18 ft
9:59.0,Defensive rebound by E. Davis,,90-72,,
9:53.0,G. Henderson misses 2-pt shot from 10 ft,,90-72,,
9:51.0,,,90-72,,Defensive rebound by K. Porzingis
9:33.0,,,90-72,,L. Thomas misses 2-pt shot from 2 ft
9:31.0,Defensive rebound by M. Leonard,,90-72,,
9:26.0,C. McCollum misses 2-pt shot from 17 ft,,90-72,,
9:25.0,Offensive rebound by Team,,90-72,,
9:25.0,,,90-72,,Loose ball foul by K. Porzingis (drawn by E. Davis)
9:19.0,A. Crabbe misses 2-pt shot from 21 ft,,90-72,,
9:17.0,,,90-72,,Defensive rebound by L. Galloway
9:10.0,Personal foul by E. Davis (drawn by L. Thomas),,90-72,,
9:10.0,,,90-72,,J. Calderon enters the game for L. Galloway
9:10.0,D. Lillard enters the game for A. Crabbe,,90-72,,
8:58.0,,,90-72,,K. Porzingis misses 2-pt shot from 21 ft
8:57.0,Defensive rebound by E. Davis,,90-72,,
8:42.0,G. Henderson misses 2-pt shot from 2 ft (block by K. Porzingis),,90-72,,
8:41.0,,,90-72,,Defensive rebound by Team
8:41.0,Official timeout,,90-72,,
8:27.0,,,90-74,2,A. Afflalo makes 2-pt shot from 3 ft (assist by C. Anthony)
8:04.0,C. McCollum makes 2-pt shot from 12 ft,2,92-74,,
7:50.0,,,92-74,,C. Anthony misses 3-pt shot from 24 ft
7:49.0,Defensive rebound by E. Davis,,92-74,,
7:48.0,,,92-74,,Personal foul by K. Porzingis (drawn by E. Davis)
7:31.0,Shooting foul by K. Porzingis (drawn by E. Davis),,92-74,,
7:31.0,E. Davis misses free throw 1 of 2,,92-74,,
7:31.0,Offensive rebound by Team,,92-74,,
7:31.0,A. Aminu enters the game for G. Henderson,,92-74,,
7:31.0,E. Davis misses free throw 2 of 2,,92-74,,
7:30.0,,,92-74,,Defensive rebound by K. Porzingis
7:14.0,,,92-74,,K. Porzingis misses 2-pt shot from 5 ft
7:12.0,Defensive rebound by A. Aminu,,92-74,,
7:06.0,Shooting foul by K. Porzingis (drawn by D. Lillard),,92-74,,
7:06.0,D. Lillard makes free throw 1 of 2,1,93-74,,
7:06.0,,,93-74,,K. O'Quinn enters the game for K. Porzingis
7:06.0,M. Plumlee enters the game for E. Davis,,93-74,,
7:06.0,D. Lillard makes free throw 2 of 2,1,94-74,,
6:48.0,,,94-74,,C. Anthony misses 2-pt shot from 9 ft
6:46.0,Defensive rebound by M. Plumlee,,94-74,,
6:35.0,A. Aminu misses 3-pt shot from 23 ft,,94-74,,
6:34.0,,,94-74,,Defensive rebound by A. Afflalo
6:25.0,,,94-76,2,A. Afflalo makes 2-pt shot from 7 ft
5:57.0,A. Aminu misses 2-pt shot from 18 ft,,94-76,,
5:55.0,,,94-76,,Defensive rebound by C. Anthony
5:43.0,,,94-79,3,K. O'Quinn makes 3-pt shot from 24 ft (assist by J. Calderon)
5:19.0,M. Leonard misses 3-pt shot from 24 ft (block by C. Anthony),,94-79,,
5:17.0,,,94-79,,Defensive rebound by K. O'Quinn
5:06.0,,,94-79,,J. Calderon misses 3-pt shot from 24 ft
5:05.0,Defensive rebound by M. Plumlee,,94-79,,
4:49.0,D. Lillard misses 3-pt shot from 25 ft,,94-79,,
4:47.0,,,94-79,,Defensive rebound by K. O'Quinn
4:39.0,,,94-79,,J. Calderon misses 3-pt shot from 23 ft
4:37.0,Defensive rebound by M. Leonard,,94-79,,
4:14.0,C. McCollum makes 3-pt shot from 23 ft (assist by M. Leonard),3,97-79,,
4:13.0,,,97-79,,New York full timeout
4:13.0,,,97-79,,D. Williams enters the game for C. Anthony
4:13.0,,,97-79,,L. Galloway enters the game for A. Afflalo
4:13.0,,,97-79,,J. Grant enters the game for J. Calderon
4:03.0,,,97-79,,L. Galloway misses 2-pt shot from 16 ft
4:01.0,Defensive rebound by M. Leonard,,97-79,,
3:38.0,C. McCollum misses 2-pt shot from 19 ft,,97-79,,
3:37.0,Offensive rebound by M. Leonard,,97-79,,
3:35.0,M. Leonard misses 2-pt shot from 1 ft,,97-79,,
3:34.0,,,97-79,,Defensive rebound by K. O'Quinn
3:13.0,,,97-79,,Shooting foul by M. Plumlee (drawn by K. O'Quinn)
3:13.0,,,97-80,1,K. O'Quinn makes free throw 1 of 2
3:13.0,,,97-80,,J. Fredette enters the game for L. Galloway
3:13.0,,,97-81,1,K. O'Quinn makes free throw 2 of 2
