time,Orlando,pts.away,score,pts.home,Washington
6:37.0,E. Payton misses 2-pt shot from 2 ft,,9-6,,
6:36.0,,,9-6,,Defensive rebound by M. Gortat
6:30.0,,,9-6,,J. Dudley misses 3-pt shot from 26 ft
6:28.0,,,9-6,,Offensive rebound by O. Porter
6:28.0,,,9-6,,O. Porter misses 2-pt shot from 1 ft
6:28.0,Defensive rebound by Team,,9-6,,
6:12.0,,,9-6,,R. Sessions enters the game for J. Wall
6:06.0,C. Frye misses 3-pt shot from 25 ft,,9-6,,
6:05.0,,,9-6,,Defensive rebound by R. Sessions
5:57.0,,,9-8,2,R. Sessions makes 2-pt shot from 5 ft
5:44.0,E. Fournier misses 2-pt shot from 3 ft (block by O. Porter),,9-8,,
5:42.0,,,9-8,,Defensive rebound by O. Porter
5:37.0,,,9-10,2,O. Porter makes 2-pt shot from 1 ft (assist by R. Sessions)
5:29.0,Orlando full timeout,,9-10,,
5:20.0,T. Harris misses 2-pt shot from 8 ft,,9-10,,
5:19.0,Offensive rebound by C. Frye,,9-10,,
5:18.0,C. Frye misses 2-pt shot from 1 ft,,9-10,,
5:17.0,,,9-10,,Defensive rebound by R. Sessions
5:15.0,,,9-12,2,R. Sessions makes 2-pt shot from 1 ft
5:06.0,Shooting foul by M. Gortat (drawn by T. Harris),,9-12,,
5:06.0,T. Harris makes free throw 1 of 2,1,10-12,,
5:06.0,T. Harris makes free throw 2 of 2,1,11-12,,
4:44.0,,,11-12,,R. Sessions misses 2-pt shot from 16 ft
4:43.0,Defensive rebound by T. Harris,,11-12,,
4:24.0,E. Payton misses 2-pt shot from 19 ft,,11-12,,
4:23.0,,,11-12,,Defensive rebound by M. Gortat
4:19.0,Shooting block foul by E. Fournier (drawn by G. Temple),,11-12,,
4:19.0,,,11-13,1,G. Temple makes free throw 1 of 2
4:19.0,J. Smith enters the game for N. Vucevic,,11-13,,
4:19.0,V. Oladipo enters the game for E. Fournier,,11-13,,
4:19.0,,,11-14,1,G. Temple makes free throw 2 of 2
4:04.0,Turnover by T. Harris (lost ball; steal by O. Porter),,11-14,,
4:00.0,,,11-16,2,R. Sessions makes 2-pt shot at rim (assist by O. Porter)
3:48.0,J. Smith makes 2-pt shot from 2 ft (assist by E. Payton),2,13-16,,
3:36.0,,,13-18,2,O. Porter makes 2-pt shot from 15 ft
3:25.0,Turnover by E. Payton (bad pass; steal by O. Porter),,13-18,,
3:20.0,,,13-20,2,G. Temple makes 2-pt shot from 1 ft (assist by O. Porter)
3:04.0,J. Smith makes 2-pt shot from 16 ft (assist by V. Oladipo),2,15-20,,
2:57.0,Personal foul by V. Oladipo (drawn by G. Temple),,15-20,,
2:57.0,,,15-20,,Washington full timeout
2:57.0,A. Gordon enters the game for T. Harris,,15-20,,
2:57.0,A. Nicholson enters the game for C. Frye,,15-20,,
2:57.0,M. Hezonja enters the game for E. Payton,,15-20,,
2:57.0,,,15-20,,J. Wall enters the game for O. Porter
2:50.0,,,15-22,2,M. Gortat makes 2-pt shot from 16 ft (assist by J. Wall)
2:35.0,J. Smith makes 2-pt shot from 20 ft (assist by A. Gordon),2,17-22,,
2:20.0,,,17-22,,J. Dudley misses 2-pt shot from 17 ft
2:18.0,,,17-22,,Offensive rebound by M. Gortat
2:17.0,,,17-24,2,M. Gortat makes 2-pt shot at rim
2:07.0,J. Smith misses 2-pt shot from 20 ft,,17-24,,
2:06.0,,,17-24,,Defensive rebound by J. Dudley
1:52.0,,,17-24,,G. Temple misses 2-pt shot from 1 ft
1:52.0,Defensive rebound by J. Smith,,17-24,,
1:52.0,,,17-24,,K. Humphries enters the game for M. Gortat
1:52.0,,,17-24,,D. Gooden enters the game for J. Dudley
1:29.0,A. Gordon misses 2-pt shot from 4 ft (block by D. Gooden),,17-24,,
1:29.0,Offensive rebound by Team,,17-24,,
1:29.0,Turnover by Team (shot clock),,17-24,,
1:19.0,,,17-24,,J. Wall misses 2-pt shot from 17 ft
1:18.0,Defensive rebound by A. Gordon,,17-24,,
1:08.0,,,17-24,,Personal foul by D. Gooden (drawn by A. Gordon)
0:58.0,A. Nicholson makes 2-pt shot from 7 ft,2,19-24,,
0:49.0,,,19-24,,K. Humphries misses 3-pt shot from 26 ft
0:48.0,Defensive rebound by A. Gordon,,19-24,,
0:39.0,,,19-24,,Personal foul by D. Gooden (drawn by A. Nicholson)
0:39.0,A. Nicholson makes free throw 1 of 2,1,20-24,,
0:39.0,A. Nicholson makes free throw 2 of 2,1,21-24,,
0:32.0,,,21-24,,J. Wall misses 2-pt shot from 17 ft
0:30.0,Defensive rebound by A. Gordon,,21-24,,
0:11.0,V. Oladipo misses 2-pt shot from 3 ft (block by K. Humphries),,21-24,,
0:09.0,,,21-24,,Defensive rebound by D. Gooden
0:02.0,,,21-24,,Turnover by J. Wall (bad pass)
0:01.0,V. Oladipo misses 3-pt shot from 56 ft,,21-24,,
0:00.0,,,21-24,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,21-24,,Shooting foul by M. Hezonja (drawn by R. Sessions)
11:42.0,,,21-24,,R. Sessions misses free throw 1 of 2
11:42.0,,,21-24,,Offensive rebound by Team
11:42.0,,,21-25,1,R. Sessions makes free throw 2 of 2
11:29.0,Turnover by J. Smith (traveling),,21-25,,
11:14.0,,,21-25,,Turnover by R. Sessions (bad pass)
11:03.0,,,21-25,,Personal block foul by D. Gooden (drawn by M. Hezonja)
11:03.0,,,21-25,,J. Dudley enters the game for D. Gooden
10:57.0,V. Oladipo makes 2-pt shot from 18 ft,2,23-25,,
10:42.0,,,23-25,,J. Dudley misses 3-pt shot from 23 ft
10:41.0,Defensive rebound by A. Gordon,,23-25,,
10:29.0,A. Gordon misses 3-pt shot from 27 ft,,23-25,,
10:28.0,,,23-25,,Defensive rebound by O. Porter
10:12.0,,,23-25,,J. Wall misses 2-pt shot from 2 ft
10:11.0,Defensive rebound by M. Hezonja,,23-25,,
9:56.0,A. Nicholson makes 2-pt shot from 6 ft (assist by J. Smith),2,25-25,,
9:34.0,,,25-25,,O. Porter misses 2-pt shot from 1 ft
9:33.0,,,25-25,,Offensive rebound by J. Dudley
9:31.0,,,25-25,,J. Dudley misses 2-pt shot from 1 ft
9:31.0,Defensive rebound by J. Smith,,25-25,,
9:27.0,V. Oladipo makes 2-pt shot from 17 ft (assist by J. Smith),2,27-25,,
9:20.0,,,27-25,,Washington full timeout
9:20.0,,,27-25,,M. Gortat enters the game for K. Humphries
9:14.0,,,27-25,,Turnover by M. Gortat (bad pass; steal by V. Oladipo)
8:59.0,A. Nicholson misses 3-pt shot from 25 ft,,27-25,,
8:58.0,Offensive rebound by A. Gordon,,27-25,,
8:40.0,V. Oladipo makes 2-pt shot from 17 ft,2,29-25,,
8:29.0,,,29-25,,R. Sessions misses 2-pt shot from 8 ft (block by J. Smith)
8:28.0,,,29-25,,Offensive rebound by R. Sessions
8:26.0,,,29-25,,J. Dudley misses 3-pt shot from 27 ft
8:24.0,,,29-25,,Offensive rebound by M. Gortat
8:18.0,,,29-25,,Turnover by O. Porter (lost ball; steal by V. Oladipo)
8:13.0,V. Oladipo misses 2-pt shot from 5 ft (block by J. Wall),,29-25,,
8:11.0,,,29-25,,Defensive rebound by J. Wall
8:08.0,,,29-27,2,J. Wall makes 2-pt shot from 13 ft
7:44.0,A. Nicholson makes 2-pt shot from 4 ft (assist by V. Oladipo),2,31-27,,
7:26.0,,,31-27,,M. Gortat misses 2-pt shot from 10 ft
7:26.0,Defensive rebound by A. Nicholson,,31-27,,
7:04.0,J. Smith misses 2-pt shot from 3 ft,,31-27,,
7:03.0,,,31-27,,Defensive rebound by O. Porter
6:54.0,,,31-30,3,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall)
6:34.0,J. Smith makes 2-pt shot from 21 ft (assist by M. Hezonja),2,33-30,,
6:15.0,,,33-32,2,O. Porter makes 2-pt shot from 15 ft
5:59.0,Turnover by M. Hezonja (bad pass; steal by J. Wall),,33-32,,
5:55.0,,,33-34,2,J. Wall makes 2-pt shot at rim
5:43.0,Orlando full timeout,,33-34,,
5:43.0,,,33-34,,K. Oubre enters the game for R. Sessions
5:43.0,E. Fournier enters the game for J. Smith,,33-34,,
5:43.0,T. Harris enters the game for V. Oladipo,,33-34,,
5:43.0,C. Frye enters the game for A. Gordon,,33-34,,
5:43.0,E. Payton enters the game for M. Hezonja,,33-34,,
5:43.0,N. Vucevic enters the game for A. Nicholson,,33-34,,
5:23.0,E. Payton misses 2-pt shot from 19 ft,,33-34,,
5:22.0,,,33-34,,Defensive rebound by K. Oubre
5:05.0,,,33-34,,K. Oubre misses 2-pt shot from 1 ft
5:04.0,,,33-34,,Offensive rebound by O. Porter
5:01.0,,,33-37,3,O. Porter makes 3-pt shot from 26 ft
4:35.0,N. Vucevic misses 2-pt shot from 10 ft,,33-37,,
4:34.0,,,33-37,,Defensive rebound by K. Oubre
4:26.0,,,33-37,,J. Wall misses 3-pt shot from 26 ft
4:25.0,Defensive rebound by Team,,33-37,,
4:02.0,N. Vucevic makes 2-pt shot from 13 ft (assist by C. Frye),2,35-37,,
3:35.0,,,35-39,2,J. Wall makes 2-pt shot at rim (assist by M. Gortat)
3:14.0,E. Fournier misses 3-pt shot from 23 ft,,35-39,,
3:13.0,Offensive rebound by C. Frye,,35-39,,
3:10.0,E. Fournier makes 2-pt shot from 3 ft (assist by C. Frye),2,37-39,,
2:47.0,,,37-39,,J. Wall misses 2-pt shot from 15 ft
2:46.0,,,37-39,,Offensive rebound by M. Gortat
2:35.0,,,37-39,,O. Porter misses 3-pt shot from 27 ft
2:34.0,,,37-39,,Offensive rebound by M. Gortat
2:33.0,,,37-39,,M. Gortat misses 2-pt shot at rim
2:32.0,,,37-39,,Offensive rebound by J. Wall
2:30.0,,,37-39,,Shooting foul by N. Vucevic (drawn by J. Wall)
2:30.0,Official timeout,,37-39,,
2:30.0,,,37-39,,G. Temple enters the game for J. Dudley
2:30.0,,,37-40,1,J. Wall makes free throw 1 of 2
2:30.0,,,37-41,1,J. Wall makes free throw 2 of 2
2:18.0,Offensive foul by E. Fournier,,37-41,,
2:18.0,Turnover by E. Fournier (offensive foul),,37-41,,
2:18.0,V. Oladipo enters the game for E. Fournier,,37-41,,
2:04.0,,,37-41,,O. Porter misses 3-pt shot from 26 ft
2:03.0,Defensive rebound by N. Vucevic,,37-41,,
1:55.0,,,37-41,,Personal foul by O. Porter (drawn by C. Frye)
1:55.0,A. Gordon enters the game for C. Frye,,37-41,,
1:48.0,E. Payton misses 2-pt shot from 7 ft,,37-41,,
1:47.0,,,37-41,,Defensive rebound by M. Gortat
1:35.0,,,37-41,,J. Wall misses 3-pt shot from 25 ft
1:34.0,,,37-41,,Offensive rebound by K. Oubre
1:33.0,,,37-43,2,K. Oubre makes 2-pt shot at rim
1:09.0,N. Vucevic misses 2-pt shot from 1 ft,,37-43,,
1:08.0,,,37-43,,Defensive rebound by O. Porter
1:04.0,,,37-43,,Turnover by J. Wall (bad pass; steal by E. Payton)
1:00.0,T. Harris makes 2-pt shot from 1 ft (assist by E. Payton),2,39-43,,
1:00.0,Shooting foul by G. Temple (drawn by T. Harris),,39-43,,
1:00.0,T. Harris misses free throw 1 of 1,,39-43,,
0:58.0,,,39-43,,Defensive rebound by O. Porter
0:47.0,,,39-43,,Turnover by J. Wall (bad pass; steal by V. Oladipo)
0:41.0,T. Harris misses 2-pt shot at rim,,39-43,,
0:41.0,Offensive rebound by A. Gordon,,39-43,,
0:41.0,A. Gordon makes 2-pt shot from 1 ft,2,41-43,,
0:34.0,,,41-45,2,G. Temple makes 2-pt shot from 2 ft
0:30.0,V. Oladipo makes 2-pt shot from 17 ft,2,43-45,,
0:10.0,,,43-48,3,K. Oubre makes 3-pt shot from 25 ft (assist by J. Wall)
0:01.0,N. Vucevic misses 2-pt shot from 19 ft,,43-48,,
0:00.0,,,43-48,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,43-48,,J. Dudley misses 2-pt shot from 21 ft
11:43.0,Defensive rebound by T. Harris,,43-48,,
11:20.0,Turnover by E. Payton (lost ball; steal by G. Temple),,43-48,,
11:15.0,,,43-50,2,G. Temple makes 2-pt shot from 1 ft
10:53.0,E. Payton misses 3-pt shot from 23 ft,,43-50,,
10:52.0,,,43-50,,Defensive rebound by M. Gortat
10:46.0,,,43-52,2,J. Dudley makes 2-pt shot from 19 ft (assist by J. Wall)
10:22.0,Turnover by N. Vucevic (lost ball; steal by J. Wall),,43-52,,
10:10.0,,,43-52,,O. Porter misses 3-pt shot from 22 ft
10:09.0,Defensive rebound by T. Harris,,43-52,,
10:03.0,Offensive foul by E. Payton,,43-52,,
10:03.0,Turnover by E. Payton (offensive foul),,43-52,,
9:56.0,Personal foul by E. Payton (drawn by J. Wall),,43-52,,
9:47.0,,,43-55,3,G. Temple makes 3-pt shot from 26 ft (assist by J. Wall)
9:19.0,C. Frye makes 2-pt shot from 19 ft (assist by E. Fournier),2,45-55,,
9:13.0,,,45-55,,Turnover by J. Wall (bad pass; steal by N. Vucevic)
9:02.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,47-55,,
8:46.0,,,47-57,2,J. Dudley makes 2-pt shot from 16 ft (assist by G. Temple)
8:30.0,T. Harris makes 3-pt shot from 26 ft (assist by E. Payton),3,50-57,,
8:17.0,,,50-59,2,J. Wall makes 2-pt shot from 16 ft
8:06.0,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Payton),2,52-59,,
7:38.0,,,52-59,,O. Porter misses 2-pt shot from 4 ft
7:37.0,Defensive rebound by T. Harris,,52-59,,
7:21.0,E. Fournier makes 2-pt shot from 15 ft,2,54-59,,
7:17.0,Personal foul by E. Fournier (drawn by G. Temple),,54-59,,
7:17.0,V. Oladipo enters the game for E. Payton,,54-59,,
7:12.0,,,54-59,,G. Temple misses 2-pt shot from 17 ft
7:11.0,Defensive rebound by T. Harris,,54-59,,
6:52.0,V. Oladipo misses 3-pt shot from 28 ft,,54-59,,
6:51.0,,,54-59,,Defensive rebound by M. Gortat
6:40.0,,,54-62,3,J. Dudley makes 3-pt shot from 26 ft (assist by J. Wall)
6:16.0,V. Oladipo misses 2-pt shot from 6 ft,,54-62,,
6:16.0,Offensive rebound by N. Vucevic,,54-62,,
6:09.0,V. Oladipo misses 3-pt shot from 22 ft,,54-62,,
6:08.0,,,54-62,,Defensive rebound by J. Dudley
5:57.0,,,54-64,2,M. Gortat makes 2-pt shot from 6 ft (assist by J. Wall)
5:37.0,C. Frye makes 2-pt shot from 7 ft (assist by E. Fournier),2,56-64,,
5:28.0,,,56-64,,J. Wall misses 2-pt shot from 17 ft
5:27.0,Defensive rebound by C. Frye,,56-64,,
5:18.0,N. Vucevic makes 2-pt shot at rim,2,58-64,,
5:17.0,,,58-64,,Washington full timeout
5:01.0,,,58-64,,O. Porter misses 3-pt shot from 25 ft
5:00.0,,,58-64,,Offensive rebound by G. Temple
4:47.0,,,58-66,2,O. Porter makes 2-pt shot from 18 ft (assist by M. Gortat)
4:27.0,V. Oladipo misses 3-pt shot from 26 ft,,58-66,,
4:26.0,,,58-66,,Defensive rebound by J. Dudley
4:20.0,,,58-66,,J. Dudley misses 3-pt shot from 27 ft
4:17.0,Defensive rebound by C. Frye,,58-66,,
4:10.0,V. Oladipo makes 2-pt shot from 7 ft,2,60-66,,
3:51.0,,,60-66,,O. Porter misses 2-pt shot from 2 ft
3:50.0,Defensive rebound by C. Frye,,60-66,,
3:41.0,Turnover by V. Oladipo (bad pass; steal by M. Gortat),,60-66,,
3:30.0,,,60-66,,G. Temple misses 2-pt shot from 2 ft (block by N. Vucevic)
3:28.0,Defensive rebound by N. Vucevic,,60-66,,
3:12.0,V. Oladipo makes 3-pt shot from 28 ft (assist by T. Harris),3,63-66,,
3:07.0,Personal foul by E. Fournier (drawn by G. Temple),,63-66,,
3:07.0,A. Gordon enters the game for C. Frye,,63-66,,
3:07.0,,,63-66,,K. Oubre enters the game for O. Porter
3:07.0,,,63-66,,R. Sessions enters the game for J. Wall
2:51.0,,,63-69,3,R. Sessions makes 3-pt shot from 25 ft (assist by G. Temple)
2:32.0,E. Fournier makes 2-pt shot at rim,2,65-69,,
2:19.0,,,65-69,,Turnover by R. Sessions (lost ball; steal by V. Oladipo)
2:16.0,V. Oladipo makes 2-pt shot at rim,2,67-69,,
1:58.0,Orlando full timeout,,67-69,,
1:58.0,,,67-69,,D. Gooden enters the game for J. Dudley
1:58.0,,,67-69,,Violation by Team (delay of game)
1:50.0,,,67-69,,R. Sessions misses 2-pt shot from 11 ft
1:48.0,Defensive rebound by T. Harris,,67-69,,
1:35.0,E. Fournier makes 3-pt shot from 26 ft (assist by V. Oladipo),3,70-69,,
1:18.0,,,70-69,,D. Gooden misses 2-pt shot from 20 ft
1:17.0,Defensive rebound by V. Oladipo,,70-69,,
1:06.0,A. Gordon makes 2-pt shot from 1 ft (assist by N. Vucevic),2,72-69,,
1:06.0,Shooting foul by D. Gooden (drawn by A. Gordon),,72-69,,
1:06.0,M. Hezonja enters the game for E. Fournier,,72-69,,
1:06.0,A. Gordon misses free throw 1 of 1,,72-69,,
1:05.0,,,72-69,,Defensive rebound by R. Sessions
0:53.0,,,72-72,3,R. Sessions makes 3-pt shot from 28 ft (assist by G. Temple)
0:36.0,V. Oladipo misses 2-pt shot from 12 ft (block by M. Gortat),,72-72,,
0:34.0,Offensive rebound by Team,,72-72,,
0:34.0,,,72-72,,O. Porter enters the game for D. Gooden
0:31.0,N. Vucevic misses 3-pt shot from 28 ft,,72-72,,
0:30.0,,,72-72,,Defensive rebound by R. Sessions
0:21.0,,,72-72,,M. Gortat misses 2-pt shot from 5 ft
0:20.0,Defensive rebound by N. Vucevic,,72-72,,
0:01.0,N. Vucevic misses 2-pt shot from 9 ft,,72-72,,
0:00.0,Offensive rebound by T. Harris,,72-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,M. Hezonja misses 2-pt shot from 21 ft,,72-72,,
11:47.0,,,72-72,,Defensive rebound by Team
11:35.0,,,72-72,,O. Porter misses 3-pt shot from 25 ft
11:34.0,Defensive rebound by T. Harris,,72-72,,
11:26.0,Turnover by A. Gordon (lost ball; steal by O. Porter),,72-72,,
11:19.0,,,72-72,,M. Gortat misses 2-pt shot at rim
11:18.0,Defensive rebound by J. Smith,,72-72,,
11:05.0,T. Harris makes 2-pt shot from 17 ft (assist by M. Hezonja),2,74-72,,
10:47.0,,,74-72,,R. Sessions misses 2-pt shot from 6 ft (block by J. Smith)
10:45.0,,,74-72,,Offensive rebound by M. Gortat
10:40.0,,,74-72,,R. Sessions misses 3-pt shot from 27 ft
10:39.0,Defensive rebound by Team,,74-72,,
10:39.0,,,74-72,,K. Humphries enters the game for M. Gortat
10:28.0,,,74-72,,Personal foul by K. Humphries (drawn by V. Oladipo)
10:22.0,V. Oladipo misses 2-pt shot from 1 ft,,74-72,,
10:21.0,,,74-72,,Defensive rebound by O. Porter
10:16.0,,,74-72,,Shooting foul by T. Harris (drawn by K. Humphries)
10:16.0,,,74-73,1,K. Humphries makes free throw 1 of 2
10:16.0,,,74-74,1,K. Humphries makes free throw 2 of 2
10:03.0,M. Hezonja misses 2-pt shot from 22 ft,,74-74,,
10:02.0,,,74-74,,Defensive rebound by O. Porter
9:56.0,,,74-76,2,O. Porter makes 2-pt shot from 1 ft
9:37.0,J. Smith misses 2-pt shot from 16 ft,,74-76,,
9:36.0,,,74-76,,Defensive rebound by O. Porter
9:31.0,,,74-76,,O. Porter misses 2-pt shot from 2 ft (block by T. Harris)
9:31.0,Defensive rebound by Team,,74-76,,
9:20.0,,,74-76,,Personal foul by K. Humphries (drawn by V. Oladipo)
9:20.0,,,74-76,,J. Wall enters the game for G. Temple
9:05.0,J. Smith makes 2-pt shot from 1 ft (assist by T. Harris),2,76-76,,
8:47.0,,,76-78,2,K. Humphries makes 2-pt shot from 1 ft (assist by J. Wall)
8:24.0,V. Oladipo misses 2-pt shot at rim,,76-78,,
8:23.0,,,76-78,,Defensive rebound by K. Oubre
8:18.0,,,76-78,,Turnover by J. Wall (lost ball)
8:18.0,Official timeout,,76-78,,
8:18.0,,,76-78,,J. Dudley enters the game for O. Porter
8:18.0,E. Payton enters the game for M. Hezonja,,76-78,,
8:06.0,Turnover by J. Smith (bad pass; steal by K. Oubre),,76-78,,
8:01.0,,,76-78,,K. Oubre misses 2-pt shot from 1 ft
7:59.0,Defensive rebound by E. Payton,,76-78,,
7:56.0,T. Harris makes 2-pt shot from 2 ft (assist by A. Gordon),2,78-78,,
7:38.0,,,78-80,2,K. Humphries makes 2-pt shot from 16 ft (assist by J. Wall)
7:27.0,Offensive foul by J. Smith,,78-80,,
7:27.0,Turnover by J. Smith (offensive foul),,78-80,,
7:27.0,N. Vucevic enters the game for J. Smith,,78-80,,
7:10.0,,,78-82,2,K. Humphries makes 2-pt shot from 20 ft (assist by J. Wall)
6:49.0,T. Harris misses 3-pt shot from 24 ft,,78-82,,
6:48.0,,,78-82,,Defensive rebound by K. Humphries
6:39.0,Def 3 sec tech foul by A. Gordon,,78-82,,
6:39.0,,,78-83,1,J. Wall makes technical free throw
6:39.0,E. Fournier enters the game for T. Harris,,78-83,,
6:24.0,,,78-85,2,J. Wall makes 2-pt shot from 21 ft (assist by R. Sessions)
6:04.0,Turnover by N. Vucevic (bad pass; steal by J. Dudley),,78-85,,
5:52.0,,,78-85,,J. Wall misses 3-pt shot from 26 ft
5:51.0,Defensive rebound by E. Fournier,,78-85,,
5:42.0,V. Oladipo makes 3-pt shot from 28 ft (assist by N. Vucevic),3,81-85,,
5:31.0,,,81-88,3,K. Humphries makes 3-pt shot from 26 ft (assist by R. Sessions)
5:30.0,Orlando full timeout,,81-88,,
5:16.0,N. Vucevic misses 2-pt shot from 15 ft,,81-88,,
5:15.0,,,81-88,,Defensive rebound by K. Humphries
4:58.0,,,81-90,2,J. Wall makes 2-pt shot from 1 ft
4:58.0,Shooting block foul by V. Oladipo (drawn by J. Wall),,81-90,,
4:58.0,T. Harris enters the game for A. Gordon,,81-90,,
4:58.0,,,81-91,1,J. Wall makes free throw 1 of 1
4:44.0,E. Fournier misses 2-pt shot from 3 ft,,81-91,,
4:43.0,,,81-91,,Defensive rebound by K. Humphries
4:22.0,,,81-91,,K. Humphries misses 3-pt shot from 26 ft
4:21.0,Defensive rebound by Team,,81-91,,
4:21.0,,,81-91,,O. Porter enters the game for J. Dudley
4:10.0,Turnover by T. Harris (lost ball; steal by O. Porter),,81-91,,
3:58.0,Personal foul by V. Oladipo (drawn by J. Wall),,81-91,,
3:52.0,,,81-93,2,K. Oubre makes 2-pt shot at rim (assist by R. Sessions)
3:51.0,Orlando full timeout,,81-93,,
3:41.0,Shooting foul by K. Oubre (drawn by V. Oladipo),,81-93,,
3:41.0,V. Oladipo makes free throw 1 of 2,1,82-93,,
3:41.0,A. Gordon enters the game for E. Payton,,82-93,,
3:41.0,V. Oladipo makes free throw 2 of 2,1,83-93,,
3:24.0,,,83-95,2,J. Wall makes 2-pt shot from 18 ft
2:59.0,T. Harris makes 2-pt shot from 12 ft (assist by V. Oladipo),2,85-95,,
2:42.0,,,85-95,,O. Porter misses 3-pt shot from 26 ft
2:41.0,Defensive rebound by T. Harris,,85-95,,
2:33.0,E. Fournier makes 2-pt shot from 1 ft (assist by V. Oladipo),2,87-95,,
2:32.0,,,87-95,,Washington full timeout
2:32.0,,,87-95,,M. Gortat enters the game for K. Humphries
2:16.0,,,87-97,2,O. Porter makes 2-pt shot from 23 ft (assist by J. Wall)
1:48.0,E. Fournier misses 3-pt shot from 26 ft,,87-97,,
1:48.0,Offensive rebound by A. Gordon,,87-97,,
1:48.0,A. Gordon makes 2-pt shot at rim,2,89-97,,
1:33.0,Violation by A. Gordon (def goaltending),,89-97,,
1:33.0,,,89-99,2,J. Wall makes 2-pt shot from 1 ft
1:23.0,E. Fournier misses 3-pt shot from 28 ft,,89-99,,
1:22.0,,,89-99,,Defensive rebound by K. Oubre
1:02.0,,,89-101,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
1:02.0,Orlando full timeout,,89-101,,
1:02.0,A. Nicholson enters the game for T. Harris,,89-101,,
1:02.0,D. Dedmon enters the game for N. Vucevic,,89-101,,
1:02.0,S. Napier enters the game for E. Fournier,,89-101,,
1:02.0,M. Hezonja enters the game for V. Oladipo,,89-101,,
0:56.0,,,89-101,,Personal foul by J. Wall (drawn by M. Hezonja)
0:47.0,A. Gordon misses 2-pt shot from 17 ft,,89-101,,
0:46.0,,,89-101,,Defensive rebound by M. Gortat
0:24.0,,,89-103,2,J. Wall makes 2-pt shot from 18 ft
0:13.0,D. Dedmon makes 2-pt shot from 1 ft (assist by A. Gordon),2,91-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
