time,Philadelphia,pts.away,score,pts.home,Atlanta
6:33.0,,,8-13,,Defensive rebound by K. Bazemore
6:18.0,,,8-16,3,J. Teague makes 3-pt shot from 25 ft (assist by P. Millsap)
6:05.0,R. Covington misses 2-pt shot from 5 ft,,8-16,,
6:03.0,,,8-16,,Defensive rebound by K. Bazemore
5:52.0,,,8-18,2,A. Horford makes 2-pt shot from 17 ft
5:33.0,T. Wroten misses 3-pt shot from 24 ft,,8-18,,
5:32.0,,,8-18,,Defensive rebound by K. Bazemore
5:20.0,,,8-18,,A. Horford misses 2-pt shot from 18 ft
5:19.0,Defensive rebound by J. Grant,,8-18,,
5:14.0,Shooting foul by K. Korver (drawn by T. Wroten),,8-18,,
5:14.0,T. Wroten misses free throw 1 of 2,,8-18,,
5:14.0,Offensive rebound by Team,,8-18,,
5:14.0,,,8-18,,T. Sefolosha enters the game for K. Korver
5:14.0,,,8-18,,T. Splitter enters the game for A. Horford
5:14.0,H. Thompson enters the game for R. Covington,,8-18,,
5:14.0,J. Okafor enters the game for J. Grant,,8-18,,
5:14.0,T. Wroten makes free throw 2 of 2,1,9-18,,
4:58.0,,,9-18,,J. Teague misses 2-pt shot from 19 ft
4:55.0,Defensive rebound by H. Thompson,,9-18,,
4:48.0,I. Canaan misses 2-pt shot at rim (block by P. Millsap),,9-18,,
4:48.0,Offensive rebound by R. Holmes,,9-18,,
4:48.0,R. Holmes makes 2-pt shot at rim,2,11-18,,
4:48.0,Shooting foul by T. Splitter (drawn by R. Holmes),,11-18,,
4:48.0,N. Stauskas enters the game for I. Canaan,,11-18,,
4:48.0,,,11-18,,D. Schroder enters the game for J. Teague
4:48.0,R. Holmes makes free throw 1 of 1,1,12-18,,
4:36.0,,,12-20,2,P. Millsap makes 2-pt shot at rim (assist by D. Schroder)
4:25.0,Shooting foul by P. Millsap (drawn by J. Okafor),,12-20,,
4:25.0,J. Okafor makes free throw 1 of 2,1,13-20,,
4:25.0,J. Okafor makes free throw 2 of 2,1,14-20,,
4:16.0,,,14-20,,Shooting foul by J. Okafor (drawn by K. Bazemore)
4:16.0,,,14-21,1,K. Bazemore makes free throw 1 of 2
4:16.0,,,14-22,1,K. Bazemore makes free throw 2 of 2
4:04.0,H. Thompson misses 3-pt shot from 23 ft,,14-22,,
4:03.0,Offensive rebound by R. Holmes,,14-22,,
4:01.0,R. Holmes misses 2-pt shot at rim,,14-22,,
3:58.0,Jump ball: R. Holmes vs. T. Splitter (J. Okafor gains possession),,,,Jump ball: R. Holmes vs. T. Splitter (J. Okafor gains possession)
3:58.0,Offensive rebound by Team,,14-22,,
3:45.0,T. Wroten misses 2-pt shot from 7 ft,,14-22,,
3:43.0,,,14-22,,Defensive rebound by K. Bazemore
3:39.0,,,14-22,,Shooting foul by R. Holmes (drawn by K. Bazemore)
3:39.0,,,14-23,1,K. Bazemore makes free throw 1 of 2
3:39.0,,,14-24,1,K. Bazemore makes free throw 2 of 2
3:24.0,T. Wroten makes 2-pt shot at rim,2,16-24,,
3:11.0,,,16-24,,D. Schroder misses 2-pt shot from 2 ft (block by R. Holmes)
3:08.0,Defensive rebound by R. Holmes,,16-24,,
3:03.0,,,16-24,,Personal foul by T. Sefolosha (drawn by H. Thompson)
2:47.0,J. Okafor makes 2-pt shot from 9 ft,2,18-24,,
2:45.0,,,18-24,,Atlanta full timeout
2:38.0,,,18-24,,Shooting foul by H. Thompson (drawn by T. Splitter)
2:38.0,,,18-25,1,T. Splitter makes free throw 1 of 2
2:38.0,,,18-26,1,T. Splitter makes free throw 2 of 2
2:21.0,J. Okafor misses 2-pt shot from 1 ft (block by T. Splitter),,18-26,,
2:21.0,T. McConnell enters the game for T. Wroten,,18-26,,
2:21.0,Jump ball: J. Okafor vs. T. Splitter (R. Holmes gains possession),,,,Jump ball: J. Okafor vs. T. Splitter (R. Holmes gains possession)
2:21.0,Offensive rebound by Team,,18-26,,
2:14.0,H. Thompson makes 2-pt shot from 18 ft (assist by R. Holmes),2,20-26,,
2:01.0,,,20-26,,D. Schroder misses 2-pt shot from 15 ft
2:00.0,Defensive rebound by N. Stauskas,,20-26,,
1:48.0,H. Thompson misses 3-pt shot from 24 ft,,20-26,,
1:47.0,,,20-26,,Defensive rebound by Team
1:47.0,,,20-26,,A. Horford enters the game for P. Millsap
1:47.0,J. Grant enters the game for J. Okafor,,20-26,,
1:47.0,,,20-26,,K. Korver enters the game for K. Bazemore
1:34.0,,,20-28,2,T. Splitter makes 2-pt shot from 1 ft
1:13.0,R. Holmes misses 3-pt shot from 23 ft,,20-28,,
1:12.0,Offensive rebound by Team,,20-28,,
1:12.0,,,20-28,,Loose ball foul by T. Sefolosha (drawn by H. Thompson)
1:12.0,H. Thompson misses free throw 1 of 2,,20-28,,
1:12.0,Offensive rebound by Team,,20-28,,
1:12.0,H. Thompson makes free throw 2 of 2,1,21-28,,
0:49.0,,,21-30,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by T. Splitter)
0:40.0,R. Holmes makes 2-pt shot at rim (assist by H. Thompson),2,23-30,,
0:34.0,Personal foul by J. Grant (drawn by A. Horford),,23-30,,
0:34.0,,,23-30,,M. Scott enters the game for T. Splitter
0:34.0,R. Covington enters the game for H. Thompson,,23-30,,
0:28.0,,,23-32,2,A. Horford makes 2-pt shot from 1 ft (assist by D. Schroder)
0:06.0,Turnover by N. Stauskas (bad pass; steal by K. Korver),,23-32,,
0:01.0,,,23-32,,K. Korver misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by T. McConnell,,23-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,23-32,,Violation by M. Scott (kicked ball)
11:38.0,J. Grant makes 2-pt shot at rim (assist by T. McConnell),2,25-32,,
11:19.0,,,25-34,2,A. Horford makes 2-pt shot from 18 ft (assist by D. Schroder)
11:05.0,Turnover by R. Covington (bad pass; steal by K. Korver),,25-34,,
10:57.0,,,25-36,2,D. Schroder makes 2-pt shot from 1 ft (assist by K. Korver)
10:46.0,,,25-36,,Personal foul by M. Scott (drawn by N. Stauskas)
10:46.0,K. Marshall enters the game for T. McConnell,,25-36,,
10:46.0,,,25-36,,L. Patterson enters the game for T. Sefolosha
10:32.0,K. Marshall makes 3-pt shot from 23 ft (assist by R. Covington),3,28-36,,
10:20.0,J. Okafor enters the game for R. Holmes,,28-36,,
10:18.0,,,28-38,2,L. Patterson makes 2-pt shot at rim (assist by K. Korver)
10:18.0,Philadelphia full timeout,,28-38,,
9:56.0,K. Marshall makes 2-pt shot from 10 ft,2,30-38,,
9:45.0,,,30-41,3,D. Schroder makes 3-pt shot from 24 ft
9:33.0,,,30-41,,Personal foul by D. Schroder (drawn by K. Marshall)
9:19.0,J. Okafor misses 2-pt shot from 9 ft,,30-41,,
9:18.0,,,30-41,,Defensive rebound by A. Horford
9:01.0,,,30-43,2,D. Schroder makes 2-pt shot from 1 ft
8:47.0,Turnover by K. Marshall (bad pass),,30-43,,
8:47.0,Official timeout,,30-43,,
8:47.0,,,30-43,,Violation by Team (delay of game)
8:36.0,,,30-45,2,D. Schroder makes 2-pt shot from 18 ft
8:23.0,K. Marshall misses 3-pt shot from 24 ft,,30-45,,
8:22.0,,,30-45,,Defensive rebound by L. Patterson
8:07.0,,,30-47,2,M. Scott makes 2-pt shot from 5 ft (assist by D. Schroder)
8:01.0,Philadelphia full timeout,,30-47,,
8:01.0,,,30-47,,T. Splitter enters the game for A. Horford
8:01.0,,,30-47,,J. Teague enters the game for K. Korver
8:01.0,T. Wroten enters the game for J. Grant,,30-47,,
8:01.0,I. Canaan enters the game for K. Marshall,,30-47,,
8:01.0,H. Thompson enters the game for N. Stauskas,,30-47,,
7:55.0,,,30-47,,Violation by J. Teague (kicked ball)
7:46.0,I. Canaan misses 2-pt shot from 20 ft,,30-47,,
7:45.0,,,30-47,,Defensive rebound by J. Teague
7:29.0,,,30-49,2,J. Teague makes 2-pt shot from 1 ft
7:15.0,Shooting foul by J. Teague (drawn by T. Wroten),,30-49,,
7:15.0,T. Wroten misses free throw 1 of 2,,30-49,,
7:15.0,Offensive rebound by Team,,30-49,,
7:15.0,T. Wroten makes free throw 2 of 2,1,31-49,,
6:58.0,,,31-49,,L. Patterson misses 2-pt shot at rim
6:57.0,Defensive rebound by R. Covington,,31-49,,
6:47.0,Turnover by T. Wroten (bad pass; steal by T. Splitter),,31-49,,
6:38.0,,,31-49,,D. Schroder misses 3-pt shot from 24 ft
6:37.0,,,31-49,,Offensive rebound by M. Scott
6:31.0,,,31-51,2,T. Splitter makes 2-pt shot from 1 ft (assist by L. Patterson)
6:21.0,T. Wroten makes 3-pt shot from 24 ft (assist by R. Covington),3,34-51,,
6:05.0,,,34-53,2,J. Teague makes 2-pt shot from 10 ft
5:55.0,Turnover by I. Canaan (bad pass; steal by D. Schroder),,34-53,,
5:50.0,,,34-55,2,J. Teague makes 2-pt shot at rim (assist by D. Schroder)
5:28.0,J. Okafor makes 2-pt shot from 1 ft,2,36-55,,
5:10.0,,,36-55,,T. Splitter misses 2-pt shot from 4 ft
5:09.0,,,36-55,,Offensive rebound by T. Splitter
5:03.0,,,36-55,,L. Patterson misses 3-pt shot from 23 ft
5:01.0,Defensive rebound by H. Thompson,,36-55,,
4:53.0,T. Wroten misses 3-pt shot from 24 ft,,36-55,,
4:51.0,,,36-55,,Defensive rebound by L. Patterson
4:44.0,,,36-57,2,L. Patterson makes 2-pt shot from 2 ft
4:35.0,Philadelphia full timeout,,36-57,,
4:35.0,,,36-57,,K. Bazemore enters the game for T. Splitter
4:35.0,,,36-57,,T. Sefolosha enters the game for D. Schroder
4:35.0,,,36-57,,A. Horford enters the game for M. Scott
4:35.0,,,36-57,,P. Millsap enters the game for L. Patterson
4:35.0,T. McConnell enters the game for R. Covington,,36-57,,
4:35.0,J. Sampson enters the game for J. Okafor,,36-57,,
4:35.0,J. Grant enters the game for T. Wroten,,36-57,,
4:35.0,R. Holmes enters the game for H. Thompson,,36-57,,
4:17.0,I. Canaan misses 2-pt shot from 10 ft,,36-57,,
4:16.0,Offensive rebound by R. Holmes,,36-57,,
4:16.0,R. Holmes makes 2-pt shot from 1 ft,2,38-57,,
3:51.0,,,38-57,,K. Bazemore misses 3-pt shot from 24 ft
3:48.0,Defensive rebound by J. Sampson,,38-57,,
3:44.0,Turnover by T. McConnell (bad pass; steal by J. Teague),,38-57,,
3:42.0,Clear path foul by T. McConnell,,38-57,,
3:42.0,,,38-58,1,J. Teague makes clear path free throw 1 of 2
3:42.0,,,38-59,1,J. Teague makes clear path free throw 2 of 2
3:32.0,,,38-61,2,A. Horford makes 2-pt shot from 7 ft (assist by K. Bazemore)
3:24.0,,,38-61,,Personal foul by T. Sefolosha (drawn by J. Sampson)
3:06.0,I. Canaan makes 2-pt shot from 19 ft,2,40-61,,
3:03.0,Violation by Team (delay of game),,40-61,,
2:46.0,,,40-63,2,T. Sefolosha makes 2-pt shot from 18 ft (assist by A. Horford)
2:29.0,T. McConnell makes 3-pt shot from 24 ft (assist by J. Sampson),3,43-63,,
2:13.0,,,43-63,,Offensive charge foul by P. Millsap
2:13.0,,,43-63,,Turnover by P. Millsap (offensive foul)
2:01.0,J. Sampson makes 2-pt shot from 1 ft (assist by R. Holmes),2,45-63,,
1:50.0,Personal foul by J. Sampson (drawn by K. Bazemore),,45-63,,
1:43.0,,,45-65,2,P. Millsap makes 2-pt shot from 18 ft (assist by J. Teague)
1:31.0,T. McConnell makes 2-pt shot from 18 ft,2,47-65,,
1:16.0,,,47-65,,T. Sefolosha misses 3-pt shot from 25 ft
1:15.0,Defensive rebound by J. Sampson,,47-65,,
1:08.0,I. Canaan makes 3-pt shot from 25 ft (assist by J. Sampson),3,50-65,,
0:57.0,Personal foul by J. Sampson (drawn by P. Millsap),,50-65,,
0:57.0,,,50-65,,P. Millsap misses free throw 1 of 2
0:57.0,,,50-65,,Offensive rebound by Team
0:57.0,,,50-66,1,P. Millsap makes free throw 2 of 2
0:46.0,I. Canaan makes 3-pt shot from 25 ft,3,53-66,,
0:27.0,,,53-66,,K. Bazemore misses 2-pt shot from 19 ft
0:26.0,Defensive rebound by J. Sampson,,53-66,,
0:06.0,Shooting foul by P. Millsap (drawn by I. Canaan),,53-66,,
0:06.0,I. Canaan makes free throw 1 of 2,1,54-66,,
0:06.0,,,54-66,,K. Korver enters the game for T. Sefolosha
0:06.0,I. Canaan makes free throw 2 of 2,1,55-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,K. Marshall misses 3-pt shot from 24 ft,,55-66,,
11:37.0,,,55-66,,Defensive rebound by K. Bazemore
11:25.0,,,55-68,2,P. Millsap makes 2-pt shot from 3 ft (assist by K. Bazemore)
11:25.0,,,55-68,,Shooting foul by R. Covington (drawn by P. Millsap)
11:25.0,,,55-69,1,P. Millsap makes free throw 1 of 1
11:18.0,,,55-69,,Personal foul by K. Korver (drawn by R. Covington)
11:07.0,Turnover by I. Canaan (bad pass; steal by J. Teague),,55-69,,
10:50.0,,,55-69,,A. Horford misses 2-pt shot from 19 ft
10:48.0,Defensive rebound by J. Okafor,,55-69,,
10:34.0,K. Marshall makes 2-pt shot from 22 ft (assist by R. Covington),2,57-69,,
10:12.0,,,57-69,,Shooting foul by J. Okafor (drawn by J. Teague)
10:12.0,,,57-70,1,J. Teague makes free throw 1 of 2
10:12.0,,,57-71,1,J. Teague makes free throw 2 of 2
9:50.0,J. Okafor makes 2-pt shot from 1 ft,2,59-71,,
9:30.0,,,59-73,2,P. Millsap makes 2-pt shot from 11 ft (assist by K. Bazemore)
9:16.0,J. Okafor makes 2-pt shot from 2 ft,2,61-73,,
8:59.0,Personal foul by I. Canaan (drawn by K. Bazemore),,61-73,,
8:53.0,,,61-73,,Turnover by A. Horford (lost ball; steal by I. Canaan)
8:43.0,I. Canaan makes 3-pt shot from 24 ft,3,64-73,,
8:28.0,,,64-73,,A. Horford misses 2-pt shot from 6 ft
8:28.0,,,64-73,,Offensive rebound by Team
8:28.0,Loose ball foul by J. Grant (drawn by P. Millsap),,64-73,,
8:28.0,T. Wroten enters the game for K. Marshall,,64-73,,
8:23.0,Personal foul by R. Covington (drawn by P. Millsap),,64-73,,
8:23.0,,,64-74,1,P. Millsap makes free throw 1 of 2
8:23.0,,,64-75,1,P. Millsap makes free throw 2 of 2
8:12.0,Shooting foul by K. Korver (drawn by R. Covington),,64-75,,
8:12.0,R. Covington makes 3-pt shot from 25 ft (assist by J. Grant),3,67-75,,
8:12.0,R. Covington makes free throw 1 of 1,1,68-75,,
8:02.0,,,68-78,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
7:49.0,J. Grant misses 2-pt shot from 1 ft (block by K. Bazemore),,68-78,,
7:49.0,Offensive rebound by Team,,68-78,,
7:49.0,R. Holmes enters the game for J. Grant,,68-78,,
7:35.0,I. Canaan misses 3-pt shot from 25 ft,,68-78,,
7:34.0,,,68-78,,Defensive rebound by Team
7:19.0,Def 3 sec tech foul by R. Holmes,,68-78,,
7:19.0,,,68-79,1,K. Korver makes technical free throw
7:12.0,,,68-82,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
6:56.0,Turnover by T. Wroten (lost ball),,68-82,,
6:49.0,,,68-82,,A. Horford misses 2-pt shot from 15 ft
6:48.0,Defensive rebound by T. Wroten,,68-82,,
6:41.0,T. Wroten makes 2-pt shot at rim,2,70-82,,
6:27.0,,,70-82,,A. Horford misses 2-pt shot from 1 ft (block by R. Holmes)
6:24.0,Defensive rebound by J. Okafor,,70-82,,
6:21.0,Philadelphia full timeout,,70-82,,
6:21.0,,,70-82,,T. Sefolosha enters the game for K. Bazemore
6:21.0,,,70-82,,T. Splitter enters the game for A. Horford
6:12.0,Shooting foul by T. Sefolosha (drawn by I. Canaan),,70-82,,
6:12.0,I. Canaan misses free throw 1 of 3,,70-82,,
6:12.0,Offensive rebound by Team,,70-82,,
6:12.0,I. Canaan makes free throw 2 of 3,1,71-82,,
6:12.0,I. Canaan makes free throw 3 of 3,1,72-82,,
5:49.0,,,72-82,,Turnover by K. Korver (lost ball; steal by R. Covington)
5:39.0,R. Holmes misses 2-pt shot from 1 ft (block by J. Teague),,72-82,,
5:37.0,,,72-82,,Defensive rebound by K. Korver
5:30.0,,,72-84,2,T. Splitter makes 2-pt shot from 1 ft (assist by K. Korver)
5:15.0,R. Covington misses 2-pt shot at rim (block by P. Millsap),,72-84,,
5:12.0,,,72-84,,Defensive rebound by K. Korver
4:57.0,,,72-87,3,P. Millsap makes 3-pt shot from 24 ft
4:29.0,Turnover by Team (shot clock),,72-87,,
4:29.0,J. Grant enters the game for J. Okafor,,72-87,,
4:29.0,N. Stauskas enters the game for I. Canaan,,72-87,,
4:15.0,Violation by R. Holmes (def goaltending),,72-87,,
4:15.0,,,72-89,2,P. Millsap makes 2-pt shot from 3 ft (assist by J. Teague)
4:03.0,T. Wroten misses 2-pt shot from 7 ft (block by J. Teague),,72-89,,
4:03.0,Offensive rebound by Team,,72-89,,
4:03.0,,,72-89,,D. Schroder enters the game for J. Teague
4:03.0,,,72-89,,K. Bazemore enters the game for K. Korver
4:03.0,H. Thompson enters the game for R. Covington,,72-89,,
3:51.0,J. Grant misses 3-pt shot from 24 ft,,72-89,,
3:50.0,,,72-89,,Defensive rebound by K. Bazemore
3:44.0,,,72-89,,Shooting foul by R. Holmes (drawn by P. Millsap)
3:44.0,,,72-90,1,P. Millsap makes free throw 1 of 2
3:44.0,,,72-91,1,P. Millsap makes free throw 2 of 2
3:30.0,Turnover by T. Wroten (bad pass),,72-91,,
3:11.0,Violation by J. Grant (def goaltending),,72-91,,
3:11.0,,,72-93,2,T. Splitter makes 2-pt shot from 1 ft (assist by P. Millsap)
3:00.0,T. Wroten makes 2-pt shot from 16 ft,2,74-93,,
3:00.0,Shooting foul by D. Schroder (drawn by T. Wroten),,74-93,,
3:00.0,T. Wroten makes free throw 1 of 1,1,75-93,,
3:00.0,,,75-93,,Atlanta full timeout
2:48.0,Personal foul by T. Wroten (drawn by D. Schroder),,75-93,,
2:48.0,,,75-94,1,D. Schroder makes free throw 1 of 2
2:48.0,J. Okafor enters the game for R. Holmes,,75-94,,
2:48.0,,,75-95,1,D. Schroder makes free throw 2 of 2
2:34.0,Turnover by H. Thompson (lost ball; steal by K. Bazemore),,75-95,,
2:28.0,,,75-97,2,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder)
2:12.0,T. Wroten misses 2-pt shot from 1 ft (block by K. Bazemore),,75-97,,
2:12.0,Offensive rebound by Team,,75-97,,
2:12.0,,,75-97,,A. Horford enters the game for P. Millsap
2:05.0,T. Wroten misses 3-pt shot from 25 ft,,75-97,,
2:02.0,,,75-97,,Defensive rebound by T. Sefolosha
1:53.0,,,75-97,,K. Bazemore misses 2-pt shot from 19 ft
1:51.0,Defensive rebound by T. Wroten,,75-97,,
1:41.0,H. Thompson misses 3-pt shot from 25 ft,,75-97,,
1:40.0,,,75-97,,Defensive rebound by A. Horford
1:32.0,,,75-99,2,D. Schroder makes 2-pt shot from 17 ft
1:18.0,J. Okafor misses 2-pt shot from 15 ft,,75-99,,
1:17.0,,,75-99,,Defensive rebound by A. Horford
1:03.0,,,75-102,3,D. Schroder makes 3-pt shot from 24 ft (assist by T. Splitter)
0:49.0,Turnover by T. Wroten (bad pass),,75-102,,
0:49.0,T. McConnell enters the game for T. Wroten,,75-102,,
0:49.0,,,75-102,,M. Scott enters the game for T. Splitter
0:33.0,,,75-102,,D. Schroder misses 2-pt shot from 9 ft
0:31.0,Defensive rebound by J. Grant,,75-102,,
0:27.0,Shooting foul by T. Sefolosha (drawn by J. Grant),,75-102,,
0:27.0,J. Grant makes free throw 1 of 2,1,76-102,,
0:27.0,,,76-102,,L. Patterson enters the game for T. Sefolosha
0:27.0,J. Sampson enters the game for H. Thompson,,76-102,,
0:27.0,J. Grant misses free throw 2 of 2,,76-102,,
0:26.0,Offensive rebound by T. McConnell,,76-102,,
0:01.0,Turnover by Team (shot clock),,76-102,,
0:00.0,,,76-102,,D. Schroder misses 3-pt shot from 45 ft
0:00.0,,,76-102,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,76-102,,D. Schroder misses 2-pt shot from 1 ft
11:35.0,Defensive rebound by J. Okafor,,76-102,,
11:27.0,J. Sampson makes 2-pt shot from 1 ft,2,78-102,,
11:15.0,,,78-105,3,A. Horford makes 3-pt shot from 25 ft (assist by K. Korver)
10:48.0,J. Sampson makes 2-pt shot from 8 ft,2,80-105,,
10:39.0,,,80-105,,Turnover by K. Korver (illegal screen)
10:22.0,J. Okafor makes 2-pt shot from 1 ft (assist by T. McConnell),2,82-105,,
10:14.0,,,82-105,,K. Korver misses 3-pt shot from 24 ft
10:13.0,Defensive rebound by J. Okafor,,82-105,,
10:06.0,Turnover by T. McConnell (step out of bounds),,82-105,,
9:44.0,,,82-107,2,A. Horford makes 2-pt shot from 5 ft (assist by L. Patterson)
9:27.0,Philadelphia full timeout,,82-107,,
9:27.0,Turnover by T. McConnell (bad pass),,82-107,,
9:14.0,Personal foul by I. Canaan (drawn by L. Patterson),,82-107,,
8:59.0,,,82-107,,Turnover by D. Schroder (bad pass; steal by T. McConnell)
8:50.0,Shooting foul by L. Patterson (drawn by J. Okafor),,82-107,,
8:50.0,J. Okafor misses free throw 1 of 2,,82-107,,
8:50.0,Offensive rebound by Team,,82-107,,
8:50.0,,,82-107,,M. Muscala enters the game for A. Horford
8:50.0,R. Holmes enters the game for J. Grant,,82-107,,
8:50.0,J. Okafor makes free throw 2 of 2,1,83-107,,
8:32.0,,,83-107,,M. Scott misses 3-pt shot from 26 ft
8:32.0,,,83-107,,Offensive rebound by Team
8:32.0,Loose ball foul by J. Okafor (drawn by M. Scott),,83-107,,
8:21.0,,,83-109,2,M. Scott makes 2-pt shot at rim (assist by L. Patterson)
8:06.0,I. Canaan makes 3-pt shot from 24 ft (assist by R. Holmes),3,86-109,,
7:59.0,,,86-109,,Turnover by K. Korver (bad pass)
7:59.0,,,86-109,,S. Mack enters the game for L. Patterson
7:48.0,R. Holmes makes 3-pt shot from 24 ft (assist by T. McConnell),3,89-109,,
7:34.0,,,89-112,3,M. Muscala makes 3-pt shot from 24 ft (assist by K. Korver)
7:24.0,K. Marshall enters the game for I. Canaan,,89-112,,
7:24.0,R. Covington enters the game for T. McConnell,,89-112,,
7:10.0,Shooting foul by M. Muscala (drawn by J. Okafor),,89-112,,
7:10.0,J. Okafor makes free throw 1 of 2,1,90-112,,
7:10.0,J. Okafor makes free throw 2 of 2,1,91-112,,
6:54.0,,,91-112,,M. Muscala misses 3-pt shot from 22 ft
6:53.0,Defensive rebound by J. Okafor,,91-112,,
6:41.0,J. Sampson misses 2-pt shot from 5 ft,,91-112,,
6:38.0,,,91-112,,Defensive rebound by K. Korver
6:30.0,,,91-112,,M. Muscala misses 2-pt shot at rim
6:25.0,Defensive rebound by J. Okafor,,91-112,,
6:16.0,Turnover by J. Okafor (lost ball; steal by D. Schroder),,91-112,,
6:12.0,,,91-114,2,S. Mack makes 2-pt shot from 2 ft (assist by D. Schroder)
6:12.0,Philadelphia full timeout,,91-114,,
6:12.0,,,91-114,,J. Holiday enters the game for D. Schroder
6:12.0,J. Grant enters the game for J. Okafor,,91-114,,
6:05.0,,,91-114,,Personal foul by M. Muscala (drawn by R. Holmes)
5:53.0,Turnover by R. Holmes (bad pass; steal by S. Mack),,91-114,,
5:48.0,,,91-116,2,S. Mack makes 2-pt shot from 1 ft
5:40.0,Turnover by J. Sampson (bad pass),,91-116,,
5:40.0,Official timeout,,91-116,,
5:40.0,,,91-116,,T. Sefolosha enters the game for K. Korver
5:40.0,,,91-116,,L. Patterson enters the game for M. Scott
5:40.0,I. Canaan enters the game for J. Grant,,91-116,,
5:30.0,,,91-116,,Turnover by S. Mack (bad pass; steal by R. Holmes)
5:21.0,R. Covington makes 2-pt shot at rim (assist by K. Marshall),2,93-116,,
5:07.0,,,93-116,,S. Mack misses 3-pt shot from 23 ft
5:05.0,Defensive rebound by R. Holmes,,93-116,,
4:49.0,I. Canaan makes 3-pt shot from 22 ft,3,96-116,,
4:30.0,,,96-116,,Turnover by M. Muscala (lost ball)
4:19.0,I. Canaan makes 3-pt shot from 23 ft (assist by K. Marshall),3,99-116,,
4:04.0,,,99-116,,S. Mack misses 2-pt shot from 17 ft
4:02.0,Defensive rebound by R. Holmes,,99-116,,
3:45.0,R. Covington misses 2-pt shot at rim,,99-116,,
3:44.0,Offensive rebound by R. Covington,,99-116,,
3:44.0,R. Covington makes 2-pt shot at rim,2,101-116,,
