time,Philadelphia,pts.away,score,pts.home,New York
5:19.0,Defensive rebound by I. Canaan,,13-16,,
5:12.0,R. Covington misses 3-pt shot from 25 ft,,13-16,,
5:11.0,,,13-16,,Defensive rebound by A. Afflalo
4:57.0,,,13-18,2,R. Lopez makes 2-pt shot from 1 ft (assist by K. Porzingis)
4:48.0,H. Thompson makes 3-pt shot from 24 ft (assist by T. McConnell),3,16-18,,
4:31.0,,,16-20,2,C. Anthony makes 2-pt shot from 1 ft
4:23.0,H. Thompson misses 3-pt shot from 25 ft,,16-20,,
4:22.0,,,16-20,,Defensive rebound by K. Porzingis
4:15.0,,,16-20,,C. Anthony misses 3-pt shot from 25 ft
4:14.0,Defensive rebound by Team,,16-20,,
4:14.0,,,16-20,,L. Thomas enters the game for K. Porzingis
4:14.0,,,16-20,,K. Seraphin enters the game for R. Lopez
4:14.0,,,16-20,,L. Galloway enters the game for A. Afflalo
4:14.0,R. Holmes enters the game for N. Noel,,16-20,,
4:14.0,N. Stauskas enters the game for I. Canaan,,16-20,,
3:57.0,T. McConnell misses 3-pt shot from 24 ft,,16-20,,
3:56.0,,,16-20,,Defensive rebound by L. Galloway
3:43.0,,,16-22,2,K. Seraphin makes 2-pt shot from 6 ft
3:33.0,Turnover by R. Covington (traveling),,16-22,,
3:33.0,,,16-22,,J. Grant enters the game for J. Calderon
3:33.0,J. Grant enters the game for R. Covington,,16-22,,
3:20.0,,,16-24,2,K. Seraphin makes 2-pt shot from 1 ft
2:56.0,T. McConnell misses 2-pt shot from 3 ft,,16-24,,
2:55.0,,,16-24,,Defensive rebound by K. Seraphin
2:50.0,,,16-24,,L. Galloway misses 3-pt shot from 23 ft
2:49.0,,,16-24,,Offensive rebound by Team
2:49.0,Loose ball foul by H. Thompson (drawn by L. Thomas),,16-24,,
2:49.0,,,16-24,,New York full timeout
2:49.0,,,16-24,,D. Williams enters the game for C. Anthony
2:37.0,,,16-24,,Shooting foul by N. Stauskas (drawn by D. Williams)
2:37.0,,,16-24,,D. Williams misses free throw 1 of 2
2:37.0,,,16-24,,Offensive rebound by Team
2:37.0,,,16-25,1,D. Williams makes free throw 2 of 2
2:19.0,J. Grant misses 3-pt shot from 24 ft,,16-25,,
2:18.0,,,16-25,,Defensive rebound by L. Thomas
2:09.0,,,16-25,,Turnover by K. Seraphin (bad pass; steal by T. McConnell)
2:03.0,N. Stauskas makes 3-pt shot from 25 ft (assist by T. McConnell),3,19-25,,
1:39.0,,,19-25,,K. Seraphin misses 2-pt shot from 13 ft (block by R. Holmes)
1:38.0,,,19-25,,Offensive rebound by Team
1:38.0,,,19-25,,Turnover by Team (shot clock)
1:16.0,T. McConnell makes 2-pt shot from 10 ft,2,21-25,,
1:00.0,,,21-27,2,J. Grant makes 2-pt shot from 15 ft (assist by K. Seraphin)
0:50.0,H. Thompson misses 2-pt shot from 7 ft,,21-27,,
0:49.0,,,21-27,,Defensive rebound by K. Seraphin
0:39.0,,,21-27,,K. Seraphin misses 2-pt shot from 20 ft
0:38.0,Defensive rebound by J. Grant,,21-27,,
0:27.0,J. Grant misses 3-pt shot from 26 ft,,21-27,,
0:26.0,,,21-27,,Defensive rebound by Team
0:03.0,,,21-27,,J. Grant misses 2-pt shot from 3 ft (block by J. Grant)
0:00.0,Defensive rebound by T. McConnell,,21-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,21-27,,L. Thomas misses 3-pt shot from 23 ft
11:43.0,Defensive rebound by P. Pressey,,21-27,,
11:34.0,R. Covington misses 3-pt shot from 24 ft,,21-27,,
11:34.0,,,21-27,,Defensive rebound by D. Williams
11:26.0,,,21-27,,Shooting foul by R. Holmes (drawn by L. Thomas)
11:26.0,,,21-28,1,L. Thomas makes free throw 1 of 2
11:26.0,N. Noel enters the game for R. Holmes,,21-28,,
11:26.0,,,21-28,,L. Thomas misses free throw 2 of 2
11:26.0,Defensive rebound by N. Noel,,21-28,,
11:12.0,Turnover by R. Covington (lost ball),,21-28,,
11:12.0,Loose ball foul by R. Covington (drawn by J. Grant),,21-28,,
10:52.0,,,21-30,2,L. Thomas makes 2-pt shot from 3 ft
10:32.0,N. Stauskas misses 3-pt shot from 23 ft,,21-30,,
10:32.0,,,21-30,,Defensive rebound by Team
10:24.0,,,21-30,,Turnover by L. Thomas (lost ball; steal by N. Noel)
10:11.0,J. Sampson makes 2-pt shot from 4 ft,2,23-30,,
10:11.0,Shooting foul by D. Williams (drawn by J. Sampson),,23-30,,
10:11.0,I. Canaan enters the game for N. Stauskas,,23-30,,
10:11.0,J. Sampson makes free throw 1 of 1,1,24-30,,
9:53.0,,,24-30,,D. Williams misses 3-pt shot from 24 ft
9:52.0,Defensive rebound by J. Sampson,,24-30,,
9:45.0,Turnover by P. Pressey (bad pass),,24-30,,
9:31.0,,,24-32,2,J. Grant makes 2-pt shot from 20 ft (assist by K. Seraphin)
9:20.0,P. Pressey makes 2-pt shot from 1 ft,2,26-32,,
9:12.0,,,26-32,,Turnover by K. Seraphin (lost ball)
9:12.0,Philadelphia full timeout,,26-32,,
9:12.0,,,26-32,,R. Lopez enters the game for K. Seraphin
8:58.0,P. Pressey misses 2-pt shot from 3 ft (block by L. Thomas),,26-32,,
8:58.0,,,26-32,,Defensive rebound by R. Lopez
8:52.0,,,26-32,,D. Williams misses 2-pt shot at rim
8:52.0,Defensive rebound by I. Canaan,,26-32,,
8:43.0,I. Canaan misses 3-pt shot from 24 ft,,26-32,,
8:41.0,,,26-32,,Defensive rebound by Team
8:25.0,,,26-34,2,L. Thomas makes 2-pt shot from 6 ft
8:25.0,,,26-34,,Shooting foul by R. Covington (drawn by L. Thomas)
8:25.0,J. Grant enters the game for R. Covington,,26-34,,
8:25.0,H. Thompson enters the game for J. Sampson,,26-34,,
8:25.0,,,26-35,1,L. Thomas makes free throw 1 of 1
8:05.0,H. Thompson misses 2-pt shot from 10 ft,,26-35,,
8:05.0,Offensive rebound by N. Noel,,26-35,,
8:03.0,Shooting foul by L. Thomas (drawn by N. Noel),,26-35,,
8:03.0,N. Noel misses free throw 1 of 2,,26-35,,
8:03.0,Offensive rebound by Team,,26-35,,
8:03.0,,,26-35,,K. Porzingis enters the game for D. Williams
8:03.0,,,26-35,,C. Anthony enters the game for L. Thomas
8:03.0,N. Noel misses free throw 2 of 2,,26-35,,
8:02.0,,,26-35,,Defensive rebound by C. Anthony
7:53.0,,,26-35,,Turnover by C. Anthony (bad pass; steal by N. Noel)
7:48.0,I. Canaan makes 2-pt shot from 2 ft,2,28-35,,
7:25.0,,,28-35,,L. Galloway misses 2-pt shot from 20 ft
7:24.0,Defensive rebound by P. Pressey,,28-35,,
7:13.0,H. Thompson misses 3-pt shot from 24 ft,,28-35,,
7:12.0,,,28-35,,Defensive rebound by K. Porzingis
7:07.0,Personal foul by P. Pressey (drawn by J. Grant),,28-35,,
7:07.0,,,28-35,,New York full timeout
7:07.0,T. McConnell enters the game for P. Pressey,,28-35,,
7:07.0,,,28-35,,J. Calderon enters the game for L. Galloway
7:07.0,,,28-35,,A. Afflalo enters the game for J. Grant
7:07.0,,,28-35,,Turnover by Team (5 sec inbounds)
6:54.0,T. McConnell makes 2-pt shot from 9 ft,2,30-35,,
6:37.0,,,30-37,2,R. Lopez makes 2-pt shot from 3 ft (assist by J. Calderon)
6:25.0,N. Noel misses 2-pt shot from 18 ft,,30-37,,
6:25.0,,,30-37,,Defensive rebound by K. Porzingis
6:14.0,,,30-39,2,A. Afflalo makes 2-pt shot from 7 ft
5:56.0,J. Grant misses 2-pt shot from 10 ft,,30-39,,
5:56.0,,,30-39,,Defensive rebound by C. Anthony
5:36.0,,,30-39,,J. Calderon misses 2-pt shot from 19 ft
5:36.0,Defensive rebound by J. Grant,,30-39,,
5:29.0,Turnover by I. Canaan (traveling),,30-39,,
5:14.0,,,30-39,,C. Anthony misses 2-pt shot from 18 ft
5:14.0,Defensive rebound by N. Noel,,30-39,,
5:00.0,N. Noel misses 2-pt shot from 2 ft,,30-39,,
4:56.0,,,30-39,,Defensive rebound by R. Lopez
4:51.0,,,30-41,2,A. Afflalo makes 2-pt shot from 16 ft
4:46.0,Turnover by N. Noel (bad pass; steal by J. Calderon),,30-41,,
4:38.0,Personal foul by J. Grant (drawn by J. Calderon),,30-41,,
4:38.0,,,30-42,1,J. Calderon makes free throw 1 of 2
4:38.0,,,30-43,1,J. Calderon makes free throw 2 of 2
4:35.0,Philadelphia full timeout,,30-43,,
4:29.0,H. Thompson makes 2-pt shot from 13 ft,2,32-43,,
4:11.0,,,32-43,,Shooting foul by H. Thompson (drawn by C. Anthony)
4:11.0,,,32-44,1,C. Anthony makes free throw 1 of 2
4:11.0,N. Stauskas enters the game for I. Canaan,,32-44,,
4:11.0,,,32-45,1,C. Anthony makes free throw 2 of 2
4:04.0,,,32-45,,Personal foul by C. Anthony (drawn by H. Thompson)
3:58.0,,,32-45,,Violation by K. Porzingis (kicked ball)
3:48.0,Offensive foul by H. Thompson,,32-45,,
3:48.0,Turnover by H. Thompson (offensive foul),,32-45,,
3:48.0,R. Covington enters the game for H. Thompson,,32-45,,
3:33.0,,,32-45,,C. Anthony misses 2-pt shot from 17 ft
3:32.0,Defensive rebound by J. Grant,,32-45,,
3:22.0,J. Grant makes 2-pt shot from 1 ft,2,34-45,,
3:05.0,,,34-47,2,C. Anthony makes 2-pt shot from 22 ft (assist by R. Lopez)
2:52.0,N. Noel makes 2-pt shot at rim (assist by R. Covington),2,36-47,,
2:34.0,,,36-47,,C. Anthony misses 2-pt shot from 21 ft
2:34.0,Defensive rebound by T. McConnell,,36-47,,
2:27.0,T. McConnell misses 2-pt shot from 1 ft,,36-47,,
2:26.0,,,36-47,,Defensive rebound by C. Anthony
2:17.0,,,36-47,,J. Calderon misses 2-pt shot from 1 ft (block by J. Grant)
2:17.0,,,36-47,,Offensive rebound by Team
2:17.0,Official timeout,,36-47,,
2:17.0,I. Canaan enters the game for T. McConnell,,36-47,,
2:09.0,,,36-49,2,C. Anthony makes 2-pt shot from 6 ft
1:57.0,Turnover by N. Noel (bad pass; steal by A. Afflalo),,36-49,,
1:50.0,,,36-49,,C. Anthony misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by N. Stauskas,,36-49,,
1:41.0,N. Stauskas misses 2-pt shot from 18 ft,,36-49,,
1:40.0,,,36-49,,Defensive rebound by C. Anthony
1:34.0,,,36-49,,Turnover by C. Anthony (bad pass; steal by N. Stauskas)
1:29.0,J. Grant makes 2-pt shot from 1 ft (assist by N. Stauskas),2,38-49,,
1:29.0,Shooting foul by K. Porzingis (drawn by J. Grant),,38-49,,
1:29.0,J. Grant makes free throw 1 of 1,1,39-49,,
1:13.0,,,39-49,,A. Afflalo misses 2-pt shot from 11 ft
1:12.0,Defensive rebound by N. Noel,,39-49,,
1:02.0,J. Grant misses 3-pt shot from 23 ft,,39-49,,
1:02.0,,,39-49,,Defensive rebound by A. Afflalo
0:56.0,,,39-49,,Turnover by K. Porzingis (bad pass; steal by J. Grant)
0:40.0,N. Noel misses 2-pt shot from 1 ft (block by R. Lopez),,39-49,,
0:38.0,,,39-49,,Defensive rebound by K. Porzingis
0:33.0,,,39-52,3,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Calderon)
0:22.0,I. Canaan misses 2-pt shot from 22 ft,,39-52,,
0:22.0,,,39-52,,Defensive rebound by R. Lopez
0:04.0,,,39-54,2,C. Anthony makes 2-pt shot from 10 ft (assist by J. Calderon)
0:00.0,J. Grant misses 3-pt shot from 37 ft,,39-54,,
0:00.0,Offensive rebound by Team,,39-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,39-54,,J. Calderon misses 3-pt shot from 24 ft
11:40.0,,,39-54,,Offensive rebound by K. Porzingis
11:36.0,,,39-54,,K. Porzingis misses 2-pt shot at rim
11:36.0,,,39-54,,Offensive rebound by R. Lopez
11:35.0,,,39-54,,R. Lopez misses 2-pt shot at rim
11:34.0,Defensive rebound by I. Canaan,,39-54,,
11:25.0,I. Canaan misses 2-pt shot from 17 ft,,39-54,,
11:25.0,,,39-54,,Defensive rebound by K. Porzingis
11:13.0,,,39-54,,Turnover by R. Lopez (traveling)
10:51.0,R. Covington misses 3-pt shot from 23 ft,,39-54,,
10:51.0,,,39-54,,Defensive rebound by C. Anthony
10:45.0,,,39-54,,Offensive foul by R. Lopez
10:45.0,,,39-54,,Turnover by R. Lopez (offensive foul)
10:23.0,J. Grant misses 2-pt shot from 5 ft (block by K. Porzingis),,39-54,,
10:22.0,Offensive rebound by J. Grant,,39-54,,
10:20.0,Turnover by Team (shot clock),,39-54,,
10:08.0,Jump ball: I. Canaan vs. R. Lopez,,,,Jump ball: I. Canaan vs. R. Lopez
9:54.0,,,39-54,,A. Afflalo misses 3-pt shot from 24 ft
9:53.0,Defensive rebound by R. Covington,,39-54,,
9:45.0,R. Covington misses 3-pt shot from 26 ft,,39-54,,
9:45.0,,,39-54,,Defensive rebound by A. Afflalo
9:40.0,,,39-54,,C. Anthony misses 2-pt shot from 10 ft
9:40.0,Defensive rebound by J. Sampson,,39-54,,
9:28.0,I. Canaan misses 2-pt shot from 8 ft,,39-54,,
9:28.0,,,39-54,,Defensive rebound by R. Lopez
9:20.0,,,39-54,,R. Lopez misses 2-pt shot from 18 ft
9:19.0,Defensive rebound by R. Covington,,39-54,,
9:06.0,I. Canaan makes 3-pt shot from 25 ft (assist by R. Covington),3,42-54,,
8:51.0,,,42-56,2,J. Calderon makes 2-pt shot at rim (assist by K. Porzingis)
8:44.0,H. Thompson enters the game for J. Grant,,42-56,,
8:44.0,R. Holmes enters the game for N. Noel,,42-56,,
8:31.0,J. Sampson makes 2-pt shot from 1 ft,2,44-56,,
8:21.0,,,44-56,,Turnover by K. Porzingis (lost ball; steal by R. Covington)
8:14.0,Shooting foul by R. Lopez (drawn by R. Covington),,44-56,,
8:14.0,R. Covington makes free throw 1 of 2,1,45-56,,
8:14.0,T. McConnell enters the game for I. Canaan,,45-56,,
8:14.0,R. Covington makes free throw 2 of 2,1,46-56,,
7:55.0,,,46-58,2,K. Porzingis makes 2-pt shot from 6 ft
7:49.0,Turnover by J. Sampson (traveling),,46-58,,
7:35.0,,,46-60,2,J. Calderon makes 2-pt shot from 15 ft
7:11.0,R. Holmes misses 3-pt shot from 24 ft,,46-60,,
7:10.0,,,46-60,,Defensive rebound by Team
6:53.0,,,46-60,,Shooting foul by R. Holmes (drawn by K. Porzingis)
6:53.0,,,46-61,1,K. Porzingis makes free throw 1 of 2
6:53.0,,,46-61,,L. Thomas enters the game for R. Lopez
6:53.0,,,46-62,1,K. Porzingis makes free throw 2 of 2
6:42.0,T. McConnell misses 2-pt shot from 6 ft,,46-62,,
6:42.0,,,46-62,,Defensive rebound by K. Porzingis
6:32.0,,,46-64,2,C. Anthony makes 2-pt shot from 1 ft
6:32.0,Philadelphia full timeout,,46-64,,
6:32.0,N. Stauskas enters the game for J. Sampson,,46-64,,
6:16.0,R. Holmes misses 2-pt shot at rim,,46-64,,
6:15.0,Offensive rebound by R. Holmes,,46-64,,
6:15.0,R. Holmes makes 2-pt shot at rim,2,48-64,,
5:58.0,,,48-64,,A. Afflalo misses 3-pt shot from 23 ft
5:58.0,Defensive rebound by T. McConnell,,48-64,,
5:35.0,Shooting foul by A. Afflalo (drawn by T. McConnell),,48-64,,
5:35.0,T. McConnell misses free throw 1 of 2,,48-64,,
5:35.0,Offensive rebound by Team,,48-64,,
5:35.0,T. McConnell makes free throw 2 of 2,1,49-64,,
5:22.0,,,49-64,,J. Calderon misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by R. Covington,,49-64,,
5:15.0,R. Holmes makes 2-pt shot at rim (assist by R. Covington),2,51-64,,
4:54.0,,,51-64,,C. Anthony misses 2-pt shot from 1 ft
4:53.0,Defensive rebound by R. Covington,,51-64,,
4:42.0,H. Thompson misses 2-pt shot from 1 ft,,51-64,,
4:41.0,,,51-64,,Defensive rebound by A. Afflalo
4:28.0,,,51-67,3,J. Calderon makes 3-pt shot from 24 ft (assist by C. Anthony)
4:05.0,H. Thompson makes 3-pt shot from 24 ft (assist by N. Stauskas),3,54-67,,
3:48.0,,,54-69,2,A. Afflalo makes 2-pt shot from 7 ft
3:48.0,Away from play foul by R. Holmes (drawn by K. Porzingis),,54-69,,
3:48.0,J. Sampson enters the game for R. Covington,,54-69,,
3:48.0,P. Pressey enters the game for T. McConnell,,54-69,,
3:48.0,,,54-69,,L. Galloway enters the game for A. Afflalo
3:48.0,,,54-69,,J. Grant enters the game for J. Calderon
3:48.0,,,54-70,1,K. Porzingis makes free throw 1 of 1
3:34.0,Shooting foul by J. Grant (drawn by N. Stauskas),,54-70,,
3:34.0,N. Stauskas misses free throw 1 of 2,,54-70,,
3:34.0,Offensive rebound by Team,,54-70,,
3:34.0,,,54-70,,K. Seraphin enters the game for K. Porzingis
3:34.0,N. Stauskas makes free throw 2 of 2,1,55-70,,
3:18.0,,,55-70,,C. Anthony misses 3-pt shot from 24 ft
3:18.0,Defensive rebound by H. Thompson,,55-70,,
3:08.0,Shooting foul by K. Seraphin (drawn by R. Holmes),,55-70,,
3:08.0,R. Holmes makes free throw 1 of 2,1,56-70,,
3:08.0,R. Holmes makes free throw 2 of 2,1,57-70,,
2:48.0,Personal foul by J. Sampson (drawn by C. Anthony),,57-70,,
2:48.0,,,57-70,,New York full timeout
2:48.0,N. Noel enters the game for R. Holmes,,57-70,,
2:48.0,,,57-70,,Turnover by Team (5 sec inbounds)
2:48.0,,,57-70,,D. Williams enters the game for C. Anthony
2:37.0,Turnover by P. Pressey (bad pass; steal by K. Seraphin),,57-70,,
2:29.0,,,57-70,,L. Galloway misses 2-pt shot from 19 ft
2:28.0,,,57-70,,Offensive rebound by L. Thomas
2:28.0,,,57-72,2,L. Thomas makes 2-pt shot at rim
2:04.0,Shooting foul by K. Seraphin (drawn by J. Sampson),,57-72,,
2:04.0,J. Sampson misses free throw 1 of 2,,57-72,,
2:04.0,Offensive rebound by Team,,57-72,,
2:04.0,J. Sampson makes free throw 2 of 2,1,58-72,,
1:58.0,,,58-74,2,J. Grant makes 2-pt shot at rim
1:46.0,Shooting foul by L. Galloway (drawn by P. Pressey),,58-74,,
1:46.0,P. Pressey misses free throw 1 of 2,,58-74,,
1:46.0,Offensive rebound by Team,,58-74,,
1:46.0,P. Pressey misses free throw 2 of 2,,58-74,,
1:45.0,,,58-74,,Defensive rebound by K. Seraphin
1:35.0,,,58-76,2,J. Grant makes 2-pt shot at rim (assist by K. Seraphin)
1:35.0,,,58-76,,Shooting foul by J. Sampson (drawn by J. Grant)
1:35.0,,,58-77,1,J. Grant makes free throw 1 of 1
1:22.0,P. Pressey misses 2-pt shot from 11 ft,,58-77,,
1:21.0,,,58-77,,Defensive rebound by Team
0:58.0,,,58-79,2,D. Williams makes 2-pt shot at rim (assist by J. Grant)
0:35.0,N. Noel misses 2-pt shot from 3 ft,,58-79,,
0:35.0,,,58-79,,Defensive rebound by L. Galloway
0:31.0,,,58-79,,J. Grant misses 2-pt shot from 3 ft (block by H. Thompson)
0:30.0,,,58-79,,Offensive rebound by Team
0:30.0,R. Covington enters the game for J. Sampson,,58-79,,
0:30.0,I. Canaan enters the game for P. Pressey,,58-79,,
0:28.0,,,58-79,,D. Williams misses 2-pt shot from 18 ft
0:27.0,Defensive rebound by H. Thompson,,58-79,,
0:05.0,I. Canaan misses 2-pt shot from 2 ft,,58-79,,
0:05.0,,,58-79,,Defensive rebound by J. Grant
0:00.0,,,58-81,2,L. Thomas makes 2-pt shot from 1 ft (assist by J. Grant)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,H. Thompson makes 3-pt shot from 24 ft (assist by I. Canaan),3,61-81,,
11:28.0,,,61-81,,Turnover by J. Grant (bad pass)
11:07.0,T. McConnell misses 2-pt shot from 2 ft (block by K. Seraphin),,61-81,,
11:05.0,,,61-81,,Defensive rebound by K. Seraphin
10:58.0,,,61-81,,L. Galloway misses 2-pt shot from 1 ft
10:57.0,Defensive rebound by H. Thompson,,61-81,,
10:51.0,I. Canaan misses 3-pt shot from 25 ft,,61-81,,
10:51.0,,,61-81,,Defensive rebound by J. Grant
10:46.0,,,61-81,,Turnover by J. Grant (bad pass)
10:33.0,Turnover by R. Covington (lost ball; steal by L. Galloway),,61-81,,
10:29.0,,,61-81,,Shooting foul by R. Covington (drawn by D. Williams)
10:29.0,,,61-81,,D. Williams misses free throw 1 of 2
10:29.0,,,61-81,,Offensive rebound by Team
10:29.0,,,61-82,1,D. Williams makes free throw 2 of 2
10:10.0,H. Thompson makes 2-pt shot from 10 ft,2,63-82,,
9:47.0,,,63-82,,Shooting foul by R. Covington (drawn by K. Seraphin)
9:47.0,,,63-83,1,K. Seraphin makes free throw 1 of 2
9:47.0,,,63-84,1,K. Seraphin makes free throw 2 of 2
9:27.0,N. Noel makes 2-pt shot from 4 ft,2,65-84,,
9:13.0,,,65-84,,L. Thomas misses 2-pt shot from 7 ft
9:11.0,,,65-84,,Offensive rebound by D. Williams
9:11.0,,,65-86,2,D. Williams makes 2-pt shot at rim
9:11.0,Philadelphia full timeout,,65-86,,
9:11.0,J. Sampson enters the game for R. Covington,,65-86,,
9:11.0,,,65-86,,J. Calderon enters the game for L. Galloway
9:11.0,,,65-86,,K. Porzingis enters the game for K. Seraphin
8:56.0,N. Noel misses 2-pt shot from 2 ft,,65-86,,
8:55.0,,,65-86,,Defensive rebound by K. Porzingis
8:53.0,Personal foul by I. Canaan (drawn by J. Calderon),,65-86,,
8:53.0,Philadelphia full timeout,,65-86,,
8:53.0,R. Holmes enters the game for N. Noel,,65-86,,
8:43.0,,,65-86,,Turnover by J. Grant (lost ball; steal by I. Canaan)
8:29.0,I. Canaan misses 2-pt shot from 1 ft (block by K. Porzingis),,65-86,,
8:28.0,Offensive rebound by I. Canaan,,65-86,,
8:23.0,I. Canaan makes 3-pt shot from 24 ft,3,68-86,,
8:12.0,,,68-88,2,K. Porzingis makes 2-pt shot at rim (assist by D. Williams)
7:49.0,H. Thompson misses 2-pt shot from 12 ft,,68-88,,
7:49.0,,,68-88,,Defensive rebound by J. Calderon
7:38.0,,,68-90,2,J. Grant makes 2-pt shot from 5 ft (assist by J. Calderon)
7:38.0,,,68-90,,Shooting foul by H. Thompson (drawn by J. Grant)
7:38.0,N. Noel enters the game for H. Thompson,,68-90,,
7:38.0,,,68-91,1,J. Grant makes free throw 1 of 1
7:26.0,T. McConnell makes 2-pt shot from 20 ft,2,70-91,,
7:01.0,,,70-91,,K. Porzingis misses 2-pt shot from 21 ft
7:00.0,Defensive rebound by Team,,70-91,,
7:00.0,N. Stauskas enters the game for J. Sampson,,70-91,,
6:33.0,I. Canaan makes 2-pt shot from 2 ft,2,72-91,,
6:17.0,,,72-91,,L. Galloway enters the game for J. Grant
6:17.0,,,72-91,,S. Vujacic enters the game for L. Thomas
6:17.0,,,72-91,,Turnover by S. Vujacic (traveling)
6:08.0,R. Holmes makes 2-pt shot at rim,2,74-91,,
6:08.0,,,74-91,,New York full timeout
6:08.0,,,74-91,,K. Seraphin enters the game for J. Calderon
5:43.0,,,74-91,,L. Galloway misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by N. Noel,,74-91,,
5:33.0,Turnover by N. Noel (lost ball),,74-91,,
5:33.0,,,74-91,,K. Seraphin misses 2-pt shot from 14 ft
5:33.0,,,74-91,,Offensive rebound by L. Galloway
5:24.0,,,74-91,,S. Vujacic misses 3-pt shot from 24 ft
5:23.0,,,74-91,,Offensive rebound by K. Seraphin
5:16.0,,,74-93,2,K. Porzingis makes 2-pt shot at rim
5:04.0,N. Noel misses 2-pt shot from 1 ft,,74-93,,
5:03.0,,,74-93,,Defensive rebound by S. Vujacic
4:55.0,,,74-93,,D. Williams misses 3-pt shot from 24 ft
