time,Portland,pts.away,score,pts.home,Washington
9:38.0,,,38-28,3,J. Dudley makes 3-pt shot from 25 ft (assist by B. Beal)
9:16.0,G. Henderson makes 3-pt shot from 24 ft (assist by M. Leonard),3,41-28,,
9:02.0,,,41-30,2,N. Hilario makes 2-pt shot from 1 ft (assist by R. Sessions)
8:43.0,C. McCollum misses 2-pt shot from 13 ft,,41-30,,
8:42.0,,,41-30,,Defensive rebound by R. Sessions
8:25.0,,,41-30,,Turnover by N. Hilario (bad pass; steal by A. Crabbe)
8:16.0,C. McCollum makes 3-pt shot from 29 ft,3,44-30,,
8:11.0,,,44-30,,Washington full timeout
8:11.0,,,44-30,,J. Wall enters the game for N. Hilario
8:11.0,,,44-30,,M. Gortat enters the game for B. Beal
8:00.0,,,44-32,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
7:44.0,A. Crabbe misses 2-pt shot from 17 ft,,44-32,,
7:42.0,Offensive rebound by E. Davis,,44-32,,
7:33.0,E. Davis makes 2-pt shot from 2 ft (assist by A. Crabbe),2,46-32,,
7:33.0,Shooting foul by J. Wall (drawn by E. Davis),,46-32,,
7:33.0,E. Davis makes free throw 1 of 1,1,47-32,,
7:20.0,,,47-34,2,J. Wall makes 2-pt shot from 16 ft
7:01.0,M. Leonard misses 3-pt shot from 26 ft,,47-34,,
7:00.0,,,47-34,,Defensive rebound by G. Neal
6:50.0,,,47-34,,J. Dudley misses 3-pt shot from 22 ft
6:49.0,Defensive rebound by G. Henderson,,47-34,,
6:43.0,Turnover by G. Henderson (bad pass; steal by J. Wall),,47-34,,
6:34.0,,,47-34,,J. Wall misses 3-pt shot from 25 ft
6:33.0,Defensive rebound by M. Leonard,,47-34,,
6:12.0,M. Leonard makes 2-pt shot from 15 ft,2,49-34,,
6:03.0,,,49-36,2,G. Neal makes 2-pt shot from 17 ft (assist by R. Sessions)
5:46.0,,,49-36,,Personal foul by J. Dudley (drawn by C. McCollum)
5:46.0,Official timeout,,49-36,,
5:46.0,,,49-36,,G. Temple enters the game for R. Sessions
5:46.0,M. Plumlee enters the game for E. Davis,,49-36,,
5:46.0,D. Lillard enters the game for C. McCollum,,49-36,,
5:34.0,D. Lillard misses 3-pt shot from 24 ft,,49-36,,
5:33.0,,,49-36,,Defensive rebound by G. Neal
5:28.0,,,49-38,2,G. Neal makes 2-pt shot from 8 ft
5:28.0,,,49-38,,Shooting foul by G. Henderson (drawn by G. Neal)
5:28.0,A. Aminu enters the game for G. Henderson,,49-38,,
5:28.0,M. Harkless enters the game for M. Leonard,,49-38,,
5:28.0,,,49-39,1,G. Neal makes free throw 1 of 1
5:07.0,A. Crabbe makes 2-pt shot from 16 ft,2,51-39,,
4:57.0,,,51-39,,G. Neal misses 2-pt shot from 19 ft
4:56.0,Defensive rebound by M. Plumlee,,51-39,,
4:50.0,A. Aminu misses 2-pt shot at rim,,51-39,,
4:49.0,Offensive rebound by M. Plumlee,,51-39,,
4:45.0,Turnover by M. Plumlee (lost ball; steal by J. Wall),,51-39,,
4:42.0,,,51-41,2,J. Wall makes 2-pt shot from 1 ft
4:36.0,A. Aminu misses 3-pt shot from 24 ft,,51-41,,
4:34.0,,,51-41,,Defensive rebound by M. Gortat
4:27.0,,,51-43,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Dudley)
4:27.0,,,51-43,,Shooting foul by A. Aminu (drawn by M. Gortat)
4:27.0,Portland full timeout,,51-43,,
4:27.0,,,51-44,1,M. Gortat makes free throw 1 of 1
4:08.0,A. Crabbe makes 2-pt shot from 15 ft (assist by M. Plumlee),2,53-44,,
3:51.0,,,53-44,,Turnover by G. Neal (bad pass)
3:30.0,M. Plumlee misses 2-pt shot from 10 ft,,53-44,,
3:29.0,,,53-44,,Defensive rebound by G. Neal
3:23.0,Personal foul by M. Harkless (drawn by M. Gortat),,53-44,,
3:11.0,,,53-46,2,M. Gortat makes 2-pt shot at rim (assist by G. Neal)
2:58.0,D. Lillard makes 2-pt shot from 7 ft,2,55-46,,
2:48.0,,,55-46,,J. Wall misses 2-pt shot from 15 ft
2:47.0,,,55-46,,Offensive rebound by M. Gortat
2:41.0,,,55-48,2,M. Gortat makes 2-pt shot from 4 ft (assist by J. Dudley)
2:27.0,A. Aminu makes 2-pt shot from 1 ft (assist by M. Plumlee),2,57-48,,
2:11.0,,,57-50,2,M. Gortat makes 2-pt shot from 3 ft (assist by J. Dudley)
1:59.0,D. Lillard misses 2-pt shot from 16 ft,,57-50,,
1:58.0,Offensive rebound by Team,,57-50,,
1:58.0,,,57-50,,Loose ball foul by G. Temple (drawn by M. Plumlee)
1:58.0,C. McCollum enters the game for A. Crabbe,,57-50,,
1:55.0,,,57-50,,Violation by M. Gortat (kicked ball)
1:48.0,A. Aminu misses 2-pt shot from 15 ft,,57-50,,
1:47.0,,,57-50,,Defensive rebound by M. Gortat
1:37.0,,,57-52,2,G. Neal makes 2-pt shot from 16 ft
1:12.0,M. Plumlee misses 2-pt shot from 11 ft,,57-52,,
1:11.0,Offensive rebound by M. Plumlee,,57-52,,
1:09.0,M. Plumlee misses 2-pt shot at rim (block by M. Gortat),,57-52,,
1:07.0,Offensive rebound by M. Harkless,,57-52,,
1:05.0,M. Harkless makes 2-pt shot at rim,2,59-52,,
0:45.0,,,59-54,2,G. Temple makes 2-pt shot from 6 ft (assist by J. Wall)
0:40.0,Portland full timeout,,59-54,,
0:40.0,A. Crabbe enters the game for A. Aminu,,59-54,,
0:40.0,M. Leonard enters the game for M. Harkless,,59-54,,
0:34.0,C. McCollum misses 3-pt shot from 27 ft,,59-54,,
0:32.0,,,59-54,,Defensive rebound by G. Neal
0:24.0,,,59-54,,Washington full timeout
0:24.0,M. Harkless enters the game for M. Leonard,,59-54,,
0:24.0,,,59-54,,B. Beal enters the game for G. Temple
0:15.0,,,59-57,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
0:01.0,C. McCollum misses 2-pt shot from 5 ft,,59-57,,
0:00.0,Offensive rebound by Team,,59-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Turnover by N. Vonleh (traveling),,59-57,,
11:25.0,,,59-60,3,G. Temple makes 3-pt shot from 25 ft (assist by J. Wall)
11:06.0,C. McCollum makes 2-pt shot from 14 ft,2,61-60,,
11:06.0,Shooting foul by J. Wall (drawn by C. McCollum),,61-60,,
11:06.0,C. McCollum makes free throw 1 of 1,1,62-60,,
10:51.0,,,62-60,,Shooting foul by M. Plumlee (drawn by M. Gortat)
10:51.0,,,62-61,1,M. Gortat makes free throw 1 of 2
10:51.0,,,62-61,,M. Gortat misses free throw 2 of 2
10:50.0,Defensive rebound by N. Vonleh,,62-61,,
10:40.0,D. Lillard makes 3-pt shot from 27 ft,3,65-61,,
10:31.0,,,65-61,,J. Dudley misses 3-pt shot from 26 ft
10:30.0,Defensive rebound by C. McCollum,,65-61,,
10:16.0,,,65-61,,Personal foul by J. Dudley (drawn by N. Vonleh)
10:07.0,C. McCollum misses 2-pt shot from 4 ft,,65-61,,
10:05.0,,,65-61,,Defensive rebound by K. Oubre
10:05.0,Personal foul by C. McCollum (drawn by K. Oubre),,65-61,,
9:54.0,,,65-61,,J. Wall misses 2-pt shot from 14 ft
9:53.0,Defensive rebound by M. Plumlee,,65-61,,
9:44.0,D. Lillard makes 3-pt shot from 24 ft,3,68-61,,
9:31.0,,,68-61,,K. Oubre misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by M. Plumlee,,68-61,,
9:21.0,Turnover by A. Aminu (offensive goaltending),,68-61,,
9:03.0,,,68-61,,J. Wall misses 2-pt shot from 18 ft
9:02.0,Defensive rebound by N. Vonleh,,68-61,,
8:43.0,N. Vonleh misses 2-pt shot from 17 ft,,68-61,,
8:41.0,,,68-61,,Defensive rebound by K. Oubre
8:21.0,,,68-61,,J. Wall misses 2-pt shot from 18 ft
8:20.0,Defensive rebound by N. Vonleh,,68-61,,
8:08.0,D. Lillard misses 3-pt shot from 27 ft,,68-61,,
8:07.0,,,68-61,,Defensive rebound by J. Wall
7:55.0,Personal foul by N. Vonleh (drawn by M. Gortat),,68-61,,
7:55.0,,,68-61,,N. Hilario enters the game for J. Dudley
7:45.0,,,68-61,,J. Wall misses 2-pt shot from 14 ft
7:44.0,Defensive rebound by M. Plumlee,,68-61,,
7:32.0,A. Aminu makes 3-pt shot from 26 ft (assist by M. Plumlee),3,71-61,,
7:31.0,,,71-61,,Washington full timeout
7:17.0,,,71-61,,Turnover by N. Hilario (bad pass; steal by A. Aminu)
7:17.0,,,71-61,,Personal foul by M. Gortat (drawn by A. Aminu)
7:17.0,,,71-61,,G. Neal enters the game for K. Oubre
7:00.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,73-61,,
6:44.0,,,73-61,,G. Neal misses 2-pt shot from 19 ft
6:43.0,Defensive rebound by N. Vonleh,,73-61,,
6:29.0,C. McCollum makes 3-pt shot from 26 ft (assist by M. Plumlee),3,76-61,,
6:11.0,,,76-61,,G. Temple misses 2-pt shot from 20 ft
6:10.0,Defensive rebound by A. Aminu,,76-61,,
5:56.0,C. McCollum makes 3-pt shot from 26 ft (assist by N. Vonleh),3,79-61,,
5:55.0,,,79-61,,Washington full timeout
5:55.0,,,79-61,,B. Beal enters the game for G. Temple
5:39.0,,,79-61,,B. Beal misses 2-pt shot from 11 ft
5:38.0,Defensive rebound by M. Plumlee,,79-61,,
5:28.0,D. Lillard misses 2-pt shot from 17 ft,,79-61,,
5:27.0,,,79-61,,Defensive rebound by J. Wall
5:18.0,Personal block foul by A. Aminu (drawn by J. Wall),,79-61,,
5:18.0,A. Crabbe enters the game for A. Aminu,,79-61,,
5:15.0,,,79-61,,Turnover by J. Wall (step out of bounds)
4:58.0,A. Crabbe makes 3-pt shot from 26 ft (assist by M. Plumlee),3,82-61,,
4:42.0,,,82-63,2,G. Neal makes 2-pt shot from 14 ft
4:26.0,C. McCollum misses 3-pt shot from 25 ft,,82-63,,
4:25.0,,,82-63,,Defensive rebound by N. Hilario
4:17.0,,,82-65,2,G. Neal makes 2-pt shot from 6 ft
3:59.0,M. Plumlee makes 2-pt shot from 4 ft (assist by D. Lillard),2,84-65,,
3:59.0,Shooting foul by N. Hilario (drawn by M. Plumlee),,84-65,,
3:59.0,M. Leonard enters the game for N. Vonleh,,84-65,,
3:59.0,,,84-65,,J. Dudley enters the game for M. Gortat
3:59.0,G. Henderson enters the game for C. McCollum,,84-65,,
3:59.0,M. Plumlee misses free throw 1 of 1,,84-65,,
3:57.0,,,84-65,,Defensive rebound by N. Hilario
3:45.0,,,84-68,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
3:21.0,M. Plumlee misses 2-pt shot from 1 ft,,84-68,,
3:20.0,Offensive rebound by M. Plumlee,,84-68,,
3:19.0,M. Plumlee misses 2-pt shot at rim,,84-68,,
3:18.0,Offensive rebound by M. Plumlee,,84-68,,
3:16.0,M. Plumlee makes 2-pt shot from 1 ft,2,86-68,,
3:07.0,Personal foul by A. Crabbe (drawn by B. Beal),,86-68,,
3:07.0,,,86-69,1,B. Beal makes free throw 1 of 2
3:07.0,E. Davis enters the game for M. Plumlee,,86-69,,
3:07.0,,,86-70,1,B. Beal makes free throw 2 of 2
2:43.0,D. Lillard misses 2-pt shot from 13 ft,,86-70,,
2:41.0,,,86-70,,Defensive rebound by Team
2:30.0,Personal foul by A. Crabbe (drawn by B. Beal),,86-70,,
2:30.0,,,86-71,1,B. Beal makes free throw 1 of 2
2:30.0,,,86-71,,B. Beal misses free throw 2 of 2
2:29.0,Defensive rebound by M. Leonard,,86-71,,
2:15.0,Offensive foul by M. Leonard,,86-71,,
2:15.0,Turnover by M. Leonard (offensive foul),,86-71,,
1:59.0,,,86-71,,G. Neal misses 2-pt shot from 15 ft
1:58.0,Defensive rebound by A. Crabbe,,86-71,,
1:53.0,A. Crabbe misses 2-pt shot from 1 ft,,86-71,,
1:52.0,Offensive rebound by D. Lillard,,86-71,,
1:52.0,D. Lillard makes 2-pt shot from 2 ft,2,88-71,,
1:44.0,,,88-74,3,J. Wall makes 3-pt shot from 26 ft (assist by B. Beal)
1:21.0,M. Leonard makes 3-pt shot from 27 ft (assist by E. Davis),3,91-74,,
1:07.0,,,91-74,,J. Wall misses 3-pt shot from 27 ft
1:06.0,Defensive rebound by E. Davis,,91-74,,
0:47.0,M. Leonard makes 3-pt shot from 27 ft (assist by A. Crabbe),3,94-74,,
0:38.0,Personal foul by A. Crabbe (drawn by B. Beal),,94-74,,
0:38.0,,,94-75,1,B. Beal makes free throw 1 of 2
0:38.0,,,94-75,,R. Sessions enters the game for J. Wall
0:38.0,,,94-76,1,B. Beal makes free throw 2 of 2
0:24.0,Turnover by D. Lillard (bad pass),,94-76,,
0:02.0,,,94-76,,B. Beal misses 2-pt shot from 21 ft
0:01.0,Defensive rebound by A. Crabbe,,94-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,94-76,,J. Dudley misses 2-pt shot from 19 ft
11:46.0,Defensive rebound by E. Davis,,94-76,,
11:25.0,Shooting foul by M. Gortat (drawn by E. Davis),,94-76,,
11:25.0,E. Davis makes free throw 1 of 2,1,95-76,,
11:25.0,E. Davis makes free throw 2 of 2,1,96-76,,
11:08.0,,,96-76,,G. Neal misses 2-pt shot from 7 ft
11:07.0,Defensive rebound by A. Crabbe,,96-76,,
10:50.0,G. Henderson misses 2-pt shot from 15 ft,,96-76,,
10:49.0,,,96-76,,Defensive rebound by M. Gortat
10:42.0,,,96-76,,Shooting foul by M. Leonard (drawn by R. Sessions)
10:42.0,,,96-77,1,R. Sessions makes free throw 1 of 2
10:42.0,,,96-78,1,R. Sessions makes free throw 2 of 2
10:23.0,M. Leonard makes 2-pt shot from 2 ft (assist by E. Davis),2,98-78,,
10:02.0,,,98-80,2,B. Beal makes 2-pt shot from 2 ft
9:43.0,Shooting foul by J. Dudley (drawn by E. Davis),,98-80,,
9:43.0,E. Davis makes free throw 1 of 2,1,99-80,,
9:43.0,E. Davis misses free throw 2 of 2,,99-80,,
9:42.0,,,99-80,,Defensive rebound by B. Beal
9:23.0,,,99-80,,B. Beal misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by E. Davis,,99-80,,
9:10.0,,,99-80,,Personal foul by G. Neal (drawn by C. McCollum)
9:10.0,,,99-80,,J. Wall enters the game for G. Neal
9:05.0,,,99-80,,Personal foul by J. Wall (drawn by C. McCollum)
8:54.0,C. McCollum makes 2-pt shot from 13 ft (assist by M. Leonard),2,101-80,,
8:46.0,,,101-80,,Turnover by R. Sessions (lost ball; steal by A. Crabbe)
8:42.0,A. Crabbe makes 2-pt shot from 2 ft (assist by C. McCollum),2,103-80,,
8:41.0,,,103-80,,Washington full timeout
8:26.0,,,103-82,2,M. Gortat makes 2-pt shot from 11 ft
8:04.0,C. McCollum makes 3-pt shot from 26 ft (assist by E. Davis),3,106-82,,
7:55.0,Personal foul by G. Henderson (drawn by J. Dudley),,106-82,,
7:41.0,,,106-84,2,J. Wall makes 2-pt shot from 15 ft
7:28.0,Offensive foul by E. Davis,,106-84,,
7:28.0,Turnover by E. Davis (offensive foul),,106-84,,
7:08.0,,,106-84,,Offensive foul by M. Gortat
7:08.0,,,106-84,,Turnover by M. Gortat (offensive foul)
6:50.0,G. Henderson misses 3-pt shot from 28 ft,,106-84,,
6:49.0,,,106-84,,Defensive rebound by Team
6:30.0,,,106-86,2,R. Sessions makes 2-pt shot from 3 ft
6:02.0,Turnover by G. Henderson (lost ball; steal by B. Beal),,106-86,,
5:56.0,Official timeout,,106-86,,
5:56.0,,,106-86,,G. Temple enters the game for B. Beal
5:56.0,D. Lillard enters the game for G. Henderson,,106-86,,
5:42.0,,,106-86,,J. Wall misses 2-pt shot from 18 ft
5:41.0,Defensive rebound by A. Crabbe,,106-86,,
5:21.0,E. Davis misses 2-pt shot from 1 ft,,106-86,,
5:20.0,,,106-86,,Defensive rebound by G. Temple
5:19.0,Personal foul by A. Crabbe (drawn by J. Wall),,106-86,,
5:01.0,,,106-88,2,J. Dudley makes 2-pt shot from 19 ft (assist by J. Wall)
4:42.0,D. Lillard misses 3-pt shot from 29 ft,,106-88,,
4:41.0,,,106-88,,Defensive rebound by M. Gortat
4:29.0,,,106-91,3,G. Temple makes 3-pt shot from 25 ft (assist by J. Wall)
4:03.0,M. Leonard misses 3-pt shot from 27 ft,,106-91,,
4:02.0,,,106-91,,Defensive rebound by M. Gortat
3:50.0,,,106-91,,M. Gortat misses 2-pt shot from 13 ft
3:49.0,Defensive rebound by E. Davis,,106-91,,
3:25.0,Turnover by C. McCollum (lost ball),,106-91,,
3:15.0,,,106-91,,J. Wall misses 2-pt shot from 12 ft
3:13.0,,,106-91,,Offensive rebound by M. Gortat
3:11.0,,,106-91,,Turnover by M. Gortat (bad pass; steal by E. Davis)
3:07.0,Portland full timeout,,106-91,,
3:07.0,,,106-91,,K. Oubre enters the game for J. Dudley
3:07.0,M. Plumlee enters the game for E. Davis,,106-91,,
3:07.0,A. Aminu enters the game for M. Leonard,,106-91,,
3:07.0,,,106-91,,Technical foul by J. Wall
3:07.0,D. Lillard misses technical free throw,,106-91,,
3:07.0,Offensive rebound by Team,,106-91,,
2:53.0,C. McCollum misses 3-pt shot from 26 ft,,106-91,,
2:52.0,,,106-91,,Defensive rebound by J. Wall
2:47.0,,,106-91,,R. Sessions misses 3-pt shot from 26 ft
2:45.0,Defensive rebound by M. Plumlee,,106-91,,
2:27.0,M. Plumlee makes 2-pt shot from 1 ft (assist by A. Aminu),2,108-91,,
2:17.0,Personal foul by A. Crabbe (drawn by G. Temple),,108-91,,
2:17.0,,,108-91,,J. Eddie enters the game for J. Wall
2:12.0,,,108-91,,Shooting foul by M. Plumlee (drawn by R. Sessions)
2:12.0,,,108-92,1,R. Sessions makes free throw 1 of 2
2:12.0,,,108-93,1,R. Sessions makes free throw 2 of 2
1:52.0,A. Aminu misses 2-pt shot from 12 ft,,108-93,,
1:50.0,,,108-93,,Defensive rebound by R. Sessions
1:44.0,,,108-93,,J. Eddie misses 3-pt shot from 25 ft
1:42.0,,,108-93,,Offensive rebound by M. Gortat
1:37.0,Personal foul by C. McCollum (drawn by G. Temple),,108-93,,
1:37.0,,,108-94,1,G. Temple makes free throw 1 of 2
1:37.0,,,108-94,,D. Blair enters the game for M. Gortat
1:37.0,P. Connaughton enters the game for D. Lillard,,108-94,,
1:37.0,N. Vonleh enters the game for C. McCollum,,108-94,,
1:37.0,T. Frazier enters the game for M. Plumlee,,108-94,,
1:37.0,,,108-95,1,G. Temple makes free throw 2 of 2
1:29.0,Offensive foul by A. Crabbe,,108-95,,
1:29.0,Turnover by A. Crabbe (offensive foul),,108-95,,
1:29.0,G. Henderson enters the game for A. Crabbe,,108-95,,
1:20.0,,,108-95,,G. Temple misses 3-pt shot from 26 ft
1:19.0,Defensive rebound by A. Aminu,,108-95,,
1:02.0,P. Connaughton misses 2-pt shot from 19 ft,,108-95,,
1:01.0,,,108-95,,Defensive rebound by D. Blair
0:56.0,,,108-95,,R. Sessions misses 2-pt shot from 1 ft
0:54.0,Defensive rebound by N. Vonleh,,108-95,,
0:39.0,A. Aminu misses 3-pt shot from 24 ft,,108-95,,
0:37.0,,,108-95,,Defensive rebound by G. Temple
0:24.0,,,108-95,,J. Eddie misses 3-pt shot from 26 ft
0:23.0,,,108-95,,Offensive rebound by R. Sessions
0:20.0,,,108-98,3,G. Temple makes 3-pt shot from 27 ft (assist by R. Sessions)
