time,Miami,pts.away,score,pts.home,San Antonio
7:50.0,,,4-9,,T. Parker misses 2-pt shot from 17 ft
7:49.0,Defensive rebound by A. Stoudemire,,4-9,,
7:36.0,A. Stoudemire misses 2-pt shot from 1 ft (block by L. Aldridge),,4-9,,
7:34.0,,,4-9,,Defensive rebound by L. Aldridge
7:27.0,,,4-12,3,K. Leonard makes 3-pt shot from 24 ft
7:10.0,A. Stoudemire makes 2-pt shot from 1 ft (assist by G. Dragic),2,6-12,,
7:10.0,,,6-12,,San Antonio full timeout
6:59.0,,,6-14,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
6:32.0,J. McRoberts makes 2-pt shot at rim (assist by D. Wade),2,8-14,,
6:11.0,,,8-14,,L. Aldridge misses 2-pt shot from 11 ft
6:09.0,Defensive rebound by J. McRoberts,,8-14,,
5:55.0,J. McRoberts makes 3-pt shot from 25 ft (assist by G. Dragic),3,11-14,,
5:34.0,,,11-16,2,L. Aldridge makes 2-pt shot from 4 ft (assist by T. Parker)
5:13.0,J. Johnson misses 3-pt shot from 23 ft (block by K. Leonard),,11-16,,
5:11.0,,,11-16,,Defensive rebound by T. Duncan
5:07.0,,,11-16,,K. Leonard misses 3-pt shot from 24 ft
5:05.0,Defensive rebound by A. Stoudemire,,11-16,,
4:45.0,D. Wade makes 2-pt shot from 15 ft (assist by J. Johnson),2,13-16,,
4:26.0,,,13-16,,K. Leonard misses 2-pt shot from 19 ft
4:25.0,,,13-16,,Offensive rebound by L. Aldridge
4:23.0,,,13-16,,L. Aldridge misses 2-pt shot from 6 ft
4:22.0,Defensive rebound by J. McRoberts,,13-16,,
4:15.0,A. Stoudemire misses 2-pt shot from 12 ft,,13-16,,
4:13.0,,,13-16,,Defensive rebound by K. Leonard
4:04.0,,,13-18,2,K. Leonard makes 2-pt shot from 8 ft
3:57.0,Miami full timeout,,13-18,,
3:57.0,,,13-18,,P. Mills enters the game for T. Parker
3:57.0,,,13-18,,M. Ginobili enters the game for D. Green
3:57.0,,,13-18,,B. Diaw enters the game for T. Duncan
3:57.0,J. Richardson enters the game for G. Dragic,,13-18,,
3:57.0,J. Winslow enters the game for D. Wade,,13-18,,
3:57.0,H. Whiteside enters the game for A. Stoudemire,,13-18,,
3:54.0,Offensive foul by H. Whiteside,,13-18,,
3:54.0,Turnover by H. Whiteside (offensive foul),,13-18,,
3:40.0,,,13-18,,Turnover by P. Mills (lost ball; steal by H. Whiteside)
3:18.0,J. Johnson misses 3-pt shot from 24 ft,,13-18,,
3:17.0,Offensive rebound by H. Whiteside,,13-18,,
3:15.0,H. Whiteside misses 2-pt shot from 1 ft,,13-18,,
3:14.0,Offensive rebound by H. Whiteside,,13-18,,
3:14.0,Shooting foul by K. Leonard (drawn by H. Whiteside),,13-18,,
3:14.0,H. Whiteside makes free throw 1 of 2,1,14-18,,
3:14.0,,,14-18,,K. Anderson enters the game for K. Leonard
3:14.0,H. Whiteside makes free throw 2 of 2,1,15-18,,
2:52.0,,,15-20,2,L. Aldridge makes 2-pt shot at rim (assist by K. Anderson)
2:37.0,H. Whiteside makes 2-pt shot from 17 ft (assist by J. Johnson),2,17-20,,
2:18.0,,,17-22,2,B. Diaw makes 2-pt shot from 7 ft (assist by M. Ginobili)
2:07.0,Shooting foul by L. Aldridge (drawn by J. Winslow),,17-22,,
2:07.0,J. Winslow makes free throw 1 of 2,1,18-22,,
2:07.0,,,18-22,,D. West enters the game for L. Aldridge
2:07.0,G. Dragic enters the game for J. McRoberts,,18-22,,
2:07.0,J. Winslow makes free throw 2 of 2,1,19-22,,
1:55.0,,,19-22,,P. Mills misses 2-pt shot from 14 ft
1:53.0,Defensive rebound by H. Whiteside,,19-22,,
1:45.0,G. Dragic misses 2-pt shot from 8 ft,,19-22,,
1:44.0,Offensive rebound by H. Whiteside,,19-22,,
1:36.0,H. Whiteside makes 2-pt shot from 5 ft,2,21-22,,
1:19.0,,,21-24,2,D. West makes 2-pt shot from 16 ft (assist by M. Ginobili)
0:52.0,,,21-24,,Loose ball foul by B. Diaw
0:36.0,J. Winslow misses 2-pt shot at rim,,21-24,,
0:34.0,,,21-24,,Defensive rebound by D. West
0:29.0,,,21-26,2,P. Mills makes 2-pt shot from 2 ft
0:05.0,J. Winslow misses 2-pt shot from 23 ft,,21-26,,
0:05.0,Offensive rebound by Team,,21-26,,
0:05.0,Turnover by Team (shot clock),,21-26,,
0:00.0,,,21-26,,B. Diaw misses 2-pt shot from 1 ft
0:00.0,,,21-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,H. Whiteside makes 2-pt shot from 4 ft,2,23-26,,
11:20.0,,,23-26,,P. Mills misses 2-pt shot from 17 ft
11:19.0,Defensive rebound by H. Whiteside,,23-26,,
11:09.0,Turnover by G. Dragic (lost ball; steal by P. Mills),,23-26,,
10:54.0,,,23-26,,D. West misses 2-pt shot from 19 ft
10:53.0,Defensive rebound by H. Whiteside,,23-26,,
10:48.0,J. Winslow makes 2-pt shot from 6 ft (assist by J. Richardson),2,25-26,,
10:48.0,Shooting foul by D. West (drawn by J. Winslow),,25-26,,
10:48.0,,,25-26,,T. Duncan enters the game for D. West
10:48.0,J. Winslow makes free throw 1 of 1,1,26-26,,
10:37.0,,,26-28,2,B. Diaw makes 2-pt shot from 1 ft (assist by M. Ginobili)
10:23.0,,,26-28,,Violation by B. Diaw (kicked ball)
10:23.0,,,26-28,,D. West enters the game for T. Duncan
10:11.0,Shooting foul by K. Anderson (drawn by G. Green),,26-28,,
10:11.0,G. Green makes free throw 1 of 2,1,27-28,,
10:11.0,,,27-28,,K. Martin enters the game for K. Anderson
10:11.0,G. Green makes free throw 2 of 2,1,28-28,,
10:02.0,,,28-28,,Turnover by K. Martin (lost ball; steal by J. Richardson)
9:57.0,J. Richardson makes 2-pt shot at rim,2,30-28,,
9:48.0,Violation by J. Richardson (kicked ball),,30-28,,
9:41.0,,,30-28,,Shooting foul by J. Winslow (drawn by B. Diaw)
9:41.0,,,30-29,1,B. Diaw makes free throw 1 of 2
9:41.0,,,30-30,1,B. Diaw makes free throw 2 of 2
9:27.0,G. Dragic misses 2-pt shot from 5 ft,,30-30,,
9:26.0,,,30-30,,Defensive rebound by D. West
9:19.0,,,30-30,,Shooting foul by J. Winslow (drawn by P. Mills)
9:19.0,,,30-31,1,P. Mills makes free throw 1 of 3
9:19.0,,,30-32,1,P. Mills makes free throw 2 of 3
9:19.0,,,30-32,,K. Leonard enters the game for M. Ginobili
9:19.0,,,30-33,1,P. Mills makes free throw 3 of 3
9:06.0,J. Richardson makes 2-pt shot from 9 ft (assist by G. Dragic),2,32-33,,
8:57.0,,,32-33,,Shooting foul by G. Dragic (drawn by P. Mills)
8:57.0,Official timeout,,32-33,,
8:57.0,,,32-33,,T. Duncan enters the game for D. West
8:57.0,,,32-34,1,P. Mills makes free throw 1 of 2
8:57.0,,,32-35,1,P. Mills makes free throw 2 of 2
8:43.0,G. Green misses 2-pt shot from 16 ft,,32-35,,
8:41.0,,,32-35,,Defensive rebound by P. Mills
8:32.0,,,32-35,,P. Mills misses 3-pt shot from 23 ft
8:31.0,Defensive rebound by H. Whiteside,,32-35,,
8:24.0,J. Richardson misses 3-pt shot from 23 ft,,32-35,,
8:22.0,,,32-35,,Defensive rebound by T. Duncan
8:13.0,,,32-35,,Turnover by T. Duncan (lost ball; steal by G. Green)
7:57.0,G. Green misses 2-pt shot from 9 ft,,32-35,,
7:55.0,,,32-35,,Defensive rebound by T. Duncan
7:36.0,,,32-35,,Shooting foul by G. Green (drawn by K. Martin)
7:36.0,,,32-36,1,K. Martin makes free throw 1 of 2
7:36.0,D. Wade enters the game for G. Dragic,,32-36,,
7:36.0,J. Johnson enters the game for G. Green,,32-36,,
7:36.0,,,32-37,1,K. Martin makes free throw 2 of 2
7:22.0,J. Winslow misses 2-pt shot from 4 ft (block by B. Diaw),,32-37,,
7:20.0,Offensive rebound by H. Whiteside,,32-37,,
7:20.0,H. Whiteside makes 2-pt shot from 1 ft,2,34-37,,
7:04.0,,,34-40,3,K. Martin makes 3-pt shot from 23 ft (assist by T. Duncan)
6:36.0,D. Wade misses 2-pt shot from 19 ft,,34-40,,
6:34.0,,,34-40,,Defensive rebound by K. Leonard
6:28.0,,,34-43,3,K. Leonard makes 3-pt shot from 24 ft
6:28.0,Miami full timeout,,34-43,,
6:28.0,,,34-43,,T. Parker enters the game for P. Mills
6:28.0,,,34-43,,K. Anderson enters the game for B. Diaw
6:07.0,J. Winslow makes 3-pt shot from 23 ft (assist by J. Johnson),3,37-43,,
5:41.0,,,37-45,2,K. Anderson makes 2-pt shot from 11 ft
5:23.0,Turnover by H. Whiteside (lost ball; steal by T. Duncan),,37-45,,
5:17.0,,,37-47,2,K. Leonard makes 2-pt shot from 1 ft (assist by T. Duncan)
4:58.0,,,37-47,,L. Aldridge enters the game for K. Martin
4:58.0,,,37-47,,D. Green enters the game for K. Anderson
4:47.0,J. Richardson misses 2-pt shot from 15 ft,,37-47,,
4:45.0,Offensive rebound by D. Wade,,37-47,,
4:45.0,D. Wade makes 2-pt shot at rim,2,39-47,,
4:22.0,,,39-47,,K. Leonard misses 2-pt shot from 4 ft
4:21.0,Defensive rebound by J. Winslow,,39-47,,
4:08.0,D. Wade makes 2-pt shot from 16 ft,2,41-47,,
4:08.0,,,41-47,,San Antonio full timeout
4:08.0,J. McRoberts enters the game for J. Winslow,,41-47,,
3:49.0,,,41-47,,L. Aldridge misses 2-pt shot from 16 ft
3:48.0,Defensive rebound by J. Richardson,,41-47,,
3:29.0,J. McRoberts makes 2-pt shot from 5 ft (assist by J. Johnson),2,43-47,,
3:08.0,,,43-49,2,K. Leonard makes 2-pt shot from 2 ft (assist by T. Duncan)
3:08.0,,,43-49,,Shooting foul by H. Whiteside (drawn by K. Leonard)
3:08.0,,,43-50,1,K. Leonard makes free throw 1 of 1
2:57.0,H. Whiteside misses 2-pt shot from 20 ft,,43-50,,
2:56.0,,,43-50,,Defensive rebound by T. Duncan
2:43.0,,,43-50,,Turnover by T. Duncan (bad pass)
2:43.0,,,43-50,,Technical foul by Team
2:43.0,D. Wade misses technical free throw,,43-50,,
2:43.0,Offensive rebound by Team,,43-50,,
2:21.0,J. McRoberts misses 2-pt shot from 13 ft,,43-50,,
2:20.0,,,43-50,,Defensive rebound by K. Leonard
2:11.0,,,43-50,,K. Leonard misses 2-pt shot from 11 ft
2:10.0,,,43-50,,Offensive rebound by K. Leonard
2:06.0,,,43-52,2,K. Leonard makes 2-pt shot from 15 ft
1:44.0,D. Wade misses 2-pt shot from 3 ft,,43-52,,
1:42.0,,,43-52,,Defensive rebound by D. Green
1:33.0,,,43-52,,K. Leonard misses 3-pt shot from 23 ft
1:32.0,Defensive rebound by H. Whiteside,,43-52,,
1:23.0,J. Johnson makes 2-pt shot from 20 ft (assist by D. Wade),2,45-52,,
1:00.0,,,45-54,2,K. Leonard makes 2-pt shot from 1 ft
0:52.0,Miami full timeout,,45-54,,
0:52.0,G. Dragic enters the game for J. Richardson,,45-54,,
0:52.0,A. Stoudemire enters the game for H. Whiteside,,45-54,,
0:39.0,G. Dragic misses 3-pt shot from 24 ft,,45-54,,
0:37.0,,,45-54,,Defensive rebound by K. Leonard
0:17.0,,,45-54,,D. Green misses 2-pt shot from 1 ft (block by A. Stoudemire)
0:17.0,,,45-54,,Offensive rebound by K. Leonard
0:17.0,,,45-56,2,K. Leonard makes 2-pt shot from 1 ft
0:05.0,D. Wade makes 2-pt shot from 1 ft,2,47-56,,
0:01.0,,,47-56,,K. Leonard misses 3-pt shot from 32 ft
0:00.0,,,47-56,,Offensive rebound by D. Green
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,47-56,,Personal foul by D. Green
11:38.0,Turnover by J. McRoberts (bad pass),,47-56,,
11:25.0,,,47-56,,Shooting foul by J. McRoberts (drawn by K. Leonard)
11:25.0,,,47-56,,K. Leonard misses free throw 1 of 2
11:25.0,,,47-56,,Offensive rebound by Team
11:25.0,,,47-56,,K. Leonard misses free throw 2 of 2
11:24.0,,,47-56,,Offensive rebound by T. Duncan
11:13.0,,,47-56,,K. Leonard misses 3-pt shot from 23 ft
11:12.0,Defensive rebound by A. Stoudemire,,47-56,,
11:04.0,G. Dragic makes 2-pt shot at rim,2,49-56,,
10:49.0,,,49-56,,D. Green misses 3-pt shot from 22 ft
10:47.0,Defensive rebound by D. Wade,,49-56,,
10:38.0,J. McRoberts misses 3-pt shot from 24 ft,,49-56,,
10:37.0,,,49-56,,Defensive rebound by K. Leonard
10:26.0,,,49-58,2,T. Parker makes 2-pt shot from 16 ft
10:14.0,D. Wade makes 2-pt shot at rim,2,51-58,,
9:53.0,,,51-61,3,D. Green makes 3-pt shot from 24 ft (assist by T. Parker)
9:38.0,G. Dragic makes 2-pt shot from 15 ft,2,53-61,,
9:20.0,,,53-63,2,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker)
9:06.0,J. McRoberts misses 2-pt shot from 18 ft,,53-63,,
9:05.0,,,53-63,,Defensive rebound by T. Duncan
9:02.0,,,53-63,,Shooting foul by J. McRoberts (drawn by K. Leonard)
9:02.0,,,53-65,2,K. Leonard makes 2-pt shot at rim (assist by L. Aldridge)
9:02.0,,,53-66,1,K. Leonard makes free throw 1 of 1
9:02.0,Miami full timeout,,53-66,,
8:47.0,Turnover by A. Stoudemire (step out of bounds),,53-66,,
8:29.0,,,53-66,,D. Green misses 2-pt shot at rim (block by D. Wade)
8:27.0,Defensive rebound by J. McRoberts,,53-66,,
8:14.0,J. Johnson misses 3-pt shot from 24 ft,,53-66,,
8:13.0,,,53-66,,Defensive rebound by T. Duncan
8:01.0,,,53-66,,K. Leonard misses 2-pt shot from 1 ft (block by A. Stoudemire)
7:59.0,Defensive rebound by D. Wade,,53-66,,
7:57.0,Turnover by G. Dragic (bad pass),,53-66,,
7:30.0,,,53-66,,L. Aldridge misses 2-pt shot from 17 ft
7:29.0,Defensive rebound by A. Stoudemire,,53-66,,
7:21.0,G. Dragic misses 2-pt shot from 14 ft,,53-66,,
7:18.0,,,53-66,,Defensive rebound by D. Green
7:07.0,,,53-66,,Shooting foul by A. Stoudemire (drawn by K. Leonard)
7:07.0,,,53-67,1,K. Leonard makes free throw 1 of 2
7:07.0,J. Richardson enters the game for G. Dragic,,53-67,,
7:07.0,H. Whiteside enters the game for J. Johnson,,53-67,,
7:07.0,J. Winslow enters the game for A. Stoudemire,,53-67,,
7:07.0,,,53-68,1,K. Leonard makes free throw 2 of 2
6:53.0,D. Wade makes 2-pt shot from 14 ft (assist by J. McRoberts),2,55-68,,
6:34.0,,,55-68,,T. Parker misses 2-pt shot from 8 ft (block by H. Whiteside)
6:33.0,Defensive rebound by D. Wade,,55-68,,
6:29.0,Turnover by D. Wade (lost ball; steal by K. Leonard),,55-68,,
6:14.0,,,55-68,,K. Leonard misses 2-pt shot from 14 ft
6:13.0,,,55-68,,Offensive rebound by L. Aldridge
6:01.0,,,55-70,2,K. Leonard makes 2-pt shot at rim (assist by T. Duncan)
6:01.0,,,55-70,,Shooting foul by J. Winslow (drawn by K. Leonard)
6:01.0,,,55-71,1,K. Leonard makes free throw 1 of 1
5:59.0,,,55-71,,Personal take foul by T. Parker
5:59.0,,,55-71,,M. Ginobili enters the game for K. Leonard
5:43.0,J. Richardson misses 2-pt shot from 6 ft,,55-71,,
5:42.0,,,55-71,,Defensive rebound by L. Aldridge
5:26.0,,,55-74,3,D. Green makes 3-pt shot from 24 ft (assist by T. Parker)
5:25.0,Miami full timeout,,55-74,,
5:12.0,Turnover by D. Wade (lost ball; steal by D. Green),,55-74,,
5:01.0,Personal foul by J. Richardson,,55-74,,
5:01.0,,,55-75,1,T. Parker makes free throw 1 of 2
5:01.0,,,55-75,,B. Diaw enters the game for T. Duncan
5:01.0,J. Johnson enters the game for J. McRoberts,,55-75,,
5:01.0,,,55-75,,T. Parker misses free throw 2 of 2
5:01.0,Defensive rebound by H. Whiteside,,55-75,,
4:50.0,J. Richardson misses 2-pt shot from 6 ft,,55-75,,
4:49.0,,,55-75,,Defensive rebound by L. Aldridge
4:48.0,,,55-75,,Turnover by L. Aldridge (lost ball; steal by J. Richardson)
4:40.0,J. Winslow makes 2-pt shot from 5 ft (assist by D. Wade),2,57-75,,
4:20.0,,,57-77,2,L. Aldridge makes 2-pt shot from 10 ft
4:01.0,J. Johnson misses 2-pt shot from 7 ft,,57-77,,
3:58.0,Offensive rebound by J. Richardson,,57-77,,
3:50.0,D. Wade misses 2-pt shot from 16 ft,,57-77,,
3:47.0,,,57-77,,Defensive rebound by T. Parker
3:39.0,,,57-80,3,D. Green makes 3-pt shot from 27 ft (assist by M. Ginobili)
3:19.0,J. Winslow misses 2-pt shot from 1 ft,,57-80,,
3:18.0,,,57-80,,Defensive rebound by B. Diaw
3:10.0,,,57-80,,Turnover by D. Green (lost ball; steal by J. Johnson)
3:02.0,D. Wade misses 2-pt shot from 12 ft,,57-80,,
3:01.0,,,57-80,,Defensive rebound by Team
3:01.0,,,57-80,,K. Anderson enters the game for D. Green
3:01.0,G. Dragic enters the game for D. Wade,,57-80,,
2:48.0,,,57-80,,Turnover by L. Aldridge (3 sec)
2:48.0,,,57-80,,San Antonio full timeout
2:48.0,,,57-80,,P. Mills enters the game for T. Parker
2:30.0,Turnover by G. Dragic (lost ball; steal by L. Aldridge),,57-80,,
2:17.0,,,57-80,,K. Anderson misses 2-pt shot from 9 ft
2:16.0,,,57-80,,Offensive rebound by K. Anderson
2:00.0,,,57-82,2,M. Ginobili makes 2-pt shot from 15 ft
1:49.0,Turnover by G. Dragic (lost ball; steal by L. Aldridge),,57-82,,
1:33.0,,,57-84,2,B. Diaw makes 2-pt shot from 1 ft (assist by P. Mills)
1:33.0,,,57-84,,Shooting foul by J. Richardson (drawn by B. Diaw)
1:33.0,,,57-84,,B. Marjanovic enters the game for L. Aldridge
1:33.0,,,57-84,,B. Diaw misses free throw 1 of 1
1:31.0,Defensive rebound by J. Winslow,,57-84,,
1:28.0,Shooting foul by M. Ginobili (drawn by J. Winslow),,57-84,,
1:28.0,J. Winslow misses free throw 1 of 2,,57-84,,
1:28.0,Offensive rebound by Team,,57-84,,
1:28.0,J. Winslow misses free throw 2 of 2,,57-84,,
1:28.0,,,57-84,,Defensive rebound by P. Mills
1:11.0,,,57-86,2,B. Marjanovic makes 2-pt shot from 1 ft (assist by M. Ginobili)
0:53.0,J. Richardson makes 3-pt shot from 24 ft (assist by J. Johnson),3,60-86,,
0:35.0,,,60-86,,Turnover by B. Diaw (lost ball; steal by G. Dragic)
0:31.0,Offensive charge foul by G. Dragic,,60-86,,
0:31.0,Turnover by G. Dragic (offensive foul),,60-86,,
0:06.0,,,60-88,2,B. Marjanovic makes 2-pt shot from 13 ft (assist by K. Anderson)
0:01.0,J. Richardson makes 3-pt shot from 25 ft,3,63-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,63-88,,M. Ginobili misses 2-pt shot from 2 ft
11:41.0,,,63-88,,Offensive rebound by B. Marjanovic
11:40.0,,,63-90,2,B. Marjanovic makes 2-pt shot from 1 ft
11:23.0,Turnover by G. Dragic (step out of bounds),,63-90,,
11:02.0,,,63-92,2,P. Mills makes 2-pt shot from 2 ft
10:43.0,Shooting foul by B. Marjanovic (drawn by H. Whiteside),,63-92,,
10:43.0,H. Whiteside misses free throw 1 of 2,,63-92,,
10:43.0,Offensive rebound by Team,,63-92,,
10:43.0,G. Green enters the game for G. Dragic,,63-92,,
10:43.0,H. Whiteside misses free throw 2 of 2,,63-92,,
10:41.0,,,63-92,,Defensive rebound by B. Diaw
10:24.0,,,63-92,,M. Ginobili misses 2-pt shot from 17 ft
10:23.0,Defensive rebound by G. Green,,63-92,,
10:15.0,,,63-92,,K. Martin enters the game for M. Ginobili
10:03.0,J. Richardson misses 2-pt shot from 6 ft (block by K. Anderson),,63-92,,
10:02.0,,,63-92,,Defensive rebound by K. Martin
9:51.0,,,63-92,,B. Marjanovic misses 2-pt shot from 8 ft
9:49.0,Defensive rebound by J. Johnson,,63-92,,
9:31.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Richardson),2,65-92,,
9:15.0,,,65-94,2,B. Marjanovic makes 2-pt shot from 9 ft (assist by P. Mills)
9:04.0,J. Johnson makes 3-pt shot from 23 ft (assist by J. Richardson),3,68-94,,
8:58.0,,,68-94,,San Antonio full timeout
8:58.0,,,68-94,,A. Miller enters the game for P. Mills
8:58.0,J. McRoberts enters the game for J. Johnson,,68-94,,
8:41.0,,,68-96,2,K. Martin makes 2-pt shot from 19 ft (assist by K. Anderson)
8:26.0,,,68-96,,Personal foul by A. Miller
8:12.0,G. Green makes 2-pt shot from 15 ft (assist by H. Whiteside),2,70-96,,
7:57.0,,,70-99,3,K. Martin makes 3-pt shot from 25 ft (assist by A. Miller)
7:48.0,G. Green makes 2-pt shot from 19 ft,2,72-99,,
7:33.0,,,72-99,,A. Miller misses 2-pt shot from 13 ft
7:32.0,,,72-99,,Offensive rebound by B. Marjanovic
7:28.0,,,72-99,,B. Marjanovic misses 2-pt shot from 1 ft
7:27.0,Defensive rebound by H. Whiteside,,72-99,,
7:14.0,J. Richardson makes 3-pt shot from 26 ft (assist by J. McRoberts),3,75-99,,
6:52.0,,,75-99,,K. Martin misses 2-pt shot from 6 ft
6:50.0,Defensive rebound by H. Whiteside,,75-99,,
6:44.0,G. Green misses 3-pt shot from 24 ft,,75-99,,
6:43.0,,,75-99,,Defensive rebound by B. Marjanovic
6:27.0,,,75-99,,K. Martin misses 2-pt shot from 1 ft
6:26.0,,,75-99,,Offensive rebound by B. Marjanovic
6:26.0,,,75-101,2,B. Marjanovic makes 2-pt shot from 1 ft
6:26.0,,,75-101,,Shooting foul by J. McRoberts (drawn by B. Marjanovic)
6:26.0,,,75-102,1,B. Marjanovic makes free throw 1 of 1
6:12.0,,,75-102,,Personal foul by B. Diaw
6:12.0,,,75-102,,D. West enters the game for B. Diaw
6:01.0,J. Richardson makes 2-pt shot at rim (assist by J. Winslow),2,77-102,,
5:29.0,,,77-104,2,B. Marjanovic makes 2-pt shot from 12 ft (assist by K. Martin)
5:06.0,H. Whiteside misses 2-pt shot from 14 ft,,77-104,,
5:05.0,,,77-104,,Defensive rebound by D. West
4:55.0,,,77-106,2,B. Marjanovic makes 2-pt shot at rim (assist by D. West)
4:37.0,H. Whiteside misses 2-pt shot from 1 ft,,77-106,,
4:36.0,,,77-106,,Defensive rebound by D. West
4:20.0,,,77-106,,K. Anderson misses 2-pt shot from 6 ft (block by H. Whiteside)
4:20.0,,,77-106,,Offensive rebound by Team
4:20.0,Official timeout,,77-106,,
4:14.0,,,77-106,,B. Marjanovic misses 2-pt shot from 14 ft
4:13.0,Defensive rebound by G. Green,,77-106,,
3:55.0,J. Richardson misses 2-pt shot at rim,,77-106,,
3:53.0,,,77-106,,Defensive rebound by A. Miller
3:30.0,,,77-106,,K. Anderson misses 2-pt shot from 13 ft
3:28.0,Defensive rebound by H. Whiteside,,77-106,,
3:14.0,G. Green makes 2-pt shot from 20 ft (assist by J. McRoberts),2,79-106,,
2:55.0,,,79-106,,Shooting foul by J. Winslow (drawn by K. Martin)
2:55.0,Miami full timeout,,79-106,,
2:55.0,,,79-107,1,K. Martin makes free throw 1 of 2
2:55.0,,,79-108,1,K. Martin makes free throw 2 of 2
2:39.0,Turnover by J. McRoberts (lost ball; steal by B. Marjanovic),,79-108,,
2:15.0,,,79-110,2,B. Marjanovic makes 2-pt shot from 10 ft (assist by D. West)
2:00.0,J. McRoberts makes 2-pt shot from 18 ft (assist by J. Richardson),2,81-110,,
1:42.0,,,81-110,,Turnover by A. Miller (lost ball; steal by J. Richardson)
1:39.0,J. Richardson makes 2-pt shot at rim,2,83-110,,
1:22.0,,,83-110,,A. Miller misses 2-pt shot from 1 ft (block by J. Richardson)
1:20.0,Defensive rebound by H. Whiteside,,83-110,,
1:00.0,G. Green misses 2-pt shot at rim,,83-110,,
1:00.0,,,83-110,,Defensive rebound by K. Anderson
0:50.0,,,83-112,2,B. Marjanovic makes 2-pt shot from 4 ft (assist by A. Miller)
0:40.0,G. Green makes 2-pt shot from 18 ft (assist by J. Winslow),2,85-112,,
0:15.0,,,85-112,,K. Anderson misses 2-pt shot from 17 ft
0:14.0,Defensive rebound by G. Green,,85-112,,
0:12.0,,,85-112,,Personal foul by K. Martin
0:09.0,G. Green makes 3-pt shot from 24 ft (assist by J. Winslow),3,88-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
