time,LA Lakers,pts.away,score,pts.home,Sacramento
1:20.0,,,17-37,2,O. Casspi makes 2-pt shot from 3 ft
1:11.0,,,17-37,,Personal foul by K. Koufos (drawn by J. Clarkson)
1:05.0,J. Clarkson makes 2-pt shot from 4 ft,2,19-37,,
0:50.0,,,19-37,,K. Koufos misses 2-pt shot from 4 ft (block by R. Kelly)
0:48.0,Defensive rebound by B. Bass,,19-37,,
0:43.0,L. Williams misses 2-pt shot from 5 ft (block by W. Cauley-Stein),,19-37,,
0:42.0,,,19-37,,Defensive rebound by D. Collison
0:41.0,,,19-37,,Shooting foul by J. Clarkson (drawn by O. Casspi)
0:41.0,,,19-37,,O. Casspi misses free throw 1 of 2
0:41.0,,,19-37,,Offensive rebound by Team
0:41.0,,,19-38,1,O. Casspi makes free throw 2 of 2
0:33.0,Shooting foul by W. Cauley-Stein (drawn by B. Bass),,19-38,,
0:33.0,B. Bass makes free throw 1 of 2,1,20-38,,
0:33.0,B. Bass makes free throw 2 of 2,1,21-38,,
0:12.0,,,21-40,2,K. Koufos makes 2-pt shot from 7 ft (assist by D. Collison)
0:00.0,N. Young makes 3-pt shot from 24 ft (assist by L. Williams),3,24-40,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,24-40,,M. Belinelli misses 3-pt shot from 25 ft
11:43.0,,,24-40,,Offensive rebound by Team
11:38.0,,,24-40,,K. Koufos misses 2-pt shot from 6 ft
11:36.0,,,24-40,,Offensive rebound by K. Koufos
11:36.0,,,24-42,2,K. Koufos makes 2-pt shot from 1 ft
11:23.0,L. Williams misses 2-pt shot from 6 ft,,24-42,,
11:21.0,,,24-42,,Defensive rebound by W. Cauley-Stein
11:10.0,,,24-42,,O. Casspi misses 3-pt shot from 26 ft
11:10.0,Defensive rebound by R. Kelly,,24-42,,
10:56.0,B. Bass makes 2-pt shot from 7 ft (assist by M. Huertas),2,26-42,,
10:41.0,,,26-44,2,K. Koufos makes 2-pt shot at rim (assist by M. Belinelli)
10:26.0,Shooting foul by O. Casspi (drawn by N. Young),,26-44,,
10:26.0,N. Young makes free throw 1 of 3,1,27-44,,
10:26.0,N. Young makes free throw 2 of 3,1,28-44,,
10:26.0,,,28-44,,R. Gay enters the game for K. Koufos
10:26.0,N. Young makes free throw 3 of 3,1,29-44,,
10:10.0,,,29-44,,O. Casspi misses 3-pt shot from 25 ft
10:08.0,,,29-44,,Offensive rebound by W. Cauley-Stein
10:08.0,,,29-46,2,W. Cauley-Stein makes 2-pt shot from 4 ft
9:50.0,N. Young misses 3-pt shot from 23 ft,,29-46,,
9:49.0,,,29-46,,Defensive rebound by R. Gay
9:45.0,,,29-49,3,R. Gay makes 3-pt shot from 26 ft
9:45.0,,,29-49,,Shooting foul by B. Bass (drawn by R. Gay)
9:45.0,,,29-49,,Sacramento full timeout
9:45.0,,,29-50,1,R. Gay makes free throw 1 of 1
9:28.0,M. Huertas makes 3-pt shot from 25 ft (assist by N. Young),3,32-50,,
9:13.0,,,32-52,2,D. Collison makes 2-pt shot from 16 ft
9:01.0,M. Huertas misses 2-pt shot from 8 ft,,32-52,,
9:00.0,,,32-52,,Defensive rebound by R. Gay
8:50.0,,,32-52,,Turnover by W. Cauley-Stein (lost ball; steal by N. Young)
8:40.0,R. Kelly misses 3-pt shot from 24 ft,,32-52,,
8:39.0,,,32-52,,Defensive rebound by O. Casspi
8:19.0,,,32-52,,R. Gay misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by N. Young,,32-52,,
8:14.0,,,32-52,,Violation by M. Belinelli (kicked ball)
8:14.0,,,32-52,,D. Cousins enters the game for W. Cauley-Stein
8:09.0,M. Huertas misses 2-pt shot from 13 ft,,32-52,,
8:08.0,Offensive rebound by B. Bass,,32-52,,
8:08.0,B. Bass misses 2-pt shot from 1 ft,,32-52,,
8:07.0,,,32-52,,Defensive rebound by D. Cousins
8:00.0,,,32-52,,Shooting foul by L. Williams (drawn by M. Belinelli)
8:00.0,,,32-52,,M. Belinelli misses free throw 1 of 2
8:00.0,,,32-52,,Offensive rebound by Team
8:00.0,R. Hibbert enters the game for B. Bass,,32-52,,
8:00.0,K. Bryant enters the game for N. Young,,32-52,,
8:00.0,,,32-53,1,M. Belinelli makes free throw 2 of 2
7:47.0,M. Huertas misses 2-pt shot from 3 ft,,32-53,,
7:47.0,Offensive rebound by R. Hibbert,,32-53,,
7:39.0,R. Kelly makes 2-pt shot at rim (assist by K. Bryant),2,34-53,,
7:27.0,,,34-55,2,D. Collison makes 2-pt shot from 21 ft
7:18.0,K. Bryant makes 3-pt shot from 23 ft (assist by L. Williams),3,37-55,,
7:00.0,,,37-55,,R. Gay misses 2-pt shot from 17 ft
6:57.0,Defensive rebound by L. Williams,,37-55,,
6:52.0,R. Hibbert misses 2-pt shot from 2 ft (block by D. Cousins),,37-55,,
6:50.0,,,37-55,,Defensive rebound by D. Cousins
6:48.0,,,37-57,2,O. Casspi makes 2-pt shot from 2 ft (assist by D. Cousins)
6:27.0,R. Hibbert misses 3-pt shot from 25 ft,,37-57,,
6:23.0,Offensive rebound by R. Hibbert,,37-57,,
6:23.0,R. Hibbert makes 2-pt shot at rim,2,39-57,,
6:06.0,,,39-59,2,D. Collison makes 2-pt shot from 2 ft (assist by D. Cousins)
5:59.0,K. Bryant misses 3-pt shot from 23 ft,,39-59,,
5:58.0,,,39-59,,Defensive rebound by O. Casspi
5:54.0,,,39-61,2,D. Collison makes 2-pt shot from 1 ft (assist by O. Casspi)
5:42.0,LA Lakers full timeout,,39-61,,
5:42.0,D. Russell enters the game for M. Huertas,,39-61,,
5:42.0,,,39-61,,R. Rondo enters the game for O. Casspi
5:27.0,Turnover by K. Bryant (lost ball),,39-61,,
5:18.0,,,39-61,,R. Gay misses 2-pt shot from 3 ft (block by R. Hibbert)
5:17.0,Defensive rebound by R. Kelly,,39-61,,
5:17.0,Turnover by K. Bryant (lost ball),,39-61,,
5:03.0,,,39-61,,D. Cousins misses 2-pt shot from 20 ft
5:02.0,Defensive rebound by R. Kelly,,39-61,,
4:53.0,D. Russell makes 3-pt shot from 24 ft,3,42-61,,
4:39.0,,,42-61,,Turnover by M. Belinelli (bad pass; steal by R. Kelly)
4:32.0,L. Williams misses 3-pt shot from 23 ft,,42-61,,
4:32.0,Offensive rebound by Team,,42-61,,
4:32.0,J. Clarkson enters the game for L. Williams,,42-61,,
4:32.0,J. Randle enters the game for R. Kelly,,42-61,,
4:29.0,D. Russell misses 2-pt shot from 16 ft,,42-61,,
4:28.0,Offensive rebound by K. Bryant,,42-61,,
4:26.0,K. Bryant makes 2-pt shot from 9 ft,2,44-61,,
4:00.0,,,44-61,,D. Collison misses 2-pt shot from 20 ft
4:00.0,,,44-61,,Offensive rebound by D. Cousins
3:55.0,,,44-61,,D. Cousins misses 2-pt shot from 3 ft
3:55.0,Defensive rebound by Team,,44-61,,
3:55.0,,,44-61,,K. Koufos enters the game for D. Collison
3:44.0,D. Russell misses 3-pt shot from 24 ft,,44-61,,
3:44.0,Offensive rebound by R. Hibbert,,44-61,,
3:30.0,,,44-61,,Def 3 sec tech foul by K. Koufos
3:30.0,K. Bryant makes technical free throw,1,45-61,,
3:26.0,D. Russell misses 3-pt shot from 24 ft,,45-61,,
3:26.0,,,45-61,,Defensive rebound by D. Cousins
3:20.0,,,45-61,,Shooting foul by R. Hibbert (drawn by D. Cousins)
3:20.0,,,45-62,1,D. Cousins makes free throw 1 of 2
3:20.0,B. Bass enters the game for R. Hibbert,,45-62,,
3:20.0,,,45-63,1,D. Cousins makes free throw 2 of 2
3:10.0,,,45-63,,Personal foul by D. Cousins (drawn by B. Bass)
3:04.0,K. Bryant misses 3-pt shot from 25 ft,,45-63,,
3:03.0,,,45-63,,Defensive rebound by K. Koufos
2:56.0,,,45-63,,M. Belinelli misses 3-pt shot from 25 ft
2:55.0,Defensive rebound by Team,,45-63,,
2:55.0,Official timeout,,45-63,,
2:55.0,,,45-63,,B. McLemore enters the game for M. Belinelli
2:45.0,K. Bryant makes 2-pt shot from 18 ft,2,47-63,,
2:30.0,Personal foul by B. Bass (drawn by D. Cousins),,47-63,,
2:30.0,T. Black enters the game for B. Bass,,47-63,,
2:15.0,,,47-65,2,R. Rondo makes 2-pt shot from 2 ft (assist by K. Koufos)
2:05.0,,,47-65,,Personal foul by R. Rondo (drawn by J. Clarkson)
1:56.0,Turnover by J. Randle (lost ball),,47-65,,
1:44.0,,,47-67,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
1:35.0,D. Russell misses 2-pt shot from 18 ft,,47-67,,
1:35.0,,,47-67,,Defensive rebound by D. Cousins
1:29.0,,,47-67,,Shooting foul by T. Black (drawn by D. Cousins)
1:29.0,,,47-67,,D. Cousins misses free throw 1 of 2
1:29.0,,,47-67,,Offensive rebound by Team
1:29.0,,,47-67,,D. Cousins misses free throw 2 of 2
1:28.0,Defensive rebound by J. Randle,,47-67,,
1:15.0,Shooting foul by R. Gay (drawn by J. Randle),,47-67,,
1:15.0,Technical foul by Team,,47-67,,
1:15.0,,,47-67,,R. Gay misses technical free throw
1:15.0,Offensive rebound by Team,,47-67,,
1:15.0,J. Randle misses free throw 1 of 2,,47-67,,
1:15.0,Offensive rebound by Team,,47-67,,
1:15.0,J. Randle makes free throw 2 of 2,1,48-67,,
1:05.0,Personal foul by T. Black (drawn by D. Cousins),,48-67,,
1:05.0,,,48-68,1,D. Cousins makes free throw 1 of 2
1:05.0,,,48-68,,W. Cauley-Stein enters the game for K. Koufos
1:05.0,,,48-69,1,D. Cousins makes free throw 2 of 2
1:02.0,Turnover by D. Russell (palming),,48-69,,
0:50.0,,,48-72,3,B. McLemore makes 3-pt shot from 24 ft (assist by R. Gay)
0:34.0,Turnover by K. Bryant (lost ball),,48-72,,
0:34.0,Jump ball: K. Bryant vs. D. Cousins (R. Rondo gains possession),,,,Jump ball: K. Bryant vs. D. Cousins (R. Rondo gains possession)
0:26.0,,,48-72,,Shooting foul by T. Black (drawn by D. Cousins)
0:26.0,,,48-73,1,D. Cousins makes free throw 1 of 2
0:26.0,,,48-73,,J. Anderson enters the game for R. Gay
0:26.0,,,48-74,1,D. Cousins makes free throw 2 of 2
0:04.0,J. Clarkson misses 2-pt shot from 20 ft,,48-74,,
0:04.0,Offensive rebound by K. Bryant,,48-74,,
0:02.0,K. Bryant makes 2-pt shot from 3 ft,2,50-74,,
0:00.0,,,50-74,,Turnover by R. Rondo (bad pass)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,50-74,,D. Cousins misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by K. Bryant,,50-74,,
11:25.0,,,50-74,,Personal foul by B. McLemore (drawn by R. Hibbert)
11:15.0,Shooting foul by W. Cauley-Stein (drawn by J. Randle),,50-74,,
11:15.0,J. Randle misses free throw 1 of 2,,50-74,,
11:15.0,Offensive rebound by Team,,50-74,,
11:15.0,J. Randle misses free throw 2 of 2,,50-74,,
11:14.0,,,50-74,,Defensive rebound by W. Cauley-Stein
11:04.0,Personal foul by K. Bryant (drawn by R. Gay),,50-74,,
10:54.0,,,50-74,,R. Rondo misses 3-pt shot from 25 ft
10:54.0,Defensive rebound by D. Russell,,50-74,,
10:42.0,R. Hibbert misses 2-pt shot at rim,,50-74,,
10:41.0,,,50-74,,Defensive rebound by R. Rondo
10:37.0,,,50-76,2,R. Rondo makes 2-pt shot from 2 ft
10:22.0,D. Russell makes 3-pt shot from 23 ft (assist by J. Randle),3,53-76,,
10:07.0,,,53-76,,D. Cousins misses 2-pt shot from 4 ft (block by R. Hibbert)
10:07.0,,,53-76,,Offensive rebound by Team
10:06.0,,,53-76,,Turnover by R. Rondo (bad pass; steal by J. Clarkson)
10:01.0,J. Clarkson makes 2-pt shot at rim,2,55-76,,
9:38.0,,,55-79,3,R. Gay makes 3-pt shot from 23 ft (assist by B. McLemore)
9:17.0,Turnover by J. Randle (offensive goaltending),,55-79,,
9:08.0,,,55-79,,D. Cousins misses 2-pt shot from 6 ft
9:07.0,,,55-79,,Offensive rebound by D. Cousins
9:07.0,,,55-79,,Shooting foul by J. Randle (drawn by D. Cousins)
9:07.0,,,55-79,,D. Cousins misses free throw 1 of 2
9:07.0,,,55-79,,Offensive rebound by Team
9:07.0,,,55-80,1,D. Cousins makes free throw 2 of 2
8:53.0,Turnover by J. Clarkson (traveling),,55-80,,
8:40.0,,,55-82,2,R. Gay makes 2-pt shot from 19 ft (assist by R. Rondo)
8:26.0,Offensive charge foul by J. Randle,,55-82,,
8:26.0,Turnover by J. Randle (offensive foul),,55-82,,
8:19.0,,,55-84,2,R. Rondo makes 2-pt shot from 14 ft
7:59.0,J. Randle misses 2-pt shot from 20 ft,,55-84,,
7:58.0,,,55-84,,Defensive rebound by B. McLemore
7:54.0,,,55-84,,Shooting foul by R. Hibbert (drawn by B. McLemore)
7:54.0,,,55-85,1,B. McLemore makes free throw 1 of 2
7:54.0,,,55-86,1,B. McLemore makes free throw 2 of 2
7:43.0,J. Clarkson makes 2-pt shot from 16 ft,2,57-86,,
7:30.0,,,57-88,2,R. Rondo makes 2-pt shot from 2 ft
7:16.0,Offensive foul by J. Randle,,57-88,,
7:16.0,Turnover by J. Randle (offensive foul),,57-88,,
7:16.0,R. Kelly enters the game for J. Randle,,57-88,,
7:05.0,,,57-88,,D. Cousins misses 2-pt shot from 19 ft
7:04.0,Defensive rebound by J. Clarkson,,57-88,,
6:54.0,K. Bryant misses 3-pt shot from 25 ft,,57-88,,
6:52.0,,,57-88,,Defensive rebound by R. Gay
6:40.0,,,57-88,,D. Cousins misses 2-pt shot at rim
6:37.0,Defensive rebound by D. Russell,,57-88,,
6:30.0,R. Hibbert makes 2-pt shot at rim (assist by R. Kelly),2,59-88,,
6:12.0,,,59-88,,R. Rondo misses 2-pt shot from 19 ft
6:12.0,Defensive rebound by R. Kelly,,59-88,,
6:05.0,Shooting foul by W. Cauley-Stein (drawn by R. Kelly),,59-88,,
6:05.0,R. Kelly misses free throw 1 of 2,,59-88,,
6:05.0,Offensive rebound by Team,,59-88,,
6:05.0,R. Kelly makes free throw 2 of 2,1,60-88,,
5:56.0,,,60-88,,B. McLemore misses 2-pt shot from 21 ft
5:55.0,Defensive rebound by J. Clarkson,,60-88,,
5:42.0,K. Bryant makes 2-pt shot from 6 ft,2,62-88,,
5:34.0,,,62-90,2,D. Cousins makes 2-pt shot from 3 ft (assist by R. Gay)
5:22.0,J. Clarkson makes 2-pt shot from 3 ft,2,64-90,,
5:07.0,,,64-90,,R. Rondo misses 2-pt shot from 19 ft
5:07.0,Defensive rebound by K. Bryant,,64-90,,
4:51.0,R. Hibbert makes 2-pt shot from 1 ft (assist by K. Bryant),2,66-90,,
4:45.0,,,66-90,,Turnover by R. Rondo (bad pass)
4:45.0,,,66-90,,Sacramento full timeout
4:45.0,,,66-90,,O. Casspi enters the game for R. Gay
4:45.0,,,66-90,,K. Koufos enters the game for W. Cauley-Stein
4:45.0,N. Young enters the game for K. Bryant,,66-90,,
4:45.0,L. Williams enters the game for D. Russell,,66-90,,
4:27.0,R. Kelly misses 2-pt shot from 5 ft (block by K. Koufos),,66-90,,
4:25.0,,,66-90,,Defensive rebound by D. Cousins
4:21.0,,,66-90,,B. McLemore misses 2-pt shot from 3 ft (block by R. Hibbert)
4:20.0,Defensive rebound by R. Hibbert,,66-90,,
4:11.0,R. Kelly makes 2-pt shot from 16 ft (assist by N. Young),2,68-90,,
3:53.0,,,68-93,3,R. Rondo makes 3-pt shot from 24 ft (assist by D. Cousins)
3:44.0,Shooting foul by B. McLemore (drawn by L. Williams),,68-93,,
3:44.0,L. Williams makes free throw 1 of 2,1,69-93,,
3:44.0,,,69-93,,D. Collison enters the game for B. McLemore
3:44.0,L. Williams makes free throw 2 of 2,1,70-93,,
3:31.0,,,70-93,,Turnover by R. Rondo (lost ball; steal by N. Young)
3:25.0,N. Young makes 2-pt shot from 17 ft,2,72-93,,
3:00.0,,,72-93,,K. Koufos misses 2-pt shot from 5 ft (block by R. Kelly)
2:58.0,Defensive rebound by L. Williams,,72-93,,
2:50.0,L. Williams makes 2-pt shot from 15 ft,2,74-93,,
2:39.0,,,74-95,2,D. Cousins makes 2-pt shot from 4 ft (assist by R. Rondo)
2:27.0,J. Clarkson makes 3-pt shot from 24 ft (assist by L. Williams),3,77-95,,
2:06.0,,,77-95,,D. Collison misses 3-pt shot from 23 ft
2:05.0,Defensive rebound by Team,,77-95,,
2:05.0,,,77-95,,Loose ball foul by K. Koufos (drawn by R. Hibbert)
2:05.0,LA Lakers full timeout,,77-95,,
2:05.0,,,77-95,,M. Belinelli enters the game for R. Rondo
2:05.0,R. Hibbert makes free throw 1 of 2,1,78-95,,
2:05.0,R. Hibbert makes free throw 2 of 2,1,79-95,,
1:51.0,,,79-95,,D. Cousins misses 2-pt shot from 2 ft
1:50.0,,,79-95,,Offensive rebound by K. Koufos
1:50.0,,,79-97,2,K. Koufos makes 2-pt shot from 2 ft
1:43.0,,,79-97,,Personal foul by D. Cousins (drawn by R. Hibbert)
1:43.0,R. Hibbert makes free throw 1 of 2,1,80-97,,
1:43.0,R. Hibbert makes free throw 2 of 2,1,81-97,,
1:31.0,,,81-99,2,D. Collison makes 2-pt shot from 3 ft
1:10.0,Turnover by R. Kelly (lost ball; steal by M. Belinelli),,81-99,,
0:59.0,,,81-99,,O. Casspi misses 2-pt shot from 5 ft (block by R. Hibbert)
0:59.0,,,81-99,,Offensive rebound by Team
0:59.0,,,81-99,,R. Gay enters the game for D. Cousins
0:56.0,,,81-99,,R. Gay misses 2-pt shot from 14 ft (block by J. Clarkson)
0:54.0,,,81-99,,Offensive rebound by R. Gay
0:52.0,,,81-102,3,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Collison)
0:44.0,J. Clarkson makes 2-pt shot from 16 ft,2,83-102,,
0:21.0,,,83-102,,D. Collison misses 2-pt shot from 4 ft (block by R. Hibbert)
0:19.0,Defensive rebound by J. Clarkson,,83-102,,
0:01.0,J. Clarkson misses 2-pt shot from 5 ft,,83-102,,
0:00.0,,,83-102,,Defensive rebound by O. Casspi
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,83-102,,Personal foul by M. Belinelli
11:41.0,N. Young misses 2-pt shot from 23 ft,,83-102,,
11:39.0,,,83-102,,Defensive rebound by M. Belinelli
11:34.0,,,83-102,,M. Belinelli misses 3-pt shot from 25 ft
11:33.0,,,83-102,,Offensive rebound by K. Koufos
11:30.0,,,83-104,2,M. Belinelli makes 2-pt shot from 1 ft (assist by K. Koufos)
11:21.0,,,83-104,,Personal foul by K. Koufos (drawn by B. Bass)
11:10.0,M. Huertas misses 3-pt shot from 25 ft,,83-104,,
11:09.0,,,83-104,,Defensive rebound by R. Gay
10:59.0,,,83-104,,D. Collison misses 3-pt shot from 25 ft
10:58.0,,,83-104,,Offensive rebound by O. Casspi
10:57.0,,,83-106,2,O. Casspi makes 2-pt shot from 3 ft
10:57.0,,,83-106,,Shooting foul by M. Huertas (drawn by O. Casspi)
10:57.0,,,83-107,1,O. Casspi makes free throw 1 of 1
10:34.0,Turnover by B. Bass (lost ball; steal by R. Gay),,83-107,,
10:29.0,,,83-109,2,D. Collison makes 2-pt shot from 3 ft (assist by M. Belinelli)
10:18.0,R. Kelly makes 2-pt shot at rim (assist by L. Williams),2,85-109,,
9:58.0,,,85-109,,K. Koufos misses 2-pt shot from 7 ft
9:57.0,Defensive rebound by R. Kelly,,85-109,,
9:51.0,N. Young makes 3-pt shot from 25 ft (assist by M. Huertas),3,88-109,,
9:34.0,,,88-109,,M. Belinelli misses 2-pt shot from 19 ft
9:33.0,Defensive rebound by N. Young,,88-109,,
9:25.0,L. Williams makes 2-pt shot from 2 ft,2,90-109,,
