time,Detroit,pts.away,score,pts.home,Dallas
7:51.0,M. Morris makes 2-pt shot from 17 ft,2,63-58,,
7:41.0,,,63-58,,W. Matthews misses 3-pt shot from 24 ft
7:40.0,Defensive rebound by A. Drummond,,63-58,,
7:33.0,T. Harris makes 2-pt shot from 7 ft,2,65-58,,
7:33.0,,,65-58,,Dallas full timeout
7:33.0,,,65-58,,Technical foul by D. Williams
7:33.0,R. Jackson misses technical free throw,,65-58,,
7:33.0,,,65-58,,Offensive rebound by Team
7:21.0,,,65-60,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by C. Parsons)
6:59.0,R. Jackson misses 2-pt shot from 4 ft,,65-60,,
6:58.0,,,65-60,,Defensive rebound by Z. Pachulia
6:51.0,,,65-63,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams)
6:30.0,T. Harris misses 3-pt shot from 24 ft,,65-63,,
6:29.0,,,65-63,,Defensive rebound by D. Williams
6:17.0,,,65-63,,D. Nowitzki misses 2-pt shot from 10 ft
6:16.0,Defensive rebound by A. Drummond,,65-63,,
5:59.0,A. Drummond misses 2-pt shot from 7 ft,,65-63,,
5:58.0,,,65-63,,Defensive rebound by D. Williams
5:38.0,,,65-63,,C. Parsons misses 3-pt shot from 24 ft
5:36.0,Defensive rebound by A. Drummond,,65-63,,
5:27.0,M. Morris makes 2-pt shot from 17 ft (assist by T. Harris),2,67-63,,
5:14.0,,,67-63,,D. Williams misses 2-pt shot from 18 ft
5:13.0,Defensive rebound by K. Caldwell-Pope,,67-63,,
5:05.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,67-63,,
5:04.0,,,67-63,,Defensive rebound by Z. Pachulia
4:53.0,,,67-65,2,C. Parsons makes 2-pt shot from 9 ft
4:36.0,T. Harris makes 3-pt shot from 24 ft (assist by R. Jackson),3,70-65,,
4:31.0,,,70-65,,Dallas full timeout
4:31.0,,,70-65,,R. Felton enters the game for D. Nowitzki
4:31.0,R. Bullock enters the game for M. Morris,,70-65,,
4:11.0,,,70-67,2,C. Parsons makes 2-pt shot from 1 ft (assist by Z. Pachulia)
3:46.0,R. Bullock misses 3-pt shot from 25 ft,,70-67,,
3:46.0,,,70-67,,Defensive rebound by Z. Pachulia
3:36.0,,,70-69,2,C. Parsons makes 2-pt shot from 18 ft
3:17.0,R. Jackson misses 2-pt shot from 17 ft,,70-69,,
3:16.0,Offensive rebound by A. Drummond,,70-69,,
3:13.0,A. Drummond misses 2-pt shot from 4 ft,,70-69,,
3:13.0,,,70-69,,Defensive rebound by D. Williams
3:13.0,Loose ball foul by A. Drummond,,70-69,,
2:59.0,,,70-69,,C. Parsons misses 2-pt shot from 16 ft
2:58.0,Defensive rebound by T. Harris,,70-69,,
2:46.0,R. Jackson misses 2-pt shot from 4 ft,,70-69,,
2:46.0,Offensive rebound by K. Caldwell-Pope,,70-69,,
2:44.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,70-69,,
2:43.0,Offensive rebound by R. Jackson,,70-69,,
2:43.0,R. Jackson makes 2-pt shot from 1 ft,2,72-69,,
2:16.0,,,72-72,3,D. Williams makes 3-pt shot from 26 ft (assist by C. Parsons)
2:00.0,T. Harris misses 3-pt shot from 24 ft,,72-72,,
1:59.0,,,72-72,,Defensive rebound by C. Parsons
1:47.0,,,72-72,,R. Felton misses 2-pt shot from 20 ft
1:46.0,Defensive rebound by A. Drummond,,72-72,,
1:40.0,Detroit full timeout,,72-72,,
1:40.0,S. Blake enters the game for R. Jackson,,72-72,,
1:24.0,A. Drummond misses 2-pt shot at rim,,72-72,,
1:22.0,Offensive rebound by A. Drummond,,72-72,,
1:22.0,Turnover by T. Harris (lost ball),,72-72,,
1:00.0,,,72-72,,W. Matthews misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by T. Harris,,72-72,,
0:39.0,T. Harris makes 2-pt shot from 6 ft (assist by S. Blake),2,74-72,,
0:28.0,,,74-74,2,R. Felton makes 2-pt shot from 12 ft (assist by D. Williams)
0:08.0,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,76-74,,
0:08.0,Shooting foul by C. Parsons (drawn by A. Drummond),,76-74,,
0:08.0,,,76-74,,D. Nowitzki enters the game for C. Parsons
0:08.0,,,76-74,,J. Barea enters the game for W. Matthews
0:08.0,A. Drummond misses free throw 1 of 1,,76-74,,
0:08.0,,,76-74,,Defensive rebound by J. Barea
0:03.0,,,76-74,,D. Williams misses 3-pt shot from 28 ft
0:00.0,,,76-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,M. Morris misses 2-pt shot from 15 ft,,76-74,,
11:45.0,,,76-74,,Defensive rebound by D. Lee
11:29.0,Shooting block foul by A. Baynes (drawn by D. Williams),,76-74,,
11:29.0,,,76-74,,D. Williams misses free throw 1 of 2
11:29.0,,,76-74,,Offensive rebound by Team
11:29.0,,,76-75,1,D. Williams makes free throw 2 of 2
11:11.0,S. Blake makes 3-pt shot from 23 ft (assist by K. Caldwell-Pope),3,79-75,,
10:56.0,,,79-77,2,J. Barea makes 2-pt shot from 6 ft
10:38.0,R. Bullock misses 3-pt shot from 24 ft,,79-77,,
10:38.0,,,79-77,,Defensive rebound by D. Lee
10:38.0,Loose ball foul by A. Baynes,,79-77,,
10:24.0,,,79-79,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by D. Williams)
10:07.0,Turnover by R. Bullock (lost ball; steal by J. Barea),,79-79,,
9:58.0,,,79-79,,D. Williams misses 3-pt shot from 23 ft
9:58.0,Defensive rebound by K. Caldwell-Pope,,79-79,,
9:45.0,M. Morris misses 2-pt shot from 8 ft,,79-79,,
9:45.0,Offensive rebound by A. Baynes,,79-79,,
9:45.0,Shooting foul by R. Felton (drawn by A. Baynes),,79-79,,
9:45.0,A. Baynes makes free throw 1 of 2,1,80-79,,
9:45.0,,,80-79,,D. Harris enters the game for D. Williams
9:45.0,A. Baynes misses free throw 2 of 2,,80-79,,
9:45.0,,,80-79,,Defensive rebound by D. Nowitzki
9:31.0,,,80-81,2,D. Lee makes 2-pt shot at rim (assist by D. Harris)
9:09.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,80-81,,
9:08.0,,,80-81,,Defensive rebound by D. Nowitzki
8:58.0,,,80-81,,R. Felton misses 3-pt shot from 23 ft
8:57.0,Defensive rebound by M. Morris,,80-81,,
8:47.0,M. Morris misses 2-pt shot from 7 ft,,80-81,,
8:46.0,,,80-81,,Defensive rebound by D. Nowitzki
8:33.0,,,80-81,,Turnover by R. Felton (lost ball; steal by K. Caldwell-Pope)
8:29.0,K. Caldwell-Pope makes 2-pt shot at rim,2,82-81,,
8:03.0,,,82-81,,D. Harris misses 3-pt shot from 24 ft
8:02.0,Defensive rebound by A. Baynes,,82-81,,
7:41.0,M. Morris makes 3-pt shot from 23 ft (assist by S. Blake),3,85-81,,
7:40.0,,,85-81,,Dallas full timeout
7:40.0,T. Harris enters the game for K. Caldwell-Pope,,85-81,,
7:40.0,,,85-81,,C. Parsons enters the game for D. Harris
7:30.0,,,85-81,,D. Nowitzki misses 2-pt shot from 8 ft
7:29.0,Defensive rebound by A. Baynes,,85-81,,
7:16.0,S. Blake makes 2-pt shot from 3 ft,2,87-81,,
7:04.0,,,87-81,,J. Barea misses 2-pt shot from 10 ft
7:03.0,Defensive rebound by M. Morris,,87-81,,
6:55.0,S. Blake makes 2-pt shot from 22 ft,2,89-81,,
6:39.0,,,89-81,,D. Nowitzki misses 2-pt shot from 10 ft
6:38.0,Defensive rebound by R. Bullock,,89-81,,
6:30.0,Turnover by S. Blake (bad pass),,89-81,,
6:30.0,,,89-81,,Z. Pachulia enters the game for R. Felton
6:30.0,,,89-81,,W. Matthews enters the game for D. Lee
6:30.0,,,89-81,,D. Williams enters the game for J. Barea
6:30.0,A. Drummond enters the game for S. Blake,,89-81,,
6:30.0,R. Jackson enters the game for A. Baynes,,89-81,,
6:07.0,,,89-83,2,W. Matthews makes 2-pt shot from 10 ft
5:47.0,A. Drummond misses 2-pt shot from 2 ft,,89-83,,
5:46.0,,,89-83,,Defensive rebound by Z. Pachulia
5:34.0,,,89-83,,W. Matthews misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by M. Morris,,89-83,,
5:21.0,M. Morris makes 3-pt shot from 24 ft (assist by R. Jackson),3,92-83,,
5:11.0,,,92-85,2,D. Nowitzki makes 2-pt shot at rim (assist by D. Williams)
4:53.0,Shooting foul by W. Matthews (drawn by A. Drummond),,92-85,,
4:53.0,Official timeout,,92-85,,
4:53.0,,,92-85,,R. Felton enters the game for D. Nowitzki
4:53.0,K. Caldwell-Pope enters the game for R. Bullock,,92-85,,
4:53.0,A. Drummond misses free throw 1 of 2,,92-85,,
4:53.0,Offensive rebound by Team,,92-85,,
4:53.0,A. Drummond makes free throw 2 of 2,1,93-85,,
4:35.0,,,93-85,,Turnover by W. Matthews (lost ball; steal by K. Caldwell-Pope)
4:32.0,Offensive charge foul by K. Caldwell-Pope,,93-85,,
4:32.0,Turnover by K. Caldwell-Pope (offensive foul),,93-85,,
4:32.0,,,93-85,,D. Nowitzki enters the game for W. Matthews
4:24.0,Personal foul by T. Harris,,93-85,,
4:10.0,,,93-87,2,D. Nowitzki makes 2-pt shot from 10 ft
3:51.0,R. Jackson misses 2-pt shot from 7 ft,,93-87,,
3:49.0,Offensive rebound by R. Jackson,,93-87,,
3:35.0,A. Drummond misses 2-pt shot from 6 ft,,93-87,,
3:33.0,,,93-87,,Defensive rebound by D. Nowitzki
3:12.0,,,93-87,,R. Felton misses 2-pt shot from 14 ft
3:11.0,Defensive rebound by A. Drummond,,93-87,,
2:55.0,Detroit full timeout,,93-87,,
2:49.0,R. Jackson misses 2-pt shot from 1 ft,,93-87,,
2:48.0,Offensive rebound by Team,,93-87,,
2:48.0,Turnover by Team (shot clock),,93-87,,
2:39.0,,,93-89,2,C. Parsons makes 2-pt shot at rim (assist by D. Williams)
2:26.0,,,93-89,,Shooting block foul by Z. Pachulia (drawn by T. Harris)
2:26.0,T. Harris makes free throw 1 of 2,1,94-89,,
2:26.0,T. Harris makes free throw 2 of 2,1,95-89,,
2:07.0,,,95-91,2,Z. Pachulia makes 2-pt shot from 3 ft (assist by D. Nowitzki)
2:07.0,,,95-91,,Shooting foul by T. Harris (drawn by Z. Pachulia)
2:07.0,,,95-92,1,Z. Pachulia makes free throw 1 of 1
1:43.0,K. Caldwell-Pope misses 3-pt shot from 55 ft,,95-92,,
1:43.0,Offensive rebound by Team,,95-92,,
1:43.0,Turnover by Team (shot clock),,95-92,,
1:21.0,,,95-92,,C. Parsons misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by Team,,95-92,,
1:21.0,Detroit full timeout,,95-92,,
1:21.0,A. Baynes enters the game for A. Drummond,,95-92,,
0:59.0,R. Jackson makes 3-pt shot from 26 ft,3,98-92,,
0:58.0,,,98-92,,Dallas full timeout
