time,Washington,pts.away,score,pts.home,Dallas
2:21.0,,,22-26,,D. Harris misses 2-pt shot from 5 ft
2:20.0,Defensive rebound by K. Oubre,,22-26,,
2:01.0,J. Wall makes 2-pt shot from 1 ft,2,24-26,,
1:33.0,,,24-26,,D. Harris misses 2-pt shot from 17 ft
1:32.0,Defensive rebound by O. Porter,,24-26,,
1:25.0,Turnover by J. Wall (lost ball),,24-26,,
1:25.0,J. Dudley enters the game for O. Porter,,24-26,,
1:25.0,R. Sessions enters the game for J. Wall,,24-26,,
1:13.0,,,24-28,2,D. Powell makes 2-pt shot at rim (assist by D. Harris)
0:49.0,Turnover by K. Oubre (traveling),,24-28,,
0:35.0,,,24-28,,D. Nowitzki misses 3-pt shot from 23 ft
0:34.0,Defensive rebound by K. Oubre,,24-28,,
0:15.0,R. Sessions makes 2-pt shot from 4 ft,2,26-28,,
0:02.0,,,26-28,,J. Barea misses 2-pt shot from 13 ft (block by R. Sessions)
0:01.0,Defensive rebound by D. Blair,,26-28,,
0:00.0,D. Blair misses 3-pt shot from 80 ft,,26-28,,
0:00.0,Offensive rebound by Team,,26-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,26-28,,D. Nowitzki misses 2-pt shot from 13 ft
11:42.0,Defensive rebound by K. Oubre,,26-28,,
11:33.0,R. Sessions makes 2-pt shot from 20 ft,2,28-28,,
11:24.0,,,28-28,,Shooting foul by K. Oubre (drawn by C. Parsons)
11:24.0,,,28-28,,C. Parsons misses free throw 1 of 2
11:24.0,,,28-28,,Offensive rebound by Team
11:24.0,,,28-29,1,C. Parsons makes free throw 2 of 2
11:14.0,Shooting foul by D. Nowitzki (drawn by K. Oubre),,28-29,,
11:14.0,K. Oubre makes free throw 1 of 2,1,29-29,,
11:14.0,,,29-29,,R. Felton enters the game for D. Harris
11:14.0,,,29-29,,W. Matthews enters the game for C. Parsons
11:14.0,K. Oubre misses free throw 2 of 2,,29-29,,
11:13.0,,,29-29,,Defensive rebound by D. Powell
10:59.0,,,29-29,,D. Nowitzki misses 2-pt shot from 14 ft
10:59.0,,,29-29,,Offensive rebound by D. Powell
10:52.0,,,29-29,,J. Barea misses 2-pt shot from 1 ft
10:51.0,Defensive rebound by D. Blair,,29-29,,
10:45.0,R. Sessions misses 2-pt shot from 2 ft (block by D. Nowitzki),,29-29,,
10:43.0,,,29-29,,Defensive rebound by R. Felton
10:38.0,,,29-29,,J. Barea misses 2-pt shot from 4 ft
10:37.0,Defensive rebound by J. Dudley,,29-29,,
10:33.0,K. Oubre makes 2-pt shot from 6 ft (assist by J. Dudley),2,31-29,,
10:14.0,,,31-29,,Turnover by J. Barea (bad pass; steal by K. Oubre)
10:03.0,,,31-29,,Def 3 sec tech foul by W. Matthews
10:03.0,G. Neal makes technical free throw,1,32-29,,
9:55.0,G. Neal makes 2-pt shot from 22 ft,2,34-29,,
9:35.0,,,34-31,2,J. Barea makes 2-pt shot from 12 ft
9:23.0,J. Dudley misses 3-pt shot from 24 ft,,34-31,,
9:21.0,,,34-31,,Defensive rebound by R. Felton
9:12.0,,,34-33,2,W. Matthews makes 2-pt shot from 13 ft (assist by J. Barea)
9:01.0,K. Oubre misses 3-pt shot from 23 ft,,34-33,,
9:01.0,,,34-33,,Defensive rebound by Team
8:48.0,,,34-35,2,D. Powell makes 2-pt shot from 4 ft
8:31.0,G. Neal misses 2-pt shot from 19 ft,,34-35,,
8:30.0,,,34-35,,Defensive rebound by D. Powell
8:24.0,,,34-37,2,R. Felton makes 2-pt shot at rim
8:17.0,Washington full timeout,,34-37,,
8:17.0,,,34-37,,C. Parsons enters the game for D. Nowitzki
8:17.0,,,34-37,,Z. Pachulia enters the game for D. Powell
8:17.0,M. Gortat enters the game for J. Dudley,,34-37,,
8:17.0,O. Porter enters the game for K. Oubre,,34-37,,
8:17.0,J. Wall enters the game for D. Blair,,34-37,,
8:07.0,M. Gortat misses 2-pt shot from 8 ft,,34-37,,
8:06.0,,,34-37,,Defensive rebound by C. Parsons
7:44.0,,,34-37,,R. Felton misses 3-pt shot from 24 ft
7:43.0,Defensive rebound by M. Gortat,,34-37,,
7:30.0,R. Sessions makes 3-pt shot from 24 ft (assist by J. Wall),3,37-37,,
7:12.0,,,37-37,,Turnover by W. Matthews (lost ball)
7:12.0,G. Temple enters the game for G. Neal,,37-37,,
7:01.0,,,37-37,,C. Villanueva enters the game for W. Matthews
7:01.0,,,37-37,,D. Harris enters the game for J. Barea
6:49.0,M. Gortat makes 2-pt shot from 11 ft (assist by O. Porter),2,39-37,,
6:36.0,,,39-39,2,C. Parsons makes 2-pt shot from 2 ft (assist by Z. Pachulia)
6:25.0,O. Porter misses 3-pt shot from 23 ft,,39-39,,
6:24.0,,,39-39,,Defensive rebound by R. Felton
6:10.0,,,39-39,,C. Parsons misses 3-pt shot from 22 ft
6:08.0,Defensive rebound by M. Gortat,,39-39,,
5:59.0,J. Wall misses 2-pt shot from 19 ft,,39-39,,
5:58.0,,,39-39,,Defensive rebound by C. Villanueva
5:43.0,,,39-39,,Turnover by Z. Pachulia (lost ball; steal by J. Wall)
5:37.0,J. Wall makes 2-pt shot from 2 ft,2,41-39,,
5:26.0,Personal foul by J. Wall (drawn by C. Parsons),,41-39,,
5:26.0,Official timeout,,41-39,,
5:15.0,,,41-39,,C. Villanueva misses 3-pt shot from 24 ft
5:14.0,,,41-39,,Offensive rebound by D. Harris
5:09.0,,,41-39,,R. Felton misses 3-pt shot from 24 ft
5:08.0,,,41-39,,Offensive rebound by Z. Pachulia
4:56.0,,,41-39,,C. Villanueva misses 3-pt shot from 23 ft
4:55.0,,,41-39,,Offensive rebound by C. Villanueva
4:54.0,,,41-39,,Turnover by C. Villanueva (lost ball)
4:37.0,O. Porter misses 3-pt shot from 25 ft,,41-39,,
4:36.0,,,41-39,,Defensive rebound by C. Parsons
4:25.0,,,41-39,,C. Villanueva misses 2-pt shot from 9 ft (block by O. Porter)
4:24.0,Defensive rebound by O. Porter,,41-39,,
4:20.0,Offensive charge foul by R. Sessions,,41-39,,
4:20.0,Turnover by R. Sessions (offensive foul),,41-39,,
3:57.0,,,41-39,,Z. Pachulia misses 2-pt shot from 3 ft
3:56.0,Defensive rebound by M. Gortat,,41-39,,
3:49.0,R. Sessions makes 3-pt shot from 23 ft (assist by J. Wall),3,44-39,,
3:46.0,,,44-39,,Dallas full timeout
3:46.0,,,44-39,,D. Powell enters the game for Z. Pachulia
3:46.0,,,44-39,,D. Nowitzki enters the game for R. Felton
3:46.0,,,44-39,,W. Matthews enters the game for C. Villanueva
3:28.0,,,44-39,,C. Parsons misses 2-pt shot from 16 ft
3:27.0,Defensive rebound by J. Wall,,44-39,,
3:22.0,,,44-39,,Shooting block foul by C. Parsons (drawn by R. Sessions)
3:22.0,R. Sessions misses free throw 1 of 2,,44-39,,
3:22.0,Offensive rebound by Team,,44-39,,
3:22.0,J. Dudley enters the game for G. Temple,,44-39,,
3:22.0,R. Sessions makes free throw 2 of 2,1,45-39,,
3:04.0,,,45-42,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Harris)
2:38.0,M. Gortat makes 2-pt shot from 11 ft (assist by R. Sessions),2,47-42,,
2:18.0,,,47-42,,Turnover by W. Matthews (lost ball)
2:00.0,O. Porter makes 2-pt shot from 14 ft (assist by R. Sessions),2,49-42,,
1:58.0,,,49-42,,Dallas full timeout
1:58.0,,,49-42,,R. Felton enters the game for C. Parsons
1:48.0,Personal block foul by J. Dudley (drawn by R. Felton),,49-42,,
1:35.0,,,49-42,,W. Matthews misses 3-pt shot from 27 ft
1:34.0,,,49-42,,Offensive rebound by Team
1:34.0,,,49-42,,Turnover by Team (shot clock)
1:34.0,,,49-42,,Z. Pachulia enters the game for D. Powell
1:24.0,O. Porter misses 3-pt shot from 24 ft,,49-42,,
1:23.0,,,49-42,,Defensive rebound by Team
1:08.0,,,49-45,3,D. Harris makes 3-pt shot from 23 ft (assist by Z. Pachulia)
1:00.0,J. Wall misses 2-pt shot from 21 ft,,49-45,,
1:00.0,,,49-45,,Defensive rebound by R. Felton
0:54.0,,,49-47,2,D. Harris makes 2-pt shot from 1 ft (assist by R. Felton)
0:40.0,M. Gortat makes 2-pt shot from 4 ft (assist by O. Porter),2,51-47,,
0:28.0,,,51-50,3,W. Matthews makes 3-pt shot from 24 ft (assist by R. Felton)
0:22.0,Washington full timeout,,51-50,,
0:22.0,,,51-50,,D. Powell enters the game for D. Nowitzki
0:22.0,G. Neal enters the game for J. Dudley,,51-50,,
0:08.0,R. Sessions misses 3-pt shot from 24 ft,,51-50,,
0:07.0,,,51-50,,Defensive rebound by Z. Pachulia
0:00.0,,,51-50,,R. Felton misses 2-pt shot from 12 ft
0:00.0,,,51-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,51-53,3,W. Matthews makes 3-pt shot from 24 ft (assist by R. Felton)
11:32.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,53-53,,
11:09.0,,,53-53,,Turnover by R. Felton (bad pass; steal by O. Porter)
11:04.0,J. Wall makes 2-pt shot at rim (assist by G. Temple),2,55-53,,
10:51.0,,,55-53,,Turnover by W. Matthews (lost ball; steal by G. Temple)
10:45.0,J. Dudley makes 3-pt shot from 23 ft (assist by J. Wall),3,58-53,,
10:22.0,,,58-53,,D. Nowitzki misses 2-pt shot from 14 ft
10:22.0,Defensive rebound by O. Porter,,58-53,,
10:15.0,J. Wall misses 2-pt shot from 4 ft,,58-53,,
10:14.0,Offensive rebound by O. Porter,,58-53,,
10:00.0,J. Wall misses 3-pt shot from 23 ft,,58-53,,
9:59.0,,,58-53,,Defensive rebound by R. Felton
9:53.0,Shooting block foul by J. Dudley (drawn by R. Felton),,58-53,,
9:53.0,,,58-54,1,R. Felton makes free throw 1 of 2
9:53.0,,,58-55,1,R. Felton makes free throw 2 of 2
9:37.0,M. Gortat makes 2-pt shot from 1 ft (assist by G. Temple),2,60-55,,
9:18.0,,,60-55,,C. Parsons misses 3-pt shot from 24 ft
9:17.0,Defensive rebound by J. Dudley,,60-55,,
9:10.0,O. Porter makes 2-pt shot from 13 ft (assist by J. Wall),2,62-55,,
9:10.0,,,62-55,,Away from play foul by Z. Pachulia (drawn by M. Gortat)
9:10.0,,,62-55,,Technical foul by Z. Pachulia (drawn by M. Gortat)
9:10.0,,,62-55,,Dallas full timeout
9:10.0,J. Wall makes technical free throw,1,63-55,,
9:10.0,M. Gortat misses free throw 1 of 1,,63-55,,
9:09.0,,,63-55,,Defensive rebound by Z. Pachulia
8:52.0,,,63-55,,C. Parsons misses 2-pt shot from 20 ft
8:51.0,Defensive rebound by Team,,63-55,,
8:37.0,O. Porter makes 2-pt shot from 19 ft (assist by M. Gortat),2,65-55,,
8:23.0,,,65-55,,D. Nowitzki misses 2-pt shot from 13 ft
8:22.0,Defensive rebound by G. Temple,,65-55,,
8:16.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,68-55,,
8:14.0,,,68-55,,Dallas full timeout
8:14.0,,,68-55,,D. Harris enters the game for C. Parsons
8:14.0,,,68-55,,J. Barea enters the game for R. Felton
8:03.0,,,68-55,,D. Harris misses 2-pt shot from 4 ft (block by M. Gortat)
8:02.0,,,68-55,,Offensive rebound by Z. Pachulia
8:01.0,,,68-55,,Z. Pachulia misses 2-pt shot from 2 ft (block by G. Temple)
8:00.0,,,68-55,,Offensive rebound by Team
8:00.0,Inbound foul by G. Temple,,68-55,,
8:00.0,,,68-56,1,D. Harris makes free throw 1 of 2
8:00.0,,,68-56,,D. Harris misses free throw 2 of 2
7:59.0,Defensive rebound by M. Gortat,,68-56,,
7:46.0,O. Porter misses 3-pt shot from 25 ft,,68-56,,
7:45.0,,,68-56,,Defensive rebound by Z. Pachulia
7:27.0,,,68-58,2,D. Nowitzki makes 2-pt shot from 2 ft
7:21.0,G. Temple misses 2-pt shot from 1 ft,,68-58,,
7:20.0,Offensive rebound by O. Porter,,68-58,,
7:20.0,O. Porter makes 2-pt shot at rim,2,70-58,,
7:10.0,,,70-58,,Z. Pachulia misses 2-pt shot from 1 ft
7:08.0,Defensive rebound by M. Gortat,,70-58,,
7:04.0,Turnover by J. Wall (lost ball; steal by W. Matthews),,70-58,,
7:00.0,,,70-58,,W. Matthews misses 2-pt shot from 2 ft (block by J. Wall)
6:57.0,,,70-58,,Offensive rebound by Z. Pachulia
6:57.0,,,70-60,2,Z. Pachulia makes 2-pt shot from 1 ft
6:53.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,72-60,,
6:34.0,,,72-63,3,J. Barea makes 3-pt shot from 24 ft
6:13.0,O. Porter makes 2-pt shot from 20 ft (assist by J. Wall),2,74-63,,
5:51.0,,,74-65,2,Z. Pachulia makes 2-pt shot from 7 ft
5:43.0,J. Dudley makes 3-pt shot from 24 ft (assist by J. Wall),3,77-65,,
5:27.0,,,77-65,,J. Barea misses 2-pt shot from 16 ft
5:26.0,Defensive rebound by O. Porter,,77-65,,
5:14.0,J. Dudley misses 2-pt shot from 2 ft,,77-65,,
5:12.0,,,77-65,,Defensive rebound by D. Nowitzki
4:55.0,,,77-65,,W. Matthews misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by M. Gortat,,77-65,,
4:29.0,J. Wall makes 2-pt shot from 20 ft,2,79-65,,
4:27.0,,,79-65,,Dallas full timeout
4:27.0,,,79-65,,D. Powell enters the game for D. Nowitzki
4:27.0,,,79-65,,R. Felton enters the game for Z. Pachulia
4:27.0,,,79-65,,C. Villanueva enters the game for W. Matthews
4:27.0,R. Sessions enters the game for J. Dudley,,79-65,,
4:04.0,,,79-68,3,J. Barea makes 3-pt shot from 24 ft (assist by D. Harris)
3:39.0,O. Porter makes 3-pt shot from 22 ft (assist by J. Wall),3,82-68,,
3:31.0,Personal block foul by R. Sessions,,82-68,,
3:31.0,G. Neal enters the game for J. Wall,,82-68,,
3:31.0,Violation by Team (delay of game),,82-68,,
3:22.0,,,82-68,,C. Villanueva misses 2-pt shot from 9 ft
3:20.0,Defensive rebound by M. Gortat,,82-68,,
3:04.0,G. Neal makes 3-pt shot from 22 ft (assist by M. Gortat),3,85-68,,
2:56.0,Def 3 sec tech foul by M. Gortat,,85-68,,
2:56.0,,,85-69,1,R. Felton makes technical free throw
2:48.0,,,85-69,,C. Villanueva misses 3-pt shot from 23 ft
2:47.0,Defensive rebound by M. Gortat,,85-69,,
2:37.0,O. Porter makes 3-pt shot from 24 ft (assist by R. Sessions),3,88-69,,
2:19.0,,,88-69,,J. Barea misses 2-pt shot from 7 ft
2:18.0,Defensive rebound by M. Gortat,,88-69,,
2:12.0,R. Sessions makes 2-pt shot from 3 ft (assist by O. Porter),2,90-69,,
1:50.0,,,90-71,2,C. Villanueva makes 2-pt shot at rim (assist by J. Barea)
1:37.0,Turnover by R. Sessions (bad pass; steal by R. Felton),,90-71,,
1:37.0,Personal take foul by R. Sessions (drawn by R. Felton),,90-71,,
1:37.0,Washington full timeout,,90-71,,
1:37.0,,,90-71,,C. Parsons enters the game for C. Villanueva
1:37.0,K. Oubre enters the game for O. Porter,,90-71,,
1:21.0,,,90-71,,J. Barea misses 2-pt shot from 12 ft
1:20.0,,,90-71,,Offensive rebound by Team
1:20.0,Personal block foul by K. Oubre (drawn by D. Powell),,90-71,,
1:20.0,,,90-71,,D. Powell misses free throw 1 of 2
1:20.0,,,90-71,,Offensive rebound by Team
1:20.0,,,90-72,1,D. Powell makes free throw 2 of 2
0:58.0,M. Gortat misses 2-pt shot from 1 ft,,90-72,,
0:57.0,,,90-72,,Defensive rebound by R. Felton
0:46.0,,,90-72,,R. Felton misses 2-pt shot from 2 ft
0:44.0,Defensive rebound by M. Gortat,,90-72,,
0:31.0,Offensive charge foul by K. Oubre,,90-72,,
0:31.0,Turnover by K. Oubre (offensive foul),,90-72,,
0:31.0,D. Blair enters the game for M. Gortat,,90-72,,
0:24.0,,,90-72,,Turnover by D. Harris (traveling)
0:24.0,J. Wall enters the game for K. Oubre,,90-72,,
0:03.0,G. Neal misses 2-pt shot from 11 ft,,90-72,,
0:02.0,,,90-72,,Defensive rebound by D. Harris
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,D. Blair misses 2-pt shot from 17 ft,,90-72,,
11:38.0,,,90-72,,Defensive rebound by C. Parsons
11:29.0,,,90-72,,Turnover by C. Parsons (bad pass; steal by D. Blair)
11:29.0,,,90-72,,Personal foul by C. Parsons (drawn by D. Blair)
11:06.0,G. Neal misses 2-pt shot from 14 ft,,90-72,,
11:05.0,,,90-72,,Defensive rebound by R. Felton
10:57.0,,,90-72,,J. Barea misses 2-pt shot from 2 ft
10:56.0,Defensive rebound by D. Blair,,90-72,,
10:50.0,D. Blair misses 2-pt shot from 3 ft,,90-72,,
10:50.0,,,90-72,,Defensive rebound by D. Nowitzki
10:50.0,Personal foul by D. Blair (drawn by D. Nowitzki),,90-72,,
10:40.0,,,90-74,2,R. Felton makes 2-pt shot from 4 ft
10:40.0,Shooting block foul by J. Dudley (drawn by R. Felton),,90-74,,
10:40.0,J. Wall enters the game for G. Temple,,90-74,,
10:40.0,O. Porter enters the game for D. Blair,,90-74,,
10:40.0,,,90-75,1,R. Felton makes free throw 1 of 1
10:23.0,G. Neal misses 3-pt shot from 24 ft,,90-75,,
10:21.0,Offensive rebound by J. Dudley,,90-75,,
10:17.0,J. Wall makes 3-pt shot from 23 ft (assist by R. Sessions),3,93-75,,
10:03.0,,,93-75,,Shooting foul by O. Porter (drawn by D. Nowitzki)
10:03.0,,,93-76,1,D. Nowitzki makes free throw 1 of 2
10:03.0,,,93-76,,W. Matthews enters the game for C. Parsons
10:03.0,,,93-77,1,D. Nowitzki makes free throw 2 of 2
9:45.0,G. Neal misses 3-pt shot from 24 ft,,93-77,,
9:44.0,,,93-77,,Defensive rebound by D. Harris
9:23.0,,,93-77,,D. Harris misses 3-pt shot from 24 ft
9:21.0,Defensive rebound by J. Wall,,93-77,,
9:14.0,Shooting foul by R. Felton (drawn by O. Porter),,93-77,,
9:14.0,O. Porter makes free throw 1 of 2,1,94-77,,
9:14.0,O. Porter makes free throw 2 of 2,1,95-77,,
9:02.0,,,95-79,2,W. Matthews makes 2-pt shot from 1 ft (assist by D. Nowitzki)
8:53.0,J. Dudley makes 3-pt shot from 24 ft (assist by J. Wall),3,98-79,,
8:38.0,Shooting block foul by O. Porter (drawn by D. Nowitzki),,98-79,,
8:38.0,Official timeout,,98-79,,
8:38.0,,,98-79,,Violation by Team (delay of game)
8:38.0,,,98-80,1,D. Nowitzki makes free throw 1 of 2
8:38.0,,,98-81,1,D. Nowitzki makes free throw 2 of 2
8:15.0,J. Dudley misses 2-pt shot from 20 ft,,98-81,,
8:14.0,,,98-81,,Defensive rebound by R. Felton
8:07.0,,,98-83,2,R. Felton makes 2-pt shot from 2 ft
7:57.0,Turnover by R. Sessions (traveling),,98-83,,
7:47.0,,,98-86,3,J. Barea makes 3-pt shot from 24 ft (assist by R. Felton)
7:21.0,J. Dudley misses 2-pt shot from 16 ft,,98-86,,
7:20.0,,,98-86,,Defensive rebound by D. Nowitzki
7:13.0,,,98-86,,J. Barea misses 3-pt shot from 24 ft
7:12.0,Defensive rebound by Team,,98-86,,
7:02.0,J. Dudley misses 2-pt shot at rim (block by D. Nowitzki),,98-86,,
7:00.0,Offensive rebound by J. Dudley,,98-86,,
7:00.0,J. Dudley makes 2-pt shot at rim,2,100-86,,
6:50.0,,,100-86,,Turnover by R. Felton (lost ball)
6:31.0,J. Wall misses 2-pt shot from 6 ft (block by D. Harris),,100-86,,
6:31.0,Offensive rebound by Team,,100-86,,
6:31.0,Washington full timeout,,100-86,,
6:31.0,,,100-86,,D. Powell enters the game for D. Nowitzki
6:31.0,G. Temple enters the game for G. Neal,,100-86,,
6:26.0,J. Wall misses 2-pt shot from 21 ft,,100-86,,
6:25.0,,,100-86,,Defensive rebound by R. Felton
6:17.0,,,100-86,,Offensive foul by W. Matthews
6:17.0,,,100-86,,Turnover by W. Matthews (offensive foul)
5:55.0,O. Porter misses 2-pt shot from 15 ft,,100-86,,
5:54.0,,,100-86,,Defensive rebound by J. Barea
5:36.0,,,100-86,,W. Matthews misses 2-pt shot from 1 ft (block by J. Wall)
5:35.0,Defensive rebound by R. Sessions,,100-86,,
5:24.0,Turnover by O. Porter (bad pass; steal by W. Matthews),,100-86,,
5:23.0,Personal foul by J. Wall (drawn by W. Matthews),,100-86,,
5:23.0,,,100-86,,Dallas full timeout
5:23.0,M. Gortat enters the game for J. Dudley,,100-86,,
5:23.0,,,100-87,1,W. Matthews makes free throw 1 of 2
5:23.0,,,100-88,1,W. Matthews makes free throw 2 of 2
5:03.0,J. Wall makes 3-pt shot from 22 ft (assist by R. Sessions),3,103-88,,
4:44.0,,,103-90,2,W. Matthews makes 2-pt shot from 17 ft (assist by R. Felton)
4:21.0,G. Temple misses 2-pt shot from 1 ft,,103-90,,
4:19.0,,,103-90,,Defensive rebound by R. Felton
4:11.0,,,103-90,,D. Harris misses 3-pt shot from 23 ft
4:10.0,Defensive rebound by J. Wall,,103-90,,
4:03.0,Turnover by G. Temple (lost ball; steal by W. Matthews),,103-90,,
3:52.0,,,103-92,2,J. Barea makes 2-pt shot from 1 ft
3:30.0,J. Wall makes 3-pt shot from 27 ft (assist by R. Sessions),3,106-92,,
3:14.0,,,106-92,,D. Powell misses 2-pt shot from 18 ft
3:13.0,,,106-92,,Offensive rebound by D. Powell
3:06.0,,,106-95,3,W. Matthews makes 3-pt shot from 24 ft (assist by R. Felton)
2:52.0,J. Wall makes 2-pt shot from 18 ft,2,108-95,,
2:38.0,,,108-98,3,J. Barea makes 3-pt shot from 22 ft (assist by D. Harris)
2:33.0,,,108-98,,Personal take foul by D. Harris (drawn by G. Temple)
2:33.0,Washington full timeout,,108-98,,
2:33.0,,,108-98,,D. Nowitzki enters the game for D. Powell
2:33.0,G. Neal enters the game for M. Gortat,,108-98,,
2:33.0,J. Dudley enters the game for G. Temple,,108-98,,
2:32.0,,,108-98,,Personal take foul by J. Barea
2:31.0,,,108-98,,Personal take foul by J. Barea
2:31.0,R. Sessions makes free throw 1 of 2,1,109-98,,
2:31.0,R. Sessions makes free throw 2 of 2,1,110-98,,
