time,Minnesota,pts.away,score,pts.home,Orlando
0:43.0,,,22-14,2,T. Harris makes 2-pt shot from 19 ft (assist by A. Gordon)
0:37.0,Turnover by Z. LaVine (lost ball),,22-14,,
0:37.0,,,22-14,,E. Fournier enters the game for D. Dedmon
0:37.0,,,22-14,,J. Smith enters the game for T. Harris
0:16.0,,,22-16,2,S. Napier makes 2-pt shot from 9 ft (assist by M. Hezonja)
0:16.0,,,22-16,,Shooting foul by G. Dieng (drawn by S. Napier)
0:16.0,,,22-17,1,S. Napier makes free throw 1 of 1
0:02.0,N. Bjelica makes 3-pt shot from 24 ft (assist by Z. LaVine),3,25-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,K. Martin misses 2-pt shot from 17 ft,,25-17,,
11:45.0,,,25-17,,Defensive rebound by J. Smith
11:22.0,,,25-17,,S. Napier misses 2-pt shot from 20 ft
11:20.0,Defensive rebound by G. Dieng,,25-17,,
11:03.0,S. Muhammad misses 2-pt shot from 4 ft (block by A. Gordon),,25-17,,
11:03.0,,,25-17,,Defensive rebound by J. Smith
11:02.0,Personal foul by N. Bjelica (drawn by S. Napier),,25-17,,
11:02.0,,,25-17,,V. Oladipo enters the game for M. Hezonja
10:52.0,,,25-17,,J. Smith misses 2-pt shot from 20 ft (block by G. Dieng)
10:50.0,Defensive rebound by G. Dieng,,25-17,,
10:48.0,Shooting foul by V. Oladipo (drawn by K. Martin),,25-17,,
10:48.0,K. Martin makes free throw 1 of 2,1,26-17,,
10:48.0,K. Martin makes free throw 2 of 2,1,27-17,,
10:25.0,,,27-17,,J. Smith misses 2-pt shot from 10 ft
10:24.0,,,27-17,,Offensive rebound by A. Gordon
10:24.0,,,27-17,,Shooting foul by N. Bjelica (drawn by A. Gordon)
10:24.0,,,27-17,,A. Gordon misses free throw 1 of 2
10:24.0,,,27-17,,Offensive rebound by Team
10:24.0,,,27-18,1,A. Gordon makes free throw 2 of 2
10:10.0,G. Dieng misses 2-pt shot from 14 ft,,27-18,,
10:09.0,,,27-18,,Defensive rebound by V. Oladipo
9:53.0,,,27-18,,E. Fournier misses 2-pt shot from 1 ft
9:52.0,,,27-18,,Offensive rebound by V. Oladipo
9:48.0,,,27-18,,E. Fournier misses 3-pt shot from 25 ft
9:47.0,Defensive rebound by G. Dieng,,27-18,,
9:35.0,Z. LaVine makes 2-pt shot from 16 ft,2,29-18,,
9:19.0,,,29-20,2,A. Gordon makes 2-pt shot from 2 ft (assist by V. Oladipo)
9:06.0,N. Bjelica misses 3-pt shot from 25 ft,,29-20,,
9:05.0,,,29-20,,Defensive rebound by J. Smith
8:55.0,,,29-22,2,A. Gordon makes 2-pt shot at rim (assist by E. Fournier)
8:29.0,K. Martin misses 3-pt shot from 26 ft,,29-22,,
8:29.0,,,29-22,,Defensive rebound by Team
8:29.0,Loose ball foul by N. Bjelica (drawn by A. Gordon),,29-22,,
8:29.0,Official timeout,,29-22,,
8:29.0,,,29-22,,N. Vucevic enters the game for S. Napier
8:29.0,,,29-22,,E. Payton enters the game for J. Smith
8:29.0,A. Payne enters the game for N. Bjelica,,29-22,,
8:16.0,,,29-22,,E. Payton misses 2-pt shot at rim (block by G. Dieng)
8:13.0,,,29-22,,Offensive rebound by N. Vucevic
8:11.0,,,29-22,,N. Vucevic misses 2-pt shot from 1 ft (block by G. Dieng)
8:10.0,Defensive rebound by K. Martin,,29-22,,
7:53.0,K. Martin misses 2-pt shot from 16 ft,,29-22,,
7:51.0,Offensive rebound by A. Payne,,29-22,,
7:51.0,A. Payne misses 2-pt shot from 1 ft (block by A. Gordon),,29-22,,
7:49.0,Offensive rebound by S. Muhammad,,29-22,,
7:45.0,S. Muhammad misses 3-pt shot from 23 ft,,29-22,,
7:45.0,,,29-22,,Defensive rebound by N. Vucevic
7:38.0,,,29-22,,E. Payton misses 2-pt shot from 1 ft
7:37.0,,,29-22,,Offensive rebound by A. Gordon
7:33.0,,,29-25,3,E. Fournier makes 3-pt shot from 25 ft (assist by A. Gordon)
7:14.0,K. Martin makes 2-pt shot from 17 ft,2,31-25,,
6:59.0,,,31-25,,V. Oladipo misses 2-pt shot from 20 ft
6:59.0,Defensive rebound by Z. LaVine,,31-25,,
6:55.0,K. Martin misses 2-pt shot from 1 ft (block by V. Oladipo),,31-25,,
6:55.0,Offensive rebound by Team,,31-25,,
6:55.0,A. Wiggins enters the game for S. Muhammad,,31-25,,
6:55.0,K. Towns enters the game for G. Dieng,,31-25,,
6:55.0,R. Rubio enters the game for Z. LaVine,,31-25,,
6:40.0,R. Rubio misses 2-pt shot from 16 ft,,31-25,,
6:38.0,Offensive rebound by A. Wiggins,,31-25,,
6:37.0,A. Wiggins misses 2-pt shot at rim,,31-25,,
6:34.0,,,31-25,,Defensive rebound by E. Fournier
6:28.0,,,31-27,2,E. Fournier makes 2-pt shot from 1 ft
6:16.0,Shooting foul by N. Vucevic (drawn by K. Towns),,31-27,,
6:16.0,K. Towns makes free throw 1 of 2,1,32-27,,
6:16.0,T. Prince enters the game for K. Martin,,32-27,,
6:16.0,K. Towns makes free throw 2 of 2,1,33-27,,
6:02.0,,,33-27,,N. Vucevic misses 2-pt shot from 19 ft
6:01.0,Defensive rebound by R. Rubio,,33-27,,
5:48.0,T. Prince makes 2-pt shot from 20 ft (assist by R. Rubio),2,35-27,,
5:25.0,,,35-27,,E. Fournier misses 2-pt shot from 7 ft
5:23.0,,,35-27,,Offensive rebound by N. Vucevic
5:22.0,,,35-27,,N. Vucevic misses 2-pt shot from 3 ft
5:20.0,Defensive rebound by K. Towns,,35-27,,
5:18.0,Turnover by R. Rubio (bad pass; steal by V. Oladipo),,35-27,,
5:03.0,,,35-29,2,E. Fournier makes 2-pt shot at rim (assist by V. Oladipo)
4:48.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,37-29,,
4:39.0,,,37-29,,N. Vucevic misses 2-pt shot from 5 ft (block by K. Towns)
4:35.0,,,37-29,,Offensive rebound by N. Vucevic
4:33.0,,,37-31,2,N. Vucevic makes 2-pt shot from 2 ft
4:30.0,Minnesota full timeout,,37-31,,
4:30.0,,,37-31,,T. Harris enters the game for A. Gordon
4:22.0,A. Wiggins makes 2-pt shot from 20 ft (assist by R. Rubio),2,39-31,,
4:06.0,,,39-31,,Turnover by V. Oladipo (bad pass; steal by R. Rubio)
4:00.0,R. Rubio makes 2-pt shot from 3 ft,2,41-31,,
3:42.0,,,41-31,,V. Oladipo misses 3-pt shot from 23 ft
3:42.0,Defensive rebound by A. Payne,,41-31,,
3:29.0,R. Rubio misses 3-pt shot from 25 ft,,41-31,,
3:28.0,,,41-31,,Defensive rebound by N. Vucevic
3:13.0,,,41-31,,E. Payton misses 2-pt shot from 5 ft
3:12.0,,,41-31,,Offensive rebound by N. Vucevic
3:07.0,,,41-31,,V. Oladipo misses 2-pt shot from 6 ft
3:07.0,,,41-31,,Offensive rebound by T. Harris
3:04.0,,,41-31,,T. Harris misses 2-pt shot from 2 ft
3:01.0,,,41-31,,Offensive rebound by T. Harris
3:01.0,,,41-33,2,N. Vucevic makes 2-pt shot from 1 ft
2:43.0,R. Rubio misses 2-pt shot from 20 ft,,41-33,,
2:43.0,Offensive rebound by R. Rubio,,41-33,,
2:37.0,,,41-33,,Orlando full timeout
2:37.0,,,41-33,,S. Napier enters the game for V. Oladipo
2:33.0,K. Towns makes 2-pt shot from 21 ft (assist by T. Prince),2,43-33,,
2:13.0,,,43-33,,N. Vucevic misses 2-pt shot from 5 ft (block by K. Towns)
2:11.0,Defensive rebound by T. Prince,,43-33,,
2:06.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,45-33,,
1:52.0,,,45-36,3,S. Napier makes 3-pt shot from 24 ft (assist by E. Payton)
1:34.0,A. Wiggins misses 3-pt shot from 25 ft,,45-36,,
1:33.0,,,45-36,,Defensive rebound by T. Harris
1:24.0,,,45-36,,E. Fournier misses 2-pt shot from 22 ft
1:23.0,,,45-36,,Offensive rebound by E. Payton
1:17.0,,,45-38,2,N. Vucevic makes 2-pt shot at rim (assist by E. Payton)
1:08.0,Minnesota full timeout,,45-38,,
1:08.0,Z. LaVine enters the game for A. Payne,,45-38,,
0:55.0,K. Towns makes 2-pt shot at rim,2,47-38,,
0:49.0,,,47-38,,N. Vucevic misses 2-pt shot from 20 ft
0:49.0,Defensive rebound by Z. LaVine,,47-38,,
0:41.0,Z. LaVine makes 3-pt shot from 24 ft,3,50-38,,
0:34.0,,,50-38,,E. Payton misses 2-pt shot from 20 ft
0:32.0,Defensive rebound by Team,,50-38,,
0:22.0,Z. LaVine makes 2-pt shot from 21 ft,2,52-38,,
0:03.0,,,52-38,,Turnover by E. Fournier (traveling)
0:00.0,Z. LaVine misses 3-pt shot from 30 ft,,52-38,,
0:00.0,Offensive rebound by Team,,52-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Turnover by K. Towns (3 sec),,52-38,,
11:26.0,,,52-38,,C. Frye misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by R. Rubio,,52-38,,
11:11.0,A. Payne misses 2-pt shot from 2 ft,,52-38,,
11:10.0,,,52-38,,Defensive rebound by C. Frye
11:02.0,,,52-38,,E. Fournier misses 2-pt shot from 1 ft (block by A. Wiggins)
11:01.0,Defensive rebound by A. Wiggins,,52-38,,
10:43.0,Turnover by K. Towns (lost ball; steal by E. Fournier),,52-38,,
10:38.0,,,52-40,2,E. Fournier makes 2-pt shot at rim
10:38.0,Minnesota full timeout,,52-40,,
10:13.0,A. Payne misses 3-pt shot from 22 ft,,52-40,,
10:12.0,Offensive rebound by R. Rubio,,52-40,,
10:09.0,Turnover by A. Payne (bad pass; steal by E. Fournier),,52-40,,
10:07.0,Personal foul by A. Wiggins (drawn by E. Fournier),,52-40,,
10:00.0,Personal foul by R. Rubio (drawn by D. Dedmon),,52-40,,
9:49.0,,,52-40,,Shooting foul by R. Rubio (drawn by E. Fournier)
9:49.0,,,52-41,1,E. Fournier makes free throw 1 of 2
9:49.0,,,52-42,1,E. Fournier makes free throw 2 of 2
9:35.0,K. Towns misses 2-pt shot from 20 ft,,52-42,,
9:35.0,,,52-42,,Defensive rebound by Team
9:10.0,,,52-44,2,T. Harris makes 2-pt shot from 17 ft
8:48.0,Shooting foul by E. Fournier (drawn by A. Wiggins),,52-44,,
8:48.0,A. Wiggins makes free throw 1 of 2,1,53-44,,
8:48.0,N. Bjelica enters the game for A. Payne,,53-44,,
8:48.0,A. Wiggins makes free throw 2 of 2,1,54-44,,
8:29.0,,,54-46,2,D. Dedmon makes 2-pt shot from 8 ft
8:19.0,,,54-46,,Personal foul by D. Dedmon (drawn by K. Towns)
8:06.0,A. Wiggins makes 2-pt shot from 18 ft (assist by R. Rubio),2,56-46,,
7:46.0,,,56-46,,C. Frye misses 3-pt shot from 24 ft
7:46.0,Defensive rebound by R. Rubio,,56-46,,
7:26.0,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio),2,58-46,,
7:08.0,,,58-48,2,E. Payton makes 2-pt shot at rim
6:56.0,Turnover by R. Rubio (lost ball; steal by E. Payton),,58-48,,
6:50.0,,,58-50,2,D. Dedmon makes 2-pt shot at rim (assist by E. Payton)
6:34.0,Shooting foul by D. Dedmon (drawn by A. Wiggins),,58-50,,
6:34.0,A. Wiggins makes free throw 1 of 2,1,59-50,,
6:34.0,A. Wiggins makes free throw 2 of 2,1,60-50,,
6:22.0,Personal foul by N. Bjelica (drawn by C. Frye),,60-50,,
6:11.0,,,60-50,,E. Payton misses 2-pt shot from 18 ft
6:10.0,Defensive rebound by R. Rubio,,60-50,,
5:57.0,T. Prince makes 2-pt shot from 19 ft (assist by N. Bjelica),2,62-50,,
5:48.0,,,62-50,,Offensive charge foul by D. Dedmon
5:48.0,,,62-50,,Turnover by D. Dedmon (offensive foul)
5:48.0,S. Muhammad enters the game for N. Bjelica,,62-50,,
5:48.0,,,62-50,,J. Smith enters the game for D. Dedmon
5:35.0,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio),2,64-50,,
5:15.0,,,64-52,2,E. Payton makes 2-pt shot from 12 ft
4:51.0,R. Rubio misses 2-pt shot from 15 ft,,64-52,,
4:51.0,,,64-52,,Defensive rebound by J. Smith
4:51.0,Personal foul by S. Muhammad (drawn by T. Harris),,64-52,,
4:51.0,,,64-53,1,T. Harris makes free throw 1 of 2
4:51.0,Z. LaVine enters the game for R. Rubio,,64-53,,
4:51.0,,,64-53,,A. Nicholson enters the game for C. Frye
4:51.0,,,64-54,1,T. Harris makes free throw 2 of 2
4:33.0,A. Wiggins misses 2-pt shot from 17 ft,,64-54,,
4:33.0,,,64-54,,Defensive rebound by A. Nicholson
4:19.0,,,64-57,3,E. Fournier makes 3-pt shot from 24 ft (assist by J. Smith)
4:00.0,Turnover by A. Wiggins (bad pass; steal by E. Payton),,64-57,,
3:58.0,,,64-59,2,E. Payton makes 2-pt shot from 2 ft
3:58.0,,,64-59,,Shooting foul by Z. LaVine (drawn by E. Payton)
3:58.0,G. Dieng enters the game for K. Towns,,64-59,,
3:58.0,,,64-59,,E. Payton misses free throw 1 of 1
3:56.0,Defensive rebound by G. Dieng,,64-59,,
3:36.0,S. Muhammad misses 2-pt shot at rim (block by J. Smith),,64-59,,
3:35.0,,,64-59,,Defensive rebound by T. Harris
3:29.0,,,64-61,2,T. Harris makes 2-pt shot from 1 ft (assist by E. Payton)
3:10.0,S. Muhammad misses 3-pt shot from 24 ft,,64-61,,
3:10.0,,,64-61,,Defensive rebound by E. Fournier
3:07.0,,,64-63,2,J. Smith makes 2-pt shot from 1 ft (assist by E. Fournier)
3:07.0,,,64-63,,Shooting foul by A. Wiggins (drawn by J. Smith)
3:07.0,K. Martin enters the game for A. Wiggins,,64-63,,
3:07.0,,,64-63,,V. Oladipo enters the game for T. Harris
3:07.0,,,64-64,1,J. Smith makes free throw 1 of 1
3:01.0,Turnover by Z. LaVine (lost ball; steal by E. Fournier),,64-64,,
3:01.0,Clear path foul by Z. LaVine,,64-64,,
3:01.0,,,64-65,1,E. Fournier makes clear path free throw 1 of 2
3:01.0,N. Bjelica enters the game for T. Prince,,64-65,,
3:01.0,,,64-65,,E. Fournier misses clear path free throw 2 of 2
3:01.0,,,64-65,,Offensive rebound by Team
2:46.0,,,64-65,,A. Nicholson misses 2-pt shot from 8 ft
2:45.0,Defensive rebound by K. Martin,,64-65,,
2:31.0,Shooting foul by V. Oladipo (drawn by K. Martin),,64-65,,
2:31.0,,,64-65,,Orlando full timeout
2:31.0,K. Martin makes free throw 1 of 2,1,65-65,,
2:31.0,K. Martin makes free throw 2 of 2,1,66-65,,
2:11.0,,,66-65,,A. Nicholson misses 2-pt shot from 5 ft
2:09.0,Defensive rebound by Z. LaVine,,66-65,,
1:59.0,Offensive charge foul by G. Dieng,,66-65,,
1:59.0,Turnover by G. Dieng (offensive foul),,66-65,,
1:59.0,,,66-65,,S. Napier enters the game for E. Payton
1:49.0,,,66-65,,S. Napier misses 2-pt shot from 15 ft
1:48.0,,,66-65,,Offensive rebound by E. Fournier
1:43.0,,,66-68,3,S. Napier makes 3-pt shot from 25 ft (assist by E. Fournier)
1:21.0,S. Muhammad makes 2-pt shot at rim (assist by G. Dieng),2,68-68,,
1:08.0,,,68-71,3,E. Fournier makes 3-pt shot from 26 ft (assist by S. Napier)
0:55.0,Z. LaVine makes 3-pt shot from 27 ft (assist by K. Martin),3,71-71,,
0:38.0,,,71-71,,A. Nicholson misses 2-pt shot at rim
0:37.0,Defensive rebound by N. Bjelica,,71-71,,
0:37.0,,,71-71,,T. Harris enters the game for E. Fournier
0:27.0,G. Dieng misses 2-pt shot from 1 ft,,71-71,,
0:26.0,Offensive rebound by G. Dieng,,71-71,,
0:25.0,G. Dieng makes 2-pt shot at rim,2,73-71,,
0:07.0,,,73-71,,Turnover by J. Smith (bad pass; steal by K. Martin)
0:02.0,K. Martin makes 3-pt shot from 24 ft,3,76-71,,
0:00.0,,,76-71,,S. Napier misses 3-pt shot from 25 ft
0:00.0,,,76-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,76-73,2,T. Harris makes 2-pt shot from 2 ft
11:32.0,Z. LaVine makes 2-pt shot from 1 ft,2,78-73,,
11:19.0,,,78-76,3,A. Nicholson makes 3-pt shot from 26 ft (assist by T. Harris)
11:05.0,Turnover by Z. LaVine (lost ball; steal by S. Napier),,78-76,,
11:05.0,Personal foul by Z. LaVine (drawn by S. Napier),,78-76,,
10:56.0,,,78-76,,T. Harris misses 2-pt shot at rim (block by G. Dieng)
10:53.0,,,78-76,,Offensive rebound by J. Smith
10:53.0,,,78-76,,J. Smith misses 2-pt shot from 2 ft
10:52.0,Defensive rebound by N. Bjelica,,78-76,,
10:39.0,N. Bjelica misses 3-pt shot from 27 ft,,78-76,,
10:38.0,,,78-76,,Defensive rebound by V. Oladipo
10:28.0,,,78-76,,S. Napier misses 2-pt shot from 18 ft
10:26.0,Defensive rebound by K. Martin,,78-76,,
10:17.0,N. Bjelica misses 3-pt shot from 25 ft,,78-76,,
10:16.0,,,78-76,,Defensive rebound by A. Nicholson
10:07.0,Personal foul by N. Bjelica (drawn by S. Napier),,78-76,,
9:57.0,,,78-76,,A. Nicholson misses 2-pt shot from 6 ft
9:56.0,Defensive rebound by G. Dieng,,78-76,,
9:42.0,K. Martin makes 2-pt shot from 10 ft,2,80-76,,
9:33.0,Personal foul by S. Muhammad (drawn by T. Harris),,80-76,,
9:26.0,,,80-76,,S. Napier misses 2-pt shot at rim
9:26.0,Defensive rebound by N. Bjelica,,80-76,,
9:22.0,Shooting foul by V. Oladipo (drawn by K. Martin),,80-76,,
9:22.0,K. Martin misses free throw 1 of 2,,80-76,,
9:22.0,Offensive rebound by Team,,80-76,,
9:22.0,K. Martin makes free throw 2 of 2,1,81-76,,
9:10.0,,,81-76,,Shooting foul by N. Bjelica (drawn by V. Oladipo)
9:10.0,,,81-76,,V. Oladipo misses free throw 1 of 2
9:10.0,,,81-76,,Offensive rebound by Team
9:10.0,,,81-76,,E. Payton enters the game for S. Napier
9:10.0,K. Towns enters the game for N. Bjelica,,81-76,,
9:10.0,,,81-77,1,V. Oladipo makes free throw 2 of 2
8:53.0,Z. LaVine misses 2-pt shot from 21 ft,,81-77,,
8:53.0,,,81-77,,Defensive rebound by J. Smith
8:37.0,,,81-77,,T. Harris misses 2-pt shot from 7 ft
8:36.0,Defensive rebound by K. Towns,,81-77,,
8:12.0,Z. LaVine misses 3-pt shot from 25 ft,,81-77,,
8:12.0,Offensive rebound by Team,,81-77,,
8:12.0,Turnover by Team (shot clock),,81-77,,
8:12.0,Official timeout,,81-77,,
8:12.0,,,81-77,,E. Fournier enters the game for V. Oladipo
8:12.0,R. Rubio enters the game for Z. LaVine,,81-77,,
8:12.0,A. Wiggins enters the game for S. Muhammad,,81-77,,
7:58.0,,,81-79,2,E. Payton makes 2-pt shot from 4 ft
7:34.0,R. Rubio misses 2-pt shot from 13 ft,,81-79,,
7:33.0,,,81-79,,Defensive rebound by T. Harris
7:26.0,,,81-81,2,E. Payton makes 2-pt shot from 1 ft
7:07.0,A. Wiggins misses 2-pt shot from 6 ft,,81-81,,
7:06.0,,,81-81,,Defensive rebound by T. Harris
6:52.0,Personal foul by K. Towns (drawn by J. Smith),,81-81,,
6:52.0,,,81-82,1,J. Smith makes free throw 1 of 2
6:52.0,,,81-83,1,J. Smith makes free throw 2 of 2
6:33.0,R. Rubio misses 2-pt shot from 15 ft,,81-83,,
6:33.0,,,81-83,,Defensive rebound by J. Smith
6:26.0,,,81-83,,E. Payton misses 2-pt shot from 2 ft (block by G. Dieng)
6:26.0,,,81-83,,Offensive rebound by Team
6:15.0,,,81-83,,T. Harris misses 2-pt shot from 1 ft
6:15.0,Defensive rebound by Team,,81-83,,
5:59.0,Shooting foul by T. Harris (drawn by A. Wiggins),,81-83,,
5:59.0,,,81-83,,Orlando full timeout
5:59.0,Z. LaVine enters the game for K. Martin,,81-83,,
5:59.0,A. Wiggins makes free throw 1 of 2,1,82-83,,
5:59.0,A. Wiggins misses free throw 2 of 2,,82-83,,
5:58.0,,,82-83,,Defensive rebound by J. Smith
5:40.0,,,82-83,,E. Fournier misses 3-pt shot from 24 ft
5:40.0,Defensive rebound by Team,,82-83,,
5:21.0,Turnover by A. Wiggins (lost ball; steal by E. Payton),,82-83,,
5:19.0,,,82-83,,Turnover by E. Fournier (bad pass; steal by G. Dieng)
5:11.0,G. Dieng misses 2-pt shot from 16 ft,,82-83,,
5:10.0,,,82-83,,Defensive rebound by A. Nicholson
4:57.0,,,82-83,,Shooting foul by G. Dieng (drawn by E. Payton)
4:57.0,,,82-84,1,E. Payton makes free throw 1 of 2
4:57.0,,,82-84,,E. Payton misses free throw 2 of 2
4:54.0,,,82-84,,Offensive rebound by A. Nicholson
4:53.0,,,82-86,2,A. Nicholson makes 2-pt shot at rim
