time,Minnesota,pts.away,score,pts.home,Cleveland
1:27.0,,,25-24,,M. Williams enters the game for J. Smith
1:27.0,T. Prince enters the game for A. Wiggins,,25-24,,
1:11.0,Z. LaVine makes 2-pt shot from 21 ft (assist by G. Dieng),2,27-24,,
0:54.0,Personal foul by G. Dieng (drawn by T. Mozgov),,27-24,,
0:48.0,,,27-27,3,M. Dellavedova makes 3-pt shot from 24 ft
0:37.0,S. Muhammad misses 2-pt shot from 12 ft,,27-27,,
0:34.0,,,27-27,,Defensive rebound by T. Mozgov
0:26.0,,,27-29,2,T. Mozgov makes 2-pt shot at rim (assist by M. Williams)
0:09.0,G. Dieng makes 2-pt shot from 10 ft (assist by Z. LaVine),2,29-29,,
0:02.0,,,29-32,3,M. Dellavedova makes 3-pt shot from 25 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,29-34,2,K. Love makes 2-pt shot from 18 ft (assist by I. Shumpert)
11:29.0,,,29-34,,Personal foul by M. Dellavedova (drawn by S. Muhammad)
11:29.0,,,29-34,,K. Irving enters the game for M. Dellavedova
11:16.0,G. Dieng misses 2-pt shot from 18 ft,,29-34,,
11:15.0,,,29-34,,Defensive rebound by I. Shumpert
11:01.0,,,29-34,,Turnover by I. Shumpert (bad pass; steal by T. Prince)
10:56.0,N. Bjelica makes 2-pt shot from 2 ft (assist by Z. LaVine),2,31-34,,
10:34.0,,,31-34,,K. Irving misses 2-pt shot from 10 ft
10:32.0,Defensive rebound by Z. LaVine,,31-34,,
10:15.0,Z. LaVine makes 3-pt shot from 25 ft,3,34-34,,
9:58.0,,,34-34,,Turnover by K. Irving (bad pass; steal by Z. LaVine)
9:57.0,,,34-34,,Personal foul by M. Williams (drawn by Z. LaVine)
9:57.0,,,34-34,,L. James enters the game for T. Mozgov
9:46.0,,,34-34,,Personal foul by K. Love (drawn by G. Dieng)
9:33.0,N. Bjelica misses 2-pt shot from 8 ft (block by L. James),,34-34,,
9:32.0,Offensive rebound by Team,,34-34,,
9:32.0,Turnover by Team (shot clock),,34-34,,
9:16.0,,,34-36,2,I. Shumpert makes 2-pt shot at rim (assist by L. James)
9:16.0,,,34-36,,Shooting foul by T. Prince (drawn by I. Shumpert)
9:16.0,,,34-37,1,I. Shumpert makes free throw 1 of 1
8:55.0,Z. LaVine makes 2-pt shot from 21 ft (assist by S. Muhammad),2,36-37,,
8:41.0,,,36-37,,K. Irving misses 2-pt shot from 5 ft
8:41.0,,,36-37,,Offensive rebound by K. Irving
8:35.0,,,36-37,,K. Love misses 3-pt shot from 24 ft
8:35.0,Defensive rebound by G. Dieng,,36-37,,
8:24.0,T. Prince makes 2-pt shot from 21 ft (assist by G. Dieng),2,38-37,,
8:05.0,,,38-39,2,K. Love makes 2-pt shot from 5 ft (assist by M. Williams)
8:05.0,,,38-39,,Shooting foul by N. Bjelica (drawn by K. Love)
8:05.0,Official timeout,,38-39,,
8:05.0,,,38-39,,J. Smith enters the game for M. Williams
8:05.0,A. Wiggins enters the game for N. Bjelica,,38-39,,
8:05.0,,,38-39,,K. Love misses free throw 1 of 1
8:04.0,Defensive rebound by G. Dieng,,38-39,,
7:52.0,,,38-39,,Personal foul by I. Shumpert (drawn by A. Wiggins)
7:44.0,Z. LaVine misses 2-pt shot from 14 ft,,38-39,,
7:43.0,,,38-39,,Defensive rebound by K. Irving
7:22.0,,,38-41,2,J. Smith makes 2-pt shot from 5 ft (assist by I. Shumpert)
7:07.0,S. Muhammad misses 2-pt shot from 3 ft,,38-41,,
7:06.0,,,38-41,,Defensive rebound by K. Irving
7:00.0,,,38-41,,K. Irving misses 2-pt shot from 1 ft
6:58.0,,,38-41,,Offensive rebound by K. Irving
6:56.0,,,38-41,,Turnover by K. Irving (lost ball; steal by G. Dieng)
6:52.0,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine),2,40-41,,
6:52.0,,,40-41,,Cleveland full timeout
6:52.0,,,40-41,,T. Thompson enters the game for I. Shumpert
6:52.0,R. Rubio enters the game for S. Muhammad,,40-41,,
6:43.0,Personal foul by A. Wiggins (drawn by L. James),,40-41,,
6:31.0,,,40-41,,J. Smith misses 3-pt shot from 24 ft
6:31.0,Defensive rebound by Z. LaVine,,40-41,,
6:10.0,A. Wiggins misses 2-pt shot from 8 ft,,40-41,,
6:10.0,,,40-41,,Defensive rebound by J. Smith
6:10.0,Personal foul by A. Wiggins (drawn by J. Smith),,40-41,,
5:49.0,,,40-41,,J. Smith misses 3-pt shot from 24 ft
5:49.0,Defensive rebound by T. Prince,,40-41,,
5:38.0,T. Prince misses 2-pt shot at rim,,40-41,,
5:36.0,Offensive rebound by G. Dieng,,40-41,,
5:32.0,A. Wiggins misses 3-pt shot from 25 ft,,40-41,,
5:31.0,,,40-41,,Defensive rebound by T. Thompson
5:20.0,,,40-43,2,K. Irving makes 2-pt shot from 17 ft
5:01.0,Offensive foul by G. Dieng,,40-43,,
5:01.0,Turnover by G. Dieng (offensive foul),,40-43,,
5:01.0,,,40-43,,M. Dellavedova enters the game for K. Irving
5:01.0,,,40-43,,I. Shumpert enters the game for K. Love
5:01.0,K. Towns enters the game for G. Dieng,,40-43,,
4:43.0,,,40-43,,L. James misses 2-pt shot from 14 ft
4:42.0,,,40-43,,Offensive rebound by T. Thompson
4:33.0,,,40-45,2,L. James makes 2-pt shot at rim (assist by M. Dellavedova)
4:27.0,Minnesota full timeout,,40-45,,
4:20.0,Shooting foul by I. Shumpert (drawn by A. Wiggins),,40-45,,
4:20.0,A. Wiggins makes free throw 1 of 2,1,41-45,,
4:20.0,A. Wiggins makes free throw 2 of 2,1,42-45,,
4:07.0,,,42-47,2,M. Dellavedova makes 2-pt shot from 6 ft
3:51.0,K. Towns misses 2-pt shot from 19 ft,,42-47,,
3:51.0,,,42-47,,Defensive rebound by T. Thompson
3:44.0,,,42-47,,Turnover by L. James (bad pass; steal by R. Rubio)
3:39.0,R. Rubio makes 2-pt shot at rim,2,44-47,,
3:28.0,,,44-49,2,L. James makes 2-pt shot at rim (assist by M. Dellavedova)
3:15.0,R. Rubio makes 2-pt shot from 14 ft,2,46-49,,
2:55.0,,,46-49,,I. Shumpert misses 2-pt shot from 17 ft
2:54.0,,,46-49,,Offensive rebound by T. Thompson
2:54.0,,,46-51,2,T. Thompson makes 2-pt shot from 1 ft
2:38.0,Z. LaVine makes 3-pt shot from 24 ft (assist by R. Rubio),3,49-51,,
2:26.0,,,49-51,,M. Dellavedova misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by T. Prince,,49-51,,
2:14.0,T. Prince makes 2-pt shot from 17 ft (assist by R. Rubio),2,51-51,,
2:14.0,,,51-51,,Cleveland full timeout
2:14.0,N. Pekovic enters the game for K. Towns,,51-51,,
1:59.0,,,51-51,,J. Smith misses 3-pt shot from 25 ft
1:59.0,Defensive rebound by T. Prince,,51-51,,
1:48.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,53-51,,
1:26.0,,,53-54,3,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James)
1:11.0,R. Rubio misses 2-pt shot from 17 ft,,53-54,,
1:11.0,,,53-54,,Defensive rebound by J. Smith
1:07.0,,,53-54,,Shooting foul by Z. LaVine (drawn by L. James)
1:07.0,,,53-56,2,L. James makes 2-pt shot at rim (assist by J. Smith)
1:07.0,S. Muhammad enters the game for A. Wiggins,,53-56,,
1:07.0,,,53-56,,K. Irving enters the game for I. Shumpert
1:07.0,,,53-56,,L. James misses free throw 1 of 1
1:06.0,Defensive rebound by N. Pekovic,,53-56,,
0:48.0,N. Pekovic misses 2-pt shot from 9 ft,,53-56,,
0:47.0,,,53-56,,Defensive rebound by L. James
0:36.0,,,53-56,,J. Smith misses 3-pt shot from 25 ft
0:36.0,,,53-56,,Offensive rebound by K. Irving
0:33.0,,,53-59,3,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving)
0:18.0,,,53-59,,Violation by T. Thompson (def goaltending)
0:18.0,S. Muhammad makes 2-pt shot from 10 ft (assist by R. Rubio),2,55-59,,
0:00.0,,,55-59,,J. Smith misses 3-pt shot from 25 ft
0:00.0,,,55-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,55-59,,J. Smith misses 2-pt shot from 7 ft
11:43.0,Defensive rebound by N. Pekovic,,55-59,,
11:30.0,N. Pekovic misses 2-pt shot from 9 ft,,55-59,,
11:29.0,Offensive rebound by K. Towns,,55-59,,
11:25.0,K. Towns makes 2-pt shot from 2 ft,2,57-59,,
11:15.0,,,57-59,,K. Irving misses 2-pt shot from 7 ft
11:15.0,,,57-59,,Offensive rebound by Team
11:15.0,Loose ball foul by N. Pekovic (drawn by T. Thompson),,57-59,,
10:55.0,,,57-61,2,K. Love makes 2-pt shot from 5 ft (assist by L. James)
10:32.0,R. Rubio misses 2-pt shot from 19 ft,,57-61,,
10:31.0,,,57-61,,Defensive rebound by K. Irving
10:16.0,,,57-61,,K. Love misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by R. Rubio,,57-61,,
10:05.0,N. Pekovic makes 2-pt shot from 3 ft (assist by R. Rubio),2,59-61,,
9:57.0,,,59-61,,K. Irving misses 2-pt shot from 20 ft
9:56.0,Defensive rebound by K. Towns,,59-61,,
9:44.0,K. Towns misses 3-pt shot from 24 ft,,59-61,,
9:43.0,,,59-61,,Defensive rebound by T. Thompson
9:31.0,,,59-61,,K. Irving misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by K. Towns,,59-61,,
9:18.0,A. Wiggins makes 2-pt shot from 5 ft (assist by T. Prince),2,61-61,,
9:01.0,,,61-61,,Cleveland full timeout
8:52.0,,,61-63,2,K. Irving makes 2-pt shot from 18 ft (assist by T. Thompson)
8:28.0,N. Pekovic makes 2-pt shot from 7 ft (assist by K. Towns),2,63-63,,
8:08.0,,,63-63,,K. Love misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by T. Prince,,63-63,,
7:56.0,Offensive foul by N. Pekovic,,63-63,,
7:56.0,Turnover by N. Pekovic (offensive foul),,63-63,,
7:56.0,,,63-63,,M. Dellavedova enters the game for K. Irving
7:40.0,,,63-63,,M. Dellavedova misses 3-pt shot from 24 ft
7:40.0,,,63-63,,Offensive rebound by K. Love
7:23.0,,,63-65,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
7:04.0,K. Towns makes 2-pt shot from 18 ft (assist by R. Rubio),2,65-65,,
6:52.0,,,65-65,,L. James misses 2-pt shot from 20 ft
6:52.0,Defensive rebound by K. Towns,,65-65,,
6:40.0,Shooting foul by J. Smith (drawn by K. Towns),,65-65,,
6:40.0,K. Towns misses free throw 1 of 2,,65-65,,
6:40.0,Offensive rebound by Team,,65-65,,
6:40.0,G. Dieng enters the game for N. Pekovic,,65-65,,
6:40.0,K. Towns makes free throw 2 of 2,1,66-65,,
6:26.0,,,66-65,,M. Dellavedova misses 2-pt shot from 7 ft
6:24.0,Defensive rebound by A. Wiggins,,66-65,,
6:16.0,Turnover by A. Wiggins (bad pass; steal by L. James),,66-65,,
6:11.0,,,66-67,2,L. James makes 2-pt shot at rim (assist by T. Thompson)
5:51.0,K. Towns makes 2-pt shot from 15 ft (assist by A. Wiggins),2,68-67,,
5:31.0,,,68-70,3,L. James makes 3-pt shot from 24 ft (assist by M. Dellavedova)
5:15.0,R. Rubio misses 2-pt shot from 9 ft,,68-70,,
5:10.0,,,68-70,,Defensive rebound by K. Love
5:05.0,,,68-70,,T. Thompson misses 2-pt shot from 2 ft (block by K. Towns)
5:03.0,Defensive rebound by K. Towns,,68-70,,
4:57.0,Turnover by K. Towns (lost ball; steal by J. Smith),,68-70,,
4:50.0,,,68-73,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by L. James)
4:50.0,Minnesota full timeout,,68-73,,
4:50.0,S. Muhammad enters the game for T. Prince,,68-73,,
4:50.0,,,68-73,,I. Shumpert enters the game for L. James
4:29.0,Turnover by A. Wiggins (bad pass; steal by J. Smith),,68-73,,
4:09.0,,,68-73,,I. Shumpert misses 2-pt shot from 22 ft
4:08.0,Defensive rebound by R. Rubio,,68-73,,
4:00.0,Turnover by G. Dieng (bad pass; steal by K. Love),,68-73,,
3:38.0,,,68-73,,M. Dellavedova misses 3-pt shot from 24 ft
3:38.0,Defensive rebound by G. Dieng,,68-73,,
3:18.0,A. Wiggins makes 2-pt shot from 14 ft,2,70-73,,
3:05.0,,,70-73,,Shooting foul by S. Muhammad (drawn by J. Smith)
3:05.0,,,70-73,,J. Smith misses free throw 1 of 2
3:05.0,,,70-73,,Offensive rebound by Team
3:05.0,Z. LaVine enters the game for R. Rubio,,70-73,,
3:05.0,N. Bjelica enters the game for K. Towns,,70-73,,
3:05.0,,,70-73,,T. Mozgov enters the game for K. Love
3:05.0,,,70-74,1,J. Smith makes free throw 2 of 2
2:46.0,S. Muhammad misses 2-pt shot from 4 ft (block by J. Smith),,70-74,,
2:45.0,Offensive rebound by S. Muhammad,,70-74,,
2:43.0,S. Muhammad misses 2-pt shot from 5 ft,,70-74,,
2:43.0,,,70-74,,Defensive rebound by M. Dellavedova
2:36.0,,,70-74,,Turnover by J. Smith (bad pass; steal by G. Dieng)
2:14.0,S. Muhammad misses 2-pt shot from 5 ft,,70-74,,
2:12.0,,,70-74,,Defensive rebound by T. Mozgov
2:02.0,,,70-74,,M. Dellavedova misses 2-pt shot from 8 ft
2:01.0,,,70-74,,Offensive rebound by T. Thompson
2:01.0,,,70-76,2,T. Thompson makes 2-pt shot from 2 ft
1:44.0,Shooting foul by T. Mozgov (drawn by A. Wiggins),,70-76,,
1:44.0,A. Wiggins misses free throw 1 of 2,,70-76,,
1:44.0,Offensive rebound by Team,,70-76,,
1:44.0,,,70-76,,K. Irving enters the game for J. Smith
1:44.0,A. Wiggins makes free throw 2 of 2,1,71-76,,
1:28.0,,,71-76,,K. Irving misses 2-pt shot from 2 ft
1:26.0,Defensive rebound by S. Muhammad,,71-76,,
1:21.0,Z. LaVine misses 2-pt shot from 3 ft,,71-76,,
1:19.0,,,71-76,,Defensive rebound by T. Thompson
1:13.0,,,71-76,,K. Irving misses 3-pt shot from 24 ft
1:13.0,,,71-76,,Offensive rebound by T. Thompson
1:09.0,,,71-78,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
0:57.0,A. Wiggins misses 2-pt shot from 10 ft (block by I. Shumpert),,71-78,,
0:57.0,Offensive rebound by Team,,71-78,,
0:57.0,T. Prince enters the game for A. Wiggins,,71-78,,
0:54.0,Turnover by G. Dieng (bad pass; steal by M. Dellavedova),,71-78,,
0:49.0,,,71-80,2,T. Mozgov makes 2-pt shot at rim (assist by M. Dellavedova)
0:35.0,N. Bjelica misses 3-pt shot from 26 ft,,71-80,,
0:34.0,,,71-80,,Defensive rebound by K. Irving
0:27.0,,,71-83,3,K. Irving makes 3-pt shot from 24 ft
0:06.0,Shooting foul by M. Dellavedova (drawn by G. Dieng),,71-83,,
0:06.0,G. Dieng makes free throw 1 of 2,1,72-83,,
0:06.0,G. Dieng makes free throw 2 of 2,1,73-83,,
0:03.0,Personal foul by Z. LaVine (drawn by K. Irving),,73-83,,
0:02.0,,,73-83,,K. Irving misses 3-pt shot from 23 ft
0:00.0,,,73-83,,Offensive rebound by T. Thompson
0:00.0,,,73-83,,T. Thompson misses 2-pt shot from 2 ft
0:00.0,,,73-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Shooting foul by L. James (drawn by G. Dieng),,73-83,,
11:45.0,G. Dieng makes free throw 1 of 2,1,74-83,,
11:45.0,G. Dieng makes free throw 2 of 2,1,75-83,,
11:23.0,,,75-85,2,L. James makes 2-pt shot from 21 ft
11:13.0,N. Bjelica misses 2-pt shot from 6 ft,,75-85,,
11:12.0,,,75-85,,Defensive rebound by K. Love
11:01.0,,,75-87,2,K. Irving makes 2-pt shot from 8 ft
10:44.0,Z. LaVine misses 3-pt shot from 25 ft,,75-87,,
10:44.0,,,75-87,,Defensive rebound by I. Shumpert
10:25.0,,,75-90,3,I. Shumpert makes 3-pt shot from 23 ft (assist by K. Irving)
10:25.0,Minnesota full timeout,,75-90,,
10:12.0,,,75-90,,Personal foul by I. Shumpert (drawn by T. Prince)
10:08.0,Shooting foul by K. Love (drawn by G. Dieng),,75-90,,
10:08.0,G. Dieng makes free throw 1 of 2,1,76-90,,
10:08.0,A. Wiggins enters the game for T. Prince,,76-90,,
10:08.0,G. Dieng makes free throw 2 of 2,1,77-90,,
9:55.0,,,77-90,,Turnover by K. Love (lost ball; steal by A. Wiggins)
9:50.0,G. Dieng makes 2-pt shot at rim (assist by N. Bjelica),2,79-90,,
9:50.0,Shooting foul by T. Mozgov (drawn by G. Dieng),,79-90,,
9:50.0,G. Dieng makes free throw 1 of 1,1,80-90,,
9:40.0,Personal foul by N. Bjelica (drawn by K. Love),,80-90,,
9:33.0,,,80-92,2,K. Love makes 2-pt shot from 17 ft
9:11.0,S. Muhammad misses 3-pt shot from 26 ft,,80-92,,
9:11.0,,,80-92,,Defensive rebound by I. Shumpert
9:04.0,,,80-92,,K. Irving misses 2-pt shot from 2 ft
9:03.0,Defensive rebound by Team,,80-92,,
8:46.0,N. Bjelica makes 3-pt shot from 26 ft (assist by Z. LaVine),3,83-92,,
8:29.0,,,83-92,,Turnover by T. Mozgov (traveling)
8:29.0,K. Towns enters the game for G. Dieng,,83-92,,
8:17.0,K. Towns makes 2-pt shot at rim (assist by Z. LaVine),2,85-92,,
8:16.0,,,85-92,,Cleveland full timeout
8:16.0,,,85-92,,T. Thompson enters the game for T. Mozgov
8:07.0,,,85-92,,Turnover by K. Irving (bad pass)
7:49.0,K. Towns misses 2-pt shot from 3 ft,,85-92,,
7:49.0,,,85-92,,Defensive rebound by T. Thompson
7:42.0,Personal foul by N. Bjelica (drawn by K. Love),,85-92,,
7:27.0,,,85-92,,Turnover by L. James (lost ball; steal by S. Muhammad)
7:21.0,Z. LaVine makes 2-pt shot at rim (assist by S. Muhammad),2,87-92,,
6:54.0,,,87-94,2,K. Irving makes 2-pt shot from 19 ft
6:37.0,A. Wiggins misses 3-pt shot from 24 ft,,87-94,,
6:37.0,,,87-94,,Defensive rebound by K. Love
6:27.0,,,87-94,,I. Shumpert misses 3-pt shot from 23 ft
6:27.0,Defensive rebound by Team,,87-94,,
6:27.0,,,87-94,,Loose ball foul by T. Thompson (drawn by K. Towns)
6:27.0,K. Towns makes free throw 1 of 2,1,88-94,,
6:27.0,,,88-94,,J. Smith enters the game for I. Shumpert
6:27.0,R. Rubio enters the game for S. Muhammad,,88-94,,
6:27.0,,,88-94,,M. Dellavedova enters the game for K. Irving
6:27.0,K. Towns makes free throw 2 of 2,1,89-94,,
6:13.0,,,89-94,,L. James misses 2-pt shot from 17 ft
6:12.0,Defensive rebound by Z. LaVine,,89-94,,
6:06.0,Z. LaVine makes 2-pt shot from 1 ft,2,91-94,,
5:54.0,Personal foul by A. Wiggins (drawn by T. Thompson),,91-94,,
5:36.0,,,91-94,,J. Smith misses 2-pt shot from 20 ft
5:36.0,Defensive rebound by R. Rubio,,91-94,,
5:28.0,Z. LaVine misses 3-pt shot from 25 ft,,91-94,,
5:28.0,,,91-94,,Defensive rebound by L. James
5:15.0,,,91-96,2,T. Thompson makes 2-pt shot from 1 ft (assist by L. James)
5:15.0,,,91-96,,Shooting foul by N. Bjelica (drawn by T. Thompson)
5:15.0,G. Dieng enters the game for N. Bjelica,,91-96,,
5:15.0,,,91-97,1,T. Thompson makes free throw 1 of 1
4:55.0,Turnover by R. Rubio (bad pass; steal by K. Love),,91-97,,
4:47.0,,,91-97,,K. Love misses 3-pt shot from 24 ft
4:46.0,,,91-97,,Offensive rebound by M. Dellavedova
4:32.0,,,91-97,,Shooting foul by G. Dieng (drawn by T. Thompson)
4:32.0,,,91-97,,T. Thompson misses free throw 1 of 2
4:32.0,,,91-97,,Offensive rebound by Team
4:32.0,,,91-97,,T. Thompson misses free throw 2 of 2
4:31.0,,,91-97,,Offensive rebound by Team
4:26.0,,,91-99,2,T. Thompson makes 2-pt shot at rim (assist by K. Love)
4:26.0,Minnesota full timeout,,91-99,,
4:13.0,Turnover by Z. LaVine (bad pass; steal by J. Smith),,91-99,,
4:06.0,,,91-99,,L. James misses 2-pt shot from 1 ft
4:03.0,,,91-99,,Offensive rebound by T. Thompson
4:02.0,,,91-101,2,T. Thompson makes 2-pt shot at rim
3:47.0,A. Wiggins misses 2-pt shot from 3 ft,,91-101,,
3:47.0,,,91-101,,Defensive rebound by Team
3:47.0,S. Muhammad enters the game for G. Dieng,,91-101,,
3:30.0,,,91-104,3,M. Dellavedova makes 3-pt shot from 24 ft (assist by L. James)
3:09.0,K. Towns makes 2-pt shot from 19 ft (assist by Z. LaVine),2,93-104,,
2:51.0,,,93-104,,J. Smith misses 2-pt shot from 18 ft
2:51.0,,,93-104,,Offensive rebound by Team
2:51.0,Loose ball foul by K. Towns (drawn by T. Thompson),,93-104,,
2:51.0,,,93-105,1,T. Thompson makes free throw 1 of 2
2:51.0,,,93-105,,T. Thompson misses free throw 2 of 2
2:50.0,Defensive rebound by K. Towns,,93-105,,
2:36.0,A. Wiggins makes 2-pt shot from 4 ft (assist by R. Rubio),2,95-105,,
2:31.0,Personal foul by R. Rubio (drawn by T. Thompson),,95-105,,
2:31.0,,,95-106,1,T. Thompson makes free throw 1 of 2
2:31.0,,,95-106,,K. Irving enters the game for K. Love
2:31.0,,,95-106,,T. Thompson misses free throw 2 of 2
2:30.0,Defensive rebound by S. Muhammad,,95-106,,
2:20.0,Shooting foul by L. James (drawn by K. Towns),,95-106,,
2:20.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,97-106,,
2:20.0,,,97-106,,K. Love enters the game for T. Thompson
2:20.0,K. Towns makes free throw 1 of 1,1,98-106,,
