time,Miami,pts.away,score,pts.home,Charlotte
5:04.0,G. Green enters the game for J. Johnson,,11-18,,
5:04.0,J. Richardson enters the game for G. Dragic,,11-18,,
4:53.0,D. Wade makes 2-pt shot from 17 ft,2,13-18,,
4:39.0,,,13-18,,Turnover by J. Lin (lost ball; steal by D. Wade)
4:33.0,Turnover by D. Wade (lost ball; steal by F. Kaminsky),,13-18,,
4:32.0,Personal foul by G. Green,,13-18,,
4:18.0,,,13-18,,Turnover by N. Batum (lost ball; steal by G. Green)
4:13.0,L. Deng makes 2-pt shot from 1 ft,2,15-18,,
3:49.0,,,15-18,,K. Walker misses 3-pt shot from 26 ft
3:47.0,Defensive rebound by L. Deng,,15-18,,
3:25.0,L. Deng makes 3-pt shot from 26 ft (assist by J. Richardson),3,18-18,,
3:14.0,,,18-18,,Charlotte full timeout
3:14.0,,,18-18,,C. Lee enters the game for A. Jefferson
3:14.0,,,18-18,,C. Zeller enters the game for K. Walker
2:59.0,,,18-18,,J. Lin misses 2-pt shot from 9 ft
2:58.0,Defensive rebound by D. Wade,,18-18,,
2:48.0,D. Wade makes 2-pt shot from 1 ft,2,20-18,,
2:24.0,,,20-18,,Shooting foul by H. Whiteside (drawn by C. Zeller)
2:24.0,,,20-19,1,C. Zeller makes free throw 1 of 2
2:24.0,J. McRoberts enters the game for H. Whiteside,,20-19,,
2:24.0,,,20-20,1,C. Zeller makes free throw 2 of 2
2:08.0,G. Green misses 2-pt shot from 6 ft (block by F. Kaminsky),,20-20,,
2:08.0,,,20-20,,Defensive rebound by Team
2:08.0,J. Johnson enters the game for D. Wade,,20-20,,
2:08.0,Jump ball: G. Green vs. F. Kaminsky (C. Lee gains possession),,,,Jump ball: G. Green vs. F. Kaminsky (C. Lee gains possession)
1:54.0,,,20-20,,C. Zeller misses 2-pt shot from 2 ft
1:53.0,Defensive rebound by J. Richardson,,20-20,,
1:41.0,G. Green misses 2-pt shot from 19 ft,,20-20,,
1:40.0,,,20-20,,Defensive rebound by C. Zeller
1:31.0,,,20-20,,N. Batum misses 3-pt shot from 25 ft
1:28.0,Defensive rebound by G. Green,,20-20,,
1:18.0,L. Deng makes 2-pt shot from 1 ft (assist by J. Richardson),2,22-20,,
0:58.0,,,22-22,2,C. Zeller makes 2-pt shot from 1 ft (assist by J. Lin)
0:44.0,J. Richardson makes 3-pt shot from 25 ft (assist by J. McRoberts),3,25-22,,
0:34.0,J. Winslow enters the game for L. Deng,,25-22,,
0:34.0,G. Dragic enters the game for G. Green,,25-22,,
0:28.0,,,25-24,2,C. Zeller makes 2-pt shot from 1 ft (assist by C. Lee)
0:05.0,G. Dragic makes 2-pt shot from 16 ft,2,27-24,,
0:00.0,,,27-24,,J. Lin misses 3-pt shot from 31 ft
0:00.0,,,27-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Personal foul by J. Winslow,,27-24,,
11:33.0,,,27-24,,K. Walker misses 2-pt shot from 2 ft
11:32.0,Defensive rebound by J. Richardson,,27-24,,
11:19.0,,,27-24,,Personal foul by N. Batum
11:09.0,J. McRoberts misses 2-pt shot from 20 ft,,27-24,,
11:08.0,,,27-24,,Defensive rebound by K. Walker
10:59.0,,,27-24,,J. Lin misses 2-pt shot from 1 ft
10:58.0,,,27-24,,Offensive rebound by Team
10:58.0,Loose ball foul by G. Dragic,,27-24,,
10:58.0,D. Wade enters the game for G. Dragic,,27-24,,
10:49.0,,,27-24,,Charlotte full timeout
10:41.0,,,27-24,,K. Walker misses 2-pt shot from 1 ft (block by J. Richardson)
10:39.0,Defensive rebound by J. Winslow,,27-24,,
10:35.0,J. Winslow misses 2-pt shot from 2 ft (block by C. Zeller),,27-24,,
10:33.0,Offensive rebound by J. Richardson,,27-24,,
10:30.0,J. Johnson misses 3-pt shot from 26 ft,,27-24,,
10:29.0,,,27-24,,Defensive rebound by M. Williams
10:25.0,,,27-26,2,K. Walker makes 2-pt shot from 1 ft (assist by M. Williams)
10:06.0,Turnover by J. McRoberts (lost ball; steal by M. Williams),,27-26,,
10:01.0,,,27-26,,J. Lin misses 2-pt shot from 2 ft (block by D. Wade)
9:58.0,,,27-26,,Offensive rebound by N. Batum
9:58.0,,,27-28,2,N. Batum makes 2-pt shot at rim
9:37.0,J. McRoberts makes 2-pt shot from 6 ft,2,29-28,,
9:25.0,,,29-28,,Shooting foul by J. Richardson (drawn by K. Walker)
9:25.0,,,29-29,1,K. Walker makes free throw 1 of 2
9:25.0,,,29-30,1,K. Walker makes free throw 2 of 2
9:13.0,D. Wade makes 2-pt shot from 18 ft,2,31-30,,
9:01.0,,,31-30,,Shooting foul by J. McRoberts (drawn by C. Zeller)
9:01.0,,,31-31,1,C. Zeller makes free throw 1 of 2
9:01.0,H. Whiteside enters the game for J. McRoberts,,31-31,,
9:01.0,,,31-32,1,C. Zeller makes free throw 2 of 2
8:49.0,D. Wade makes 2-pt shot from 7 ft,2,33-32,,
8:36.0,,,33-34,2,C. Zeller makes 2-pt shot from 10 ft (assist by K. Walker)
8:24.0,Shooting foul by M. Williams (drawn by H. Whiteside),,33-34,,
8:24.0,Official timeout,,33-34,,
8:24.0,,,33-34,,C. Lee enters the game for N. Batum
8:24.0,H. Whiteside makes free throw 1 of 2,1,34-34,,
8:24.0,H. Whiteside makes free throw 2 of 2,1,35-34,,
8:09.0,,,35-34,,J. Lin misses 2-pt shot from 18 ft
8:08.0,Defensive rebound by D. Wade,,35-34,,
7:59.0,H. Whiteside misses 2-pt shot from 3 ft,,35-34,,
7:57.0,Offensive rebound by J. Winslow,,35-34,,
7:57.0,J. Winslow makes 2-pt shot from 1 ft,2,37-34,,
7:44.0,,,37-36,2,K. Walker makes 2-pt shot from 18 ft
7:20.0,Shooting foul by J. Lin (drawn by J. Winslow),,37-36,,
7:20.0,J. Winslow makes free throw 1 of 2,1,38-36,,
7:20.0,J. Winslow makes free throw 2 of 2,1,39-36,,
6:59.0,,,39-36,,J. Lin misses 2-pt shot from 20 ft
6:58.0,Defensive rebound by D. Wade,,39-36,,
6:47.0,D. Wade misses 2-pt shot from 7 ft,,39-36,,
6:47.0,,,39-36,,Defensive rebound by Team
6:47.0,Loose ball foul by J. Winslow,,39-36,,
6:47.0,,,39-37,1,J. Lin makes free throw 1 of 2
6:47.0,,,39-38,1,J. Lin makes free throw 2 of 2
6:34.0,H. Whiteside makes 2-pt shot from 9 ft (assist by D. Wade),2,41-38,,
6:20.0,,,41-38,,K. Walker misses 2-pt shot from 1 ft (block by H. Whiteside)
6:19.0,Defensive rebound by J. Johnson,,41-38,,
6:10.0,J. Richardson makes 3-pt shot from 23 ft (assist by J. Johnson),3,44-38,,
6:04.0,,,44-38,,Charlotte full timeout
6:04.0,L. Deng enters the game for J. Johnson,,44-38,,
6:04.0,,,44-38,,N. Batum enters the game for K. Walker
5:57.0,,,44-40,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
5:35.0,D. Wade makes 2-pt shot from 1 ft,2,46-40,,
5:22.0,,,46-40,,N. Batum misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by L. Deng,,46-40,,
5:02.0,J. Richardson misses 2-pt shot from 18 ft,,46-40,,
5:01.0,,,46-40,,Defensive rebound by M. Williams
4:40.0,,,46-40,,M. Williams misses 2-pt shot from 2 ft (block by H. Whiteside)
4:38.0,Defensive rebound by D. Wade,,46-40,,
4:31.0,L. Deng misses 2-pt shot from 1 ft,,46-40,,
4:29.0,Offensive rebound by H. Whiteside,,46-40,,
4:29.0,H. Whiteside makes 2-pt shot at rim,2,48-40,,
4:17.0,Personal foul by J. Richardson,,48-40,,
4:17.0,,,48-41,1,J. Lin makes free throw 1 of 2
4:17.0,,,48-41,,F. Kaminsky enters the game for M. Williams
4:17.0,,,48-41,,A. Jefferson enters the game for C. Zeller
4:17.0,J. Johnson enters the game for D. Wade,,48-41,,
4:17.0,G. Dragic enters the game for J. Richardson,,48-41,,
4:17.0,,,48-42,1,J. Lin makes free throw 2 of 2
3:58.0,L. Deng makes 2-pt shot from 8 ft,2,50-42,,
3:38.0,,,50-44,2,A. Jefferson makes 2-pt shot at rim
3:14.0,J. Johnson makes 2-pt shot from 8 ft,2,52-44,,
2:57.0,,,52-44,,A. Jefferson misses 2-pt shot from 7 ft (block by H. Whiteside)
2:57.0,Defensive rebound by Team,,52-44,,
2:57.0,Miami full timeout,,52-44,,
2:57.0,,,52-44,,K. Walker enters the game for J. Lin
2:57.0,Jump ball: A. Jefferson vs. H. Whiteside (J. Winslow gains possession),,,,Jump ball: A. Jefferson vs. H. Whiteside (J. Winslow gains possession)
2:51.0,J. Winslow makes 2-pt shot at rim,2,54-44,,
2:34.0,Violation by J. Winslow (kicked ball),,54-44,,
2:34.0,U. Haslem enters the game for H. Whiteside,,54-44,,
2:20.0,,,54-44,,N. Batum misses 3-pt shot from 26 ft
2:20.0,,,54-44,,Offensive rebound by Team
2:20.0,Loose ball foul by U. Haslem,,54-44,,
2:20.0,,,54-45,1,A. Jefferson makes free throw 1 of 2
2:20.0,,,54-45,,M. Williams enters the game for F. Kaminsky
2:20.0,,,54-46,1,A. Jefferson makes free throw 2 of 2
2:01.0,Shooting foul by M. Williams (drawn by J. Johnson),,54-46,,
2:01.0,J. Johnson makes free throw 1 of 2,1,55-46,,
2:01.0,,,55-46,,F. Kaminsky enters the game for M. Williams
2:01.0,J. Johnson makes free throw 2 of 2,1,56-46,,
1:45.0,,,56-46,,A. Jefferson misses 2-pt shot from 17 ft
1:44.0,Defensive rebound by J. Johnson,,56-46,,
1:33.0,L. Deng makes 3-pt shot from 24 ft (assist by J. Johnson),3,59-46,,
1:19.0,,,59-46,,K. Walker misses 2-pt shot from 7 ft
1:18.0,Defensive rebound by J. Winslow,,59-46,,
1:12.0,Offensive charge foul by J. Johnson,,59-46,,
1:12.0,Turnover by J. Johnson (offensive foul),,59-46,,
1:12.0,G. Green enters the game for J. Winslow,,59-46,,
1:12.0,D. Wade enters the game for G. Dragic,,59-46,,
1:01.0,,,59-46,,Shooting foul by J. Johnson (drawn by N. Batum)
1:01.0,,,59-47,1,N. Batum makes free throw 1 of 2
1:01.0,,,59-48,1,N. Batum makes free throw 2 of 2
0:43.0,D. Wade misses 2-pt shot from 13 ft,,59-48,,
0:42.0,,,59-48,,Defensive rebound by A. Jefferson
0:31.0,,,59-50,2,N. Batum makes 2-pt shot from 1 ft
0:24.0,Miami full timeout,,59-50,,
0:07.0,G. Green misses 2-pt shot from 19 ft,,59-50,,
0:06.0,,,59-50,,Defensive rebound by A. Jefferson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,59-52,2,A. Jefferson makes 2-pt shot from 5 ft
11:18.0,J. Johnson misses 2-pt shot from 10 ft,,59-52,,
11:15.0,,,59-52,,Defensive rebound by A. Jefferson
11:07.0,,,59-52,,Turnover by Team (back court)
10:53.0,D. Wade misses 2-pt shot from 16 ft,,59-52,,
10:52.0,,,59-52,,Defensive rebound by F. Kaminsky
10:39.0,,,59-52,,F. Kaminsky misses 2-pt shot from 6 ft
10:38.0,,,59-52,,Offensive rebound by A. Jefferson
10:38.0,,,59-52,,A. Jefferson misses 2-pt shot at rim (block by L. Deng)
10:36.0,Defensive rebound by L. Deng,,59-52,,
10:26.0,Turnover by J. Johnson (lost ball; steal by F. Kaminsky),,59-52,,
10:23.0,Personal foul by J. Johnson,,59-52,,
10:13.0,,,59-52,,Turnover by F. Kaminsky (traveling)
10:03.0,G. Dragic misses 2-pt shot from 1 ft (block by F. Kaminsky),,59-52,,
10:03.0,Offensive rebound by Team,,59-52,,
9:50.0,J. Johnson makes 3-pt shot from 28 ft (assist by L. Deng),3,62-52,,
9:35.0,,,62-52,,M. Williams misses 3-pt shot from 23 ft
9:34.0,Defensive rebound by G. Dragic,,62-52,,
9:16.0,L. Deng makes 2-pt shot from 21 ft (assist by G. Dragic),2,64-52,,
8:57.0,,,64-55,3,K. Walker makes 3-pt shot from 25 ft (assist by F. Kaminsky)
8:42.0,G. Dragic misses 3-pt shot from 26 ft,,64-55,,
8:40.0,,,64-55,,Defensive rebound by Team
8:29.0,,,64-57,2,A. Jefferson makes 2-pt shot at rim (assist by K. Walker)
8:07.0,D. Wade misses 2-pt shot from 15 ft,,64-57,,
8:06.0,,,64-57,,Defensive rebound by M. Williams
7:45.0,,,64-57,,A. Jefferson misses 2-pt shot from 4 ft
7:44.0,Defensive rebound by H. Whiteside,,64-57,,
7:33.0,D. Wade misses 2-pt shot from 2 ft,,64-57,,
7:33.0,,,64-57,,Defensive rebound by Team
7:33.0,Loose ball foul by H. Whiteside,,64-57,,
7:19.0,,,64-57,,K. Walker misses 3-pt shot from 28 ft
7:18.0,Defensive rebound by H. Whiteside,,64-57,,
6:57.0,G. Dragic misses 2-pt shot from 9 ft,,64-57,,
6:56.0,,,64-57,,Defensive rebound by A. Jefferson
6:49.0,,,64-57,,K. Walker misses 2-pt shot from 2 ft
6:47.0,Defensive rebound by G. Dragic,,64-57,,
6:44.0,Shooting foul by F. Kaminsky (drawn by G. Dragic),,64-57,,
6:44.0,,,64-57,,Charlotte full timeout
6:44.0,G. Dragic makes free throw 1 of 2,1,65-57,,
6:44.0,G. Dragic makes free throw 2 of 2,1,66-57,,
6:26.0,,,66-57,,K. Walker misses 2-pt shot from 17 ft
6:23.0,Defensive rebound by D. Wade,,66-57,,
6:09.0,L. Deng misses 2-pt shot from 18 ft,,66-57,,
6:08.0,,,66-57,,Defensive rebound by F. Kaminsky
5:55.0,,,66-59,2,A. Jefferson makes 2-pt shot from 6 ft (assist by F. Kaminsky)
5:34.0,G. Dragic misses 2-pt shot from 17 ft,,66-59,,
5:33.0,,,66-59,,Defensive rebound by A. Jefferson
5:09.0,,,66-61,2,K. Walker makes 2-pt shot from 1 ft
4:42.0,L. Deng makes 3-pt shot from 24 ft (assist by J. Johnson),3,69-61,,
4:33.0,,,69-61,,Shooting foul by G. Dragic (drawn by K. Walker)
4:33.0,,,69-62,1,K. Walker makes free throw 1 of 3
4:33.0,G. Green enters the game for J. Johnson,,69-62,,
4:33.0,,,69-63,1,K. Walker makes free throw 2 of 3
4:33.0,,,69-63,,J. Lin enters the game for C. Lee
4:33.0,,,69-64,1,K. Walker makes free throw 3 of 3
4:31.0,Miami full timeout,,69-64,,
4:16.0,Turnover by L. Deng (lost ball; steal by K. Walker),,69-64,,
4:10.0,,,69-64,,J. Lin misses 2-pt shot from 1 ft
4:09.0,Defensive rebound by G. Green,,69-64,,
4:04.0,G. Green misses 2-pt shot from 2 ft,,69-64,,
4:03.0,Offensive rebound by G. Green,,69-64,,
4:03.0,G. Green misses 2-pt shot from 2 ft,,69-64,,
4:03.0,,,69-64,,Defensive rebound by Team
3:58.0,,,69-64,,T. Daniels enters the game for M. Williams
3:43.0,,,69-66,2,A. Jefferson makes 2-pt shot from 1 ft
3:43.0,,,69-66,,Shooting foul by H. Whiteside (drawn by A. Jefferson)
3:43.0,U. Haslem enters the game for H. Whiteside,,69-66,,
3:43.0,,,69-66,,A. Jefferson misses free throw 1 of 1
3:41.0,Defensive rebound by L. Deng,,69-66,,
3:24.0,D. Wade misses 2-pt shot from 15 ft,,69-66,,
3:20.0,Offensive rebound by U. Haslem,,69-66,,
3:20.0,U. Haslem misses 2-pt shot from 1 ft,,69-66,,
3:18.0,Offensive rebound by Team,,69-66,,
3:04.0,G. Dragic makes 2-pt shot from 14 ft,2,71-66,,
2:43.0,,,71-68,2,A. Jefferson makes 2-pt shot from 10 ft
2:23.0,J. Johnson enters the game for L. Deng,,71-68,,
2:23.0,J. Winslow enters the game for G. Green,,71-68,,
2:23.0,,,71-68,,M. Williams enters the game for T. Daniels
2:22.0,,,71-68,,Personal block foul by K. Walker
2:09.0,G. Dragic misses 3-pt shot from 26 ft,,71-68,,
2:07.0,Offensive rebound by Team,,71-68,,
2:07.0,,,71-68,,Loose ball foul by J. Lin
1:53.0,G. Dragic makes 2-pt shot from 9 ft (assist by D. Wade),2,73-68,,
1:43.0,,,73-68,,Turnover by K. Walker (bad pass)
1:43.0,J. Richardson enters the game for D. Wade,,73-68,,
1:43.0,,,73-68,,C. Lee enters the game for K. Walker
1:23.0,J. Johnson misses 3-pt shot from 28 ft,,73-68,,
1:21.0,,,73-68,,Defensive rebound by F. Kaminsky
1:01.0,,,73-68,,F. Kaminsky misses 3-pt shot from 26 ft
1:00.0,Defensive rebound by U. Haslem,,73-68,,
0:50.0,Offensive foul by J. Johnson,,73-68,,
0:50.0,Turnover by J. Johnson (offensive foul),,73-68,,
0:50.0,,,73-68,,C. Zeller enters the game for A. Jefferson
0:36.0,,,73-68,,C. Lee misses 2-pt shot from 2 ft
0:35.0,Defensive rebound by J. Winslow,,73-68,,
0:21.0,G. Dragic makes 2-pt shot from 10 ft,2,75-68,,
0:04.0,,,75-68,,Shooting foul by U. Haslem (drawn by J. Lin)
0:04.0,,,75-69,1,J. Lin makes free throw 1 of 2
0:04.0,,,75-70,1,J. Lin makes free throw 2 of 2
0:00.0,G. Dragic misses 2-pt shot from 17 ft,,75-70,,
0:00.0,Offensive rebound by Team,,75-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,D. Wade misses 2-pt shot from 18 ft,,75-70,,
11:42.0,,,75-70,,Defensive rebound by J. Lin
11:22.0,,,75-70,,K. Walker misses 2-pt shot from 19 ft
11:21.0,Defensive rebound by U. Haslem,,75-70,,
11:03.0,Turnover by U. Haslem (lost ball; steal by C. Lee),,75-70,,
11:01.0,,,75-70,,Turnover by C. Zeller (lost ball; steal by J. Richardson)
10:56.0,D. Wade misses 2-pt shot from 13 ft,,75-70,,
10:55.0,,,75-70,,Defensive rebound by C. Zeller
10:44.0,,,75-72,2,J. Lin makes 2-pt shot from 11 ft
10:24.0,G. Dragic misses 2-pt shot from 13 ft,,75-72,,
10:22.0,Offensive rebound by G. Dragic,,75-72,,
10:22.0,G. Dragic misses 2-pt shot from 8 ft,,75-72,,
10:19.0,Offensive rebound by U. Haslem,,75-72,,
10:19.0,Shooting foul by M. Williams (drawn by U. Haslem),,75-72,,
10:19.0,U. Haslem makes free throw 1 of 2,1,76-72,,
10:19.0,U. Haslem makes free throw 2 of 2,1,77-72,,
10:06.0,,,77-72,,Offensive charge foul by J. Lin
10:06.0,,,77-72,,Turnover by J. Lin (offensive foul)
9:52.0,J. Winslow misses 3-pt shot from 24 ft,,77-72,,
9:51.0,,,77-72,,Defensive rebound by K. Walker
9:42.0,,,77-74,2,K. Walker makes 2-pt shot from 1 ft
9:22.0,D. Wade makes 2-pt shot from 18 ft,2,79-74,,
9:05.0,Personal foul by J. Richardson,,79-74,,
9:05.0,H. Whiteside enters the game for U. Haslem,,79-74,,
9:05.0,L. Deng enters the game for J. Winslow,,79-74,,
8:51.0,,,79-74,,K. Walker misses 2-pt shot from 2 ft
8:50.0,,,79-74,,Offensive rebound by C. Zeller
8:37.0,,,79-74,,M. Williams misses 2-pt shot from 5 ft
8:36.0,,,79-74,,Offensive rebound by C. Lee
8:36.0,,,79-76,2,C. Lee makes 2-pt shot at rim
8:20.0,H. Whiteside makes 2-pt shot from 8 ft (assist by D. Wade),2,81-76,,
8:02.0,,,81-76,,M. Williams misses 2-pt shot from 3 ft (block by D. Wade)
8:00.0,Defensive rebound by D. Wade,,81-76,,
7:48.0,Turnover by D. Wade (lost ball; steal by C. Lee),,81-76,,
7:45.0,,,81-76,,Offensive charge foul by J. Lin
7:45.0,,,81-76,,Turnover by J. Lin (offensive foul)
7:45.0,Official timeout,,81-76,,
7:45.0,,,81-76,,F. Kaminsky enters the game for K. Walker
7:45.0,J. Johnson enters the game for D. Wade,,81-76,,
7:25.0,J. Richardson misses 3-pt shot from 23 ft,,81-76,,
7:24.0,Offensive rebound by J. Richardson,,81-76,,
7:10.0,G. Dragic makes 2-pt shot from 1 ft,2,83-76,,
6:59.0,,,83-76,,Shooting foul by H. Whiteside (drawn by C. Zeller)
6:59.0,,,83-76,,C. Zeller misses free throw 1 of 2
6:59.0,,,83-76,,Offensive rebound by Team
6:59.0,U. Haslem enters the game for H. Whiteside,,83-76,,
6:59.0,,,83-76,,C. Zeller misses free throw 2 of 2
6:57.0,Defensive rebound by G. Dragic,,83-76,,
6:47.0,,,83-76,,Personal foul by J. Lin
6:47.0,,,83-76,,K. Walker enters the game for J. Lin
6:32.0,U. Haslem misses 2-pt shot from 2 ft (block by C. Zeller),,83-76,,
6:30.0,,,83-76,,Defensive rebound by F. Kaminsky
6:15.0,Personal foul by U. Haslem,,83-76,,
6:15.0,,,83-76,,A. Jefferson enters the game for C. Zeller
6:15.0,,,83-76,,Turnover by Team (5 sec inbounds)
6:06.0,G. Dragic makes 2-pt shot from 16 ft,2,85-76,,
6:04.0,,,85-76,,Charlotte full timeout
5:44.0,,,85-78,2,K. Walker makes 2-pt shot from 1 ft
5:29.0,G. Dragic misses 2-pt shot from 15 ft (block by C. Lee),,85-78,,
5:27.0,,,85-78,,Defensive rebound by C. Lee
5:14.0,,,85-78,,M. Williams misses 3-pt shot from 27 ft
5:13.0,Defensive rebound by U. Haslem,,85-78,,
4:46.0,J. Johnson misses 3-pt shot from 33 ft,,85-78,,
4:45.0,,,85-78,,Defensive rebound by A. Jefferson
4:21.0,,,85-81,3,K. Walker makes 3-pt shot from 25 ft
4:21.0,Miami full timeout,,85-81,,
4:21.0,H. Whiteside enters the game for G. Dragic,,85-81,,
4:21.0,D. Wade enters the game for U. Haslem,,85-81,,
4:01.0,J. Richardson misses 2-pt shot from 2 ft,,85-81,,
4:01.0,Offensive rebound by H. Whiteside,,85-81,,
4:01.0,H. Whiteside makes 2-pt shot from 1 ft,2,87-81,,
4:01.0,Shooting foul by K. Walker (drawn by H. Whiteside),,87-81,,
4:01.0,H. Whiteside misses free throw 1 of 1,,87-81,,
3:59.0,,,87-81,,Defensive rebound by M. Williams
3:38.0,,,87-81,,K. Walker misses 3-pt shot from 26 ft
3:36.0,,,87-81,,Offensive rebound by A. Jefferson
3:31.0,,,87-81,,Turnover by K. Walker (lost ball; steal by D. Wade)
3:29.0,,,87-81,,Personal foul by C. Lee
3:06.0,D. Wade makes 3-pt shot from 26 ft (assist by L. Deng),3,90-81,,
2:54.0,,,90-83,2,K. Walker makes 2-pt shot from 1 ft
2:54.0,,,90-83,,Shooting foul by H. Whiteside (drawn by K. Walker)
2:54.0,U. Haslem enters the game for H. Whiteside,,90-83,,
2:54.0,,,90-83,,K. Walker misses free throw 1 of 1
2:53.0,,,90-83,,Offensive rebound by Team
2:48.0,,,90-83,,K. Walker misses 2-pt shot from 2 ft (block by L. Deng)
2:47.0,,,90-83,,Offensive rebound by Team
2:36.0,,,90-86,3,K. Walker makes 3-pt shot from 26 ft
2:18.0,D. Wade misses 2-pt shot from 9 ft,,90-86,,
2:17.0,,,90-86,,Defensive rebound by K. Walker
2:12.0,,,90-86,,Offensive charge foul by A. Jefferson
2:12.0,,,90-86,,Turnover by A. Jefferson (offensive foul)
2:12.0,G. Dragic enters the game for J. Richardson,,90-86,,
1:48.0,G. Dragic misses 2-pt shot from 12 ft,,90-86,,
1:46.0,,,90-86,,Defensive rebound by C. Lee
1:40.0,,,90-88,2,K. Walker makes 2-pt shot from 2 ft
1:33.0,Miami full timeout,,90-88,,
1:17.0,L. Deng misses 3-pt shot from 25 ft,,90-88,,
1:16.0,Offensive rebound by G. Dragic,,90-88,,
1:16.0,Turnover by Team (shot clock),,90-88,,
1:16.0,,,90-88,,Charlotte full timeout
1:16.0,J. Richardson enters the game for G. Dragic,,90-88,,
1:04.0,,,90-88,,K. Walker misses 2-pt shot from 17 ft
1:01.0,Defensive rebound by U. Haslem,,90-88,,
0:46.0,D. Wade makes 3-pt shot from 26 ft,3,93-88,,
0:46.0,,,93-88,,Charlotte full timeout
0:39.0,,,93-90,2,A. Jefferson makes 2-pt shot from 1 ft (assist by K. Walker)
