time,Washington,pts.away,score,pts.home,Charlotte
1:42.0,R. Sessions misses 3-pt shot from 23 ft,,24-20,,
1:41.0,,,24-20,,Defensive rebound by N. Batum
1:36.0,,,24-22,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
1:21.0,B. Beal misses 2-pt shot from 2 ft,,24-22,,
1:20.0,,,24-22,,Defensive rebound by C. Zeller
1:16.0,,,24-24,2,N. Batum makes 2-pt shot from 2 ft
0:56.0,,,24-24,,Personal foul by J. Lamb (drawn by B. Beal)
0:56.0,,,24-24,,J. Lin enters the game for N. Batum
0:56.0,G. Neal enters the game for B. Beal,,24-24,,
0:45.0,Offensive foul by R. Sessions,,24-24,,
0:45.0,Turnover by R. Sessions (offensive foul),,24-24,,
0:45.0,G. Temple enters the game for O. Porter,,24-24,,
0:38.0,,,24-26,2,K. Walker makes 2-pt shot from 4 ft
0:29.0,R. Sessions misses 2-pt shot from 1 ft,,24-26,,
0:28.0,,,24-26,,Defensive rebound by C. Zeller
0:04.0,,,24-28,2,J. Lin makes 2-pt shot from 17 ft
0:00.0,G. Temple misses 2-pt shot from 18 ft (block by J. Lamb),,24-28,,
0:00.0,Offensive rebound by Team,,24-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,24-30,2,J. Lamb makes 2-pt shot from 7 ft
11:24.0,J. Dudley misses 2-pt shot from 11 ft,,24-30,,
11:22.0,,,24-30,,Defensive rebound by C. Zeller
11:13.0,,,24-30,,C. Zeller misses 3-pt shot from 25 ft
11:12.0,Defensive rebound by R. Sessions,,24-30,,
10:53.0,N. Hilario misses 2-pt shot from 18 ft,,24-30,,
10:52.0,,,24-30,,Defensive rebound by J. Lamb
10:46.0,,,24-30,,J. Lamb misses 3-pt shot from 27 ft
10:43.0,Defensive rebound by J. Dudley,,24-30,,
10:25.0,R. Sessions misses 3-pt shot from 25 ft,,24-30,,
10:23.0,,,24-30,,Defensive rebound by F. Kaminsky
10:17.0,,,24-30,,Turnover by J. Lamb (lost ball)
10:02.0,G. Neal makes 2-pt shot from 20 ft,2,26-30,,
9:46.0,,,26-32,2,J. Lin makes 2-pt shot from 1 ft
9:46.0,,,26-32,,Shooting foul by N. Hilario (drawn by J. Lin)
9:46.0,,,26-33,1,J. Lin makes free throw 1 of 1
9:31.0,Shooting foul by F. Kaminsky (drawn by J. Dudley),,26-33,,
9:31.0,J. Dudley makes free throw 1 of 2,1,27-33,,
9:31.0,J. Dudley makes free throw 2 of 2,1,28-33,,
9:12.0,,,28-33,,M. Williams misses 2-pt shot from 22 ft
9:11.0,Defensive rebound by R. Sessions,,28-33,,
8:55.0,N. Hilario makes 2-pt shot from 8 ft,2,30-33,,
8:45.0,,,30-33,,Turnover by J. Lin (lost ball; steal by R. Sessions)
8:39.0,R. Sessions misses 2-pt shot from 1 ft,,30-33,,
8:36.0,Offensive rebound by G. Temple,,30-33,,
8:36.0,G. Temple misses 2-pt shot from 1 ft,,30-33,,
8:27.0,,,30-33,,Defensive rebound by C. Zeller
8:27.0,,,30-35,2,J. Lamb makes 2-pt shot from 3 ft
8:20.0,Shooting foul by J. Lin (drawn by N. Hilario),,30-35,,
8:20.0,Official timeout,,30-35,,
8:20.0,B. Beal enters the game for G. Temple,,30-35,,
8:20.0,N. Hilario makes free throw 1 of 2,1,31-35,,
8:20.0,N. Hilario makes free throw 2 of 2,1,32-35,,
8:04.0,,,32-38,3,J. Lamb makes 3-pt shot from 26 ft
7:49.0,J. Dudley misses 2-pt shot from 19 ft,,32-38,,
7:48.0,,,32-38,,Defensive rebound by J. Lamb
7:35.0,,,32-40,2,C. Zeller makes 2-pt shot from 3 ft (assist by J. Lamb)
7:21.0,B. Beal misses 3-pt shot from 25 ft,,32-40,,
7:20.0,,,32-40,,Defensive rebound by M. Williams
7:12.0,,,32-40,,J. Lamb misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by G. Neal,,32-40,,
7:07.0,,,32-40,,Personal foul by J. Lin (drawn by G. Neal)
7:07.0,M. Gortat enters the game for N. Hilario,,32-40,,
7:07.0,J. Wall enters the game for R. Sessions,,32-40,,
7:07.0,,,32-40,,A. Jefferson enters the game for C. Zeller
7:07.0,,,32-40,,K. Walker enters the game for J. Lin
6:57.0,G. Neal makes 2-pt shot from 22 ft (assist by J. Wall),2,34-40,,
6:37.0,,,34-40,,F. Kaminsky misses 2-pt shot from 5 ft
6:36.0,Defensive rebound by M. Gortat,,34-40,,
6:15.0,G. Neal makes 3-pt shot from 27 ft (assist by J. Dudley),3,37-40,,
5:56.0,Personal foul by J. Wall (drawn by M. Williams),,37-40,,
5:56.0,,,37-40,,Charlotte full timeout
5:56.0,,,37-40,,N. Batum enters the game for F. Kaminsky
5:47.0,,,37-42,2,J. Lamb makes 2-pt shot from 19 ft (assist by N. Batum)
5:25.0,Jump ball: B. Beal vs. J. Lamb (A. Jefferson gains possession),,,,Jump ball: B. Beal vs. J. Lamb (A. Jefferson gains possession)
5:25.0,Turnover by B. Beal (lost ball; steal by J. Lamb),,37-42,,
5:14.0,,,37-44,2,A. Jefferson makes 2-pt shot from 12 ft (assist by K. Walker)
5:00.0,G. Neal makes 3-pt shot from 25 ft,3,40-44,,
4:45.0,,,40-44,,A. Jefferson misses 2-pt shot from 17 ft
4:44.0,Defensive rebound by J. Dudley,,40-44,,
4:22.0,Shooting foul by A. Jefferson (drawn by M. Gortat),,40-44,,
4:22.0,M. Gortat makes free throw 1 of 2,1,41-44,,
4:22.0,O. Porter enters the game for J. Dudley,,41-44,,
4:22.0,M. Gortat makes free throw 2 of 2,1,42-44,,
3:57.0,,,42-44,,A. Jefferson misses 2-pt shot from 4 ft
3:56.0,,,42-44,,Offensive rebound by M. Williams
3:56.0,,,42-46,2,M. Williams makes 2-pt shot from 3 ft
3:45.0,M. Gortat makes 2-pt shot at rim (assist by B. Beal),2,44-46,,
3:31.0,Jump ball: B. Beal vs. A. Jefferson (J. Lamb gains possession),,,,Jump ball: B. Beal vs. A. Jefferson (J. Lamb gains possession)
3:19.0,,,44-46,,J. Lamb misses 3-pt shot from 29 ft
3:18.0,,,44-46,,Offensive rebound by Team
3:18.0,Loose ball foul by G. Neal (drawn by M. Williams),,44-46,,
3:15.0,,,44-46,,Shooting foul by G. Neal (drawn by N. Batum)
3:15.0,,,44-47,1,N. Batum makes free throw 1 of 3
3:15.0,,,44-48,1,N. Batum makes free throw 2 of 3
3:15.0,,,44-49,1,N. Batum makes free throw 3 of 3
3:03.0,Offensive foul by M. Gortat,,44-49,,
3:03.0,Turnover by M. Gortat (offensive foul),,44-49,,
2:46.0,,,44-49,,Turnover by N. Batum (bad pass; steal by M. Gortat)
2:35.0,M. Gortat makes 2-pt shot from 7 ft (assist by G. Neal),2,46-49,,
2:19.0,,,46-51,2,K. Walker makes 2-pt shot from 18 ft
2:12.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,48-51,,
2:04.0,,,48-51,,Charlotte full timeout
2:04.0,Washington full timeout,,48-51,,
2:04.0,K. Humphries enters the game for G. Neal,,48-51,,
1:54.0,,,48-51,,N. Batum misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by M. Gortat,,48-51,,
1:35.0,O. Porter misses 3-pt shot from 26 ft,,48-51,,
1:34.0,,,48-51,,Defensive rebound by M. Williams
1:22.0,,,48-51,,A. Jefferson misses 2-pt shot from 8 ft
1:21.0,Defensive rebound by K. Humphries,,48-51,,
1:15.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,50-51,,
1:01.0,,,50-53,2,K. Walker makes 2-pt shot from 9 ft
0:55.0,Shooting foul by A. Jefferson (drawn by M. Gortat),,50-53,,
0:55.0,M. Gortat makes free throw 1 of 2,1,51-53,,
0:55.0,,,51-53,,C. Zeller enters the game for A. Jefferson
0:55.0,M. Gortat makes free throw 2 of 2,1,52-53,,
0:44.0,,,52-55,2,C. Zeller makes 2-pt shot from 7 ft (assist by K. Walker)
0:34.0,B. Beal makes 2-pt shot from 20 ft,2,54-55,,
0:27.0,,,54-57,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
0:27.0,,,54-57,,Shooting foul by M. Gortat (drawn by C. Zeller)
0:27.0,Washington full timeout,,54-57,,
0:27.0,J. Dudley enters the game for K. Humphries,,54-57,,
0:27.0,,,54-58,1,C. Zeller makes free throw 1 of 1
0:06.0,O. Porter misses 3-pt shot from 28 ft,,54-58,,
0:05.0,,,54-58,,Defensive rebound by K. Walker
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,54-58,,M. Williams misses 3-pt shot from 24 ft
11:47.0,Defensive rebound by B. Beal,,54-58,,
11:30.0,K. Humphries misses 3-pt shot from 27 ft,,54-58,,
11:29.0,,,54-58,,Defensive rebound by A. Jefferson
11:17.0,,,54-58,,K. Walker misses 2-pt shot from 12 ft
11:14.0,Defensive rebound by M. Gortat,,54-58,,
11:09.0,M. Gortat misses 2-pt shot from 4 ft,,54-58,,
11:08.0,,,54-58,,Defensive rebound by A. Jefferson
10:54.0,,,54-60,2,M. Williams makes 2-pt shot from 2 ft (assist by N. Batum)
10:37.0,O. Porter misses 2-pt shot from 21 ft,,54-60,,
10:36.0,,,54-60,,Defensive rebound by A. Jefferson
10:26.0,,,54-60,,P. Hairston misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by M. Gortat,,54-60,,
10:10.0,M. Gortat makes 2-pt shot from 14 ft (assist by O. Porter),2,56-60,,
9:50.0,,,56-62,2,N. Batum makes 2-pt shot from 18 ft
9:47.0,Offensive foul by O. Porter,,56-62,,
9:47.0,Turnover by O. Porter (offensive foul),,56-62,,
9:30.0,,,56-62,,A. Jefferson misses 2-pt shot from 16 ft
9:29.0,,,56-62,,Offensive rebound by M. Williams
9:26.0,,,56-62,,K. Walker misses 3-pt shot from 27 ft
9:25.0,Defensive rebound by B. Beal,,56-62,,
9:13.0,B. Beal makes 2-pt shot from 19 ft,2,58-62,,
9:02.0,,,58-62,,Offensive foul by N. Batum
9:02.0,,,58-62,,Turnover by N. Batum (offensive foul)
8:47.0,B. Beal misses 2-pt shot from 18 ft,,58-62,,
8:46.0,,,58-62,,Defensive rebound by A. Jefferson
8:34.0,,,58-62,,N. Batum misses 2-pt shot from 13 ft
8:33.0,Defensive rebound by K. Humphries,,58-62,,
8:22.0,J. Wall makes 3-pt shot from 25 ft (assist by K. Humphries),3,61-62,,
8:05.0,,,61-62,,P. Hairston misses 3-pt shot from 25 ft
8:02.0,,,61-62,,Offensive rebound by N. Batum
7:56.0,,,61-62,,N. Batum misses 2-pt shot at rim (block by M. Gortat)
7:55.0,Defensive rebound by M. Gortat,,61-62,,
7:51.0,J. Wall misses 2-pt shot from 16 ft,,61-62,,
7:48.0,,,61-62,,Defensive rebound by P. Hairston
7:45.0,,,61-62,,Shooting foul by K. Humphries (drawn by P. Hairston)
7:45.0,,,61-63,1,P. Hairston makes free throw 1 of 2
7:45.0,,,61-64,1,P. Hairston makes free throw 2 of 2
7:27.0,K. Humphries misses 3-pt shot from 26 ft,,61-64,,
7:25.0,,,61-64,,Defensive rebound by P. Hairston
7:15.0,,,61-64,,Offensive foul by P. Hairston
7:15.0,,,61-64,,Turnover by P. Hairston (offensive foul)
7:10.0,Shooting foul by P. Hairston (drawn by B. Beal),,61-64,,
7:10.0,B. Beal makes free throw 1 of 2,1,62-64,,
7:10.0,B. Beal makes free throw 2 of 2,1,63-64,,
6:55.0,,,63-64,,N. Batum misses 3-pt shot from 25 ft
6:53.0,,,63-64,,Offensive rebound by A. Jefferson
6:44.0,,,63-64,,Shooting foul by J. Wall (drawn by A. Jefferson)
6:44.0,,,63-65,1,A. Jefferson makes free throw 1 of 2
6:44.0,,,63-66,1,A. Jefferson makes free throw 2 of 2
6:40.0,,,63-66,,Violation by K. Walker (kicked ball)
6:19.0,K. Humphries makes 3-pt shot from 22 ft (assist by J. Wall),3,66-66,,
6:06.0,,,66-66,,N. Batum misses 2-pt shot from 19 ft
6:05.0,,,66-66,,Offensive rebound by A. Jefferson
6:01.0,,,66-68,2,K. Walker makes 2-pt shot from 18 ft
5:43.0,J. Wall misses 3-pt shot from 26 ft,,66-68,,
5:41.0,Offensive rebound by M. Gortat,,66-68,,
5:37.0,J. Wall misses 2-pt shot from 2 ft (block by K. Walker),,66-68,,
5:34.0,Offensive rebound by M. Gortat,,66-68,,
5:34.0,Turnover by O. Porter (traveling),,66-68,,
5:34.0,,,66-68,,Charlotte full timeout
5:34.0,,,66-68,,C. Zeller enters the game for M. Williams
5:16.0,,,66-70,2,C. Zeller makes 2-pt shot from 4 ft (assist by N. Batum)
5:00.0,B. Beal misses 2-pt shot from 15 ft,,66-70,,
4:58.0,Offensive rebound by K. Humphries,,66-70,,
4:58.0,K. Humphries makes 2-pt shot at rim,2,68-70,,
4:56.0,,,68-70,,Charlotte full timeout
4:56.0,G. Neal enters the game for O. Porter,,68-70,,
4:56.0,,,68-70,,J. Lamb enters the game for P. Hairston
4:39.0,,,68-72,2,A. Jefferson makes 2-pt shot from 20 ft (assist by N. Batum)
4:23.0,Turnover by J. Wall (bad pass; steal by N. Batum),,68-72,,
4:17.0,,,68-74,2,K. Walker makes 2-pt shot from 1 ft (assist by N. Batum)
4:06.0,K. Humphries misses 3-pt shot from 26 ft,,68-74,,
4:04.0,,,68-74,,Defensive rebound by N. Batum
3:55.0,,,68-74,,Turnover by J. Lamb (bad pass; steal by J. Wall)
3:49.0,J. Dudley enters the game for K. Humphries,,68-74,,
3:49.0,,,68-74,,F. Kaminsky enters the game for A. Jefferson
3:42.0,M. Gortat makes 2-pt shot at rim (assist by B. Beal),2,70-74,,
3:33.0,Personal block foul by J. Dudley (drawn by K. Walker),,70-74,,
3:33.0,N. Hilario enters the game for M. Gortat,,70-74,,
3:23.0,,,70-74,,C. Zeller misses 3-pt shot from 26 ft
3:22.0,,,70-74,,Offensive rebound by Team
3:15.0,,,70-74,,J. Lamb misses 2-pt shot from 13 ft
3:14.0,Defensive rebound by B. Beal,,70-74,,
3:09.0,J. Wall makes 2-pt shot from 3 ft,2,72-74,,
3:08.0,,,72-74,,Violation by C. Zeller (def goaltending)
2:57.0,,,72-74,,Turnover by F. Kaminsky (lost ball; steal by J. Wall)
2:50.0,B. Beal misses 3-pt shot from 25 ft,,72-74,,
2:49.0,,,72-74,,Defensive rebound by J. Lamb
2:38.0,,,72-74,,Turnover by K. Walker (bad pass; steal by J. Wall)
2:35.0,J. Wall makes 2-pt shot at rim,2,74-74,,
2:35.0,,,74-74,,Charlotte full timeout
2:35.0,,,74-74,,J. Lin enters the game for N. Batum
2:26.0,,,74-74,,K. Walker misses 2-pt shot from 3 ft
2:25.0,Defensive rebound by N. Hilario,,74-74,,
2:17.0,J. Dudley makes 3-pt shot from 26 ft (assist by J. Wall),3,77-74,,
1:52.0,,,77-74,,Turnover by C. Zeller (traveling)
1:34.0,J. Dudley misses 2-pt shot from 17 ft,,77-74,,
1:33.0,,,77-74,,Defensive rebound by C. Zeller
1:20.0,,,77-74,,J. Lamb misses 2-pt shot from 8 ft
1:18.0,Defensive rebound by G. Neal,,77-74,,
1:14.0,G. Neal makes 2-pt shot from 16 ft,2,79-74,,
0:56.0,G. Temple enters the game for B. Beal,,79-74,,
0:55.0,,,79-74,,Turnover by C. Zeller (bad pass; steal by N. Hilario)
0:51.0,G. Neal makes 2-pt shot from 15 ft,2,81-74,,
0:37.0,,,81-74,,J. Lamb misses 2-pt shot from 16 ft
0:37.0,,,81-74,,Offensive rebound by Team
0:37.0,Loose ball foul by J. Dudley (drawn by C. Zeller),,81-74,,
0:27.0,,,81-74,,Turnover by J. Lin (lost ball; steal by G. Temple)
0:09.0,,,81-74,,Personal foul by J. Lin (drawn by J. Wall)
0:01.0,G. Temple misses 2-pt shot from 19 ft,,81-74,,
0:00.0,Offensive rebound by Team,,81-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,R. Sessions misses 2-pt shot from 2 ft,,81-74,,
11:39.0,,,81-74,,Defensive rebound by C. Zeller
11:23.0,,,81-74,,F. Kaminsky misses 2-pt shot from 5 ft
11:21.0,Defensive rebound by J. Dudley,,81-74,,
11:21.0,,,81-74,,Personal foul by C. Zeller (drawn by J. Dudley)
11:08.0,N. Hilario misses 2-pt shot from 7 ft (block by J. Lin),,81-74,,
11:06.0,,,81-74,,Defensive rebound by K. Walker
11:00.0,,,81-74,,J. Lin misses 3-pt shot from 26 ft
10:59.0,,,81-74,,Offensive rebound by F. Kaminsky
10:56.0,,,81-76,2,F. Kaminsky makes 2-pt shot from 2 ft
10:41.0,Turnover by N. Hilario (bad pass),,81-76,,
10:25.0,,,81-76,,K. Walker misses 3-pt shot from 26 ft
10:23.0,Defensive rebound by N. Hilario,,81-76,,
10:13.0,G. Neal makes 2-pt shot from 20 ft,2,83-76,,
9:56.0,,,83-76,,Turnover by K. Walker (lost ball; steal by J. Dudley)
9:53.0,Shooting foul by K. Walker (drawn by J. Dudley),,83-76,,
9:53.0,J. Dudley makes free throw 1 of 2,1,84-76,,
9:53.0,J. Dudley makes free throw 2 of 2,1,85-76,,
9:45.0,Personal foul by R. Sessions (drawn by K. Walker),,85-76,,
9:38.0,Personal foul by N. Hilario (drawn by K. Walker),,85-76,,
9:25.0,,,85-76,,Turnover by K. Walker (bad pass; steal by G. Temple)
9:16.0,G. Neal misses 2-pt shot from 20 ft,,85-76,,
9:15.0,,,85-76,,Defensive rebound by J. Lamb
9:09.0,,,85-76,,Offensive foul by J. Lamb
9:09.0,,,85-76,,Turnover by J. Lamb (offensive foul)
8:44.0,N. Hilario misses 2-pt shot from 18 ft,,85-76,,
8:42.0,,,85-76,,Defensive rebound by J. Lamb
8:30.0,,,85-76,,Shooting foul by N. Hilario (drawn by J. Lamb)
8:30.0,Official timeout,,85-76,,
8:30.0,,,85-77,1,J. Lamb makes free throw 1 of 2
8:30.0,,,85-78,1,J. Lamb makes free throw 2 of 2
8:10.0,G. Neal misses 2-pt shot from 6 ft (block by J. Lin),,85-78,,
8:10.0,Jump ball: J. Lin vs. G. Neal (K. Walker gains possession),,,,Jump ball: J. Lin vs. G. Neal (K. Walker gains possession)
8:10.0,,,85-78,,Defensive rebound by Team
8:04.0,,,85-80,2,K. Walker makes 2-pt shot from 1 ft
7:42.0,N. Hilario misses 2-pt shot from 3 ft,,85-80,,
7:41.0,,,85-80,,Defensive rebound by C. Zeller
7:26.0,,,85-80,,Turnover by K. Walker (bad pass; steal by G. Neal)
7:18.0,,,85-80,,Personal foul by C. Zeller (drawn by N. Hilario)
7:18.0,N. Hilario misses free throw 1 of 2,,85-80,,
7:18.0,Offensive rebound by Team,,85-80,,
7:18.0,B. Beal enters the game for G. Temple,,85-80,,
7:18.0,J. Wall enters the game for R. Sessions,,85-80,,
7:18.0,,,85-80,,A. Jefferson enters the game for C. Zeller
7:18.0,,,85-80,,N. Batum enters the game for K. Walker
7:18.0,,,85-80,,M. Williams enters the game for F. Kaminsky
7:18.0,N. Hilario misses free throw 2 of 2,,85-80,,
7:15.0,,,85-80,,Defensive rebound by N. Batum
7:08.0,Personal foul by N. Hilario (drawn by J. Lin),,85-80,,
7:05.0,,,85-80,,Turnover by J. Lin (offensive foul)
7:05.0,,,85-80,,Offensive foul by J. Lin
6:50.0,J. Wall misses 2-pt shot from 18 ft,,85-80,,
6:48.0,,,85-80,,Defensive rebound by A. Jefferson
6:39.0,,,85-83,3,N. Batum makes 3-pt shot from 24 ft (assist by J. Lamb)
6:22.0,N. Hilario misses 2-pt shot from 4 ft (block by M. Williams),,85-83,,
6:22.0,Offensive rebound by Team,,85-83,,
6:19.0,B. Beal misses 2-pt shot from 20 ft,,85-83,,
6:18.0,,,85-83,,Defensive rebound by A. Jefferson
6:11.0,M. Gortat enters the game for N. Hilario,,85-83,,
5:56.0,,,85-83,,N. Batum misses 3-pt shot from 27 ft
5:56.0,,,85-83,,Offensive rebound by M. Williams
5:56.0,,,85-83,,Shooting foul by G. Neal (drawn by M. Williams)
5:56.0,,,85-83,,Charlotte full timeout
5:56.0,,,85-84,1,M. Williams makes free throw 1 of 2
5:56.0,,,85-85,1,M. Williams makes free throw 2 of 2
5:40.0,J. Dudley misses 3-pt shot from 26 ft,,85-85,,
5:37.0,Offensive rebound by J. Wall,,85-85,,
5:28.0,G. Neal misses 2-pt shot from 18 ft,,85-85,,
5:27.0,,,85-85,,Defensive rebound by M. Williams
5:14.0,,,85-85,,J. Lin misses 2-pt shot from 20 ft
5:13.0,Defensive rebound by Team,,85-85,,
5:08.0,Turnover by M. Gortat (offensive foul),,85-85,,
5:08.0,Offensive foul by M. Gortat,,85-85,,
5:08.0,,,85-85,,K. Walker enters the game for J. Lin
4:59.0,,,85-88,3,N. Batum makes 3-pt shot from 27 ft (assist by K. Walker)
4:40.0,J. Wall misses 3-pt shot from 26 ft,,85-88,,
4:37.0,,,85-88,,Defensive rebound by N. Batum
4:19.0,,,85-90,2,J. Lamb makes 2-pt shot from 18 ft
4:19.0,Washington full timeout,,85-90,,
4:19.0,O. Porter enters the game for J. Dudley,,85-90,,
4:08.0,G. Neal misses 2-pt shot from 16 ft,,85-90,,
4:07.0,,,85-90,,Defensive rebound by M. Williams
3:48.0,,,85-92,2,A. Jefferson makes 2-pt shot from 2 ft (assist by J. Lamb)
3:28.0,J. Wall misses 3-pt shot from 25 ft,,85-92,,
3:26.0,,,85-92,,Defensive rebound by J. Lamb
3:09.0,,,85-94,2,K. Walker makes 2-pt shot from 2 ft (assist by N. Batum)
3:09.0,Washington full timeout,,85-94,,
3:00.0,Turnover by B. Beal (bad pass),,85-94,,
2:48.0,,,85-94,,N. Batum misses 3-pt shot from 25 ft
2:46.0,,,85-94,,Offensive rebound by A. Jefferson
2:43.0,,,85-94,,A. Jefferson misses 2-pt shot from 15 ft
2:42.0,Defensive rebound by Team,,85-94,,
2:35.0,G. Neal misses 2-pt shot from 20 ft,,85-94,,
2:34.0,,,85-94,,Defensive rebound by M. Williams
