time,Cleveland,pts.away,score,pts.home,Philadelphia
2:25.0,Defensive rebound by J. Cunningham,,39-52,,
2:10.0,,,39-52,,Def 3 sec tech foul by R. Holmes
2:10.0,Cleveland full timeout,,39-52,,
2:10.0,M. Dellavedova enters the game for M. Williams,,39-52,,
2:10.0,L. James makes technical free throw,1,40-52,,
1:58.0,J. Jones makes 3-pt shot from 26 ft (assist by L. James),3,43-52,,
1:33.0,,,43-52,,I. Canaan misses 3-pt shot from 28 ft
1:32.0,Defensive rebound by M. Dellavedova,,43-52,,
1:26.0,T. Thompson makes 2-pt shot from 2 ft (assist by L. James),2,45-52,,
1:13.0,,,45-52,,Offensive foul by N. Noel
1:13.0,,,45-52,,Turnover by N. Noel (offensive foul)
1:13.0,,,45-52,,J. Grant enters the game for R. Holmes
0:57.0,L. James misses 3-pt shot from 25 ft,,45-52,,
0:55.0,,,45-52,,Defensive rebound by J. Sampson
0:49.0,,,45-52,,J. Grant misses 2-pt shot from 2 ft
0:47.0,Defensive rebound by T. Thompson,,45-52,,
0:44.0,J. Cunningham makes 2-pt shot from 1 ft (assist by L. James),2,47-52,,
0:30.0,,,47-54,2,J. Sampson makes 2-pt shot from 2 ft (assist by N. Noel)
0:12.0,L. James makes 2-pt shot at rim,2,49-54,,
0:04.0,,,49-54,,N. Stauskas misses 3-pt shot from 25 ft
0:03.0,,,49-54,,Offensive rebound by N. Noel
0:02.0,,,49-54,,N. Noel misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by T. Thompson,,49-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,M. Dellavedova makes 3-pt shot from 23 ft (assist by L. James),3,52-54,,
11:27.0,,,52-54,,J. Okafor misses 2-pt shot from 3 ft
11:25.0,Defensive rebound by K. Love,,52-54,,
11:12.0,,,52-54,,Personal foul by J. Okafor (drawn by T. Mozgov)
11:06.0,K. Love misses 2-pt shot at rim (block by N. Noel),,52-54,,
11:06.0,Offensive rebound by Team,,52-54,,
11:03.0,T. Mozgov misses 2-pt shot from 19 ft,,52-54,,
11:02.0,,,52-54,,Defensive rebound by I. Canaan
10:46.0,,,52-54,,R. Covington misses 2-pt shot from 5 ft
10:44.0,Defensive rebound by L. James,,52-54,,
10:41.0,Turnover by M. Williams (lost ball),,52-54,,
10:21.0,,,52-54,,Turnover by R. Covington (lost ball; steal by M. Williams)
10:17.0,M. Williams makes 2-pt shot from 1 ft,2,54-54,,
10:17.0,,,54-54,,Philadelphia full timeout
10:03.0,,,54-54,,J. Okafor misses 2-pt shot from 4 ft
10:01.0,Defensive rebound by M. Williams,,54-54,,
9:57.0,Shooting foul by R. Covington (drawn by M. Williams),,54-54,,
9:57.0,M. Williams makes free throw 1 of 2,1,55-54,,
9:57.0,M. Williams makes free throw 2 of 2,1,56-54,,
9:40.0,,,56-54,,I. Canaan misses 2-pt shot from 18 ft
9:38.0,,,56-54,,Offensive rebound by N. Noel
9:37.0,,,56-54,,N. Noel misses 2-pt shot from 2 ft
9:36.0,Defensive rebound by L. James,,56-54,,
9:32.0,T. Mozgov makes 2-pt shot from 1 ft (assist by L. James),2,58-54,,
9:00.0,,,58-54,,J. Okafor misses 2-pt shot from 2 ft (block by T. Mozgov)
9:00.0,Defensive rebound by Team,,58-54,,
8:56.0,T. Mozgov misses 2-pt shot from 1 ft,,58-54,,
8:54.0,,,58-54,,Defensive rebound by R. Covington
8:51.0,Personal foul by M. Williams (drawn by I. Canaan),,58-54,,
8:45.0,,,58-56,2,J. Okafor makes 2-pt shot from 1 ft
8:45.0,,,58-56,,Shooting foul by T. Mozgov (drawn by J. Okafor)
8:45.0,T. Thompson enters the game for T. Mozgov,,58-56,,
8:45.0,,,58-56,,J. Okafor misses free throw 1 of 1
8:43.0,Defensive rebound by L. James,,58-56,,
8:22.0,L. James makes 2-pt shot from 15 ft,2,60-56,,
8:15.0,,,60-56,,R. Covington misses 3-pt shot from 27 ft
8:14.0,,,60-56,,Offensive rebound by J. Okafor
8:13.0,Personal foul by L. James (drawn by J. Okafor),,60-56,,
8:13.0,,,60-56,,J. Grant enters the game for J. Okafor
7:59.0,,,60-56,,I. Canaan misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by T. Thompson,,60-56,,
7:48.0,K. Love makes 2-pt shot from 5 ft (assist by M. Dellavedova),2,62-56,,
7:33.0,,,62-56,,R. Covington misses 2-pt shot from 5 ft
7:31.0,Defensive rebound by T. Thompson,,62-56,,
7:24.0,K. Love makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,64-56,,
7:05.0,,,64-56,,N. Stauskas misses 3-pt shot from 27 ft
7:04.0,Defensive rebound by T. Thompson,,64-56,,
6:44.0,Offensive charge foul by K. Love,,64-56,,
6:44.0,Turnover by K. Love (offensive foul),,64-56,,
6:44.0,,,64-56,,T. McConnell enters the game for I. Canaan
6:44.0,,,64-56,,H. Thompson enters the game for N. Stauskas
6:44.0,R. Jefferson enters the game for L. James,,64-56,,
6:44.0,J. Cunningham enters the game for M. Dellavedova,,64-56,,
6:30.0,,,64-58,2,J. Grant makes 2-pt shot from 2 ft
6:30.0,Cleveland full timeout,,64-58,,
6:30.0,,,64-58,,I. Canaan enters the game for R. Covington
6:18.0,K. Love makes 2-pt shot at rim (assist by M. Williams),2,66-58,,
5:57.0,,,66-60,2,I. Canaan makes 2-pt shot from 2 ft (assist by T. McConnell)
5:39.0,M. Williams makes 2-pt shot from 18 ft (assist by K. Love),2,68-60,,
5:24.0,,,68-60,,N. Noel misses 2-pt shot from 16 ft
5:23.0,Defensive rebound by K. Love,,68-60,,
5:13.0,T. Thompson misses 2-pt shot from 4 ft (block by N. Noel),,68-60,,
5:09.0,,,68-60,,Defensive rebound by T. McConnell
4:49.0,,,68-60,,I. Canaan misses 2-pt shot from 3 ft (block by T. Thompson)
4:47.0,Defensive rebound by K. Love,,68-60,,
4:39.0,T. Thompson makes 2-pt shot at rim (assist by M. Williams),2,70-60,,
4:14.0,,,70-62,2,N. Noel makes 2-pt shot from 3 ft
3:55.0,Turnover by M. Williams (bad pass),,70-62,,
