time,Minnesota,pts.away,score,pts.home,Charlotte
7:41.0,,,10-7,,N. Batum misses 2-pt shot from 1 ft (block by A. Wiggins)
7:39.0,Defensive rebound by K. Towns,,10-7,,
7:31.0,Turnover by A. Wiggins (bad pass; steal by N. Batum),,10-7,,
7:15.0,,,10-7,,C. Lee misses 2-pt shot at rim (block by G. Dieng)
7:13.0,Defensive rebound by Z. LaVine,,10-7,,
7:04.0,R. Rubio misses 3-pt shot from 23 ft,,10-7,,
7:03.0,,,10-7,,Defensive rebound by M. Williams
6:59.0,,,10-9,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
6:39.0,K. Towns makes 2-pt shot from 6 ft,2,12-9,,
6:18.0,,,12-9,,M. Williams misses 2-pt shot from 22 ft
6:17.0,,,12-9,,Offensive rebound by Team
6:14.0,,,12-9,,K. Walker misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by G. Dieng,,12-9,,
6:06.0,Shooting foul by C. Lee (drawn by Z. LaVine),,12-9,,
6:06.0,Z. LaVine makes free throw 1 of 2,1,13-9,,
6:06.0,,,13-9,,A. Jefferson enters the game for C. Zeller
6:06.0,Z. LaVine makes free throw 2 of 2,1,14-9,,
5:55.0,,,14-12,3,N. Batum makes 3-pt shot from 23 ft (assist by K. Walker)
5:39.0,A. Wiggins misses 2-pt shot from 10 ft,,14-12,,
5:37.0,,,14-12,,Defensive rebound by K. Walker
5:26.0,,,14-12,,N. Batum misses 2-pt shot from 14 ft
5:25.0,Defensive rebound by G. Dieng,,14-12,,
5:20.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,16-12,,
5:06.0,,,16-12,,A. Jefferson misses 2-pt shot from 9 ft
5:05.0,Defensive rebound by R. Rubio,,16-12,,
4:46.0,K. Towns misses 2-pt shot from 13 ft,,16-12,,
4:45.0,,,16-12,,Defensive rebound by C. Lee
4:34.0,,,16-14,2,C. Lee makes 2-pt shot from 16 ft
4:14.0,R. Rubio misses 2-pt shot from 17 ft,,16-14,,
4:12.0,,,16-14,,Defensive rebound by K. Walker
4:02.0,,,16-16,2,K. Walker makes 2-pt shot from 15 ft
3:33.0,,,16-16,,J. Lin enters the game for C. Lee
3:30.0,G. Dieng misses 2-pt shot from 17 ft,,16-16,,
3:29.0,,,16-16,,Defensive rebound by J. Lin
3:12.0,,,16-19,3,M. Williams makes 3-pt shot from 24 ft (assist by J. Lin)
2:54.0,,,16-19,,Charlotte full timeout
2:54.0,S. Muhammad enters the game for G. Dieng,,16-19,,
2:54.0,T. Jones enters the game for Z. LaVine,,16-19,,
2:54.0,T. Prince enters the game for R. Rubio,,16-19,,
2:54.0,,,16-19,,J. Lamb enters the game for K. Walker
2:44.0,A. Wiggins misses 2-pt shot from 16 ft,,16-19,,
2:43.0,,,16-19,,Defensive rebound by J. Lamb
2:24.0,,,16-19,,J. Lin misses 2-pt shot from 19 ft
2:23.0,,,16-19,,Offensive rebound by M. Williams
2:23.0,,,16-21,2,M. Williams makes 2-pt shot at rim
2:06.0,Turnover by S. Muhammad (bad pass; steal by N. Batum),,16-21,,
2:01.0,,,16-23,2,N. Batum makes 2-pt shot at rim
1:50.0,K. Towns misses 2-pt shot from 21 ft,,16-23,,
1:48.0,Offensive rebound by T. Prince,,16-23,,
1:44.0,S. Muhammad misses 2-pt shot from 2 ft (block by M. Williams),,16-23,,
1:42.0,,,16-23,,Defensive rebound by J. Lamb
1:37.0,,,16-23,,F. Kaminsky enters the game for M. Williams
1:30.0,,,16-23,,F. Kaminsky misses 2-pt shot from 4 ft (block by K. Towns)
1:27.0,Defensive rebound by T. Prince,,16-23,,
1:19.0,S. Muhammad misses 2-pt shot from 1 ft,,16-23,,
1:17.0,,,16-23,,Defensive rebound by A. Jefferson
1:08.0,,,16-23,,Turnover by N. Batum (bad pass; steal by A. Wiggins)
1:03.0,A. Wiggins makes 2-pt shot at rim (assist by S. Muhammad),2,18-23,,
0:47.0,,,18-23,,A. Jefferson misses 2-pt shot from 16 ft
0:46.0,Defensive rebound by K. Towns,,18-23,,
0:29.0,S. Muhammad misses 3-pt shot from 23 ft,,18-23,,
0:28.0,,,18-23,,Defensive rebound by J. Lin
0:10.0,,,18-23,,Turnover by J. Lin (bad pass)
0:03.0,T. Jones misses 2-pt shot from 16 ft,,18-23,,
0:02.0,,,18-23,,Defensive rebound by N. Batum
0:00.0,,,18-23,,J. Lin misses 3-pt shot from 38 ft
0:00.0,,,18-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,18-25,2,A. Jefferson makes 2-pt shot at rim (assist by J. Lin)
11:24.0,T. Prince misses 2-pt shot from 17 ft,,18-25,,
11:23.0,,,18-25,,Defensive rebound by K. Walker
11:14.0,,,18-25,,A. Jefferson misses 2-pt shot from 8 ft
11:13.0,,,18-25,,Offensive rebound by A. Jefferson
11:09.0,,,18-27,2,A. Jefferson makes 2-pt shot from 2 ft
10:56.0,Offensive foul by G. Dieng,,18-27,,
10:56.0,Turnover by G. Dieng (offensive foul),,18-27,,
10:56.0,G. Smith enters the game for G. Dieng,,18-27,,
10:35.0,,,18-30,3,J. Lamb makes 3-pt shot from 23 ft
10:21.0,Z. LaVine makes 3-pt shot from 22 ft (assist by T. Jones),3,21-30,,
10:00.0,,,21-30,,Shooting foul by T. Prince (drawn by A. Jefferson)
10:00.0,,,21-31,1,A. Jefferson makes free throw 1 of 2
10:00.0,A. Payne enters the game for T. Prince,,21-31,,
10:00.0,,,21-31,,A. Jefferson misses free throw 2 of 2
9:57.0,Defensive rebound by A. Payne,,21-31,,
9:48.0,Turnover by Z. LaVine (lost ball),,21-31,,
9:35.0,,,21-33,2,A. Jefferson makes 2-pt shot at rim (assist by K. Walker)
9:14.0,Z. LaVine misses 3-pt shot from 24 ft,,21-33,,
9:13.0,,,21-33,,Defensive rebound by J. Lamb
9:08.0,Personal foul by S. Muhammad (drawn by J. Lamb),,21-33,,
9:01.0,,,21-33,,Shooting foul by G. Smith (drawn by J. Lin)
9:01.0,,,21-34,1,J. Lin makes free throw 1 of 2
9:01.0,,,21-35,1,J. Lin makes free throw 2 of 2
8:37.0,Z. LaVine makes 2-pt shot from 1 ft (assist by G. Smith),2,23-35,,
8:11.0,,,23-35,,K. Walker misses 3-pt shot from 25 ft
8:09.0,,,23-35,,Offensive rebound by F. Kaminsky
8:09.0,,,23-37,2,F. Kaminsky makes 2-pt shot at rim
8:04.0,Minnesota full timeout,,23-37,,
8:04.0,K. Towns enters the game for T. Jones,,23-37,,
8:04.0,R. Rubio enters the game for G. Smith,,23-37,,
7:59.0,Turnover by R. Rubio (bad pass),,23-37,,
7:45.0,,,23-37,,A. Jefferson misses 2-pt shot from 8 ft
7:43.0,Defensive rebound by R. Rubio,,23-37,,
7:31.0,Turnover by A. Payne (bad pass; steal by F. Kaminsky),,23-37,,
7:22.0,,,23-39,2,A. Jefferson makes 2-pt shot from 1 ft (assist by K. Walker)
7:04.0,R. Rubio misses 3-pt shot from 24 ft,,23-39,,
7:03.0,,,23-39,,Defensive rebound by A. Jefferson
6:55.0,Personal foul by R. Rubio (drawn by J. Lin),,23-39,,
6:55.0,,,23-39,,N. Batum enters the game for K. Walker
6:55.0,,,23-39,,C. Zeller enters the game for A. Jefferson
6:55.0,A. Wiggins enters the game for S. Muhammad,,23-39,,
6:55.0,G. Dieng enters the game for A. Payne,,23-39,,
6:47.0,,,23-39,,F. Kaminsky misses 3-pt shot from 27 ft
6:46.0,Defensive rebound by A. Wiggins,,23-39,,
6:39.0,Shooting foul by J. Lamb (drawn by K. Towns),,23-39,,
6:39.0,K. Towns makes free throw 1 of 2,1,24-39,,
6:39.0,,,24-39,,C. Lee enters the game for J. Lamb
6:39.0,K. Towns makes free throw 2 of 2,1,25-39,,
6:21.0,,,25-41,2,C. Lee makes 2-pt shot from 16 ft (assist by N. Batum)
6:07.0,Z. LaVine misses 2-pt shot from 19 ft,,25-41,,
6:06.0,,,25-41,,Defensive rebound by F. Kaminsky
6:00.0,,,25-41,,Turnover by C. Zeller (lost ball; steal by K. Towns)
5:43.0,G. Dieng makes 2-pt shot from 11 ft,2,27-41,,
5:31.0,,,27-41,,J. Lin misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by G. Dieng,,27-41,,
5:19.0,A. Wiggins misses 2-pt shot from 19 ft,,27-41,,
5:18.0,,,27-41,,Defensive rebound by J. Lin
5:10.0,,,27-41,,Turnover by J. Lin (bad pass; steal by G. Dieng)
5:05.0,Turnover by A. Wiggins (bad pass; steal by C. Zeller),,27-41,,
5:04.0,,,27-41,,Turnover by C. Zeller (bad pass; steal by G. Dieng)
5:04.0,Z. LaVine makes 2-pt shot at rim (assist by G. Dieng),2,29-41,,
5:04.0,,,29-41,,Charlotte full timeout
5:04.0,,,29-41,,K. Walker enters the game for J. Lin
5:04.0,,,29-41,,M. Williams enters the game for F. Kaminsky
4:50.0,,,29-41,,Turnover by C. Zeller (bad pass; steal by G. Dieng)
4:42.0,A. Wiggins makes 2-pt shot at rim,2,31-41,,
4:42.0,Shooting foul by C. Zeller (drawn by A. Wiggins),,31-41,,
4:42.0,A. Wiggins makes free throw 1 of 1,1,32-41,,
4:27.0,,,32-41,,N. Batum misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by Z. LaVine,,32-41,,
4:21.0,Z. LaVine makes 2-pt shot at rim,2,34-41,,
4:21.0,,,34-41,,Charlotte full timeout
3:54.0,,,34-41,,Turnover by K. Walker (bad pass; steal by Z. LaVine)
3:45.0,Shooting foul by C. Lee (drawn by R. Rubio),,34-41,,
3:45.0,R. Rubio makes free throw 1 of 2,1,35-41,,
3:45.0,R. Rubio makes free throw 2 of 2,1,36-41,,
3:34.0,,,36-41,,K. Walker misses 2-pt shot from 8 ft (block by R. Rubio)
3:32.0,Defensive rebound by K. Towns,,36-41,,
3:26.0,A. Wiggins misses 2-pt shot from 14 ft,,36-41,,
3:25.0,,,36-41,,Defensive rebound by M. Williams
3:18.0,,,36-41,,M. Williams misses 3-pt shot from 25 ft
3:17.0,Defensive rebound by K. Towns,,36-41,,
3:02.0,K. Towns makes 2-pt shot from 2 ft,2,38-41,,
3:02.0,Shooting foul by C. Zeller (drawn by K. Towns),,38-41,,
3:02.0,K. Towns makes free throw 1 of 1,1,39-41,,
2:50.0,,,39-41,,N. Batum misses 2-pt shot from 16 ft
2:50.0,,,39-41,,Offensive rebound by Team
2:50.0,Official timeout,,39-41,,
2:50.0,,,39-41,,A. Jefferson enters the game for C. Zeller
2:50.0,,,39-41,,J. Lin enters the game for C. Lee
2:45.0,,,39-43,2,N. Batum makes 2-pt shot from 18 ft (assist by M. Williams)
2:18.0,A. Wiggins makes 2-pt shot from 2 ft,2,41-43,,
1:57.0,,,41-43,,J. Lin misses 2-pt shot from 18 ft
1:56.0,Defensive rebound by G. Dieng,,41-43,,
1:37.0,A. Wiggins misses 2-pt shot at rim (block by N. Batum),,41-43,,
1:34.0,Offensive rebound by K. Towns,,41-43,,
1:34.0,K. Towns makes 2-pt shot at rim,2,43-43,,
1:22.0,,,43-45,2,K. Walker makes 2-pt shot from 18 ft
1:04.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,45-45,,
0:52.0,,,45-47,2,K. Walker makes 2-pt shot at rim
0:38.0,Z. LaVine misses 3-pt shot from 23 ft,,45-47,,
0:37.0,Offensive rebound by Team,,45-47,,
0:37.0,Minnesota full timeout,,45-47,,
0:31.0,K. Towns makes 2-pt shot from 17 ft (assist by R. Rubio),2,47-47,,
0:10.0,,,47-47,,A. Jefferson misses 2-pt shot from 6 ft
0:09.0,Defensive rebound by K. Towns,,47-47,,
0:03.0,Z. LaVine misses 2-pt shot from 1 ft (block by M. Williams),,47-47,,
0:03.0,Offensive rebound by G. Dieng,,47-47,,
0:03.0,G. Dieng makes 2-pt shot at rim,2,49-47,,
0:00.0,,,49-47,,J. Lin misses 3-pt shot from 23 ft
0:00.0,,,49-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Violation by R. Rubio (kicked ball),,49-47,,
11:29.0,,,49-49,2,M. Williams makes 2-pt shot from 6 ft (assist by K. Walker)
11:14.0,A. Wiggins makes 2-pt shot from 18 ft (assist by K. Towns),2,51-49,,
10:51.0,,,51-49,,Turnover by C. Lee (traveling)
10:36.0,K. Towns misses 2-pt shot from 4 ft (block by C. Zeller),,51-49,,
10:35.0,,,51-49,,Defensive rebound by K. Walker
10:18.0,,,51-51,2,M. Williams makes 2-pt shot from 6 ft
10:03.0,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio),2,53-51,,
10:03.0,Shooting foul by M. Williams (drawn by A. Wiggins),,53-51,,
10:03.0,A. Wiggins misses free throw 1 of 1,,53-51,,
10:02.0,,,53-51,,Defensive rebound by M. Williams
9:48.0,,,53-51,,M. Williams misses 3-pt shot from 25 ft
9:48.0,,,53-51,,Offensive rebound by Team
9:48.0,Loose ball foul by K. Towns (drawn by C. Zeller),,53-51,,
9:36.0,,,53-51,,C. Lee misses 2-pt shot from 9 ft
9:35.0,Defensive rebound by K. Towns,,53-51,,
9:26.0,G. Dieng makes 2-pt shot at rim,2,55-51,,
9:07.0,,,55-54,3,M. Williams makes 3-pt shot from 22 ft (assist by N. Batum)
8:53.0,Z. LaVine misses 3-pt shot from 24 ft,,55-54,,
8:51.0,,,55-54,,Defensive rebound by Team
8:36.0,,,55-57,3,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum)
8:23.0,,,55-57,,Personal foul by C. Zeller (drawn by R. Rubio)
8:16.0,A. Wiggins makes 3-pt shot from 24 ft (assist by R. Rubio),3,58-57,,
8:01.0,,,58-57,,C. Lee misses 2-pt shot from 6 ft
8:00.0,Defensive rebound by K. Towns,,58-57,,
7:57.0,Z. LaVine misses 2-pt shot from 1 ft (block by N. Batum),,58-57,,
7:55.0,,,58-57,,Defensive rebound by C. Lee
7:37.0,,,58-57,,N. Batum misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by G. Dieng,,58-57,,
7:19.0,K. Towns misses 2-pt shot from 2 ft (block by N. Batum),,58-57,,
7:17.0,,,58-57,,Defensive rebound by N. Batum
7:09.0,,,58-60,3,K. Walker makes 3-pt shot from 24 ft
7:07.0,Minnesota full timeout,,58-60,,
6:42.0,Turnover by Team (shot clock),,58-60,,
6:42.0,D. Rudez enters the game for G. Dieng,,58-60,,
6:21.0,,,58-60,,M. Williams misses 2-pt shot from 9 ft
6:20.0,Defensive rebound by K. Towns,,58-60,,
6:18.0,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns),2,60-60,,
6:18.0,Shooting foul by N. Batum (drawn by A. Wiggins),,60-60,,
6:18.0,A. Wiggins makes free throw 1 of 1,1,61-60,,
6:06.0,Personal foul by D. Rudez (drawn by M. Williams),,61-60,,
5:53.0,,,61-60,,N. Batum misses 2-pt shot from 10 ft
5:51.0,,,61-60,,Offensive rebound by N. Batum
5:49.0,,,61-60,,N. Batum misses 3-pt shot from 22 ft
5:49.0,,,61-60,,Offensive rebound by Team
5:46.0,,,61-60,,M. Williams misses 2-pt shot from 21 ft
5:44.0,Defensive rebound by K. Towns,,61-60,,
5:39.0,Shooting foul by C. Zeller (drawn by K. Towns),,61-60,,
5:39.0,K. Towns makes free throw 1 of 2,1,62-60,,
5:39.0,,,62-60,,A. Jefferson enters the game for C. Zeller
5:39.0,K. Towns makes free throw 2 of 2,1,63-60,,
5:14.0,,,63-62,2,A. Jefferson makes 2-pt shot from 10 ft
4:59.0,R. Rubio makes 2-pt shot from 1 ft,2,65-62,,
4:59.0,,,65-62,,Charlotte full timeout
4:41.0,,,65-65,3,K. Walker makes 3-pt shot from 25 ft (assist by C. Lee)
4:24.0,K. Towns makes 2-pt shot from 17 ft (assist by R. Rubio),2,67-65,,
4:11.0,,,67-68,3,K. Walker makes 3-pt shot from 26 ft
3:51.0,K. Towns misses 2-pt shot from 18 ft,,67-68,,
3:49.0,,,67-68,,Defensive rebound by M. Williams
3:26.0,,,67-71,3,K. Walker makes 3-pt shot from 26 ft (assist by A. Jefferson)
3:04.0,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio),2,69-71,,
2:59.0,Personal foul by D. Rudez (drawn by M. Williams),,69-71,,
2:59.0,,,69-71,,F. Kaminsky enters the game for C. Lee
2:59.0,,,69-71,,J. Lin enters the game for M. Williams
2:49.0,,,69-71,,F. Kaminsky misses 3-pt shot from 25 ft
2:47.0,,,69-71,,Offensive rebound by K. Walker
2:43.0,,,69-71,,K. Walker misses 2-pt shot from 6 ft
2:42.0,Defensive rebound by K. Towns,,69-71,,
2:40.0,,,69-71,,Personal foul by F. Kaminsky (drawn by D. Rudez)
2:40.0,D. Rudez makes free throw 1 of 2,1,70-71,,
2:40.0,T. Jones enters the game for R. Rubio,,70-71,,
2:40.0,D. Rudez makes free throw 2 of 2,1,71-71,,
2:22.0,,,71-71,,Shooting foul by Z. LaVine (drawn by K. Walker)
2:22.0,,,71-71,,K. Walker misses free throw 1 of 2
2:22.0,,,71-71,,Offensive rebound by Team
2:22.0,,,71-72,1,K. Walker makes free throw 2 of 2
2:08.0,K. Towns makes 2-pt shot from 20 ft (assist by T. Jones),2,73-72,,
1:53.0,,,73-74,2,K. Walker makes 2-pt shot from 16 ft
1:42.0,Turnover by T. Jones (bad pass),,73-74,,
1:42.0,S. Muhammad enters the game for A. Wiggins,,73-74,,
1:42.0,,,73-74,,J. Lamb enters the game for N. Batum
1:31.0,,,73-76,2,A. Jefferson makes 2-pt shot from 1 ft (assist by K. Walker)
1:31.0,,,73-76,,Shooting foul by K. Towns (drawn by A. Jefferson)
1:31.0,G. Dieng enters the game for K. Towns,,73-76,,
1:31.0,,,73-77,1,A. Jefferson makes free throw 1 of 1
1:21.0,Turnover by Z. LaVine (lost ball; steal by F. Kaminsky),,73-77,,
1:18.0,,,73-79,2,K. Walker makes 2-pt shot at rim
1:18.0,,,73-79,,Shooting foul by Z. LaVine (drawn by K. Walker)
1:18.0,,,73-80,1,K. Walker makes free throw 1 of 1
1:03.0,G. Dieng misses 2-pt shot from 20 ft,,73-80,,
1:02.0,,,73-80,,Defensive rebound by J. Lin
0:52.0,,,73-82,2,A. Jefferson makes 2-pt shot from 14 ft
0:32.0,Z. LaVine misses 2-pt shot from 18 ft,,73-82,,
0:31.0,,,73-82,,Defensive rebound by J. Lin
0:24.0,,,73-82,,K. Walker misses 2-pt shot from 16 ft
0:23.0,Defensive rebound by G. Dieng,,73-82,,
0:03.0,T. Jones makes 2-pt shot from 8 ft,2,75-82,,
0:00.0,,,75-82,,J. Lamb misses 3-pt shot from 59 ft
0:00.0,,,75-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Jump ball: F. Kaminsky vs. A. Wiggins (Z. LaVine gains possession),,,,Jump ball: F. Kaminsky vs. A. Wiggins (Z. LaVine gains possession)
11:42.0,T. Jones misses 2-pt shot from 16 ft,,75-82,,
11:41.0,,,75-82,,Defensive rebound by A. Jefferson
11:30.0,,,75-84,2,J. Lamb makes 2-pt shot from 2 ft
11:09.0,Z. LaVine misses 3-pt shot from 25 ft,,75-84,,
11:09.0,Offensive rebound by Team,,75-84,,
11:09.0,,,75-84,,Loose ball foul by J. Lin (drawn by A. Wiggins)
10:54.0,A. Wiggins misses 2-pt shot from 16 ft,,75-84,,
10:52.0,,,75-84,,Defensive rebound by A. Jefferson
10:38.0,,,75-84,,J. Lamb misses 2-pt shot from 1 ft
10:37.0,,,75-84,,Offensive rebound by J. Lamb
10:37.0,,,75-86,2,J. Lamb makes 2-pt shot from 1 ft
10:33.0,Minnesota full timeout,,75-86,,
10:20.0,Turnover by Z. LaVine (lost ball; steal by J. Lin),,75-86,,
10:14.0,Personal foul by G. Dieng (drawn by A. Jefferson),,75-86,,
9:59.0,,,75-88,2,A. Jefferson makes 2-pt shot from 16 ft
9:38.0,S. Muhammad misses 3-pt shot from 24 ft,,75-88,,
9:37.0,,,75-88,,Defensive rebound by A. Jefferson
9:27.0,,,75-88,,Turnover by K. Walker (bad pass; steal by T. Jones)
9:14.0,G. Dieng makes 2-pt shot from 18 ft (assist by T. Jones),2,77-88,,
8:54.0,,,77-88,,J. Lin misses 2-pt shot from 1 ft (block by G. Dieng)
8:52.0,Defensive rebound by T. Jones,,77-88,,
8:45.0,Z. LaVine makes 2-pt shot at rim (assist by T. Jones),2,79-88,,
8:22.0,,,79-88,,J. Lamb misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by S. Muhammad,,79-88,,
8:18.0,Offensive charge foul by Z. LaVine,,79-88,,
8:18.0,Turnover by Z. LaVine (offensive foul),,79-88,,
8:18.0,,,79-88,,N. Batum enters the game for K. Walker
8:18.0,R. Rubio enters the game for T. Jones,,79-88,,
8:18.0,K. Towns enters the game for S. Muhammad,,79-88,,
8:04.0,,,79-88,,J. Lin misses 2-pt shot from 2 ft (block by K. Towns)
8:02.0,Defensive rebound by A. Wiggins,,79-88,,
7:39.0,Offensive foul by G. Dieng,,79-88,,
7:39.0,Turnover by G. Dieng (offensive foul),,79-88,,
7:18.0,,,79-90,2,A. Jefferson makes 2-pt shot from 6 ft (assist by J. Lamb)
7:13.0,,,79-90,,Personal foul by N. Batum (drawn by R. Rubio)
7:09.0,Shooting foul by F. Kaminsky (drawn by G. Dieng),,79-90,,
7:09.0,G. Dieng makes free throw 1 of 2,1,80-90,,
7:09.0,G. Dieng makes free throw 2 of 2,1,81-90,,
6:52.0,,,81-93,3,J. Lin makes 3-pt shot from 24 ft (assist by A. Jefferson)
6:34.0,Turnover by K. Towns (bad pass; steal by F. Kaminsky),,81-93,,
6:24.0,,,81-93,,N. Batum misses 3-pt shot from 26 ft
6:22.0,Defensive rebound by R. Rubio,,81-93,,
6:07.0,Z. LaVine makes 3-pt shot from 24 ft,3,84-93,,
5:50.0,,,84-93,,Turnover by J. Lin (lost ball; steal by R. Rubio)
5:47.0,Shooting foul by J. Lamb (drawn by Z. LaVine),,84-93,,
5:47.0,Official timeout,,84-93,,
5:47.0,,,84-93,,C. Zeller enters the game for A. Jefferson
5:47.0,,,84-93,,M. Williams enters the game for J. Lin
5:47.0,,,84-93,,K. Walker enters the game for J. Lamb
5:47.0,,,84-93,,C. Lee enters the game for F. Kaminsky
5:47.0,Z. LaVine makes free throw 1 of 2,1,85-93,,
5:47.0,Z. LaVine misses free throw 2 of 2,,85-93,,
5:46.0,,,85-93,,Defensive rebound by C. Zeller
5:32.0,,,85-93,,Turnover by K. Walker (lost ball; steal by G. Dieng)
5:11.0,G. Dieng misses 2-pt shot from 21 ft,,85-93,,
5:10.0,,,85-93,,Defensive rebound by C. Zeller
4:52.0,,,85-95,2,N. Batum makes 2-pt shot from 19 ft
4:34.0,K. Towns misses 2-pt shot from 18 ft,,85-95,,
4:32.0,,,85-95,,Defensive rebound by C. Lee
4:23.0,,,85-95,,Shooting foul by R. Rubio (drawn by K. Walker)
4:23.0,,,85-96,1,K. Walker makes free throw 1 of 3
4:23.0,,,85-97,1,K. Walker makes free throw 2 of 3
4:23.0,S. Muhammad enters the game for G. Dieng,,85-97,,
4:23.0,,,85-97,,K. Walker misses free throw 3 of 3
4:21.0,Defensive rebound by K. Towns,,85-97,,
4:07.0,R. Rubio misses 3-pt shot from 25 ft,,85-97,,
4:06.0,,,85-97,,Defensive rebound by N. Batum
3:51.0,,,85-100,3,M. Williams makes 3-pt shot from 23 ft (assist by C. Zeller)
3:39.0,Z. LaVine misses 2-pt shot from 17 ft,,85-100,,
3:37.0,,,85-100,,Defensive rebound by K. Walker
3:15.0,,,85-100,,C. Zeller misses 2-pt shot from 16 ft
3:13.0,Defensive rebound by R. Rubio,,85-100,,
3:03.0,,,85-100,,Personal foul by C. Zeller (drawn by K. Towns)
3:03.0,K. Towns makes free throw 1 of 2,1,86-100,,
3:03.0,K. Towns misses free throw 2 of 2,,86-100,,
3:01.0,,,86-100,,Defensive rebound by N. Batum
2:44.0,,,86-100,,K. Walker misses 2-pt shot from 18 ft
2:43.0,Defensive rebound by S. Muhammad,,86-100,,
2:34.0,S. Muhammad makes 3-pt shot from 25 ft (assist by Z. LaVine),3,89-100,,
2:34.0,,,89-100,,Charlotte full timeout
2:21.0,,,89-102,2,N. Batum makes 2-pt shot from 19 ft (assist by C. Zeller)
2:07.0,K. Towns makes 2-pt shot from 18 ft,2,91-102,,
1:48.0,,,91-102,,N. Batum misses 2-pt shot from 14 ft
1:47.0,Defensive rebound by K. Towns,,91-102,,
1:37.0,K. Towns makes 2-pt shot from 18 ft (assist by R. Rubio),2,93-102,,
1:16.0,,,93-102,,C. Lee misses 2-pt shot from 18 ft
1:15.0,Defensive rebound by A. Wiggins,,93-102,,
1:10.0,S. Muhammad makes 2-pt shot from 1 ft (assist by A. Wiggins),2,95-102,,
0:56.0,,,95-104,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
0:50.0,,,95-104,,Personal foul by C. Zeller (drawn by R. Rubio)
0:50.0,,,95-104,,A. Jefferson enters the game for C. Zeller
0:50.0,T. Jones enters the game for Z. LaVine,,95-104,,
0:50.0,D. Rudez enters the game for K. Towns,,95-104,,
