time,Golden State,pts.away,score,pts.home,Oklahoma City
10:29.0,,,52-57,,Shooting foul by H. Barnes (drawn by R. Westbrook)
10:29.0,,,52-57,,R. Westbrook misses free throw 1 of 2
10:29.0,,,52-57,,Offensive rebound by Team
10:29.0,S. Livingston enters the game for S. Curry,,52-57,,
10:29.0,,,52-58,1,R. Westbrook makes free throw 2 of 2
10:14.0,D. Green misses 3-pt shot from 23 ft,,52-58,,
10:14.0,,,52-58,,Defensive rebound by S. Adams
9:53.0,Personal foul by H. Barnes (drawn by A. Roberson),,52-58,,
9:47.0,,,52-58,,Turnover by R. Westbrook (bad pass; steal by K. Thompson)
9:33.0,Turnover by S. Livingston (bad pass),,52-58,,
9:22.0,,,52-58,,K. Durant misses 2-pt shot from 15 ft
9:22.0,Defensive rebound by Team,,52-58,,
9:22.0,,,52-58,,Loose ball foul by S. Adams (drawn by A. Bogut)
9:04.0,Shooting foul by K. Durant (drawn by K. Thompson),,52-58,,
9:04.0,,,52-58,,Oklahoma City full timeout
9:04.0,K. Thompson makes free throw 1 of 2,1,53-58,,
9:04.0,K. Thompson makes free throw 2 of 2,1,54-58,,
8:47.0,,,54-58,,R. Westbrook misses 3-pt shot from 24 ft
8:46.0,,,54-58,,Offensive rebound by S. Ibaka
8:43.0,,,54-61,3,K. Durant makes 3-pt shot from 24 ft (assist by A. Roberson)
8:24.0,,,54-61,,Shooting block foul by K. Durant (drawn by D. Green)
8:24.0,D. Green makes free throw 1 of 2,1,55-61,,
8:24.0,D. Green misses free throw 2 of 2,,55-61,,
8:24.0,,,55-61,,Defensive rebound by Team
8:13.0,,,55-64,3,A. Roberson makes 3-pt shot from 23 ft (assist by R. Westbrook)
7:57.0,Turnover by A. Bogut (lost ball; steal by R. Westbrook),,55-64,,
7:54.0,Personal foul by D. Green (drawn by R. Westbrook),,55-64,,
7:48.0,,,55-66,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:37.0,K. Thompson makes 2-pt shot at rim,2,57-66,,
7:28.0,,,57-66,,Shooting foul by K. Thompson (drawn by S. Adams)
7:28.0,,,57-66,,S. Adams misses free throw 1 of 2
7:28.0,,,57-66,,Offensive rebound by Team
7:28.0,M. Speights enters the game for A. Bogut,,57-66,,
7:28.0,,,57-67,1,S. Adams makes free throw 2 of 2
7:16.0,K. Thompson makes 2-pt shot from 17 ft (assist by D. Green),2,59-67,,
6:52.0,,,59-67,,S. Ibaka misses 3-pt shot from 25 ft
6:51.0,,,59-67,,Offensive rebound by S. Adams
6:41.0,,,59-67,,S. Ibaka misses 3-pt shot from 24 ft
6:39.0,Defensive rebound by S. Livingston,,59-67,,
6:28.0,M. Speights makes 2-pt shot from 18 ft (assist by S. Livingston),2,61-67,,
6:11.0,,,61-67,,Turnover by S. Adams (lost ball)
6:11.0,A. Iguodala enters the game for H. Barnes,,61-67,,
5:56.0,S. Livingston misses 2-pt shot at rim,,61-67,,
5:56.0,,,61-67,,Defensive rebound by R. Westbrook
5:52.0,,,61-69,2,R. Westbrook makes 2-pt shot from 2 ft
5:52.0,,,61-69,,Shooting foul by A. Iguodala (drawn by R. Westbrook)
5:52.0,,,61-69,,D. Waiters enters the game for K. Durant
5:52.0,,,61-69,,K. Singler enters the game for A. Roberson
5:52.0,,,61-70,1,R. Westbrook makes free throw 1 of 1
5:40.0,D. Green misses 2-pt shot at rim (block by S. Ibaka),,61-70,,
5:39.0,,,61-70,,Defensive rebound by S. Adams
5:33.0,,,61-70,,R. Westbrook misses 2-pt shot from 17 ft
5:31.0,Defensive rebound by S. Livingston,,61-70,,
5:22.0,S. Livingston makes 2-pt shot from 13 ft,2,63-70,,
5:10.0,,,63-70,,Shooting foul by M. Speights (drawn by R. Westbrook)
5:10.0,,,63-70,,R. Westbrook misses free throw 1 of 2
5:10.0,,,63-70,,Offensive rebound by Team
5:10.0,S. Curry enters the game for S. Livingston,,63-70,,
5:10.0,,,63-71,1,R. Westbrook makes free throw 2 of 2
4:52.0,M. Speights makes 2-pt shot from 17 ft (assist by D. Green),2,65-71,,
4:40.0,,,65-71,,Turnover by R. Westbrook (bad pass; steal by S. Curry)
4:30.0,K. Thompson misses 3-pt shot from 24 ft,,65-71,,
4:30.0,,,65-71,,Defensive rebound by S. Adams
4:17.0,,,65-71,,Turnover by R. Westbrook (traveling)
4:17.0,,,65-71,,Violation by Team (delay of game)
4:17.0,Golden State full timeout,,65-71,,
4:17.0,L. Barbosa enters the game for K. Thompson,,65-71,,
4:17.0,,,65-71,,E. Kanter enters the game for S. Adams
4:04.0,S. Curry makes 3-pt shot from 27 ft,3,68-71,,
4:04.0,,,68-71,,Away from play foul by K. Singler (drawn by D. Green)
4:04.0,D. Green misses free throw 1 of 1,,68-71,,
4:03.0,,,68-71,,Defensive rebound by S. Ibaka
3:50.0,,,68-71,,R. Westbrook misses 2-pt shot from 2 ft (block by D. Green)
3:49.0,,,68-71,,Offensive rebound by K. Singler
3:42.0,,,68-71,,R. Westbrook misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by D. Green,,68-71,,
3:35.0,M. Speights makes 2-pt shot from 1 ft (assist by S. Curry),2,70-71,,
3:18.0,,,70-73,2,D. Waiters makes 2-pt shot from 18 ft
3:10.0,Turnover by S. Curry (bad pass),,70-73,,
2:52.0,,,70-75,2,D. Waiters makes 2-pt shot from 21 ft
2:41.0,S. Curry makes 3-pt shot from 24 ft,3,73-75,,
2:30.0,,,73-75,,Turnover by E. Kanter (lost ball; steal by D. Green)
2:27.0,Shooting foul by D. Waiters (drawn by S. Curry),,73-75,,
2:27.0,S. Curry makes free throw 1 of 2,1,74-75,,
2:27.0,,,74-75,,K. Durant enters the game for R. Westbrook
2:27.0,S. Curry makes free throw 2 of 2,1,75-75,,
2:22.0,Personal foul by L. Barbosa (drawn by D. Waiters),,75-75,,
2:22.0,,,75-75,,D. Waiters misses free throw 1 of 2
2:22.0,,,75-75,,Offensive rebound by Team
2:22.0,,,75-76,1,D. Waiters makes free throw 2 of 2
2:16.0,L. Barbosa misses 2-pt shot from 22 ft,,75-76,,
2:15.0,,,75-76,,Defensive rebound by S. Ibaka
1:59.0,Loose ball foul by D. Green (drawn by S. Ibaka),,75-76,,
1:59.0,,,75-76,,S. Ibaka misses free throw 1 of 2
1:59.0,,,75-76,,Offensive rebound by Team
1:59.0,,,75-77,1,S. Ibaka makes free throw 2 of 2
1:49.0,S. Curry misses 3-pt shot from 26 ft,,75-77,,
1:49.0,,,75-77,,Defensive rebound by K. Durant
1:43.0,,,75-77,,K. Durant misses 3-pt shot from 26 ft
1:42.0,Defensive rebound by A. Iguodala,,75-77,,
1:33.0,M. Speights misses 2-pt shot from 1 ft (block by S. Ibaka),,75-77,,
1:33.0,Offensive rebound by Team,,75-77,,
1:22.0,S. Curry makes 3-pt shot from 23 ft,3,78-77,,
1:08.0,,,78-77,,Turnover by E. Kanter (lost ball; steal by D. Green)
1:00.0,S. Curry misses 3-pt shot from 24 ft,,78-77,,
1:00.0,,,78-77,,Defensive rebound by K. Durant
0:54.0,,,78-80,3,K. Durant makes 3-pt shot from 25 ft
0:35.0,M. Speights misses 2-pt shot from 18 ft,,78-80,,
0:34.0,,,78-80,,Defensive rebound by S. Ibaka
0:13.0,,,78-83,3,K. Durant makes 3-pt shot from 25 ft
0:03.0,S. Curry misses 2-pt shot from 19 ft (block by K. Durant),,78-83,,
0:03.0,,,78-83,,Defensive rebound by S. Ibaka
0:00.0,,,78-83,,Turnover by S. Ibaka (bad pass; steal by D. Green)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
