time,Portland,pts.away,score,pts.home,Phoenix
8:52.0,,,28-37,,Defensive rebound by J. Leuer
8:43.0,Personal foul by A. Crabbe (drawn by S. Weems),,28-37,,
8:33.0,,,28-37,,J. Leuer misses 2-pt shot from 9 ft
8:32.0,Defensive rebound by N. Vonleh,,28-37,,
8:23.0,C. McCollum makes 2-pt shot from 1 ft,2,30-37,,
8:02.0,,,30-37,,Turnover by S. Weems (traveling)
7:46.0,A. Crabbe misses 2-pt shot from 14 ft,,30-37,,
7:45.0,,,30-37,,Defensive rebound by S. Weems
7:42.0,,,30-37,,Turnover by S. Weems (bad pass; steal by A. Crabbe)
7:37.0,C. McCollum makes 3-pt shot from 24 ft (assist by E. Davis),3,33-37,,
7:29.0,,,33-37,,Phoenix full timeout
7:29.0,,,33-37,,E. Bledsoe enters the game for S. Weems
7:29.0,D. Lillard enters the game for A. Crabbe,,33-37,,
7:29.0,M. Plumlee enters the game for E. Davis,,33-37,,
7:16.0,,,33-37,,Turnover by A. Len (traveling)
7:06.0,,,33-37,,T. Chandler enters the game for A. Len
7:06.0,,,33-37,,M. Morris enters the game for J. Leuer
7:06.0,A. Aminu enters the game for C. McCollum,,33-37,,
7:02.0,M. Harkless makes 2-pt shot at rim (assist by M. Plumlee),2,35-37,,
6:52.0,,,35-37,,E. Bledsoe misses 2-pt shot from 15 ft
6:52.0,Defensive rebound by M. Harkless,,35-37,,
6:36.0,M. Plumlee makes 2-pt shot from 17 ft,2,37-37,,
6:20.0,,,37-37,,Shooting foul by M. Harkless (drawn by T. Warren)
6:20.0,,,37-38,1,T. Warren makes free throw 1 of 2
6:20.0,A. Crabbe enters the game for M. Harkless,,37-38,,
6:20.0,,,37-38,,T. Warren misses free throw 2 of 2
6:19.0,,,37-38,,Offensive rebound by M. Morris
6:16.0,,,37-40,2,M. Morris makes 2-pt shot from 2 ft
5:59.0,Offensive charge foul by D. Lillard,,37-40,,
5:59.0,Turnover by D. Lillard (offensive foul),,37-40,,
5:44.0,,,37-42,2,T. Warren makes 2-pt shot at rim (assist by M. Morris)
5:36.0,Shooting foul by T. Warren (drawn by D. Lillard),,37-42,,
5:36.0,D. Lillard makes free throw 1 of 2,1,38-42,,
5:36.0,D. Lillard makes free throw 2 of 2,1,39-42,,
5:24.0,,,39-42,,B. Knight misses 2-pt shot from 20 ft
5:23.0,Defensive rebound by N. Vonleh,,39-42,,
5:13.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,41-42,,
4:59.0,,,41-42,,Shooting foul by M. Plumlee (drawn by E. Bledsoe)
4:59.0,,,41-43,1,E. Bledsoe makes free throw 1 of 2
4:59.0,,,41-44,1,E. Bledsoe makes free throw 2 of 2
4:52.0,,,41-44,,Personal foul by B. Knight (drawn by M. Plumlee)
4:40.0,D. Lillard misses 3-pt shot from 24 ft,,41-44,,
4:40.0,,,41-44,,Defensive rebound by T. Warren
4:22.0,,,41-44,,M. Morris misses 2-pt shot from 14 ft
4:20.0,,,41-44,,Offensive rebound by T. Chandler
4:20.0,,,41-44,,T. Chandler misses 2-pt shot from 1 ft
4:19.0,,,41-44,,Offensive rebound by M. Morris
4:04.0,,,41-44,,E. Bledsoe misses 2-pt shot from 18 ft
4:03.0,Defensive rebound by A. Aminu,,41-44,,
3:41.0,D. Lillard makes 2-pt shot from 15 ft,2,43-44,,
3:25.0,,,43-44,,B. Knight misses 2-pt shot from 21 ft
3:25.0,Defensive rebound by A. Aminu,,43-44,,
3:17.0,A. Aminu misses 2-pt shot at rim,,43-44,,
3:17.0,,,43-44,,Defensive rebound by E. Bledsoe
