time,Brooklyn,pts.away,score,pts.home,Chicago
10:27.0,Brooklyn full timeout,,31-31,,
10:08.0,Turnover by W. Reed (lost ball; steal by B. Portis),,31-31,,
9:48.0,,,31-33,2,J. Noah makes 2-pt shot from 1 ft (assist by D. McDermott)
9:32.0,W. Reed makes 2-pt shot from 1 ft (assist by A. Bargnani),2,33-33,,
9:14.0,,,33-33,,B. Portis misses 3-pt shot from 24 ft
9:12.0,,,33-33,,Offensive rebound by D. McDermott
9:12.0,,,33-33,,D. McDermott misses 2-pt shot from 1 ft
9:10.0,Defensive rebound by A. Bargnani,,33-33,,
9:03.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,35-33,,
8:57.0,,,35-35,2,B. Portis makes 2-pt shot at rim (assist by A. Brooks)
8:46.0,,,35-35,,Personal foul by K. Hinrich (drawn by W. Ellington)
8:38.0,D. Sloan misses 2-pt shot from 21 ft,,35-35,,
8:38.0,,,35-35,,Defensive rebound by Team
8:38.0,Loose ball foul by W. Reed (drawn by J. Noah),,35-35,,
8:28.0,,,35-35,,Turnover by D. McDermott (bad pass)
8:09.0,W. Ellington makes 2-pt shot from 14 ft (assist by D. Sloan),2,37-35,,
7:49.0,,,37-35,,B. Portis misses 2-pt shot from 10 ft
7:48.0,Defensive rebound by A. Bargnani,,37-35,,
7:29.0,B. Bogdanovic makes 2-pt shot from 18 ft (assist by D. Sloan),2,39-35,,
7:14.0,,,39-38,3,A. Brooks makes 3-pt shot from 24 ft (assist by J. Noah)
6:54.0,W. Reed makes 2-pt shot from 19 ft (assist by D. Sloan),2,41-38,,
6:42.0,,,41-40,2,B. Portis makes 2-pt shot from 4 ft (assist by J. Noah)
6:30.0,W. Reed misses 2-pt shot from 1 ft (block by J. Noah),,41-40,,
6:27.0,Offensive rebound by W. Reed,,41-40,,
6:27.0,W. Reed makes 2-pt shot from 1 ft,2,43-40,,
6:18.0,,,43-42,2,B. Portis makes 2-pt shot from 1 ft (assist by J. Noah)
6:10.0,Brooklyn full timeout,,43-42,,
6:10.0,,,43-42,,D. Rose enters the game for J. Noah
6:10.0,,,43-42,,P. Gasol enters the game for K. Hinrich
6:10.0,,,43-42,,J. Butler enters the game for D. McDermott
6:10.0,B. Lopez enters the game for B. Bogdanovic,,43-42,,
6:10.0,J. Jack enters the game for W. Reed,,43-42,,
6:01.0,W. Ellington makes 3-pt shot from 24 ft (assist by D. Sloan),3,46-42,,
5:47.0,,,46-42,,P. Gasol misses 2-pt shot from 19 ft
5:46.0,,,46-42,,Offensive rebound by D. Rose
5:41.0,,,46-42,,B. Portis misses 2-pt shot from 17 ft
5:39.0,Defensive rebound by J. Jack,,46-42,,
5:26.0,B. Lopez misses 2-pt shot from 10 ft,,46-42,,
5:25.0,,,46-42,,Defensive rebound by B. Portis
5:15.0,,,46-42,,B. Portis misses 2-pt shot from 5 ft
5:14.0,Defensive rebound by A. Bargnani,,46-42,,
5:06.0,D. Sloan misses 3-pt shot from 24 ft,,46-42,,
5:05.0,Offensive rebound by B. Lopez,,46-42,,
5:05.0,Shooting foul by B. Portis (drawn by B. Lopez),,46-42,,
5:05.0,Official timeout,,46-42,,
5:05.0,,,46-42,,N. Mirotic enters the game for B. Portis
5:05.0,,,46-42,,T. Gibson enters the game for A. Brooks
5:05.0,J. Johnson enters the game for A. Bargnani,,46-42,,
5:05.0,T. Young enters the game for D. Sloan,,46-42,,
5:05.0,B. Lopez misses free throw 1 of 2,,46-42,,
5:05.0,Offensive rebound by Team,,46-42,,
5:05.0,B. Lopez makes free throw 2 of 2,1,47-42,,
4:52.0,,,47-42,,D. Rose misses 2-pt shot from 16 ft
4:50.0,,,47-42,,Offensive rebound by T. Gibson
4:50.0,,,47-44,2,T. Gibson makes 2-pt shot from 1 ft
4:30.0,T. Young misses 2-pt shot from 18 ft,,47-44,,
4:29.0,,,47-44,,Defensive rebound by D. Rose
4:12.0,,,47-46,2,J. Butler makes 2-pt shot from 14 ft
3:54.0,B. Lopez misses 2-pt shot from 20 ft,,47-46,,
3:53.0,,,47-46,,Defensive rebound by N. Mirotic
3:50.0,,,47-48,2,P. Gasol makes 2-pt shot from 1 ft (assist by D. Rose)
3:37.0,Turnover by B. Lopez (bad pass; steal by N. Mirotic),,47-48,,
3:29.0,,,47-48,,D. Rose misses 2-pt shot from 6 ft
3:27.0,Defensive rebound by B. Lopez,,47-48,,
3:09.0,W. Ellington makes 2-pt shot from 20 ft (assist by T. Young),2,49-48,,
3:00.0,Def 3 sec tech foul by B. Lopez,,49-48,,
3:00.0,,,49-48,,D. Rose misses technical free throw
3:00.0,,,49-48,,Offensive rebound by Team
3:00.0,,,49-48,,Chicago full timeout
2:44.0,,,49-48,,J. Butler misses 2-pt shot from 9 ft
2:42.0,Defensive rebound by B. Lopez,,49-48,,
2:27.0,Turnover by J. Jack (bad pass; steal by N. Mirotic),,49-48,,
2:22.0,,,49-50,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler)
2:03.0,B. Lopez makes 2-pt shot from 1 ft,2,51-50,,
1:51.0,,,51-50,,Turnover by P. Gasol (bad pass; steal by B. Lopez)
1:40.0,T. Young makes 2-pt shot from 11 ft (assist by B. Lopez),2,53-50,,
1:24.0,,,53-52,2,P. Gasol makes 2-pt shot from 17 ft (assist by J. Butler)
1:06.0,J. Johnson makes 2-pt shot from 7 ft,2,55-52,,
0:56.0,,,55-54,2,P. Gasol makes 2-pt shot from 19 ft (assist by T. Gibson)
0:42.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Jack),3,58-54,,
0:33.0,,,58-54,,Turnover by P. Gasol (bad pass; steal by T. Young)
0:14.0,Turnover by J. Jack (bad pass; steal by D. Rose),,58-54,,
0:09.0,,,58-54,,Shooting foul by W. Ellington (drawn by N. Mirotic)
0:09.0,,,58-55,1,N. Mirotic makes free throw 1 of 2
0:09.0,W. Reed enters the game for B. Lopez,,58-55,,
0:09.0,B. Bogdanovic enters the game for T. Young,,58-55,,
0:09.0,,,58-55,,J. Noah enters the game for P. Gasol
0:09.0,,,58-55,,N. Mirotic misses free throw 2 of 2
0:07.0,,,58-55,,Offensive rebound by J. Noah
0:07.0,,,58-55,,J. Noah misses 2-pt shot from 1 ft
0:06.0,,,58-55,,Offensive rebound by T. Gibson
0:06.0,,,58-55,,T. Gibson misses 2-pt shot from 1 ft
0:05.0,Defensive rebound by W. Reed,,58-55,,
0:01.0,,,58-55,,Personal foul by T. Gibson (drawn by J. Johnson)
0:01.0,,,58-55,,K. Hinrich enters the game for N. Mirotic
0:00.0,W. Ellington misses 3-pt shot from 25 ft,,58-55,,
0:00.0,Offensive rebound by Team,,58-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,58-57,2,J. Butler makes 2-pt shot from 21 ft
11:38.0,B. Lopez makes 2-pt shot from 1 ft (assist by J. Jack),2,60-57,,
11:20.0,,,60-60,3,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Butler)
11:05.0,B. Lopez makes 2-pt shot from 11 ft (assist by J. Jack),2,62-60,,
10:50.0,,,62-60,,P. Gasol misses 2-pt shot from 5 ft
10:49.0,Defensive rebound by T. Young,,62-60,,
10:39.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by N. Mirotic),,62-60,,
10:38.0,Offensive rebound by B. Bogdanovic,,62-60,,
10:25.0,J. Johnson misses 3-pt shot from 25 ft,,62-60,,
10:24.0,,,62-60,,Defensive rebound by N. Mirotic
10:13.0,,,62-60,,D. Rose misses 2-pt shot from 1 ft (block by B. Lopez)
10:11.0,Defensive rebound by T. Young,,62-60,,
10:08.0,Turnover by T. Young (bad pass),,62-60,,
9:51.0,,,62-63,3,D. Rose makes 3-pt shot from 24 ft (assist by T. Gibson)
9:31.0,B. Lopez makes 2-pt shot from 17 ft (assist by J. Johnson),2,64-63,,
9:14.0,,,64-63,,P. Gasol misses 2-pt shot from 20 ft
9:13.0,Defensive rebound by J. Johnson,,64-63,,
9:09.0,T. Young makes 2-pt shot from 1 ft (assist by J. Jack),2,66-63,,
8:53.0,,,66-65,2,N. Mirotic makes 2-pt shot from 1 ft
8:33.0,J. Johnson makes 2-pt shot from 14 ft,2,68-65,,
8:17.0,,,68-67,2,P. Gasol makes 2-pt shot from 18 ft (assist by T. Gibson)
8:00.0,J. Jack makes 2-pt shot from 20 ft,2,70-67,,
7:48.0,,,70-69,2,P. Gasol makes 2-pt shot from 19 ft (assist by D. Rose)
7:31.0,B. Bogdanovic misses 3-pt shot from 22 ft,,70-69,,
7:30.0,Offensive rebound by T. Young,,70-69,,
7:28.0,B. Lopez makes 2-pt shot from 10 ft (assist by T. Young),2,72-69,,
7:08.0,,,72-69,,N. Mirotic misses 3-pt shot from 27 ft
7:07.0,Defensive rebound by B. Lopez,,72-69,,
6:55.0,Shooting foul by P. Gasol (drawn by B. Lopez),,72-69,,
6:55.0,B. Lopez makes free throw 1 of 2,1,73-69,,
6:55.0,Brooklyn full timeout,,73-69,,
6:55.0,B. Lopez makes free throw 2 of 2,1,74-69,,
6:46.0,Personal foul by J. Johnson (drawn by J. Butler),,74-69,,
6:37.0,,,74-69,,P. Gasol misses 2-pt shot from 6 ft
6:35.0,,,74-69,,Offensive rebound by P. Gasol
6:35.0,,,74-69,,P. Gasol misses 2-pt shot from 1 ft
6:34.0,,,74-69,,Offensive rebound by N. Mirotic
6:33.0,,,74-69,,N. Mirotic misses 2-pt shot from 9 ft
6:30.0,Defensive rebound by T. Young,,74-69,,
6:20.0,B. Lopez misses 2-pt shot from 12 ft,,74-69,,
6:19.0,Offensive rebound by T. Young,,74-69,,
6:19.0,T. Young makes 2-pt shot from 2 ft,2,76-69,,
6:06.0,,,76-69,,J. Butler misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by J. Jack,,76-69,,
6:02.0,Turnover by T. Young (lost ball),,76-69,,
6:02.0,,,76-69,,J. Noah enters the game for P. Gasol
5:51.0,,,76-69,,D. Rose misses 2-pt shot from 9 ft
5:50.0,Defensive rebound by T. Young,,76-69,,
5:35.0,J. Jack misses 2-pt shot from 7 ft,,76-69,,
5:34.0,,,76-69,,Defensive rebound by J. Noah
5:19.0,,,76-69,,N. Mirotic misses 3-pt shot from 26 ft
5:18.0,Defensive rebound by T. Young,,76-69,,
5:10.0,,,76-69,,Personal foul by J. Noah (drawn by B. Lopez)
5:10.0,,,76-69,,D. McDermott enters the game for N. Mirotic
4:56.0,J. Johnson makes 2-pt shot from 14 ft,2,78-69,,
4:46.0,,,78-69,,D. McDermott misses 2-pt shot from 2 ft
4:45.0,Defensive rebound by J. Johnson,,78-69,,
4:38.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by J. Johnson),3,81-69,,
4:38.0,,,81-69,,Chicago full timeout
4:38.0,,,81-69,,A. Brooks enters the game for D. Rose
4:29.0,,,81-69,,J. Butler misses 2-pt shot from 1 ft
4:29.0,,,81-69,,Offensive rebound by J. Noah
4:29.0,,,81-69,,J. Noah misses 2-pt shot from 1 ft (block by B. Lopez)
4:29.0,,,81-69,,Offensive rebound by Team
4:23.0,,,81-69,,T. Gibson misses 2-pt shot from 2 ft
4:22.0,,,81-69,,Offensive rebound by T. Gibson
4:22.0,,,81-69,,T. Gibson misses 2-pt shot from 2 ft
4:22.0,Defensive rebound by B. Lopez,,81-69,,
4:21.0,,,81-69,,Personal foul by T. Gibson (drawn by B. Lopez)
4:21.0,W. Ellington enters the game for B. Bogdanovic,,81-69,,
4:03.0,B. Lopez misses 2-pt shot from 4 ft,,81-69,,
4:02.0,,,81-69,,Defensive rebound by J. Noah
3:56.0,,,81-69,,Turnover by D. McDermott (bad pass; steal by T. Young)
3:52.0,W. Ellington misses 2-pt shot from 1 ft (block by J. Butler),,81-69,,
3:50.0,,,81-69,,Defensive rebound by D. McDermott
3:39.0,,,81-69,,D. McDermott misses 3-pt shot from 23 ft
3:37.0,,,81-69,,Offensive rebound by T. Gibson
3:34.0,,,81-69,,J. Butler misses 3-pt shot from 24 ft
3:33.0,Defensive rebound by W. Ellington,,81-69,,
3:12.0,J. Johnson misses 2-pt shot from 12 ft,,81-69,,
3:11.0,,,81-69,,Defensive rebound by J. Noah
2:53.0,,,81-72,3,A. Brooks makes 3-pt shot from 26 ft (assist by J. Butler)
2:34.0,J. Jack misses 3-pt shot from 24 ft,,81-72,,
2:33.0,,,81-72,,Defensive rebound by J. Noah
2:25.0,,,81-72,,Turnover by A. Brooks (lost ball; steal by B. Lopez)
2:15.0,W. Ellington makes 3-pt shot from 22 ft,3,84-72,,
2:03.0,,,84-74,2,T. Gibson makes 2-pt shot at rim (assist by J. Noah)
1:43.0,B. Lopez misses 2-pt shot from 14 ft,,84-74,,
1:42.0,,,84-74,,Defensive rebound by J. Noah
1:26.0,A. Bargnani enters the game for T. Young,,84-74,,
1:26.0,D. Sloan enters the game for J. Jack,,84-74,,
1:18.0,,,84-76,2,J. Butler makes 2-pt shot from 20 ft
0:51.0,J. Johnson misses 3-pt shot from 24 ft,,84-76,,
0:50.0,,,84-76,,Defensive rebound by D. McDermott
0:43.0,,,84-76,,A. Brooks misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by A. Bargnani,,84-76,,
0:32.0,,,84-76,,Personal foul by J. Noah (drawn by A. Bargnani)
0:32.0,,,84-76,,B. Portis enters the game for J. Noah
0:32.0,A. Bargnani makes free throw 1 of 2,1,85-76,,
0:32.0,W. Reed enters the game for B. Lopez,,85-76,,
0:32.0,A. Bargnani misses free throw 2 of 2,,85-76,,
0:30.0,,,85-76,,Defensive rebound by T. Gibson
0:08.0,,,85-78,2,T. Gibson makes 2-pt shot from 14 ft (assist by A. Brooks)
0:00.0,J. Johnson misses 3-pt shot from 25 ft,,85-78,,
0:00.0,Offensive rebound by Team,,85-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,A. Bargnani misses 2-pt shot from 20 ft,,85-78,,
11:44.0,Offensive rebound by W. Reed,,85-78,,
11:30.0,W. Ellington misses 2-pt shot from 15 ft,,85-78,,
11:30.0,,,85-78,,Defensive rebound by Team
11:14.0,,,85-78,,B. Portis misses 2-pt shot from 6 ft
11:13.0,,,85-78,,Offensive rebound by T. Gibson
11:07.0,,,85-80,2,D. McDermott makes 2-pt shot from 19 ft (assist by T. Gibson)
10:46.0,,,85-80,,Personal foul by D. McDermott (drawn by B. Bogdanovic)
10:43.0,Turnover by D. Sloan (lost ball; steal by A. Brooks),,85-80,,
10:40.0,,,85-82,2,A. Brooks makes 2-pt shot from 1 ft (assist by B. Portis)
10:24.0,D. Sloan misses 2-pt shot from 7 ft,,85-82,,
10:24.0,Offensive rebound by W. Reed,,85-82,,
10:24.0,W. Reed makes 2-pt shot from 1 ft,2,87-82,,
10:24.0,Shooting foul by A. Brooks (drawn by W. Reed),,87-82,,
10:24.0,W. Reed makes free throw 1 of 1,1,88-82,,
10:12.0,,,88-82,,A. Brooks misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by W. Reed,,88-82,,
10:01.0,Turnover by A. Bargnani (traveling),,88-82,,
9:43.0,,,88-82,,A. Brooks misses 2-pt shot from 13 ft
9:42.0,Defensive rebound by W. Ellington,,88-82,,
9:36.0,D. Sloan makes 2-pt shot from 1 ft (assist by W. Ellington),2,90-82,,
9:30.0,,,90-82,,Chicago full timeout
9:30.0,,,90-82,,D. Rose enters the game for T. Gibson
9:30.0,,,90-82,,P. Gasol enters the game for A. Brooks
9:15.0,,,90-84,2,P. Gasol makes 2-pt shot from 18 ft (assist by K. Hinrich)
9:00.0,A. Bargnani makes 2-pt shot from 1 ft (assist by D. Sloan),2,92-84,,
8:41.0,,,92-84,,B. Portis misses 2-pt shot from 19 ft
8:40.0,Defensive rebound by W. Ellington,,92-84,,
8:19.0,,,92-84,,Personal foul by K. Hinrich (drawn by W. Reed)
8:19.0,W. Reed makes free throw 1 of 2,1,93-84,,
8:19.0,,,93-84,,J. Butler enters the game for K. Hinrich
8:19.0,J. Johnson enters the game for B. Bogdanovic,,93-84,,
8:19.0,W. Reed makes free throw 2 of 2,1,94-84,,
8:05.0,,,94-84,,D. McDermott misses 3-pt shot from 24 ft
8:04.0,Defensive rebound by D. Sloan,,94-84,,
7:54.0,D. Sloan misses 2-pt shot from 2 ft,,94-84,,
7:53.0,,,94-84,,Defensive rebound by P. Gasol
7:46.0,,,94-84,,Turnover by D. Rose (bad pass; steal by J. Johnson)
7:39.0,W. Ellington misses 3-pt shot from 25 ft,,94-84,,
7:38.0,,,94-84,,Defensive rebound by B. Portis
7:27.0,,,94-84,,J. Butler misses 2-pt shot from 9 ft
7:25.0,,,94-84,,Offensive rebound by J. Butler
7:21.0,,,94-84,,D. Rose misses 3-pt shot from 24 ft
7:20.0,Defensive rebound by W. Ellington,,94-84,,
7:04.0,A. Bargnani misses 3-pt shot from 24 ft,,94-84,,
7:03.0,,,94-84,,Defensive rebound by J. Butler
6:59.0,,,94-86,2,J. Butler makes 2-pt shot at rim
6:29.0,A. Bargnani misses 3-pt shot from 25 ft,,94-86,,
6:28.0,,,94-86,,Defensive rebound by D. McDermott
6:19.0,,,94-86,,Shooting foul by W. Reed (drawn by P. Gasol)
6:19.0,,,94-87,1,P. Gasol makes free throw 1 of 2
6:19.0,B. Lopez enters the game for W. Reed,,94-87,,
6:19.0,,,94-87,,P. Gasol misses free throw 2 of 2
6:17.0,Defensive rebound by A. Bargnani,,94-87,,
6:02.0,D. Sloan makes 2-pt shot from 1 ft,2,96-87,,
5:51.0,Personal foul by A. Bargnani (drawn by J. Butler),,96-87,,
5:51.0,,,96-87,,Chicago full timeout
5:51.0,,,96-87,,T. Gibson enters the game for B. Portis
5:51.0,T. Young enters the game for A. Bargnani,,96-87,,
5:39.0,,,96-87,,J. Butler misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by D. Sloan,,96-87,,
5:20.0,Turnover by D. Sloan (bad pass; steal by J. Butler),,96-87,,
5:16.0,,,96-87,,Shooting foul by J. Johnson (drawn by J. Butler)
5:16.0,,,96-87,,J. Butler misses free throw 1 of 2
5:16.0,,,96-87,,Offensive rebound by Team
5:16.0,J. Jack enters the game for D. Sloan,,96-87,,
5:16.0,,,96-88,1,J. Butler makes free throw 2 of 2
4:52.0,J. Johnson misses 2-pt shot from 17 ft,,96-88,,
4:51.0,,,96-88,,Defensive rebound by D. Rose
4:41.0,Personal foul by J. Johnson (drawn by J. Butler),,96-88,,
4:37.0,,,96-90,2,D. Rose makes 2-pt shot from 1 ft (assist by D. McDermott)
4:12.0,J. Johnson makes 3-pt shot from 23 ft (assist by W. Ellington),3,99-90,,
3:54.0,,,99-93,3,D. McDermott makes 3-pt shot from 24 ft (assist by P. Gasol)
3:37.0,B. Lopez misses 2-pt shot from 2 ft (block by T. Gibson),,99-93,,
3:34.0,Offensive rebound by T. Young,,99-93,,
3:32.0,T. Young misses 2-pt shot from 3 ft (block by P. Gasol),,99-93,,
3:28.0,Offensive rebound by T. Young,,99-93,,
3:28.0,T. Young misses 2-pt shot from 1 ft,,99-93,,
3:27.0,,,99-93,,Defensive rebound by D. McDermott
3:21.0,,,99-93,,Turnover by J. Butler (bad pass; steal by T. Young)
3:21.0,Turnover by T. Young (step out of bounds),,99-93,,
3:17.0,,,99-95,2,J. Butler makes 2-pt shot from 19 ft
3:15.0,Brooklyn full timeout,,99-95,,
3:05.0,J. Jack misses 2-pt shot from 21 ft,,99-95,,
3:03.0,,,99-95,,Defensive rebound by P. Gasol
2:49.0,,,99-95,,Turnover by P. Gasol (bad pass; steal by W. Ellington)
