time,Memphis,pts.away,score,pts.home,Orlando
3:50.0,,,46-53,,D. Dedmon misses free throw 1 of 1
3:49.0,Defensive rebound by J. Green,,46-53,,
3:42.0,,,46-53,,Personal foul by V. Oladipo
3:42.0,L. Stephenson makes free throw 1 of 2,1,47-53,,
3:42.0,Z. Randolph enters the game for J. Green,,47-53,,
3:42.0,L. Stephenson misses free throw 2 of 2,,47-53,,
3:41.0,,,47-53,,Defensive rebound by A. Gordon
3:29.0,,,47-55,2,D. Dedmon makes 2-pt shot from 11 ft (assist by E. Payton)
3:11.0,X. Munford makes 3-pt shot from 26 ft (assist by Z. Randolph),3,50-55,,
2:57.0,,,50-55,,Turnover by E. Payton (lost ball; steal by V. Carter)
2:57.0,,,50-55,,Personal foul by D. Dedmon
2:57.0,Official timeout,,50-55,,
2:57.0,,,50-55,,N. Vucevic enters the game for D. Dedmon
2:57.0,Z. Randolph misses free throw 1 of 2,,50-55,,
2:57.0,Offensive rebound by Team,,50-55,,
2:57.0,Z. Randolph makes free throw 2 of 2,1,51-55,,
2:46.0,Personal foul by J. Martin,,51-55,,
2:46.0,M. Barnes enters the game for J. Martin,,51-55,,
2:46.0,,,51-55,,Turnover by E. Fournier (lost ball; steal by X. Munford)
2:42.0,X. Munford makes 2-pt shot at rim,2,53-55,,
2:23.0,,,53-58,3,E. Fournier makes 3-pt shot from 24 ft (assist by E. Payton)
2:08.0,Z. Randolph misses 2-pt shot from 5 ft,,53-58,,
2:06.0,Offensive rebound by Z. Randolph,,53-58,,
2:06.0,Shooting foul by E. Fournier (drawn by Z. Randolph),,53-58,,
2:06.0,Z. Randolph makes free throw 1 of 2,1,54-58,,
2:06.0,,,54-58,,M. Hezonja enters the game for E. Fournier
2:06.0,Z. Randolph misses free throw 2 of 2,,54-58,,
2:05.0,,,54-58,,Defensive rebound by A. Gordon
1:45.0,,,54-60,2,N. Vucevic makes 2-pt shot from 21 ft (assist by A. Gordon)
1:33.0,Turnover by Z. Randolph (lost ball; steal by N. Vucevic),,54-60,,
1:29.0,,,54-62,2,V. Oladipo makes 2-pt shot at rim (assist by E. Payton)
1:08.0,Z. Randolph misses 2-pt shot from 4 ft,,54-62,,
1:05.0,,,54-62,,Defensive rebound by N. Vucevic
1:02.0,,,54-64,2,E. Payton makes 2-pt shot at rim (assist by M. Hezonja)
1:02.0,,,54-64,,Shooting foul by X. Munford (drawn by E. Payton)
1:02.0,,,54-65,1,E. Payton makes free throw 1 of 1
0:49.0,Z. Randolph makes 2-pt shot from 1 ft (assist by L. Stephenson),2,56-65,,
0:33.0,,,56-65,,N. Vucevic misses 2-pt shot from 21 ft
0:32.0,Defensive rebound by X. Munford,,56-65,,
0:11.0,L. Stephenson misses 2-pt shot from 20 ft,,56-65,,
0:09.0,,,56-65,,Defensive rebound by V. Oladipo
0:04.0,,,56-65,,Shooting foul by X. Munford (drawn by V. Oladipo)
0:04.0,,,56-66,1,V. Oladipo makes free throw 1 of 2
0:04.0,,,56-67,1,V. Oladipo makes free throw 2 of 2
0:00.0,L. Stephenson misses 2-pt shot from 3 ft,,56-67,,
0:00.0,Offensive rebound by Team,,56-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Z. Randolph makes 2-pt shot from 1 ft (assist by J. Farmar),2,58-67,,
11:31.0,Personal foul by J. Farmar,,58-67,,
11:25.0,,,58-67,,Shooting foul by M. Barnes (drawn by E. Fournier)
11:25.0,,,58-68,1,E. Fournier makes free throw 1 of 3
11:25.0,,,58-69,1,E. Fournier makes free throw 2 of 3
11:25.0,,,58-70,1,E. Fournier makes free throw 3 of 3
11:14.0,,,58-70,,Personal foul by V. Oladipo
11:04.0,Z. Randolph makes 2-pt shot at rim,2,60-70,,
10:41.0,,,60-70,,Turnover by D. Dedmon (3 sec)
10:32.0,,,60-70,,Personal foul by V. Oladipo
10:22.0,Z. Randolph misses 2-pt shot from 15 ft,,60-70,,
10:21.0,,,60-70,,Defensive rebound by Team
9:58.0,,,60-72,2,V. Oladipo makes 2-pt shot at rim (assist by E. Fournier)
9:32.0,M. Barnes misses 3-pt shot from 26 ft,,60-72,,
9:31.0,Offensive rebound by Z. Randolph,,60-72,,
9:28.0,J. Farmar misses 3-pt shot from 25 ft,,60-72,,
9:26.0,,,60-72,,Defensive rebound by D. Dedmon
9:18.0,,,60-74,2,V. Oladipo makes 2-pt shot from 1 ft
9:01.0,J. Farmar misses 2-pt shot from 1 ft,,60-74,,
9:00.0,,,60-74,,Defensive rebound by A. Gordon
8:55.0,,,60-76,2,V. Oladipo makes 2-pt shot at rim (assist by E. Payton)
8:33.0,M. Barnes makes 2-pt shot from 1 ft (assist by Z. Randolph),2,62-76,,
8:22.0,,,62-76,,Shooting foul by C. Andersen (drawn by A. Gordon)
8:22.0,,,62-77,1,A. Gordon makes free throw 1 of 2
8:22.0,,,62-78,1,A. Gordon makes free throw 2 of 2
8:07.0,J. Farmar misses 3-pt shot from 23 ft,,62-78,,
8:07.0,Offensive rebound by Team,,62-78,,
7:56.0,T. Allen makes 2-pt shot from 21 ft (assist by J. Farmar),2,64-78,,
7:40.0,,,64-78,,E. Payton misses 2-pt shot from 6 ft
7:39.0,,,64-78,,Offensive rebound by D. Dedmon
7:36.0,,,64-80,2,D. Dedmon makes 2-pt shot at rim
7:27.0,M. Barnes misses 2-pt shot from 2 ft (block by A. Gordon),,64-80,,
7:27.0,Offensive rebound by Team,,64-80,,
7:18.0,M. Barnes misses 2-pt shot from 10 ft,,64-80,,
7:17.0,Offensive rebound by Team,,64-80,,
7:11.0,Turnover by J. Farmar (lost ball; steal by E. Fournier),,64-80,,
7:08.0,,,64-82,2,E. Fournier makes 2-pt shot from 1 ft
7:07.0,Memphis full timeout,,64-82,,
7:07.0,,,64-82,,N. Vucevic enters the game for D. Dedmon
6:51.0,T. Allen misses 3-pt shot from 24 ft,,64-82,,
6:50.0,,,64-82,,Defensive rebound by N. Vucevic
6:34.0,,,64-82,,E. Fournier misses 3-pt shot from 24 ft
6:33.0,,,64-82,,Offensive rebound by E. Payton
6:24.0,,,64-82,,V. Oladipo misses 2-pt shot from 2 ft
6:21.0,Defensive rebound by Z. Randolph,,64-82,,
6:15.0,T. Allen makes 2-pt shot at rim (assist by J. Farmar),2,66-82,,
6:07.0,,,66-82,,Shooting foul by C. Andersen (drawn by E. Payton)
6:07.0,,,66-83,1,E. Payton makes free throw 1 of 2
6:07.0,J. Green enters the game for C. Andersen,,66-83,,
6:07.0,X. Munford enters the game for J. Farmar,,66-83,,
6:07.0,,,66-84,1,E. Payton makes free throw 2 of 2
5:50.0,Z. Randolph misses 2-pt shot from 18 ft,,66-84,,
5:49.0,,,66-84,,Defensive rebound by A. Gordon
5:47.0,,,66-84,,Shooting foul by Z. Randolph (drawn by N. Vucevic)
5:47.0,,,66-84,,N. Vucevic misses free throw 1 of 2
5:47.0,,,66-84,,Offensive rebound by Team
5:47.0,,,66-85,1,N. Vucevic makes free throw 2 of 2
5:37.0,,,66-85,,Personal foul by E. Fournier
5:29.0,T. Allen misses 2-pt shot from 4 ft (block by V. Oladipo),,66-85,,
5:27.0,,,66-85,,Defensive rebound by V. Oladipo
5:26.0,,,66-85,,Shooting foul by M. Barnes (drawn by A. Gordon)
5:26.0,,,66-86,1,A. Gordon makes free throw 1 of 2
5:26.0,,,66-86,,A. Gordon misses free throw 2 of 2
5:25.0,,,66-86,,Offensive rebound by N. Vucevic
5:17.0,,,66-86,,V. Oladipo misses 3-pt shot from 25 ft
5:15.0,Defensive rebound by T. Allen,,66-86,,
5:11.0,T. Allen makes 2-pt shot at rim,2,68-86,,
4:54.0,,,68-88,2,V. Oladipo makes 2-pt shot from 2 ft (assist by N. Vucevic)
4:38.0,T. Allen makes 2-pt shot from 2 ft,2,70-88,,
4:22.0,,,70-88,,E. Fournier misses 2-pt shot at rim
4:20.0,Defensive rebound by M. Barnes,,70-88,,
4:16.0,M. Barnes makes 2-pt shot from 2 ft,2,72-88,,
3:57.0,,,72-88,,A. Gordon misses 2-pt shot from 2 ft (block by J. Green)
3:52.0,Defensive rebound by T. Allen,,72-88,,
3:42.0,Shooting foul by V. Oladipo (drawn by Z. Randolph),,72-88,,
3:42.0,Z. Randolph makes free throw 1 of 2,1,73-88,,
3:42.0,,,73-88,,M. Hezonja enters the game for V. Oladipo
3:42.0,V. Carter enters the game for T. Allen,,73-88,,
3:42.0,Z. Randolph makes free throw 2 of 2,1,74-88,,
3:26.0,,,74-90,2,E. Payton makes 2-pt shot from 1 ft
3:02.0,J. Green makes 2-pt shot from 7 ft (assist by Z. Randolph),2,76-90,,
2:45.0,,,76-92,2,N. Vucevic makes 2-pt shot from 9 ft (assist by E. Payton)
2:24.0,J. Green makes 2-pt shot from 4 ft,2,78-92,,
2:24.0,,,78-92,,Orlando full timeout
2:24.0,,,78-92,,A. Nicholson enters the game for A. Gordon
2:24.0,J. Martin enters the game for Z. Randolph,,78-92,,
2:15.0,Violation by X. Munford (kicked ball),,78-92,,
2:00.0,,,78-92,,A. Nicholson misses 2-pt shot from 18 ft
2:00.0,Defensive rebound by Team,,78-92,,
2:00.0,,,78-92,,Loose ball foul by A. Nicholson
2:00.0,J. Martin makes free throw 1 of 2,1,79-92,,
2:00.0,J. Martin makes free throw 2 of 2,1,80-92,,
1:43.0,,,80-94,2,N. Vucevic makes 2-pt shot from 16 ft
1:28.0,M. Barnes makes 2-pt shot from 1 ft (assist by J. Green),2,82-94,,
1:17.0,Personal foul by J. Green,,82-94,,
1:17.0,,,82-95,1,N. Vucevic makes free throw 1 of 2
1:17.0,,,82-95,,B. Jennings enters the game for E. Payton
1:17.0,,,82-95,,N. Vucevic misses free throw 2 of 2
1:16.0,Defensive rebound by J. Martin,,82-95,,
1:01.0,X. Munford misses 2-pt shot from 13 ft,,82-95,,
1:00.0,,,82-95,,Defensive rebound by B. Jennings
0:50.0,,,82-95,,E. Fournier misses 3-pt shot from 24 ft
0:49.0,Defensive rebound by J. Green,,82-95,,
0:38.0,M. Barnes misses 3-pt shot from 26 ft,,82-95,,
0:36.0,,,82-95,,Defensive rebound by Team
0:28.0,,,82-95,,Shooting foul by X. Munford (drawn by E. Fournier)
0:28.0,,,82-96,1,E. Fournier makes free throw 1 of 2
0:28.0,,,82-97,1,E. Fournier makes free throw 2 of 2
0:17.0,V. Carter misses 2-pt shot from 15 ft,,82-97,,
0:16.0,Offensive rebound by Team,,82-97,,
0:16.0,,,82-97,,Loose ball foul by E. Fournier
0:16.0,,,82-97,,Technical foul by E. Fournier
0:16.0,M. Barnes makes technical free throw,1,83-97,,
0:16.0,M. Barnes makes free throw 1 of 2,1,84-97,,
0:16.0,T. Allen enters the game for V. Carter,,84-97,,
0:16.0,M. Barnes makes free throw 2 of 2,1,85-97,,
0:01.0,,,85-97,,M. Hezonja misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by J. Green,,85-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,85-97,,N. Vucevic misses 2-pt shot from 19 ft
11:32.0,Defensive rebound by M. Barnes,,85-97,,
11:24.0,Turnover by X. Munford (traveling),,85-97,,
11:11.0,,,85-97,,Turnover by M. Hezonja (lost ball)
11:00.0,M. Barnes misses 3-pt shot from 24 ft,,85-97,,
10:59.0,,,85-97,,Defensive rebound by A. Nicholson
10:43.0,Personal take foul by J. Green,,85-97,,
10:43.0,,,85-98,1,N. Vucevic makes free throw 1 of 2
10:43.0,V. Carter enters the game for M. Barnes,,85-98,,
10:43.0,,,85-99,1,N. Vucevic makes free throw 2 of 2
10:31.0,V. Carter misses 3-pt shot from 24 ft,,85-99,,
10:29.0,,,85-99,,Defensive rebound by V. Oladipo
10:24.0,,,85-99,,M. Hezonja misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by J. Martin,,85-99,,
10:13.0,J. Martin misses 2-pt shot from 16 ft,,85-99,,
10:11.0,,,85-99,,Defensive rebound by A. Nicholson
10:05.0,,,85-99,,Turnover by M. Hezonja (bad pass)
9:52.0,Turnover by L. Stephenson (lost ball; steal by N. Vucevic),,85-99,,
9:38.0,Shooting block foul by J. Martin (drawn by A. Nicholson),,85-99,,
9:38.0,,,85-99,,A. Nicholson misses free throw 1 of 2
9:38.0,,,85-99,,Offensive rebound by Team
9:38.0,,,85-100,1,A. Nicholson makes free throw 2 of 2
9:27.0,X. Munford misses 2-pt shot from 1 ft,,85-100,,
9:24.0,Offensive rebound by J. Green,,85-100,,
9:24.0,J. Green misses 2-pt shot from 1 ft,,85-100,,
9:22.0,Offensive rebound by J. Green,,85-100,,
9:22.0,J. Green misses 2-pt shot from 1 ft,,85-100,,
9:20.0,,,85-100,,Defensive rebound by A. Nicholson
9:06.0,,,85-100,,N. Vucevic misses 2-pt shot from 10 ft
9:05.0,Defensive rebound by V. Carter,,85-100,,
8:59.0,Shooting foul by N. Vucevic (drawn by J. Martin),,85-100,,
8:59.0,Official timeout,,85-100,,
8:59.0,,,85-100,,E. Fournier enters the game for M. Hezonja
8:59.0,J. Martin makes free throw 1 of 2,1,86-100,,
8:59.0,J. Martin makes free throw 2 of 2,1,87-100,,
8:35.0,,,87-103,3,B. Jennings makes 3-pt shot from 24 ft (assist by A. Nicholson)
8:19.0,V. Carter makes 2-pt shot at rim (assist by J. Green),2,89-103,,
8:04.0,,,89-106,3,A. Nicholson makes 3-pt shot from 23 ft (assist by B. Jennings)
7:49.0,L. Stephenson makes 2-pt shot at rim,2,91-106,,
7:31.0,,,91-106,,N. Vucevic misses 2-pt shot from 13 ft
7:29.0,Defensive rebound by J. Martin,,91-106,,
7:17.0,L. Stephenson misses 2-pt shot from 1 ft,,91-106,,
7:16.0,Offensive rebound by J. Martin,,91-106,,
7:16.0,J. Martin misses 2-pt shot from 2 ft,,91-106,,
7:14.0,,,91-106,,Defensive rebound by B. Jennings
7:09.0,,,91-109,3,A. Nicholson makes 3-pt shot from 25 ft (assist by V. Oladipo)
7:08.0,Memphis full timeout,,91-109,,
7:08.0,Z. Randolph enters the game for J. Green,,91-109,,
6:51.0,L. Stephenson misses 2-pt shot from 2 ft,,91-109,,
6:49.0,,,91-109,,Defensive rebound by N. Vucevic
6:26.0,,,91-109,,N. Vucevic misses 2-pt shot from 11 ft
6:23.0,Defensive rebound by X. Munford,,91-109,,
6:12.0,Turnover by J. Martin (lost ball; steal by A. Nicholson),,91-109,,
5:53.0,,,91-109,,B. Jennings misses 3-pt shot from 25 ft
5:51.0,Defensive rebound by L. Stephenson,,91-109,,
5:41.0,X. Munford misses 2-pt shot from 11 ft,,91-109,,
5:40.0,,,91-109,,Defensive rebound by E. Fournier
5:20.0,,,91-109,,E. Fournier misses 3-pt shot from 23 ft
5:19.0,Defensive rebound by Z. Randolph,,91-109,,
5:11.0,V. Carter makes 2-pt shot from 13 ft,2,93-109,,
