time,LA Clippers,pts.away,score,pts.home,New Orleans
7:04.0,W. Johnson makes 2-pt shot at rim (assist by J. Crawford),2,29-35,,
6:52.0,,,29-35,,Shooting foul by C. Aldrich (drawn by N. Cole)
6:52.0,,,29-35,,N. Cole misses free throw 1 of 2
6:52.0,,,29-35,,Offensive rebound by Team
6:52.0,C. Paul enters the game for P. Prigioni,,29-35,,
6:52.0,,,29-36,1,N. Cole makes free throw 2 of 2
6:38.0,A. Rivers makes 3-pt shot from 25 ft (assist by J. Crawford),3,32-36,,
6:21.0,,,32-38,2,R. Anderson makes 2-pt shot from 1 ft (assist by J. Holiday)
6:01.0,A. Rivers makes 3-pt shot from 24 ft (assist by J. Crawford),3,35-38,,
5:49.0,,,35-40,2,A. Ajinca makes 2-pt shot from 18 ft (assist by N. Cole)
5:46.0,LA Clippers full timeout,,35-40,,
5:46.0,D. Jordan enters the game for C. Aldrich,,35-40,,
5:46.0,,,35-40,,O. Asik enters the game for A. Ajinca
5:32.0,D. Jordan makes 2-pt shot at rim (assist by A. Rivers),2,37-40,,
5:21.0,,,37-40,,J. Holiday misses 2-pt shot from 9 ft
5:20.0,Defensive rebound by D. Jordan,,37-40,,
5:01.0,C. Paul misses 2-pt shot from 19 ft,,37-40,,
5:00.0,Offensive rebound by D. Jordan,,37-40,,
4:51.0,C. Paul misses 2-pt shot from 10 ft,,37-40,,
4:50.0,,,37-40,,Defensive rebound by N. Cole
4:35.0,,,37-43,3,N. Cole makes 3-pt shot from 24 ft (assist by T. Evans)
4:19.0,C. Paul misses 2-pt shot from 1 ft,,37-43,,
4:17.0,Offensive rebound by C. Paul,,37-43,,
4:17.0,C. Paul makes 2-pt shot from 1 ft,2,39-43,,
4:13.0,,,39-43,,Turnover by T. Evans (traveling)
4:13.0,,,39-43,,E. Gordon enters the game for N. Cole
4:13.0,J. Redick enters the game for W. Johnson,,39-43,,
4:13.0,P. Pierce enters the game for J. Crawford,,39-43,,
3:53.0,A. Rivers misses 2-pt shot from 5 ft,,39-43,,
3:52.0,Offensive rebound by D. Jordan,,39-43,,
3:52.0,D. Jordan misses 2-pt shot at rim,,39-43,,
3:47.0,Offensive rebound by D. Jordan,,39-43,,
3:47.0,D. Jordan makes 2-pt shot from 3 ft,2,41-43,,
3:40.0,,,41-43,,Shooting foul by D. Jordan (drawn by R. Anderson)
3:40.0,,,41-44,1,R. Anderson makes free throw 1 of 2
3:40.0,,,41-44,,A. Gee enters the game for J. Holiday
3:40.0,,,41-44,,A. Davis enters the game for O. Asik
3:40.0,,,41-45,1,R. Anderson makes free throw 2 of 2
3:33.0,Shooting foul by A. Davis (drawn by P. Pierce),,41-45,,
3:33.0,P. Pierce makes free throw 1 of 2,1,42-45,,
3:33.0,L. Mbah a Moute enters the game for A. Rivers,,42-45,,
3:33.0,,,42-45,,D. Cunningham enters the game for R. Anderson
