time,Phoenix,pts.away,score,pts.home,Houston
10:37.0,Shooting foul by C. Capela (drawn by A. Len),,29-41,,
10:37.0,A. Len makes free throw 1 of 2,1,30-41,,
10:37.0,A. Len makes free throw 2 of 2,1,31-41,,
10:28.0,,,31-41,,J. Terry misses 2-pt shot from 3 ft
10:28.0,Defensive rebound by A. Len,,31-41,,
10:21.0,M. Teletovic makes 2-pt shot from 4 ft (assist by A. Goodwin),2,33-41,,
10:14.0,,,33-41,,Turnover by J. Smith (lost ball; steal by A. Goodwin)
10:14.0,A. Goodwin makes 2-pt shot from 1 ft,2,35-41,,
10:14.0,,,35-41,,Houston full timeout
10:14.0,,,35-41,,T. Ariza enters the game for C. Capela
10:14.0,,,35-41,,D. Howard enters the game for J. Smith
10:14.0,,,35-41,,M. Beasley enters the game for C. Brewer
9:58.0,,,35-43,2,M. Beasley makes 2-pt shot from 21 ft (assist by P. Beverley)
9:44.0,J. Leuer misses 2-pt shot from 6 ft (block by D. Howard),,35-43,,
9:43.0,Offensive rebound by Team,,35-43,,
9:36.0,M. Teletovic misses 2-pt shot from 8 ft (block by T. Ariza),,35-43,,
9:35.0,,,35-43,,Defensive rebound by M. Beasley
9:24.0,,,35-43,,Turnover by M. Beasley (lost ball; steal by M. Teletovic)
9:18.0,A. Goodwin makes 2-pt shot at rim,2,37-43,,
9:02.0,,,37-43,,Shooting foul by J. Leuer (drawn by T. Ariza)
9:02.0,,,37-43,,T. Ariza misses free throw 1 of 2
9:02.0,,,37-43,,Offensive rebound by Team
9:02.0,,,37-44,1,T. Ariza makes free throw 2 of 2
8:48.0,M. Teletovic makes 2-pt shot from 22 ft (assist by J. Jenkins),2,39-44,,
8:33.0,,,39-44,,P. Beverley misses 3-pt shot from 24 ft
8:32.0,Defensive rebound by M. Teletovic,,39-44,,
8:21.0,M. Teletovic misses 3-pt shot from 26 ft,,39-44,,
8:20.0,Offensive rebound by J. Leuer,,39-44,,
8:14.0,J. Leuer misses 2-pt shot from 15 ft,,39-44,,
8:13.0,Offensive rebound by A. Len,,39-44,,
8:07.0,M. Teletovic misses 3-pt shot from 22 ft,,39-44,,
8:07.0,,,39-44,,Defensive rebound by D. Howard
8:05.0,,,39-44,,Shooting foul by A. Goodwin (drawn by M. Beasley)
8:05.0,,,39-45,1,M. Beasley makes free throw 1 of 2
8:05.0,T. Chandler enters the game for A. Len,,39-45,,
8:05.0,,,39-45,,M. Beasley misses free throw 2 of 2
8:03.0,Defensive rebound by J. Leuer,,39-45,,
7:57.0,,,39-45,,Personal foul by T. Ariza
7:57.0,,,39-45,,Technical foul by Team
7:57.0,M. Teletovic misses technical free throw,,39-45,,
7:57.0,Offensive rebound by Team,,39-45,,
7:49.0,M. Teletovic makes 2-pt shot from 4 ft (assist by J. Leuer),2,41-45,,
7:40.0,,,41-48,3,T. Ariza makes 3-pt shot from 24 ft
7:24.0,Turnover by J. Jenkins (step out of bounds),,41-48,,
7:24.0,,,41-48,,J. Harden enters the game for J. Terry
7:18.0,R. Price enters the game for A. Goodwin,,41-48,,
7:18.0,Personal foul by M. Teletovic,,41-48,,
7:18.0,D. Booker enters the game for J. Jenkins,,41-48,,
7:18.0,P. Tucker enters the game for J. Leuer,,41-48,,
7:07.0,,,41-48,,M. Beasley misses 2-pt shot from 11 ft
7:06.0,Defensive rebound by T. Chandler,,41-48,,
6:48.0,D. Booker makes 2-pt shot from 20 ft (assist by P. Tucker),2,43-48,,
6:41.0,,,43-48,,D. Howard misses 2-pt shot from 3 ft
6:41.0,Defensive rebound by T. Chandler,,43-48,,
6:31.0,Shooting foul by M. Beasley (drawn by P. Tucker),,43-48,,
6:31.0,P. Tucker makes free throw 1 of 2,1,44-48,,
6:31.0,P. Tucker misses free throw 2 of 2,,44-48,,
6:30.0,,,44-48,,Defensive rebound by D. Howard
6:12.0,,,44-48,,P. Beverley misses 3-pt shot from 24 ft
6:11.0,Defensive rebound by Team,,44-48,,
5:48.0,Phoenix full timeout,,44-48,,
5:48.0,,,44-48,,A. Goudelock enters the game for P. Beverley
5:48.0,Jump ball: J. Harden vs. R. Price (D. Howard gains possession),,,,Jump ball: J. Harden vs. R. Price (D. Howard gains possession)
5:48.0,Turnover by R. Price (lost ball; steal by J. Harden),,44-48,,
5:30.0,,,44-48,,Turnover by T. Ariza (bad pass)
5:15.0,Turnover by T. Chandler (lost ball),,44-48,,
5:07.0,,,44-48,,Turnover by A. Goudelock (lost ball; steal by R. Price)
4:54.0,M. Teletovic makes 3-pt shot from 27 ft (assist by R. Price),3,47-48,,
4:32.0,,,47-50,2,M. Beasley makes 2-pt shot at rim
4:12.0,M. Teletovic misses 2-pt shot from 12 ft,,47-50,,
4:11.0,,,47-50,,Defensive rebound by D. Howard
4:02.0,,,47-50,,A. Goudelock misses 3-pt shot from 24 ft
4:02.0,,,47-50,,Offensive rebound by M. Beasley
3:58.0,,,47-50,,M. Beasley misses 2-pt shot from 15 ft
3:58.0,Defensive rebound by R. Price,,47-50,,
3:54.0,Turnover by M. Teletovic (step out of bounds),,47-50,,
3:54.0,,,47-50,,J. Smith enters the game for M. Beasley
3:54.0,A. Len enters the game for M. Teletovic,,47-50,,
3:36.0,,,47-50,,Shooting foul by P. Tucker (drawn by J. Harden)
3:36.0,,,47-51,1,J. Harden makes free throw 1 of 3
3:36.0,,,47-52,1,J. Harden makes free throw 2 of 3
3:36.0,,,47-52,,C. Capela enters the game for D. Howard
3:36.0,,,47-53,1,J. Harden makes free throw 3 of 3
3:27.0,Turnover by A. Len (lost ball; steal by T. Ariza),,47-53,,
3:23.0,,,47-55,2,T. Ariza makes 2-pt shot from 1 ft
3:10.0,T. Chandler misses 2-pt shot from 9 ft (block by A. Goudelock),,47-55,,
3:10.0,,,47-55,,Defensive rebound by A. Goudelock
3:10.0,Personal foul by P. Tucker,,47-55,,
3:10.0,,,47-55,,A. Goudelock misses free throw 1 of 2
3:10.0,,,47-55,,Offensive rebound by Team
3:10.0,,,47-56,1,A. Goudelock makes free throw 2 of 2
2:53.0,A. Len misses 2-pt shot from 5 ft,,47-56,,
2:51.0,Offensive rebound by A. Len,,47-56,,
2:48.0,A. Len misses 2-pt shot from 3 ft (block by C. Capela),,47-56,,
2:47.0,,,47-56,,Defensive rebound by J. Harden
2:40.0,,,47-56,,A. Goudelock misses 3-pt shot from 23 ft
2:40.0,Defensive rebound by T. Chandler,,47-56,,
2:31.0,D. Booker misses 2-pt shot from 3 ft (block by J. Smith),,47-56,,
2:30.0,Offensive rebound by A. Len,,47-56,,
2:23.0,T. Chandler makes 2-pt shot at rim (assist by A. Len),2,49-56,,
2:18.0,,,49-56,,Houston full timeout
2:18.0,Phoenix full timeout,,49-56,,
2:09.0,,,49-56,,Turnover by J. Harden (lost ball; steal by D. Booker)
2:06.0,D. Booker misses 2-pt shot from 4 ft (block by T. Ariza),,49-56,,
2:06.0,Offensive rebound by Team,,49-56,,
2:02.0,D. Booker misses 3-pt shot from 22 ft,,49-56,,
2:02.0,Offensive rebound by P. Tucker,,49-56,,
1:53.0,R. Price makes 3-pt shot from 27 ft (assist by A. Len),3,52-56,,
1:42.0,,,52-56,,Turnover by A. Goudelock (lost ball; steal by R. Price)
1:38.0,R. Price misses 2-pt shot from 1 ft,,52-56,,
1:36.0,Offensive rebound by T. Chandler,,52-56,,
1:36.0,T. Chandler makes 2-pt shot at rim,2,54-56,,
1:27.0,Personal foul by R. Price,,54-56,,
1:27.0,,,54-57,1,A. Goudelock makes free throw 1 of 2
1:27.0,,,54-58,1,A. Goudelock makes free throw 2 of 2
1:09.0,Turnover by P. Tucker (lost ball; steal by A. Goudelock),,54-58,,
1:07.0,,,54-58,,Shooting foul by R. Price (drawn by J. Harden)
1:07.0,,,54-58,,J. Harden misses free throw 1 of 2
1:07.0,,,54-58,,Offensive rebound by Team
1:07.0,,,54-58,,P. Beverley enters the game for A. Goudelock
1:07.0,,,54-58,,J. Harden misses free throw 2 of 2
1:07.0,Defensive rebound by A. Len,,54-58,,
0:50.0,Turnover by D. Booker (lost ball; steal by T. Ariza),,54-58,,
0:44.0,,,54-58,,T. Ariza misses 3-pt shot from 24 ft
0:43.0,Defensive rebound by P. Tucker,,54-58,,
0:25.0,D. Booker misses 2-pt shot from 3 ft,,54-58,,
0:25.0,Offensive rebound by Team,,54-58,,
0:04.0,P. Tucker makes 3-pt shot from 22 ft (assist by D. Booker),3,57-58,,
0:01.0,,,57-60,2,J. Harden makes 2-pt shot from 3 ft (assist by J. Smith)
0:00.0,D. Booker misses 3-pt shot from 26 ft,,57-60,,
0:00.0,Offensive rebound by Team,,57-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,57-60,,K. McDaniels misses 3-pt shot from 25 ft
11:43.0,,,57-60,,Offensive rebound by Team
11:43.0,Loose ball foul by A. Len,,57-60,,
11:37.0,Personal foul by R. Price,,57-60,,
11:27.0,,,57-60,,Turnover by K. McDaniels (lost ball; steal by T. Chandler)
11:24.0,Turnover by R. Price (lost ball; steal by K. McDaniels),,57-60,,
11:03.0,,,57-62,2,D. Motiejunas makes 2-pt shot from 16 ft (assist by T. Ariza)
10:36.0,P. Tucker misses 2-pt shot from 2 ft (block by D. Howard),,57-62,,
10:36.0,Offensive rebound by Team,,57-62,,
10:36.0,,,57-62,,P. Beverley enters the game for K. McDaniels
10:35.0,Turnover by Team (shot clock),,57-62,,
10:24.0,,,57-65,3,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley)
10:16.0,Turnover by D. Booker (lost ball; steal by D. Motiejunas),,57-65,,
10:15.0,Personal foul by R. Price,,57-65,,
10:07.0,,,57-67,2,D. Howard makes 2-pt shot at rim (assist by D. Motiejunas)
10:04.0,Phoenix full timeout,,57-67,,
9:44.0,,,57-67,,Personal foul by T. Ariza
9:29.0,Turnover by Team (shot clock),,57-67,,
9:15.0,,,57-67,,P. Beverley misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by T. Chandler,,57-67,,
9:10.0,D. Booker misses 2-pt shot from 2 ft (block by T. Ariza),,57-67,,
9:08.0,,,57-67,,Defensive rebound by P. Beverley
9:02.0,,,57-70,3,J. Harden makes 3-pt shot from 25 ft (assist by P. Beverley)
8:40.0,A. Len misses 2-pt shot from 1 ft,,57-70,,
8:39.0,Offensive rebound by P. Tucker,,57-70,,
8:37.0,P. Tucker makes 2-pt shot from 1 ft,2,59-70,,
8:37.0,Shooting foul by D. Motiejunas (drawn by P. Tucker),,59-70,,
8:37.0,P. Tucker makes free throw 1 of 1,1,60-70,,
8:33.0,Personal foul by A. Len,,60-70,,
8:22.0,Personal foul by T. Chandler,,60-70,,
8:22.0,,,60-71,1,D. Motiejunas makes free throw 1 of 2
8:22.0,,,60-72,1,D. Motiejunas makes free throw 2 of 2
8:10.0,R. Price misses 3-pt shot from 22 ft,,60-72,,
8:09.0,Offensive rebound by Team,,60-72,,
7:59.0,P. Tucker makes 2-pt shot at rim,2,62-72,,
7:46.0,,,62-75,3,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley)
7:33.0,P. Tucker makes 2-pt shot from 7 ft,2,64-75,,
7:18.0,,,64-75,,Turnover by T. Ariza (step out of bounds)
6:56.0,Turnover by P. Tucker (lost ball; steal by D. Motiejunas),,64-75,,
6:47.0,,,64-75,,P. Beverley misses 3-pt shot from 23 ft
6:46.0,Defensive rebound by R. Price,,64-75,,
6:35.0,P. Tucker makes 3-pt shot from 24 ft (assist by D. Booker),3,67-75,,
6:21.0,Personal foul by A. Len,,67-75,,
6:21.0,,,67-76,1,D. Howard makes free throw 1 of 2
6:21.0,M. Teletovic enters the game for T. Chandler,,67-76,,
6:21.0,,,67-76,,J. Smith enters the game for D. Motiejunas
6:21.0,,,67-77,1,D. Howard makes free throw 2 of 2
6:05.0,P. Tucker makes 2-pt shot from 1 ft (assist by A. Len),2,69-77,,
5:52.0,,,69-77,,Turnover by J. Harden (lost ball; steal by R. Price)
5:47.0,M. Teletovic makes 3-pt shot from 25 ft (assist by R. Price),3,72-77,,
5:27.0,,,72-79,2,D. Howard makes 2-pt shot at rim (assist by P. Beverley)
5:02.0,R. Price makes 3-pt shot from 23 ft (assist by P. Tucker),3,75-79,,
4:48.0,,,75-79,,J. Harden misses 3-pt shot from 24 ft
4:46.0,Defensive rebound by A. Len,,75-79,,
4:41.0,D. Booker misses 3-pt shot from 24 ft,,75-79,,
4:39.0,,,75-79,,Defensive rebound by J. Smith
4:27.0,,,75-79,,J. Smith misses 2-pt shot from 19 ft
4:26.0,Defensive rebound by R. Price,,75-79,,
4:13.0,P. Tucker misses 3-pt shot from 23 ft,,75-79,,
4:11.0,,,75-79,,Defensive rebound by J. Smith
4:06.0,,,75-79,,Turnover by J. Smith (bad pass)
4:06.0,T. Chandler enters the game for A. Len,,75-79,,
4:06.0,A. Goodwin enters the game for R. Price,,75-79,,
3:48.0,M. Teletovic makes 2-pt shot from 11 ft,2,77-79,,
3:48.0,,,77-79,,Houston full timeout
3:48.0,,,77-79,,C. Capela enters the game for D. Howard
3:48.0,,,77-79,,J. Terry enters the game for P. Beverley
3:36.0,Jump ball: A. Goodwin vs. J. Smith (C. Capela gains possession),,,,Jump ball: A. Goodwin vs. J. Smith (C. Capela gains possession)
3:29.0,,,77-81,2,J. Terry makes 2-pt shot from 3 ft (assist by C. Capela)
3:14.0,T. Chandler makes 2-pt shot at rim (assist by M. Teletovic),2,79-81,,
3:02.0,,,79-81,,Turnover by J. Smith (lost ball; steal by A. Goodwin)
3:00.0,,,79-81,,Personal foul by J. Terry
2:48.0,Turnover by M. Teletovic (lost ball; steal by T. Ariza),,79-81,,
2:44.0,,,79-81,,Turnover by J. Smith (bad pass)
2:25.0,P. Tucker misses 2-pt shot from 3 ft (block by J. Terry),,79-81,,
2:24.0,Offensive rebound by A. Goodwin,,79-81,,
2:23.0,A. Goodwin makes 2-pt shot at rim,2,81-81,,
2:23.0,,,81-81,,Shooting block foul by C. Capela (drawn by A. Goodwin)
2:23.0,A. Goodwin makes free throw 1 of 1,1,82-81,,
2:10.0,,,82-81,,Shooting foul by D. Booker (drawn by C. Capela)
2:10.0,,,82-81,,C. Capela misses free throw 1 of 2
2:10.0,,,82-81,,Offensive rebound by Team
2:10.0,,,82-82,1,C. Capela makes free throw 2 of 2
1:49.0,Shooting foul by J. Terry (drawn by T. Chandler),,82-82,,
1:49.0,T. Chandler makes free throw 1 of 2,1,83-82,,
1:49.0,T. Chandler makes free throw 2 of 2,1,84-82,,
1:38.0,,,84-85,3,T. Ariza makes 3-pt shot from 22 ft (assist by J. Smith)
1:15.0,P. Tucker misses 2-pt shot from 1 ft,,84-85,,
1:15.0,Offensive rebound by T. Chandler,,84-85,,
1:15.0,Shooting foul by J. Smith (drawn by T. Chandler),,84-85,,
1:15.0,T. Chandler makes free throw 1 of 2,1,85-85,,
1:15.0,,,85-85,,D. Howard enters the game for C. Capela
1:15.0,,,85-85,,C. Brewer enters the game for T. Ariza
1:15.0,T. Chandler makes free throw 2 of 2,1,86-85,,
1:03.0,,,86-85,,J. Smith misses 2-pt shot from 2 ft
1:02.0,Defensive rebound by P. Tucker,,86-85,,
0:57.0,D. Booker makes 3-pt shot from 22 ft (assist by P. Tucker),3,89-85,,
0:48.0,,,89-87,2,J. Harden makes 2-pt shot at rim (assist by J. Terry)
0:32.0,P. Tucker misses 3-pt shot from 22 ft,,89-87,,
0:32.0,,,89-87,,Defensive rebound by J. Terry
0:21.0,,,89-90,3,J. Harden makes 3-pt shot from 26 ft (assist by J. Terry)
0:03.0,,,89-90,,Personal block foul by J. Harden
0:03.0,A. Goodwin misses free throw 1 of 2,,89-90,,
0:03.0,Offensive rebound by Team,,89-90,,
0:03.0,A. Goodwin misses free throw 2 of 2,,89-90,,
0:03.0,,,89-90,,Defensive rebound by D. Howard
0:00.0,,,89-90,,D. Howard misses 3-pt shot from 58 ft
0:00.0,,,89-90,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,M. Teletovic misses 3-pt shot from 24 ft,,89-90,,
11:39.0,,,89-90,,Defensive rebound by Team
11:39.0,Personal foul by J. Leuer,,89-90,,
11:15.0,,,89-90,,J. Harden misses 2-pt shot from 16 ft
11:13.0,Defensive rebound by A. Len,,89-90,,
11:03.0,A. Goodwin makes 3-pt shot from 24 ft (assist by A. Len),3,92-90,,
10:35.0,,,92-92,2,J. Harden makes 2-pt shot from 2 ft
10:22.0,M. Teletovic misses 2-pt shot from 4 ft (block by D. Howard),,92-92,,
10:22.0,Offensive rebound by Team,,92-92,,
10:20.0,Turnover by A. Goodwin (bad pass),,92-92,,
10:09.0,,,92-94,2,M. Beasley makes 2-pt shot from 3 ft
9:52.0,M. Teletovic misses 2-pt shot from 11 ft,,92-94,,
9:50.0,,,92-94,,Defensive rebound by D. Howard
9:41.0,,,92-94,,J. Terry misses 3-pt shot from 24 ft
9:40.0,Defensive rebound by M. Teletovic,,92-94,,
9:31.0,A. Len makes 2-pt shot from 17 ft (assist by M. Teletovic),2,94-94,,
9:14.0,,,94-96,2,J. Terry makes 2-pt shot from 19 ft
8:57.0,J. Leuer makes 2-pt shot from 9 ft (assist by A. Len),2,96-96,,
8:44.0,,,96-96,,J. Terry misses 2-pt shot from 4 ft
8:43.0,Defensive rebound by J. Leuer,,96-96,,
8:41.0,,,96-96,,Personal foul by J. Harden
8:41.0,,,96-96,,T. Ariza enters the game for C. Brewer
8:32.0,,,96-96,,Personal foul by J. Terry
8:26.0,J. Leuer misses 2-pt shot from 17 ft,,96-96,,
8:25.0,,,96-96,,Defensive rebound by T. Ariza
8:14.0,,,96-96,,Turnover by J. Harden (lost ball; steal by A. Goodwin)
8:08.0,A. Goodwin misses 2-pt shot at rim,,96-96,,
8:07.0,Offensive rebound by A. Goodwin,,96-96,,
8:07.0,A. Goodwin misses 2-pt shot at rim,,96-96,,
8:07.0,Offensive rebound by J. Leuer,,96-96,,
8:07.0,Shooting foul by J. Terry (drawn by J. Leuer),,96-96,,
8:07.0,J. Leuer makes free throw 1 of 2,1,97-96,,
8:07.0,J. Leuer makes free throw 2 of 2,1,98-96,,
7:56.0,,,98-99,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Terry)
7:35.0,J. Jenkins makes 3-pt shot from 23 ft (assist by A. Goodwin),3,101-99,,
7:25.0,,,101-101,2,M. Beasley makes 2-pt shot from 6 ft (assist by T. Ariza)
7:13.0,M. Teletovic makes 2-pt shot from 2 ft (assist by A. Goodwin),2,103-101,,
6:53.0,,,103-101,,M. Beasley misses 2-pt shot from 7 ft
6:53.0,,,103-101,,Offensive rebound by D. Howard
6:53.0,,,103-103,2,D. Howard makes 2-pt shot from 2 ft
6:36.0,M. Teletovic misses 2-pt shot from 12 ft,,103-103,,
6:34.0,Offensive rebound by J. Leuer,,103-103,,
6:33.0,J. Leuer misses 2-pt shot from 1 ft (block by D. Howard),,103-103,,
6:33.0,Offensive rebound by Team,,103-103,,
6:33.0,D. Booker enters the game for J. Jenkins,,103-103,,
6:33.0,P. Tucker enters the game for J. Leuer,,103-103,,
6:33.0,,,103-103,,C. Capela enters the game for D. Howard
6:23.0,,,103-103,,Shooting block foul by C. Capela (drawn by A. Goodwin)
6:23.0,A. Goodwin makes free throw 1 of 2,1,104-103,,
6:23.0,A. Goodwin makes free throw 2 of 2,1,105-103,,
5:59.0,,,105-103,,M. Beasley misses 2-pt shot from 18 ft
5:59.0,,,105-103,,Offensive rebound by Team
5:59.0,,,105-103,,Turnover by Team (shot clock)
5:59.0,,,105-103,,Houston full timeout
5:59.0,T. Chandler enters the game for A. Len,,105-103,,
5:59.0,,,105-103,,P. Beverley enters the game for M. Beasley
5:35.0,M. Teletovic misses 3-pt shot from 24 ft,,105-103,,
5:34.0,Offensive rebound by P. Tucker,,105-103,,
5:31.0,P. Tucker makes 2-pt shot from 2 ft,2,107-103,,
5:23.0,,,107-103,,Shooting foul by A. Goodwin (drawn by P. Beverley)
5:23.0,,,107-104,1,P. Beverley makes free throw 1 of 2
5:23.0,,,107-104,,P. Beverley misses free throw 2 of 2
5:23.0,Defensive rebound by M. Teletovic,,107-104,,
5:07.0,T. Chandler misses 2-pt shot from 3 ft (block by C. Capela),,107-104,,
5:05.0,Offensive rebound by P. Tucker,,107-104,,
5:02.0,Turnover by P. Tucker (lost ball; steal by J. Harden),,107-104,,
4:58.0,,,107-106,2,T. Ariza makes 2-pt shot at rim (assist by P. Beverley)
