time,Cleveland,pts.away,score,pts.home,Toronto
8:05.0,K. Irving misses 3-pt shot from 23 ft,,5-9,,
8:04.0,,,5-9,,Defensive rebound by Team
7:51.0,,,5-11,2,D. DeRozan makes 2-pt shot from 20 ft
7:39.0,K. Love misses 2-pt shot from 8 ft,,5-11,,
7:38.0,,,5-11,,Defensive rebound by B. Biyombo
7:29.0,,,5-13,2,B. Biyombo makes 2-pt shot from 1 ft (assist by K. Lowry)
7:23.0,Cleveland full timeout,,5-13,,
7:23.0,C. Frye enters the game for T. Thompson,,5-13,,
7:09.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,7-13,,
6:48.0,,,7-15,2,B. Biyombo makes 2-pt shot from 19 ft (assist by D. Carroll)
6:38.0,,,7-15,,Def 3 sec tech foul by B. Biyombo
6:38.0,K. Irving makes technical free throw,1,8-15,,
6:27.0,K. Irving makes 2-pt shot from 1 ft (assist by K. Love),2,10-15,,
6:13.0,,,10-15,,D. DeRozan misses 2-pt shot from 16 ft
6:13.0,,,10-15,,Offensive rebound by B. Biyombo
6:08.0,,,10-18,3,K. Lowry makes 3-pt shot from 25 ft (assist by B. Biyombo)
5:43.0,K. Irving makes 2-pt shot from 2 ft,2,12-18,,
5:29.0,,,12-18,,K. Lowry misses 3-pt shot from 24 ft
5:29.0,Defensive rebound by L. James,,12-18,,
5:12.0,J. Smith misses 3-pt shot from 25 ft,,12-18,,
5:11.0,Offensive rebound by C. Frye,,12-18,,
5:08.0,K. Love makes 3-pt shot from 24 ft (assist by C. Frye),3,15-18,,
4:47.0,,,15-18,,D. DeRozan misses 2-pt shot from 4 ft (block by L. James)
4:47.0,Defensive rebound by Team,,15-18,,
4:37.0,L. James makes 2-pt shot from 2 ft (assist by K. Irving),2,17-18,,
4:28.0,,,17-18,,Toronto full timeout
4:28.0,,,17-18,,P. Patterson enters the game for L. Scola
4:10.0,,,17-18,,D. Carroll misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by K. Irving,,17-18,,
3:58.0,K. Love misses 3-pt shot from 25 ft,,17-18,,
3:57.0,,,17-18,,Defensive rebound by D. DeRozan
3:44.0,,,17-20,2,D. DeRozan makes 2-pt shot from 19 ft
3:27.0,C. Frye makes 3-pt shot from 25 ft (assist by L. James),3,20-20,,
3:02.0,,,20-20,,Turnover by D. DeRozan (lost ball; steal by L. James)
2:51.0,K. Love misses 3-pt shot from 23 ft,,20-20,,
2:50.0,,,20-20,,Defensive rebound by D. DeRozan
2:34.0,Violation by C. Frye (def goaltending),,20-20,,
2:34.0,,,20-22,2,D. Carroll makes 2-pt shot from 2 ft
2:18.0,K. Love misses 3-pt shot from 23 ft,,20-22,,
2:17.0,,,20-22,,Defensive rebound by B. Biyombo
2:02.0,,,20-22,,D. Carroll misses 3-pt shot from 24 ft
2:02.0,Defensive rebound by Team,,20-22,,
2:02.0,,,20-22,,Loose ball foul by B. Biyombo
2:02.0,,,20-22,,C. Joseph enters the game for K. Lowry
1:46.0,,,20-22,,Personal foul by P. Patterson
1:39.0,C. Frye misses 3-pt shot from 24 ft,,20-22,,
1:39.0,,,20-22,,Defensive rebound by C. Joseph
1:25.0,,,20-25,3,P. Patterson makes 3-pt shot from 26 ft (assist by C. Joseph)
1:11.0,Turnover by J. Smith (lost ball; steal by P. Patterson),,20-25,,
0:59.0,,,20-25,,P. Patterson misses 3-pt shot from 26 ft
0:58.0,Defensive rebound by L. James,,20-25,,
0:52.0,,,20-25,,Personal block foul by D. Carroll
0:52.0,L. James makes free throw 1 of 2,1,21-25,,
0:52.0,T. Thompson enters the game for K. Love,,21-25,,
0:52.0,L. James makes free throw 2 of 2,1,22-25,,
0:35.0,,,22-27,2,C. Joseph makes 2-pt shot from 2 ft
0:25.0,K. Irving makes 2-pt shot from 16 ft,2,24-27,,
0:03.0,,,24-27,,D. DeRozan misses 2-pt shot from 21 ft
0:03.0,Defensive rebound by Team,,24-27,,
0:00.0,J. Smith misses 3-pt shot from 25 ft,,24-27,,
0:00.0,Offensive rebound by Team,,24-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,I. Shumpert misses 3-pt shot from 25 ft,,24-27,,
11:36.0,,,24-27,,Defensive rebound by C. Joseph
11:16.0,,,24-27,,C. Joseph misses 3-pt shot from 26 ft
11:15.0,Defensive rebound by M. Dellavedova,,24-27,,
11:04.0,L. James misses 3-pt shot from 26 ft,,24-27,,
11:04.0,,,24-27,,Defensive rebound by T. Ross
10:51.0,,,24-29,2,J. Johnson makes 2-pt shot from 3 ft (assist by K. Lowry)
10:29.0,R. Jefferson enters the game for C. Frye,,24-29,,
10:26.0,M. Dellavedova misses 3-pt shot from 24 ft,,24-29,,
10:25.0,,,24-29,,Defensive rebound by P. Patterson
10:22.0,,,24-29,,Turnover by P. Patterson (lost ball; steal by I. Shumpert)
10:10.0,,,24-29,,Violation by P. Patterson (kicked ball)
10:04.0,Turnover by M. Dellavedova (lost ball),,24-29,,
9:52.0,,,24-29,,J. Johnson misses 2-pt shot from 6 ft (block by M. Dellavedova)
9:52.0,,,24-29,,Offensive rebound by J. Johnson
9:52.0,K. Irving enters the game for L. James,,24-29,,
9:51.0,Jump ball: M. Dellavedova vs. J. Johnson (P. Patterson gains possession),,,,Jump ball: M. Dellavedova vs. J. Johnson (P. Patterson gains possession)
9:43.0,,,24-31,2,C. Joseph makes 2-pt shot from 1 ft
9:29.0,M. Dellavedova misses 3-pt shot from 25 ft,,24-31,,
9:28.0,Offensive rebound by I. Shumpert,,24-31,,
9:16.0,K. Irving makes 2-pt shot from 2 ft,2,26-31,,
9:09.0,,,26-31,,Offensive charge foul by J. Johnson
9:09.0,,,26-31,,Turnover by J. Johnson (offensive foul)
9:02.0,K. Irving misses 3-pt shot from 26 ft,,26-31,,
9:01.0,,,26-31,,Defensive rebound by K. Lowry
8:56.0,Personal block foul by M. Dellavedova,,26-31,,
8:56.0,Official timeout,,26-31,,
8:42.0,,,26-34,3,T. Ross makes 3-pt shot from 23 ft (assist by J. Johnson)
8:22.0,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova),2,28-34,,
7:59.0,,,28-34,,T. Ross misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by K. Irving,,28-34,,
7:54.0,Turnover by K. Irving (lost ball; steal by T. Ross),,28-34,,
7:50.0,,,28-36,2,P. Patterson makes 2-pt shot at rim (assist by T. Ross)
7:40.0,Offensive charge foul by K. Irving,,28-36,,
7:40.0,Turnover by K. Irving (offensive foul),,28-36,,
7:40.0,,,28-36,,B. Biyombo enters the game for J. Johnson
7:40.0,L. James enters the game for M. Dellavedova,,28-36,,
7:40.0,K. Love enters the game for R. Jefferson,,28-36,,
7:28.0,,,28-39,3,K. Lowry makes 3-pt shot from 26 ft
7:02.0,L. James makes 2-pt shot from 22 ft,2,30-39,,
6:54.0,Personal foul by K. Irving,,30-39,,
6:48.0,,,30-39,,C. Joseph misses 2-pt shot from 20 ft
6:47.0,Defensive rebound by K. Love,,30-39,,
6:35.0,Shooting foul by B. Biyombo (drawn by I. Shumpert),,30-39,,
6:35.0,I. Shumpert makes free throw 1 of 2,1,31-39,,
6:35.0,,,31-39,,D. Carroll enters the game for T. Ross
6:35.0,I. Shumpert misses free throw 2 of 2,,31-39,,
6:31.0,,,31-39,,Defensive rebound by Team
6:16.0,,,31-42,3,K. Lowry makes 3-pt shot from 28 ft (assist by C. Joseph)
5:48.0,L. James makes 2-pt shot from 20 ft,2,33-42,,
5:40.0,,,33-42,,Toronto full timeout
5:40.0,,,33-42,,D. DeRozan enters the game for C. Joseph
5:40.0,J. Smith enters the game for I. Shumpert,,33-42,,
5:31.0,,,33-44,2,K. Lowry makes 2-pt shot from 1 ft
5:18.0,L. James makes 2-pt shot from 17 ft (assist by K. Irving),2,35-44,,
5:00.0,,,35-46,2,D. DeRozan makes 2-pt shot from 14 ft
4:45.0,L. James misses 2-pt shot from 21 ft,,35-46,,
4:44.0,,,35-46,,Defensive rebound by B. Biyombo
4:35.0,,,35-48,2,P. Patterson makes 2-pt shot from 3 ft (assist by K. Lowry)
4:33.0,Cleveland full timeout,,35-48,,
4:14.0,Turnover by K. Love (lost ball; steal by D. Carroll),,35-48,,
4:07.0,,,35-51,3,K. Lowry makes 3-pt shot from 27 ft (assist by D. Carroll)
3:50.0,K. Irving makes 2-pt shot from 21 ft,2,37-51,,
3:26.0,,,37-51,,Turnover by D. DeRozan (lost ball; steal by T. Thompson)
3:25.0,,,37-51,,Personal foul by D. DeRozan
3:11.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,39-51,,
2:43.0,,,39-51,,D. DeRozan misses 3-pt shot from 27 ft
2:42.0,,,39-51,,Offensive rebound by K. Lowry
2:36.0,,,39-51,,D. Carroll misses 3-pt shot from 27 ft
2:36.0,,,39-51,,Offensive rebound by P. Patterson
2:34.0,Personal foul by T. Thompson,,39-51,,
2:28.0,,,39-51,,K. Lowry misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by K. Love,,39-51,,
2:11.0,T. Thompson misses 2-pt shot from 4 ft,,39-51,,
2:11.0,,,39-51,,Defensive rebound by B. Biyombo
2:01.0,,,39-53,2,K. Lowry makes 2-pt shot from 6 ft (assist by D. DeRozan)
1:45.0,K. Irving misses 3-pt shot from 24 ft,,39-53,,
1:44.0,,,39-53,,Defensive rebound by P. Patterson
1:33.0,,,39-53,,P. Patterson misses 3-pt shot from 23 ft
1:32.0,Defensive rebound by J. Smith,,39-53,,
1:31.0,,,39-53,,Personal foul by D. Carroll
1:31.0,M. Dellavedova enters the game for T. Thompson,,39-53,,
1:31.0,C. Frye enters the game for K. Irving,,39-53,,
1:21.0,L. James misses 3-pt shot from 25 ft,,39-53,,
1:21.0,,,39-53,,Defensive rebound by B. Biyombo
1:09.0,,,39-55,2,D. DeRozan makes 2-pt shot from 3 ft
0:44.0,J. Smith misses 2-pt shot from 20 ft,,39-55,,
0:44.0,Offensive rebound by Team,,39-55,,
0:44.0,Turnover by Team (shot clock),,39-55,,
0:44.0,,,39-55,,Toronto full timeout
0:44.0,T. Thompson enters the game for C. Frye,,39-55,,
0:32.0,,,39-57,2,K. Lowry makes 2-pt shot from 22 ft
0:09.0,Shooting foul by B. Biyombo (drawn by L. James),,39-57,,
0:09.0,L. James makes free throw 1 of 2,1,40-57,,
0:09.0,,,40-57,,T. Ross enters the game for B. Biyombo
0:09.0,I. Shumpert enters the game for K. Love,,40-57,,
0:09.0,L. James makes free throw 2 of 2,1,41-57,,
0:03.0,,,41-57,,D. DeRozan misses 2-pt shot from 21 ft
0:02.0,Defensive rebound by J. Smith,,41-57,,
0:00.0,J. Smith misses 3-pt shot from 70 ft,,41-57,,
0:00.0,Offensive rebound by Team,,41-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,L. James misses 2-pt shot from 23 ft,,41-57,,
11:44.0,,,41-57,,Defensive rebound by K. Lowry
11:28.0,,,41-59,2,D. DeRozan makes 2-pt shot from 10 ft
11:04.0,Turnover by T. Thompson (lost ball; steal by D. DeRozan),,41-59,,
10:54.0,,,41-59,,K. Lowry misses 2-pt shot from 14 ft
10:53.0,,,41-59,,Offensive rebound by B. Biyombo
10:48.0,,,41-59,,D. Carroll misses 2-pt shot from 9 ft
10:47.0,Defensive rebound by L. James,,41-59,,
10:38.0,K. Irving makes 2-pt shot from 15 ft,2,43-59,,
10:20.0,,,43-59,,D. DeRozan misses 2-pt shot from 19 ft
10:19.0,Defensive rebound by T. Thompson,,43-59,,
10:13.0,Turnover by K. Irving (lost ball; steal by L. Scola),,43-59,,
10:10.0,,,43-59,,Turnover by B. Biyombo (lost ball; steal by K. Irving)
10:08.0,Cleveland full timeout,,43-59,,
9:50.0,K. Irving makes 3-pt shot from 25 ft,3,46-59,,
9:32.0,,,46-59,,D. Carroll misses 2-pt shot from 3 ft
9:32.0,Defensive rebound by K. Love,,46-59,,
9:23.0,K. Irving makes 3-pt shot from 24 ft (assist by J. Smith),3,49-59,,
9:01.0,,,49-59,,D. Carroll misses 3-pt shot from 26 ft
9:00.0,Defensive rebound by K. Love,,49-59,,
8:50.0,J. Smith makes 3-pt shot from 23 ft (assist by K. Irving),3,52-59,,
8:23.0,,,52-61,2,D. DeRozan makes 2-pt shot from 17 ft
8:06.0,K. Love misses 2-pt shot from 3 ft,,52-61,,
8:05.0,,,52-61,,Defensive rebound by B. Biyombo
7:52.0,,,52-61,,B. Biyombo misses 2-pt shot from 2 ft
7:51.0,,,52-61,,Offensive rebound by D. Carroll
7:50.0,,,52-61,,B. Biyombo misses 2-pt shot from 3 ft
7:48.0,Defensive rebound by K. Love,,52-61,,
7:46.0,,,52-61,,Personal take foul by K. Lowry
7:28.0,Turnover by T. Thompson (lost ball; steal by K. Lowry),,52-61,,
7:26.0,Personal foul by T. Thompson,,52-61,,
7:13.0,,,52-63,2,D. DeRozan makes 2-pt shot from 20 ft (assist by K. Lowry)
6:53.0,K. Love misses 2-pt shot from 4 ft (block by B. Biyombo),,52-63,,
6:52.0,Offensive rebound by T. Thompson,,52-63,,
6:50.0,T. Thompson misses 2-pt shot from 2 ft (block by B. Biyombo),,52-63,,
6:49.0,Offensive rebound by K. Love,,52-63,,
6:49.0,K. Love misses 2-pt shot at rim,,52-63,,
6:49.0,,,52-63,,Defensive rebound by Team
6:49.0,Loose ball foul by T. Thompson,,52-63,,
6:31.0,,,52-63,,L. Scola misses 3-pt shot from 23 ft
6:31.0,Defensive rebound by T. Thompson,,52-63,,
6:25.0,,,52-63,,Personal block foul by D. DeRozan
6:19.0,Turnover by K. Irving (lost ball; steal by K. Lowry),,52-63,,
6:13.0,,,52-63,,Shooting foul by J. Smith (drawn by D. DeRozan)
6:13.0,,,52-64,1,D. DeRozan makes free throw 1 of 2
6:13.0,,,52-65,1,D. DeRozan makes free throw 2 of 2
6:03.0,,,52-65,,Personal foul by L. Scola
5:50.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,54-65,,
5:34.0,,,54-67,2,K. Lowry makes 2-pt shot from 2 ft
5:18.0,,,54-67,,P. Patterson enters the game for L. Scola
5:12.0,K. Irving misses 3-pt shot from 23 ft,,54-67,,
5:12.0,Offensive rebound by T. Thompson,,54-67,,
5:11.0,,,54-67,,Personal foul by K. Lowry
5:01.0,K. Love makes 2-pt shot from 6 ft (assist by L. James),2,56-67,,
4:41.0,,,56-69,2,K. Lowry makes 2-pt shot from 15 ft
4:18.0,K. Love misses 2-pt shot from 14 ft,,56-69,,
4:17.0,,,56-69,,Defensive rebound by D. DeRozan
3:59.0,,,56-71,2,K. Lowry makes 2-pt shot at rim
3:59.0,Cleveland full timeout,,56-71,,
3:35.0,L. James makes 3-pt shot from 23 ft (assist by K. Irving),3,59-71,,
3:06.0,,,59-71,,Turnover by Team (shot clock)
2:44.0,K. Irving misses 2-pt shot from 17 ft,,59-71,,
2:43.0,,,59-71,,Defensive rebound by Team
2:32.0,,,59-73,2,D. DeRozan makes 2-pt shot from 12 ft (assist by K. Lowry)
2:18.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,62-73,,
1:54.0,,,62-73,,D. Carroll misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by K. Irving,,62-73,,
1:48.0,K. Irving misses 2-pt shot from 1 ft,,62-73,,
1:47.0,Offensive rebound by L. James,,62-73,,
1:43.0,J. Smith makes 3-pt shot from 26 ft (assist by K. Love),3,65-73,,
1:43.0,,,65-73,,Toronto full timeout
1:43.0,,,65-73,,C. Joseph enters the game for K. Lowry
1:29.0,,,65-73,,D. DeRozan misses 2-pt shot from 21 ft
1:28.0,Defensive rebound by K. Love,,65-73,,
1:21.0,J. Smith misses 3-pt shot from 25 ft,,65-73,,
1:21.0,,,65-73,,Defensive rebound by C. Joseph
1:13.0,,,65-73,,Shooting foul by J. Smith (drawn by D. Carroll)
1:13.0,,,65-74,1,D. Carroll makes free throw 1 of 3
1:13.0,,,65-75,1,D. Carroll makes free throw 2 of 3
1:13.0,,,65-76,1,D. Carroll makes free throw 3 of 3
0:52.0,K. Irving makes 2-pt shot from 17 ft,2,67-76,,
0:34.0,Personal foul by L. James,,67-76,,
0:34.0,,,67-77,1,P. Patterson makes free throw 1 of 2
0:34.0,,,67-78,1,P. Patterson makes free throw 2 of 2
0:16.0,K. Irving makes 2-pt shot from 16 ft,2,69-78,,
0:01.0,,,69-78,,C. Joseph misses 2-pt shot from 17 ft
0:00.0,Defensive rebound by T. Thompson,,69-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,69-78,,T. Ross misses 2-pt shot from 8 ft
11:36.0,Defensive rebound by C. Frye,,69-78,,
11:19.0,R. Jefferson makes 2-pt shot from 1 ft,2,71-78,,
11:04.0,Personal foul by C. Frye,,71-78,,
10:53.0,,,71-78,,C. Joseph misses 2-pt shot from 5 ft
10:52.0,Defensive rebound by C. Frye,,71-78,,
10:44.0,C. Frye makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,74-78,,
10:29.0,Violation by I. Shumpert (kicked ball),,74-78,,
10:29.0,,,74-78,,Offensive foul by K. Lowry
10:29.0,,,74-78,,Turnover by K. Lowry (offensive foul)
10:16.0,C. Frye makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,77-78,,
10:15.0,,,77-78,,Toronto full timeout
10:15.0,,,77-78,,D. DeRozan enters the game for T. Ross
10:15.0,,,77-78,,B. Biyombo enters the game for J. Johnson
9:58.0,,,77-80,2,K. Lowry makes 2-pt shot from 2 ft (assist by P. Patterson)
9:58.0,,,77-80,,Shooting foul by I. Shumpert (drawn by K. Lowry)
9:58.0,,,77-81,1,K. Lowry makes free throw 1 of 1
9:42.0,C. Frye makes 3-pt shot from 23 ft (assist by R. Jefferson),3,80-81,,
9:15.0,,,80-83,2,C. Joseph makes 2-pt shot from 12 ft
8:56.0,L. James makes 2-pt shot at rim (assist by M. Dellavedova),2,82-83,,
8:30.0,,,82-83,,K. Lowry misses 3-pt shot from 26 ft
8:29.0,Defensive rebound by C. Frye,,82-83,,
8:20.0,L. James makes 2-pt shot from 4 ft,2,84-83,,
8:05.0,,,84-85,2,D. DeRozan makes 2-pt shot from 11 ft
7:47.0,R. Jefferson makes 2-pt shot from 1 ft (assist by L. James),2,86-85,,
7:23.0,,,86-87,2,C. Joseph makes 2-pt shot from 4 ft
7:03.0,M. Dellavedova makes 2-pt shot from 5 ft,2,88-87,,
6:42.0,,,88-89,2,D. DeRozan makes 2-pt shot from 3 ft
6:40.0,Cleveland full timeout,,88-89,,
6:40.0,K. Irving enters the game for I. Shumpert,,88-89,,
6:24.0,R. Jefferson makes 2-pt shot at rim (assist by L. James),2,90-89,,
6:05.0,,,90-89,,Turnover by P. Patterson (lost ball; steal by L. James)
6:04.0,Shooting foul by P. Patterson (drawn by L. James),,90-89,,
6:04.0,L. James makes free throw 1 of 2,1,91-89,,
6:04.0,L. James makes free throw 2 of 2,1,92-89,,
5:41.0,,,92-91,2,K. Lowry makes 2-pt shot from 6 ft
5:41.0,Shooting block foul by K. Irving (drawn by K. Lowry),,92-91,,
5:41.0,,,92-91,,D. Carroll enters the game for C. Joseph
5:41.0,,,92-92,1,K. Lowry makes free throw 1 of 1
5:28.0,L. James makes 2-pt shot at rim (assist by M. Dellavedova),2,94-92,,
5:10.0,,,94-94,2,D. DeRozan makes 2-pt shot from 9 ft
5:00.0,,,94-94,,Personal foul by K. Lowry
4:53.0,R. Jefferson makes 2-pt shot at rim (assist by L. James),2,96-94,,
4:37.0,,,96-96,2,D. DeRozan makes 2-pt shot from 18 ft
4:12.0,C. Frye misses 3-pt shot from 24 ft,,96-96,,
4:12.0,,,96-96,,Defensive rebound by D. Carroll
3:59.0,,,96-96,,Shooting foul by C. Frye (drawn by D. DeRozan)
3:59.0,,,96-97,1,D. DeRozan makes free throw 1 of 2
3:59.0,,,96-98,1,D. DeRozan makes free throw 2 of 2
3:38.0,C. Frye misses 3-pt shot from 25 ft,,96-98,,
3:34.0,,,96-98,,Defensive rebound by Team
3:23.0,Personal foul by L. James,,96-98,,
3:23.0,,,96-99,1,D. Carroll makes free throw 1 of 2
3:23.0,,,96-99,,D. Carroll misses free throw 2 of 2
3:22.0,Defensive rebound by L. James,,96-99,,
3:09.0,L. James misses 2-pt shot from 3 ft,,96-99,,
3:09.0,,,96-99,,Defensive rebound by B. Biyombo
2:56.0,,,96-99,,Turnover by K. Lowry (traveling)
2:56.0,Official timeout,,96-99,,
2:46.0,Turnover by L. James (lost ball; steal by K. Lowry),,96-99,,
2:43.0,,,96-99,,Shooting foul by L. James (drawn by K. Lowry)
2:43.0,,,96-100,1,K. Lowry makes free throw 1 of 2
2:43.0,,,96-100,,K. Lowry misses free throw 2 of 2
2:41.0,Defensive rebound by L. James,,96-100,,
2:27.0,M. Dellavedova misses 3-pt shot from 25 ft,,96-100,,
2:27.0,Offensive rebound by L. James,,96-100,,
2:23.0,C. Frye misses 3-pt shot from 26 ft,,96-100,,
2:23.0,,,96-100,,Defensive rebound by B. Biyombo
2:22.0,Personal foul by M. Dellavedova,,96-100,,
2:22.0,,,96-101,1,B. Biyombo makes free throw 1 of 2
2:22.0,J. Smith enters the game for M. Dellavedova,,96-101,,
2:22.0,,,96-101,,B. Biyombo misses free throw 2 of 2
2:21.0,Defensive rebound by C. Frye,,96-101,,
2:00.0,K. Irving makes 3-pt shot from 27 ft,3,99-101,,
1:37.0,,,99-101,,D. DeRozan misses 2-pt shot from 16 ft
1:36.0,,,99-101,,Offensive rebound by P. Patterson
1:33.0,,,99-103,2,D. DeRozan makes 2-pt shot from 4 ft (assist by P. Patterson)
1:12.0,J. Smith misses 3-pt shot from 26 ft (block by B. Biyombo),,99-103,,
1:10.0,,,99-103,,Defensive rebound by P. Patterson
0:47.0,,,99-103,,K. Lowry misses 2-pt shot from 13 ft
0:46.0,,,99-103,,Offensive rebound by B. Biyombo
0:42.0,,,99-103,,Toronto full timeout
0:42.0,I. Shumpert enters the game for K. Irving,,99-103,,
0:42.0,T. Thompson enters the game for C. Frye,,99-103,,
0:23.0,,,99-105,2,K. Lowry makes 2-pt shot from 1 ft
0:23.0,Cleveland full timeout,,99-105,,
0:23.0,K. Irving enters the game for T. Thompson,,99-105,,
0:23.0,C. Frye enters the game for I. Shumpert,,99-105,,
0:13.0,J. Smith misses 3-pt shot from 25 ft,,99-105,,
0:13.0,Offensive rebound by L. James,,99-105,,
0:06.0,K. Irving misses 3-pt shot from 28 ft,,99-105,,
0:05.0,,,99-105,,Defensive rebound by B. Biyombo
0:05.0,Personal take foul by C. Frye,,99-105,,
0:05.0,,,99-105,,B. Biyombo misses free throw 1 of 2
0:05.0,,,99-105,,Offensive rebound by Team
0:05.0,,,99-105,,B. Biyombo misses free throw 2 of 2
0:05.0,Defensive rebound by C. Frye,,99-105,,
0:04.0,Cleveland full timeout,,99-105,,
0:04.0,,,99-105,,C. Joseph enters the game for B. Biyombo
0:00.0,K. Irving misses 2-pt shot from 21 ft,,99-105,,
0:00.0,Offensive rebound by Team,,99-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
