time,Charlotte,pts.away,score,pts.home,Miami
0:56.0,A. Jefferson makes free throw 1 of 2,1,19-36,,
0:56.0,A. Jefferson makes free throw 2 of 2,1,20-36,,
0:45.0,,,20-39,3,J. Richardson makes 3-pt shot from 25 ft (assist by L. Deng)
0:36.0,,,20-39,,Personal foul by J. Richardson
0:36.0,K. Walker makes free throw 1 of 2,1,21-39,,
0:36.0,K. Walker makes free throw 2 of 2,1,22-39,,
0:31.0,,,22-41,2,G. Dragic makes 2-pt shot from 2 ft
0:10.0,K. Walker misses 3-pt shot from 25 ft,,22-41,,
0:09.0,,,22-41,,Defensive rebound by L. Deng
0:02.0,,,22-41,,G. Dragic misses 2-pt shot from 4 ft
0:00.0,,,22-41,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,N. Batum makes 2-pt shot from 2 ft,2,24-41,,
11:46.0,Shooting foul by J. Winslow (drawn by N. Batum),,24-41,,
11:46.0,N. Batum makes free throw 1 of 1,1,25-41,,
11:21.0,,,25-41,,J. Richardson misses 3-pt shot from 27 ft
11:20.0,Defensive rebound by A. Jefferson,,25-41,,
11:07.0,C. Lee misses 3-pt shot from 24 ft,,25-41,,
11:06.0,,,25-41,,Defensive rebound by J. Richardson
10:52.0,,,25-43,2,J. Winslow makes 2-pt shot from 2 ft
10:36.0,J. Lin misses 2-pt shot from 16 ft,,25-43,,
10:35.0,,,25-43,,Defensive rebound by J. Johnson
10:28.0,,,25-43,,Turnover by J. Johnson (lost ball; steal by C. Lee)
10:15.0,,,25-43,,Personal foul by A. Stoudemire
10:15.0,,,25-43,,H. Whiteside enters the game for A. Stoudemire
10:06.0,N. Batum makes 3-pt shot from 25 ft (assist by J. Lin),3,28-43,,
9:42.0,,,28-43,,H. Whiteside misses 2-pt shot from 8 ft
9:41.0,Defensive rebound by C. Lee,,28-43,,
9:33.0,C. Lee misses 2-pt shot from 3 ft,,28-43,,
9:32.0,,,28-43,,Defensive rebound by H. Whiteside
9:26.0,,,28-45,2,J. Winslow makes 2-pt shot from 1 ft (assist by G. Dragic)
9:09.0,N. Batum misses 3-pt shot from 25 ft,,28-45,,
9:08.0,,,28-45,,Defensive rebound by J. Richardson
8:59.0,,,28-45,,G. Dragic misses 2-pt shot from 12 ft
8:58.0,Defensive rebound by Team,,28-45,,
8:58.0,Official timeout,,28-45,,
8:34.0,J. Lin makes 2-pt shot from 2 ft,2,30-45,,
8:11.0,,,30-47,2,J. Johnson makes 2-pt shot from 12 ft
7:54.0,Shooting foul by H. Whiteside (drawn by A. Jefferson),,30-47,,
7:54.0,A. Jefferson makes free throw 1 of 2,1,31-47,,
7:54.0,T. Daniels enters the game for C. Lee,,31-47,,
7:54.0,A. Jefferson makes free throw 2 of 2,1,32-47,,
7:44.0,,,32-47,,Turnover by J. Richardson (lost ball; steal by N. Batum)
7:40.0,,,32-47,,Shooting block foul by J. Winslow (drawn by F. Kaminsky)
7:40.0,F. Kaminsky misses free throw 1 of 2,,32-47,,
7:40.0,Offensive rebound by Team,,32-47,,
7:40.0,,,32-47,,L. Deng enters the game for J. Winslow
7:40.0,,,32-47,,D. Wade enters the game for G. Dragic
7:40.0,F. Kaminsky misses free throw 2 of 2,,32-47,,
7:39.0,,,32-47,,Defensive rebound by H. Whiteside
7:23.0,,,32-49,2,D. Wade makes 2-pt shot from 8 ft (assist by J. Richardson)
7:05.0,Shooting foul by H. Whiteside (drawn by A. Jefferson),,32-49,,
7:05.0,A. Jefferson makes free throw 1 of 2,1,33-49,,
7:05.0,,,33-49,,A. Stoudemire enters the game for H. Whiteside
7:05.0,A. Jefferson misses free throw 2 of 2,,33-49,,
7:04.0,,,33-49,,Defensive rebound by A. Stoudemire
6:45.0,,,33-51,2,D. Wade makes 2-pt shot from 3 ft
6:41.0,Charlotte full timeout,,33-51,,
6:30.0,N. Batum makes 2-pt shot from 8 ft (assist by J. Lin),2,35-51,,
6:13.0,,,35-51,,Shooting foul by F. Kaminsky (drawn by L. Deng)
6:13.0,,,35-52,1,L. Deng makes free throw 1 of 2
6:13.0,C. Zeller enters the game for A. Jefferson,,35-52,,
6:13.0,K. Walker enters the game for T. Daniels,,35-52,,
6:13.0,,,35-53,1,L. Deng makes free throw 2 of 2
6:04.0,Shooting foul by J. Richardson (drawn by C. Zeller),,35-53,,
6:04.0,C. Zeller makes free throw 1 of 2,1,36-53,,
6:04.0,M. Williams enters the game for F. Kaminsky,,36-53,,
6:04.0,C. Zeller makes free throw 2 of 2,1,37-53,,
5:48.0,,,37-55,2,J. Johnson makes 2-pt shot from 12 ft
5:27.0,Shooting foul by J. Johnson (drawn by J. Lin),,37-55,,
5:27.0,J. Lin makes free throw 1 of 2,1,38-55,,
5:27.0,,,38-55,,G. Dragic enters the game for J. Johnson
5:27.0,J. Lin makes free throw 2 of 2,1,39-55,,
5:12.0,,,39-55,,D. Wade misses 2-pt shot from 5 ft
5:11.0,,,39-55,,Offensive rebound by A. Stoudemire
5:08.0,,,39-55,,A. Stoudemire misses 2-pt shot from 1 ft
5:07.0,,,39-55,,Offensive rebound by D. Wade
5:06.0,,,39-55,,D. Wade misses 2-pt shot from 6 ft
5:05.0,,,39-55,,Offensive rebound by L. Deng
5:03.0,,,39-57,2,L. Deng makes 2-pt shot from 1 ft
4:43.0,M. Williams makes 2-pt shot from 8 ft,2,41-57,,
4:36.0,,,41-57,,Miami full timeout
4:27.0,,,41-59,2,D. Wade makes 2-pt shot from 2 ft
4:08.0,N. Batum makes 2-pt shot from 14 ft,2,43-59,,
3:50.0,,,43-59,,J. Richardson misses 3-pt shot from 25 ft
3:49.0,,,43-59,,Offensive rebound by L. Deng
3:38.0,,,43-59,,Shooting foul by N. Batum (drawn by A. Stoudemire)
3:38.0,,,43-60,1,A. Stoudemire makes free throw 1 of 2
3:38.0,,,43-61,1,A. Stoudemire makes free throw 2 of 2
3:19.0,K. Walker misses 3-pt shot from 26 ft,,43-61,,
3:18.0,Offensive rebound by M. Williams,,43-61,,
3:11.0,Shooting foul by L. Deng (drawn by N. Batum),,43-61,,
3:11.0,N. Batum misses free throw 1 of 2,,43-61,,
3:11.0,Offensive rebound by Team,,43-61,,
3:11.0,,,43-61,,H. Whiteside enters the game for A. Stoudemire
3:11.0,N. Batum makes free throw 2 of 2,1,44-61,,
2:58.0,,,44-63,2,H. Whiteside makes 2-pt shot from 2 ft (assist by D. Wade)
2:50.0,Charlotte full timeout,,44-63,,
2:50.0,C. Lee enters the game for J. Lin,,44-63,,
2:40.0,C. Zeller makes 2-pt shot at rim,2,46-63,,
2:16.0,,,46-65,2,J. Richardson makes 2-pt shot from 15 ft
1:57.0,K. Walker misses 2-pt shot from 15 ft,,46-65,,
1:56.0,,,46-65,,Defensive rebound by H. Whiteside
1:39.0,,,46-65,,J. Richardson misses 2-pt shot from 2 ft
1:38.0,Defensive rebound by C. Zeller,,46-65,,
1:19.0,M. Williams misses 2-pt shot from 12 ft,,46-65,,
1:18.0,,,46-65,,Defensive rebound by D. Wade
1:00.0,,,46-65,,J. Richardson misses 2-pt shot from 1 ft (block by M. Williams)
0:59.0,,,46-65,,Offensive rebound by Team
0:59.0,,,46-65,,U. Haslem enters the game for H. Whiteside
0:59.0,,,46-65,,G. Green enters the game for J. Richardson
0:59.0,,,46-65,,Miami full timeout
0:54.0,,,46-65,,G. Green misses 2-pt shot from 17 ft
0:53.0,Defensive rebound by C. Zeller,,46-65,,
0:44.0,Shooting foul by G. Green (drawn by C. Lee),,46-65,,
0:44.0,C. Lee makes free throw 1 of 2,1,47-65,,
0:44.0,C. Lee makes free throw 2 of 2,1,48-65,,
0:29.0,,,48-67,2,D. Wade makes 2-pt shot from 16 ft
0:08.0,K. Walker makes 2-pt shot from 14 ft,2,50-67,,
0:05.0,Personal foul by N. Batum,,50-67,,
0:02.0,,,50-67,,L. Deng misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by C. Zeller,,50-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Turnover by N. Batum (traveling),,50-67,,
11:22.0,,,50-67,,D. Wade misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by Team,,50-67,,
11:10.0,Turnover by N. Batum (lost ball; steal by H. Whiteside),,50-67,,
11:04.0,,,50-67,,D. Wade misses 2-pt shot from 7 ft
11:03.0,Defensive rebound by C. Zeller,,50-67,,
10:54.0,N. Batum misses 3-pt shot from 24 ft,,50-67,,
10:53.0,,,50-67,,Defensive rebound by G. Dragic
10:46.0,,,50-70,3,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic)
10:19.0,K. Walker misses 2-pt shot from 17 ft,,50-70,,
10:18.0,Offensive rebound by C. Zeller,,50-70,,
10:14.0,K. Walker misses 2-pt shot from 5 ft,,50-70,,
10:13.0,,,50-70,,Defensive rebound by H. Whiteside
10:05.0,,,50-72,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
9:46.0,M. Williams misses 2-pt shot from 5 ft (block by H. Whiteside),,50-72,,
9:45.0,,,50-72,,Defensive rebound by H. Whiteside
9:37.0,,,50-74,2,L. Deng makes 2-pt shot from 2 ft (assist by D. Wade)
9:36.0,Charlotte full timeout,,50-74,,
9:23.0,Shooting foul by G. Dragic (drawn by K. Walker),,50-74,,
9:23.0,K. Walker makes free throw 1 of 2,1,51-74,,
9:23.0,K. Walker makes free throw 2 of 2,1,52-74,,
9:02.0,,,52-76,2,L. Deng makes 2-pt shot from 20 ft (assist by J. Johnson)
8:40.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,54-76,,
8:11.0,,,54-76,,J. Johnson misses 3-pt shot from 40 ft
8:10.0,,,54-76,,Offensive rebound by H. Whiteside
7:55.0,,,54-78,2,J. Johnson makes 2-pt shot from 2 ft
7:44.0,Turnover by K. Walker (lost ball; steal by H. Whiteside),,54-78,,
7:31.0,,,54-78,,Turnover by D. Wade (lost ball; steal by C. Lee)
7:21.0,C. Zeller makes 2-pt shot from 2 ft (assist by K. Walker),2,56-78,,
6:57.0,,,56-80,2,D. Wade makes 2-pt shot from 19 ft
6:39.0,C. Lee makes 2-pt shot from 3 ft,2,58-80,,
6:25.0,,,58-82,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
6:25.0,,,58-82,,Shooting foul by K. Walker (drawn by H. Whiteside)
6:25.0,,,58-82,,H. Whiteside misses free throw 1 of 1
6:24.0,Defensive rebound by M. Williams,,58-82,,
6:09.0,Turnover by C. Lee (lost ball; steal by G. Dragic),,58-82,,
6:01.0,,,58-82,,J. Johnson misses 2-pt shot from 16 ft
6:00.0,Defensive rebound by K. Walker,,58-82,,
5:57.0,K. Walker makes 2-pt shot from 6 ft,2,60-82,,
5:57.0,Shooting foul by G. Dragic (drawn by K. Walker),,60-82,,
5:57.0,,,60-82,,J. Richardson enters the game for G. Dragic
5:57.0,K. Walker makes free throw 1 of 1,1,61-82,,
5:37.0,,,61-84,2,D. Wade makes 2-pt shot from 12 ft
5:25.0,Shooting foul by L. Deng (drawn by N. Batum),,61-84,,
5:25.0,N. Batum makes free throw 1 of 2,1,62-84,,
5:25.0,,,62-84,,J. Winslow enters the game for L. Deng
5:25.0,A. Jefferson enters the game for C. Zeller,,62-84,,
5:25.0,N. Batum misses free throw 2 of 2,,62-84,,
5:24.0,,,62-84,,Defensive rebound by J. Winslow
5:11.0,,,62-86,2,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson)
4:48.0,M. Williams misses 2-pt shot from 2 ft (block by H. Whiteside),,62-86,,
4:47.0,,,62-86,,Defensive rebound by J. Richardson
4:38.0,,,62-86,,D. Wade misses 2-pt shot from 17 ft
4:37.0,,,62-86,,Offensive rebound by H. Whiteside
4:30.0,Shooting block foul by K. Walker (drawn by H. Whiteside),,62-86,,
4:30.0,,,62-87,1,H. Whiteside makes free throw 1 of 2
4:30.0,J. Lin enters the game for C. Lee,,62-87,,
4:30.0,,,62-87,,H. Whiteside misses free throw 2 of 2
4:29.0,Defensive rebound by A. Jefferson,,62-87,,
4:14.0,Turnover by N. Batum (bad pass),,62-87,,
4:02.0,,,62-87,,H. Whiteside misses 2-pt shot from 4 ft
4:01.0,Defensive rebound by A. Jefferson,,62-87,,
3:57.0,,,62-87,,Personal foul by J. Richardson
3:50.0,N. Batum makes 3-pt shot from 25 ft (assist by M. Williams),3,65-87,,
3:50.0,,,65-87,,Miami full timeout
3:50.0,,,65-87,,G. Dragic enters the game for D. Wade
3:39.0,Personal foul by N. Batum,,65-87,,
3:26.0,,,65-89,2,J. Winslow makes 2-pt shot from 12 ft (assist by J. Johnson)
3:08.0,K. Walker makes 2-pt shot from 15 ft,2,67-89,,
2:49.0,,,67-89,,G. Dragic misses 3-pt shot from 24 ft
2:48.0,,,67-89,,Offensive rebound by J. Johnson
2:35.0,,,67-92,3,J. Richardson makes 3-pt shot from 24 ft (assist by J. Winslow)
2:11.0,A. Jefferson misses 2-pt shot from 4 ft,,67-92,,
2:10.0,,,67-92,,Defensive rebound by H. Whiteside
2:02.0,,,67-94,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
1:58.0,Charlotte full timeout,,67-94,,
1:58.0,C. Lee enters the game for N. Batum,,67-94,,
1:58.0,F. Kaminsky enters the game for M. Williams,,67-94,,
1:32.0,A. Jefferson makes 2-pt shot from 8 ft (assist by F. Kaminsky),2,69-94,,
1:13.0,,,69-96,2,J. Johnson makes 2-pt shot from 4 ft
0:53.0,Shooting foul by G. Dragic (drawn by J. Lin),,69-96,,
0:53.0,J. Lin makes free throw 1 of 2,1,70-96,,
0:53.0,J. Lin makes free throw 2 of 2,1,71-96,,
0:36.0,,,71-96,,Turnover by H. Whiteside (bad pass)
0:24.0,K. Walker makes 3-pt shot from 24 ft,3,74-96,,
0:05.0,,,74-96,,Shooting foul by A. Jefferson (drawn by G. Dragic)
0:05.0,,,74-96,,G. Dragic misses free throw 1 of 2
0:05.0,,,74-96,,Offensive rebound by Team
0:05.0,,,74-97,1,G. Dragic makes free throw 2 of 2
0:01.0,K. Walker misses 3-pt shot from 32 ft,,74-97,,
0:00.0,Offensive rebound by Team,,74-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,74-99,2,L. Deng makes 2-pt shot from 12 ft
11:37.0,,,74-99,,Shooting foul by J. Lin (drawn by L. Deng)
11:37.0,,,74-99,,L. Deng misses free throw 1 of 1
11:36.0,Defensive rebound by N. Batum,,74-99,,
11:15.0,A. Jefferson misses 2-pt shot from 6 ft,,74-99,,
11:14.0,Offensive rebound by J. Lin,,74-99,,
11:09.0,N. Batum misses 3-pt shot from 25 ft,,74-99,,
11:08.0,Offensive rebound by A. Jefferson,,74-99,,
10:57.0,Shooting foul by G. Dragic (drawn by C. Lee),,74-99,,
10:57.0,C. Lee makes free throw 1 of 2,1,75-99,,
10:57.0,C. Lee makes free throw 2 of 2,1,76-99,,
10:38.0,,,76-99,,Shooting foul by F. Kaminsky (drawn by L. Deng)
10:38.0,,,76-99,,L. Deng misses free throw 1 of 3
10:38.0,,,76-99,,Offensive rebound by Team
10:38.0,,,76-100,1,L. Deng makes free throw 2 of 3
10:38.0,,,76-101,1,L. Deng makes free throw 3 of 3
10:16.0,Turnover by A. Jefferson (lost ball; steal by J. Richardson),,76-101,,
10:04.0,,,76-101,,J. Richardson misses 2-pt shot from 17 ft
10:03.0,Defensive rebound by N. Batum,,76-101,,
9:51.0,,,76-101,,Violation by A. Stoudemire (def goaltending)
9:51.0,A. Jefferson makes 2-pt shot from 2 ft,2,78-101,,
9:45.0,Personal foul by J. Lin,,78-101,,
9:33.0,,,78-101,,J. Richardson misses 3-pt shot from 25 ft
9:32.0,,,78-101,,Offensive rebound by L. Deng
9:17.0,,,78-101,,G. Dragic misses 2-pt shot from 16 ft
9:16.0,,,78-101,,Offensive rebound by J. Richardson
9:03.0,,,78-101,,J. Richardson misses 2-pt shot from 15 ft
9:02.0,Defensive rebound by J. Lin,,78-101,,
8:53.0,A. Jefferson makes 2-pt shot from 2 ft (assist by J. Lin),2,80-101,,
8:26.0,,,80-103,2,L. Deng makes 2-pt shot from 15 ft
8:09.0,J. Lin makes 2-pt shot from 2 ft (assist by F. Kaminsky),2,82-103,,
7:48.0,,,82-103,,Turnover by L. Deng (lost ball; steal by F. Kaminsky)
7:37.0,,,82-103,,Personal foul by L. Deng
7:37.0,Official timeout,,82-103,,
7:37.0,,,82-103,,J. Johnson enters the game for G. Dragic
7:32.0,N. Batum misses 2-pt shot from 19 ft,,82-103,,
7:31.0,Offensive rebound by A. Jefferson,,82-103,,
7:27.0,C. Lee misses 2-pt shot from 19 ft,,82-103,,
7:26.0,Offensive rebound by F. Kaminsky,,82-103,,
7:14.0,J. Lin misses 2-pt shot from 1 ft,,82-103,,
7:13.0,,,82-103,,Defensive rebound by J. Johnson
7:07.0,,,82-103,,A. Stoudemire misses 2-pt shot from 2 ft
7:06.0,,,82-103,,Offensive rebound by J. Winslow
7:00.0,,,82-103,,L. Deng misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by C. Lee,,82-103,,
6:45.0,A. Jefferson misses 2-pt shot from 15 ft,,82-103,,
6:44.0,,,82-103,,Defensive rebound by L. Deng
6:23.0,,,82-103,,J. Winslow misses 2-pt shot from 3 ft (block by A. Jefferson)
6:22.0,,,82-103,,Offensive rebound by J. Winslow
6:21.0,,,82-105,2,J. Winslow makes 2-pt shot from 5 ft
6:02.0,A. Jefferson makes 2-pt shot from 14 ft (assist by C. Lee),2,84-105,,
5:39.0,,,84-107,2,A. Stoudemire makes 2-pt shot from 8 ft
5:29.0,Offensive charge foul by J. Lin,,84-107,,
5:29.0,Turnover by J. Lin (offensive foul),,84-107,,
5:29.0,,,84-107,,Miami full timeout
5:29.0,C. Zeller enters the game for C. Lee,,84-107,,
5:29.0,M. Williams enters the game for A. Jefferson,,84-107,,
5:29.0,K. Walker enters the game for F. Kaminsky,,84-107,,
5:29.0,,,84-107,,D. Wade enters the game for L. Deng
5:13.0,,,84-109,2,A. Stoudemire makes 2-pt shot at rim
5:13.0,,,84-109,,Shooting foul by C. Zeller (drawn by A. Stoudemire)
5:13.0,,,84-110,1,A. Stoudemire makes free throw 1 of 1
5:01.0,N. Batum misses 2-pt shot from 9 ft,,84-110,,
5:00.0,,,84-110,,Defensive rebound by J. Johnson
4:45.0,,,84-113,3,J. Johnson makes 3-pt shot from 24 ft (assist by D. Wade)
4:22.0,K. Walker misses 2-pt shot from 2 ft,,84-113,,
4:21.0,,,84-113,,Defensive rebound by D. Wade
4:11.0,,,84-115,2,A. Stoudemire makes 2-pt shot at rim (assist by D. Wade)
4:11.0,Charlotte full timeout,,84-115,,
4:11.0,T. Hansbrough enters the game for N. Batum,,84-115,,
4:11.0,T. Daniels enters the game for M. Williams,,84-115,,
4:11.0,J. Lamb enters the game for C. Zeller,,84-115,,
4:11.0,J. Gutierrez enters the game for K. Walker,,84-115,,
4:11.0,S. Hawes enters the game for J. Lin,,84-115,,
4:11.0,,,84-115,,G. Green enters the game for D. Wade
4:11.0,,,84-115,,D. Wright enters the game for J. Winslow
4:11.0,,,84-115,,J. McRoberts enters the game for A. Stoudemire
3:49.0,T. Daniels misses 2-pt shot from 18 ft,,84-115,,
3:48.0,,,84-115,,Defensive rebound by J. Johnson
3:32.0,,,84-115,,G. Green misses 2-pt shot from 17 ft
3:31.0,Defensive rebound by J. Lamb,,84-115,,
3:22.0,J. Lamb makes 2-pt shot from 3 ft,2,86-115,,
2:59.0,,,86-115,,J. Johnson misses 2-pt shot from 6 ft
2:58.0,Defensive rebound by J. Gutierrez,,86-115,,
2:47.0,S. Hawes makes 3-pt shot from 25 ft (assist by J. Gutierrez),3,89-115,,
2:19.0,,,89-117,2,D. Wright makes 2-pt shot from 22 ft
2:12.0,,,89-117,,Personal foul by J. Johnson
2:12.0,,,89-117,,B. Weber enters the game for J. Johnson
2:06.0,J. Gutierrez misses 2-pt shot from 13 ft,,89-117,,
2:05.0,,,89-117,,Defensive rebound by Team
1:52.0,,,89-117,,G. Green misses 2-pt shot from 16 ft
1:51.0,Defensive rebound by S. Hawes,,89-117,,
1:40.0,J. Lamb misses 2-pt shot from 1 ft (block by J. McRoberts),,89-117,,
1:39.0,,,89-117,,Defensive rebound by Team
1:22.0,,,89-117,,J. Richardson misses 2-pt shot from 20 ft
1:21.0,Defensive rebound by J. Lamb,,89-117,,
1:12.0,Turnover by S. Hawes (lost ball; steal by B. Weber),,89-117,,
1:03.0,,,89-120,3,D. Wright makes 3-pt shot from 24 ft (assist by J. McRoberts)
0:51.0,T. Daniels misses 2-pt shot from 9 ft,,89-120,,
0:50.0,,,89-120,,Defensive rebound by D. Wright
0:43.0,,,89-123,3,D. Wright makes 3-pt shot from 24 ft (assist by B. Weber)
0:32.0,J. Gutierrez misses 2-pt shot from 16 ft,,89-123,,
0:31.0,Offensive rebound by Team,,89-123,,
0:27.0,S. Hawes misses 3-pt shot from 24 ft,,89-123,,
0:26.0,Offensive rebound by J. Lamb,,89-123,,
0:22.0,J. Lamb makes 2-pt shot from 2 ft,2,91-123,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
