time,Philadelphia,pts.away,score,pts.home,Toronto
6:53.0,,,14-8,,Turnover by K. Lowry (lost ball)
6:53.0,Philadelphia full timeout,,14-8,,
6:42.0,J. Okafor makes 2-pt shot at rim (assist by K. Marshall),2,16-8,,
6:22.0,,,16-8,,Shooting foul by N. Noel (drawn by K. Lowry)
6:22.0,,,16-9,1,K. Lowry makes free throw 1 of 2
6:22.0,J. Grant enters the game for N. Noel,,16-9,,
6:22.0,N. Stauskas enters the game for I. Canaan,,16-9,,
6:22.0,,,16-10,1,K. Lowry makes free throw 2 of 2
6:11.0,Turnover by K. Marshall (bad pass; steal by B. Biyombo),,16-10,,
6:03.0,,,16-12,2,L. Scola makes 2-pt shot from 3 ft (assist by T. Ross)
5:49.0,N. Stauskas misses 2-pt shot from 3 ft,,16-12,,
5:49.0,Offensive rebound by J. Okafor,,16-12,,
5:49.0,Shooting foul by L. Scola (drawn by J. Okafor),,16-12,,
5:49.0,J. Okafor makes free throw 1 of 2,1,17-12,,
5:49.0,H. Thompson enters the game for R. Covington,,17-12,,
5:49.0,J. Okafor makes free throw 2 of 2,1,18-12,,
5:34.0,,,18-14,2,D. DeRozan makes 2-pt shot from 17 ft
5:23.0,,,18-14,,Personal foul by B. Biyombo (drawn by J. Okafor)
5:23.0,R. Holmes enters the game for J. Okafor,,18-14,,
5:23.0,,,18-14,,C. Joseph enters the game for T. Ross
5:23.0,,,18-14,,P. Patterson enters the game for B. Biyombo
5:16.0,R. Holmes makes 2-pt shot from 7 ft (assist by K. Marshall),2,20-14,,
4:56.0,,,20-16,2,D. DeRozan makes 2-pt shot from 9 ft
4:56.0,Violation by R. Holmes (def goaltending),,20-16,,
4:37.0,K. Marshall misses 3-pt shot from 24 ft,,20-16,,
4:37.0,,,20-16,,Defensive rebound by L. Scola
4:26.0,,,20-18,2,L. Scola makes 2-pt shot from 18 ft (assist by K. Lowry)
4:11.0,J. Grant misses 2-pt shot from 7 ft,,20-18,,
4:11.0,,,20-18,,Defensive rebound by L. Scola
4:02.0,,,20-21,3,L. Scola makes 3-pt shot from 23 ft (assist by P. Patterson)
3:45.0,K. Marshall misses 2-pt shot from 7 ft,,20-21,,
3:45.0,,,20-21,,Defensive rebound by Team
3:45.0,Loose ball foul by R. Holmes (drawn by L. Scola),,20-21,,
3:33.0,,,20-21,,L. Scola misses 2-pt shot from 15 ft
3:33.0,Defensive rebound by J. Grant,,20-21,,
3:26.0,Shooting foul by P. Patterson (drawn by J. Grant),,20-21,,
3:26.0,J. Grant misses free throw 1 of 2,,20-21,,
3:26.0,Offensive rebound by Team,,20-21,,
3:26.0,T. McConnell enters the game for K. Marshall,,20-21,,
3:26.0,J. Grant makes free throw 2 of 2,1,21-21,,
3:05.0,,,21-21,,L. Scola misses 2-pt shot from 3 ft
3:04.0,,,21-21,,Offensive rebound by L. Scola
3:00.0,,,21-23,2,L. Scola makes 2-pt shot from 1 ft
2:48.0,N. Stauskas makes 3-pt shot from 23 ft (assist by J. Grant),3,24-23,,
2:30.0,Shooting block foul by J. Grant (drawn by D. DeRozan),,24-23,,
2:30.0,,,24-23,,Toronto full timeout
2:30.0,,,24-23,,T. Ross enters the game for K. Lowry
2:30.0,J. Okafor enters the game for R. Holmes,,24-23,,
2:30.0,,,24-24,1,D. DeRozan makes free throw 1 of 2
2:30.0,,,24-25,1,D. DeRozan makes free throw 2 of 2
2:08.0,T. McConnell misses 2-pt shot from 10 ft,,24-25,,
2:07.0,,,24-25,,Defensive rebound by L. Scola
2:03.0,,,24-25,,Shooting foul by T. McConnell (drawn by C. Joseph)
2:03.0,,,24-26,1,C. Joseph makes free throw 1 of 2
2:03.0,,,24-26,,C. Joseph misses free throw 2 of 2
2:02.0,Defensive rebound by J. Okafor,,24-26,,
1:49.0,Turnover by H. Thompson (bad pass; steal by L. Scola),,24-26,,
1:46.0,,,24-26,,Shooting foul by T. McConnell (drawn by D. DeRozan)
1:46.0,,,24-27,1,D. DeRozan makes free throw 1 of 2
1:46.0,,,24-27,,L. Nogueira enters the game for L. Scola
1:46.0,I. Canaan enters the game for T. McConnell,,24-27,,
1:46.0,,,24-28,1,D. DeRozan makes free throw 2 of 2
1:30.0,J. Okafor misses 2-pt shot from 12 ft,,24-28,,
1:30.0,,,24-28,,Defensive rebound by T. Ross
1:13.0,,,24-30,2,L. Nogueira makes 2-pt shot from 1 ft (assist by C. Joseph)
0:51.0,I. Canaan misses 2-pt shot from 9 ft,,24-30,,
0:51.0,Offensive rebound by J. Grant,,24-30,,
0:47.0,J. Grant misses 2-pt shot from 2 ft,,24-30,,
0:46.0,Offensive rebound by J. Grant,,24-30,,
0:46.0,J. Grant misses 2-pt shot from 2 ft,,24-30,,
0:45.0,,,24-30,,Defensive rebound by D. DeRozan
0:38.0,,,24-30,,D. DeRozan misses 2-pt shot from 1 ft
0:38.0,Defensive rebound by H. Thompson,,24-30,,
0:28.0,I. Canaan misses 3-pt shot from 24 ft,,24-30,,
0:28.0,,,24-30,,Defensive rebound by D. DeRozan
0:08.0,,,24-30,,C. Joseph misses 2-pt shot at rim
0:08.0,,,24-30,,Offensive rebound by L. Nogueira
0:04.0,,,24-30,,Turnover by Team (shot clock)
0:04.0,R. Covington enters the game for J. Grant,,24-30,,
0:03.0,Turnover by I. Canaan (traveling),,24-30,,
0:01.0,,,24-30,,Shooting foul by N. Stauskas (drawn by D. DeRozan)
0:01.0,,,24-31,1,D. DeRozan makes free throw 1 of 2
0:01.0,,,24-32,1,D. DeRozan makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,J. Okafor makes 2-pt shot from 7 ft,2,26-32,,
11:25.0,Def 3 sec tech foul by J. Okafor,,26-32,,
11:25.0,,,26-33,1,C. Joseph makes technical free throw
11:14.0,,,26-33,,J. Johnson misses 3-pt shot from 23 ft
11:14.0,Defensive rebound by J. Okafor,,26-33,,
11:06.0,R. Covington misses 3-pt shot from 26 ft,,26-33,,
11:05.0,,,26-33,,Defensive rebound by T. Ross
10:55.0,,,26-35,2,C. Joseph makes 2-pt shot from 4 ft
10:40.0,J. Okafor misses 2-pt shot from 2 ft,,26-35,,
10:40.0,,,26-35,,Defensive rebound by J. Johnson
10:34.0,,,26-37,2,P. Patterson makes 2-pt shot from 17 ft (assist by J. Johnson)
10:28.0,Philadelphia full timeout,,26-37,,
10:19.0,R. Covington misses 3-pt shot from 22 ft,,26-37,,
10:18.0,,,26-37,,Defensive rebound by P. Patterson
10:06.0,Def 3 sec tech foul by J. Okafor,,26-37,,
10:06.0,,,26-38,1,C. Joseph makes technical free throw
9:58.0,,,26-38,,T. Ross misses 2-pt shot from 16 ft
9:58.0,Defensive rebound by J. Okafor,,26-38,,
9:44.0,Turnover by R. Covington (lost ball),,26-38,,
9:23.0,,,26-38,,T. Ross misses 2-pt shot from 20 ft
9:22.0,Defensive rebound by R. Covington,,26-38,,
9:13.0,J. Sampson misses 2-pt shot from 2 ft (block by J. Johnson),,26-38,,
9:13.0,,,26-38,,Defensive rebound by Team
9:13.0,K. Marshall enters the game for N. Stauskas,,26-38,,
9:13.0,N. Noel enters the game for J. Okafor,,26-38,,
8:59.0,,,26-38,,L. Nogueira misses 2-pt shot from 1 ft
8:59.0,,,26-38,,Offensive rebound by Team
8:59.0,J. Grant enters the game for J. Sampson,,26-38,,
8:55.0,,,26-38,,L. Nogueira misses 2-pt shot from 1 ft
8:53.0,Defensive rebound by R. Covington,,26-38,,
8:44.0,J. Grant makes 2-pt shot at rim (assist by N. Noel),2,28-38,,
8:22.0,,,28-38,,L. Nogueira misses 2-pt shot from 3 ft (block by R. Covington)
8:21.0,,,28-38,,Offensive rebound by J. Johnson
8:18.0,,,28-38,,J. Johnson misses 2-pt shot from 1 ft
8:18.0,Defensive rebound by R. Covington,,28-38,,
8:04.0,I. Canaan makes 3-pt shot from 25 ft,3,31-38,,
7:50.0,,,31-38,,Offensive charge foul by J. Johnson
7:50.0,,,31-38,,Turnover by J. Johnson (offensive foul)
7:50.0,,,31-38,,K. Lowry enters the game for C. Joseph
7:35.0,J. Grant makes 2-pt shot at rim (assist by N. Noel),2,33-38,,
7:29.0,,,33-38,,Toronto full timeout
7:29.0,,,33-38,,B. Biyombo enters the game for P. Patterson
7:29.0,,,33-38,,L. Scola enters the game for L. Nogueira
7:16.0,,,33-38,,K. Lowry misses 2-pt shot from 1 ft (block by N. Noel)
7:14.0,Defensive rebound by K. Marshall,,33-38,,
7:10.0,,,33-38,,Personal block foul by J. Johnson (drawn by I. Canaan)
6:58.0,I. Canaan misses 3-pt shot from 24 ft,,33-38,,
6:57.0,,,33-38,,Defensive rebound by Team
6:45.0,,,33-38,,K. Lowry misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by R. Covington,,33-38,,
6:35.0,Turnover by J. Grant (bad pass),,33-38,,
6:23.0,,,33-38,,J. Johnson misses 2-pt shot from 3 ft
6:22.0,,,33-38,,Offensive rebound by J. Johnson
6:22.0,,,33-38,,Shooting foul by J. Grant (drawn by J. Johnson)
6:22.0,,,33-39,1,J. Johnson makes free throw 1 of 2
6:22.0,,,33-39,,D. DeRozan enters the game for T. Ross
6:22.0,,,33-40,1,J. Johnson makes free throw 2 of 2
6:14.0,Turnover by R. Covington (traveling),,33-40,,
6:14.0,T. McConnell enters the game for K. Marshall,,33-40,,
6:03.0,,,33-40,,K. Lowry misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by N. Noel,,33-40,,
5:51.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,36-40,,
5:24.0,,,36-42,2,B. Biyombo makes 2-pt shot from 12 ft
5:09.0,Turnover by T. McConnell (lost ball),,36-42,,
5:09.0,H. Thompson enters the game for R. Covington,,36-42,,
5:00.0,,,36-45,3,K. Lowry makes 3-pt shot from 24 ft (assist by J. Johnson)
4:39.0,Turnover by H. Thompson (lost ball; steal by L. Scola),,36-45,,
4:33.0,,,36-45,,K. Lowry misses 2-pt shot from 2 ft
4:30.0,Defensive rebound by T. McConnell,,36-45,,
4:25.0,I. Canaan makes 3-pt shot from 24 ft (assist by T. McConnell),3,39-45,,
4:11.0,,,39-45,,K. Lowry misses 3-pt shot from 24 ft
4:10.0,Defensive rebound by J. Grant,,39-45,,
4:01.0,Turnover by N. Noel (3 sec),,39-45,,
4:01.0,N. Stauskas enters the game for T. McConnell,,39-45,,
3:45.0,,,39-47,2,J. Johnson makes 2-pt shot from 2 ft
3:34.0,N. Stauskas makes 3-pt shot from 24 ft (assist by I. Canaan),3,42-47,,
3:09.0,,,42-47,,Turnover by L. Scola (bad pass)
3:09.0,R. Holmes enters the game for J. Grant,,42-47,,
3:09.0,J. Okafor enters the game for N. Noel,,42-47,,
2:58.0,Turnover by H. Thompson (lost ball),,42-47,,
2:58.0,Official timeout,,42-47,,
2:58.0,,,42-47,,C. Joseph enters the game for J. Johnson
2:58.0,J. Sampson enters the game for H. Thompson,,42-47,,
2:43.0,,,42-50,3,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan)
2:20.0,R. Holmes misses 2-pt shot from 8 ft,,42-50,,
2:19.0,,,42-50,,Defensive rebound by K. Lowry
2:11.0,,,42-50,,D. DeRozan misses 2-pt shot from 13 ft
2:10.0,Defensive rebound by J. Okafor,,42-50,,
2:04.0,J. Sampson misses 2-pt shot from 3 ft,,42-50,,
2:03.0,,,42-50,,Defensive rebound by B. Biyombo
1:43.0,,,42-52,2,L. Scola makes 2-pt shot at rim
1:43.0,Philadelphia full timeout,,42-52,,
1:43.0,R. Covington enters the game for R. Holmes,,42-52,,
1:43.0,N. Noel enters the game for J. Sampson,,42-52,,
1:26.0,I. Canaan misses 3-pt shot from 24 ft,,42-52,,
1:26.0,Offensive rebound by J. Okafor,,42-52,,
1:20.0,J. Okafor misses 2-pt shot from 2 ft,,42-52,,
1:20.0,Offensive rebound by N. Noel,,42-52,,
1:20.0,N. Noel misses 2-pt shot from 1 ft,,42-52,,
1:20.0,,,42-52,,Defensive rebound by Team
1:20.0,Jump ball: B. Biyombo vs. N. Noel (C. Joseph gains possession),,,,Jump ball: B. Biyombo vs. N. Noel (C. Joseph gains possession)
1:03.0,,,42-52,,C. Joseph misses 3-pt shot from 23 ft
1:02.0,Defensive rebound by N. Noel,,42-52,,
1:00.0,Turnover by N. Noel (lost ball; steal by K. Lowry),,42-52,,
0:53.0,,,42-52,,D. DeRozan misses 2-pt shot from 2 ft
0:53.0,Defensive rebound by Team,,42-52,,
0:36.0,N. Stauskas misses 3-pt shot from 24 ft,,42-52,,
0:36.0,,,42-52,,Defensive rebound by B. Biyombo
0:28.0,,,42-52,,L. Scola misses 3-pt shot from 22 ft
0:26.0,Defensive rebound by Team,,42-52,,
0:01.0,J. Okafor misses 2-pt shot from 4 ft,,42-52,,
0:00.0,Offensive rebound by N. Noel,,42-52,,
0:00.0,N. Noel makes 2-pt shot from 2 ft,2,44-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,J. Okafor misses 2-pt shot from 7 ft,,44-52,,
11:42.0,Offensive rebound by T. McConnell,,44-52,,
11:39.0,R. Covington misses 3-pt shot from 25 ft,,44-52,,
11:39.0,,,44-52,,Defensive rebound by Team
11:32.0,Personal foul by R. Covington (drawn by K. Lowry),,44-52,,
11:24.0,,,44-52,,Offensive foul by B. Biyombo
11:24.0,,,44-52,,Turnover by B. Biyombo (offensive foul)
11:00.0,T. McConnell misses 2-pt shot from 17 ft (block by K. Lowry),,44-52,,
10:59.0,Offensive rebound by T. McConnell,,44-52,,
10:56.0,T. McConnell misses 2-pt shot from 14 ft,,44-52,,
10:56.0,,,44-52,,Defensive rebound by D. DeRozan
10:43.0,,,44-54,2,L. Scola makes 2-pt shot from 6 ft
10:26.0,T. McConnell misses 3-pt shot from 24 ft,,44-54,,
10:25.0,,,44-54,,Defensive rebound by T. Ross
10:05.0,,,44-56,2,K. Lowry makes 2-pt shot from 3 ft
9:42.0,I. Canaan misses 3-pt shot from 24 ft,,44-56,,
9:42.0,,,44-56,,Defensive rebound by B. Biyombo
9:27.0,,,44-58,2,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry)
9:27.0,Philadelphia full timeout,,44-58,,
9:27.0,N. Stauskas enters the game for N. Noel,,44-58,,
9:27.0,K. Marshall enters the game for T. McConnell,,44-58,,
9:05.0,R. Covington misses 2-pt shot from 2 ft,,44-58,,
9:05.0,,,44-58,,Defensive rebound by B. Biyombo
8:50.0,,,44-58,,Turnover by L. Scola (bad pass; steal by K. Marshall)
8:38.0,R. Covington misses 3-pt shot from 25 ft,,44-58,,
8:37.0,,,44-58,,Defensive rebound by B. Biyombo
8:24.0,,,44-58,,D. DeRozan misses 2-pt shot from 1 ft (block by J. Okafor)
8:22.0,Defensive rebound by J. Okafor,,44-58,,
8:12.0,J. Okafor makes 2-pt shot from 2 ft (assist by I. Canaan),2,46-58,,
7:47.0,,,46-58,,K. Lowry misses 2-pt shot from 12 ft
7:47.0,Defensive rebound by N. Stauskas,,46-58,,
7:28.0,R. Covington misses 2-pt shot from 4 ft,,46-58,,
7:28.0,,,46-58,,Defensive rebound by B. Biyombo
7:21.0,,,46-60,2,L. Scola makes 2-pt shot from 2 ft (assist by K. Lowry)
7:00.0,R. Covington makes 3-pt shot from 25 ft (assist by I. Canaan),3,49-60,,
6:42.0,,,49-60,,K. Lowry misses 3-pt shot from 24 ft
6:41.0,Defensive rebound by J. Okafor,,49-60,,
6:34.0,I. Canaan misses 3-pt shot from 24 ft,,49-60,,
6:34.0,Offensive rebound by K. Marshall,,49-60,,
6:30.0,J. Okafor misses 2-pt shot from 2 ft (block by B. Biyombo),,49-60,,
6:29.0,,,49-60,,Defensive rebound by D. DeRozan
6:18.0,,,49-60,,T. Ross misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by N. Stauskas,,49-60,,
6:12.0,Turnover by N. Stauskas (bad pass; steal by T. Ross),,49-60,,
6:03.0,,,49-60,,L. Scola misses 3-pt shot from 22 ft
5:48.0,Defensive rebound by I. Canaan,,49-60,,
5:48.0,R. Covington misses 3-pt shot from 25 ft,,49-60,,
5:48.0,,,49-60,,Defensive rebound by B. Biyombo
5:28.0,,,49-62,2,D. DeRozan makes 2-pt shot from 16 ft
5:27.0,Philadelphia full timeout,,49-62,,
5:27.0,,,49-62,,P. Patterson enters the game for T. Ross
5:27.0,,,49-62,,C. Joseph enters the game for B. Biyombo
5:27.0,N. Noel enters the game for R. Covington,,49-62,,
5:27.0,H. Thompson enters the game for J. Okafor,,49-62,,
5:27.0,J. Grant enters the game for I. Canaan,,49-62,,
5:18.0,Turnover by K. Marshall (bad pass; steal by D. DeRozan),,49-62,,
5:11.0,,,49-64,2,D. DeRozan makes 2-pt shot at rim
4:59.0,,,49-64,,Personal foul by L. Scola (drawn by N. Noel)
4:46.0,N. Stauskas misses 3-pt shot from 25 ft,,49-64,,
4:45.0,,,49-64,,Defensive rebound by C. Joseph
4:37.0,,,49-64,,P. Patterson misses 3-pt shot from 22 ft
4:37.0,Defensive rebound by Team,,49-64,,
4:26.0,Turnover by J. Grant (traveling),,49-64,,
4:26.0,I. Canaan enters the game for K. Marshall,,49-64,,
4:13.0,,,49-66,2,L. Scola makes 2-pt shot from 16 ft (assist by C. Joseph)
3:52.0,Shooting foul by L. Scola (drawn by N. Noel),,49-66,,
3:52.0,N. Noel misses free throw 1 of 2,,49-66,,
3:52.0,Offensive rebound by Team,,49-66,,
3:52.0,N. Noel misses free throw 2 of 2,,49-66,,
3:51.0,,,49-66,,Defensive rebound by K. Lowry
3:34.0,,,49-69,3,K. Lowry makes 3-pt shot from 24 ft (assist by C. Joseph)
3:15.0,J. Grant misses 2-pt shot from 3 ft,,49-69,,
3:15.0,,,49-69,,Defensive rebound by Team
3:15.0,Loose ball foul by N. Noel (drawn by L. Scola),,49-69,,
3:15.0,,,49-69,,Technical foul by K. Lowry
3:15.0,I. Canaan makes technical free throw,1,50-69,,
3:15.0,J. Okafor enters the game for N. Noel,,50-69,,
2:56.0,,,50-69,,C. Joseph misses 2-pt shot from 3 ft (block by N. Stauskas)
2:54.0,Defensive rebound by J. Okafor,,50-69,,
2:45.0,N. Stauskas makes 2-pt shot from 1 ft,2,52-69,,
2:34.0,Personal foul by I. Canaan (drawn by K. Lowry),,52-69,,
2:34.0,,,52-69,,Toronto full timeout
2:34.0,,,52-69,,T. Ross enters the game for L. Scola
2:34.0,,,52-69,,L. Nogueira enters the game for D. DeRozan
2:27.0,,,52-69,,Offensive foul by L. Nogueira
2:27.0,,,52-69,,Turnover by L. Nogueira (offensive foul)
2:18.0,,,52-69,,Personal foul by L. Nogueira (drawn by J. Okafor)
2:06.0,H. Thompson misses 2-pt shot from 16 ft (block by T. Ross),,52-69,,
2:06.0,Offensive rebound by Team,,52-69,,
2:02.0,J. Okafor makes 2-pt shot from 16 ft (assist by N. Stauskas),2,54-69,,
1:51.0,,,54-69,,K. Lowry misses 2-pt shot from 12 ft
1:49.0,Defensive rebound by N. Stauskas,,54-69,,
1:43.0,Turnover by N. Stauskas (bad pass; steal by L. Nogueira),,54-69,,
1:31.0,,,54-69,,C. Joseph misses 2-pt shot from 3 ft (block by N. Stauskas)
1:29.0,,,54-69,,Offensive rebound by C. Joseph
1:24.0,,,54-69,,T. Ross misses 2-pt shot from 2 ft (block by H. Thompson)
1:23.0,Defensive rebound by J. Okafor,,54-69,,
1:14.0,H. Thompson misses 3-pt shot from 26 ft,,54-69,,
1:14.0,Offensive rebound by J. Grant,,54-69,,
1:11.0,J. Grant misses 2-pt shot from 1 ft (block by L. Nogueira),,54-69,,
1:09.0,Offensive rebound by J. Grant,,54-69,,
1:07.0,Turnover by J. Grant (bad pass; steal by L. Nogueira),,54-69,,
1:00.0,,,54-69,,C. Joseph misses 3-pt shot from 24 ft
1:00.0,Defensive rebound by H. Thompson,,54-69,,
0:44.0,,,54-69,,Shooting block foul by L. Nogueira (drawn by J. Grant)
0:44.0,J. Grant makes free throw 1 of 2,1,55-69,,
0:44.0,J. Grant makes free throw 2 of 2,1,56-69,,
0:31.0,,,56-69,,K. Lowry misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by N. Stauskas,,56-69,,
0:05.0,J. Okafor misses 2-pt shot from 11 ft,,56-69,,
0:05.0,Offensive rebound by H. Thompson,,56-69,,
0:04.0,H. Thompson makes 2-pt shot from 1 ft,2,58-69,,
0:00.0,,,58-69,,T. Ross misses 3-pt shot from 40 ft
0:00.0,,,58-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,58-69,,C. Joseph misses 2-pt shot from 5 ft
11:44.0,Defensive rebound by J. Okafor,,58-69,,
11:35.0,K. Marshall makes 2-pt shot from 19 ft,2,60-69,,
11:11.0,,,60-69,,T. Ross misses 2-pt shot from 13 ft
11:10.0,Defensive rebound by R. Covington,,60-69,,
10:55.0,Turnover by K. Marshall (bad pass),,60-69,,
10:34.0,,,60-69,,Shooting foul by J. Okafor (drawn by C. Joseph)
10:34.0,,,60-70,1,C. Joseph makes free throw 1 of 2
10:34.0,,,60-70,,C. Joseph misses free throw 2 of 2
10:32.0,Defensive rebound by J. Grant,,60-70,,
10:17.0,N. Stauskas misses 2-pt shot from 2 ft,,60-70,,
10:16.0,,,60-70,,Defensive rebound by C. Joseph
9:57.0,,,60-72,2,C. Joseph makes 2-pt shot from 1 ft
9:56.0,Philadelphia full timeout,,60-72,,
9:44.0,J. Okafor makes 2-pt shot from 2 ft (assist by K. Marshall),2,62-72,,
9:44.0,Shooting foul by L. Nogueira (drawn by J. Okafor),,62-72,,
9:44.0,J. Okafor makes free throw 1 of 1,1,63-72,,
9:29.0,,,63-72,,P. Patterson misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by K. Marshall,,63-72,,
9:09.0,J. Okafor misses 2-pt shot from 11 ft,,63-72,,
9:08.0,,,63-72,,Defensive rebound by J. Johnson
8:55.0,,,63-75,3,J. Johnson makes 3-pt shot from 24 ft (assist by C. Joseph)
8:41.0,R. Covington makes 3-pt shot from 23 ft (assist by K. Marshall),3,66-75,,
8:24.0,,,66-75,,Shooting foul by R. Covington (drawn by J. Johnson)
8:24.0,,,66-75,,J. Johnson misses free throw 1 of 2
8:24.0,,,66-75,,Offensive rebound by Team
8:24.0,H. Thompson enters the game for J. Grant,,66-75,,
8:24.0,,,66-75,,J. Johnson misses free throw 2 of 2
8:23.0,Defensive rebound by R. Covington,,66-75,,
8:08.0,J. Okafor misses 2-pt shot from 2 ft,,66-75,,
8:07.0,,,66-75,,Defensive rebound by L. Nogueira
8:01.0,,,66-77,2,J. Johnson makes 2-pt shot from 1 ft
7:50.0,R. Covington makes 3-pt shot from 24 ft (assist by K. Marshall),3,69-77,,
7:25.0,,,69-77,,C. Joseph misses 2-pt shot from 6 ft
7:24.0,Defensive rebound by R. Covington,,69-77,,
7:16.0,J. Okafor makes 2-pt shot from 2 ft,2,71-77,,
7:09.0,,,71-77,,Toronto full timeout
7:09.0,,,71-77,,K. Lowry enters the game for T. Ross
7:09.0,,,71-77,,B. Biyombo enters the game for L. Nogueira
7:09.0,,,71-77,,D. DeRozan enters the game for J. Johnson
7:09.0,I. Canaan enters the game for K. Marshall,,71-77,,
6:54.0,,,71-77,,Shooting foul by R. Covington (drawn by D. DeRozan)
6:54.0,,,71-78,1,D. DeRozan makes free throw 1 of 2
6:54.0,,,71-79,1,D. DeRozan makes free throw 2 of 2
6:40.0,J. Okafor misses 2-pt shot from 4 ft (block by K. Lowry),,71-79,,
6:40.0,Offensive rebound by Team,,71-79,,
6:36.0,H. Thompson misses 2-pt shot from 18 ft,,71-79,,
6:36.0,,,71-79,,Defensive rebound by K. Lowry
6:34.0,,,71-79,,Shooting foul by R. Covington (drawn by K. Lowry)
6:34.0,,,71-79,,K. Lowry misses free throw 1 of 2
6:34.0,,,71-79,,Offensive rebound by Team
6:34.0,J. Grant enters the game for H. Thompson,,71-79,,
6:34.0,,,71-80,1,K. Lowry makes free throw 2 of 2
6:20.0,J. Okafor misses 2-pt shot from 4 ft (block by C. Joseph),,71-80,,
6:19.0,Offensive rebound by J. Okafor,,71-80,,
6:11.0,J. Grant misses 2-pt shot from 2 ft (block by K. Lowry),,71-80,,
6:10.0,Offensive rebound by Team,,71-80,,
6:08.0,J. Grant misses 2-pt shot at rim,,71-80,,
6:07.0,,,71-80,,Defensive rebound by D. DeRozan
5:51.0,,,71-80,,Turnover by D. DeRozan (bad pass)
5:33.0,J. Okafor misses 2-pt shot at rim,,71-80,,
5:32.0,,,71-80,,Defensive rebound by K. Lowry
5:22.0,,,71-80,,D. DeRozan misses 2-pt shot from 2 ft (block by R. Covington)
5:20.0,,,71-80,,Offensive rebound by D. DeRozan
5:16.0,,,71-80,,Shooting foul by J. Okafor (drawn by B. Biyombo)
5:16.0,,,71-81,1,B. Biyombo makes free throw 1 of 2
5:16.0,,,71-82,1,B. Biyombo makes free throw 2 of 2
5:05.0,J. Okafor misses 2-pt shot from 4 ft (block by P. Patterson),,71-82,,
5:05.0,Offensive rebound by J. Okafor,,71-82,,
5:05.0,Jump ball: J. Okafor vs. P. Patterson (J. Grant gains possession),,,,Jump ball: J. Okafor vs. P. Patterson (J. Grant gains possession)
5:00.0,Shooting foul by B. Biyombo (drawn by N. Stauskas),,71-82,,
5:00.0,N. Stauskas misses free throw 1 of 2,,71-82,,
