time,Houston,pts.away,score,pts.home,Sacramento
8:53.0,D. Howard misses 2-pt shot from 2 ft,,2-11,,
8:51.0,Offensive rebound by C. Capela,,2-11,,
8:47.0,J. Harden makes 3-pt shot from 24 ft,3,5-11,,
8:47.0,,,5-11,,Technical foul by D. Cousins
8:47.0,J. Harden makes technical free throw,1,6-11,,
8:27.0,,,6-11,,D. Cousins misses 2-pt shot from 22 ft
8:26.0,Defensive rebound by C. Capela,,6-11,,
8:19.0,T. Ariza misses 3-pt shot from 25 ft,,6-11,,
8:17.0,Offensive rebound by C. Capela,,6-11,,
8:17.0,C. Capela makes 2-pt shot from 1 ft,2,8-11,,
8:12.0,,,8-13,2,B. McLemore makes 2-pt shot from 2 ft (assist by D. Collison)
8:12.0,,,8-13,,Shooting foul by C. Capela (drawn by B. McLemore)
8:12.0,,,8-13,,B. McLemore misses free throw 1 of 1
8:11.0,Defensive rebound by T. Ariza,,8-13,,
8:04.0,D. Howard makes 2-pt shot from 2 ft (assist by J. Terry),2,10-13,,
8:04.0,Shooting foul by D. Cousins (drawn by D. Howard),,10-13,,
8:04.0,D. Howard misses free throw 1 of 1,,10-13,,
8:01.0,Offensive rebound by T. Ariza,,10-13,,
8:01.0,T. Ariza misses 2-pt shot from 1 ft,,10-13,,
8:00.0,,,10-13,,Defensive rebound by D. Cousins
7:57.0,,,10-13,,Turnover by D. Collison (back court)
7:44.0,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden),3,13-13,,
7:34.0,,,13-13,,Turnover by B. McLemore (step out of bounds)
7:25.0,C. Capela makes 2-pt shot from 4 ft (assist by J. Terry),2,15-13,,
7:10.0,,,15-13,,Turnover by D. Cousins (lost ball; steal by D. Howard)
7:06.0,Turnover by J. Harden (bad pass; steal by B. McLemore),,15-13,,
7:04.0,Personal foul by J. Terry (drawn by B. McLemore),,15-13,,
6:58.0,,,15-13,,Turnover by R. Gay (bad pass; steal by J. Terry)
6:55.0,J. Terry makes 2-pt shot from 1 ft,2,17-13,,
6:55.0,,,17-13,,Sacramento full timeout
6:55.0,,,17-13,,K. Koufos enters the game for O. Casspi
6:38.0,,,17-13,,Turnover by D. Collison (bad pass; steal by C. Capela)
6:33.0,J. Terry makes 2-pt shot from 2 ft (assist by J. Harden),2,19-13,,
6:15.0,,,19-13,,M. Belinelli enters the game for B. McLemore
6:09.0,,,19-13,,D. Cousins misses 2-pt shot from 4 ft
6:09.0,,,19-13,,Offensive rebound by D. Cousins
6:09.0,,,19-13,,Shooting foul by C. Capela (drawn by D. Cousins)
6:09.0,,,19-14,1,D. Cousins makes free throw 1 of 2
6:09.0,,,19-15,1,D. Cousins makes free throw 2 of 2
5:56.0,J. Harden misses 2-pt shot from 21 ft,,19-15,,
5:55.0,,,19-15,,Defensive rebound by D. Cousins
5:42.0,,,19-18,3,R. Gay makes 3-pt shot from 23 ft
5:24.0,Shooting foul by R. Gay (drawn by T. Ariza),,19-18,,
5:24.0,T. Ariza makes free throw 1 of 2,1,20-18,,
5:24.0,T. Jones enters the game for D. Howard,,20-18,,
5:24.0,T. Ariza makes free throw 2 of 2,1,21-18,,
5:14.0,Personal foul by T. Jones (drawn by D. Cousins),,21-18,,
5:14.0,,,21-19,1,D. Cousins makes free throw 1 of 2
5:14.0,,,21-20,1,D. Cousins makes free throw 2 of 2
5:08.0,,,21-20,,Personal foul by D. Collison (drawn by J. Terry)
4:55.0,T. Ariza misses 3-pt shot from 24 ft,,21-20,,
4:54.0,,,21-20,,Defensive rebound by D. Collison
4:50.0,,,21-20,,M. Belinelli misses 2-pt shot from 1 ft
4:48.0,Defensive rebound by T. Jones,,21-20,,
4:32.0,J. Harden misses 3-pt shot from 23 ft,,21-20,,
4:30.0,,,21-20,,Defensive rebound by R. Gay
4:23.0,,,21-23,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Gay)
4:03.0,J. Terry misses 2-pt shot from 9 ft,,21-23,,
4:03.0,,,21-23,,Defensive rebound by Team
4:03.0,C. Brewer enters the game for T. Ariza,,21-23,,
3:48.0,,,21-23,,D. Cousins misses 2-pt shot from 3 ft
3:48.0,Defensive rebound by C. Capela,,21-23,,
3:43.0,Turnover by C. Capela (bad pass; steal by R. Gay),,21-23,,
3:40.0,,,21-25,2,D. Cousins makes 2-pt shot at rim (assist by D. Collison)
3:23.0,,,21-25,,Personal block foul by M. Belinelli (drawn by C. Brewer)
3:23.0,,,21-25,,S. Curry enters the game for D. Collison
3:23.0,P. Beverley enters the game for J. Terry,,21-25,,
3:08.0,Turnover by Team (shot clock),,21-25,,
3:08.0,,,21-25,,O. Casspi enters the game for D. Cousins
2:52.0,,,21-27,2,R. Gay makes 2-pt shot from 8 ft
2:38.0,C. Brewer makes 3-pt shot from 23 ft (assist by J. Harden),3,24-27,,
2:28.0,,,24-27,,M. Belinelli misses 2-pt shot from 19 ft
2:27.0,Defensive rebound by J. Harden,,24-27,,
2:21.0,P. Beverley misses 3-pt shot from 24 ft,,24-27,,
2:20.0,,,24-27,,Defensive rebound by R. Gay
2:09.0,,,24-27,,R. Gay misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by C. Capela,,24-27,,
1:51.0,J. Harden makes 2-pt shot from 7 ft,2,26-27,,
1:37.0,,,26-27,,K. Koufos misses 2-pt shot from 6 ft
1:37.0,Defensive rebound by J. Harden,,26-27,,
1:31.0,Turnover by J. Harden (lost ball),,26-27,,
1:31.0,T. Lawson enters the game for J. Harden,,26-27,,
1:31.0,,,26-27,,B. McLemore enters the game for R. Gay
1:14.0,,,26-27,,B. McLemore misses 2-pt shot from 13 ft
1:13.0,Defensive rebound by C. Brewer,,26-27,,
1:10.0,Shooting foul by B. McLemore (drawn by C. Brewer),,26-27,,
1:10.0,C. Brewer makes free throw 1 of 2,1,27-27,,
1:10.0,C. Brewer makes free throw 2 of 2,1,28-27,,
1:00.0,,,28-27,,O. Casspi misses 2-pt shot from 5 ft (block by C. Capela)
1:00.0,,,28-27,,Offensive rebound by Team
0:57.0,,,28-29,2,K. Koufos makes 2-pt shot from 10 ft (assist by B. McLemore)
0:48.0,C. Brewer makes 3-pt shot from 23 ft (assist by T. Lawson),3,31-29,,
0:40.0,,,31-29,,Shooting foul by C. Capela (drawn by S. Curry)
0:40.0,,,31-30,1,S. Curry makes free throw 1 of 2
0:40.0,D. Motiejunas enters the game for C. Capela,,31-30,,
0:40.0,,,31-31,1,S. Curry makes free throw 2 of 2
0:30.0,P. Beverley misses 2-pt shot from 4 ft (block by K. Koufos),,31-31,,
0:30.0,Offensive rebound by Team,,31-31,,
0:22.0,P. Beverley misses 3-pt shot from 23 ft,,31-31,,
0:21.0,,,31-31,,Defensive rebound by O. Casspi
0:04.0,,,31-31,,O. Casspi misses 2-pt shot from 5 ft (block by D. Motiejunas)
0:02.0,,,31-31,,Offensive rebound by O. Casspi
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:56.0,,,31-31,,Turnover by B. McLemore (lost ball; steal by D. Motiejunas)
11:55.0,Turnover by D. Motiejunas (lost ball),,31-31,,
11:38.0,,,31-31,,D. Cousins misses 2-pt shot from 3 ft (block by D. Howard)
11:38.0,,,31-31,,Offensive rebound by Team
11:34.0,Personal foul by P. Beverley (drawn by D. Cousins),,31-31,,
11:22.0,,,31-31,,D. Cousins misses 2-pt shot from 20 ft
11:21.0,Defensive rebound by D. Motiejunas,,31-31,,
11:15.0,Turnover by D. Motiejunas (bad pass; steal by D. Cousins),,31-31,,
11:13.0,,,31-31,,Offensive foul by O. Casspi
11:13.0,,,31-31,,Turnover by O. Casspi (offensive foul)
11:01.0,,,31-31,,Personal foul by D. Cousins (drawn by D. Howard)
11:01.0,,,31-31,,D. Collison enters the game for B. McLemore
11:01.0,,,31-31,,K. Koufos enters the game for D. Cousins
10:49.0,D. Motiejunas misses 3-pt shot from 23 ft,,31-31,,
10:48.0,,,31-31,,Defensive rebound by D. Collison
10:37.0,,,31-34,3,O. Casspi makes 3-pt shot from 25 ft (assist by D. Collison)
10:24.0,D. Motiejunas misses 2-pt shot from 7 ft,,31-34,,
10:23.0,,,31-34,,Defensive rebound by K. Koufos
10:05.0,,,31-36,2,K. Koufos makes 2-pt shot from 9 ft (assist by D. Collison)
9:51.0,C. Brewer misses 3-pt shot from 25 ft,,31-36,,
9:50.0,,,31-36,,Defensive rebound by S. Curry
9:44.0,Personal foul by D. Motiejunas (drawn by O. Casspi),,31-36,,
9:44.0,T. Jones enters the game for D. Motiejunas,,31-36,,
9:44.0,,,31-36,,Technical foul by Team
9:44.0,P. Beverley makes technical free throw,1,32-36,,
9:39.0,Personal foul by T. Jones (drawn by M. Belinelli),,32-36,,
9:25.0,,,32-36,,S. Curry misses 3-pt shot from 25 ft
9:25.0,,,32-36,,Offensive rebound by Team
9:25.0,,,32-36,,Turnover by Team (shot clock)
9:15.0,Turnover by C. Brewer (bad pass; steal by O. Casspi),,32-36,,
9:11.0,,,32-38,2,O. Casspi makes 2-pt shot at rim (assist by D. Collison)
8:55.0,D. Howard makes 2-pt shot from 8 ft (assist by T. Lawson),2,34-38,,
8:40.0,,,34-38,,D. Collison misses 2-pt shot from 16 ft
8:39.0,Defensive rebound by T. Jones,,34-38,,
8:20.0,P. Beverley makes 3-pt shot from 24 ft (assist by T. Lawson),3,37-38,,
8:03.0,,,37-40,2,K. Koufos makes 2-pt shot from 6 ft
7:48.0,T. Lawson misses 2-pt shot from 2 ft,,37-40,,
7:48.0,Offensive rebound by T. Jones,,37-40,,
7:48.0,Shooting foul by K. Koufos (drawn by T. Jones),,37-40,,
7:48.0,Official timeout,,37-40,,
7:48.0,T. Ariza enters the game for P. Beverley,,37-40,,
7:48.0,J. Harden enters the game for C. Brewer,,37-40,,
7:48.0,J. Terry enters the game for T. Lawson,,37-40,,
7:48.0,,,37-40,,R. Gay enters the game for S. Curry
7:48.0,T. Jones makes free throw 1 of 2,1,38-40,,
7:48.0,T. Jones misses free throw 2 of 2,,38-40,,
7:46.0,,,38-40,,Defensive rebound by K. Koufos
7:35.0,,,38-40,,Turnover by M. Belinelli (lost ball; steal by T. Ariza)
7:31.0,T. Ariza makes 2-pt shot at rim,2,40-40,,
7:12.0,,,40-40,,M. Belinelli misses 2-pt shot from 22 ft
7:11.0,,,40-40,,Offensive rebound by K. Koufos
7:00.0,,,40-43,3,O. Casspi makes 3-pt shot from 24 ft (assist by R. Gay)
6:43.0,Turnover by D. Howard (offensive goaltending),,40-43,,
6:43.0,,,40-43,,B. McLemore enters the game for M. Belinelli
6:27.0,,,40-43,,Turnover by O. Casspi (bad pass; steal by T. Ariza)
6:19.0,Turnover by D. Howard (3 sec),,40-43,,
6:07.0,,,40-45,2,D. Collison makes 2-pt shot at rim
5:45.0,Turnover by J. Harden (lost ball; steal by R. Gay),,40-45,,
5:42.0,,,40-47,2,D. Collison makes 2-pt shot from 2 ft
5:30.0,,,40-47,,Sacramento full timeout
5:30.0,,,40-47,,D. Cousins enters the game for K. Koufos
5:30.0,C. Capela enters the game for D. Howard,,40-47,,
5:19.0,Offensive charge foul by T. Jones,,40-47,,
5:19.0,Turnover by T. Jones (offensive foul),,40-47,,
5:02.0,Personal block foul by C. Capela (drawn by D. Cousins),,40-47,,
5:02.0,D. Motiejunas enters the game for C. Capela,,40-47,,
4:52.0,,,40-47,,R. Gay misses 2-pt shot from 1 ft
4:51.0,,,40-47,,Offensive rebound by R. Gay
4:51.0,,,40-47,,R. Gay misses 2-pt shot from 1 ft
4:50.0,Defensive rebound by T. Jones,,40-47,,
4:43.0,D. Motiejunas makes 2-pt shot from 2 ft (assist by T. Ariza),2,42-47,,
4:34.0,,,42-47,,Shooting foul by T. Ariza (drawn by B. McLemore)
4:34.0,,,42-48,1,B. McLemore makes free throw 1 of 2
4:34.0,,,42-49,1,B. McLemore makes free throw 2 of 2
4:18.0,T. Ariza misses 3-pt shot from 25 ft,,42-49,,
4:17.0,,,42-49,,Defensive rebound by D. Collison
4:07.0,,,42-51,2,D. Cousins makes 2-pt shot from 3 ft
3:53.0,Turnover by J. Terry (bad pass; steal by R. Gay),,42-51,,
3:48.0,,,42-53,2,D. Collison makes 2-pt shot from 2 ft (assist by O. Casspi)
3:48.0,Houston full timeout,,42-53,,
3:48.0,P. Beverley enters the game for J. Terry,,42-53,,
3:48.0,D. Howard enters the game for T. Jones,,42-53,,
3:22.0,D. Motiejunas misses 3-pt shot from 23 ft (block by R. Gay),,42-53,,
3:21.0,,,42-53,,Defensive rebound by O. Casspi
3:14.0,,,42-53,,D. Collison misses 2-pt shot from 2 ft
3:13.0,Defensive rebound by D. Howard,,42-53,,
3:05.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,45-53,,
2:52.0,Personal foul by D. Howard (drawn by D. Cousins),,45-53,,
2:52.0,,,45-53,,D. Cousins misses free throw 1 of 2
2:52.0,,,45-53,,Offensive rebound by Team
2:52.0,,,45-53,,D. Cousins misses free throw 2 of 2
2:51.0,Defensive rebound by T. Ariza,,45-53,,
2:37.0,D. Motiejunas misses 2-pt shot from 6 ft,,45-53,,
2:36.0,,,45-53,,Defensive rebound by D. Collison
2:31.0,,,45-53,,Turnover by D. Collison (bad pass; steal by D. Motiejunas)
2:24.0,J. Harden misses 2-pt shot from 7 ft (block by D. Cousins),,45-53,,
2:23.0,,,45-53,,Defensive rebound by R. Gay
2:18.0,,,45-53,,Turnover by R. Gay (lost ball)
2:11.0,,,45-53,,Shooting block foul by D. Collison (drawn by P. Beverley)
2:11.0,P. Beverley misses free throw 1 of 2,,45-53,,
2:11.0,Offensive rebound by Team,,45-53,,
2:11.0,P. Beverley makes free throw 2 of 2,1,46-53,,
2:00.0,Personal foul by D. Howard (drawn by D. Cousins),,46-53,,
2:00.0,Technical foul by D. Howard (drawn by D. Cousins),,46-53,,
2:00.0,,,46-54,1,D. Collison makes technical free throw
2:00.0,,,46-55,1,D. Cousins makes free throw 1 of 2
2:00.0,,,46-56,1,D. Cousins makes free throw 2 of 2
1:49.0,Shooting foul by B. McLemore (drawn by J. Harden),,46-56,,
1:49.0,J. Harden makes free throw 1 of 2,1,47-56,,
1:49.0,C. Brewer enters the game for D. Howard,,47-56,,
1:49.0,J. Harden makes free throw 2 of 2,1,48-56,,
1:34.0,Personal foul by D. Motiejunas (drawn by D. Cousins),,48-56,,
1:34.0,,,48-57,1,D. Cousins makes free throw 1 of 2
1:34.0,,,48-57,,M. Belinelli enters the game for B. McLemore
1:34.0,,,48-57,,D. Cousins misses free throw 2 of 2
1:33.0,Defensive rebound by J. Harden,,48-57,,
1:27.0,Shooting foul by R. Gay (drawn by J. Harden),,48-57,,
1:27.0,J. Harden makes free throw 1 of 3,1,49-57,,
1:27.0,J. Harden misses free throw 2 of 3,,49-57,,
1:27.0,Offensive rebound by Team,,49-57,,
1:27.0,J. Harden makes free throw 3 of 3,1,50-57,,
1:11.0,,,50-57,,Offensive foul by D. Collison
1:11.0,,,50-57,,Turnover by D. Collison (offensive foul)
1:11.0,,,50-57,,S. Curry enters the game for D. Collison
0:51.0,C. Brewer misses 3-pt shot from 23 ft,,50-57,,
0:50.0,,,50-57,,Defensive rebound by R. Gay
0:40.0,,,50-57,,K. Koufos enters the game for D. Cousins
0:31.0,Violation by D. Motiejunas (kicked ball),,50-57,,
0:21.0,,,50-57,,K. Koufos misses 2-pt shot from 7 ft
0:20.0,,,50-57,,Offensive rebound by O. Casspi
0:01.0,,,50-57,,M. Belinelli misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by C. Brewer,,50-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Personal foul by D. Howard (drawn by D. Cousins),,50-57,,
11:30.0,,,50-59,2,D. Cousins makes 2-pt shot from 19 ft
11:18.0,J. Harden misses 3-pt shot from 24 ft,,50-59,,
11:17.0,,,50-59,,Defensive rebound by D. Cousins
11:08.0,,,50-59,,D. Cousins misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by T. Ariza,,50-59,,
10:48.0,P. Beverley makes 3-pt shot from 23 ft (assist by T. Ariza),3,53-59,,
10:22.0,,,53-61,2,D. Collison makes 2-pt shot from 15 ft (assist by O. Casspi)
10:12.0,D. Howard misses 2-pt shot from 4 ft,,53-61,,
10:12.0,,,53-61,,Defensive rebound by R. Gay
10:03.0,,,53-61,,Turnover by O. Casspi (bad pass; steal by D. Motiejunas)
9:57.0,J. Harden misses 2-pt shot from 3 ft,,53-61,,
9:57.0,,,53-61,,Defensive rebound by D. Cousins
9:48.0,,,53-64,3,D. Collison makes 3-pt shot from 25 ft (assist by O. Casspi)
9:48.0,Houston full timeout,,53-64,,
9:48.0,T. Lawson enters the game for T. Ariza,,53-64,,
9:48.0,T. Jones enters the game for D. Motiejunas,,53-64,,
9:48.0,C. Capela enters the game for D. Howard,,53-64,,
9:48.0,J. Terry enters the game for J. Harden,,53-64,,
9:48.0,C. Brewer enters the game for P. Beverley,,53-64,,
9:34.0,Turnover by C. Brewer (bad pass; steal by D. Collison),,53-64,,
9:31.0,,,53-66,2,O. Casspi makes 2-pt shot at rim (assist by D. Collison)
9:11.0,J. Terry makes 2-pt shot from 14 ft (assist by C. Brewer),2,55-66,,
8:58.0,,,55-68,2,D. Collison makes 2-pt shot from 2 ft
8:44.0,J. Terry misses 3-pt shot from 24 ft,,55-68,,
8:43.0,,,55-68,,Defensive rebound by D. Cousins
8:38.0,,,55-68,,Offensive charge foul by D. Cousins
8:38.0,,,55-68,,Turnover by D. Cousins (offensive foul)
8:30.0,Turnover by T. Lawson (bad pass; steal by R. Gay),,55-68,,
8:28.0,Clear path foul by T. Lawson,,55-68,,
8:28.0,,,55-68,,R. Gay misses clear path free throw 1 of 2
8:28.0,,,55-68,,Offensive rebound by Team
8:28.0,,,55-69,1,R. Gay makes clear path free throw 2 of 2
8:28.0,T. Ariza enters the game for T. Jones,,55-69,,
8:28.0,J. Harden enters the game for T. Lawson,,55-69,,
8:19.0,,,55-69,,R. Gay misses 3-pt shot from 23 ft
8:17.0,Defensive rebound by J. Harden,,55-69,,
8:06.0,Turnover by J. Harden (lost ball; steal by B. McLemore),,55-69,,
8:02.0,,,55-71,2,B. McLemore makes 2-pt shot at rim
7:39.0,C. Brewer misses 2-pt shot from 2 ft,,55-71,,
7:36.0,,,55-71,,Defensive rebound by D. Cousins
7:33.0,,,55-71,,Turnover by B. McLemore (traveling)
7:19.0,Offensive foul by C. Capela,,55-71,,
7:19.0,Turnover by C. Capela (offensive foul),,55-71,,
7:02.0,,,55-71,,O. Casspi misses 3-pt shot from 24 ft
7:02.0,Defensive rebound by C. Capela,,55-71,,
6:50.0,J. Terry misses 3-pt shot from 22 ft,,55-71,,
6:50.0,,,55-71,,Defensive rebound by Team
6:50.0,Loose ball foul by J. Terry (drawn by B. McLemore),,55-71,,
6:50.0,P. Beverley enters the game for C. Capela,,55-71,,
6:34.0,,,55-71,,Turnover by D. Cousins (bad pass; steal by P. Beverley)
6:26.0,C. Brewer makes 2-pt shot from 2 ft (assist by P. Beverley),2,57-71,,
6:10.0,,,57-71,,Offensive charge foul by R. Gay
6:10.0,,,57-71,,Turnover by R. Gay (offensive foul)
6:02.0,Shooting foul by B. McLemore (drawn by J. Harden),,57-71,,
6:02.0,J. Harden makes free throw 1 of 2,1,58-71,,
6:02.0,J. Harden misses free throw 2 of 2,,58-71,,
6:01.0,,,58-71,,Defensive rebound by R. Gay
5:36.0,,,58-71,,R. Gay misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by T. Ariza,,58-71,,
5:13.0,J. Harden misses 3-pt shot from 24 ft,,58-71,,
5:13.0,,,58-71,,Defensive rebound by D. Cousins
5:13.0,Personal foul by C. Brewer (drawn by D. Cousins),,58-71,,
4:54.0,Personal foul by T. Ariza (drawn by D. Cousins),,58-71,,
4:54.0,,,58-72,1,D. Cousins makes free throw 1 of 2
4:54.0,,,58-73,1,D. Cousins makes free throw 2 of 2
4:38.0,Turnover by J. Harden (lost ball; steal by R. Gay),,58-73,,
4:36.0,,,58-73,,Turnover by D. Collison (lost ball)
4:30.0,J. Terry misses 3-pt shot from 24 ft,,58-73,,
4:28.0,,,58-73,,Defensive rebound by D. Collison
4:25.0,,,58-73,,Turnover by D. Collison (bad pass; steal by P. Beverley)
4:20.0,J. Terry makes 3-pt shot from 23 ft (assist by C. Brewer),3,61-73,,
4:03.0,,,61-75,2,R. Gay makes 2-pt shot from 11 ft (assist by O. Casspi)
3:48.0,Turnover by C. Brewer (lost ball; steal by R. Gay),,61-75,,
3:35.0,,,61-77,2,D. Cousins makes 2-pt shot from 2 ft (assist by B. McLemore)
3:18.0,J. Harden makes 3-pt shot from 25 ft (assist by J. Terry),3,64-77,,
3:11.0,Personal foul by P. Beverley (drawn by R. Gay),,64-77,,
3:11.0,,,64-78,1,R. Gay makes free throw 1 of 2
3:11.0,,,64-78,,M. Belinelli enters the game for O. Casspi
3:11.0,,,64-78,,S. Curry enters the game for B. McLemore
3:11.0,M. Thornton enters the game for C. Brewer,,64-78,,
3:11.0,,,64-79,1,R. Gay makes free throw 2 of 2
2:56.0,T. Ariza misses 3-pt shot from 25 ft,,64-79,,
2:56.0,,,64-79,,Defensive rebound by R. Gay
2:43.0,,,64-79,,Turnover by D. Cousins (lost ball; steal by J. Terry)
2:39.0,Shooting foul by R. Gay (drawn by J. Harden),,64-79,,
2:39.0,,,64-79,,Sacramento full timeout
2:39.0,,,64-79,,O. Casspi enters the game for R. Gay
2:39.0,J. Harden makes free throw 1 of 2,1,65-79,,
2:39.0,J. Harden misses free throw 2 of 2,,65-79,,
2:37.0,,,65-79,,Defensive rebound by D. Cousins
2:26.0,,,65-79,,Turnover by S. Curry (bad pass; steal by T. Ariza)
2:24.0,J. Harden makes 2-pt shot at rim,2,67-79,,
1:56.0,,,67-82,3,O. Casspi makes 3-pt shot from 24 ft (assist by D. Collison)
1:42.0,T. Ariza misses 3-pt shot from 25 ft,,67-82,,
1:41.0,Offensive rebound by J. Harden,,67-82,,
1:40.0,J. Harden makes 2-pt shot from 2 ft,2,69-82,,
1:27.0,,,69-82,,D. Cousins misses 2-pt shot from 2 ft
1:26.0,Defensive rebound by J. Terry,,69-82,,
1:21.0,J. Harden makes 3-pt shot from 24 ft (assist by J. Terry),3,72-82,,
1:02.0,,,72-82,,Turnover by D. Collison (bad pass; steal by M. Thornton)
0:56.0,J. Harden makes 2-pt shot from 2 ft (assist by M. Thornton),2,74-82,,
0:56.0,,,74-82,,Sacramento full timeout
0:56.0,C. Brewer enters the game for J. Terry,,74-82,,
0:34.0,,,74-82,,Turnover by O. Casspi (bad pass)
0:22.0,M. Thornton misses 3-pt shot from 24 ft,,74-82,,
0:22.0,,,74-82,,Defensive rebound by D. Cousins
0:02.0,,,74-82,,M. Belinelli misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by Team,,74-82,,
0:00.0,M. Thornton misses 3-pt shot from 52 ft,,74-82,,
0:00.0,Offensive rebound by Team,,74-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,M. Thornton misses 2-pt shot from 22 ft,,74-82,,
11:39.0,,,74-82,,Defensive rebound by K. Koufos
11:20.0,,,74-82,,S. Curry misses 2-pt shot from 8 ft
11:19.0,,,74-82,,Offensive rebound by O. Casspi
11:19.0,,,74-84,2,O. Casspi makes 2-pt shot from 1 ft
11:04.0,C. Brewer misses 2-pt shot from 1 ft,,74-84,,
11:03.0,,,74-84,,Defensive rebound by O. Casspi
10:51.0,,,74-87,3,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Collison)
10:31.0,D. Howard misses 2-pt shot from 3 ft,,74-87,,
10:30.0,,,74-87,,Defensive rebound by K. Koufos
10:25.0,,,74-87,,Turnover by O. Casspi (bad pass; steal by C. Brewer)
10:20.0,J. Terry makes 2-pt shot from 1 ft (assist by C. Brewer),2,76-87,,
10:03.0,,,76-90,3,M. Belinelli makes 3-pt shot from 24 ft (assist by D. Collison)
9:43.0,D. Howard misses 2-pt shot from 9 ft,,76-90,,
9:42.0,,,76-90,,Defensive rebound by M. Belinelli
9:27.0,,,76-90,,Turnover by D. Collison (bad pass; steal by P. Beverley)
9:18.0,P. Beverley makes 2-pt shot from 6 ft,2,78-90,,
8:59.0,Personal foul by M. Thornton (drawn by O. Casspi),,78-90,,
8:59.0,Official timeout,,78-90,,
8:59.0,,,78-90,,R. Gay enters the game for O. Casspi
8:59.0,J. Harden enters the game for M. Thornton,,78-90,,
8:51.0,,,78-93,3,M. Belinelli makes 3-pt shot from 24 ft
8:35.0,J. Harden makes 3-pt shot from 25 ft (assist by D. Howard),3,81-93,,
8:25.0,,,81-93,,M. Belinelli misses 3-pt shot from 25 ft
8:24.0,,,81-93,,Offensive rebound by K. Koufos
8:24.0,,,81-93,,K. Koufos misses 2-pt shot at rim
8:24.0,,,81-93,,Offensive rebound by Team
8:24.0,Loose ball foul by J. Harden (drawn by K. Koufos),,81-93,,
8:24.0,T. Ariza enters the game for C. Brewer,,81-93,,
8:14.0,,,81-93,,Shooting foul by P. Beverley (drawn by K. Koufos)
8:14.0,,,81-93,,K. Koufos misses free throw 1 of 2
8:14.0,,,81-93,,Offensive rebound by Team
8:14.0,,,81-93,,K. Koufos misses free throw 2 of 2
8:13.0,Defensive rebound by D. Howard,,81-93,,
7:56.0,J. Terry misses 3-pt shot from 23 ft,,81-93,,
7:56.0,,,81-93,,Defensive rebound by R. Gay
7:35.0,,,81-95,2,K. Koufos makes 2-pt shot from 6 ft (assist by M. Belinelli)
7:17.0,J. Terry misses 3-pt shot from 23 ft,,81-95,,
