time,New Orleans,pts.away,score,pts.home,Boston
6:13.0,,,6-11,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Johnson)
6:00.0,Turnover by A. Ajinca (lost ball; steal by I. Thomas),,6-11,,
5:56.0,T. Frazier enters the game for J. Ennis,,6-11,,
5:50.0,,,6-11,,J. Sullinger misses 2-pt shot from 17 ft
5:50.0,Defensive rebound by T. Douglas,,6-11,,
5:34.0,T. Frazier misses 2-pt shot from 2 ft,,6-11,,
5:34.0,Offensive rebound by O. Asik,,6-11,,
5:29.0,O. Asik misses 2-pt shot from 1 ft (block by A. Johnson),,6-11,,
5:27.0,,,6-11,,Defensive rebound by A. Johnson
5:25.0,,,6-13,2,A. Bradley makes 2-pt shot at rim (assist by I. Thomas)
5:15.0,Turnover by T. Douglas (lost ball),,6-13,,
5:08.0,Personal foul by T. Frazier,,6-13,,
5:08.0,,,6-13,,M. Smart enters the game for J. Crowder
5:08.0,K. Perkins enters the game for O. Asik,,6-13,,
4:59.0,,,6-15,2,A. Johnson makes 2-pt shot from 1 ft (assist by A. Bradley)
4:39.0,D. Cunningham misses 3-pt shot from 24 ft,,6-15,,
4:38.0,,,6-15,,Defensive rebound by A. Johnson
4:32.0,,,6-15,,I. Thomas misses 3-pt shot from 24 ft
4:31.0,Defensive rebound by K. Perkins,,6-15,,
4:21.0,A. Ajinca misses 2-pt shot from 18 ft,,6-15,,
4:19.0,,,6-15,,Defensive rebound by J. Sullinger
4:10.0,,,6-15,,I. Thomas misses 2-pt shot from 1 ft (block by D. Cunningham)
4:09.0,,,6-15,,Offensive rebound by M. Smart
4:06.0,,,6-15,,A. Bradley misses 3-pt shot from 23 ft
4:06.0,Defensive rebound by D. Cunningham,,6-15,,
3:48.0,T. Douglas makes 3-pt shot from 25 ft (assist by A. Ajinca),3,9-15,,
3:30.0,,,9-15,,J. Sullinger misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by A. Ajinca,,9-15,,
3:16.0,T. Frazier misses 2-pt shot from 4 ft,,9-15,,
3:16.0,,,9-15,,Defensive rebound by J. Sullinger
3:10.0,,,9-17,2,I. Thomas makes 2-pt shot at rim (assist by J. Sullinger)
2:53.0,T. Frazier makes 2-pt shot from 5 ft,2,11-17,,
2:36.0,,,11-17,,J. Sullinger misses 2-pt shot from 18 ft
2:35.0,Defensive rebound by T. Frazier,,11-17,,
2:18.0,K. Perkins misses 2-pt shot from 8 ft,,11-17,,
2:17.0,,,11-17,,Defensive rebound by A. Johnson
2:13.0,,,11-17,,Shooting foul by D. Cunningham (drawn by A. Bradley)
2:13.0,,,11-17,,Boston full timeout
2:13.0,,,11-17,,T. Rozier enters the game for I. Thomas
2:13.0,,,11-17,,K. Olynyk enters the game for J. Sullinger
2:13.0,L. Babbitt enters the game for A. Ajinca,,11-17,,
2:13.0,,,11-17,,A. Bradley misses free throw 1 of 2
2:13.0,,,11-17,,Offensive rebound by Team
2:13.0,,,11-18,1,A. Bradley makes free throw 2 of 2
1:56.0,D. Cunningham misses 2-pt shot from 1 ft,,11-18,,
1:55.0,,,11-18,,Defensive rebound by A. Johnson
1:36.0,,,11-18,,A. Bradley misses 2-pt shot from 14 ft
1:35.0,Defensive rebound by T. Douglas,,11-18,,
1:18.0,T. Frazier makes 2-pt shot from 16 ft,2,13-18,,
1:01.0,Personal foul by T. Douglas,,13-18,,
1:01.0,,,13-19,1,K. Olynyk makes free throw 1 of 2
1:01.0,J. Hamilton enters the game for D. Cunningham,,13-19,,
1:01.0,,,13-19,,J. Jerebko enters the game for A. Johnson
1:01.0,,,13-20,1,K. Olynyk makes free throw 2 of 2
0:49.0,Shooting foul by J. Jerebko (drawn by L. Babbitt),,13-20,,
0:49.0,L. Babbitt misses free throw 1 of 2,,13-20,,
0:49.0,Offensive rebound by Team,,13-20,,
0:49.0,L. Babbitt makes free throw 2 of 2,1,14-20,,
0:36.0,,,14-20,,T. Rozier misses 2-pt shot from 3 ft
0:36.0,,,14-20,,Offensive rebound by T. Rozier
0:23.0,,,14-23,3,K. Olynyk makes 3-pt shot from 27 ft (assist by M. Smart)
0:00.0,T. Douglas makes 3-pt shot from 23 ft (assist by T. Frazier),3,17-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,L. Babbitt misses 2-pt shot from 2 ft (block by J. Jerebko),,17-23,,
11:45.0,,,17-23,,Defensive rebound by J. Jerebko
11:27.0,,,17-23,,J. Crowder misses 2-pt shot from 18 ft
11:26.0,Defensive rebound by J. Ennis,,17-23,,
11:23.0,Turnover by T. Frazier (lost ball; steal by K. Olynyk),,17-23,,
11:18.0,,,17-25,2,K. Olynyk makes 2-pt shot from 1 ft
11:05.0,J. Hamilton misses 3-pt shot from 27 ft,,17-25,,
11:05.0,,,17-25,,Defensive rebound by J. Jerebko
10:53.0,,,17-25,,J. Jerebko misses 2-pt shot from 1 ft
10:52.0,Defensive rebound by L. Babbitt,,17-25,,
10:45.0,K. Perkins misses 2-pt shot from 2 ft (block by M. Smart),,17-25,,
10:44.0,Offensive rebound by K. Perkins,,17-25,,
10:43.0,K. Perkins makes 2-pt shot from 1 ft,2,19-25,,
10:26.0,,,19-25,,Shooting foul by J. Hamilton (drawn by J. Crowder)
10:26.0,,,19-26,1,J. Crowder makes free throw 1 of 2
10:26.0,,,19-27,1,J. Crowder makes free throw 2 of 2
10:15.0,L. Babbitt makes 2-pt shot at rim,2,21-27,,
10:03.0,,,21-30,3,M. Smart makes 3-pt shot from 24 ft (assist by K. Olynyk)
9:45.0,J. Hamilton makes 2-pt shot from 22 ft (assist by L. Babbitt),2,23-30,,
9:29.0,,,23-30,,T. Rozier misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by J. Ennis,,23-30,,
9:11.0,J. Ennis misses 3-pt shot from 25 ft,,23-30,,
9:09.0,,,23-30,,Defensive rebound by M. Smart
8:47.0,,,23-30,,M. Smart misses 3-pt shot from 23 ft
8:46.0,Defensive rebound by L. Babbitt,,23-30,,
8:41.0,J. Ennis makes 2-pt shot at rim (assist by T. Frazier),2,25-30,,
8:41.0,Shooting foul by T. Rozier (drawn by J. Ennis),,25-30,,
8:41.0,Official timeout,,25-30,,
8:41.0,J. Ennis makes free throw 1 of 1,1,26-30,,
8:28.0,,,26-30,,K. Olynyk misses 2-pt shot from 16 ft
8:28.0,Defensive rebound by J. Hamilton,,26-30,,
8:23.0,Turnover by K. Perkins (lost ball; steal by M. Smart),,26-30,,
8:19.0,,,26-32,2,M. Smart makes 2-pt shot at rim
8:01.0,,,26-32,,R. Hunter enters the game for J. Jerebko
7:49.0,T. Frazier makes 3-pt shot from 24 ft,3,29-32,,
7:34.0,,,29-34,2,M. Smart makes 2-pt shot from 20 ft (assist by K. Olynyk)
7:16.0,Shooting foul by T. Rozier (drawn by K. Perkins),,29-34,,
7:16.0,K. Perkins misses free throw 1 of 2,,29-34,,
7:16.0,Offensive rebound by Team,,29-34,,
7:16.0,,,29-34,,J. Sullinger enters the game for K. Olynyk
7:16.0,K. Perkins makes free throw 2 of 2,1,30-34,,
6:57.0,,,30-34,,T. Rozier misses 2-pt shot from 5 ft
6:56.0,Defensive rebound by J. Hamilton,,30-34,,
6:39.0,J. Ennis makes 3-pt shot from 25 ft (assist by L. Babbitt),3,33-34,,
6:17.0,,,33-34,,M. Smart misses 3-pt shot from 26 ft
6:16.0,Defensive rebound by Team,,33-34,,
6:16.0,O. Asik enters the game for K. Perkins,,33-34,,
6:02.0,Jump ball: J. Ennis vs. T. Rozier (J. Sullinger gains possession),,,,Jump ball: J. Ennis vs. T. Rozier (J. Sullinger gains possession)
6:02.0,Turnover by J. Ennis (lost ball; steal by T. Rozier),,33-34,,
5:55.0,,,33-34,,R. Hunter misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by T. Frazier,,33-34,,
5:47.0,J. Hamilton makes 3-pt shot from 25 ft (assist by T. Frazier),3,36-34,,
5:41.0,,,36-34,,Boston full timeout
5:41.0,,,36-34,,I. Thomas enters the game for T. Rozier
5:35.0,,,36-34,,J. Crowder misses 3-pt shot from 24 ft
5:33.0,,,36-34,,Offensive rebound by I. Thomas
5:27.0,,,36-36,2,R. Hunter makes 2-pt shot from 1 ft (assist by M. Smart)
5:09.0,J. Hamilton misses 2-pt shot from 1 ft,,36-36,,
5:08.0,,,36-36,,Defensive rebound by J. Sullinger
5:07.0,Personal foul by O. Asik,,36-36,,
4:57.0,,,36-38,2,I. Thomas makes 2-pt shot from 3 ft
4:36.0,L. Babbitt misses 2-pt shot from 3 ft,,36-38,,
4:35.0,,,36-38,,Defensive rebound by J. Sullinger
4:25.0,,,36-40,2,J. Sullinger makes 2-pt shot from 19 ft (assist by I. Thomas)
4:00.0,T. Frazier makes 2-pt shot from 10 ft (assist by J. Ennis),2,38-40,,
4:00.0,Shooting foul by I. Thomas (drawn by T. Frazier),,38-40,,
4:00.0,,,38-40,,A. Bradley enters the game for M. Smart
4:00.0,T. Frazier makes free throw 1 of 1,1,39-40,,
3:43.0,,,39-40,,A. Bradley misses 3-pt shot from 24 ft
3:42.0,Defensive rebound by L. Babbitt,,39-40,,
3:39.0,Turnover by T. Frazier (dbl dribble),,39-40,,
3:23.0,,,39-42,2,A. Bradley makes 2-pt shot from 2 ft (assist by I. Thomas)
3:00.0,J. Hamilton misses 3-pt shot from 25 ft,,39-42,,
2:59.0,,,39-42,,Defensive rebound by I. Thomas
2:51.0,,,39-44,2,I. Thomas makes 2-pt shot from 1 ft
2:46.0,Shooting foul by J. Crowder (drawn by T. Frazier),,39-44,,
2:46.0,New Orleans full timeout,,39-44,,
2:46.0,T. Frazier makes free throw 1 of 2,1,40-44,,
2:46.0,T. Frazier makes free throw 2 of 2,1,41-44,,
2:33.0,Personal foul by O. Asik,,41-44,,
2:21.0,,,41-44,,J. Sullinger misses 2-pt shot from 4 ft
2:20.0,Defensive rebound by J. Hamilton,,41-44,,
2:12.0,Offensive charge foul by O. Asik,,41-44,,
2:12.0,Turnover by O. Asik (offensive foul),,41-44,,
2:12.0,,,41-44,,M. Smart enters the game for J. Crowder
2:12.0,,,41-44,,A. Johnson enters the game for J. Sullinger
1:55.0,,,41-44,,I. Thomas misses 2-pt shot from 7 ft
1:54.0,,,41-44,,Offensive rebound by A. Johnson
1:53.0,,,41-46,2,A. Johnson makes 2-pt shot from 2 ft
1:41.0,Shooting foul by A. Johnson (drawn by O. Asik),,41-46,,
1:41.0,O. Asik makes free throw 1 of 2,1,42-46,,
1:41.0,O. Asik makes free throw 2 of 2,1,43-46,,
1:25.0,,,43-46,,I. Thomas misses 2-pt shot from 1 ft
1:24.0,,,43-46,,Offensive rebound by A. Johnson
1:24.0,,,43-46,,A. Johnson misses 2-pt shot from 1 ft
1:23.0,,,43-46,,Offensive rebound by A. Bradley
1:17.0,,,43-49,3,I. Thomas makes 3-pt shot from 22 ft (assist by A. Bradley)
1:06.0,L. Babbitt misses 3-pt shot from 23 ft,,43-49,,
1:05.0,Offensive rebound by O. Asik,,43-49,,
1:02.0,T. Frazier misses 3-pt shot from 25 ft,,43-49,,
1:01.0,,,43-49,,Defensive rebound by R. Hunter
0:55.0,,,43-49,,Turnover by A. Bradley (lost ball; steal by T. Frazier)
0:49.0,J. Hamilton makes 2-pt shot at rim (assist by T. Frazier),2,45-49,,
0:49.0,,,45-49,,Boston full timeout
0:49.0,D. Cunningham enters the game for O. Asik,,45-49,,
0:28.0,,,45-51,2,M. Smart makes 2-pt shot from 4 ft
0:04.0,T. Frazier misses 2-pt shot from 11 ft,,45-51,,
0:04.0,Offensive rebound by Team,,45-51,,
0:04.0,Turnover by Team (shot clock),,45-51,,
0:04.0,,,45-51,,K. Olynyk enters the game for A. Johnson
0:02.0,,,45-53,2,I. Thomas makes 2-pt shot from 1 ft (assist by R. Hunter)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Turnover by T. Douglas (traveling),,45-53,,
11:24.0,Violation by J. Ennis (kicked ball),,45-53,,
11:22.0,,,45-53,,Shooting foul by A. Ajinca (drawn by A. Johnson)
11:22.0,,,45-54,1,A. Johnson makes free throw 1 of 2
11:22.0,,,45-55,1,A. Johnson makes free throw 2 of 2
11:10.0,A. Ajinca misses 2-pt shot from 18 ft,,45-55,,
11:09.0,,,45-55,,Defensive rebound by A. Bradley
10:55.0,,,45-58,3,J. Crowder makes 3-pt shot from 24 ft (assist by J. Sullinger)
10:43.0,D. Cunningham misses 2-pt shot from 12 ft,,45-58,,
10:41.0,,,45-58,,Defensive rebound by A. Johnson
10:31.0,,,45-58,,I. Thomas misses 2-pt shot from 1 ft
10:30.0,Defensive rebound by O. Asik,,45-58,,
10:15.0,,,45-58,,Personal foul by I. Thomas
10:07.0,A. Ajinca misses 2-pt shot from 16 ft,,45-58,,
10:06.0,,,45-58,,Defensive rebound by J. Sullinger
9:58.0,,,45-61,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
9:57.0,New Orleans full timeout,,45-61,,
9:57.0,L. Babbitt enters the game for O. Asik,,45-61,,
9:30.0,J. Ennis makes 2-pt shot from 22 ft (assist by D. Cunningham),2,47-61,,
9:08.0,,,47-61,,A. Bradley misses 3-pt shot from 24 ft
9:07.0,Defensive rebound by D. Cunningham,,47-61,,
8:58.0,T. Douglas makes 2-pt shot from 22 ft,2,49-61,,
8:35.0,,,49-61,,J. Crowder misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by A. Ajinca,,49-61,,
8:18.0,Turnover by J. Ennis (lost ball),,49-61,,
8:11.0,,,49-61,,A. Bradley misses 2-pt shot from 19 ft
8:10.0,Defensive rebound by T. Douglas,,49-61,,
8:01.0,J. Ennis makes 3-pt shot from 24 ft (assist by T. Douglas),3,52-61,,
7:32.0,,,52-63,2,I. Thomas makes 2-pt shot from 17 ft
7:19.0,A. Ajinca makes 2-pt shot from 18 ft (assist by T. Douglas),2,54-63,,
7:12.0,Personal foul by J. Ennis,,54-63,,
7:12.0,,,54-63,,M. Smart enters the game for J. Sullinger
7:02.0,,,54-63,,Shooting foul by D. Cunningham (drawn by I. Thomas)
7:02.0,,,54-64,1,I. Thomas makes free throw 1 of 2
7:02.0,,,54-65,1,I. Thomas makes free throw 2 of 2
6:45.0,T. Douglas makes 2-pt shot from 18 ft (assist by D. Cunningham),2,56-65,,
6:33.0,,,56-65,,Turnover by A. Johnson (offensive foul)
6:33.0,,,56-65,,Offensive foul by A. Johnson
6:22.0,L. Babbitt misses 3-pt shot from 24 ft,,56-65,,
6:20.0,Offensive rebound by A. Ajinca,,56-65,,
6:17.0,L. Babbitt makes 2-pt shot from 1 ft (assist by A. Ajinca),2,58-65,,
6:00.0,Jump ball: J. Ennis vs. I. Thomas (L. Babbitt gains possession),,,,Jump ball: J. Ennis vs. I. Thomas (L. Babbitt gains possession)
6:00.0,,,58-65,,Turnover by I. Thomas (lost ball; steal by J. Ennis)
5:46.0,D. Cunningham misses 2-pt shot from 17 ft,,58-65,,
5:45.0,Offensive rebound by A. Ajinca,,58-65,,
5:44.0,Shooting foul by A. Johnson (drawn by A. Ajinca),,58-65,,
5:44.0,A. Ajinca makes free throw 1 of 2,1,59-65,,
5:44.0,A. Ajinca makes free throw 2 of 2,1,60-65,,
5:36.0,,,60-65,,Offensive foul by A. Johnson
5:36.0,,,60-65,,Turnover by A. Johnson (offensive foul)
5:18.0,T. Douglas misses 3-pt shot from 25 ft,,60-65,,
5:17.0,Offensive rebound by J. Ennis,,60-65,,
5:17.0,J. Ennis makes 2-pt shot at rim,2,62-65,,
5:00.0,Personal foul by T. Douglas,,62-65,,
5:00.0,,,62-65,,K. Olynyk enters the game for A. Johnson
5:00.0,,,62-65,,J. Jerebko enters the game for J. Crowder
4:50.0,,,62-68,3,I. Thomas makes 3-pt shot from 25 ft
4:33.0,A. Ajinca misses 2-pt shot from 17 ft,,62-68,,
4:32.0,,,62-68,,Defensive rebound by A. Bradley
4:27.0,Personal foul by A. Ajinca,,62-68,,
4:27.0,,,62-69,1,I. Thomas makes free throw 1 of 2
4:27.0,K. Perkins enters the game for A. Ajinca,,62-69,,
4:27.0,T. Frazier enters the game for J. Ennis,,62-69,,
4:27.0,,,62-70,1,I. Thomas makes free throw 2 of 2
4:18.0,,,62-70,,Personal foul by M. Smart
4:07.0,Turnover by K. Perkins (lost ball; steal by A. Bradley),,62-70,,
4:04.0,,,62-72,2,A. Bradley makes 2-pt shot at rim
4:04.0,,,62-72,,Shooting foul by L. Babbitt (drawn by A. Bradley)
4:04.0,,,62-73,1,A. Bradley makes free throw 1 of 1
3:48.0,D. Cunningham misses 3-pt shot from 25 ft,,62-73,,
3:48.0,,,62-73,,Defensive rebound by M. Smart
3:38.0,,,62-76,3,J. Jerebko makes 3-pt shot from 23 ft (assist by I. Thomas)
3:30.0,,,62-76,,Personal foul by K. Olynyk
3:22.0,L. Babbitt misses 2-pt shot from 13 ft,,62-76,,
3:21.0,,,62-76,,Defensive rebound by A. Bradley
3:08.0,,,62-76,,A. Bradley misses 2-pt shot from 18 ft
3:07.0,Defensive rebound by T. Douglas,,62-76,,
2:56.0,,,62-76,,Violation by K. Olynyk (kicked ball)
2:56.0,,,62-76,,Boston full timeout
2:56.0,J. Hamilton enters the game for D. Cunningham,,62-76,,
2:40.0,T. Douglas makes 2-pt shot from 12 ft (assist by L. Babbitt),2,64-76,,
2:27.0,,,64-76,,K. Olynyk misses 3-pt shot from 24 ft
2:26.0,Defensive rebound by T. Douglas,,64-76,,
2:11.0,J. Hamilton makes 2-pt shot from 19 ft,2,66-76,,
1:59.0,,,66-76,,Turnover by I. Thomas (lost ball)
1:52.0,,,66-76,,Personal foul by J. Jerebko
1:52.0,T. Douglas makes free throw 1 of 2,1,67-76,,
1:52.0,,,67-76,,T. Rozier enters the game for I. Thomas
1:52.0,T. Douglas makes free throw 2 of 2,1,68-76,,
1:36.0,,,68-76,,K. Olynyk misses 2-pt shot from 10 ft
1:36.0,Defensive rebound by T. Frazier,,68-76,,
1:22.0,Shooting foul by M. Smart (drawn by L. Babbitt),,68-76,,
1:22.0,L. Babbitt makes free throw 1 of 2,1,69-76,,
1:22.0,L. Babbitt makes free throw 2 of 2,1,70-76,,
1:00.0,,,70-76,,K. Olynyk misses 2-pt shot from 22 ft
1:00.0,Defensive rebound by T. Frazier,,70-76,,
0:57.0,T. Frazier makes 2-pt shot at rim,2,72-76,,
0:46.0,,,72-76,,T. Rozier misses 2-pt shot from 14 ft
0:46.0,Defensive rebound by L. Babbitt,,72-76,,
0:32.0,,,72-76,,Personal block foul by K. Olynyk
0:32.0,L. Babbitt makes free throw 1 of 2,1,73-76,,
0:32.0,,,73-76,,T. Zeller enters the game for K. Olynyk
0:32.0,,,73-76,,J. Crowder enters the game for J. Jerebko
0:32.0,L. Babbitt misses free throw 2 of 2,,73-76,,
0:32.0,,,73-76,,Defensive rebound by J. Crowder
0:10.0,,,73-76,,A. Bradley misses 3-pt shot from 24 ft
0:10.0,Defensive rebound by L. Babbitt,,73-76,,
0:02.0,T. Douglas misses 2-pt shot from 7 ft,,73-76,,
0:01.0,,,73-76,,Defensive rebound by M. Smart
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,73-76,,M. Smart misses 3-pt shot from 23 ft
11:40.0,Defensive rebound by T. Frazier,,73-76,,
11:32.0,L. Babbitt makes 3-pt shot from 25 ft (assist by T. Frazier),3,76-76,,
11:22.0,Personal foul by T. Douglas,,76-76,,
11:22.0,J. Ennis enters the game for T. Douglas,,76-76,,
11:16.0,,,76-78,2,T. Rozier makes 2-pt shot from 1 ft
11:07.0,K. Perkins misses 2-pt shot from 10 ft,,76-78,,
11:06.0,,,76-78,,Defensive rebound by J. Jerebko
10:50.0,,,76-78,,Shooting foul by J. Ennis (drawn by T. Zeller)
10:50.0,,,76-79,1,T. Zeller makes free throw 1 of 2
10:50.0,,,76-79,,T. Zeller misses free throw 2 of 2
10:50.0,Defensive rebound by K. Perkins,,76-79,,
10:34.0,Turnover by J. Hamilton (traveling),,76-79,,
10:22.0,,,76-79,,J. Crowder misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by L. Babbitt,,76-79,,
10:13.0,T. Frazier misses 2-pt shot from 13 ft,,76-79,,
10:12.0,,,76-79,,Defensive rebound by Team
10:06.0,Personal foul by J. Ennis,,76-79,,
10:06.0,D. Cunningham enters the game for J. Ennis,,76-79,,
9:52.0,,,76-79,,T. Rozier misses 3-pt shot from 23 ft
9:51.0,Defensive rebound by K. Perkins,,76-79,,
9:46.0,L. Babbitt makes 3-pt shot from 24 ft (assist by T. Frazier),3,79-79,,
9:46.0,,,79-79,,Boston full timeout
9:28.0,,,79-82,3,J. Jerebko makes 3-pt shot from 24 ft (assist by M. Smart)
9:06.0,J. Hamilton makes 3-pt shot from 26 ft (assist by L. Babbitt),3,82-82,,
8:49.0,,,82-84,2,M. Smart makes 2-pt shot from 2 ft (assist by T. Zeller)
8:31.0,J. Hamilton misses 3-pt shot from 24 ft,,82-84,,
8:30.0,,,82-84,,Defensive rebound by J. Jerebko
8:22.0,,,82-84,,J. Crowder misses 2-pt shot from 2 ft
8:20.0,Defensive rebound by L. Babbitt,,82-84,,
8:18.0,Shooting foul by M. Smart (drawn by D. Cunningham),,82-84,,
8:18.0,D. Cunningham makes free throw 1 of 2,1,83-84,,
8:18.0,A. Ajinca enters the game for K. Perkins,,83-84,,
8:18.0,D. Cunningham makes free throw 2 of 2,1,84-84,,
8:05.0,,,84-84,,J. Jerebko misses 2-pt shot from 14 ft
8:05.0,Defensive rebound by J. Hamilton,,84-84,,
7:51.0,L. Babbitt misses 3-pt shot from 23 ft,,84-84,,
7:50.0,,,84-84,,Defensive rebound by T. Zeller
7:41.0,,,84-86,2,T. Zeller makes 2-pt shot from 4 ft (assist by M. Smart)
7:31.0,T. Frazier misses 2-pt shot from 5 ft,,84-86,,
7:30.0,,,84-86,,Defensive rebound by J. Jerebko
7:25.0,Personal foul by T. Frazier,,84-86,,
7:25.0,,,84-86,,I. Thomas enters the game for T. Rozier
7:25.0,J. Ennis enters the game for L. Babbitt,,84-86,,
7:11.0,,,84-86,,I. Thomas misses 2-pt shot from 4 ft
7:10.0,Defensive rebound by A. Ajinca,,84-86,,
6:57.0,T. Frazier makes 2-pt shot from 2 ft (assist by A. Ajinca),2,86-86,,
6:38.0,,,86-86,,I. Thomas misses 3-pt shot from 25 ft
6:36.0,,,86-86,,Offensive rebound by T. Zeller
6:33.0,,,86-86,,J. Crowder misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by J. Hamilton,,86-86,,
6:12.0,T. Frazier misses 2-pt shot from 11 ft,,86-86,,
6:11.0,,,86-86,,Defensive rebound by T. Zeller
6:01.0,,,86-86,,Turnover by I. Thomas (lost ball; steal by J. Ennis)
6:00.0,,,86-86,,Personal foul by J. Crowder
6:00.0,New Orleans full timeout,,86-86,,
6:00.0,,,86-86,,A. Bradley enters the game for J. Crowder
6:00.0,,,86-86,,A. Johnson enters the game for T. Zeller
5:40.0,Offensive foul by J. Ennis,,86-86,,
5:40.0,Turnover by J. Ennis (offensive foul),,86-86,,
5:40.0,T. Douglas enters the game for J. Ennis,,86-86,,
5:30.0,Personal block foul by T. Frazier,,86-86,,
5:30.0,,,86-86,,I. Thomas misses free throw 1 of 2
5:30.0,,,86-86,,Offensive rebound by Team
5:30.0,,,86-87,1,I. Thomas makes free throw 2 of 2
5:19.0,Turnover by A. Ajinca (lost ball; steal by M. Smart),,86-87,,
5:00.0,,,86-87,,Turnover by J. Jerebko (offensive goaltending)
4:52.0,Offensive foul by A. Ajinca,,86-87,,
4:52.0,Turnover by A. Ajinca (offensive foul),,86-87,,
4:30.0,,,86-87,,A. Bradley misses 2-pt shot from 2 ft (block by T. Frazier)
4:29.0,,,86-87,,Offensive rebound by Team
4:29.0,L. Babbitt enters the game for A. Ajinca,,86-87,,
4:27.0,,,86-87,,Turnover by Team (shot clock)
4:19.0,Turnover by T. Frazier (lost ball; steal by A. Bradley),,86-87,,
4:13.0,,,86-87,,Shooting foul by D. Cunningham (drawn by I. Thomas)
4:13.0,,,86-88,1,I. Thomas makes free throw 1 of 2
4:13.0,,,86-88,,J. Crowder enters the game for J. Jerebko
4:13.0,,,86-89,1,I. Thomas makes free throw 2 of 2
4:07.0,T. Douglas makes 2-pt shot from 2 ft,2,88-89,,
