time,LA Lakers,pts.away,score,pts.home,Orlando
5:47.0,,,14-10,,Offensive rebound by D. Dedmon
5:47.0,,,14-10,,D. Dedmon misses 2-pt shot from 1 ft
5:46.0,,,14-10,,Offensive rebound by D. Dedmon
5:43.0,,,14-10,,D. Dedmon misses 2-pt shot at rim
5:41.0,,,14-10,,Offensive rebound by T. Harris
5:41.0,,,14-12,2,T. Harris makes 2-pt shot from 2 ft
5:31.0,D. Russell misses 2-pt shot from 14 ft,,14-12,,
5:27.0,,,14-12,,Defensive rebound by V. Oladipo
5:19.0,,,14-12,,Turnover by E. Payton (bad pass)
5:19.0,,,14-12,,Orlando full timeout
5:19.0,N. Young enters the game for M. World Peace,,14-12,,
5:19.0,L. Williams enters the game for J. Clarkson,,14-12,,
5:19.0,,,14-12,,A. Gordon enters the game for T. Harris
5:19.0,,,14-12,,S. Napier enters the game for D. Dedmon
5:19.0,,,14-12,,N. Vucevic enters the game for V. Oladipo
5:19.0,,,14-12,,M. Hezonja enters the game for E. Payton
5:07.0,,,14-12,,Personal foul by A. Gordon (drawn by J. Randle)
4:54.0,N. Young makes 3-pt shot from 24 ft (assist by J. Randle),3,17-12,,
4:34.0,,,17-15,3,S. Napier makes 3-pt shot from 25 ft (assist by E. Fournier)
4:15.0,J. Randle makes 2-pt shot from 8 ft (assist by R. Hibbert),2,19-15,,
3:49.0,,,19-17,2,N. Vucevic makes 2-pt shot from 11 ft
3:30.0,R. Hibbert makes 2-pt shot from 2 ft,2,21-17,,
3:19.0,,,21-17,,M. Hezonja misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by R. Hibbert,,21-17,,
3:08.0,D. Russell misses 2-pt shot from 14 ft,,21-17,,
3:08.0,,,21-17,,Defensive rebound by N. Vucevic
2:56.0,,,21-19,2,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier)
2:38.0,R. Hibbert misses 2-pt shot from 15 ft,,21-19,,
2:38.0,,,21-19,,Defensive rebound by A. Gordon
2:32.0,,,21-19,,S. Napier misses 3-pt shot from 24 ft
2:29.0,Defensive rebound by R. Hibbert,,21-19,,
2:26.0,Turnover by R. Hibbert (bad pass; steal by E. Fournier),,21-19,,
2:19.0,,,21-22,3,M. Hezonja makes 3-pt shot from 25 ft (assist by N. Vucevic)
1:55.0,Turnover by D. Russell (bad pass; steal by S. Napier),,21-22,,
1:43.0,,,21-22,,Shooting foul by J. Randle (drawn by E. Fournier)
1:43.0,LA Lakers full timeout,,21-22,,
1:43.0,L. Nance enters the game for J. Randle,,21-22,,
1:43.0,T. Black enters the game for R. Hibbert,,21-22,,
1:43.0,,,21-23,1,E. Fournier makes free throw 1 of 2
1:43.0,,,21-23,,E. Fournier misses free throw 2 of 2
1:43.0,Defensive rebound by T. Black,,21-23,,
1:32.0,L. Williams misses 3-pt shot from 24 ft,,21-23,,
1:31.0,Offensive rebound by L. Nance,,21-23,,
1:25.0,N. Young misses 3-pt shot from 26 ft,,21-23,,
1:24.0,,,21-23,,Defensive rebound by A. Gordon
1:23.0,Personal foul by D. Russell (drawn by A. Gordon),,21-23,,
1:23.0,,,21-24,1,A. Gordon makes free throw 1 of 2
1:23.0,,,21-24,,D. Marble enters the game for E. Fournier
1:23.0,,,21-24,,A. Gordon misses free throw 2 of 2
1:22.0,Defensive rebound by T. Black,,21-24,,
1:08.0,Turnover by D. Russell (bad pass),,21-24,,
0:57.0,,,21-26,2,N. Vucevic makes 2-pt shot from 12 ft (assist by S. Napier)
0:44.0,N. Young makes 2-pt shot from 14 ft (assist by L. Nance),2,23-26,,
0:28.0,,,23-26,,M. Hezonja misses 2-pt shot from 21 ft
0:28.0,Defensive rebound by L. Nance,,23-26,,
0:04.0,L. Williams makes 2-pt shot from 9 ft,2,25-26,,
0:00.0,,,25-26,,Turnover by S. Napier (lost ball)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:57.0,,,25-26,,Turnover by N. Vucevic (bad pass; steal by M. Huertas)
11:35.0,N. Young misses 3-pt shot from 31 ft,,25-26,,
11:33.0,,,25-26,,Defensive rebound by D. Marble
11:10.0,Personal foul by N. Young (drawn by M. Hezonja),,25-26,,
10:59.0,,,25-26,,D. Marble misses 3-pt shot from 25 ft
10:58.0,,,25-26,,Offensive rebound by M. Hezonja
10:58.0,,,25-26,,Shooting foul by L. Nance (drawn by M. Hezonja)
10:58.0,,,25-27,1,M. Hezonja makes free throw 1 of 2
10:58.0,,,25-27,,T. Harris enters the game for A. Gordon
10:58.0,,,25-28,1,M. Hezonja makes free throw 2 of 2
10:46.0,Turnover by M. Huertas (lost ball; steal by D. Marble),,25-28,,
10:39.0,,,25-28,,D. Marble misses 2-pt shot from 2 ft (block by T. Black)
10:37.0,Defensive rebound by L. Williams,,25-28,,
10:33.0,L. Nance makes 2-pt shot from 1 ft (assist by L. Williams),2,27-28,,
10:09.0,,,27-28,,N. Vucevic misses 2-pt shot from 16 ft
10:09.0,Defensive rebound by L. Williams,,27-28,,
9:58.0,T. Black misses 2-pt shot from 7 ft,,27-28,,
9:57.0,,,27-28,,Defensive rebound by M. Hezonja
9:45.0,,,27-28,,Shooting foul by T. Black (drawn by M. Hezonja)
9:45.0,,,27-29,1,M. Hezonja makes free throw 1 of 2
9:45.0,,,27-29,,C. Frye enters the game for N. Vucevic
9:45.0,,,27-30,1,M. Hezonja makes free throw 2 of 2
9:32.0,M. Huertas makes 2-pt shot from 11 ft,2,29-30,,
9:21.0,,,29-30,,D. Marble misses 2-pt shot from 20 ft
9:20.0,Defensive rebound by M. Huertas,,29-30,,
9:08.0,T. Black misses 2-pt shot from 2 ft,,29-30,,
9:07.0,Offensive rebound by T. Black,,29-30,,
9:01.0,Turnover by N. Young (bad pass),,29-30,,
8:41.0,,,29-30,,D. Marble misses 3-pt shot from 23 ft
8:40.0,Defensive rebound by M. Huertas,,29-30,,
8:30.0,L. Nance makes 2-pt shot from 19 ft (assist by M. Huertas),2,31-30,,
8:17.0,,,31-33,3,C. Frye makes 3-pt shot from 24 ft (assist by S. Napier)
7:56.0,L. Nance makes 2-pt shot from 20 ft (assist by M. Huertas),2,33-33,,
7:38.0,,,33-35,2,S. Napier makes 2-pt shot from 1 ft
7:30.0,LA Lakers full timeout,,33-35,,
7:30.0,,,33-35,,E. Fournier enters the game for M. Hezonja
7:30.0,,,33-35,,E. Payton enters the game for D. Marble
7:30.0,M. World Peace enters the game for N. Young,,33-35,,
7:30.0,B. Bass enters the game for T. Black,,33-35,,
7:15.0,M. World Peace makes 2-pt shot from 16 ft (assist by B. Bass),2,35-35,,
6:50.0,,,35-35,,E. Payton misses 2-pt shot from 2 ft
6:49.0,Defensive rebound by Team,,35-35,,
6:49.0,,,35-35,,Loose ball foul by T. Harris (drawn by M. Huertas)
6:49.0,J. Clarkson enters the game for M. Huertas,,35-35,,
6:33.0,B. Bass misses 2-pt shot from 10 ft,,35-35,,
6:33.0,,,35-35,,Defensive rebound by E. Fournier
6:22.0,,,35-35,,S. Napier misses 2-pt shot from 18 ft
6:21.0,Defensive rebound by B. Bass,,35-35,,
6:12.0,L. Williams makes 2-pt shot from 15 ft,2,37-35,,
5:53.0,,,37-38,3,C. Frye makes 3-pt shot from 24 ft (assist by E. Payton)
5:37.0,L. Nance makes 2-pt shot from 6 ft (assist by L. Williams),2,39-38,,
5:29.0,,,39-38,,T. Harris misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by L. Williams,,39-38,,
5:21.0,Turnover by J. Clarkson (lost ball; steal by E. Payton),,39-38,,
5:10.0,,,39-38,,S. Napier misses 3-pt shot from 23 ft
5:09.0,Defensive rebound by M. World Peace,,39-38,,
4:53.0,L. Williams misses 3-pt shot from 25 ft,,39-38,,
4:52.0,,,39-38,,Defensive rebound by E. Payton
4:44.0,Personal foul by B. Bass (drawn by E. Payton),,39-38,,
4:44.0,Official timeout,,39-38,,
4:44.0,D. Russell enters the game for L. Williams,,39-38,,
4:44.0,J. Randle enters the game for L. Nance,,39-38,,
4:44.0,,,39-38,,M. Hezonja enters the game for S. Napier
4:31.0,,,39-40,2,C. Frye makes 2-pt shot from 3 ft (assist by E. Payton)
4:16.0,J. Clarkson misses 3-pt shot from 25 ft,,39-40,,
4:15.0,Offensive rebound by B. Bass,,39-40,,
3:58.0,D. Russell misses 3-pt shot from 25 ft,,39-40,,
3:57.0,,,39-40,,Defensive rebound by T. Harris
3:43.0,,,39-40,,E. Payton misses 2-pt shot from 1 ft
3:43.0,Defensive rebound by J. Randle,,39-40,,
3:39.0,J. Randle misses 2-pt shot from 11 ft (block by C. Frye),,39-40,,
3:39.0,Offensive rebound by Team,,39-40,,
3:30.0,,,39-40,,Personal foul by M. Hezonja (drawn by M. World Peace)
3:23.0,B. Bass makes 2-pt shot from 2 ft (assist by M. World Peace),2,41-40,,
3:11.0,,,41-40,,E. Fournier misses 3-pt shot from 24 ft
3:10.0,Defensive rebound by J. Randle,,41-40,,
2:56.0,B. Bass misses 2-pt shot at rim,,41-40,,
2:56.0,,,41-40,,Defensive rebound by E. Payton
2:47.0,,,41-40,,E. Fournier misses 2-pt shot from 2 ft
2:46.0,,,41-40,,Offensive rebound by T. Harris
2:39.0,,,41-40,,E. Payton misses 2-pt shot at rim
2:39.0,,,41-40,,Offensive rebound by E. Payton
2:39.0,,,41-40,,E. Payton misses 2-pt shot at rim
2:38.0,Defensive rebound by D. Russell,,41-40,,
2:38.0,,,41-40,,Personal foul by E. Fournier (drawn by D. Russell)
2:38.0,,,41-40,,Orlando full timeout
2:25.0,M. World Peace misses 2-pt shot from 1 ft (block by M. Hezonja),,41-40,,
2:24.0,,,41-40,,Defensive rebound by E. Payton
2:18.0,,,41-40,,Shooting foul by J. Randle (drawn by E. Payton)
2:18.0,,,41-40,,E. Payton misses free throw 1 of 2
2:18.0,,,41-40,,Offensive rebound by Team
2:18.0,,,41-40,,E. Payton misses free throw 2 of 2
2:17.0,Defensive rebound by J. Randle,,41-40,,
1:58.0,M. World Peace makes 2-pt shot from 18 ft (assist by J. Randle),2,43-40,,
1:35.0,,,43-40,,M. Hezonja misses 3-pt shot from 23 ft
1:33.0,Defensive rebound by B. Bass,,43-40,,
1:29.0,,,43-40,,Personal foul by E. Fournier (drawn by J. Clarkson)
1:18.0,D. Russell misses 3-pt shot from 24 ft,,43-40,,
1:17.0,,,43-40,,Defensive rebound by E. Fournier
1:11.0,,,43-42,2,E. Fournier makes 2-pt shot from 1 ft
1:11.0,,,43-42,,Shooting foul by B. Bass (drawn by E. Fournier)
1:11.0,,,43-43,1,E. Fournier makes free throw 1 of 1
0:50.0,B. Bass makes 2-pt shot at rim (assist by J. Clarkson),2,45-43,,
0:41.0,,,45-43,,T. Harris misses 2-pt shot from 12 ft
0:40.0,,,45-43,,Offensive rebound by C. Frye
0:40.0,,,45-43,,C. Frye misses 2-pt shot at rim
0:40.0,,,45-43,,Offensive rebound by C. Frye
0:40.0,,,45-45,2,C. Frye makes 2-pt shot at rim
0:33.0,Turnover by D. Russell (bad pass; steal by C. Frye),,45-45,,
0:28.0,,,45-48,3,E. Fournier makes 3-pt shot from 24 ft (assist by E. Payton)
0:08.0,J. Clarkson misses 2-pt shot from 18 ft,,45-48,,
0:06.0,Offensive rebound by B. Bass,,45-48,,
0:04.0,J. Clarkson misses 3-pt shot from 25 ft,,45-48,,
0:02.0,,,45-48,,Defensive rebound by C. Frye
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,45-48,,Turnover by E. Fournier (bad pass; steal by M. World Peace)
11:28.0,M. World Peace misses 3-pt shot from 24 ft,,45-48,,
11:27.0,,,45-48,,Defensive rebound by T. Harris
11:17.0,,,45-48,,A. Gordon misses 2-pt shot from 16 ft
11:17.0,Defensive rebound by J. Randle,,45-48,,
11:03.0,R. Hibbert makes 2-pt shot from 18 ft (assist by J. Randle),2,47-48,,
10:49.0,,,47-48,,E. Payton misses 2-pt shot from 8 ft
10:48.0,Defensive rebound by J. Randle,,47-48,,
10:44.0,,,47-48,,Personal foul by D. Dedmon (drawn by R. Hibbert)
10:26.0,D. Russell makes 3-pt shot from 26 ft (assist by J. Randle),3,50-48,,
10:05.0,,,50-48,,T. Harris misses 2-pt shot from 2 ft (block by J. Randle)
10:03.0,,,50-48,,Offensive rebound by A. Gordon
9:58.0,,,50-50,2,T. Harris makes 2-pt shot from 12 ft (assist by A. Gordon)
9:41.0,D. Russell misses 3-pt shot from 25 ft,,50-50,,
9:39.0,Offensive rebound by R. Hibbert,,50-50,,
9:39.0,Shooting foul by D. Dedmon (drawn by R. Hibbert),,50-50,,
9:39.0,R. Hibbert makes free throw 1 of 2,1,51-50,,
9:39.0,R. Hibbert makes free throw 2 of 2,1,52-50,,
9:26.0,,,52-50,,E. Payton misses 2-pt shot from 4 ft
9:25.0,,,52-50,,Offensive rebound by T. Harris
9:25.0,,,52-50,,T. Harris misses 2-pt shot from 1 ft
9:24.0,,,52-50,,Offensive rebound by E. Payton
9:23.0,,,52-50,,E. Payton misses 2-pt shot at rim
9:22.0,,,52-50,,Offensive rebound by E. Payton
9:21.0,,,52-50,,E. Payton misses 2-pt shot from 1 ft
9:20.0,Defensive rebound by J. Randle,,52-50,,
9:01.0,J. Clarkson misses 2-pt shot from 12 ft,,52-50,,
9:01.0,,,52-50,,Defensive rebound by D. Dedmon
8:46.0,,,52-50,,T. Harris misses 3-pt shot from 24 ft
8:44.0,,,52-50,,Offensive rebound by A. Gordon
8:35.0,,,52-53,3,A. Gordon makes 3-pt shot from 23 ft (assist by E. Fournier)
8:21.0,J. Randle makes 2-pt shot from 1 ft,2,54-53,,
8:21.0,Shooting foul by A. Gordon (drawn by J. Randle),,54-53,,
8:21.0,J. Randle misses free throw 1 of 1,,54-53,,
8:19.0,,,54-53,,Defensive rebound by T. Harris
8:08.0,,,54-53,,T. Harris misses 2-pt shot from 13 ft
8:07.0,,,54-53,,Offensive rebound by D. Dedmon
8:00.0,,,54-53,,Turnover by E. Fournier (bad pass; steal by R. Hibbert)
7:54.0,D. Russell misses 2-pt shot from 2 ft,,54-53,,
7:54.0,,,54-53,,Defensive rebound by D. Dedmon
7:45.0,,,54-55,2,D. Dedmon makes 2-pt shot from 9 ft (assist by E. Payton)
7:19.0,Turnover by R. Hibbert (lost ball; steal by D. Dedmon),,54-55,,
7:12.0,,,54-55,,E. Fournier misses 3-pt shot from 24 ft
7:10.0,,,54-55,,Offensive rebound by A. Gordon
7:08.0,,,54-55,,Turnover by A. Gordon (lost ball; steal by D. Russell)
7:02.0,J. Clarkson makes 2-pt shot from 7 ft (assist by D. Russell),2,56-55,,
6:40.0,,,56-55,,A. Gordon misses 3-pt shot from 23 ft
6:39.0,Defensive rebound by M. World Peace,,56-55,,
6:15.0,J. Randle misses 3-pt shot from 26 ft,,56-55,,
6:13.0,,,56-55,,Defensive rebound by E. Payton
6:07.0,,,56-55,,E. Payton misses 2-pt shot from 1 ft (block by M. World Peace)
6:05.0,,,56-55,,Offensive rebound by T. Harris
6:03.0,,,56-57,2,T. Harris makes 2-pt shot from 7 ft
6:00.0,LA Lakers full timeout,,56-57,,
6:00.0,L. Nance enters the game for M. World Peace,,56-57,,
6:00.0,N. Young enters the game for J. Randle,,56-57,,
6:00.0,,,56-57,,S. Napier enters the game for D. Dedmon
6:00.0,,,56-57,,N. Vucevic enters the game for E. Payton
5:38.0,R. Hibbert makes 2-pt shot at rim (assist by J. Clarkson),2,58-57,,
5:15.0,,,58-57,,S. Napier misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by N. Young,,58-57,,
5:06.0,D. Russell makes 2-pt shot from 16 ft,2,60-57,,
4:44.0,,,60-59,2,S. Napier makes 2-pt shot from 18 ft (assist by E. Fournier)
4:27.0,N. Young misses 3-pt shot from 24 ft,,60-59,,
4:25.0,,,60-59,,Defensive rebound by T. Harris
4:20.0,,,60-59,,Offensive charge foul by T. Harris
4:20.0,,,60-59,,Turnover by T. Harris (offensive foul)
4:20.0,L. Williams enters the game for D. Russell,,60-59,,
4:09.0,Turnover by J. Clarkson (bad pass),,60-59,,
3:56.0,,,60-61,2,E. Fournier makes 2-pt shot from 1 ft
3:45.0,R. Hibbert makes 2-pt shot at rim (assist by J. Clarkson),2,62-61,,
3:25.0,,,62-63,2,N. Vucevic makes 2-pt shot from 6 ft
3:10.0,J. Clarkson makes 2-pt shot from 6 ft,2,64-63,,
2:58.0,,,64-63,,Turnover by S. Napier (bad pass; steal by N. Young)
2:55.0,Turnover by N. Young (lost ball),,64-63,,
2:55.0,,,64-63,,Orlando full timeout
2:55.0,,,64-63,,C. Frye enters the game for A. Gordon
2:55.0,B. Bass enters the game for R. Hibbert,,64-63,,
2:33.0,,,64-63,,S. Napier misses 2-pt shot from 2 ft
2:30.0,,,64-63,,Offensive rebound by C. Frye
2:30.0,,,64-65,2,C. Frye makes 2-pt shot at rim
2:20.0,Shooting foul by C. Frye (drawn by L. Williams),,64-65,,
2:20.0,L. Williams makes free throw 1 of 3,1,65-65,,
2:20.0,L. Williams misses free throw 2 of 3,,65-65,,
2:20.0,Offensive rebound by Team,,65-65,,
2:20.0,L. Williams makes free throw 3 of 3,1,66-65,,
2:04.0,Personal foul by B. Bass (drawn by E. Fournier),,66-65,,
1:56.0,,,66-65,,E. Fournier misses 3-pt shot from 24 ft
1:54.0,Defensive rebound by B. Bass,,66-65,,
1:39.0,N. Young makes 2-pt shot from 16 ft (assist by J. Clarkson),2,68-65,,
1:30.0,,,68-67,2,N. Vucevic makes 2-pt shot from 13 ft
1:12.0,Shooting foul by S. Napier (drawn by L. Williams),,68-67,,
1:12.0,L. Williams makes free throw 1 of 2,1,69-67,,
1:12.0,R. Hibbert enters the game for B. Bass,,69-67,,
1:12.0,,,69-67,,M. Hezonja enters the game for T. Harris
1:12.0,L. Williams makes free throw 2 of 2,1,70-67,,
0:57.0,,,70-67,,N. Vucevic misses 2-pt shot from 9 ft
0:54.0,,,70-67,,Offensive rebound by C. Frye
0:51.0,,,70-69,2,N. Vucevic makes 2-pt shot at rim (assist by S. Napier)
0:41.0,Turnover by L. Williams (bad pass),,70-69,,
0:27.0,,,70-71,2,S. Napier makes 2-pt shot from 11 ft
0:27.0,,,70-71,,Shooting foul by L. Nance (drawn by S. Napier)
0:27.0,,,70-72,1,S. Napier makes free throw 1 of 1
0:07.0,L. Williams misses 2-pt shot from 2 ft,,70-72,,
0:06.0,,,70-72,,Defensive rebound by N. Vucevic
0:00.0,,,70-74,2,C. Frye makes 2-pt shot from 23 ft (assist by N. Vucevic)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,N. Young makes 3-pt shot from 24 ft (assist by M. Huertas),3,73-74,,
11:28.0,,,73-76,2,N. Vucevic makes 2-pt shot from 14 ft
11:05.0,L. Nance makes 3-pt shot from 23 ft (assist by M. Huertas),3,76-76,,
10:40.0,,,76-78,2,E. Fournier makes 2-pt shot from 1 ft
10:24.0,B. Bass misses 2-pt shot from 1 ft (block by N. Vucevic),,76-78,,
10:23.0,Offensive rebound by L. Nance,,76-78,,
10:22.0,L. Nance makes 2-pt shot from 3 ft,2,78-78,,
10:04.0,,,78-78,,N. Vucevic misses 2-pt shot from 19 ft
10:03.0,Defensive rebound by M. Huertas,,78-78,,
9:57.0,,,78-78,,Personal foul by S. Napier (drawn by M. Huertas)
9:55.0,Turnover by M. Huertas (traveling),,78-78,,
9:40.0,,,78-81,3,S. Napier makes 3-pt shot from 25 ft
9:24.0,,,78-81,,Personal foul by M. Hezonja (drawn by N. Young)
9:15.0,B. Bass misses 2-pt shot from 1 ft,,78-81,,
9:14.0,,,78-81,,Defensive rebound by Team
9:03.0,,,78-81,,S. Napier misses 2-pt shot at rim
9:03.0,Defensive rebound by Team,,78-81,,
8:46.0,M. Huertas makes 3-pt shot from 25 ft (assist by B. Bass),3,81-81,,
8:31.0,Official timeout,,81-81,,
8:31.0,,,81-81,,T. Harris enters the game for C. Frye
8:31.0,Jump ball: B. Bass vs. M. Hezonja,,,,Jump ball: B. Bass vs. M. Hezonja
8:27.0,,,81-81,,E. Payton enters the game for M. Hezonja
8:27.0,R. Hibbert enters the game for B. Bass,,81-81,,
8:08.0,M. Huertas misses 3-pt shot from 24 ft,,81-81,,
8:07.0,,,81-81,,Defensive rebound by E. Payton
7:45.0,,,81-81,,E. Fournier misses 2-pt shot from 18 ft
7:44.0,Defensive rebound by N. Young,,81-81,,
7:35.0,L. Williams misses 2-pt shot from 15 ft,,81-81,,
7:34.0,,,81-81,,Defensive rebound by E. Payton
7:17.0,,,81-84,3,S. Napier makes 3-pt shot from 24 ft
7:00.0,R. Hibbert makes 2-pt shot from 5 ft (assist by M. Huertas),2,83-84,,
7:00.0,Shooting foul by E. Fournier (drawn by R. Hibbert),,83-84,,
7:00.0,D. Russell enters the game for N. Young,,83-84,,
7:00.0,M. World Peace enters the game for L. Nance,,83-84,,
7:00.0,J. Randle enters the game for M. Huertas,,83-84,,
7:00.0,R. Hibbert makes free throw 1 of 1,1,84-84,,
6:42.0,,,84-84,,N. Vucevic misses 2-pt shot from 1 ft
6:41.0,Defensive rebound by R. Hibbert,,84-84,,
6:20.0,D. Russell misses 2-pt shot from 16 ft,,84-84,,
6:19.0,,,84-84,,Defensive rebound by E. Fournier
6:09.0,,,84-84,,N. Vucevic misses 2-pt shot from 20 ft
6:09.0,Defensive rebound by D. Russell,,84-84,,
5:59.0,Shooting foul by S. Napier (drawn by L. Williams),,84-84,,
5:59.0,,,84-84,,Orlando full timeout
5:59.0,L. Williams makes free throw 1 of 2,1,85-84,,
5:59.0,L. Williams makes free throw 2 of 2,1,86-84,,
5:47.0,,,86-86,2,E. Fournier makes 2-pt shot from 14 ft
5:30.0,L. Williams misses 3-pt shot from 27 ft,,86-86,,
5:29.0,Offensive rebound by Team,,86-86,,
5:29.0,,,86-86,,Loose ball foul by T. Harris (drawn by R. Hibbert)
5:29.0,R. Hibbert makes free throw 1 of 2,1,87-86,,
5:29.0,R. Hibbert makes free throw 2 of 2,1,88-86,,
5:15.0,,,88-86,,E. Fournier misses 2-pt shot from 18 ft
5:14.0,,,88-86,,Offensive rebound by E. Fournier
5:05.0,,,88-86,,E. Payton misses 2-pt shot from 4 ft (block by R. Hibbert)
5:03.0,Defensive rebound by R. Hibbert,,88-86,,
4:49.0,J. Randle makes 2-pt shot at rim (assist by L. Williams),2,90-86,,
4:26.0,,,90-89,3,T. Harris makes 3-pt shot from 24 ft (assist by E. Fournier)
4:06.0,J. Randle makes 2-pt shot from 4 ft,2,92-89,,
3:48.0,,,92-92,3,S. Napier makes 3-pt shot from 23 ft (assist by E. Payton)
3:31.0,D. Russell makes 2-pt shot from 1 ft,2,94-92,,
3:14.0,Personal foul by L. Williams,,94-92,,
3:07.0,,,94-94,2,N. Vucevic makes 2-pt shot at rim (assist by E. Payton)
2:54.0,D. Russell misses 2-pt shot from 16 ft,,94-94,,
2:52.0,,,94-94,,Defensive rebound by N. Vucevic
2:41.0,,,94-97,3,S. Napier makes 3-pt shot from 24 ft (assist by E. Payton)
2:41.0,LA Lakers full timeout,,94-97,,
2:28.0,Shooting foul by E. Fournier (drawn by J. Randle),,94-97,,
2:28.0,J. Randle misses free throw 1 of 2,,94-97,,
2:28.0,Offensive rebound by Team,,94-97,,
2:28.0,J. Randle misses free throw 2 of 2,,94-97,,
2:26.0,,,94-97,,Defensive rebound by N. Vucevic
2:12.0,,,94-97,,N. Vucevic misses 2-pt shot from 2 ft
2:10.0,,,94-97,,Offensive rebound by T. Harris
2:10.0,,,94-99,2,T. Harris makes 2-pt shot from 1 ft
1:53.0,,,94-99,,Personal foul by E. Payton
1:53.0,L. Williams makes free throw 1 of 3,1,95-99,,
1:53.0,L. Williams makes free throw 2 of 3,1,96-99,,
1:53.0,L. Williams makes free throw 3 of 3,1,97-99,,
1:39.0,,,97-99,,E. Payton misses 2-pt shot from 12 ft
1:38.0,Defensive rebound by D. Russell,,97-99,,
1:18.0,J. Randle makes 2-pt shot from 8 ft,2,99-99,,
1:00.0,,,99-99,,S. Napier misses 3-pt shot from 24 ft
0:59.0,Defensive rebound by R. Hibbert,,99-99,,
0:36.0,J. Randle misses 2-pt shot from 7 ft (block by T. Harris),,99-99,,
0:35.0,,,99-99,,Defensive rebound by E. Payton
0:26.0,,,99-99,,S. Napier misses 2-pt shot at rim
0:26.0,,,99-99,,Offensive rebound by N. Vucevic
