time,Houston,pts.away,score,pts.home,Chicago
5:30.0,,,39-39,,Turnover by J. Butler (bad pass)
5:08.0,D. Howard misses 2-pt shot from 1 ft,,39-39,,
5:07.0,Offensive rebound by J. Smith,,39-39,,
5:03.0,T. Ariza misses 3-pt shot from 24 ft,,39-39,,
5:01.0,,,39-39,,Defensive rebound by J. Butler
4:44.0,,,39-41,2,P. Gasol makes 2-pt shot from 19 ft (assist by J. Butler)
4:29.0,J. Harden misses 2-pt shot from 5 ft,,39-41,,
4:28.0,,,39-41,,Defensive rebound by P. Gasol
4:23.0,,,39-43,2,E. Moore makes 2-pt shot from 1 ft
4:22.0,Houston full timeout,,39-43,,
4:22.0,M. Beasley enters the game for J. Smith,,39-43,,
4:07.0,J. Harden makes 2-pt shot from 4 ft (assist by M. Beasley),2,41-43,,
3:47.0,,,41-43,,Turnover by J. Butler (lost ball; steal by T. Ariza)
3:43.0,T. Ariza misses 2-pt shot from 1 ft,,41-43,,
3:42.0,,,41-43,,Defensive rebound by E. Moore
3:37.0,,,41-43,,M. Dunleavy misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by D. Howard,,41-43,,
3:27.0,J. Harden misses 3-pt shot from 25 ft,,41-43,,
3:26.0,,,41-43,,Defensive rebound by J. Butler
3:20.0,,,41-43,,Shooting foul by D. Howard (drawn by J. Butler)
3:20.0,,,41-44,1,J. Butler makes free throw 1 of 2
3:20.0,,,41-45,1,J. Butler makes free throw 2 of 2
3:04.0,M. Beasley misses 2-pt shot from 13 ft,,41-45,,
3:02.0,,,41-45,,Defensive rebound by P. Gasol
2:47.0,,,41-47,2,E. Moore makes 2-pt shot from 3 ft (assist by P. Gasol)
2:29.0,M. Beasley misses 2-pt shot from 22 ft,,41-47,,
2:29.0,,,41-47,,Defensive rebound by Team
2:29.0,Loose ball foul by D. Howard (drawn by P. Gasol),,41-47,,
2:29.0,,,41-48,1,P. Gasol makes free throw 1 of 2
2:29.0,C. Capela enters the game for D. Howard,,41-48,,
2:29.0,,,41-48,,P. Gasol misses free throw 2 of 2
2:27.0,Defensive rebound by C. Capela,,41-48,,
2:12.0,Turnover by J. Harden (bad pass; steal by P. Gasol),,41-48,,
1:57.0,,,41-48,,Shooting foul by J. Harden (drawn by J. Butler)
1:57.0,,,41-49,1,J. Butler makes free throw 1 of 3
1:57.0,,,41-50,1,J. Butler makes free throw 2 of 3
1:57.0,P. Beverley enters the game for J. Terry,,41-50,,
1:57.0,C. Brewer enters the game for J. Harden,,41-50,,
1:57.0,,,41-51,1,J. Butler makes free throw 3 of 3
1:41.0,M. Beasley misses 2-pt shot from 20 ft,,41-51,,
1:39.0,Offensive rebound by C. Brewer,,41-51,,
1:31.0,M. Beasley makes 2-pt shot from 12 ft (assist by T. Ariza),2,43-51,,
1:16.0,,,43-53,2,T. Gibson makes 2-pt shot at rim (assist by P. Gasol)
1:00.0,M. Beasley misses 2-pt shot from 21 ft,,43-53,,
0:58.0,,,43-53,,Defensive rebound by M. Dunleavy
0:47.0,Personal foul by M. Beasley (drawn by J. Butler),,43-53,,
0:47.0,,,43-54,1,J. Butler makes free throw 1 of 2
0:47.0,,,43-55,1,J. Butler makes free throw 2 of 2
0:37.0,Turnover by C. Brewer (lost ball; steal by M. Dunleavy),,43-55,,
0:22.0,,,43-55,,E. Moore misses 3-pt shot from 24 ft
0:21.0,Defensive rebound by C. Capela,,43-55,,
0:06.0,,,43-55,,Personal foul by E. Moore (drawn by P. Beverley)
0:06.0,,,43-55,,J. Holiday enters the game for J. Butler
0:06.0,J. Harden enters the game for M. Beasley,,43-55,,
0:00.0,Turnover by J. Harden (bad pass; steal by P. Gasol),,43-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,43-58,3,D. Rose makes 3-pt shot from 24 ft (assist by J. Butler)
11:18.0,J. Harden makes 3-pt shot from 23 ft (assist by P. Beverley),3,46-58,,
10:58.0,,,46-58,,P. Gasol misses 2-pt shot from 18 ft
10:58.0,,,46-58,,Offensive rebound by Team
10:49.0,,,46-58,,P. Gasol misses 2-pt shot from 11 ft
10:48.0,Defensive rebound by D. Howard,,46-58,,
10:43.0,J. Harden makes 2-pt shot at rim,2,48-58,,
10:27.0,,,48-58,,Turnover by D. Rose (lost ball; steal by P. Beverley)
10:23.0,Shooting foul by M. Dunleavy (drawn by T. Ariza),,48-58,,
10:23.0,T. Ariza makes free throw 1 of 2,1,49-58,,
10:23.0,T. Ariza makes free throw 2 of 2,1,50-58,,
10:03.0,,,50-60,2,J. Butler makes 2-pt shot from 3 ft
9:44.0,Shooting foul by J. Butler (drawn by D. Motiejunas),,50-60,,
9:44.0,D. Motiejunas makes free throw 1 of 2,1,51-60,,
9:44.0,D. Motiejunas makes free throw 2 of 2,1,52-60,,
9:25.0,,,52-60,,P. Gasol misses 3-pt shot from 23 ft
9:23.0,Defensive rebound by D. Motiejunas,,52-60,,
9:17.0,P. Beverley misses 3-pt shot from 25 ft,,52-60,,
9:16.0,,,52-60,,Defensive rebound by D. Rose
9:07.0,Personal foul by D. Motiejunas (drawn by P. Gasol),,52-60,,
9:07.0,M. Harrell enters the game for D. Motiejunas,,52-60,,
8:58.0,,,52-60,,M. Dunleavy misses 2-pt shot from 11 ft
8:56.0,Defensive rebound by M. Harrell,,52-60,,
8:48.0,J. Harden misses 2-pt shot from 3 ft (block by D. Rose),,52-60,,
8:47.0,,,52-60,,Defensive rebound by T. Gibson
8:45.0,,,52-62,2,J. Butler makes 2-pt shot from 2 ft (assist by D. Rose)
8:45.0,,,52-62,,Shooting foul by P. Beverley (drawn by J. Butler)
8:45.0,,,52-63,1,J. Butler makes free throw 1 of 1
8:36.0,Shooting foul by P. Gasol (drawn by M. Harrell),,52-63,,
8:36.0,,,52-63,,Violation by D. Rose (lane)
8:36.0,M. Harrell makes free throw 1 of 2,1,53-63,,
8:36.0,M. Harrell misses free throw 2 of 2,,53-63,,
8:35.0,,,53-63,,Defensive rebound by P. Gasol
8:16.0,,,53-66,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by P. Gasol)
7:58.0,T. Ariza misses 2-pt shot from 12 ft,,53-66,,
7:57.0,,,53-66,,Defensive rebound by P. Gasol
7:51.0,,,53-68,2,J. Butler makes 2-pt shot from 4 ft (assist by D. Rose)
7:50.0,Houston full timeout,,53-68,,
7:30.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,56-68,,
7:13.0,,,56-68,,T. Gibson misses 2-pt shot from 15 ft
7:12.0,Defensive rebound by D. Howard,,56-68,,
7:04.0,J. Harden misses 2-pt shot from 4 ft,,56-68,,
7:02.0,,,56-68,,Defensive rebound by J. Butler
6:39.0,,,56-68,,D. Rose misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by D. Howard,,56-68,,
6:30.0,J. Harden misses 3-pt shot from 24 ft,,56-68,,
6:29.0,,,56-68,,Defensive rebound by M. Dunleavy
6:20.0,,,56-68,,Turnover by D. Rose (lost ball; steal by P. Beverley)
6:17.0,Turnover by T. Ariza (bad pass),,56-68,,
6:17.0,,,56-68,,D. McDermott enters the game for M. Dunleavy
5:52.0,,,56-68,,D. Rose misses 3-pt shot from 23 ft
5:51.0,Defensive rebound by J. Harden,,56-68,,
5:47.0,M. Harrell misses 2-pt shot from 1 ft,,56-68,,
5:46.0,,,56-68,,Defensive rebound by D. McDermott
5:40.0,,,56-68,,J. Butler misses 3-pt shot from 24 ft
5:39.0,Defensive rebound by D. Howard,,56-68,,
5:35.0,Shooting foul by D. McDermott (drawn by J. Harden),,56-68,,
5:35.0,J. Harden misses free throw 1 of 2,,56-68,,
5:35.0,Offensive rebound by Team,,56-68,,
5:35.0,C. Capela enters the game for D. Howard,,56-68,,
5:35.0,,,56-68,,N. Mirotic enters the game for T. Gibson
5:35.0,,,56-68,,E. Moore enters the game for D. Rose
5:35.0,J. Harden makes free throw 2 of 2,1,57-68,,
5:19.0,,,57-71,3,D. McDermott makes 3-pt shot from 25 ft (assist by P. Gasol)
5:09.0,T. Ariza misses 3-pt shot from 25 ft,,57-71,,
5:08.0,,,57-71,,Defensive rebound by J. Butler
5:05.0,,,57-71,,Offensive charge foul by J. Butler
5:05.0,,,57-71,,Turnover by J. Butler (offensive foul)
5:05.0,,,57-71,,J. Holiday enters the game for J. Butler
4:58.0,Shooting foul by N. Mirotic (drawn by J. Harden),,57-71,,
4:58.0,J. Harden makes free throw 1 of 2,1,58-71,,
4:58.0,J. Harden makes free throw 2 of 2,1,59-71,,
4:37.0,,,59-71,,Shooting foul by J. Harden (drawn by N. Mirotic)
4:37.0,,,59-71,,N. Mirotic misses free throw 1 of 2
4:37.0,,,59-71,,Offensive rebound by Team
4:37.0,,,59-72,1,N. Mirotic makes free throw 2 of 2
4:28.0,J. Harden makes 2-pt shot from 2 ft,2,61-72,,
4:17.0,,,61-74,2,P. Gasol makes 2-pt shot at rim (assist by E. Moore)
3:52.0,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden),3,64-74,,
3:36.0,,,64-74,,Shooting foul by C. Capela (drawn by P. Gasol)
3:36.0,,,64-74,,P. Gasol misses free throw 1 of 2
3:36.0,,,64-74,,Offensive rebound by Team
3:36.0,C. Brewer enters the game for T. Ariza,,64-74,,
3:36.0,,,64-75,1,P. Gasol makes free throw 2 of 2
3:28.0,Shooting foul by N. Mirotic (drawn by J. Harden),,64-75,,
3:28.0,J. Harden makes free throw 1 of 2,1,65-75,,
3:28.0,J. Terry enters the game for P. Beverley,,65-75,,
3:28.0,J. Harden makes free throw 2 of 2,1,66-75,,
3:09.0,,,66-75,,N. Mirotic misses 2-pt shot from 15 ft
3:08.0,,,66-75,,Offensive rebound by P. Gasol
3:08.0,,,66-75,,P. Gasol misses 2-pt shot from 1 ft (block by J. Terry)
3:06.0,Defensive rebound by J. Harden,,66-75,,
3:02.0,J. Harden misses 2-pt shot from 1 ft,,66-75,,
3:01.0,Offensive rebound by M. Harrell,,66-75,,
3:00.0,M. Harrell makes 2-pt shot from 2 ft,2,68-75,,
3:00.0,,,68-75,,Chicago full timeout
3:00.0,,,68-75,,D. Rose enters the game for J. Holiday
2:40.0,,,68-75,,E. Moore misses 2-pt shot from 2 ft
2:39.0,,,68-75,,Offensive rebound by P. Gasol
2:39.0,,,68-77,2,P. Gasol makes 2-pt shot from 1 ft
2:16.0,Turnover by M. Harrell (lost ball; steal by N. Mirotic),,68-77,,
2:10.0,,,68-79,2,D. McDermott makes 2-pt shot from 2 ft (assist by D. Rose)
1:54.0,C. Brewer misses 3-pt shot from 22 ft,,68-79,,
1:53.0,,,68-79,,Defensive rebound by N. Mirotic
1:39.0,,,68-81,2,P. Gasol makes 2-pt shot from 10 ft (assist by D. Rose)
1:23.0,J. Terry makes 2-pt shot from 19 ft,2,70-81,,
0:59.0,,,70-81,,D. McDermott misses 2-pt shot from 3 ft
0:58.0,,,70-81,,Offensive rebound by P. Gasol
0:56.0,,,70-81,,P. Gasol misses 2-pt shot from 1 ft
0:55.0,Defensive rebound by C. Capela,,70-81,,
0:45.0,J. Harden makes 2-pt shot from 19 ft,2,72-81,,
0:32.0,,,72-81,,Turnover by D. Rose (bad pass; steal by C. Brewer)
0:28.0,Offensive charge foul by J. Harden,,72-81,,
0:28.0,Turnover by J. Harden (offensive foul),,72-81,,
0:28.0,T. Ariza enters the game for J. Harden,,72-81,,
0:09.0,,,72-83,2,D. Rose makes 2-pt shot from 21 ft
0:05.0,J. Terry misses 3-pt shot from 26 ft,,72-83,,
0:03.0,,,72-83,,Defensive rebound by P. Gasol
0:01.0,,,72-83,,Turnover by P. Gasol (bad pass; steal by J. Terry)
0:00.0,C. Brewer makes 3-pt shot from 24 ft (assist by J. Terry),3,75-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,J. Terry misses 3-pt shot from 25 ft,,75-83,,
11:41.0,,,75-83,,Defensive rebound by J. Butler
11:26.0,,,75-86,3,N. Mirotic makes 3-pt shot from 24 ft (assist by D. Rose)
11:16.0,D. Motiejunas misses 3-pt shot from 25 ft,,75-86,,
11:15.0,,,75-86,,Defensive rebound by N. Mirotic
11:01.0,,,75-86,,Turnover by N. Mirotic (bad pass; steal by J. Terry)
10:55.0,J. Terry misses 3-pt shot from 24 ft,,75-86,,
10:54.0,,,75-86,,Defensive rebound by D. McDermott
10:35.0,,,75-86,,N. Mirotic misses 2-pt shot from 2 ft
10:35.0,,,75-86,,Offensive rebound by Team
10:32.0,,,75-86,,J. Butler misses 2-pt shot from 18 ft
10:31.0,Defensive rebound by D. Howard,,75-86,,
10:29.0,Turnover by D. Howard (bad pass),,75-86,,
10:20.0,,,75-89,3,D. Rose makes 3-pt shot from 24 ft
10:08.0,Turnover by C. Brewer (bad pass),,75-89,,
9:59.0,,,75-92,3,N. Mirotic makes 3-pt shot from 23 ft (assist by J. Butler)
9:58.0,Houston full timeout,,75-92,,
9:58.0,M. Harrell enters the game for D. Motiejunas,,75-92,,
9:58.0,P. Beverley enters the game for J. Terry,,75-92,,
9:58.0,J. Harden enters the game for C. Brewer,,75-92,,
9:58.0,,,75-92,,E. Moore enters the game for D. Rose
9:43.0,D. Howard makes 2-pt shot from 8 ft (assist by J. Harden),2,77-92,,
9:30.0,,,77-92,,Turnover by D. McDermott (traveling)
9:13.0,D. Howard makes 2-pt shot from 2 ft,2,79-92,,
8:47.0,,,79-92,,J. Butler misses 2-pt shot from 10 ft
8:45.0,Defensive rebound by T. Ariza,,79-92,,
8:23.0,Turnover by P. Beverley (bad pass),,79-92,,
