time,Detroit,pts.away,score,pts.home,Portland
7:55.0,A. Drummond misses 2-pt shot from 2 ft,,6-12,,
7:53.0,Offensive rebound by A. Drummond,,6-12,,
7:53.0,A. Drummond makes 2-pt shot from 1 ft,2,8-12,,
7:43.0,,,8-12,,C. McCollum misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by K. Caldwell-Pope,,8-12,,
7:33.0,M. Morris misses 3-pt shot from 23 ft,,8-12,,
7:32.0,,,8-12,,Defensive rebound by M. Plumlee
7:27.0,,,8-12,,M. Leonard misses 2-pt shot from 2 ft
7:26.0,Defensive rebound by R. Jackson,,8-12,,
7:19.0,R. Jackson misses 2-pt shot from 5 ft,,8-12,,
7:18.0,,,8-12,,Defensive rebound by C. McCollum
7:15.0,,,8-12,,Offensive charge foul by M. Leonard
7:15.0,,,8-12,,Turnover by M. Leonard (offensive foul)
7:00.0,R. Jackson makes 2-pt shot from 10 ft,2,10-12,,
6:39.0,,,10-14,2,A. Aminu makes 2-pt shot at rim (assist by M. Plumlee)
6:19.0,A. Drummond makes 2-pt shot from 11 ft,2,12-14,,
6:12.0,,,12-14,,M. Plumlee misses 2-pt shot at rim
6:11.0,Defensive rebound by A. Drummond,,12-14,,
5:52.0,R. Jackson misses 2-pt shot from 18 ft,,12-14,,
5:51.0,Offensive rebound by K. Caldwell-Pope,,12-14,,
5:46.0,K. Caldwell-Pope makes 3-pt shot from 25 ft,3,15-14,,
5:45.0,,,15-14,,Portland full timeout
5:45.0,,,15-14,,A. Crabbe enters the game for C. McCollum
5:45.0,S. Johnson enters the game for M. Morris,,15-14,,
5:28.0,,,15-16,2,A. Crabbe makes 2-pt shot from 15 ft (assist by A. Aminu)
5:14.0,E. Ilyasova misses 3-pt shot from 25 ft,,15-16,,
5:13.0,,,15-16,,Defensive rebound by D. Lillard
5:01.0,,,15-16,,M. Leonard misses 2-pt shot from 8 ft
4:59.0,,,15-16,,Offensive rebound by M. Plumlee
4:52.0,,,15-16,,A. Aminu misses 3-pt shot from 23 ft
4:51.0,Defensive rebound by R. Jackson,,15-16,,
4:40.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,15-16,,
4:40.0,,,15-16,,Defensive rebound by A. Aminu
4:27.0,,,15-18,2,D. Lillard makes 2-pt shot from 1 ft
4:10.0,K. Caldwell-Pope makes 2-pt shot from 12 ft (assist by E. Ilyasova),2,17-18,,
3:55.0,,,17-20,2,M. Leonard makes 2-pt shot from 14 ft (assist by D. Lillard)
3:37.0,K. Caldwell-Pope makes 2-pt shot from 13 ft,2,19-20,,
3:22.0,,,19-20,,M. Leonard misses 2-pt shot from 19 ft
3:21.0,Defensive rebound by A. Drummond,,19-20,,
3:03.0,S. Johnson makes 2-pt shot from 11 ft (assist by E. Ilyasova),2,21-20,,
2:49.0,,,21-23,3,D. Lillard makes 3-pt shot from 24 ft (assist by M. Plumlee)
2:43.0,Detroit full timeout,,21-23,,
2:43.0,,,21-23,,E. Davis enters the game for A. Aminu
2:43.0,,,21-23,,N. Vonleh enters the game for M. Leonard
2:43.0,,,21-23,,M. Harkless enters the game for M. Plumlee
2:43.0,S. Blake enters the game for E. Ilyasova,,21-23,,
2:43.0,A. Tolliver enters the game for K. Caldwell-Pope,,21-23,,
2:43.0,M. Morris enters the game for R. Jackson,,21-23,,
2:27.0,S. Johnson misses 2-pt shot from 3 ft (block by A. Crabbe),,21-23,,
2:25.0,,,21-23,,Defensive rebound by N. Vonleh
2:15.0,Violation by A. Drummond (def goaltending),,21-23,,
2:15.0,,,21-25,2,E. Davis makes 2-pt shot from 2 ft
1:57.0,S. Blake misses 3-pt shot from 23 ft,,21-25,,
1:56.0,,,21-25,,Defensive rebound by M. Harkless
1:46.0,,,21-27,2,A. Crabbe makes 2-pt shot from 18 ft (assist by D. Lillard)
1:23.0,M. Morris misses 2-pt shot from 8 ft,,21-27,,
1:22.0,Offensive rebound by A. Drummond,,21-27,,
1:22.0,A. Drummond misses 2-pt shot from 2 ft,,21-27,,
1:22.0,Offensive rebound by A. Drummond,,21-27,,
1:22.0,,,21-27,,Violation by E. Davis (def goaltending)
1:22.0,A. Drummond makes 2-pt shot from 2 ft,2,23-27,,
1:06.0,,,23-29,2,D. Lillard makes 2-pt shot from 20 ft
0:43.0,M. Morris misses 2-pt shot from 13 ft,,23-29,,
0:40.0,,,23-29,,Defensive rebound by E. Davis
0:36.0,Personal block foul by A. Tolliver (drawn by D. Lillard),,23-29,,
0:35.0,,,23-29,,Shooting foul by M. Morris (drawn by D. Lillard)
0:35.0,,,23-30,1,D. Lillard makes free throw 1 of 2
0:35.0,,,23-30,,D. Lillard misses free throw 2 of 2
0:34.0,,,23-30,,Offensive rebound by E. Davis
0:33.0,,,23-32,2,E. Davis makes 2-pt shot at rim
0:22.0,,,23-32,,Personal foul by M. Harkless (drawn by M. Morris)
0:08.0,M. Morris misses 2-pt shot from 10 ft,,23-32,,
0:07.0,,,23-32,,Defensive rebound by N. Vonleh
0:02.0,,,23-32,,Shooting foul by A. Tolliver (drawn by E. Davis)
0:02.0,,,23-32,,E. Davis misses free throw 1 of 2
0:02.0,,,23-32,,Offensive rebound by Team
0:02.0,,,23-32,,E. Davis misses free throw 2 of 2
0:02.0,Defensive rebound by A. Drummond,,23-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,23-34,2,A. Crabbe makes 2-pt shot from 15 ft (assist by N. Vonleh)
11:32.0,M. Morris misses 2-pt shot from 20 ft,,23-34,,
11:31.0,Offensive rebound by S. Blake,,23-34,,
11:16.0,S. Blake makes 3-pt shot from 24 ft (assist by A. Baynes),3,26-34,,
10:54.0,,,26-36,2,N. Vonleh makes 2-pt shot from 2 ft
10:44.0,S. Johnson misses 3-pt shot from 26 ft,,26-36,,
10:44.0,Offensive rebound by Team,,26-36,,
10:44.0,,,26-36,,Loose ball foul by N. Vonleh (drawn by A. Tolliver)
10:29.0,A. Tolliver misses 2-pt shot from 10 ft,,26-36,,
10:28.0,,,26-36,,Defensive rebound by C. McCollum
10:19.0,,,26-38,2,C. McCollum makes 2-pt shot from 13 ft
10:12.0,Detroit full timeout,,26-38,,
10:00.0,S. Blake misses 3-pt shot from 25 ft,,26-38,,
10:00.0,,,26-38,,Defensive rebound by E. Davis
9:46.0,,,26-38,,Turnover by N. Vonleh (traveling)
9:29.0,A. Baynes makes 2-pt shot from 3 ft (assist by S. Blake),2,28-38,,
9:14.0,,,28-38,,Turnover by C. McCollum (bad pass; steal by A. Tolliver)
9:04.0,A. Tolliver makes 3-pt shot from 23 ft (assist by M. Morris),3,31-38,,
8:44.0,,,31-40,2,A. Crabbe makes 2-pt shot from 10 ft (assist by M. Harkless)
8:29.0,Turnover by S. Johnson (traveling),,31-40,,
8:29.0,K. Caldwell-Pope enters the game for S. Johnson,,31-40,,
8:11.0,,,31-42,2,C. McCollum makes 2-pt shot from 14 ft (assist by A. Crabbe)
7:46.0,M. Morris makes 3-pt shot from 24 ft (assist by S. Blake),3,34-42,,
7:27.0,,,34-42,,C. McCollum misses 3-pt shot from 24 ft
7:26.0,Defensive rebound by K. Caldwell-Pope,,34-42,,
7:16.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,34-42,,
7:15.0,,,34-42,,Defensive rebound by M. Harkless
7:01.0,,,34-45,3,M. Harkless makes 3-pt shot from 24 ft (assist by C. McCollum)
6:37.0,M. Morris misses 3-pt shot from 23 ft,,34-45,,
6:36.0,Offensive rebound by A. Baynes,,34-45,,
6:32.0,M. Morris misses 2-pt shot from 18 ft,,34-45,,
6:32.0,,,34-45,,Defensive rebound by C. McCollum
6:25.0,,,34-45,,Offensive foul by C. McCollum
6:25.0,,,34-45,,Turnover by C. McCollum (offensive foul)
6:25.0,R. Jackson enters the game for S. Blake,,34-45,,
6:25.0,,,34-45,,A. Aminu enters the game for A. Crabbe
6:14.0,R. Jackson misses 2-pt shot from 7 ft,,34-45,,
6:13.0,,,34-45,,Defensive rebound by E. Davis
6:08.0,,,34-45,,Turnover by C. McCollum (bad pass; steal by K. Caldwell-Pope)
6:05.0,,,34-45,,Personal foul by C. McCollum (drawn by K. Caldwell-Pope)
5:49.0,Turnover by K. Caldwell-Pope (lost ball; steal by M. Harkless),,34-45,,
5:38.0,,,34-45,,N. Vonleh misses 2-pt shot at rim
5:37.0,,,34-45,,Offensive rebound by N. Vonleh
5:36.0,,,34-47,2,N. Vonleh makes 2-pt shot from 3 ft
5:19.0,M. Morris misses 3-pt shot from 22 ft,,34-47,,
5:18.0,,,34-47,,Defensive rebound by E. Davis
5:10.0,,,34-47,,C. McCollum misses 2-pt shot from 19 ft
5:09.0,Defensive rebound by A. Baynes,,34-47,,
4:56.0,R. Jackson misses 2-pt shot from 1 ft (block by E. Davis),,34-47,,
4:54.0,Offensive rebound by M. Morris,,34-47,,
4:47.0,Shooting foul by M. Harkless (drawn by K. Caldwell-Pope),,34-47,,
4:47.0,Official timeout,,34-47,,
4:47.0,E. Ilyasova enters the game for M. Morris,,34-47,,
4:47.0,S. Johnson enters the game for A. Tolliver,,34-47,,
4:47.0,A. Drummond enters the game for A. Baynes,,34-47,,
4:47.0,,,34-47,,M. Plumlee enters the game for C. McCollum
4:47.0,,,34-47,,D. Lillard enters the game for E. Davis
4:47.0,,,34-47,,M. Leonard enters the game for N. Vonleh
4:47.0,K. Caldwell-Pope makes free throw 1 of 2,1,35-47,,
4:47.0,K. Caldwell-Pope makes free throw 2 of 2,1,36-47,,
4:32.0,,,36-50,3,M. Leonard makes 3-pt shot from 25 ft (assist by D. Lillard)
4:12.0,R. Jackson makes 3-pt shot from 24 ft,3,39-50,,
3:46.0,,,39-50,,Turnover by D. Lillard (lost ball; steal by E. Ilyasova)
3:33.0,R. Jackson makes 2-pt shot from 19 ft,2,41-50,,
3:18.0,,,41-50,,Turnover by D. Lillard (bad pass)
2:58.0,K. Caldwell-Pope makes 2-pt shot from 11 ft (assist by E. Ilyasova),2,43-50,,
2:37.0,,,43-50,,M. Harkless misses 3-pt shot from 23 ft
2:36.0,,,43-50,,Offensive rebound by M. Harkless
2:12.0,,,43-50,,A. Aminu misses 3-pt shot from 30 ft
2:11.0,Defensive rebound by K. Caldwell-Pope,,43-50,,
1:59.0,R. Jackson misses 2-pt shot from 15 ft,,43-50,,
1:59.0,,,43-50,,Defensive rebound by A. Aminu
1:49.0,,,43-50,,M. Plumlee misses 2-pt shot from 2 ft (block by A. Drummond)
1:47.0,Defensive rebound by A. Drummond,,43-50,,
1:37.0,S. Johnson misses 3-pt shot from 24 ft,,43-50,,
1:37.0,,,43-50,,Defensive rebound by A. Aminu
1:37.0,Personal foul by R. Jackson (drawn by A. Aminu),,43-50,,
1:37.0,,,43-50,,Portland full timeout
1:37.0,,,43-50,,C. McCollum enters the game for M. Harkless
1:28.0,Violation by A. Drummond (def goaltending),,43-50,,
1:28.0,,,43-52,2,M. Leonard makes 2-pt shot from 6 ft (assist by D. Lillard)
1:12.0,R. Jackson misses 2-pt shot from 2 ft,,43-52,,
1:11.0,Offensive rebound by A. Drummond,,43-52,,
1:11.0,A. Drummond makes 2-pt shot from 1 ft,2,45-52,,
0:56.0,Personal foul by A. Drummond (drawn by C. McCollum),,45-52,,
0:56.0,,,45-53,1,C. McCollum makes free throw 1 of 2
0:56.0,A. Baynes enters the game for A. Drummond,,45-53,,
0:56.0,,,45-54,1,C. McCollum makes free throw 2 of 2
0:48.0,Offensive foul by A. Baynes,,45-54,,
0:48.0,Turnover by A. Baynes (offensive foul),,45-54,,
0:24.0,,,45-56,2,A. Aminu makes 2-pt shot from 12 ft
0:12.0,,,45-56,,Personal take foul by D. Lillard (drawn by R. Jackson)
0:12.0,,,45-56,,A. Crabbe enters the game for C. McCollum
0:03.0,R. Jackson makes 2-pt shot from 2 ft,2,47-56,,
0:03.0,,,47-56,,Portland full timeout
0:03.0,Technical foul by M. Morris,,47-56,,
0:03.0,,,47-56,,C. McCollum enters the game for A. Crabbe
0:03.0,,,47-57,1,D. Lillard makes technical free throw
0:00.0,,,47-57,,M. Plumlee misses 2-pt shot from 10 ft (block by A. Baynes)
0:00.0,Defensive rebound by E. Ilyasova,,47-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,47-59,2,C. McCollum makes 2-pt shot from 5 ft
11:18.0,A. Drummond makes 2-pt shot from 4 ft,2,49-59,,
11:02.0,,,49-59,,Shooting foul by A. Drummond (drawn by A. Aminu)
11:02.0,,,49-59,,A. Aminu misses free throw 1 of 2
11:02.0,,,49-59,,Offensive rebound by Team
11:02.0,,,49-60,1,A. Aminu makes free throw 2 of 2
10:40.0,A. Drummond makes 2-pt shot from 4 ft (assist by R. Jackson),2,51-60,,
10:22.0,,,51-63,3,M. Leonard makes 3-pt shot from 25 ft (assist by M. Plumlee)
10:00.0,A. Drummond misses 2-pt shot from 7 ft,,51-63,,
9:59.0,,,51-63,,Defensive rebound by M. Leonard
9:48.0,,,51-65,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard)
9:48.0,Detroit full timeout,,51-65,,
9:38.0,,,51-65,,Personal foul by M. Leonard (drawn by A. Drummond)
9:31.0,R. Jackson makes 2-pt shot from 1 ft,2,53-65,,
9:14.0,,,53-65,,M. Plumlee misses 2-pt shot from 3 ft (block by A. Drummond)
9:13.0,,,53-65,,Offensive rebound by M. Plumlee
9:10.0,,,53-65,,Turnover by M. Plumlee (bad pass; steal by R. Jackson)
9:09.0,Turnover by R. Jackson (bad pass),,53-65,,
8:51.0,,,53-65,,M. Leonard misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by R. Jackson,,53-65,,
8:47.0,Turnover by R. Jackson (lost ball; steal by M. Plumlee),,53-65,,
8:46.0,,,53-65,,Shooting foul by K. Caldwell-Pope (drawn by D. Lillard)
8:46.0,,,53-66,1,D. Lillard makes free throw 1 of 2
8:46.0,,,53-67,1,D. Lillard makes free throw 2 of 2
8:34.0,R. Jackson misses 2-pt shot from 10 ft,,53-67,,
8:33.0,Offensive rebound by A. Drummond,,53-67,,
8:31.0,A. Drummond makes 2-pt shot at rim,2,55-67,,
8:21.0,,,55-70,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
8:04.0,E. Ilyasova misses 3-pt shot from 25 ft,,55-70,,
8:04.0,,,55-70,,Defensive rebound by A. Aminu
7:54.0,,,55-73,3,D. Lillard makes 3-pt shot from 26 ft
7:35.0,A. Drummond makes 2-pt shot from 6 ft (assist by R. Jackson),2,57-73,,
7:16.0,,,57-73,,C. McCollum misses 2-pt shot from 16 ft
7:14.0,Defensive rebound by A. Drummond,,57-73,,
7:00.0,M. Morris misses 3-pt shot from 24 ft,,57-73,,
6:59.0,,,57-73,,Defensive rebound by M. Plumlee
6:45.0,,,57-75,2,C. McCollum makes 2-pt shot at rim
6:29.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by R. Jackson),3,60-75,,
6:15.0,,,60-75,,Turnover by M. Plumlee (lost ball)
6:07.0,Shooting foul by D. Lillard (drawn by R. Jackson),,60-75,,
6:07.0,R. Jackson makes free throw 1 of 2,1,61-75,,
6:07.0,S. Johnson enters the game for M. Morris,,61-75,,
6:07.0,R. Jackson makes free throw 2 of 2,1,62-75,,
5:49.0,,,62-75,,Turnover by M. Plumlee (bad pass)
5:41.0,,,62-75,,Shooting block foul by C. McCollum (drawn by R. Jackson)
5:41.0,R. Jackson makes free throw 1 of 2,1,63-75,,
5:41.0,,,63-75,,A. Crabbe enters the game for C. McCollum
5:41.0,,,63-75,,E. Davis enters the game for M. Plumlee
5:41.0,R. Jackson misses free throw 2 of 2,,63-75,,
5:40.0,,,63-75,,Defensive rebound by E. Davis
5:21.0,,,63-78,3,A. Crabbe makes 3-pt shot from 22 ft (assist by D. Lillard)
5:08.0,A. Drummond makes 2-pt shot from 5 ft (assist by E. Ilyasova),2,65-78,,
4:43.0,,,65-80,2,M. Leonard makes 2-pt shot from 3 ft (assist by D. Lillard)
4:26.0,A. Drummond makes 2-pt shot at rim,2,67-80,,
4:09.0,Personal foul by E. Ilyasova (drawn by D. Lillard),,67-80,,
4:09.0,,,67-80,,M. Harkless enters the game for A. Aminu
4:06.0,,,67-80,,Offensive foul by E. Davis
4:06.0,,,67-80,,Turnover by E. Davis (offensive foul)
3:56.0,Shooting foul by E. Davis (drawn by S. Johnson),,67-80,,
3:56.0,S. Johnson makes free throw 1 of 2,1,68-80,,
3:56.0,S. Johnson misses free throw 2 of 2,,68-80,,
3:54.0,,,68-80,,Defensive rebound by M. Leonard
3:42.0,,,68-82,2,D. Lillard makes 2-pt shot from 2 ft (assist by M. Leonard)
3:22.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by R. Jackson),3,71-82,,
3:03.0,,,71-82,,D. Lillard misses 2-pt shot from 18 ft
3:02.0,Defensive rebound by A. Drummond,,71-82,,
3:01.0,Turnover by A. Drummond (lost ball; steal by D. Lillard),,71-82,,
2:57.0,,,71-84,2,D. Lillard makes 2-pt shot at rim
2:40.0,K. Caldwell-Pope misses 2-pt shot from 22 ft,,71-84,,
2:40.0,,,71-84,,Defensive rebound by Team
2:40.0,,,71-84,,Portland full timeout
2:40.0,S. Blake enters the game for K. Caldwell-Pope,,71-84,,
2:40.0,M. Morris enters the game for R. Jackson,,71-84,,
2:40.0,,,71-84,,C. McCollum enters the game for M. Leonard
2:40.0,,,71-84,,A. Aminu enters the game for D. Lillard
2:23.0,,,71-86,2,C. McCollum makes 2-pt shot from 7 ft (assist by A. Crabbe)
2:02.0,M. Morris misses 2-pt shot from 4 ft,,71-86,,
2:01.0,Offensive rebound by M. Morris,,71-86,,
1:58.0,M. Morris makes 2-pt shot at rim,2,73-86,,
1:46.0,,,73-86,,Offensive foul by M. Harkless
1:46.0,,,73-86,,Turnover by M. Harkless (offensive foul)
1:33.0,E. Ilyasova misses 2-pt shot from 6 ft,,73-86,,
1:31.0,Offensive rebound by A. Drummond,,73-86,,
1:31.0,A. Drummond misses 2-pt shot at rim,,73-86,,
1:29.0,Offensive rebound by A. Drummond,,73-86,,
1:29.0,A. Drummond makes 2-pt shot at rim,2,75-86,,
1:10.0,,,75-88,2,C. McCollum makes 2-pt shot from 14 ft
0:53.0,Turnover by M. Morris (lost ball; steal by A. Crabbe),,75-88,,
0:50.0,,,75-90,2,A. Crabbe makes 2-pt shot from 1 ft (assist by M. Harkless)
0:38.0,,,75-90,,Personal block foul by M. Harkless (drawn by M. Morris)
0:38.0,M. Morris makes free throw 1 of 2,1,76-90,,
0:38.0,M. Morris makes free throw 2 of 2,1,77-90,,
0:32.0,,,77-92,2,C. McCollum makes 2-pt shot from 12 ft
0:14.0,A. Drummond makes 2-pt shot at rim (assist by S. Blake),2,79-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,S. Blake misses 3-pt shot from 26 ft,,79-92,,
11:44.0,,,79-92,,Defensive rebound by M. Harkless
11:34.0,,,79-94,2,C. McCollum makes 2-pt shot from 5 ft
11:08.0,M. Morris makes 2-pt shot from 11 ft,2,81-94,,
10:55.0,,,81-94,,Turnover by M. Harkless (bad pass; steal by K. Caldwell-Pope)
10:48.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,81-94,,
10:47.0,Offensive rebound by A. Baynes,,81-94,,
10:41.0,M. Morris misses 3-pt shot from 25 ft,,81-94,,
10:40.0,,,81-94,,Defensive rebound by C. McCollum
10:36.0,,,81-94,,Turnover by A. Aminu (bad pass; steal by K. Caldwell-Pope)
10:28.0,M. Morris misses 3-pt shot from 24 ft,,81-94,,
10:26.0,,,81-94,,Defensive rebound by A. Aminu
10:06.0,,,81-94,,Turnover by A. Crabbe (lost ball; steal by M. Morris)
10:02.0,Turnover by M. Morris (bad pass; steal by C. McCollum),,81-94,,
9:51.0,Personal foul by S. Blake (drawn by C. McCollum),,81-94,,
9:51.0,,,81-94,,M. Leonard enters the game for A. Aminu
9:45.0,,,81-94,,C. McCollum misses 3-pt shot from 25 ft
9:44.0,Defensive rebound by A. Baynes,,81-94,,
9:33.0,Shooting foul by M. Leonard (drawn by A. Baynes),,81-94,,
9:33.0,A. Baynes makes free throw 1 of 2,1,82-94,,
9:33.0,A. Baynes makes free throw 2 of 2,1,83-94,,
9:19.0,,,83-94,,Turnover by M. Harkless (lost ball; steal by M. Morris)
9:15.0,M. Morris makes 2-pt shot at rim,2,85-94,,
9:15.0,,,85-94,,Portland full timeout
9:15.0,,,85-94,,D. Lillard enters the game for C. McCollum
9:15.0,R. Jackson enters the game for S. Blake,,85-94,,
9:04.0,,,85-94,,Turnover by D. Lillard (lost ball)
8:46.0,R. Jackson misses 2-pt shot from 13 ft,,85-94,,
8:45.0,,,85-94,,Defensive rebound by D. Lillard
8:40.0,,,85-94,,D. Lillard misses 3-pt shot from 24 ft
8:37.0,,,85-94,,Offensive rebound by M. Harkless
8:37.0,,,85-94,,M. Harkless misses 2-pt shot at rim
8:37.0,,,85-94,,Offensive rebound by Team
8:33.0,,,85-96,2,A. Crabbe makes 2-pt shot from 17 ft (assist by E. Davis)
8:18.0,A. Tolliver misses 3-pt shot from 26 ft,,85-96,,
8:18.0,,,85-96,,Defensive rebound by A. Crabbe
8:09.0,,,85-96,,E. Davis misses 2-pt shot at rim
8:08.0,Defensive rebound by A. Baynes,,85-96,,
8:01.0,R. Jackson makes 2-pt shot from 20 ft,2,87-96,,
8:01.0,,,87-96,,Technical foul by E. Davis
8:01.0,,,87-96,,Technical foul by E. Davis
8:01.0,,,87-96,,M. Plumlee enters the game for E. Davis
8:01.0,R. Jackson makes technical free throw,1,88-96,,
8:01.0,R. Jackson makes technical free throw,1,89-96,,
8:01.0,A. Drummond enters the game for A. Baynes,,89-96,,
7:47.0,,,89-96,,D. Lillard misses 3-pt shot from 27 ft
7:46.0,,,89-96,,Offensive rebound by M. Plumlee
7:38.0,Flagrant foul type 1 by M. Morris (drawn by M. Plumlee),,89-96,,
7:38.0,,,89-96,,M. Plumlee misses flagrant free throw 1 of 2
7:38.0,,,89-96,,Offensive rebound by Team
7:38.0,,,89-96,,M. Plumlee misses flagrant free throw 2 of 2
7:38.0,,,89-96,,Offensive rebound by Team
7:33.0,,,89-96,,Shooting foul by K. Caldwell-Pope (drawn by D. Lillard)
7:33.0,,,89-97,1,D. Lillard makes free throw 1 of 2
7:33.0,,,89-98,1,D. Lillard makes free throw 2 of 2
7:18.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by M. Morris),3,92-98,,
7:02.0,,,92-98,,Turnover by D. Lillard (lost ball; steal by M. Morris)
7:02.0,Detroit full timeout,,92-98,,
7:02.0,,,92-98,,C. McCollum enters the game for A. Crabbe
7:02.0,,,92-98,,A. Aminu enters the game for M. Harkless
6:46.0,R. Jackson makes 2-pt shot from 17 ft,2,94-98,,
6:20.0,,,94-98,,Turnover by Team (shot clock)
6:05.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,94-98,,
6:04.0,,,94-98,,Defensive rebound by A. Aminu
6:02.0,,,94-98,,Turnover by A. Aminu (bad pass; steal by K. Caldwell-Pope)
5:58.0,K. Caldwell-Pope misses 2-pt shot at rim,,94-98,,
5:52.0,Offensive rebound by A. Drummond,,94-98,,
5:52.0,A. Drummond makes 2-pt shot at rim,2,96-98,,
5:38.0,,,96-98,,Turnover by M. Plumlee (lost ball; steal by A. Drummond)
5:28.0,,,96-98,,Personal foul by C. McCollum (drawn by R. Jackson)
5:21.0,R. Jackson makes 2-pt shot from 6 ft,2,98-98,,
4:57.0,,,98-98,,A. Aminu misses 3-pt shot from 28 ft
4:57.0,Defensive rebound by A. Drummond,,98-98,,
4:46.0,R. Jackson makes 2-pt shot from 6 ft,2,100-98,,
4:46.0,,,100-98,,Portland full timeout
4:28.0,,,100-98,,C. McCollum misses 2-pt shot from 18 ft
4:27.0,Defensive rebound by A. Drummond,,100-98,,
4:18.0,R. Jackson makes 2-pt shot from 8 ft,2,102-98,,
4:04.0,,,102-98,,M. Leonard misses 2-pt shot at rim (block by A. Drummond)
4:02.0,Defensive rebound by A. Drummond,,102-98,,
3:56.0,R. Jackson makes 2-pt shot from 1 ft,2,104-98,,
3:43.0,,,104-98,,Turnover by D. Lillard (bad pass; steal by R. Jackson)
3:36.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,104-98,,
3:35.0,,,104-98,,Defensive rebound by D. Lillard
3:31.0,,,104-98,,C. McCollum misses 2-pt shot from 2 ft (block by A. Tolliver)
3:31.0,,,104-98,,Offensive rebound by Team
3:25.0,,,104-98,,M. Plumlee misses 2-pt shot from 5 ft
3:23.0,Defensive rebound by A. Drummond,,104-98,,
3:12.0,R. Jackson makes 3-pt shot from 24 ft,3,107-98,,
3:12.0,,,107-98,,Portland full timeout
3:02.0,Personal foul by A. Tolliver (drawn by D. Lillard),,107-98,,
2:57.0,,,107-98,,D. Lillard misses 2-pt shot from 6 ft
2:55.0,Defensive rebound by A. Drummond,,107-98,,
