time,Miami,pts.away,score,pts.home,Atlanta
5:20.0,,,44-37,2,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap)
5:06.0,Turnover by J. Winslow (lost ball),,44-37,,
4:56.0,,,44-39,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
4:49.0,Miami full timeout,,44-39,,
4:39.0,,,44-39,,Personal foul by P. Millsap
4:39.0,,,44-39,,M. Scott enters the game for P. Millsap
4:26.0,J. Winslow makes 2-pt shot from 2 ft,2,46-39,,
4:13.0,Personal foul by J. Richardson,,46-39,,
4:08.0,Personal foul by G. Green,,46-39,,
4:00.0,,,46-39,,Turnover by M. Scott (lost ball)
3:52.0,,,46-39,,Personal foul by A. Horford
3:40.0,G. Dragic misses 2-pt shot from 21 ft,,46-39,,
3:38.0,Offensive rebound by J. Winslow,,46-39,,
3:29.0,G. Dragic misses 2-pt shot from 10 ft,,46-39,,
3:28.0,,,46-39,,Defensive rebound by M. Scott
3:17.0,,,46-39,,K. Bazemore misses 2-pt shot from 2 ft
3:16.0,Defensive rebound by U. Haslem,,46-39,,
3:09.0,G. Dragic misses 3-pt shot from 24 ft,,46-39,,
3:07.0,,,46-39,,Defensive rebound by K. Bazemore
3:02.0,,,46-39,,K. Bazemore misses 2-pt shot from 18 ft
3:01.0,Defensive rebound by G. Dragic,,46-39,,
2:48.0,U. Haslem makes 2-pt shot from 17 ft (assist by G. Green),2,48-39,,
2:36.0,Personal foul by J. Richardson,,48-39,,
2:36.0,L. Deng enters the game for J. Richardson,,48-39,,
2:25.0,,,48-41,2,M. Scott makes 2-pt shot at rim (assist by J. Teague)
2:07.0,L. Deng misses 2-pt shot from 18 ft,,48-41,,
2:06.0,,,48-41,,Defensive rebound by M. Scott
2:00.0,,,48-41,,Shooting foul by U. Haslem (drawn by A. Horford)
2:00.0,,,48-42,1,A. Horford makes free throw 1 of 2
2:00.0,,,48-43,1,A. Horford makes free throw 2 of 2
1:44.0,,,48-43,,Personal foul by J. Teague
1:44.0,L. Deng makes free throw 1 of 2,1,49-43,,
1:44.0,B. Udrih enters the game for G. Dragic,,49-43,,
1:44.0,J. McRoberts enters the game for J. Winslow,,49-43,,
1:44.0,L. Deng makes free throw 2 of 2,1,50-43,,
1:38.0,,,50-43,,J. Teague misses 3-pt shot from 24 ft
1:37.0,Defensive rebound by U. Haslem,,50-43,,
1:25.0,Turnover by G. Green (step out of bounds),,50-43,,
1:25.0,,,50-43,,D. Schroder enters the game for K. Bazemore
1:13.0,,,50-45,2,J. Teague makes 2-pt shot from 1 ft
0:52.0,G. Green makes 2-pt shot from 14 ft (assist by J. McRoberts),2,52-45,,
0:44.0,,,52-47,2,A. Horford makes 2-pt shot from 1 ft (assist by M. Scott)
0:31.0,Turnover by J. McRoberts (lost ball; steal by D. Schroder),,52-47,,
0:24.0,,,52-47,,K. Korver misses 3-pt shot from 25 ft
0:22.0,,,52-47,,Offensive rebound by D. Schroder
0:22.0,Personal foul by B. Udrih,,52-47,,
0:22.0,,,52-48,1,D. Schroder makes free throw 1 of 2
0:22.0,,,52-48,,M. Muscala enters the game for A. Horford
0:22.0,,,52-48,,T. Sefolosha enters the game for K. Korver
0:22.0,,,52-48,,K. Bazemore enters the game for J. Teague
0:22.0,,,52-49,1,D. Schroder makes free throw 2 of 2
0:20.0,Miami full timeout,,52-49,,
0:20.0,J. Richardson enters the game for G. Green,,52-49,,
0:20.0,G. Dragic enters the game for J. McRoberts,,52-49,,
0:20.0,J. Winslow enters the game for U. Haslem,,52-49,,
0:20.0,,,52-49,,T. Hardaway enters the game for M. Muscala
0:11.0,Turnover by L. Deng (3 sec),,52-49,,
0:11.0,,,52-49,,K. Korver enters the game for T. Hardaway
0:11.0,,,52-49,,A. Horford enters the game for T. Sefolosha
0:11.0,U. Haslem enters the game for J. Winslow,,52-49,,
0:11.0,G. Green enters the game for G. Dragic,,52-49,,
0:05.0,,,52-52,3,M. Scott makes 3-pt shot from 25 ft (assist by D. Schroder)
0:01.0,,,52-52,,T. Sefolosha enters the game for A. Horford
0:01.0,,,52-52,,M. Muscala enters the game for K. Korver
0:00.0,G. Green misses 3-pt shot from 23 ft,,52-52,,
0:00.0,Offensive rebound by Team,,52-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,G. Green makes 2-pt shot from 18 ft (assist by A. Stoudemire),2,54-52,,
11:31.0,,,54-52,,Turnover by J. Teague (lost ball; steal by J. Winslow)
11:12.0,L. Deng misses 2-pt shot from 12 ft,,54-52,,
11:09.0,,,54-52,,Defensive rebound by J. Teague
11:00.0,,,54-55,3,K. Korver makes 3-pt shot from 23 ft (assist by A. Horford)
10:43.0,Turnover by G. Dragic (lost ball; steal by J. Teague),,54-55,,
10:39.0,,,54-57,2,J. Teague makes 2-pt shot from 1 ft
10:29.0,G. Dragic makes 2-pt shot from 2 ft,2,56-57,,
10:19.0,,,56-57,,J. Teague misses 2-pt shot from 2 ft
10:18.0,Defensive rebound by A. Stoudemire,,56-57,,
9:57.0,Turnover by A. Stoudemire (step out of bounds),,56-57,,
9:49.0,,,56-60,3,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague)
9:33.0,G. Dragic misses 3-pt shot from 24 ft,,56-60,,
9:32.0,,,56-60,,Defensive rebound by K. Korver
9:24.0,,,56-60,,A. Horford misses 3-pt shot from 23 ft
9:22.0,,,56-60,,Offensive rebound by P. Millsap
9:16.0,,,56-60,,P. Millsap misses 2-pt shot from 4 ft
9:14.0,Defensive rebound by J. Winslow,,56-60,,
9:03.0,G. Green makes 2-pt shot from 16 ft (assist by G. Dragic),2,58-60,,
8:47.0,,,58-60,,J. Teague misses 3-pt shot from 24 ft
8:45.0,Defensive rebound by J. Winslow,,58-60,,
8:39.0,G. Green misses 2-pt shot from 20 ft,,58-60,,
8:37.0,,,58-60,,Defensive rebound by P. Millsap
8:33.0,,,58-60,,Turnover by P. Millsap (offensive foul)
8:33.0,,,58-60,,Offensive foul by P. Millsap
8:33.0,,,58-60,,M. Scott enters the game for P. Millsap
8:21.0,G. Green makes 2-pt shot from 18 ft,2,60-60,,
8:00.0,,,60-60,,K. Bazemore misses 2-pt shot from 1 ft
7:58.0,,,60-60,,Offensive rebound by A. Horford
7:50.0,,,60-60,,K. Korver misses 3-pt shot from 22 ft
7:48.0,,,60-60,,Offensive rebound by M. Scott
7:41.0,,,60-60,,K. Bazemore misses 3-pt shot from 24 ft
7:39.0,Defensive rebound by J. Winslow,,60-60,,
7:35.0,J. Winslow misses 2-pt shot from 4 ft (block by A. Horford),,60-60,,
7:35.0,Offensive rebound by Team,,60-60,,
7:33.0,G. Green misses 2-pt shot at rim,,60-60,,
7:33.0,Offensive rebound by G. Green,,60-60,,
7:33.0,G. Green makes 2-pt shot at rim,2,62-60,,
7:33.0,Shooting foul by K. Korver (drawn by G. Green),,62-60,,
7:33.0,,,62-60,,Atlanta full timeout
7:33.0,G. Green misses free throw 1 of 1,,62-60,,
7:27.0,Offensive rebound by L. Deng,,62-60,,
7:22.0,J. Winslow misses 2-pt shot from 1 ft,,62-60,,
7:21.0,,,62-60,,Defensive rebound by M. Scott
7:04.0,,,62-60,,K. Bazemore misses 2-pt shot at rim
7:01.0,Defensive rebound by J. Winslow,,62-60,,
7:01.0,Turnover by J. Winslow (lost ball; steal by K. Bazemore),,62-60,,
6:57.0,,,62-60,,K. Korver misses 2-pt shot from 16 ft
6:54.0,Defensive rebound by L. Deng,,62-60,,
6:47.0,Shooting foul by J. Teague (drawn by L. Deng),,62-60,,
6:47.0,L. Deng makes free throw 1 of 2,1,63-60,,
6:47.0,,,63-60,,T. Sefolosha enters the game for K. Bazemore
6:47.0,L. Deng makes free throw 2 of 2,1,64-60,,
6:38.0,,,64-63,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
6:11.0,A. Stoudemire misses 2-pt shot from 2 ft,,64-63,,
6:08.0,Offensive rebound by A. Stoudemire,,64-63,,
6:07.0,A. Stoudemire misses 2-pt shot at rim (block by K. Korver),,64-63,,
6:05.0,,,64-63,,Defensive rebound by A. Horford
6:01.0,,,64-66,3,J. Teague makes 3-pt shot from 25 ft (assist by T. Sefolosha)
5:43.0,J. Winslow misses 3-pt shot from 23 ft,,64-66,,
5:42.0,,,64-66,,Defensive rebound by T. Sefolosha
5:38.0,,,64-66,,Turnover by J. Teague (lost ball; steal by J. Winslow)
5:23.0,G. Dragic makes 2-pt shot from 17 ft,2,66-66,,
5:02.0,,,66-66,,Turnover by A. Horford (lost ball; steal by L. Deng)
5:01.0,,,66-66,,Shooting block foul by J. Teague (drawn by L. Deng)
5:01.0,L. Deng makes free throw 1 of 2,1,67-66,,
5:01.0,J. McRoberts enters the game for J. Winslow,,67-66,,
5:01.0,,,67-66,,D. Schroder enters the game for J. Teague
5:01.0,L. Deng misses free throw 2 of 2,,67-66,,
5:00.0,,,67-66,,Defensive rebound by T. Sefolosha
4:38.0,,,67-66,,T. Sefolosha misses 2-pt shot from 20 ft
4:36.0,Defensive rebound by A. Stoudemire,,67-66,,
4:29.0,A. Stoudemire makes 2-pt shot at rim (assist by G. Green),2,69-66,,
4:13.0,,,69-66,,M. Scott misses 2-pt shot from 17 ft
4:12.0,Defensive rebound by G. Dragic,,69-66,,
4:03.0,G. Green makes 3-pt shot from 23 ft (assist by G. Dragic),3,72-66,,
3:46.0,,,72-66,,Turnover by D. Schroder (lost ball; steal by G. Dragic)
3:41.0,Turnover by G. Green (discontinued dribble),,72-66,,
3:41.0,,,72-66,,P. Millsap enters the game for A. Horford
3:41.0,J. Winslow enters the game for L. Deng,,72-66,,
3:32.0,,,72-68,2,D. Schroder makes 2-pt shot from 14 ft
3:20.0,Turnover by G. Dragic (traveling),,72-68,,
3:06.0,,,72-68,,P. Millsap misses 3-pt shot from 24 ft
3:05.0,Defensive rebound by G. Green,,72-68,,
2:53.0,J. McRoberts makes 2-pt shot from 7 ft,2,74-68,,
2:45.0,,,74-71,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder)
2:44.0,Miami full timeout,,74-71,,
2:44.0,,,74-71,,M. Muscala enters the game for P. Millsap
2:44.0,J. Richardson enters the game for A. Stoudemire,,74-71,,
2:25.0,J. McRoberts makes 2-pt shot from 2 ft,2,76-71,,
2:13.0,,,76-74,3,D. Schroder makes 3-pt shot from 24 ft (assist by T. Sefolosha)
1:55.0,Offensive charge foul by G. Green,,76-74,,
1:55.0,Turnover by G. Green (offensive foul),,76-74,,
1:55.0,,,76-74,,P. Millsap enters the game for M. Muscala
1:36.0,,,76-74,,M. Scott misses 2-pt shot from 17 ft
1:34.0,Defensive rebound by J. Richardson,,76-74,,
1:16.0,G. Dragic makes 3-pt shot from 24 ft (assist by J. McRoberts),3,79-74,,
0:57.0,,,79-76,2,K. Korver makes 2-pt shot from 20 ft (assist by P. Millsap)
0:44.0,Turnover by G. Dragic (lost ball; steal by K. Korver),,79-76,,
0:38.0,,,79-78,2,T. Sefolosha makes 2-pt shot at rim (assist by P. Millsap)
0:20.0,G. Dragic misses 3-pt shot from 24 ft,,79-78,,
0:18.0,,,79-78,,Defensive rebound by P. Millsap
0:00.0,,,79-81,3,D. Schroder makes 3-pt shot from 24 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,79-81,,Turnover by D. Schroder (lost ball; steal by L. Deng)
11:30.0,J. McRoberts makes 3-pt shot from 24 ft (assist by B. Udrih),3,82-81,,
11:12.0,,,82-81,,D. Schroder misses 2-pt shot from 1 ft
11:12.0,Defensive rebound by Team,,82-81,,
11:12.0,,,82-81,,Loose ball foul by M. Scott
10:46.0,B. Udrih misses 2-pt shot from 16 ft,,82-81,,
10:44.0,Offensive rebound by J. McRoberts,,82-81,,
10:37.0,J. Winslow makes 2-pt shot from 2 ft (assist by J. McRoberts),2,84-81,,
10:26.0,,,84-84,3,M. Scott makes 3-pt shot from 24 ft (assist by D. Schroder)
10:01.0,L. Deng makes 2-pt shot from 16 ft,2,86-84,,
9:45.0,,,86-84,,M. Scott misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by J. McRoberts,,86-84,,
9:30.0,L. Deng makes 2-pt shot at rim (assist by J. McRoberts),2,88-84,,
9:20.0,,,88-86,2,A. Horford makes 2-pt shot from 1 ft (assist by M. Scott)
9:20.0,,,88-86,,Shooting foul by J. McRoberts (drawn by A. Horford)
9:20.0,,,88-86,,P. Millsap enters the game for M. Scott
9:20.0,,,88-87,1,A. Horford makes free throw 1 of 1
9:11.0,Turnover by B. Udrih (lost ball; steal by A. Horford),,88-87,,
8:54.0,,,88-87,,P. Millsap misses 2-pt shot from 19 ft
8:51.0,Defensive rebound by J. Winslow,,88-87,,
8:44.0,B. Udrih makes 3-pt shot from 24 ft (assist by J. McRoberts),3,91-87,,
8:34.0,,,91-87,,Turnover by D. Schroder (traveling)
8:34.0,Official timeout,,91-87,,
8:34.0,,,91-87,,J. Teague enters the game for T. Hardaway
8:14.0,B. Udrih misses 2-pt shot from 18 ft,,91-87,,
8:12.0,,,91-87,,Defensive rebound by T. Sefolosha
7:58.0,,,91-87,,A. Horford misses 2-pt shot from 8 ft
7:56.0,Defensive rebound by J. McRoberts,,91-87,,
7:48.0,J. McRoberts misses 2-pt shot from 18 ft,,91-87,,
7:46.0,,,91-87,,Defensive rebound by P. Millsap
7:40.0,,,91-87,,A. Horford misses 2-pt shot at rim
7:36.0,Defensive rebound by J. Winslow,,91-87,,
7:26.0,L. Deng makes 2-pt shot from 1 ft (assist by J. McRoberts),2,93-87,,
7:09.0,,,93-90,3,J. Teague makes 3-pt shot from 24 ft (assist by A. Horford)
6:54.0,,,93-90,,K. Bazemore enters the game for T. Sefolosha
6:54.0,,,93-90,,K. Korver enters the game for D. Schroder
6:54.0,G. Green enters the game for J. Winslow,,93-90,,
6:54.0,G. Dragic enters the game for B. Udrih,,93-90,,
6:44.0,J. McRoberts makes 3-pt shot from 24 ft (assist by G. Dragic),3,96-90,,
6:31.0,,,96-90,,P. Millsap misses 2-pt shot from 2 ft
6:30.0,,,96-90,,Offensive rebound by P. Millsap
6:28.0,,,96-90,,Turnover by P. Millsap (lost ball; steal by G. Green)
6:12.0,G. Dragic makes 2-pt shot from 1 ft,2,98-90,,
6:12.0,,,98-90,,Atlanta full timeout
5:43.0,,,98-90,,P. Millsap misses 3-pt shot from 40 ft
5:42.0,Defensive rebound by L. Deng,,98-90,,
5:28.0,G. Green misses 3-pt shot from 25 ft,,98-90,,
5:26.0,,,98-90,,Defensive rebound by P. Millsap
5:18.0,,,98-93,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
4:58.0,J. McRoberts misses 3-pt shot from 24 ft,,98-93,,
4:56.0,,,98-93,,Defensive rebound by P. Millsap
4:47.0,,,98-95,2,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap)
4:47.0,Miami full timeout,,98-95,,
4:47.0,J. Winslow enters the game for J. Richardson,,98-95,,
4:30.0,J. McRoberts misses 2-pt shot from 15 ft,,98-95,,
4:29.0,,,98-95,,Defensive rebound by P. Millsap
4:16.0,,,98-98,3,J. Teague makes 3-pt shot from 24 ft
3:57.0,L. Deng makes 3-pt shot from 24 ft (assist by J. McRoberts),3,101-98,,
3:39.0,,,101-100,2,J. Teague makes 2-pt shot at rim
3:20.0,G. Green misses 2-pt shot from 16 ft,,101-100,,
3:17.0,Offensive rebound by J. McRoberts,,101-100,,
3:17.0,J. McRoberts makes 2-pt shot at rim,2,103-100,,
