time,New Orleans,pts.away,score,pts.home,Portland
5:19.0,Turnover by T. Evans (bad pass; steal by A. Crabbe),,39-39,,
5:12.0,,,39-41,2,A. Aminu makes 2-pt shot from 2 ft (assist by A. Crabbe)
4:48.0,Shooting foul by A. Crabbe (drawn by T. Evans),,39-41,,
4:48.0,T. Evans makes free throw 1 of 2,1,40-41,,
4:48.0,,,40-41,,D. Lillard enters the game for C. McCollum
4:48.0,E. Gordon enters the game for N. Cole,,40-41,,
4:48.0,,,40-41,,T. Frazier enters the game for A. Crabbe
4:48.0,T. Evans makes free throw 2 of 2,1,41-41,,
4:34.0,,,41-41,,M. Plumlee misses 2-pt shot from 4 ft (block by D. Cunningham)
4:34.0,,,41-41,,Offensive rebound by Team
4:26.0,,,41-41,,M. Harkless misses 2-pt shot from 3 ft
4:26.0,Defensive rebound by D. Cunningham,,41-41,,
4:08.0,Shooting foul by M. Harkless (drawn by R. Anderson),,41-41,,
4:08.0,R. Anderson makes free throw 1 of 2,1,42-41,,
4:08.0,R. Anderson makes free throw 2 of 2,1,43-41,,
3:55.0,Violation by T. Evans (kicked ball),,43-41,,
3:51.0,,,43-41,,Shooting foul by E. Gordon (drawn by D. Lillard)
3:51.0,,,43-42,1,D. Lillard makes free throw 1 of 2
3:51.0,,,43-43,1,D. Lillard makes free throw 2 of 2
3:30.0,T. Evans misses 2-pt shot from 18 ft,,43-43,,
3:30.0,,,43-43,,Defensive rebound by A. Aminu
3:20.0,,,43-43,,Turnover by M. Plumlee (bad pass; steal by E. Gordon)
3:02.0,R. Anderson misses 2-pt shot from 17 ft,,43-43,,
3:02.0,,,43-43,,Defensive rebound by A. Aminu
2:56.0,,,43-43,,A. Aminu misses 2-pt shot from 1 ft
2:54.0,,,43-43,,Offensive rebound by M. Plumlee
2:54.0,,,43-45,2,M. Plumlee makes 2-pt shot at rim
2:49.0,New Orleans full timeout,,43-45,,
2:45.0,,,43-45,,Personal foul by M. Plumlee (drawn by A. Davis)
2:45.0,A. Davis makes free throw 1 of 2,1,44-45,,
2:45.0,A. Davis misses free throw 2 of 2,,44-45,,
2:44.0,,,44-45,,Defensive rebound by A. Aminu
2:30.0,,,44-45,,D. Lillard misses 3-pt shot from 24 ft
2:29.0,Defensive rebound by T. Evans,,44-45,,
2:19.0,A. Davis makes 2-pt shot from 5 ft,2,46-45,,
2:03.0,,,46-48,3,A. Aminu makes 3-pt shot from 25 ft (assist by T. Frazier)
1:37.0,R. Anderson misses 2-pt shot from 14 ft,,46-48,,
1:34.0,,,46-48,,Defensive rebound by M. Plumlee
1:29.0,,,46-48,,Turnover by T. Frazier (lost ball; steal by T. Evans)
1:18.0,E. Gordon misses 3-pt shot from 24 ft,,46-48,,
1:18.0,,,46-48,,Defensive rebound by M. Harkless
1:15.0,,,46-48,,Turnover by M. Harkless (bad pass; steal by T. Evans)
1:11.0,T. Evans misses 2-pt shot from 2 ft,,46-48,,
1:10.0,,,46-48,,Defensive rebound by D. Lillard
1:10.0,,,46-48,,Personal foul by T. Frazier (drawn by A. Davis)
1:10.0,Personal foul by A. Davis,,46-48,,
1:10.0,,,46-48,,C. McCollum enters the game for T. Frazier
0:53.0,,,46-48,,Turnover by A. Aminu (bad pass; steal by E. Gordon)
0:48.0,Shooting foul by C. McCollum (drawn by E. Gordon),,46-48,,
0:48.0,E. Gordon makes free throw 1 of 2,1,47-48,,
0:48.0,,,47-48,,E. Davis enters the game for M. Plumlee
