time,Detroit,pts.away,score,pts.home,Sacramento
8:59.0,,,31-40,,Sacramento full timeout
8:59.0,K. Caldwell-Pope enters the game for S. Johnson,,31-40,,
8:59.0,,,31-40,,R. Gay enters the game for D. Cousins
8:46.0,,,31-40,,O. Casspi misses 3-pt shot from 25 ft
8:45.0,Defensive rebound by M. Morris,,31-40,,
8:33.0,Turnover by K. Caldwell-Pope (bad pass; steal by K. Koufos),,31-40,,
8:27.0,,,31-42,2,O. Casspi makes 2-pt shot from 2 ft (assist by R. Gay)
8:12.0,M. Morris makes 3-pt shot from 25 ft (assist by A. Tolliver),3,34-42,,
7:56.0,,,34-44,2,R. Gay makes 2-pt shot from 21 ft (assist by R. Rondo)
7:41.0,M. Morris makes 2-pt shot from 2 ft (assist by A. Tolliver),2,36-44,,
7:24.0,,,36-46,2,R. Rondo makes 2-pt shot from 2 ft
7:05.0,A. Baynes misses 2-pt shot from 14 ft,,36-46,,
7:04.0,,,36-46,,Defensive rebound by O. Casspi
6:51.0,,,36-46,,M. Belinelli misses 2-pt shot from 17 ft
6:50.0,Defensive rebound by A. Tolliver,,36-46,,
6:37.0,Turnover by A. Tolliver (lost ball),,36-46,,
6:20.0,,,36-48,2,R. Gay makes 2-pt shot from 19 ft
6:06.0,M. Morris misses 2-pt shot from 15 ft,,36-48,,
6:05.0,,,36-48,,Defensive rebound by R. Gay
5:48.0,Personal block foul by K. Caldwell-Pope (drawn by R. Gay),,36-48,,
5:48.0,Official timeout,,36-48,,
5:48.0,A. Drummond enters the game for A. Baynes,,36-48,,
5:48.0,R. Jackson enters the game for S. Blake,,36-48,,
5:37.0,,,36-48,,Turnover by R. Rondo (bad pass; steal by M. Morris)
5:29.0,R. Jackson makes 2-pt shot from 4 ft,2,38-48,,
5:08.0,,,38-50,2,O. Casspi makes 2-pt shot from 6 ft (assist by R. Rondo)
4:53.0,R. Jackson misses 2-pt shot from 16 ft,,38-50,,
4:52.0,,,38-50,,Defensive rebound by O. Casspi
4:49.0,,,38-50,,Turnover by R. Gay (lost ball; steal by M. Morris)
4:39.0,A. Tolliver misses 3-pt shot from 24 ft,,38-50,,
4:37.0,,,38-50,,Defensive rebound by R. Gay
4:15.0,,,38-50,,R. Rondo misses 2-pt shot from 18 ft
4:14.0,Defensive rebound by R. Jackson,,38-50,,
4:09.0,R. Jackson makes 2-pt shot from 1 ft,2,40-50,,
3:41.0,,,40-50,,M. Belinelli misses 3-pt shot from 22 ft
3:40.0,Defensive rebound by A. Tolliver,,40-50,,
3:31.0,R. Jackson makes 2-pt shot from 18 ft,2,42-50,,
3:27.0,,,42-50,,Sacramento full timeout
3:27.0,,,42-50,,D. Cousins enters the game for K. Koufos
3:27.0,S. Johnson enters the game for M. Morris,,42-50,,
3:13.0,,,42-52,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
2:57.0,,,42-52,,Def 3 sec tech foul by R. Gay
2:57.0,Detroit full timeout,,42-52,,
2:57.0,,,42-52,,B. McLemore enters the game for M. Belinelli
2:57.0,K. Caldwell-Pope makes technical free throw,1,43-52,,
2:46.0,Turnover by A. Drummond (lost ball),,43-52,,
2:34.0,,,43-52,,Turnover by R. Rondo (bad pass; steal by S. Johnson)
2:33.0,,,43-52,,Personal foul by O. Casspi (drawn by S. Johnson)
2:22.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,43-52,,
2:20.0,,,43-52,,Defensive rebound by O. Casspi
2:11.0,,,43-55,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo)
1:52.0,K. Caldwell-Pope misses 2-pt shot from 11 ft,,43-55,,
1:51.0,Offensive rebound by A. Drummond,,43-55,,
1:48.0,A. Drummond makes 2-pt shot from 5 ft,2,45-55,,
1:28.0,,,45-57,2,R. Gay makes 2-pt shot from 5 ft
1:13.0,A. Drummond misses 2-pt shot from 9 ft,,45-57,,
1:13.0,,,45-57,,Defensive rebound by D. Cousins
1:05.0,,,45-60,3,D. Cousins makes 3-pt shot from 24 ft (assist by R. Rondo)
0:56.0,Shooting foul by B. McLemore (drawn by R. Jackson),,45-60,,
0:56.0,R. Jackson makes free throw 1 of 2,1,46-60,,
0:56.0,A. Baynes enters the game for A. Drummond,,46-60,,
0:56.0,R. Jackson makes free throw 2 of 2,1,47-60,,
0:40.0,,,47-60,,Turnover by D. Cousins (step out of bounds)
0:23.0,R. Jackson misses 2-pt shot from 20 ft,,47-60,,
0:23.0,,,47-60,,Defensive rebound by O. Casspi
0:07.0,,,47-60,,Shooting foul by S. Johnson (drawn by R. Gay)
0:07.0,,,47-61,1,R. Gay makes free throw 1 of 2
0:07.0,,,47-61,,R. Gay misses free throw 2 of 2
0:06.0,Defensive rebound by A. Baynes,,47-61,,
0:00.0,S. Johnson makes 2-pt shot from 3 ft,2,49-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Personal foul by E. Ilyasova (drawn by D. Cousins),,49-61,,
11:31.0,,,49-61,,Turnover by R. Rondo (bad pass; steal by A. Drummond)
11:19.0,R. Jackson misses 3-pt shot from 24 ft,,49-61,,
11:18.0,,,49-61,,Defensive rebound by Team
11:08.0,,,49-63,2,R. Rondo makes 2-pt shot from 2 ft
10:42.0,M. Morris misses 2-pt shot from 18 ft,,49-63,,
10:42.0,,,49-63,,Defensive rebound by R. Gay
10:33.0,,,49-63,,D. Cousins misses 2-pt shot from 2 ft
10:32.0,Defensive rebound by Team,,49-63,,
10:15.0,K. Caldwell-Pope makes 2-pt shot from 19 ft (assist by E. Ilyasova),2,51-63,,
9:56.0,,,51-63,,R. Rondo misses 2-pt shot from 20 ft
9:55.0,,,51-63,,Offensive rebound by W. Cauley-Stein
9:45.0,Personal foul by E. Ilyasova (drawn by D. Cousins),,51-63,,
9:35.0,,,51-63,,Shooting foul by K. Caldwell-Pope (drawn by R. Gay)
9:35.0,,,51-64,1,R. Gay makes free throw 1 of 2
9:35.0,,,51-65,1,R. Gay makes free throw 2 of 2
9:15.0,A. Drummond misses 2-pt shot from 10 ft,,51-65,,
9:14.0,,,51-65,,Defensive rebound by D. Cousins
9:09.0,,,51-65,,R. Gay misses 2-pt shot from 1 ft
9:07.0,Defensive rebound by A. Drummond,,51-65,,
8:59.0,M. Morris misses 2-pt shot from 3 ft,,51-65,,
8:58.0,,,51-65,,Defensive rebound by R. Rondo
8:51.0,,,51-65,,R. Rondo misses 2-pt shot from 16 ft
8:50.0,Defensive rebound by A. Drummond,,51-65,,
8:43.0,K. Caldwell-Pope makes 3-pt shot from 24 ft,3,54-65,,
8:20.0,,,54-65,,Turnover by R. Gay (bad pass; steal by M. Morris)
8:13.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,54-65,,
8:12.0,,,54-65,,Defensive rebound by W. Cauley-Stein
8:01.0,,,54-65,,Offensive charge foul by J. Anderson
8:01.0,,,54-65,,Turnover by J. Anderson (offensive foul)
7:48.0,R. Jackson misses 2-pt shot from 16 ft,,54-65,,
7:46.0,Offensive rebound by A. Drummond,,54-65,,
7:46.0,A. Drummond makes 2-pt shot from 2 ft,2,56-65,,
7:46.0,Personal foul by M. Morris (drawn by D. Cousins),,56-65,,
7:31.0,,,56-67,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by R. Rondo)
7:05.0,E. Ilyasova misses 2-pt shot from 20 ft,,56-67,,
7:05.0,Offensive rebound by A. Drummond,,56-67,,
7:05.0,A. Drummond misses 2-pt shot from 2 ft,,56-67,,
7:05.0,Offensive rebound by A. Drummond,,56-67,,
7:05.0,,,56-67,,Violation by D. Cousins (def goaltending)
7:05.0,A. Drummond makes 2-pt shot from 2 ft,2,58-67,,
6:45.0,,,58-67,,Turnover by R. Rondo (lost ball)
6:28.0,Shooting foul by J. Anderson (drawn by M. Morris),,58-67,,
6:28.0,M. Morris makes free throw 1 of 2,1,59-67,,
6:28.0,M. Morris makes free throw 2 of 2,1,60-67,,
6:02.0,,,60-69,2,R. Rondo makes 2-pt shot from 21 ft
5:41.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,62-69,,
5:20.0,,,62-72,3,J. Anderson makes 3-pt shot from 23 ft (assist by R. Rondo)
5:05.0,Turnover by M. Morris (traveling),,62-72,,
5:05.0,,,62-72,,Sacramento full timeout
5:05.0,,,62-72,,K. Koufos enters the game for W. Cauley-Stein
5:05.0,S. Johnson enters the game for M. Morris,,62-72,,
4:50.0,,,62-74,2,R. Gay makes 2-pt shot from 18 ft
4:50.0,Away from play foul by E. Ilyasova (drawn by D. Cousins),,62-74,,
4:50.0,A. Tolliver enters the game for E. Ilyasova,,62-74,,
4:50.0,,,62-74,,D. Cousins misses free throw 1 of 1
4:48.0,,,62-74,,Offensive rebound by J. Anderson
4:30.0,,,62-74,,J. Anderson misses 3-pt shot from 23 ft
4:30.0,Defensive rebound by Team,,62-74,,
4:12.0,A. Tolliver misses 3-pt shot from 24 ft,,62-74,,
4:11.0,,,62-74,,Defensive rebound by K. Koufos
3:57.0,Personal foul by A. Tolliver (drawn by D. Cousins),,62-74,,
3:57.0,,,62-75,1,D. Cousins makes free throw 1 of 2
3:57.0,,,62-75,,M. Belinelli enters the game for J. Anderson
3:57.0,,,62-75,,D. Cousins misses free throw 2 of 2
3:56.0,,,62-75,,Offensive rebound by Team
3:55.0,,,62-75,,Offensive foul by D. Cousins
3:55.0,,,62-75,,Turnover by D. Cousins (offensive foul)
3:44.0,K. Caldwell-Pope misses 2-pt shot from 14 ft,,62-75,,
3:43.0,,,62-75,,Defensive rebound by R. Rondo
3:27.0,,,62-77,2,D. Cousins makes 2-pt shot from 6 ft (assist by R. Rondo)
3:14.0,R. Jackson misses 3-pt shot from 25 ft,,62-77,,
3:14.0,,,62-77,,Defensive rebound by R. Rondo
2:54.0,,,62-79,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
2:52.0,Detroit full timeout,,62-79,,
2:52.0,S. Blake enters the game for K. Caldwell-Pope,,62-79,,
2:52.0,M. Morris enters the game for R. Jackson,,62-79,,
2:37.0,S. Johnson misses 3-pt shot from 24 ft,,62-79,,
2:37.0,,,62-79,,Defensive rebound by K. Koufos
2:19.0,,,62-81,2,R. Gay makes 2-pt shot from 15 ft (assist by R. Rondo)
1:57.0,Turnover by A. Drummond (lost ball; steal by R. Rondo),,62-81,,
1:47.0,,,62-81,,D. Cousins misses 2-pt shot from 2 ft
1:46.0,Defensive rebound by A. Tolliver,,62-81,,
1:41.0,,,62-81,,Personal foul by R. Gay (drawn by M. Morris)
1:41.0,,,62-81,,O. Casspi enters the game for D. Cousins
1:33.0,A. Drummond makes 2-pt shot at rim (assist by S. Blake),2,64-81,,
1:18.0,,,64-81,,R. Rondo misses 2-pt shot from 18 ft
1:18.0,Defensive rebound by A. Drummond,,64-81,,
1:00.0,M. Morris misses 2-pt shot from 14 ft,,64-81,,
1:00.0,,,64-81,,Defensive rebound by O. Casspi
0:54.0,Personal foul by A. Drummond (drawn by O. Casspi),,64-81,,
0:54.0,,,64-82,1,O. Casspi makes free throw 1 of 2
0:54.0,K. Caldwell-Pope enters the game for A. Tolliver,,64-82,,
0:54.0,,,64-83,1,O. Casspi makes free throw 2 of 2
0:39.0,Turnover by K. Caldwell-Pope (lost ball; steal by R. Rondo),,64-83,,
0:33.0,,,64-83,,O. Casspi misses 2-pt shot from 2 ft
0:32.0,Defensive rebound by S. Johnson,,64-83,,
0:28.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by S. Johnson),2,66-83,,
0:28.0,Shooting foul by M. Belinelli (drawn by K. Caldwell-Pope),,66-83,,
0:28.0,K. Caldwell-Pope misses free throw 1 of 1,,66-83,,
0:27.0,Offensive rebound by A. Drummond,,66-83,,
0:26.0,A. Drummond makes 2-pt shot from 1 ft,2,68-83,,
0:11.0,,,68-83,,Turnover by M. Belinelli (bad pass; steal by M. Morris)
0:07.0,M. Morris makes 2-pt shot from 1 ft,2,70-83,,
0:01.0,,,70-86,3,R. Rondo makes 3-pt shot from 25 ft
0:00.0,S. Blake misses 3-pt shot from 57 ft,,70-86,,
0:00.0,Offensive rebound by Team,,70-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Turnover by M. Morris (lost ball),,70-86,,
11:38.0,,,70-86,,M. Belinelli misses 2-pt shot from 19 ft
11:38.0,,,70-86,,Offensive rebound by R. Rondo
11:33.0,,,70-86,,R. Gay misses 3-pt shot from 24 ft
11:33.0,Defensive rebound by Team,,70-86,,
11:33.0,,,70-86,,Loose ball foul by K. Koufos (drawn by A. Baynes)
11:17.0,S. Johnson misses 2-pt shot from 6 ft,,70-86,,
11:16.0,,,70-86,,Defensive rebound by R. Rondo
11:04.0,,,70-89,3,M. Belinelli makes 3-pt shot from 23 ft (assist by R. Rondo)
10:50.0,,,70-89,,Personal foul by M. Belinelli (drawn by A. Baynes)
10:40.0,Shooting foul by O. Casspi (drawn by M. Morris),,70-89,,
10:40.0,M. Morris makes free throw 1 of 3,1,71-89,,
10:40.0,M. Morris makes free throw 2 of 3,1,72-89,,
10:40.0,M. Morris makes free throw 3 of 3,1,73-89,,
10:15.0,,,73-89,,K. Koufos misses 2-pt shot from 8 ft
10:15.0,Defensive rebound by M. Morris,,73-89,,
10:02.0,A. Baynes misses 2-pt shot from 7 ft,,73-89,,
10:01.0,,,73-89,,Defensive rebound by R. Rondo
9:55.0,,,73-89,,M. Belinelli misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by S. Blake,,73-89,,
9:42.0,A. Baynes makes 2-pt shot from 6 ft (assist by S. Blake),2,75-89,,
9:20.0,,,75-89,,R. Gay misses 2-pt shot from 10 ft
9:19.0,Defensive rebound by K. Caldwell-Pope,,75-89,,
9:12.0,S. Blake misses 3-pt shot from 25 ft,,75-89,,
9:11.0,Offensive rebound by M. Morris,,75-89,,
8:57.0,Official timeout,,75-89,,
8:57.0,,,75-89,,D. Cousins enters the game for R. Gay
8:48.0,M. Morris misses 3-pt shot from 23 ft,,75-89,,
8:47.0,,,75-89,,Defensive rebound by O. Casspi
8:45.0,,,75-89,,Turnover by O. Casspi (bad pass; steal by S. Johnson)
8:41.0,S. Johnson misses 2-pt shot from 2 ft,,75-89,,
8:40.0,Offensive rebound by S. Johnson,,75-89,,
8:40.0,S. Johnson misses 2-pt shot from 1 ft,,75-89,,
8:39.0,Offensive rebound by S. Johnson,,75-89,,
8:39.0,S. Johnson makes 2-pt shot from 1 ft,2,77-89,,
8:16.0,,,77-89,,Shooting foul by A. Baynes (drawn by D. Cousins)
8:16.0,,,77-89,,D. Cousins misses free throw 1 of 2
8:16.0,,,77-89,,Offensive rebound by Team
8:16.0,,,77-90,1,D. Cousins makes free throw 2 of 2
8:05.0,Turnover by M. Morris (bad pass; steal by O. Casspi),,77-90,,
8:00.0,,,77-90,,Offensive foul by K. Koufos
8:00.0,,,77-90,,Turnover by K. Koufos (offensive foul)
8:00.0,R. Jackson enters the game for S. Blake,,77-90,,
8:00.0,A. Drummond enters the game for A. Baynes,,77-90,,
7:48.0,M. Morris makes 2-pt shot from 7 ft,2,79-90,,
7:40.0,,,79-90,,K. Koufos misses 2-pt shot from 9 ft
7:40.0,Defensive rebound by M. Morris,,79-90,,
7:30.0,S. Johnson misses 2-pt shot from 4 ft,,79-90,,
7:27.0,,,79-90,,Defensive rebound by R. Rondo
7:16.0,,,79-90,,M. Belinelli misses 2-pt shot from 6 ft
7:15.0,Defensive rebound by A. Drummond,,79-90,,
7:04.0,S. Johnson misses 3-pt shot from 24 ft,,79-90,,
7:03.0,,,79-90,,Defensive rebound by O. Casspi
6:57.0,Personal foul by S. Johnson (drawn by K. Koufos),,79-90,,
6:50.0,,,79-90,,Offensive foul by D. Cousins
6:50.0,,,79-90,,Turnover by D. Cousins (offensive foul)
6:42.0,R. Jackson misses 2-pt shot from 8 ft,,79-90,,
6:40.0,Offensive rebound by R. Jackson,,79-90,,
6:35.0,A. Drummond makes 2-pt shot at rim,2,81-90,,
6:35.0,,,81-90,,Technical foul by Team
6:35.0,K. Caldwell-Pope makes technical free throw,1,82-90,,
6:20.0,,,82-92,2,D. Cousins makes 2-pt shot from 2 ft
5:59.0,M. Morris misses 2-pt shot from 20 ft,,82-92,,
5:59.0,,,82-92,,Defensive rebound by O. Casspi
5:45.0,,,82-92,,D. Cousins misses 2-pt shot from 22 ft
5:44.0,Defensive rebound by M. Morris,,82-92,,
5:35.0,Shooting foul by D. Cousins (drawn by R. Jackson),,82-92,,
5:35.0,,,82-92,,Sacramento full timeout
5:35.0,,,82-92,,R. Gay enters the game for K. Koufos
5:35.0,A. Tolliver enters the game for M. Morris,,82-92,,
5:35.0,R. Jackson makes free throw 1 of 2,1,83-92,,
5:35.0,R. Jackson makes free throw 2 of 2,1,84-92,,
5:19.0,,,84-92,,D. Cousins misses 2-pt shot from 2 ft
5:18.0,,,84-92,,Offensive rebound by D. Cousins
5:17.0,,,84-92,,D. Cousins misses 2-pt shot from 2 ft (block by A. Tolliver)
5:15.0,Defensive rebound by R. Jackson,,84-92,,
5:12.0,Offensive charge foul by R. Jackson,,84-92,,
5:12.0,Turnover by R. Jackson (offensive foul),,84-92,,
4:58.0,,,84-94,2,M. Belinelli makes 2-pt shot from 18 ft
4:40.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by R. Jackson),3,87-94,,
4:09.0,,,87-94,,R. Rondo misses 2-pt shot from 22 ft
4:09.0,Defensive rebound by A. Drummond,,87-94,,
3:59.0,R. Jackson makes 2-pt shot from 3 ft,2,89-94,,
3:43.0,,,89-94,,R. Rondo misses 2-pt shot from 7 ft
3:42.0,Defensive rebound by A. Drummond,,89-94,,
3:33.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,89-94,,
3:33.0,,,89-94,,Defensive rebound by Team
3:33.0,Loose ball foul by A. Drummond (drawn by D. Cousins),,89-94,,
3:20.0,,,89-94,,Shooting foul by K. Caldwell-Pope (drawn by M. Belinelli)
3:20.0,,,89-95,1,M. Belinelli makes free throw 1 of 2
3:20.0,,,89-96,1,M. Belinelli makes free throw 2 of 2
3:12.0,R. Jackson misses 3-pt shot from 24 ft,,89-96,,
3:11.0,,,89-96,,Defensive rebound by O. Casspi
2:51.0,,,89-96,,D. Cousins misses 2-pt shot from 21 ft
2:51.0,Defensive rebound by A. Tolliver,,89-96,,
