time,Charlotte,pts.away,score,pts.home,Phoenix
3:37.0,Defensive rebound by K. Walker,,21-20,,
3:32.0,J. Lin misses 3-pt shot from 24 ft,,21-20,,
3:30.0,Offensive rebound by J. Lin,,21-20,,
3:27.0,K. Walker misses 3-pt shot from 24 ft,,21-20,,
3:25.0,Offensive rebound by F. Kaminsky,,21-20,,
3:23.0,J. Lin makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,24-20,,
3:22.0,,,24-20,,Phoenix full timeout
3:22.0,,,24-20,,R. Price enters the game for P. Tucker
3:22.0,,,24-20,,T. Warren enters the game for B. Knight
3:22.0,J. Lamb enters the game for K. Walker,,24-20,,
3:09.0,,,24-23,3,M. Teletovic makes 3-pt shot from 24 ft (assist by D. Booker)
2:50.0,J. Lamb misses 2-pt shot from 16 ft,,24-23,,
2:48.0,,,24-23,,Defensive rebound by M. Teletovic
2:40.0,,,24-23,,M. Teletovic misses 3-pt shot from 24 ft
2:38.0,Defensive rebound by F. Kaminsky,,24-23,,
2:32.0,J. Lin makes 2-pt shot from 19 ft,2,26-23,,
2:14.0,,,26-25,2,D. Booker makes 2-pt shot from 21 ft
1:58.0,C. Zeller misses 2-pt shot from 19 ft,,26-25,,
1:56.0,,,26-25,,Defensive rebound by A. Len
1:48.0,,,26-28,3,D. Booker makes 3-pt shot from 25 ft (assist by R. Price)
1:34.0,Shooting foul by M. Teletovic (drawn by J. Lin),,26-28,,
1:34.0,J. Lin makes free throw 1 of 2,1,27-28,,
1:34.0,S. Hawes enters the game for C. Zeller,,27-28,,
1:34.0,J. Lin makes free throw 2 of 2,1,28-28,,
1:20.0,,,28-28,,Shooting foul by J. Lin (drawn by R. Price)
1:20.0,,,28-28,,R. Price misses free throw 1 of 2
1:20.0,,,28-28,,Offensive rebound by Team
1:20.0,,,28-29,1,R. Price makes free throw 2 of 2
1:09.0,J. Lin makes 2-pt shot from 1 ft,2,30-29,,
0:52.0,,,30-32,3,M. Teletovic makes 3-pt shot from 23 ft (assist by T. Warren)
0:38.0,P. Hairston makes 2-pt shot from 2 ft (assist by S. Hawes),2,32-32,,
0:24.0,,,32-34,2,T. Warren makes 2-pt shot from 20 ft
0:04.0,Turnover by J. Lin (lost ball; steal by R. Price),,32-34,,
0:00.0,,,32-34,,R. Price misses 2-pt shot from 1 ft
0:00.0,,,32-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by F. Kaminsky (lost ball; steal by M. Teletovic),,32-34,,
11:38.0,,,32-34,,Turnover by R. Price (lost ball)
11:22.0,J. Lamb misses 2-pt shot from 22 ft,,32-34,,
11:20.0,,,32-34,,Defensive rebound by A. Len
11:07.0,,,32-34,,M. Teletovic misses 3-pt shot from 23 ft
11:06.0,Defensive rebound by F. Kaminsky,,32-34,,
10:58.0,B. Roberts makes 2-pt shot from 20 ft,2,34-34,,
10:36.0,,,34-37,3,D. Booker makes 3-pt shot from 23 ft (assist by M. Teletovic)
10:21.0,F. Kaminsky misses 3-pt shot from 24 ft,,34-37,,
10:19.0,,,34-37,,Defensive rebound by T. Warren
10:12.0,,,34-37,,R. Price misses 3-pt shot from 24 ft
10:11.0,Defensive rebound by J. Lamb,,34-37,,
10:00.0,S. Hawes misses 2-pt shot from 12 ft,,34-37,,
9:59.0,,,34-37,,Defensive rebound by R. Price
9:53.0,,,34-37,,T. Warren misses 2-pt shot from 18 ft
9:50.0,Defensive rebound by F. Kaminsky,,34-37,,
9:45.0,B. Roberts misses 2-pt shot from 18 ft,,34-37,,
9:42.0,,,34-37,,Defensive rebound by D. Booker
9:35.0,,,34-37,,Turnover by A. Len (bad pass; steal by J. Lamb)
9:27.0,J. Lamb makes 2-pt shot from 2 ft,2,36-37,,
9:06.0,,,36-40,3,R. Price makes 3-pt shot from 24 ft (assist by M. Teletovic)
8:50.0,Turnover by M. Williams (bad pass; steal by D. Booker),,36-40,,
8:46.0,,,36-42,2,D. Booker makes 2-pt shot at rim
8:25.0,F. Kaminsky misses 2-pt shot from 2 ft,,36-42,,
8:23.0,,,36-42,,Defensive rebound by M. Teletovic
8:16.0,,,36-42,,M. Teletovic misses 2-pt shot from 6 ft
8:14.0,Defensive rebound by S. Hawes,,36-42,,
7:58.0,M. Williams misses 2-pt shot from 7 ft,,36-42,,
7:56.0,Offensive rebound by S. Hawes,,36-42,,
7:56.0,S. Hawes misses 2-pt shot from 1 ft,,36-42,,
7:53.0,,,36-42,,Defensive rebound by D. Booker
7:53.0,,,36-42,,Phoenix full timeout
7:53.0,,,36-42,,J. Leuer enters the game for R. Price
7:53.0,,,36-42,,P. Tucker enters the game for A. Len
7:53.0,,,36-42,,B. Knight enters the game for M. Teletovic
7:53.0,J. Lin enters the game for M. Williams,,36-42,,
7:53.0,P. Hairston enters the game for J. Lamb,,36-42,,
7:51.0,Personal foul by P. Hairston (drawn by T. Warren),,36-42,,
7:39.0,,,36-44,2,J. Leuer makes 2-pt shot at rim (assist by B. Knight)
7:25.0,P. Hairston misses 3-pt shot from 25 ft,,36-44,,
7:23.0,,,36-44,,Defensive rebound by P. Tucker
7:09.0,,,36-44,,T. Warren misses 2-pt shot from 11 ft
7:06.0,Defensive rebound by S. Hawes,,36-44,,
6:45.0,S. Hawes misses 2-pt shot from 2 ft,,36-44,,
6:42.0,,,36-44,,Defensive rebound by B. Knight
6:32.0,,,36-44,,Shooting foul by S. Hawes (drawn by J. Leuer)
6:32.0,,,36-45,1,J. Leuer makes free throw 1 of 2
6:32.0,,,36-46,1,J. Leuer makes free throw 2 of 2
6:24.0,,,36-46,,Personal block foul by D. Booker (drawn by J. Lin)
6:18.0,B. Roberts misses 3-pt shot from 25 ft,,36-46,,
6:16.0,,,36-46,,Defensive rebound by P. Tucker
6:13.0,Personal block foul by B. Roberts (drawn by B. Knight),,36-46,,
6:05.0,Def 3 sec tech foul by S. Hawes,,36-46,,
6:05.0,,,36-47,1,B. Knight makes technical free throw
5:59.0,,,36-47,,B. Knight misses 2-pt shot from 1 ft
5:56.0,Defensive rebound by S. Hawes,,36-47,,
5:49.0,,,36-47,,Personal foul by B. Knight (drawn by B. Roberts)
5:49.0,Official timeout,,36-47,,
5:45.0,J. Lin misses 2-pt shot from 6 ft,,36-47,,
5:43.0,,,36-47,,Defensive rebound by J. Leuer
5:29.0,,,36-47,,P. Tucker misses 2-pt shot from 21 ft
5:27.0,Defensive rebound by B. Roberts,,36-47,,
5:19.0,S. Hawes misses 3-pt shot from 24 ft,,36-47,,
5:17.0,,,36-47,,Defensive rebound by P. Tucker
5:06.0,,,36-50,3,J. Leuer makes 3-pt shot from 24 ft (assist by B. Knight)
4:51.0,S. Hawes misses 2-pt shot from 1 ft,,36-50,,
4:49.0,,,36-50,,Defensive rebound by T. Warren
4:36.0,,,36-50,,P. Tucker misses 3-pt shot from 24 ft
4:34.0,Defensive rebound by P. Hairston,,36-50,,
4:28.0,B. Roberts makes 2-pt shot from 21 ft,2,38-50,,
4:28.0,Shooting foul by B. Knight (drawn by B. Roberts),,38-50,,
4:28.0,C. Zeller enters the game for S. Hawes,,38-50,,
4:28.0,B. Roberts makes free throw 1 of 1,1,39-50,,
4:12.0,,,39-52,2,J. Leuer makes 2-pt shot from 11 ft
4:00.0,B. Roberts misses 2-pt shot from 2 ft,,39-52,,
3:58.0,Offensive rebound by C. Zeller,,39-52,,
3:58.0,C. Zeller makes 2-pt shot at rim,2,41-52,,
3:38.0,,,41-52,,Turnover by J. Leuer (bad pass; steal by C. Zeller)
3:31.0,P. Hairston makes 3-pt shot from 22 ft (assist by J. Lin),3,44-52,,
3:12.0,,,44-55,3,T. Warren makes 3-pt shot from 25 ft (assist by D. Booker)
2:55.0,Shooting foul by T. Warren (drawn by P. Hairston),,44-55,,
2:55.0,Charlotte full timeout,,44-55,,
2:55.0,,,44-55,,R. Price enters the game for D. Booker
2:55.0,T. Daniels enters the game for J. Lin,,44-55,,
2:55.0,M. Williams enters the game for F. Kaminsky,,44-55,,
2:55.0,K. Walker enters the game for B. Roberts,,44-55,,
2:55.0,P. Hairston misses free throw 1 of 3,,44-55,,
2:55.0,Offensive rebound by Team,,44-55,,
2:55.0,P. Hairston makes free throw 2 of 3,1,45-55,,
2:55.0,P. Hairston makes free throw 3 of 3,1,46-55,,
2:34.0,,,46-57,2,P. Tucker makes 2-pt shot from 5 ft (assist by J. Leuer)
2:15.0,T. Daniels makes 2-pt shot from 20 ft,2,48-57,,
1:47.0,,,48-57,,R. Price misses 3-pt shot from 24 ft
1:45.0,,,48-57,,Offensive rebound by Team
1:38.0,,,48-57,,J. Leuer misses 2-pt shot from 17 ft
1:36.0,Defensive rebound by T. Daniels,,48-57,,
1:29.0,K. Walker misses 2-pt shot from 2 ft (block by J. Leuer),,48-57,,
1:27.0,,,48-57,,Defensive rebound by P. Tucker
1:25.0,,,48-57,,Turnover by P. Tucker (bad pass; steal by C. Zeller)
1:24.0,Turnover by C. Zeller (bad pass; steal by P. Tucker),,48-57,,
1:20.0,,,48-60,3,R. Price makes 3-pt shot from 24 ft (assist by B. Knight)
1:04.0,Turnover by K. Walker (bad pass; steal by R. Price),,48-60,,
1:00.0,,,48-60,,Turnover by R. Price (lost ball; steal by C. Zeller)
0:56.0,C. Zeller makes 2-pt shot at rim (assist by T. Daniels),2,50-60,,
0:37.0,Personal foul by C. Zeller (drawn by J. Leuer),,50-60,,
0:37.0,T. Hansbrough enters the game for C. Zeller,,50-60,,
0:37.0,,,50-60,,Phoenix full timeout
0:29.0,,,50-60,,B. Knight misses 2-pt shot from 11 ft
0:28.0,Defensive rebound by T. Hansbrough,,50-60,,
0:02.0,K. Walker misses 2-pt shot from 18 ft,,50-60,,
0:01.0,Offensive rebound by Team,,50-60,,
0:01.0,,,50-60,,Loose ball foul by T. Warren (drawn by M. Williams)
0:01.0,M. Williams makes free throw 1 of 2,1,51-60,,
0:01.0,M. Williams makes free throw 2 of 2,1,52-60,,
0:00.0,,,52-60,,T. Warren misses 3-pt shot from 51 ft
0:00.0,,,52-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker),3,55-60,,
11:31.0,,,55-62,2,P. Tucker makes 2-pt shot from 4 ft
11:15.0,,,55-62,,Personal foul by T. Chandler (drawn by K. Walker)
11:08.0,C. Zeller misses 2-pt shot from 1 ft,,55-62,,
11:05.0,,,55-62,,Defensive rebound by J. Leuer
10:44.0,,,55-62,,Shooting foul by P. Hairston (drawn by T. Chandler)
10:44.0,,,55-62,,T. Chandler misses free throw 1 of 2
10:44.0,,,55-62,,Offensive rebound by Team
10:44.0,,,55-63,1,T. Chandler makes free throw 2 of 2
10:22.0,P. Hairston misses 2-pt shot from 1 ft,,55-63,,
10:18.0,,,55-63,,Defensive rebound by T. Chandler
10:08.0,,,55-63,,B. Knight misses 2-pt shot from 21 ft
10:06.0,Defensive rebound by C. Zeller,,55-63,,
9:52.0,K. Walker makes 2-pt shot from 14 ft,2,57-63,,
9:30.0,Personal block foul by P. Hairston (drawn by P. Tucker),,57-63,,
9:30.0,,,57-63,,T. Warren enters the game for P. Tucker
9:21.0,,,57-66,3,T. Warren makes 3-pt shot from 24 ft (assist by R. Price)
9:08.0,Shooting foul by T. Chandler (drawn by J. Lin),,57-66,,
9:08.0,J. Lin misses free throw 1 of 2,,57-66,,
9:08.0,Offensive rebound by Team,,57-66,,
9:08.0,J. Lin misses free throw 2 of 2,,57-66,,
9:07.0,,,57-66,,Defensive rebound by T. Chandler
8:54.0,,,57-66,,T. Warren misses 2-pt shot from 5 ft
8:52.0,Defensive rebound by C. Zeller,,57-66,,
8:39.0,J. Lin makes 2-pt shot from 8 ft,2,59-66,,
8:16.0,,,59-66,,Shooting foul by P. Hairston (drawn by J. Leuer)
8:16.0,,,59-66,,J. Leuer misses free throw 1 of 2
8:16.0,,,59-66,,Offensive rebound by Team
8:16.0,T. Daniels enters the game for P. Hairston,,59-66,,
8:16.0,,,59-67,1,J. Leuer makes free throw 2 of 2
8:02.0,T. Daniels misses 3-pt shot from 24 ft,,59-67,,
8:00.0,Offensive rebound by M. Williams,,59-67,,
7:59.0,Turnover by M. Williams (lost ball; steal by T. Warren),,59-67,,
7:52.0,,,59-69,2,T. Chandler makes 2-pt shot at rim (assist by J. Leuer)
7:34.0,Shooting foul by B. Knight (drawn by K. Walker),,59-69,,
7:34.0,K. Walker makes free throw 1 of 2,1,60-69,,
7:34.0,K. Walker makes free throw 2 of 2,1,61-69,,
7:15.0,,,61-69,,Turnover by R. Price (lost ball; steal by M. Williams)
7:15.0,,,61-69,,Loose ball foul by R. Price (drawn by T. Daniels)
7:06.0,K. Walker makes 2-pt shot from 16 ft (assist by M. Williams),2,63-69,,
6:54.0,,,63-71,2,B. Knight makes 2-pt shot from 7 ft
6:41.0,T. Daniels makes 3-pt shot from 23 ft (assist by M. Williams),3,66-71,,
6:21.0,,,66-74,3,B. Knight makes 3-pt shot from 24 ft (assist by J. Leuer)
5:54.0,Turnover by J. Lin (lost ball; steal by T. Warren),,66-74,,
5:48.0,,,66-74,,B. Knight misses 2-pt shot from 3 ft
5:44.0,Defensive rebound by M. Williams,,66-74,,
5:36.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,69-74,,
5:21.0,,,69-76,2,T. Warren makes 2-pt shot from 15 ft (assist by R. Price)
5:08.0,K. Walker misses 2-pt shot from 19 ft,,69-76,,
5:06.0,,,69-76,,Defensive rebound by R. Price
4:55.0,,,69-76,,B. Knight misses 2-pt shot from 2 ft
4:52.0,Defensive rebound by J. Lin,,69-76,,
4:40.0,C. Zeller makes 2-pt shot at rim (assist by J. Lin),2,71-76,,
4:38.0,,,71-76,,Phoenix full timeout
4:38.0,,,71-76,,D. Booker enters the game for T. Chandler
4:38.0,,,71-76,,A. Len enters the game for R. Price
4:38.0,B. Roberts enters the game for M. Williams,,71-76,,
4:38.0,F. Kaminsky enters the game for J. Lin,,71-76,,
4:22.0,,,71-78,2,T. Warren makes 2-pt shot from 14 ft
4:12.0,,,71-78,,Personal foul by A. Len (drawn by F. Kaminsky)
4:12.0,F. Kaminsky misses free throw 1 of 2,,71-78,,
4:12.0,Offensive rebound by Team,,71-78,,
4:12.0,F. Kaminsky makes free throw 2 of 2,1,72-78,,
3:58.0,,,72-78,,Turnover by D. Booker (bad pass; steal by T. Daniels)
3:52.0,F. Kaminsky misses 2-pt shot from 4 ft,,72-78,,
3:50.0,Offensive rebound by C. Zeller,,72-78,,
3:46.0,B. Roberts misses 2-pt shot from 3 ft,,72-78,,
3:46.0,Offensive rebound by Team,,72-78,,
3:46.0,,,72-78,,Loose ball foul by A. Len (drawn by C. Zeller)
3:46.0,C. Zeller misses free throw 1 of 2,,72-78,,
3:46.0,Offensive rebound by Team,,72-78,,
3:46.0,C. Zeller makes free throw 2 of 2,1,73-78,,
3:33.0,,,73-78,,D. Booker misses 2-pt shot from 11 ft
3:31.0,,,73-78,,Offensive rebound by Team
3:29.0,,,73-78,,D. Booker misses 2-pt shot from 15 ft
3:27.0,Defensive rebound by F. Kaminsky,,73-78,,
3:20.0,K. Walker misses 2-pt shot from 4 ft (block by B. Knight),,73-78,,
3:19.0,Offensive rebound by Team,,73-78,,
3:18.0,,,73-78,,Violation by A. Len (def goaltending)
3:18.0,F. Kaminsky makes 2-pt shot at rim (assist by B. Roberts),2,75-78,,
3:09.0,,,75-78,,Turnover by B. Knight (lost ball; steal by K. Walker)
3:03.0,K. Walker misses 2-pt shot from 14 ft,,75-78,,
3:02.0,Offensive rebound by Team,,75-78,,
3:02.0,,,75-78,,Loose ball foul by A. Len (drawn by K. Walker)
3:02.0,K. Walker makes free throw 1 of 2,1,76-78,,
3:02.0,,,76-78,,R. Price enters the game for J. Leuer
3:02.0,,,76-78,,M. Teletovic enters the game for B. Knight
3:02.0,K. Walker makes free throw 2 of 2,1,77-78,,
2:47.0,,,77-78,,M. Teletovic misses 2-pt shot from 1 ft
2:43.0,Defensive rebound by C. Zeller,,77-78,,
2:38.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,79-78,,
2:19.0,,,79-78,,M. Teletovic misses 3-pt shot from 25 ft
2:17.0,Defensive rebound by C. Zeller,,79-78,,
2:11.0,Shooting foul by R. Price (drawn by K. Walker),,79-78,,
2:11.0,Charlotte full timeout,,79-78,,
2:11.0,,,79-78,,B. Knight enters the game for R. Price
2:11.0,K. Walker makes free throw 1 of 2,1,80-78,,
2:11.0,K. Walker misses free throw 2 of 2,,80-78,,
2:10.0,,,80-78,,Defensive rebound by D. Booker
1:56.0,,,80-78,,D. Booker misses 2-pt shot from 4 ft (block by B. Roberts)
1:56.0,,,80-78,,Offensive rebound by Team
1:50.0,,,80-78,,M. Teletovic misses 3-pt shot from 23 ft
1:48.0,Defensive rebound by B. Roberts,,80-78,,
1:34.0,Turnover by F. Kaminsky (lost ball; steal by A. Len),,80-78,,
1:30.0,,,80-80,2,D. Booker makes 2-pt shot from 2 ft (assist by T. Warren)
1:09.0,T. Daniels makes 3-pt shot from 24 ft (assist by F. Kaminsky),3,83-80,,
0:52.0,,,83-80,,D. Booker misses 3-pt shot from 25 ft
0:50.0,Defensive rebound by C. Zeller,,83-80,,
0:41.0,K. Walker makes 2-pt shot from 12 ft,2,85-80,,
0:32.0,,,85-83,3,M. Teletovic makes 3-pt shot from 24 ft (assist by B. Knight)
0:14.0,B. Roberts misses 3-pt shot from 23 ft,,85-83,,
0:12.0,,,85-83,,Defensive rebound by T. Warren
0:02.0,,,85-86,3,M. Teletovic makes 3-pt shot from 25 ft (assist by B. Knight)
0:00.0,F. Kaminsky misses 3-pt shot from 58 ft,,85-86,,
0:00.0,Offensive rebound by Team,,85-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,85-88,2,M. Teletovic makes 2-pt shot from 14 ft
11:30.0,F. Kaminsky misses 2-pt shot from 16 ft,,85-88,,
11:28.0,,,85-88,,Defensive rebound by D. Booker
11:22.0,,,85-90,2,B. Knight makes 2-pt shot from 1 ft
11:07.0,Turnover by J. Lin (lost ball),,85-90,,
10:54.0,,,85-93,3,B. Knight makes 3-pt shot from 26 ft
10:52.0,Charlotte full timeout,,85-93,,
10:52.0,K. Walker enters the game for B. Roberts,,85-93,,
10:41.0,K. Walker makes 2-pt shot from 13 ft,2,87-93,,
10:20.0,,,87-93,,P. Tucker misses 2-pt shot from 4 ft
10:16.0,,,87-93,,Offensive rebound by M. Teletovic
10:14.0,,,87-96,3,T. Warren makes 3-pt shot from 23 ft (assist by M. Teletovic)
9:59.0,P. Hairston misses 3-pt shot from 25 ft,,87-96,,
9:57.0,,,87-96,,Defensive rebound by M. Teletovic
9:43.0,,,87-96,,M. Teletovic misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by J. Lin,,87-96,,
9:28.0,T. Daniels makes 2-pt shot from 17 ft,2,89-96,,
9:10.0,,,89-96,,M. Teletovic misses 3-pt shot from 24 ft
9:08.0,Defensive rebound by T. Daniels,,89-96,,
8:57.0,F. Kaminsky misses 3-pt shot from 24 ft,,89-96,,
8:55.0,,,89-96,,Defensive rebound by D. Booker
8:42.0,,,89-96,,B. Knight misses 2-pt shot from 9 ft
8:39.0,Defensive rebound by J. Lin,,89-96,,
8:28.0,Turnover by J. Lin (lost ball; steal by P. Tucker),,89-96,,
8:21.0,,,89-96,,T. Warren misses 3-pt shot from 23 ft
8:19.0,Defensive rebound by K. Walker,,89-96,,
8:11.0,K. Walker makes 2-pt shot from 2 ft,2,91-96,,
7:46.0,,,91-99,3,D. Booker makes 3-pt shot from 24 ft (assist by P. Tucker)
7:33.0,K. Walker misses 2-pt shot from 3 ft,,91-99,,
7:31.0,,,91-99,,Defensive rebound by D. Booker
7:26.0,,,91-99,,T. Warren misses 2-pt shot from 6 ft
7:24.0,Defensive rebound by Team,,91-99,,
7:24.0,C. Zeller enters the game for J. Lin,,91-99,,
7:24.0,M. Williams enters the game for F. Kaminsky,,91-99,,
7:11.0,C. Zeller makes 2-pt shot from 5 ft (assist by T. Daniels),2,93-99,,
6:48.0,,,93-102,3,M. Teletovic makes 3-pt shot from 25 ft (assist by P. Tucker)
6:33.0,T. Daniels misses 3-pt shot from 26 ft,,93-102,,
6:31.0,Offensive rebound by K. Walker,,93-102,,
6:25.0,K. Walker misses 2-pt shot from 1 ft,,93-102,,
6:24.0,,,93-102,,Defensive rebound by M. Teletovic
6:24.0,Personal foul by C. Zeller (drawn by M. Teletovic),,93-102,,
6:24.0,,,93-102,,Phoenix full timeout
6:11.0,,,93-102,,Offensive foul by P. Tucker
6:11.0,,,93-102,,Turnover by P. Tucker (offensive foul)
5:57.0,,,93-102,,Personal foul by D. Booker (drawn by C. Zeller)
5:48.0,T. Daniels makes 3-pt shot from 23 ft (assist by K. Walker),3,96-102,,
5:32.0,,,96-102,,M. Teletovic misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by P. Hairston,,96-102,,
5:21.0,K. Walker misses 3-pt shot from 23 ft,,96-102,,
5:19.0,,,96-102,,Defensive rebound by M. Teletovic
4:59.0,,,96-104,2,D. Booker makes 2-pt shot from 19 ft
4:39.0,M. Williams makes 2-pt shot from 11 ft,2,98-104,,
4:22.0,,,98-104,,B. Knight misses 2-pt shot from 18 ft
4:20.0,Defensive rebound by T. Daniels,,98-104,,
4:12.0,Turnover by K. Walker (bad pass),,98-104,,
3:52.0,,,98-106,2,T. Warren makes 2-pt shot from 15 ft
3:34.0,T. Daniels misses 3-pt shot from 24 ft,,98-106,,
3:31.0,,,98-106,,Defensive rebound by B. Knight
3:16.0,,,98-106,,D. Booker misses 3-pt shot from 23 ft
3:14.0,Defensive rebound by P. Hairston,,98-106,,
3:05.0,K. Walker misses 2-pt shot from 18 ft,,98-106,,
3:05.0,,,98-106,,Defensive rebound by Team
3:05.0,Loose ball foul by C. Zeller (drawn by B. Knight),,98-106,,
2:45.0,,,98-106,,P. Tucker misses 2-pt shot from 2 ft
2:42.0,Defensive rebound by C. Zeller,,98-106,,
2:38.0,K. Walker makes 2-pt shot from 1 ft,2,100-106,,
2:20.0,,,100-106,,Turnover by B. Knight (lost ball; steal by K. Walker)
2:15.0,,,100-106,,Personal foul by P. Tucker (drawn by K. Walker)
2:15.0,Official timeout,,100-106,,
2:02.0,M. Williams makes 2-pt shot from 7 ft,2,102-106,,
1:44.0,,,102-106,,T. Warren misses 2-pt shot from 2 ft
1:42.0,Defensive rebound by P. Hairston,,102-106,,
1:23.0,K. Walker misses 2-pt shot from 16 ft,,102-106,,
1:21.0,Offensive rebound by K. Walker,,102-106,,
1:16.0,K. Walker misses 2-pt shot from 2 ft,,102-106,,
1:14.0,,,102-106,,Defensive rebound by M. Teletovic
0:55.0,,,102-109,3,P. Tucker makes 3-pt shot from 22 ft (assist by B. Knight)
0:54.0,Charlotte full timeout,,102-109,,
0:54.0,J. Lin enters the game for P. Hairston,,102-109,,
