time,Indiana,pts.away,score,pts.home,Boston
3:28.0,Indiana full timeout,,20-17,,
3:28.0,,,20-17,,R. Hunter enters the game for J. Crowder
3:28.0,M. Turner enters the game for I. Mahinmi,,20-17,,
3:15.0,Turnover by M. Ellis (bad pass; steal by K. Olynyk),,20-17,,
3:00.0,,,20-17,,K. Olynyk misses 2-pt shot from 4 ft
2:58.0,,,20-17,,Offensive rebound by M. Smart
2:58.0,,,20-19,2,M. Smart makes 2-pt shot from 2 ft
2:47.0,Offensive foul by C. Miles,,20-19,,
2:47.0,Turnover by C. Miles (offensive foul),,20-19,,
2:47.0,J. Hill enters the game for C. Miles,,20-19,,
2:37.0,,,20-19,,K. Olynyk misses 3-pt shot from 24 ft
2:36.0,Defensive rebound by J. Hill,,20-19,,
2:18.0,M. Ellis makes 3-pt shot from 24 ft (assist by C. Budinger),3,23-19,,
2:09.0,Personal take foul by J. Hill (drawn by E. Turner),,23-19,,
2:09.0,L. Allen enters the game for M. Turner,,23-19,,
2:09.0,,,23-19,,D. Lee enters the game for J. Jerebko
2:03.0,,,23-19,,Shooting foul by L. Allen (drawn by K. Olynyk)
2:03.0,,,23-20,1,K. Olynyk makes free throw 1 of 2
2:03.0,,,23-21,1,K. Olynyk makes free throw 2 of 2
1:48.0,P. George makes 2-pt shot from 10 ft (assist by J. Hill),2,25-21,,
1:32.0,,,25-21,,Turnover by D. Lee (lost ball; steal by M. Ellis)
1:25.0,M. Ellis misses 3-pt shot from 24 ft,,25-21,,
1:25.0,Offensive rebound by J. Hill,,25-21,,
1:18.0,C. Budinger makes 3-pt shot from 23 ft (assist by J. Hill),3,28-21,,
1:07.0,,,28-21,,Turnover by K. Olynyk (lost ball; steal by M. Ellis)
1:02.0,L. Allen misses 2-pt shot from 2 ft (block by E. Turner),,28-21,,
1:01.0,,,28-21,,Defensive rebound by Team
0:48.0,,,28-21,,R. Hunter misses 3-pt shot from 23 ft
0:46.0,,,28-21,,Offensive rebound by D. Lee
0:45.0,,,28-23,2,D. Lee makes 2-pt shot at rim
0:30.0,Shooting foul by D. Lee (drawn by P. George),,28-23,,
0:30.0,P. George makes free throw 1 of 2,1,29-23,,
0:30.0,P. George misses free throw 2 of 2,,29-23,,
0:29.0,,,29-23,,Defensive rebound by Team
0:18.0,,,29-23,,M. Smart misses 2-pt shot at rim
0:17.0,Defensive rebound by J. Hill,,29-23,,
0:17.0,Jump ball: J. Hill vs. M. Smart (P. George gains possession),,,,Jump ball: J. Hill vs. M. Smart (P. George gains possession)
0:00.0,P. George makes 2-pt shot from 18 ft,2,31-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,31-23,,R. Hunter misses 2-pt shot from 1 ft (block by C. Budinger)
11:45.0,Defensive rebound by C. Budinger,,31-23,,
11:42.0,C. Budinger makes 2-pt shot at rim,2,33-23,,
11:17.0,,,33-23,,K. Olynyk misses 2-pt shot from 1 ft (block by G. Robinson)
11:16.0,Defensive rebound by G. Hill,,33-23,,
10:53.0,J. Hill misses 2-pt shot from 7 ft,,33-23,,
10:52.0,,,33-23,,Defensive rebound by D. Lee
10:45.0,,,33-25,2,D. Lee makes 2-pt shot at rim (assist by I. Thomas)
10:45.0,,,33-25,,Shooting foul by C. Budinger (drawn by D. Lee)
10:45.0,,,33-25,,J. Sullinger enters the game for K. Olynyk
10:45.0,,,33-26,1,D. Lee makes free throw 1 of 1
10:22.0,L. Allen misses 2-pt shot from 12 ft,,33-26,,
10:21.0,,,33-26,,Defensive rebound by R. Hunter
10:15.0,,,33-28,2,I. Thomas makes 2-pt shot from 16 ft
9:59.0,Shooting foul by J. Crowder (drawn by L. Allen),,33-28,,
9:59.0,L. Allen makes free throw 1 of 2,1,34-28,,
9:59.0,L. Allen makes free throw 2 of 2,1,35-28,,
9:43.0,,,35-30,2,D. Lee makes 2-pt shot from 4 ft
9:28.0,G. Robinson misses 2-pt shot from 18 ft,,35-30,,
9:28.0,,,35-30,,Defensive rebound by D. Lee
9:25.0,,,35-30,,Turnover by J. Crowder (lost ball)
9:09.0,Turnover by C. Budinger (traveling),,35-30,,
8:53.0,,,35-32,2,I. Thomas makes 2-pt shot from 16 ft
8:33.0,G. Hill makes 2-pt shot from 1 ft,2,37-32,,
8:29.0,,,37-32,,Turnover by J. Crowder (bad pass; steal by G. Robinson)
8:23.0,G. Hill makes 3-pt shot from 24 ft (assist by C. Budinger),3,40-32,,
8:09.0,,,40-34,2,D. Lee makes 2-pt shot from 2 ft (assist by R. Hunter)
7:58.0,C. Budinger misses 3-pt shot from 26 ft,,40-34,,
7:57.0,Offensive rebound by L. Allen,,40-34,,
7:56.0,L. Allen makes 2-pt shot from 2 ft,2,42-34,,
7:51.0,Official timeout,,42-34,,
7:51.0,,,42-34,,T. Rozier enters the game for R. Hunter
7:43.0,,,42-36,2,T. Rozier makes 2-pt shot from 1 ft
7:26.0,Turnover by G. Hill (bad pass; steal by J. Sullinger),,42-36,,
7:12.0,,,42-38,2,J. Sullinger makes 2-pt shot from 1 ft (assist by I. Thomas)
6:48.0,C. Budinger misses 2-pt shot from 17 ft,,42-38,,
6:47.0,Offensive rebound by G. Robinson,,42-38,,
6:32.0,G. Hill misses 2-pt shot from 15 ft,,42-38,,
6:31.0,Offensive rebound by J. Hill,,42-38,,
6:26.0,J. Hill misses 2-pt shot from 17 ft,,42-38,,
6:26.0,,,42-38,,Defensive rebound by D. Lee
6:14.0,,,42-38,,T. Rozier misses 2-pt shot from 2 ft
6:13.0,Defensive rebound by J. Hill,,42-38,,
6:01.0,G. Hill misses 2-pt shot from 22 ft,,42-38,,
6:00.0,,,42-38,,Defensive rebound by D. Lee
5:52.0,,,42-38,,I. Thomas misses 2-pt shot from 18 ft
5:51.0,Defensive rebound by G. Hill,,42-38,,
5:38.0,C. Budinger makes 2-pt shot from 1 ft (assist by J. Hill),2,44-38,,
5:15.0,Personal block foul by G. Hill (drawn by I. Thomas),,44-38,,
5:15.0,,,44-38,,Boston full timeout
5:15.0,M. Ellis enters the game for G. Hill,,44-38,,
5:15.0,P. George enters the game for C. Budinger,,44-38,,
5:15.0,I. Mahinmi enters the game for J. Hill,,44-38,,
5:05.0,,,44-38,,I. Thomas misses 3-pt shot from 24 ft
5:04.0,Defensive rebound by G. Robinson,,44-38,,
4:47.0,L. Allen misses 2-pt shot from 19 ft,,44-38,,
4:46.0,Offensive rebound by Team,,44-38,,
4:46.0,,,44-38,,M. Smart enters the game for I. Thomas
4:46.0,C. Miles enters the game for L. Allen,,44-38,,
4:46.0,,,44-38,,J. Jerebko enters the game for D. Lee
4:36.0,P. George misses 2-pt shot from 14 ft,,44-38,,
4:35.0,,,44-38,,Defensive rebound by J. Sullinger
4:20.0,,,44-38,,J. Crowder misses 3-pt shot from 23 ft
4:19.0,Defensive rebound by G. Robinson,,44-38,,
4:07.0,Turnover by C. Miles (bad pass; steal by J. Crowder),,44-38,,
4:06.0,Personal foul by P. George (drawn by J. Crowder),,44-38,,
3:44.0,,,44-38,,J. Sullinger misses 2-pt shot from 6 ft
3:44.0,Defensive rebound by P. George,,44-38,,
3:38.0,,,44-38,,Personal foul by J. Crowder (drawn by P. George)
3:38.0,,,44-38,,E. Turner enters the game for J. Crowder
3:38.0,,,44-38,,Personal take foul by J. Jerebko (drawn by I. Mahinmi)
3:38.0,,,44-38,,Inbound foul by J. Jerebko (drawn by I. Mahinmi)
3:38.0,I. Mahinmi misses free throw 1 of 2,,44-38,,
3:38.0,Offensive rebound by Team,,44-38,,
3:38.0,I. Mahinmi makes free throw 2 of 2,1,45-38,,
3:24.0,Personal foul by M. Ellis (drawn by M. Smart),,45-38,,
3:14.0,,,45-38,,M. Smart misses 3-pt shot from 24 ft
3:13.0,Defensive rebound by C. Miles,,45-38,,
3:09.0,,,45-38,,Personal take foul by T. Rozier (drawn by I. Mahinmi)
3:09.0,I. Mahinmi misses free throw 1 of 2,,45-38,,
3:09.0,Offensive rebound by Team,,45-38,,
3:09.0,,,45-38,,K. Olynyk enters the game for J. Jerebko
3:09.0,I. Mahinmi makes free throw 2 of 2,1,46-38,,
2:55.0,,,46-40,2,E. Turner makes 2-pt shot from 16 ft
2:44.0,P. George misses 2-pt shot from 10 ft,,46-40,,
2:43.0,,,46-40,,Defensive rebound by J. Sullinger
2:34.0,,,46-42,2,K. Olynyk makes 2-pt shot at rim (assist by E. Turner)
2:34.0,Indiana full timeout,,46-42,,
2:34.0,G. Hill enters the game for G. Robinson,,46-42,,
2:33.0,,,46-42,,Personal take foul by K. Olynyk (drawn by I. Mahinmi)
2:33.0,I. Mahinmi makes free throw 1 of 2,1,47-42,,
2:33.0,I. Mahinmi misses free throw 2 of 2,,47-42,,
2:32.0,Offensive rebound by C. Miles,,47-42,,
2:20.0,C. Miles makes 2-pt shot from 2 ft (assist by M. Ellis),2,49-42,,
2:10.0,,,49-42,,Turnover by M. Smart (traveling)
1:55.0,P. George misses 2-pt shot from 4 ft,,49-42,,
1:54.0,Offensive rebound by I. Mahinmi,,49-42,,
1:54.0,I. Mahinmi misses 2-pt shot at rim,,49-42,,
1:53.0,,,49-42,,Defensive rebound by J. Sullinger
1:49.0,,,49-42,,T. Rozier misses 2-pt shot from 2 ft
1:48.0,,,49-42,,Offensive rebound by Team
1:48.0,Loose ball foul by I. Mahinmi (drawn by M. Smart),,49-42,,
1:48.0,,,49-42,,M. Smart misses free throw 1 of 2
1:48.0,,,49-42,,Offensive rebound by Team
1:48.0,,,49-42,,J. Jerebko enters the game for K. Olynyk
1:48.0,,,49-43,1,M. Smart makes free throw 2 of 2
1:28.0,Jump ball: P. George vs. J. Sullinger (J. Jerebko gains possession),,,,Jump ball: P. George vs. J. Sullinger (J. Jerebko gains possession)
1:28.0,Turnover by P. George (lost ball; steal by M. Smart),,49-43,,
1:10.0,Personal foul by G. Hill (drawn by M. Smart),,49-43,,
1:10.0,,,49-44,1,M. Smart makes free throw 1 of 2
1:10.0,,,49-45,1,M. Smart makes free throw 2 of 2
0:56.0,G. Hill misses 3-pt shot from 24 ft,,49-45,,
0:55.0,,,49-45,,Defensive rebound by J. Sullinger
0:44.0,,,49-47,2,J. Sullinger makes 2-pt shot from 3 ft (assist by M. Smart)
0:31.0,P. George misses 2-pt shot from 20 ft,,49-47,,
0:30.0,,,49-47,,Defensive rebound by E. Turner
0:24.0,Personal foul by I. Mahinmi (drawn by E. Turner),,49-47,,
0:24.0,,,49-48,1,E. Turner makes free throw 1 of 2
0:24.0,Indiana full timeout,,49-48,,
0:24.0,J. Hill enters the game for I. Mahinmi,,49-48,,
0:24.0,,,49-49,1,E. Turner makes free throw 2 of 2
0:01.0,P. George makes 2-pt shot from 22 ft,2,51-49,,
0:01.0,,,51-49,,Boston full timeout
0:01.0,,,51-49,,J. Crowder enters the game for J. Jerebko
0:01.0,I. Mahinmi enters the game for C. Miles,,51-49,,
0:01.0,,,51-49,,M. Smart misses 3-pt shot from 63 ft
0:00.0,,,51-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,51-51,2,E. Turner makes 2-pt shot from 19 ft
11:25.0,Offensive foul by I. Mahinmi,,51-51,,
11:25.0,Turnover by I. Mahinmi (offensive foul),,51-51,,
11:12.0,,,51-53,2,E. Turner makes 2-pt shot from 2 ft
10:55.0,,,51-53,,Violation by I. Thomas (kicked ball)
10:52.0,Turnover by P. George (lost ball; steal by J. Crowder),,51-53,,
10:47.0,,,51-55,2,E. Turner makes 2-pt shot at rim (assist by J. Crowder)
10:40.0,C. Miles makes 2-pt shot from 1 ft (assist by G. Hill),2,53-55,,
10:22.0,,,53-58,3,J. Sullinger makes 3-pt shot from 23 ft (assist by E. Turner)
9:56.0,M. Ellis misses 2-pt shot from 9 ft,,53-58,,
9:54.0,,,53-58,,Defensive rebound by J. Crowder
9:42.0,,,53-58,,E. Turner misses 2-pt shot from 13 ft
9:41.0,,,53-58,,Offensive rebound by J. Sullinger
9:41.0,,,53-60,2,J. Sullinger makes 2-pt shot from 1 ft
9:40.0,Indiana full timeout,,53-60,,
9:31.0,P. George makes 2-pt shot from 2 ft,2,55-60,,
9:31.0,Shooting foul by J. Sullinger (drawn by P. George),,55-60,,
9:31.0,P. George makes free throw 1 of 1,1,56-60,,
9:16.0,Personal foul by I. Mahinmi (drawn by I. Thomas),,56-60,,
9:16.0,J. Hill enters the game for I. Mahinmi,,56-60,,
9:09.0,,,56-60,,Offensive charge foul by J. Crowder
9:09.0,,,56-60,,Turnover by J. Crowder (offensive foul)
8:59.0,Turnover by M. Ellis (traveling),,56-60,,
8:59.0,,,56-60,,M. Smart enters the game for J. Crowder
8:46.0,,,56-60,,Turnover by E. Turner (lost ball; steal by P. George)
8:39.0,P. George makes 3-pt shot from 24 ft (assist by C. Miles),3,59-60,,
8:19.0,,,59-60,,I. Thomas misses 2-pt shot from 1 ft
8:18.0,Defensive rebound by M. Ellis,,59-60,,
8:09.0,P. George makes 3-pt shot from 24 ft (assist by M. Ellis),3,62-60,,
7:47.0,,,62-60,,E. Turner misses 2-pt shot from 12 ft
7:47.0,Defensive rebound by J. Hill,,62-60,,
7:38.0,C. Miles makes 2-pt shot from 1 ft,2,64-60,,
7:27.0,,,64-60,,J. Sullinger misses 2-pt shot from 4 ft
7:26.0,Defensive rebound by Team,,64-60,,
7:14.0,P. George misses 2-pt shot from 16 ft,,64-60,,
7:13.0,,,64-60,,Defensive rebound by J. Sullinger
7:07.0,,,64-60,,Shooting foul by G. Hill (drawn by I. Thomas)
7:07.0,,,64-60,,I. Thomas misses free throw 1 of 2
7:07.0,,,64-60,,Offensive rebound by Team
7:07.0,,,64-60,,K. Olynyk enters the game for J. Sullinger
7:07.0,,,64-61,1,I. Thomas makes free throw 2 of 2
6:54.0,J. Hill makes 2-pt shot from 1 ft (assist by M. Ellis),2,66-61,,
6:41.0,Shooting block foul by C. Miles (drawn by M. Smart),,66-61,,
6:41.0,,,66-62,1,M. Smart makes free throw 1 of 2
6:41.0,,,66-62,,M. Smart misses free throw 2 of 2
6:40.0,,,66-62,,Offensive rebound by J. Jerebko
6:36.0,,,66-62,,M. Smart misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by G. Hill,,66-62,,
6:25.0,Shooting foul by M. Smart (drawn by M. Ellis),,66-62,,
6:25.0,M. Ellis makes free throw 1 of 2,1,67-62,,
6:25.0,,,67-62,,D. Lee enters the game for J. Jerebko
6:25.0,M. Ellis makes free throw 2 of 2,1,68-62,,
6:09.0,,,68-62,,I. Thomas misses 2-pt shot from 12 ft
6:08.0,,,68-62,,Offensive rebound by Team
6:04.0,,,68-62,,I. Thomas misses 3-pt shot from 24 ft
6:03.0,Defensive rebound by P. George,,68-62,,
6:02.0,Turnover by P. George (step out of bounds),,68-62,,
5:53.0,,,68-64,2,I. Thomas makes 2-pt shot from 1 ft (assist by M. Smart)
5:40.0,M. Ellis makes 2-pt shot from 15 ft,2,70-64,,
5:25.0,,,70-64,,Shooting foul by C. Miles (drawn by I. Thomas)
5:25.0,,,70-65,1,I. Thomas makes free throw 1 of 2
5:25.0,L. Allen enters the game for C. Miles,,70-65,,
5:25.0,,,70-66,1,I. Thomas makes free throw 2 of 2
5:19.0,,,70-66,,Personal foul by M. Smart (drawn by M. Ellis)
5:10.0,Shooting foul by D. Lee (drawn by J. Hill),,70-66,,
5:10.0,J. Hill misses free throw 1 of 2,,70-66,,
5:10.0,Offensive rebound by Team,,70-66,,
5:10.0,J. Hill makes free throw 2 of 2,1,71-66,,
5:02.0,Personal foul by M. Ellis (drawn by M. Smart),,71-66,,
5:02.0,,,71-67,1,M. Smart makes free throw 1 of 2
5:02.0,,,71-68,1,M. Smart makes free throw 2 of 2
4:39.0,L. Allen makes 2-pt shot from 14 ft (assist by P. George),2,73-68,,
4:28.0,,,73-68,,K. Olynyk misses 3-pt shot from 24 ft
4:27.0,Defensive rebound by J. Hill,,73-68,,
4:12.0,P. George misses 3-pt shot from 25 ft,,73-68,,
4:11.0,,,73-68,,Defensive rebound by I. Thomas
4:11.0,Personal block foul by P. George (drawn by I. Thomas),,73-68,,
4:11.0,Technical foul by P. George (drawn by I. Thomas),,73-68,,
4:11.0,,,73-69,1,I. Thomas makes technical free throw
4:11.0,,,73-70,1,I. Thomas makes free throw 1 of 2
4:11.0,C. Budinger enters the game for G. Hill,,73-70,,
4:11.0,,,73-70,,I. Thomas misses free throw 2 of 2
4:10.0,Defensive rebound by P. George,,73-70,,
3:59.0,M. Ellis misses 2-pt shot from 19 ft,,73-70,,
3:57.0,Offensive rebound by C. Budinger,,73-70,,
3:51.0,J. Hill makes 2-pt shot from 2 ft,2,75-70,,
3:40.0,Shooting block foul by L. Allen (drawn by D. Lee),,75-70,,
3:40.0,,,75-70,,D. Lee misses free throw 1 of 2
3:40.0,,,75-70,,Offensive rebound by Team
3:40.0,,,75-71,1,D. Lee makes free throw 2 of 2
3:16.0,Turnover by Team (shot clock),,75-71,,
3:07.0,,,75-71,,Shooting foul by C. Budinger (drawn by D. Lee)
3:07.0,,,75-72,1,D. Lee makes free throw 1 of 2
3:07.0,,,75-73,1,D. Lee makes free throw 2 of 2
2:54.0,,,75-73,,Personal block foul by E. Turner (drawn by M. Ellis)
2:54.0,,,75-73,,Boston full timeout
2:54.0,,,75-73,,T. Rozier enters the game for E. Turner
2:54.0,M. Ellis makes free throw 1 of 2,1,76-73,,
2:54.0,M. Ellis misses free throw 2 of 2,,76-73,,
2:54.0,Offensive rebound by M. Ellis,,76-73,,
2:31.0,,,76-73,,Personal foul by M. Smart (drawn by J. Hill)
2:31.0,J. Hill misses free throw 1 of 2,,76-73,,
2:31.0,Offensive rebound by Team,,76-73,,
2:31.0,J. Hill makes free throw 2 of 2,1,77-73,,
2:19.0,,,77-73,,I. Thomas misses 2-pt shot from 2 ft
2:19.0,Defensive rebound by L. Allen,,77-73,,
2:08.0,J. Hill misses 2-pt shot from 5 ft,,77-73,,
2:07.0,Offensive rebound by P. George,,77-73,,
2:03.0,P. George misses 3-pt shot from 23 ft,,77-73,,
2:02.0,Offensive rebound by J. Hill,,77-73,,
2:01.0,J. Hill makes 2-pt shot from 1 ft,2,79-73,,
1:42.0,,,79-73,,D. Lee misses 2-pt shot from 3 ft
1:41.0,,,79-73,,Offensive rebound by D. Lee
1:40.0,,,79-73,,Shooting foul by L. Allen (drawn by D. Lee)
1:40.0,,,79-73,,D. Lee misses free throw 1 of 2
1:40.0,,,79-73,,Offensive rebound by Team
1:40.0,,,79-73,,R. Hunter enters the game for I. Thomas
1:40.0,,,79-73,,A. Johnson enters the game for K. Olynyk
1:40.0,,,79-74,1,D. Lee makes free throw 2 of 2
1:20.0,J. Hill misses 2-pt shot from 9 ft,,79-74,,
1:19.0,,,79-74,,Defensive rebound by Team
1:09.0,,,79-74,,T. Rozier misses 3-pt shot from 25 ft
1:08.0,Defensive rebound by P. George,,79-74,,
0:56.0,Turnover by P. George (bad pass; steal by A. Johnson),,79-74,,
0:46.0,,,79-74,,M. Smart misses 3-pt shot from 24 ft
0:45.0,,,79-74,,Offensive rebound by Team
0:45.0,Loose ball foul by L. Allen (drawn by A. Johnson),,79-74,,
0:45.0,,,79-74,,A. Johnson misses free throw 1 of 2
0:45.0,,,79-74,,Offensive rebound by Team
0:45.0,,,79-74,,A. Johnson misses free throw 2 of 2
0:44.0,Defensive rebound by L. Allen,,79-74,,
0:32.0,M. Ellis misses 2-pt shot from 2 ft (block by A. Johnson),,79-74,,
0:31.0,,,79-74,,Defensive rebound by A. Johnson
0:22.0,,,79-74,,T. Rozier misses 3-pt shot from 23 ft
0:21.0,Defensive rebound by P. George,,79-74,,
0:02.0,Shooting foul by T. Rozier (drawn by P. George),,79-74,,
0:02.0,P. George makes free throw 1 of 2,1,80-74,,
0:02.0,P. George makes free throw 2 of 2,1,81-74,,
0:00.0,,,81-74,,T. Rozier misses 3-pt shot from 37 ft
0:00.0,,,81-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,Turnover by C. Budinger (bad pass; steal by J. Crowder),,81-74,,
11:33.0,,,81-76,2,T. Rozier makes 2-pt shot from 1 ft (assist by J. Crowder)
11:19.0,J. Hill misses 2-pt shot from 7 ft,,81-76,,
11:18.0,,,81-76,,Defensive rebound by R. Hunter
11:11.0,,,81-79,3,R. Hunter makes 3-pt shot from 25 ft (assist by T. Rozier)
10:55.0,J. Hill makes 2-pt shot from 10 ft (assist by G. Hill),2,83-79,,
10:33.0,,,83-79,,J. Sullinger misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by C. Budinger,,83-79,,
10:17.0,J. Hill makes 2-pt shot from 4 ft,2,85-79,,
9:59.0,,,85-79,,T. Rozier misses 2-pt shot from 11 ft (block by C. Budinger)
9:58.0,,,85-79,,Offensive rebound by T. Rozier
9:56.0,,,85-79,,R. Hunter misses 3-pt shot from 24 ft
9:54.0,,,85-79,,Offensive rebound by J. Sullinger
9:52.0,,,85-81,2,A. Johnson makes 2-pt shot from 1 ft (assist by J. Sullinger)
9:22.0,G. Hill makes 2-pt shot from 20 ft,2,87-81,,
9:01.0,,,87-81,,J. Crowder misses 2-pt shot from 2 ft
9:00.0,Defensive rebound by L. Allen,,87-81,,
8:54.0,C. Budinger makes 2-pt shot at rim (assist by G. Hill),2,89-81,,
8:33.0,Personal block foul by J. Hill (drawn by J. Sullinger),,89-81,,
8:33.0,Official timeout,,89-81,,
8:33.0,C. Miles enters the game for J. Hill,,89-81,,
8:33.0,I. Mahinmi enters the game for L. Allen,,89-81,,
8:27.0,,,89-83,2,R. Hunter makes 2-pt shot from 1 ft
8:11.0,,,89-83,,Personal foul by J. Crowder (drawn by G. Robinson)
8:11.0,,,89-83,,E. Turner enters the game for T. Rozier
8:11.0,,,89-83,,J. Jerebko enters the game for J. Crowder
8:03.0,G. Hill misses 3-pt shot from 24 ft,,89-83,,
8:02.0,,,89-83,,Defensive rebound by J. Sullinger
7:56.0,,,89-85,2,A. Johnson makes 2-pt shot at rim (assist by E. Turner)
7:41.0,,,89-85,,Shooting block foul by J. Sullinger (drawn by C. Budinger)
7:41.0,C. Budinger misses free throw 1 of 2,,89-85,,
