time,Charlotte,pts.away,score,pts.home,Miami
4:13.0,,,73-86,,J. Winslow enters the game for L. Deng
4:01.0,,,73-88,2,J. Richardson makes 2-pt shot from 15 ft
3:46.0,,,73-88,,Personal foul by D. Wade
3:30.0,K. Walker misses 3-pt shot from 24 ft (block by D. Wade),,73-88,,
3:29.0,Offensive rebound by Team,,73-88,,
3:29.0,,,73-88,,G. Dragic enters the game for D. Wade
3:13.0,K. Walker misses 3-pt shot from 24 ft,,73-88,,
3:11.0,,,73-88,,Defensive rebound by H. Whiteside
3:03.0,,,73-91,3,J. Richardson makes 3-pt shot from 24 ft (assist by G. Dragic)
2:53.0,Charlotte full timeout,,73-91,,
2:53.0,,,73-91,,Miami full timeout
2:39.0,A. Jefferson makes 2-pt shot from 7 ft,2,75-91,,
2:17.0,,,75-91,,J. Johnson misses 2-pt shot from 14 ft
2:16.0,Defensive rebound by A. Jefferson,,75-91,,
1:54.0,Shooting foul by G. Dragic (drawn by J. Lin),,75-91,,
1:54.0,J. Lin makes free throw 1 of 2,1,76-91,,
1:54.0,J. Lin misses free throw 2 of 2,,76-91,,
1:53.0,,,76-91,,Defensive rebound by H. Whiteside
1:44.0,,,76-91,,Offensive foul by H. Whiteside
1:44.0,,,76-91,,Turnover by H. Whiteside (offensive foul)
1:44.0,,,76-91,,L. Deng enters the game for J. Johnson
1:44.0,,,76-91,,A. Stoudemire enters the game for H. Whiteside
1:22.0,A. Jefferson makes 2-pt shot from 7 ft,2,78-91,,
1:05.0,,,78-91,,G. Dragic misses 2-pt shot from 15 ft
1:04.0,Defensive rebound by A. Jefferson,,78-91,,
1:00.0,K. Walker misses 2-pt shot from 2 ft (block by J. Richardson),,78-91,,
0:59.0,,,78-91,,Defensive rebound by A. Stoudemire
0:38.0,,,78-91,,J. Richardson misses 2-pt shot from 16 ft
0:37.0,Defensive rebound by Team,,78-91,,
0:18.0,K. Walker misses 3-pt shot from 25 ft,,78-91,,
0:16.0,,,78-91,,Defensive rebound by J. Winslow
0:02.0,,,78-91,,G. Dragic misses 2-pt shot from 7 ft
0:00.0,,,78-91,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,78-91,,Shooting foul by J. Lin (drawn by A. Stoudemire)
11:48.0,,,78-92,1,A. Stoudemire makes free throw 1 of 2
11:48.0,,,78-93,1,A. Stoudemire makes free throw 2 of 2
11:35.0,Turnover by N. Batum (lost ball; steal by A. Stoudemire),,78-93,,
11:19.0,,,78-93,,A. Stoudemire misses 2-pt shot from 19 ft
11:18.0,Defensive rebound by N. Batum,,78-93,,
11:05.0,A. Jefferson makes 2-pt shot from 11 ft (assist by C. Lee),2,80-93,,
10:49.0,,,80-93,,L. Deng misses 2-pt shot from 20 ft
10:48.0,Defensive rebound by A. Jefferson,,80-93,,
10:43.0,,,80-93,,Personal foul by J. Winslow
10:43.0,K. Walker enters the game for N. Batum,,80-93,,
10:34.0,A. Jefferson misses 2-pt shot from 16 ft,,80-93,,
10:33.0,,,80-93,,Defensive rebound by Team
10:33.0,Loose ball foul by K. Walker,,80-93,,
10:13.0,,,80-95,2,J. Winslow makes 2-pt shot from 20 ft
9:57.0,Shooting foul by J. Richardson (drawn by F. Kaminsky),,80-95,,
9:57.0,F. Kaminsky makes free throw 1 of 2,1,81-95,,
9:57.0,F. Kaminsky makes free throw 2 of 2,1,82-95,,
9:44.0,,,82-95,,L. Deng misses 3-pt shot from 23 ft
9:43.0,Defensive rebound by C. Lee,,82-95,,
9:24.0,A. Jefferson misses 2-pt shot from 9 ft,,82-95,,
9:23.0,,,82-95,,Defensive rebound by L. Deng
9:17.0,,,82-95,,J. Winslow misses 2-pt shot at rim
9:16.0,Defensive rebound by K. Walker,,82-95,,
9:10.0,J. Lin misses 2-pt shot from 5 ft,,82-95,,
9:09.0,,,82-95,,Defensive rebound by A. Stoudemire
9:09.0,Personal foul by F. Kaminsky,,82-95,,
8:56.0,,,82-97,2,A. Stoudemire makes 2-pt shot from 5 ft
8:36.0,Shooting foul by A. Stoudemire (drawn by A. Jefferson),,82-97,,
8:36.0,Official timeout,,82-97,,
8:36.0,A. Jefferson makes free throw 1 of 2,1,83-97,,
8:36.0,A. Jefferson misses free throw 2 of 2,,83-97,,
8:35.0,,,83-97,,Defensive rebound by J. Richardson
8:21.0,,,83-97,,A. Stoudemire misses 2-pt shot from 14 ft
8:20.0,Defensive rebound by Team,,83-97,,
8:20.0,,,83-97,,Loose ball foul by J. Richardson
7:55.0,K. Walker misses 3-pt shot from 25 ft,,83-97,,
7:54.0,,,83-97,,Defensive rebound by J. Winslow
7:36.0,,,83-99,2,G. Dragic makes 2-pt shot from 5 ft
7:19.0,Shooting foul by L. Deng (drawn by J. Lin),,83-99,,
7:19.0,J. Lin makes free throw 1 of 2,1,84-99,,
7:19.0,S. Hawes enters the game for A. Jefferson,,84-99,,
7:19.0,J. Lin makes free throw 2 of 2,1,85-99,,
6:59.0,,,85-101,2,G. Dragic makes 2-pt shot from 13 ft
6:39.0,K. Walker makes 2-pt shot from 18 ft,2,87-101,,
6:16.0,,,87-101,,G. Dragic misses 2-pt shot from 18 ft
6:15.0,Defensive rebound by S. Hawes,,87-101,,
6:11.0,K. Walker misses 2-pt shot from 2 ft,,87-101,,
6:10.0,Offensive rebound by Team,,87-101,,
6:10.0,,,87-101,,Loose ball foul by L. Deng
6:10.0,F. Kaminsky makes free throw 1 of 2,1,88-101,,
6:10.0,,,88-101,,H. Whiteside enters the game for A. Stoudemire
6:10.0,,,88-101,,J. Johnson enters the game for L. Deng
6:10.0,,,88-101,,D. Wade enters the game for G. Dragic
6:10.0,F. Kaminsky makes free throw 2 of 2,1,89-101,,
6:06.0,,,89-101,,Miami full timeout
6:06.0,M. Williams enters the game for F. Kaminsky,,89-101,,
5:53.0,,,89-101,,D. Wade misses 2-pt shot from 19 ft
5:52.0,Defensive rebound by J. Lin,,89-101,,
5:38.0,K. Walker makes 2-pt shot from 20 ft,2,91-101,,
5:14.0,,,91-101,,J. Winslow misses 2-pt shot from 7 ft
5:13.0,,,91-101,,Offensive rebound by H. Whiteside
5:13.0,Personal foul by K. Walker,,91-101,,
5:00.0,Personal foul by C. Lee,,91-101,,
5:00.0,,,91-101,,D. Wade misses free throw 1 of 2
5:00.0,,,91-101,,Offensive rebound by Team
5:00.0,,,91-102,1,D. Wade makes free throw 2 of 2
4:37.0,C. Lee makes 2-pt shot from 2 ft,2,93-102,,
4:21.0,Personal foul by M. Williams,,93-102,,
4:21.0,,,93-103,1,J. Johnson makes free throw 1 of 2
4:21.0,,,93-103,,J. Johnson misses free throw 2 of 2
4:20.0,Defensive rebound by C. Lee,,93-103,,
4:04.0,K. Walker misses 2-pt shot from 1 ft,,93-103,,
4:03.0,Offensive rebound by Team,,93-103,,
3:56.0,Shooting foul by H. Whiteside (drawn by S. Hawes),,93-103,,
3:56.0,S. Hawes makes free throw 1 of 2,1,94-103,,
3:56.0,S. Hawes makes free throw 2 of 2,1,95-103,,
3:45.0,,,95-103,,Shooting foul by C. Lee (drawn by D. Wade)
3:45.0,,,95-104,1,D. Wade makes free throw 1 of 2
3:45.0,,,95-105,1,D. Wade makes free throw 2 of 2
3:24.0,S. Hawes makes 2-pt shot from 10 ft,2,97-105,,
3:07.0,,,97-105,,D. Wade misses 2-pt shot from 17 ft
3:06.0,Defensive rebound by Team,,97-105,,
3:06.0,,,97-105,,Loose ball foul by H. Whiteside
3:06.0,S. Hawes misses free throw 1 of 2,,97-105,,
3:06.0,Offensive rebound by Team,,97-105,,
3:06.0,,,97-105,,L. Deng enters the game for H. Whiteside
3:06.0,S. Hawes makes free throw 2 of 2,1,98-105,,
2:46.0,,,98-107,2,D. Wade makes 2-pt shot from 13 ft
2:22.0,K. Walker misses 2-pt shot from 2 ft,,98-107,,
2:21.0,Offensive rebound by J. Lin,,98-107,,
2:20.0,J. Lin misses 3-pt shot from 25 ft,,98-107,,
2:19.0,Offensive rebound by Team,,98-107,,
2:19.0,Turnover by Team (shot clock),,98-107,,
2:19.0,Charlotte full timeout,,98-107,,
1:56.0,,,98-107,,J. Richardson misses 3-pt shot from 25 ft
1:55.0,,,98-107,,Offensive rebound by Team
1:55.0,,,98-107,,Turnover by Team (shot clock)
1:41.0,Turnover by K. Walker (lost ball; steal by J. Winslow),,98-107,,
1:37.0,,,98-109,2,D. Wade makes 2-pt shot from 3 ft (assist by J. Winslow)
1:31.0,Turnover by J. Lin (lost ball; steal by L. Deng),,98-109,,
1:28.0,,,98-111,2,L. Deng makes 2-pt shot at rim
1:28.0,Charlotte full timeout,,98-111,,
1:22.0,K. Walker makes 2-pt shot from 2 ft,2,100-111,,
1:16.0,Personal foul by C. Lee,,100-111,,
1:16.0,,,100-112,1,D. Wade makes free throw 1 of 2
1:16.0,,,100-113,1,D. Wade makes free throw 2 of 2
1:04.0,K. Walker misses 2-pt shot from 6 ft (block by L. Deng),,100-113,,
1:03.0,,,100-113,,Defensive rebound by L. Deng
1:00.0,Personal foul by C. Lee,,100-113,,
1:00.0,,,100-114,1,L. Deng makes free throw 1 of 2
1:00.0,,,100-115,1,L. Deng makes free throw 2 of 2
0:49.0,J. Lin misses 2-pt shot from 1 ft,,100-115,,
0:48.0,,,100-115,,Defensive rebound by L. Deng
0:30.0,,,100-115,,D. Wade misses 2-pt shot from 19 ft
