time,Toronto,pts.away,score,pts.home,Chicago
6:31.0,,,17-14,,T. Snell enters the game for M. Dunleavy
6:31.0,T. Ross enters the game for J. Johnson,,17-14,,
6:21.0,,,17-14,,P. Gasol misses 2-pt shot from 21 ft
6:20.0,Defensive rebound by P. Patterson,,17-14,,
6:07.0,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan),3,20-14,,
5:49.0,,,20-16,2,D. Rose makes 2-pt shot at rim
5:40.0,K. Lowry makes 2-pt shot from 1 ft,2,22-16,,
5:28.0,,,22-16,,P. Gasol misses 2-pt shot from 19 ft
5:27.0,Defensive rebound by P. Patterson,,22-16,,
5:20.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,24-16,,
5:06.0,,,24-18,2,T. Gibson makes 2-pt shot at rim (assist by P. Gasol)
4:57.0,,,24-18,,Personal foul by E. Moore
4:57.0,C. Joseph enters the game for K. Lowry,,24-18,,
4:57.0,,,24-18,,B. Portis enters the game for T. Gibson
4:48.0,J. Valanciunas makes 2-pt shot from 15 ft (assist by C. Joseph),2,26-18,,
4:27.0,,,26-18,,D. Rose misses 2-pt shot from 12 ft
4:26.0,Defensive rebound by T. Ross,,26-18,,
4:19.0,,,26-18,,Personal foul by P. Gasol
4:19.0,,,26-18,,T. Gibson enters the game for P. Gasol
4:12.0,T. Ross misses 2-pt shot from 17 ft,,26-18,,
4:11.0,,,26-18,,Defensive rebound by T. Snell
3:50.0,,,26-20,2,T. Gibson makes 2-pt shot at rim (assist by T. Snell)
3:25.0,P. Patterson misses 2-pt shot from 3 ft,,26-20,,
3:24.0,Offensive rebound by J. Valanciunas,,26-20,,
3:24.0,Shooting foul by T. Gibson (drawn by J. Valanciunas),,26-20,,
3:24.0,J. Valanciunas makes free throw 1 of 2,1,27-20,,
3:24.0,,,27-20,,A. Brooks enters the game for D. Rose
3:24.0,J. Valanciunas makes free throw 2 of 2,1,28-20,,
3:04.0,,,28-20,,A. Brooks misses 2-pt shot from 2 ft (block by J. Valanciunas)
3:01.0,Defensive rebound by T. Ross,,28-20,,
2:52.0,Shooting foul by A. Brooks (drawn by C. Joseph),,28-20,,
2:52.0,C. Joseph makes 2-pt shot from 13 ft,2,30-20,,
2:52.0,Toronto full timeout,,30-20,,
2:52.0,,,30-20,,D. McDermott enters the game for T. Gibson
2:52.0,,,30-20,,C. Felicio enters the game for E. Moore
2:52.0,B. Biyombo enters the game for J. Valanciunas,,30-20,,
2:52.0,C. Joseph makes free throw 1 of 1,1,31-20,,
2:38.0,,,31-20,,A. Brooks misses 2-pt shot from 21 ft
2:37.0,,,31-20,,Offensive rebound by C. Felicio
2:30.0,,,31-20,,T. Snell misses 3-pt shot from 24 ft
2:30.0,Defensive rebound by Team,,31-20,,
2:30.0,,,31-20,,Loose ball foul by C. Felicio
2:30.0,B. Biyombo makes free throw 1 of 2,1,32-20,,
2:30.0,,,32-20,,Violation by B. Portis (lane)
2:30.0,B. Biyombo misses free throw 2 of 2,,32-20,,
2:29.0,,,32-20,,Defensive rebound by B. Portis
2:11.0,,,32-20,,B. Portis misses 2-pt shot from 8 ft
2:09.0,Defensive rebound by P. Patterson,,32-20,,
1:46.0,P. Patterson misses 2-pt shot from 10 ft,,32-20,,
1:44.0,Offensive rebound by P. Patterson,,32-20,,
1:40.0,P. Patterson misses 2-pt shot from 9 ft,,32-20,,
1:39.0,,,32-20,,Defensive rebound by D. McDermott
1:31.0,,,32-20,,B. Portis misses 2-pt shot from 13 ft
1:30.0,Defensive rebound by C. Joseph,,32-20,,
1:20.0,C. Joseph misses 2-pt shot from 19 ft,,32-20,,
1:19.0,,,32-20,,Defensive rebound by B. Portis
1:12.0,,,32-22,2,C. Felicio makes 2-pt shot from 3 ft (assist by A. Brooks)
1:12.0,,,32-22,,Shooting foul by B. Biyombo (drawn by C. Felicio)
1:12.0,,,32-22,,C. Felicio misses free throw 1 of 1
1:11.0,Defensive rebound by B. Biyombo,,32-22,,
0:52.0,D. DeRozan misses 2-pt shot from 5 ft (block by T. Snell),,32-22,,
0:50.0,,,32-22,,Defensive rebound by A. Brooks
0:45.0,,,32-22,,A. Brooks misses 2-pt shot from 2 ft
0:43.0,,,32-22,,Offensive rebound by B. Portis
0:43.0,,,32-22,,B. Portis misses 2-pt shot at rim (block by P. Patterson)
0:42.0,Defensive rebound by P. Patterson,,32-22,,
0:38.0,Shooting foul by T. Snell (drawn by D. DeRozan),,32-22,,
0:38.0,D. DeRozan makes free throw 1 of 2,1,33-22,,
0:38.0,D. DeRozan makes free throw 2 of 2,1,34-22,,
0:24.0,,,34-24,2,D. McDermott makes 2-pt shot from 5 ft (assist by A. Brooks)
0:09.0,Shooting foul by C. Felicio (drawn by D. DeRozan),,34-24,,
0:09.0,D. DeRozan misses free throw 1 of 2,,34-24,,
0:09.0,Offensive rebound by Team,,34-24,,
0:09.0,,,34-24,,M. Dunleavy enters the game for C. Felicio
0:09.0,J. Johnson enters the game for B. Biyombo,,34-24,,
0:09.0,D. DeRozan makes free throw 2 of 2,1,35-24,,
0:02.0,,,35-24,,A. Brooks misses 2-pt shot from 1 ft (block by J. Johnson)
0:00.0,Defensive rebound by C. Joseph,,35-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,T. Ross misses 2-pt shot from 11 ft,,35-24,,
11:44.0,,,35-24,,Defensive rebound by C. Felicio
11:27.0,,,35-27,3,D. McDermott makes 3-pt shot from 22 ft (assist by A. Brooks)
11:04.0,A. Bennett makes 2-pt shot from 1 ft (assist by C. Joseph),2,37-27,,
10:47.0,,,37-29,2,B. Portis makes 2-pt shot from 17 ft (assist by D. McDermott)
10:36.0,,,37-29,,Personal foul by A. Brooks
10:36.0,,,37-29,,D. Rose enters the game for A. Brooks
10:26.0,K. Lowry misses 2-pt shot from 22 ft,,37-29,,
10:25.0,,,37-29,,Defensive rebound by B. Portis
10:16.0,,,37-29,,B. Portis misses 2-pt shot from 2 ft (block by B. Biyombo)
10:15.0,Defensive rebound by A. Bennett,,37-29,,
10:07.0,C. Joseph misses 2-pt shot from 2 ft,,37-29,,
10:06.0,,,37-29,,Defensive rebound by E. Moore
9:54.0,,,37-29,,D. Rose misses 2-pt shot from 18 ft
9:52.0,Defensive rebound by K. Lowry,,37-29,,
9:48.0,A. Bennett misses 2-pt shot from 1 ft (block by B. Portis),,37-29,,
9:46.0,,,37-29,,Defensive rebound by B. Portis
9:39.0,,,37-29,,P. Gasol enters the game for C. Felicio
9:34.0,,,37-31,2,D. McDermott makes 2-pt shot from 1 ft (assist by P. Gasol)
9:09.0,T. Ross misses 2-pt shot from 1 ft,,37-31,,
9:07.0,,,37-31,,Defensive rebound by P. Gasol
9:02.0,,,37-31,,Turnover by D. Rose (lost ball; steal by A. Bennett)
8:50.0,C. Joseph makes 2-pt shot from 2 ft (assist by K. Lowry),2,39-31,,
8:37.0,,,39-31,,D. McDermott misses 2-pt shot from 15 ft
8:37.0,,,39-31,,Offensive rebound by Team
8:37.0,,,39-31,,Chicago full timeout
8:37.0,,,39-31,,T. Gibson enters the game for B. Portis
8:37.0,J. Valanciunas enters the game for B. Biyombo,,39-31,,
8:34.0,,,39-31,,P. Gasol misses 2-pt shot from 17 ft
8:33.0,Defensive rebound by J. Valanciunas,,39-31,,
8:24.0,K. Lowry makes 2-pt shot from 19 ft,2,41-31,,
8:09.0,,,41-34,3,D. McDermott makes 3-pt shot from 23 ft (assist by D. Rose)
7:51.0,T. Ross misses 2-pt shot from 9 ft,,41-34,,
7:50.0,,,41-34,,Defensive rebound by P. Gasol
7:43.0,,,41-36,2,P. Gasol makes 2-pt shot from 17 ft (assist by D. Rose)
7:27.0,J. Valanciunas makes 2-pt shot from 6 ft (assist by K. Lowry),2,43-36,,
7:22.0,,,43-36,,Shooting foul by K. Lowry (drawn by D. Rose)
7:22.0,,,43-36,,D. Rose misses free throw 1 of 2
7:22.0,,,43-36,,Offensive rebound by Team
7:22.0,L. Scola enters the game for T. Ross,,43-36,,
7:22.0,D. DeRozan enters the game for A. Bennett,,43-36,,
7:22.0,,,43-36,,M. Dunleavy enters the game for E. Moore
7:22.0,,,43-37,1,D. Rose makes free throw 2 of 2
7:02.0,D. DeRozan misses 3-pt shot from 25 ft,,43-37,,
7:01.0,,,43-37,,Defensive rebound by P. Gasol
6:51.0,,,43-37,,P. Gasol misses 2-pt shot from 18 ft
6:50.0,Defensive rebound by L. Scola,,43-37,,
6:45.0,Shooting foul by D. McDermott (drawn by K. Lowry),,43-37,,
6:45.0,K. Lowry makes free throw 1 of 2,1,44-37,,
6:45.0,J. Johnson enters the game for C. Joseph,,44-37,,
6:45.0,K. Lowry makes free throw 2 of 2,1,45-37,,
6:28.0,,,45-37,,Turnover by M. Dunleavy (lost ball; steal by D. DeRozan)
6:25.0,Shooting foul by D. McDermott (drawn by D. DeRozan),,45-37,,
6:25.0,D. DeRozan makes free throw 1 of 2,1,46-37,,
6:25.0,D. DeRozan makes free throw 2 of 2,1,47-37,,
6:14.0,,,47-37,,D. Rose misses 2-pt shot from 10 ft
6:13.0,Defensive rebound by J. Valanciunas,,47-37,,
6:08.0,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas),3,50-37,,
6:07.0,,,50-37,,Chicago full timeout
6:07.0,,,50-37,,T. Snell enters the game for D. McDermott
5:57.0,,,50-37,,P. Gasol misses 2-pt shot from 1 ft (block by L. Scola)
5:55.0,,,50-37,,Offensive rebound by M. Dunleavy
5:54.0,,,50-39,2,M. Dunleavy makes 2-pt shot from 1 ft
5:36.0,D. DeRozan misses 2-pt shot from 15 ft,,50-39,,
5:35.0,,,50-39,,Defensive rebound by P. Gasol
5:28.0,,,50-39,,Turnover by D. Rose (lost ball; steal by D. DeRozan)
5:24.0,D. DeRozan makes 2-pt shot at rim,2,52-39,,
5:13.0,Personal foul by J. Johnson,,52-39,,
5:08.0,,,52-42,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by P. Gasol)
4:56.0,D. DeRozan misses 3-pt shot from 25 ft,,52-42,,
4:55.0,,,52-42,,Defensive rebound by T. Snell
4:48.0,,,52-44,2,P. Gasol makes 2-pt shot from 17 ft (assist by D. Rose)
4:28.0,,,52-44,,Personal foul by T. Gibson
4:19.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by J. Johnson),2,54-44,,
4:02.0,,,54-44,,M. Dunleavy misses 2-pt shot from 20 ft
4:01.0,Defensive rebound by L. Scola,,54-44,,
3:56.0,K. Lowry misses 3-pt shot from 25 ft,,54-44,,
3:55.0,,,54-44,,Defensive rebound by T. Gibson
3:40.0,,,54-44,,D. Rose misses 2-pt shot from 17 ft
3:38.0,,,54-44,,Offensive rebound by T. Gibson
3:36.0,,,54-44,,T. Snell misses 3-pt shot from 24 ft
3:35.0,Defensive rebound by D. DeRozan,,54-44,,
3:24.0,L. Scola misses 3-pt shot from 25 ft,,54-44,,
3:24.0,,,54-44,,Defensive rebound by P. Gasol
3:24.0,Personal foul by K. Lowry,,54-44,,
3:14.0,,,54-44,,D. Rose misses 2-pt shot from 5 ft
3:13.0,Defensive rebound by L. Scola,,54-44,,
3:09.0,Shooting foul by M. Dunleavy (drawn by J. Johnson),,54-44,,
3:09.0,J. Johnson misses free throw 1 of 2,,54-44,,
3:09.0,Offensive rebound by Team,,54-44,,
3:09.0,C. Joseph enters the game for K. Lowry,,54-44,,
3:09.0,,,54-44,,D. McDermott enters the game for M. Dunleavy
3:09.0,,,54-44,,B. Portis enters the game for T. Gibson
3:09.0,J. Johnson misses free throw 2 of 2,,54-44,,
3:07.0,,,54-44,,Defensive rebound by P. Gasol
2:55.0,,,54-44,,D. McDermott misses 2-pt shot from 2 ft
2:54.0,Defensive rebound by L. Scola,,54-44,,
2:44.0,Offensive charge foul by J. Valanciunas,,54-44,,
2:44.0,Turnover by J. Valanciunas (offensive foul),,54-44,,
2:44.0,Toronto full timeout,,54-44,,
2:44.0,T. Ross enters the game for J. Johnson,,54-44,,
2:32.0,,,54-44,,T. Snell misses 2-pt shot from 17 ft
2:31.0,Defensive rebound by C. Joseph,,54-44,,
2:20.0,Turnover by J. Valanciunas (3 sec),,54-44,,
2:08.0,,,54-44,,C. Felicio enters the game for P. Gasol
2:00.0,,,54-44,,Turnover by T. Snell (lost ball; steal by T. Ross)
1:52.0,Shooting foul by T. Snell (drawn by D. DeRozan),,54-44,,
1:52.0,D. DeRozan makes free throw 1 of 2,1,55-44,,
1:52.0,,,55-44,,E. Moore enters the game for T. Snell
1:52.0,D. DeRozan makes free throw 2 of 2,1,56-44,,
1:34.0,,,56-46,2,B. Portis makes 2-pt shot from 18 ft (assist by E. Moore)
1:10.0,L. Scola misses 2-pt shot from 4 ft,,56-46,,
1:09.0,,,56-46,,Defensive rebound by B. Portis
0:50.0,,,56-48,2,C. Felicio makes 2-pt shot from 3 ft (assist by E. Moore)
0:31.0,L. Scola makes 2-pt shot from 6 ft,2,58-48,,
0:13.0,,,58-50,2,B. Portis makes 2-pt shot from 20 ft (assist by D. Rose)
0:04.0,C. Joseph misses 2-pt shot from 17 ft,,58-50,,
0:03.0,,,58-50,,Defensive rebound by E. Moore
0:01.0,,,58-52,2,B. Portis makes 2-pt shot at rim (assist by E. Moore)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,58-52,,Violation by P. Gasol (def goaltending)
11:44.0,D. DeRozan makes 2-pt shot from 19 ft,2,60-52,,
11:26.0,,,60-52,,T. Gibson misses 2-pt shot from 1 ft (block by K. Lowry)
11:23.0,,,60-52,,Offensive rebound by T. Gibson
11:23.0,,,60-52,,T. Gibson misses 2-pt shot from 2 ft
11:22.0,Defensive rebound by J. Valanciunas,,60-52,,
11:16.0,,,60-52,,Personal foul by M. Dunleavy
11:01.0,D. DeRozan misses 2-pt shot from 20 ft,,60-52,,
11:00.0,,,60-52,,Defensive rebound by T. Gibson
10:48.0,,,60-52,,D. Rose misses 3-pt shot from 24 ft
10:47.0,Defensive rebound by D. DeRozan,,60-52,,
10:29.0,L. Scola misses 3-pt shot from 23 ft,,60-52,,
10:28.0,,,60-52,,Defensive rebound by M. Dunleavy
10:19.0,Personal foul by D. DeRozan,,60-52,,
10:11.0,,,60-55,3,E. Moore makes 3-pt shot from 23 ft (assist by M. Dunleavy)
9:57.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,62-55,,
9:57.0,Shooting foul by P. Gasol (drawn by J. Valanciunas),,62-55,,
9:57.0,J. Valanciunas makes free throw 1 of 1,1,63-55,,
9:43.0,,,63-55,,P. Gasol misses 2-pt shot from 18 ft
9:42.0,Defensive rebound by J. Johnson,,63-55,,
9:34.0,J. Johnson misses 2-pt shot from 2 ft,,63-55,,
9:33.0,Offensive rebound by J. Valanciunas,,63-55,,
9:32.0,J. Valanciunas misses 2-pt shot from 1 ft (block by P. Gasol),,63-55,,
9:32.0,Offensive rebound by Team,,63-55,,
9:21.0,J. Johnson makes 2-pt shot from 20 ft,2,65-55,,
9:07.0,,,65-57,2,D. Rose makes 2-pt shot from 5 ft (assist by T. Gibson)
8:55.0,Turnover by K. Lowry (lost ball; steal by E. Moore),,65-57,,
8:50.0,,,65-57,,E. Moore misses 2-pt shot from 5 ft
8:48.0,,,65-57,,Offensive rebound by E. Moore
8:41.0,,,65-59,2,T. Gibson makes 2-pt shot from 2 ft (assist by P. Gasol)
8:41.0,,,65-59,,Shooting foul by J. Valanciunas (drawn by T. Gibson)
8:41.0,,,65-60,1,T. Gibson makes free throw 1 of 1
8:25.0,J. Johnson misses 2-pt shot from 1 ft,,65-60,,
8:23.0,Offensive rebound by J. Valanciunas,,65-60,,
8:23.0,J. Valanciunas makes 2-pt shot from 1 ft,2,67-60,,
8:12.0,,,67-60,,P. Gasol misses 2-pt shot from 1 ft
8:11.0,Defensive rebound by K. Lowry,,67-60,,
8:08.0,Shooting foul by E. Moore (drawn by K. Lowry),,67-60,,
8:08.0,K. Lowry makes free throw 1 of 2,1,68-60,,
8:08.0,K. Lowry makes free throw 2 of 2,1,69-60,,
7:58.0,,,69-60,,Shooting foul by J. Valanciunas (drawn by P. Gasol)
7:58.0,,,69-61,1,P. Gasol makes free throw 1 of 2
7:58.0,,,69-62,1,P. Gasol makes free throw 2 of 2
7:44.0,D. DeRozan misses 2-pt shot from 13 ft,,69-62,,
7:44.0,,,69-62,,Defensive rebound by Team
7:35.0,,,69-64,2,D. Rose makes 2-pt shot from 13 ft (assist by E. Moore)
7:13.0,K. Lowry misses 3-pt shot from 24 ft,,69-64,,
7:12.0,,,69-64,,Defensive rebound by T. Gibson
7:02.0,,,69-66,2,T. Gibson makes 2-pt shot at rim (assist by P. Gasol)
7:02.0,Toronto full timeout,,69-66,,
7:02.0,T. Ross enters the game for J. Johnson,,69-66,,
7:02.0,P. Patterson enters the game for L. Scola,,69-66,,
6:44.0,J. Valanciunas misses 2-pt shot from 1 ft,,69-66,,
6:43.0,,,69-66,,Defensive rebound by P. Gasol
6:38.0,Personal foul by P. Patterson,,69-66,,
6:38.0,,,69-66,,D. McDermott enters the game for M. Dunleavy
6:32.0,,,69-68,2,D. McDermott makes 2-pt shot from 21 ft (assist by P. Gasol)
6:14.0,Turnover by D. DeRozan (lost ball; steal by T. Gibson),,69-68,,
6:09.0,,,69-70,2,D. McDermott makes 2-pt shot from 21 ft
5:53.0,T. Ross misses 3-pt shot from 24 ft,,69-70,,
5:53.0,,,69-70,,Defensive rebound by Team
5:53.0,Loose ball foul by J. Valanciunas,,69-70,,
5:53.0,,,69-70,,B. Portis enters the game for T. Gibson
5:53.0,,,69-71,1,P. Gasol makes free throw 1 of 2
5:53.0,B. Biyombo enters the game for J. Valanciunas,,69-71,,
5:53.0,,,69-72,1,P. Gasol makes free throw 2 of 2
5:40.0,K. Lowry makes 2-pt shot from 18 ft (assist by P. Patterson),2,71-72,,
5:24.0,,,71-72,,D. Rose misses 2-pt shot at rim
5:23.0,,,71-72,,Offensive rebound by D. Rose
5:23.0,,,71-74,2,D. Rose makes 2-pt shot at rim
5:14.0,P. Patterson misses 3-pt shot from 25 ft,,71-74,,
5:13.0,,,71-74,,Defensive rebound by P. Gasol
5:07.0,,,71-76,2,D. Rose makes 2-pt shot from 20 ft
5:07.0,Toronto full timeout,,71-76,,
4:54.0,,,71-76,,Personal foul by B. Portis
4:44.0,D. DeRozan makes 2-pt shot from 10 ft (assist by K. Lowry),2,73-76,,
4:27.0,,,73-78,2,P. Gasol makes 2-pt shot from 16 ft (assist by D. Rose)
4:14.0,K. Lowry misses 3-pt shot from 26 ft,,73-78,,
4:14.0,Offensive rebound by B. Biyombo,,73-78,,
4:14.0,,,73-78,,Personal foul by D. Rose
4:14.0,B. Biyombo misses free throw 1 of 2,,73-78,,
4:14.0,Offensive rebound by Team,,73-78,,
4:14.0,B. Biyombo misses free throw 2 of 2,,73-78,,
4:13.0,,,73-78,,Defensive rebound by E. Moore
3:59.0,,,73-80,2,D. McDermott makes 2-pt shot from 4 ft (assist by P. Gasol)
3:41.0,,,73-80,,Personal foul by E. Moore
3:41.0,D. DeRozan makes free throw 1 of 2,1,74-80,,
3:41.0,D. DeRozan makes free throw 2 of 2,1,75-80,,
3:31.0,,,75-82,2,D. Rose makes 2-pt shot from 16 ft
3:12.0,D. DeRozan misses 2-pt shot from 8 ft,,75-82,,
3:11.0,,,75-82,,Defensive rebound by B. Portis
2:57.0,,,75-82,,Turnover by D. Rose (lost ball; steal by K. Lowry)
2:53.0,K. Lowry makes 2-pt shot from 1 ft (assist by B. Biyombo),2,77-82,,
2:53.0,,,77-82,,Chicago full timeout
2:53.0,C. Joseph enters the game for K. Lowry,,77-82,,
2:53.0,,,77-82,,A. Brooks enters the game for D. Rose
2:44.0,Personal foul by B. Biyombo,,77-82,,
2:44.0,,,77-83,1,P. Gasol makes free throw 1 of 2
2:44.0,,,77-83,,P. Gasol misses free throw 2 of 2
2:43.0,Defensive rebound by B. Biyombo,,77-83,,
2:28.0,D. DeRozan misses 2-pt shot from 17 ft,,77-83,,
2:26.0,,,77-83,,Defensive rebound by B. Portis
2:11.0,Personal foul by T. Ross,,77-83,,
2:11.0,,,77-83,,A. Brooks misses free throw 1 of 2
2:11.0,,,77-83,,Offensive rebound by Team
2:11.0,,,77-83,,C. Felicio enters the game for P. Gasol
2:11.0,,,77-84,1,A. Brooks makes free throw 2 of 2
1:55.0,T. Ross makes 2-pt shot from 5 ft (assist by C. Joseph),2,79-84,,
1:37.0,,,79-86,2,E. Moore makes 2-pt shot from 8 ft
1:22.0,C. Joseph makes 2-pt shot from 2 ft,2,81-86,,
0:58.0,,,81-86,,A. Brooks misses 3-pt shot from 23 ft (block by B. Biyombo)
0:56.0,Defensive rebound by T. Ross,,81-86,,
0:43.0,Turnover by D. DeRozan (lost ball; steal by A. Brooks),,81-86,,
0:34.0,,,81-86,,Turnover by A. Brooks (discontinued dribble)
0:28.0,Turnover by D. DeRozan (traveling),,81-86,,
0:07.0,,,81-88,2,C. Felicio makes 2-pt shot from 1 ft (assist by A. Brooks)
0:07.0,,,81-88,,Shooting foul by D. DeRozan (drawn by C. Felicio)
0:07.0,,,81-89,1,C. Felicio makes free throw 1 of 1
0:01.0,Turnover by C. Joseph (lost ball; steal by B. Portis),,81-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,81-89,,Turnover by A. Brooks (lost ball; steal by C. Joseph)
11:27.0,P. Patterson makes 2-pt shot from 4 ft (assist by C. Joseph),2,83-89,,
11:27.0,Shooting foul by A. Brooks (drawn by P. Patterson),,83-89,,
11:27.0,P. Patterson misses free throw 1 of 1,,83-89,,
11:26.0,,,83-89,,Defensive rebound by C. Felicio
11:07.0,,,83-89,,D. McDermott misses 2-pt shot from 8 ft
11:06.0,,,83-89,,Offensive rebound by D. McDermott
11:05.0,,,83-91,2,D. McDermott makes 2-pt shot from 1 ft
10:49.0,C. Joseph makes 2-pt shot from 2 ft,2,85-91,,
10:15.0,,,85-93,2,A. Brooks makes 2-pt shot from 23 ft
10:04.0,Offensive foul by B. Biyombo,,85-93,,
10:04.0,Turnover by B. Biyombo (offensive foul),,85-93,,
9:54.0,,,85-93,,A. Brooks misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by T. Ross,,85-93,,
9:46.0,K. Lowry misses 2-pt shot from 1 ft,,85-93,,
9:45.0,,,85-93,,Defensive rebound by A. Brooks
9:40.0,,,85-93,,B. Portis misses 2-pt shot at rim
9:39.0,,,85-93,,Offensive rebound by D. McDermott
9:37.0,,,85-93,,Shooting foul by B. Biyombo (drawn by C. Felicio)
9:37.0,,,85-93,,C. Felicio misses free throw 1 of 2
9:37.0,,,85-93,,Offensive rebound by Team
9:37.0,,,85-94,1,C. Felicio makes free throw 2 of 2
9:17.0,P. Patterson makes 2-pt shot at rim (assist by K. Lowry),2,87-94,,
9:02.0,,,87-96,2,D. McDermott makes 2-pt shot at rim (assist by C. Felicio)
8:46.0,C. Joseph misses 2-pt shot from 2 ft (block by C. Felicio),,87-96,,
8:44.0,,,87-96,,Defensive rebound by M. Dunleavy
8:38.0,,,87-99,3,D. McDermott makes 3-pt shot from 24 ft (assist by C. Felicio)
8:38.0,Toronto full timeout,,87-99,,
8:38.0,D. DeRozan enters the game for T. Ross,,87-99,,
8:38.0,J. Valanciunas enters the game for B. Biyombo,,87-99,,
8:16.0,D. DeRozan misses 2-pt shot from 22 ft,,87-99,,
8:15.0,,,87-99,,Defensive rebound by D. McDermott
7:56.0,,,87-99,,A. Brooks misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by J. Valanciunas,,87-99,,
7:50.0,K. Lowry makes 2-pt shot from 1 ft,2,89-99,,
7:30.0,,,89-101,2,D. McDermott makes 2-pt shot from 20 ft (assist by C. Felicio)
7:11.0,,,89-101,,Personal foul by C. Felicio
7:11.0,,,89-101,,T. Gibson enters the game for C. Felicio
