time,Dallas,pts.away,score,pts.home,Indiana
3:00.0,Defensive rebound by W. Matthews,,17-15,,
2:43.0,Turnover by D. Williams (bad pass; steal by R. Stuckey),,17-15,,
2:37.0,,,17-15,,R. Stuckey misses 2-pt shot from 1 ft
2:36.0,Defensive rebound by Z. Pachulia,,17-15,,
2:30.0,D. Williams misses 3-pt shot from 25 ft,,17-15,,
2:30.0,,,17-15,,Defensive rebound by P. George
2:23.0,,,17-15,,M. Ellis misses 2-pt shot at rim
2:23.0,Defensive rebound by Z. Pachulia,,17-15,,
2:15.0,C. Parsons misses 3-pt shot from 23 ft,,17-15,,
2:15.0,,,17-15,,Defensive rebound by Team
2:15.0,Loose ball foul by Z. Pachulia (drawn by P. George),,17-15,,
2:15.0,Dallas full timeout,,17-15,,
2:15.0,J. Barea enters the game for W. Matthews,,17-15,,
2:15.0,D. Powell enters the game for Z. Pachulia,,17-15,,
2:15.0,D. Nowitzki enters the game for D. Williams,,17-15,,
2:15.0,,,17-15,,J. Hill enters the game for I. Mahinmi
2:04.0,,,17-15,,M. Ellis misses 2-pt shot from 18 ft
2:04.0,Defensive rebound by J. Barea,,17-15,,
1:51.0,Shooting foul by R. Stuckey (drawn by D. Harris),,17-15,,
1:51.0,D. Harris makes free throw 1 of 2,1,18-15,,
1:51.0,D. Harris makes free throw 2 of 2,1,19-15,,
1:34.0,,,19-15,,R. Stuckey misses 2-pt shot from 17 ft
1:33.0,Defensive rebound by D. Nowitzki,,19-15,,
1:14.0,C. Parsons misses 2-pt shot at rim,,19-15,,
1:14.0,,,19-15,,Defensive rebound by P. George
1:08.0,,,19-15,,M. Ellis misses 2-pt shot at rim
1:07.0,Defensive rebound by D. Powell,,19-15,,
0:50.0,Turnover by D. Nowitzki (lost ball; steal by C. Miles),,19-15,,
0:44.0,,,19-15,,Shooting foul by D. Harris (drawn by R. Stuckey)
0:44.0,,,19-17,2,R. Stuckey makes 2-pt shot from 3 ft (assist by C. Miles)
0:44.0,R. Felton enters the game for D. Harris,,19-17,,
0:44.0,,,19-18,1,R. Stuckey makes free throw 1 of 1
0:31.0,C. Parsons misses 2-pt shot from 1 ft (block by J. Hill),,19-18,,
0:29.0,,,19-18,,Defensive rebound by P. George
0:24.0,,,19-18,,Shooting foul by D. Powell (drawn by C. Miles)
0:24.0,,,19-19,1,C. Miles makes free throw 1 of 3
0:24.0,,,19-20,1,C. Miles makes free throw 2 of 3
0:24.0,,,19-20,,L. Allen enters the game for M. Ellis
0:24.0,,,19-20,,C. Miles misses free throw 3 of 3
0:23.0,Defensive rebound by D. Nowitzki,,19-20,,
0:02.0,J. Barea misses 2-pt shot from 1 ft,,19-20,,
0:01.0,Offensive rebound by C. Parsons,,19-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,19-22,2,R. Stuckey makes 2-pt shot from 7 ft (assist by C. Miles)
11:33.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea),2,21-22,,
11:19.0,,,21-22,,Shooting foul by D. Powell (drawn by C. Miles)
11:19.0,,,21-23,1,C. Miles makes free throw 1 of 2
11:19.0,,,21-23,,C. Miles misses free throw 2 of 2
11:18.0,Defensive rebound by J. Barea,,21-23,,
11:00.0,D. Nowitzki misses 2-pt shot from 8 ft,,21-23,,
11:00.0,,,21-23,,Defensive rebound by R. Stuckey
11:00.0,Loose ball foul by D. Powell (drawn by R. Stuckey),,21-23,,
11:00.0,J. McGee enters the game for D. Powell,,21-23,,
10:49.0,,,21-23,,R. Stuckey misses 2-pt shot from 16 ft
10:48.0,Defensive rebound by J. McGee,,21-23,,
10:32.0,R. Felton misses 3-pt shot from 26 ft,,21-23,,
10:31.0,,,21-23,,Defensive rebound by C. Budinger
10:25.0,,,21-25,2,C. Miles makes 2-pt shot at rim (assist by C. Budinger)
10:06.0,R. Felton makes 2-pt shot from 1 ft,2,23-25,,
9:53.0,Personal block foul by J. McGee (drawn by C. Budinger),,23-25,,
9:43.0,,,23-27,2,G. Hill makes 2-pt shot from 5 ft
9:36.0,Turnover by C. Parsons (lost ball; steal by G. Hill),,23-27,,
9:33.0,,,23-29,2,G. Hill makes 2-pt shot at rim
9:32.0,Dallas full timeout,,23-29,,
9:17.0,Shooting foul by C. Miles (drawn by J. Barea),,23-29,,
9:17.0,J. Barea makes free throw 1 of 2,1,24-29,,
9:17.0,J. Barea makes free throw 2 of 2,1,25-29,,
8:56.0,,,25-29,,C. Miles misses 3-pt shot from 24 ft
8:55.0,Defensive rebound by J. McGee,,25-29,,
8:46.0,,,25-29,,Personal foul by C. Budinger (drawn by J. McGee)
8:38.0,C. Parsons makes 2-pt shot at rim (assist by J. Barea),2,27-29,,
8:16.0,,,27-29,,C. Budinger misses 2-pt shot from 16 ft
8:15.0,,,27-29,,Offensive rebound by C. Miles
8:12.0,,,27-31,2,C. Miles makes 2-pt shot at rim
7:48.0,D. Nowitzki misses 2-pt shot from 18 ft,,27-31,,
7:47.0,Offensive rebound by J. McGee,,27-31,,
7:38.0,J. McGee makes 2-pt shot at rim,2,29-31,,
7:24.0,,,29-33,2,J. Hill makes 2-pt shot at rim (assist by R. Stuckey)
7:04.0,C. Parsons misses 2-pt shot from 1 ft,,29-33,,
7:04.0,,,29-33,,Defensive rebound by J. Hill
6:57.0,,,29-33,,G. Hill misses 2-pt shot from 4 ft
6:56.0,Defensive rebound by J. McGee,,29-33,,
6:44.0,J. Barea makes 2-pt shot from 3 ft,2,31-33,,
6:29.0,,,31-33,,C. Miles misses 3-pt shot from 26 ft
6:28.0,Defensive rebound by C. Parsons,,31-33,,
6:12.0,Turnover by J. Barea (bad pass; steal by J. Hill),,31-33,,
6:08.0,,,31-35,2,G. Hill makes 2-pt shot at rim
6:08.0,Dallas full timeout,,31-35,,
6:08.0,,,31-35,,M. Ellis enters the game for G. Hill
6:08.0,C. Villanueva enters the game for D. Nowitzki,,31-35,,
6:08.0,D. Williams enters the game for C. Parsons,,31-35,,
6:08.0,W. Matthews enters the game for J. Barea,,31-35,,
6:08.0,Z. Pachulia enters the game for J. McGee,,31-35,,
5:57.0,Turnover by Z. Pachulia (3 sec),,31-35,,
5:57.0,Official timeout,,31-35,,
5:42.0,,,31-37,2,C. Miles makes 2-pt shot from 4 ft (assist by M. Ellis)
5:26.0,C. Villanueva misses 3-pt shot from 26 ft,,31-37,,
5:25.0,,,31-37,,Defensive rebound by M. Ellis
5:20.0,,,31-37,,R. Stuckey misses 2-pt shot from 1 ft
5:19.0,Defensive rebound by Z. Pachulia,,31-37,,
4:57.0,R. Felton makes 3-pt shot from 26 ft,3,34-37,,
4:33.0,,,34-37,,M. Ellis misses 2-pt shot from 16 ft
4:32.0,,,34-37,,Offensive rebound by J. Hill
4:29.0,,,34-37,,J. Hill misses 2-pt shot from 11 ft
4:29.0,Defensive rebound by Z. Pachulia,,34-37,,
4:19.0,C. Villanueva makes 3-pt shot from 26 ft (assist by D. Williams),3,37-37,,
4:02.0,Violation by D. Williams (kicked ball),,37-37,,
4:02.0,,,37-37,,I. Mahinmi enters the game for J. Hill
4:02.0,,,37-37,,P. George enters the game for C. Miles
3:49.0,,,37-37,,Offensive charge foul by R. Stuckey
3:49.0,,,37-37,,Turnover by R. Stuckey (offensive foul)
3:25.0,D. Williams makes 2-pt shot from 19 ft,2,39-37,,
3:12.0,,,39-39,2,I. Mahinmi makes 2-pt shot at rim (assist by P. George)
2:57.0,W. Matthews misses 2-pt shot at rim,,39-39,,
2:57.0,,,39-39,,Defensive rebound by I. Mahinmi
2:56.0,Personal foul by W. Matthews (drawn by I. Mahinmi),,39-39,,
2:56.0,,,39-39,,Indiana full timeout
2:56.0,,,39-39,,C. Miles enters the game for R. Stuckey
2:56.0,,,39-39,,G. Hill enters the game for C. Budinger
2:41.0,,,39-39,,Turnover by C. Miles (bad pass; steal by W. Matthews)
2:32.0,R. Felton makes 3-pt shot from 26 ft,3,42-39,,
2:14.0,,,42-42,3,C. Miles makes 3-pt shot from 22 ft (assist by I. Mahinmi)
1:57.0,Turnover by C. Villanueva (lost ball; steal by P. George),,42-42,,
1:54.0,,,42-42,,Shooting foul by R. Felton (drawn by G. Hill)
1:54.0,,,42-42,,G. Hill misses free throw 1 of 2
1:54.0,,,42-42,,Offensive rebound by Team
1:54.0,D. Nowitzki enters the game for Z. Pachulia,,42-42,,
1:54.0,C. Parsons enters the game for C. Villanueva,,42-42,,
1:54.0,,,42-42,,G. Hill misses free throw 2 of 2
1:54.0,Defensive rebound by C. Parsons,,42-42,,
1:41.0,,,42-42,,Personal foul by I. Mahinmi (drawn by D. Nowitzki)
1:32.0,R. Felton makes 2-pt shot from 2 ft,2,44-42,,
1:26.0,Personal take foul by C. Parsons (drawn by I. Mahinmi),,44-42,,
1:26.0,,,44-42,,I. Mahinmi misses free throw 1 of 2
1:26.0,,,44-42,,Offensive rebound by Team
1:26.0,,,44-43,1,I. Mahinmi makes free throw 2 of 2
1:12.0,D. Nowitzki misses 3-pt shot from 27 ft,,44-43,,
1:11.0,,,44-43,,Defensive rebound by C. Miles
1:01.0,,,44-45,2,P. George makes 2-pt shot from 17 ft
0:41.0,D. Nowitzki misses 3-pt shot from 27 ft,,44-45,,
0:40.0,,,44-45,,Defensive rebound by P. George
0:31.0,,,44-45,,P. George misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by R. Felton,,44-45,,
0:21.0,D. Williams misses 2-pt shot at rim,,44-45,,
0:21.0,,,44-45,,Defensive rebound by I. Mahinmi
0:13.0,Personal take foul by C. Parsons (drawn by I. Mahinmi),,44-45,,
0:13.0,,,44-45,,I. Mahinmi misses free throw 1 of 2
0:13.0,,,44-45,,Offensive rebound by Team
0:13.0,,,44-45,,C. Budinger enters the game for C. Miles
0:13.0,,,44-45,,I. Mahinmi misses free throw 2 of 2
0:13.0,Defensive rebound by W. Matthews,,44-45,,
0:01.0,R. Felton makes 3-pt shot from 27 ft,3,47-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,47-45,,M. Ellis misses 2-pt shot from 20 ft
11:46.0,Defensive rebound by R. Felton,,47-45,,
11:35.0,R. Felton misses 2-pt shot at rim,,47-45,,
11:35.0,,,47-45,,Defensive rebound by L. Allen
11:25.0,,,47-45,,P. George misses 2-pt shot from 13 ft
11:25.0,Defensive rebound by D. Nowitzki,,47-45,,
11:07.0,D. Williams misses 3-pt shot from 26 ft,,47-45,,
11:06.0,,,47-45,,Defensive rebound by I. Mahinmi
10:46.0,,,47-47,2,P. George makes 2-pt shot from 18 ft
10:29.0,,,47-47,,Personal foul by P. George (drawn by Z. Pachulia)
10:18.0,W. Matthews misses 3-pt shot from 27 ft,,47-47,,
10:18.0,,,47-47,,Defensive rebound by I. Mahinmi
10:03.0,,,47-47,,L. Allen misses 2-pt shot from 9 ft
10:03.0,Defensive rebound by D. Nowitzki,,47-47,,
9:51.0,R. Felton misses 3-pt shot from 27 ft,,47-47,,
9:50.0,,,47-47,,Defensive rebound by P. George
9:43.0,,,47-47,,P. George misses 2-pt shot from 3 ft (block by W. Matthews)
9:42.0,Defensive rebound by W. Matthews,,47-47,,
9:36.0,W. Matthews misses 3-pt shot from 24 ft,,47-47,,
9:35.0,,,47-47,,Defensive rebound by Team
9:23.0,Personal foul by W. Matthews (drawn by P. George),,47-47,,
9:23.0,C. Parsons enters the game for W. Matthews,,47-47,,
9:13.0,,,47-49,2,M. Ellis makes 2-pt shot from 18 ft (assist by I. Mahinmi)
8:55.0,D. Nowitzki makes 2-pt shot from 15 ft,2,49-49,,
8:31.0,,,49-49,,P. George misses 2-pt shot at rim
8:30.0,Defensive rebound by Z. Pachulia,,49-49,,
8:22.0,Turnover by D. Nowitzki (lost ball; steal by M. Ellis),,49-49,,
8:17.0,,,49-51,2,M. Ellis makes 2-pt shot at rim
7:58.0,Z. Pachulia misses 2-pt shot from 12 ft,,49-51,,
7:56.0,,,49-51,,Defensive rebound by L. Allen
7:50.0,,,49-53,2,M. Ellis makes 2-pt shot at rim
7:49.0,Dallas full timeout,,49-53,,
7:41.0,D. Williams makes 3-pt shot from 22 ft (assist by R. Felton),3,52-53,,
7:23.0,,,52-53,,Turnover by P. George (bad pass)
7:13.0,D. Williams misses 3-pt shot from 24 ft,,52-53,,
7:12.0,,,52-53,,Defensive rebound by Team
7:05.0,,,52-55,2,P. George makes 2-pt shot from 18 ft
6:49.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by D. Williams),2,54-55,,
6:37.0,,,54-55,,M. Ellis misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by D. Nowitzki,,54-55,,
6:16.0,C. Parsons misses 2-pt shot from 2 ft,,54-55,,
6:16.0,,,54-55,,Defensive rebound by I. Mahinmi
6:09.0,,,54-57,2,L. Allen makes 2-pt shot at rim (assist by M. Ellis)
5:48.0,D. Nowitzki makes 2-pt shot from 16 ft,2,56-57,,
5:38.0,,,56-59,2,P. George makes 2-pt shot from 20 ft
5:17.0,D. Nowitzki misses 3-pt shot from 27 ft,,56-59,,
5:17.0,,,56-59,,Defensive rebound by P. George
5:06.0,,,56-61,2,P. George makes 2-pt shot from 9 ft
5:05.0,Dallas full timeout,,56-61,,
5:05.0,C. Villanueva enters the game for D. Nowitzki,,56-61,,
4:46.0,Turnover by C. Parsons (bad pass; steal by G. Hill),,56-61,,
4:27.0,,,56-61,,G. Hill misses 3-pt shot from 23 ft
4:26.0,,,56-61,,Offensive rebound by Team
4:26.0,Violation by Z. Pachulia (kicked ball),,56-61,,
4:26.0,,,56-61,,R. Stuckey enters the game for G. Hill
4:26.0,W. Matthews enters the game for R. Felton,,56-61,,
4:26.0,Technical foul by D. Nowitzki,,56-61,,
4:26.0,,,56-62,1,P. George makes technical free throw
4:11.0,,,56-62,,R. Stuckey misses 2-pt shot from 17 ft
4:11.0,,,56-62,,Offensive rebound by Team
4:11.0,Loose ball foul by C. Villanueva (drawn by L. Allen),,56-62,,
3:53.0,,,56-64,2,L. Allen makes 2-pt shot from 1 ft (assist by R. Stuckey)
3:44.0,C. Villanueva makes 2-pt shot from 12 ft (assist by D. Williams),2,58-64,,
3:44.0,,,58-64,,Indiana full timeout
3:44.0,,,58-64,,J. Hill enters the game for L. Allen
3:44.0,,,58-64,,C. Miles enters the game for I. Mahinmi
3:25.0,,,58-67,3,M. Ellis makes 3-pt shot from 25 ft (assist by R. Stuckey)
3:06.0,Z. Pachulia misses 2-pt shot from 6 ft,,58-67,,
3:06.0,,,58-67,,Defensive rebound by C. Miles
2:55.0,,,58-67,,Shooting foul by Z. Pachulia (drawn by P. George)
2:55.0,,,58-68,1,P. George makes free throw 1 of 2
2:55.0,,,58-69,1,P. George makes free throw 2 of 2
2:32.0,D. Williams misses 2-pt shot from 20 ft,,58-69,,
2:32.0,Offensive rebound by Z. Pachulia,,58-69,,
2:31.0,Z. Pachulia misses 2-pt shot at rim (block by P. George),,58-69,,
2:31.0,Offensive rebound by Team,,58-69,,
2:29.0,C. Parsons makes 2-pt shot from 1 ft (assist by D. Williams),2,60-69,,
2:09.0,,,60-69,,P. George misses 3-pt shot from 22 ft
2:08.0,,,60-69,,Offensive rebound by J. Hill
2:03.0,,,60-69,,C. Miles misses 3-pt shot from 26 ft
2:02.0,Defensive rebound by C. Villanueva,,60-69,,
1:53.0,C. Villanueva misses 2-pt shot from 5 ft,,60-69,,
1:52.0,Offensive rebound by Z. Pachulia,,60-69,,
1:52.0,Z. Pachulia misses 2-pt shot from 1 ft,,60-69,,
1:50.0,Offensive rebound by C. Villanueva,,60-69,,
1:50.0,C. Villanueva makes 2-pt shot from 1 ft,2,62-69,,
1:32.0,,,62-71,2,C. Miles makes 2-pt shot at rim
1:19.0,,,62-71,,Personal foul by C. Miles (drawn by D. Williams)
1:08.0,W. Matthews makes 2-pt shot from 10 ft,2,64-71,,
1:08.0,,,64-71,,Away from play foul by J. Hill (drawn by Z. Pachulia)
1:08.0,J. Barea enters the game for D. Williams,,64-71,,
1:08.0,Z. Pachulia misses free throw 1 of 1,,64-71,,
1:08.0,,,64-71,,Defensive rebound by C. Miles
0:52.0,,,64-71,,Shooting foul by J. Barea (drawn by M. Ellis)
0:52.0,,,64-72,1,M. Ellis makes free throw 1 of 2
0:52.0,,,64-73,1,M. Ellis makes free throw 2 of 2
0:35.0,Turnover by C. Parsons (bad pass; steal by R. Stuckey),,64-73,,
0:31.0,,,64-75,2,M. Ellis makes 2-pt shot at rim (assist by R. Stuckey)
0:15.0,J. Barea misses 2-pt shot from 3 ft,,64-75,,
0:15.0,,,64-75,,Defensive rebound by C. Miles
0:02.0,,,64-75,,P. George misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by Team,,64-75,,
0:00.0,J. Barea misses 3-pt shot from 46 ft,,64-75,,
0:00.0,Offensive rebound by Team,,64-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,64-75,,Personal foul by J. Hill (drawn by D. Nowitzki)
11:37.0,D. Nowitzki misses 3-pt shot from 25 ft,,64-75,,
11:36.0,,,64-75,,Defensive rebound by J. Hill
11:16.0,,,64-75,,C. Budinger misses 2-pt shot from 16 ft
11:16.0,Defensive rebound by J. Barea,,64-75,,
10:58.0,C. Parsons misses 3-pt shot from 22 ft,,64-75,,
10:57.0,,,64-75,,Defensive rebound by J. Hill
10:52.0,,,64-75,,Offensive charge foul by C. Budinger
10:52.0,,,64-75,,Turnover by C. Budinger (offensive foul)
10:41.0,D. Nowitzki misses 3-pt shot from 25 ft,,64-75,,
10:40.0,,,64-75,,Defensive rebound by C. Budinger
10:24.0,,,64-75,,C. Budinger misses 2-pt shot from 1 ft
10:24.0,Defensive rebound by D. Nowitzki,,64-75,,
10:14.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by R. Felton),3,67-75,,
9:50.0,,,67-78,3,R. Stuckey makes 3-pt shot from 26 ft
9:39.0,J. Barea makes 2-pt shot at rim,2,69-78,,
9:24.0,,,69-81,3,C. Miles makes 3-pt shot from 26 ft (assist by J. Hill)
9:07.0,W. Matthews makes 2-pt shot from 12 ft,2,71-81,,
8:57.0,,,71-83,2,R. Stuckey makes 2-pt shot at rim
8:38.0,D. Nowitzki misses 3-pt shot from 25 ft,,71-83,,
8:38.0,,,71-83,,Defensive rebound by C. Budinger
8:30.0,,,71-85,2,J. Hill makes 2-pt shot from 17 ft (assist by R. Stuckey)
8:29.0,Dallas full timeout,,71-85,,
8:29.0,D. Powell enters the game for D. Nowitzki,,71-85,,
8:17.0,W. Matthews misses 2-pt shot from 17 ft,,71-85,,
8:17.0,,,71-85,,Defensive rebound by R. Stuckey
8:14.0,Personal block foul by W. Matthews (drawn by R. Stuckey),,71-85,,
8:06.0,,,71-88,3,C. Miles makes 3-pt shot from 26 ft (assist by G. Hill)
7:43.0,R. Felton makes 2-pt shot from 19 ft,2,73-88,,
7:33.0,,,73-88,,C. Miles misses 3-pt shot from 26 ft
7:32.0,Defensive rebound by Team,,73-88,,
7:32.0,,,73-88,,Loose ball foul by J. Hill (drawn by D. Powell)
7:32.0,,,73-88,,P. George enters the game for C. Budinger
7:12.0,D. Powell makes 2-pt shot from 13 ft (assist by J. Barea),2,75-88,,
6:51.0,,,75-88,,C. Miles misses 3-pt shot from 23 ft
6:51.0,Defensive rebound by C. Parsons,,75-88,,
6:42.0,R. Felton misses 3-pt shot from 24 ft,,75-88,,
6:41.0,,,75-88,,Defensive rebound by C. Miles
6:34.0,,,75-90,2,R. Stuckey makes 2-pt shot from 1 ft (assist by G. Hill)
6:15.0,,,75-90,,Personal foul by R. Stuckey (drawn by D. Powell)
6:15.0,,,75-90,,M. Ellis enters the game for G. Hill
6:07.0,W. Matthews misses 3-pt shot from 26 ft,,75-90,,
6:07.0,,,75-90,,Defensive rebound by J. Hill
5:55.0,,,75-93,3,M. Ellis makes 3-pt shot from 24 ft (assist by J. Hill)
5:44.0,Dallas full timeout,,75-93,,
5:44.0,J. Anderson enters the game for W. Matthews,,75-93,,
5:44.0,J. Evans enters the game for R. Felton,,75-93,,
5:44.0,J. McGee enters the game for D. Powell,,75-93,,
5:44.0,C. Villanueva enters the game for C. Parsons,,75-93,,
5:22.0,J. Barea misses 2-pt shot from 10 ft,,75-93,,
5:22.0,,,75-93,,Defensive rebound by P. George
5:07.0,Personal foul by J. Barea,,75-93,,
4:56.0,,,75-93,,P. George misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by C. Villanueva,,75-93,,
4:49.0,J. Anderson misses 3-pt shot from 23 ft,,75-93,,
4:47.0,,,75-93,,Defensive rebound by R. Stuckey
4:35.0,,,75-95,2,J. Hill makes 2-pt shot from 9 ft (assist by R. Stuckey)
4:15.0,C. Villanueva makes 2-pt shot from 2 ft (assist by J. Barea),2,77-95,,
3:51.0,,,77-98,3,M. Ellis makes 3-pt shot from 24 ft (assist by R. Stuckey)
3:26.0,Turnover by Team (shot clock),,77-98,,
3:26.0,,,77-98,,G. Robinson enters the game for P. George
3:14.0,,,77-98,,R. Stuckey misses 2-pt shot from 19 ft
3:13.0,Defensive rebound by J. McGee,,77-98,,
3:10.0,,,77-98,,Personal take foul by M. Ellis
3:10.0,,,77-98,,J. Young enters the game for M. Ellis
3:10.0,,,77-98,,C. Budinger enters the game for R. Stuckey
3:10.0,Dallas full timeout,,77-98,,
3:10.0,,,77-98,,L. Allen enters the game for J. Hill
3:10.0,,,77-98,,S. Hill enters the game for C. Miles
3:01.0,J. Anderson misses 3-pt shot from 25 ft,,77-98,,
3:00.0,Offensive rebound by J. McGee,,77-98,,
2:57.0,C. Villanueva misses 3-pt shot from 26 ft,,77-98,,
2:56.0,,,77-98,,Defensive rebound by J. Young
2:44.0,,,77-98,,Turnover by C. Budinger (back court)
2:35.0,J. Anderson misses 2-pt shot from 17 ft,,77-98,,
2:35.0,,,77-98,,Defensive rebound by C. Budinger
