time,Charlotte,pts.away,score,pts.home,Houston
4:17.0,,,19-18,2,D. Howard makes 2-pt shot from 1 ft (assist by J. Harden)
4:03.0,N. Batum misses 2-pt shot from 2 ft,,19-18,,
4:02.0,,,19-18,,Defensive rebound by Team
3:52.0,,,19-18,,D. Howard misses 2-pt shot from 4 ft
3:51.0,Defensive rebound by C. Zeller,,19-18,,
3:41.0,C. Zeller misses 2-pt shot from 20 ft,,19-18,,
3:40.0,,,19-18,,Defensive rebound by J. Harden
3:33.0,,,19-20,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
3:13.0,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker),2,21-20,,
3:07.0,,,21-20,,Offensive foul by D. Howard
3:07.0,,,21-20,,Turnover by D. Howard (offensive foul)
3:07.0,,,21-20,,C. Brewer enters the game for T. Ariza
3:07.0,,,21-20,,T. Jones enters the game for D. Howard
3:07.0,F. Kaminsky enters the game for M. Williams,,21-20,,
3:07.0,,,21-20,,Technical foul by D. Howard
3:07.0,N. Batum misses technical free throw,,21-20,,
3:07.0,Offensive rebound by Team,,21-20,,
3:00.0,Turnover by K. Walker (bad pass; steal by C. Brewer),,21-20,,
2:58.0,Personal foul by J. Lin (drawn by J. Harden),,21-20,,
2:58.0,Charlotte full timeout,,21-20,,
2:58.0,S. Hawes enters the game for C. Zeller,,21-20,,
2:45.0,,,21-20,,Shooting foul by J. Lin (drawn by J. Harden)
2:45.0,,,21-21,1,J. Harden makes free throw 1 of 2
2:45.0,,,21-22,1,J. Harden makes free throw 2 of 2
2:34.0,N. Batum makes 2-pt shot from 1 ft,2,23-22,,
2:20.0,,,23-22,,T. Jones misses 3-pt shot from 23 ft
2:19.0,Defensive rebound by S. Hawes,,23-22,,
2:10.0,S. Hawes misses 3-pt shot from 24 ft,,23-22,,
2:09.0,Offensive rebound by K. Walker,,23-22,,
2:04.0,Offensive charge foul by J. Lin,,23-22,,
2:04.0,Turnover by J. Lin (offensive foul),,23-22,,
2:04.0,,,23-22,,M. Thornton enters the game for J. Harden
2:04.0,,,23-22,,P. Beverley enters the game for J. Terry
2:04.0,J. Lamb enters the game for J. Lin,,23-22,,
1:48.0,,,23-24,2,D. Motiejunas makes 2-pt shot from 7 ft
1:38.0,N. Batum misses 3-pt shot from 26 ft,,23-24,,
1:36.0,,,23-24,,Defensive rebound by Team
1:18.0,,,23-24,,P. Beverley misses 3-pt shot from 25 ft
1:17.0,,,23-24,,Offensive rebound by D. Motiejunas
1:13.0,,,23-27,3,M. Thornton makes 3-pt shot from 24 ft (assist by D. Motiejunas)
0:59.0,K. Walker makes 3-pt shot from 27 ft,3,26-27,,
0:50.0,,,26-27,,Turnover by C. Brewer (bad pass)
0:43.0,,,26-27,,Personal foul by D. Motiejunas (drawn by K. Walker)
0:37.0,N. Batum misses 2-pt shot from 22 ft,,26-27,,
0:36.0,,,26-27,,Defensive rebound by D. Motiejunas
0:27.0,,,26-27,,Shooting foul by K. Walker (drawn by T. Jones)
0:27.0,,,26-27,,T. Jones misses free throw 1 of 2
0:27.0,,,26-27,,Offensive rebound by Team
0:27.0,,,26-27,,T. Ariza enters the game for D. Motiejunas
0:27.0,,,26-27,,T. Jones misses free throw 2 of 2
0:27.0,Defensive rebound by N. Batum,,26-27,,
0:02.0,K. Walker makes 2-pt shot from 17 ft,2,28-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,J. Lamb makes 2-pt shot from 1 ft (assist by S. Hawes),2,30-27,,
11:50.0,Shooting foul by M. Thornton (drawn by J. Lamb),,30-27,,
11:50.0,J. Lamb makes free throw 1 of 1,1,31-27,,
11:31.0,,,31-29,2,D. Motiejunas makes 2-pt shot from 6 ft
11:13.0,P. Hairston misses 3-pt shot from 26 ft,,31-29,,
11:12.0,,,31-29,,Defensive rebound by T. Jones
10:56.0,,,31-31,2,T. Jones makes 2-pt shot from 2 ft (assist by C. Brewer)
10:36.0,S. Hawes misses 2-pt shot from 5 ft,,31-31,,
10:35.0,,,31-31,,Defensive rebound by Team
10:21.0,,,31-31,,Turnover by D. Motiejunas (bad pass; steal by S. Hawes)
10:04.0,,,31-31,,Personal foul by T. Jones (drawn by K. Walker)
9:54.0,P. Hairston misses 2-pt shot from 3 ft,,31-31,,
9:53.0,,,31-31,,Defensive rebound by C. Brewer
9:42.0,,,31-31,,T. Jones misses 2-pt shot from 2 ft (block by F. Kaminsky)
9:40.0,,,31-31,,Offensive rebound by T. Jones
9:39.0,,,31-33,2,T. Jones makes 2-pt shot from 1 ft
9:33.0,Charlotte full timeout,,31-33,,
9:33.0,B. Roberts enters the game for K. Walker,,31-33,,
9:33.0,,,31-33,,C. Capela enters the game for D. Motiejunas
9:27.0,B. Roberts misses 3-pt shot from 25 ft,,31-33,,
9:27.0,,,31-33,,Defensive rebound by C. Brewer
9:11.0,,,31-35,2,T. Jones makes 2-pt shot at rim (assist by P. Beverley)
8:45.0,P. Hairston misses 3-pt shot from 25 ft,,31-35,,
8:44.0,,,31-35,,Defensive rebound by C. Capela
8:34.0,,,31-35,,M. Thornton misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by Team,,31-35,,
8:33.0,,,31-35,,Loose ball foul by C. Capela (drawn by P. Hairston)
8:33.0,,,31-35,,D. Howard enters the game for C. Capela
8:17.0,,,31-35,,Personal foul by C. Brewer (drawn by S. Hawes)
8:09.0,J. Lamb misses 3-pt shot from 25 ft,,31-35,,
8:08.0,,,31-35,,Defensive rebound by P. Beverley
7:45.0,,,31-35,,M. Thornton misses 3-pt shot from 23 ft
7:44.0,,,31-35,,Offensive rebound by P. Beverley
7:43.0,,,31-35,,P. Beverley misses 2-pt shot from 5 ft
7:41.0,Defensive rebound by Team,,31-35,,
7:24.0,Turnover by B. Roberts (bad pass),,31-35,,
7:24.0,,,31-35,,J. Harden enters the game for M. Thornton
7:10.0,,,31-35,,Turnover by D. Howard (3 sec)
6:57.0,F. Kaminsky misses 2-pt shot from 9 ft,,31-35,,
6:56.0,,,31-35,,Defensive rebound by D. Howard
6:51.0,,,31-35,,Shooting foul by P. Hairston (drawn by J. Harden)
6:51.0,,,31-35,,J. Harden misses free throw 1 of 3
6:51.0,,,31-35,,Offensive rebound by Team
6:51.0,,,31-36,1,J. Harden makes free throw 2 of 3
6:51.0,,,31-37,1,J. Harden makes free throw 3 of 3
6:38.0,J. Lamb makes 3-pt shot from 25 ft (assist by B. Roberts),3,34-37,,
6:24.0,,,34-37,,P. Beverley misses 2-pt shot from 8 ft (block by S. Hawes)
6:22.0,Defensive rebound by F. Kaminsky,,34-37,,
6:11.0,P. Hairston misses 3-pt shot from 24 ft,,34-37,,
6:10.0,Offensive rebound by P. Hairston,,34-37,,
6:06.0,J. Lamb misses 3-pt shot from 25 ft,,34-37,,
6:05.0,,,34-37,,Defensive rebound by P. Beverley
5:50.0,,,34-37,,J. Harden misses 3-pt shot from 24 ft
5:49.0,Defensive rebound by B. Roberts,,34-37,,
5:49.0,,,34-37,,Personal foul by J. Harden (drawn by P. Hairston)
5:49.0,Charlotte full timeout,,34-37,,
5:49.0,M. Williams enters the game for F. Kaminsky,,34-37,,
5:49.0,C. Zeller enters the game for S. Hawes,,34-37,,
5:49.0,,,34-37,,J. Terry enters the game for P. Beverley
5:49.0,,,34-37,,T. Ariza enters the game for C. Brewer
5:49.0,P. Hairston makes free throw 1 of 2,1,35-37,,
5:49.0,P. Hairston misses free throw 2 of 2,,35-37,,
5:49.0,,,35-37,,Defensive rebound by T. Jones
5:37.0,,,35-37,,Turnover by J. Terry (bad pass; steal by B. Roberts)
5:15.0,J. Lamb misses 2-pt shot from 10 ft,,35-37,,
5:14.0,Offensive rebound by J. Lamb,,35-37,,
5:12.0,J. Lamb makes 2-pt shot from 1 ft,2,37-37,,
4:56.0,,,37-37,,Turnover by T. Ariza (bad pass; steal by C. Zeller)
4:50.0,B. Roberts makes 2-pt shot at rim (assist by J. Lamb),2,39-37,,
4:26.0,,,39-37,,Turnover by T. Ariza (offensive foul)
4:26.0,,,39-37,,Offensive charge foul by T. Ariza
4:26.0,N. Batum enters the game for P. Hairston,,39-37,,
4:14.0,Turnover by C. Zeller (bad pass),,39-37,,
4:02.0,,,39-39,2,J. Harden makes 2-pt shot from 1 ft
3:46.0,K. Walker enters the game for B. Roberts,,39-39,,
3:46.0,,,39-39,,D. Motiejunas enters the game for T. Jones
3:37.0,J. Lamb misses 2-pt shot from 3 ft,,39-39,,
3:36.0,,,39-39,,Defensive rebound by Team
3:22.0,,,39-41,2,J. Harden makes 2-pt shot at rim
3:08.0,N. Batum misses 2-pt shot from 21 ft,,39-41,,
3:07.0,,,39-41,,Defensive rebound by D. Motiejunas
3:03.0,Personal foul by N. Batum (drawn by J. Harden),,39-41,,
2:51.0,,,39-41,,J. Harden misses 3-pt shot from 26 ft
2:50.0,Defensive rebound by C. Zeller,,39-41,,
2:30.0,J. Lamb misses 3-pt shot from 25 ft,,39-41,,
2:29.0,,,39-41,,Defensive rebound by D. Howard
2:29.0,Loose ball foul by C. Zeller (drawn by D. Howard),,39-41,,
2:29.0,,,39-41,,Houston full timeout
2:29.0,S. Hawes enters the game for C. Zeller,,39-41,,
2:29.0,T. Daniels enters the game for J. Lamb,,39-41,,
2:15.0,,,39-43,2,D. Howard makes 2-pt shot from 2 ft (assist by D. Motiejunas)
2:15.0,,,39-43,,Shooting foul by S. Hawes (drawn by D. Howard)
2:15.0,,,39-43,,D. Howard misses free throw 1 of 1
2:15.0,Defensive rebound by N. Batum,,39-43,,
1:54.0,M. Williams misses 2-pt shot from 7 ft,,39-43,,
1:53.0,,,39-43,,Defensive rebound by D. Howard
1:46.0,,,39-43,,Turnover by J. Harden (bad pass; steal by S. Hawes)
1:38.0,T. Daniels makes 3-pt shot from 25 ft (assist by K. Walker),3,42-43,,
1:22.0,,,42-43,,D. Motiejunas misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by M. Williams,,42-43,,
1:01.0,M. Williams misses 2-pt shot from 10 ft,,42-43,,
1:00.0,,,42-43,,Defensive rebound by J. Terry
0:54.0,,,42-43,,Turnover by D. Howard (bad pass; steal by N. Batum)
0:50.0,N. Batum makes 2-pt shot at rim,2,44-43,,
0:32.0,,,44-43,,J. Harden misses 3-pt shot from 24 ft
0:30.0,Defensive rebound by Team,,44-43,,
0:30.0,,,44-43,,C. Brewer enters the game for J. Terry
0:30.0,,,44-43,,P. Beverley enters the game for D. Motiejunas
0:11.0,Turnover by T. Daniels (bad pass),,44-43,,
0:11.0,,,44-43,,M. Thornton enters the game for C. Brewer
0:04.0,,,44-45,2,J. Harden makes 2-pt shot from 1 ft
0:04.0,,,44-45,,Shooting foul by S. Hawes (drawn by J. Harden)
0:04.0,,,44-45,,C. Brewer enters the game for M. Thornton
0:04.0,,,44-45,,J. Harden misses free throw 1 of 1
0:04.0,Defensive rebound by N. Batum,,44-45,,
0:01.0,T. Daniels misses 3-pt shot from 41 ft,,44-45,,
0:00.0,Offensive rebound by Team,,44-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,Turnover by Team (shot clock),,44-45,,
11:20.0,,,44-45,,T. Ariza misses 3-pt shot from 25 ft
11:19.0,,,44-45,,Offensive rebound by J. Harden
11:06.0,,,44-45,,Offensive foul by C. Capela
11:06.0,,,44-45,,Turnover by C. Capela (offensive foul)
10:43.0,K. Walker misses 3-pt shot from 25 ft,,44-45,,
10:42.0,,,44-45,,Defensive rebound by P. Beverley
10:30.0,,,44-47,2,P. Beverley makes 2-pt shot from 1 ft (assist by J. Harden)
10:17.0,Turnover by K. Walker (bad pass),,44-47,,
10:08.0,,,44-49,2,J. Harden makes 2-pt shot from 18 ft
9:55.0,,,44-49,,Personal foul by P. Beverley (drawn by K. Walker)
9:49.0,N. Batum misses 3-pt shot from 25 ft,,44-49,,
9:49.0,,,44-49,,Defensive rebound by D. Howard
9:39.0,,,44-49,,Turnover by J. Harden (bad pass)
9:27.0,P. Hairston misses 3-pt shot from 25 ft,,44-49,,
9:26.0,,,44-49,,Defensive rebound by J. Harden
9:21.0,,,44-49,,Shooting foul by C. Zeller (drawn by C. Capela)
9:21.0,,,44-50,1,C. Capela makes free throw 1 of 2
9:21.0,,,44-50,,C. Capela misses free throw 2 of 2
9:21.0,Defensive rebound by K. Walker,,44-50,,
9:11.0,,,44-50,,Personal foul by P. Beverley (drawn by K. Walker)
8:59.0,P. Hairston misses 2-pt shot from 9 ft,,44-50,,
8:58.0,,,44-50,,Defensive rebound by P. Beverley
8:52.0,,,44-53,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
8:52.0,,,44-53,,Loose ball foul by D. Howard (drawn by N. Batum)
8:30.0,P. Hairston makes 3-pt shot from 23 ft (assist by N. Batum),3,47-53,,
8:15.0,,,47-53,,Turnover by J. Harden (lost ball; steal by P. Hairston)
8:11.0,Turnover by N. Batum (bad pass),,47-53,,
8:02.0,,,47-53,,Turnover by D. Howard (offensive foul)
8:02.0,,,47-53,,Offensive foul by D. Howard
8:02.0,,,47-53,,Violation by Team (jump ball)
7:47.0,P. Hairston misses 3-pt shot from 26 ft,,47-53,,
7:46.0,,,47-53,,Defensive rebound by C. Capela
7:32.0,,,47-53,,P. Beverley misses 2-pt shot at rim
7:32.0,Defensive rebound by Team,,47-53,,
7:32.0,,,47-53,,Loose ball foul by D. Howard (drawn by C. Zeller)
7:32.0,,,47-53,,D. Motiejunas enters the game for D. Howard
7:23.0,C. Zeller misses 2-pt shot from 2 ft,,47-53,,
7:22.0,Offensive rebound by P. Hairston,,47-53,,
7:20.0,M. Williams misses 2-pt shot at rim,,47-53,,
7:17.0,Offensive rebound by M. Williams,,47-53,,
7:15.0,,,47-53,,Personal foul by P. Beverley (drawn by M. Williams)
7:15.0,M. Williams makes free throw 1 of 2,1,48-53,,
7:15.0,,,48-53,,J. Terry enters the game for P. Beverley
7:15.0,M. Williams makes free throw 2 of 2,1,49-53,,
7:06.0,,,49-53,,Shooting foul by P. Hairston (drawn by J. Harden)
7:06.0,,,49-53,,J. Harden misses free throw 1 of 3
7:06.0,,,49-53,,Offensive rebound by Team
7:06.0,,,49-54,1,J. Harden makes free throw 2 of 3
7:06.0,J. Lin enters the game for P. Hairston,,49-54,,
7:06.0,,,49-55,1,J. Harden makes free throw 3 of 3
6:44.0,K. Walker misses 2-pt shot from 11 ft,,49-55,,
6:43.0,,,49-55,,Defensive rebound by C. Capela
6:27.0,,,49-55,,J. Harden misses 2-pt shot from 2 ft (block by M. Williams)
6:26.0,Defensive rebound by N. Batum,,49-55,,
6:13.0,J. Lin makes 2-pt shot from 9 ft,2,51-55,,
6:13.0,Shooting foul by J. Terry (drawn by J. Lin),,51-55,,
6:13.0,J. Lin makes free throw 1 of 1,1,52-55,,
6:00.0,,,52-57,2,C. Capela makes 2-pt shot at rim (assist by D. Motiejunas)
5:39.0,M. Williams misses 2-pt shot from 20 ft,,52-57,,
5:38.0,,,52-57,,Defensive rebound by D. Motiejunas
5:24.0,,,52-57,,Shooting foul by M. Williams (drawn by D. Motiejunas)
5:24.0,,,52-57,,Houston full timeout
5:24.0,,,52-58,1,D. Motiejunas makes free throw 1 of 2
5:24.0,,,52-59,1,D. Motiejunas makes free throw 2 of 2
5:10.0,N. Batum misses 2-pt shot from 17 ft,,52-59,,
5:09.0,,,52-59,,Defensive rebound by C. Capela
5:00.0,,,52-59,,D. Motiejunas misses 2-pt shot from 6 ft
4:59.0,Defensive rebound by M. Williams,,52-59,,
4:50.0,C. Zeller misses 2-pt shot from 21 ft,,52-59,,
4:49.0,,,52-59,,Defensive rebound by J. Terry
4:39.0,Personal foul by K. Walker (drawn by C. Capela),,52-59,,
4:39.0,,,52-59,,C. Brewer enters the game for T. Ariza
4:25.0,,,52-59,,C. Brewer misses 2-pt shot from 19 ft
4:24.0,,,52-59,,Offensive rebound by C. Capela
4:20.0,,,52-59,,J. Terry misses 3-pt shot from 24 ft
4:19.0,Defensive rebound by M. Williams,,52-59,,
4:03.0,N. Batum misses 2-pt shot from 16 ft,,52-59,,
4:02.0,Offensive rebound by M. Williams,,52-59,,
3:58.0,Turnover by N. Batum (lost ball),,52-59,,
3:58.0,F. Kaminsky enters the game for M. Williams,,52-59,,
3:40.0,Jump ball: C. Capela vs. F. Kaminsky (C. Brewer gains possession),,,,Jump ball: C. Capela vs. F. Kaminsky (C. Brewer gains possession)
3:34.0,,,52-59,,C. Brewer misses 3-pt shot from 24 ft
3:33.0,Defensive rebound by F. Kaminsky,,52-59,,
3:11.0,K. Walker misses 3-pt shot from 25 ft (block by J. Harden),,52-59,,
3:11.0,Offensive rebound by Team,,52-59,,
3:08.0,K. Walker misses 2-pt shot from 12 ft,,52-59,,
3:07.0,Offensive rebound by J. Lin,,52-59,,
3:02.0,K. Walker makes 3-pt shot from 23 ft (assist by J. Lin),3,55-59,,
3:01.0,Technical foul by K. Walker,,55-59,,
3:01.0,,,55-60,1,J. Harden makes technical free throw
3:01.0,S. Hawes enters the game for C. Zeller,,55-60,,
2:50.0,,,55-62,2,J. Terry makes 2-pt shot from 1 ft
2:49.0,Charlotte full timeout,,55-62,,
2:44.0,,,55-62,,Personal foul by J. Harden (drawn by N. Batum)
2:44.0,N. Batum makes free throw 1 of 2,1,56-62,,
2:44.0,N. Batum makes free throw 2 of 2,1,57-62,,
2:35.0,,,57-62,,Turnover by J. Harden (offensive foul)
2:35.0,,,57-62,,Offensive charge foul by J. Harden
2:35.0,,,57-62,,M. Thornton enters the game for J. Harden
2:35.0,,,57-62,,P. Beverley enters the game for J. Terry
2:20.0,F. Kaminsky misses 3-pt shot from 24 ft,,57-62,,
2:18.0,,,57-62,,Defensive rebound by C. Capela
2:08.0,,,57-62,,D. Motiejunas misses 2-pt shot from 11 ft
2:07.0,Defensive rebound by N. Batum,,57-62,,
1:59.0,S. Hawes misses 2-pt shot from 13 ft,,57-62,,
1:58.0,,,57-62,,Defensive rebound by M. Thornton
1:42.0,,,57-64,2,M. Thornton makes 2-pt shot from 13 ft
1:21.0,F. Kaminsky makes 3-pt shot from 23 ft (assist by N. Batum),3,60-64,,
1:06.0,,,60-64,,Turnover by M. Thornton (bad pass)
1:06.0,,,60-64,,T. Jones enters the game for C. Capela
1:06.0,J. Lamb enters the game for K. Walker,,60-64,,
0:49.0,J. Lin misses 3-pt shot from 24 ft,,60-64,,
0:48.0,,,60-64,,Defensive rebound by Team
0:47.0,Loose ball foul by N. Batum (drawn by T. Jones),,60-64,,
0:47.0,Technical foul by N. Batum (drawn by T. Jones),,60-64,,
0:47.0,,,60-65,1,M. Thornton makes technical free throw
0:47.0,,,60-66,1,T. Jones makes free throw 1 of 2
0:47.0,,,60-67,1,T. Jones makes free throw 2 of 2
0:33.0,Offensive foul by S. Hawes,,60-67,,
0:33.0,Turnover by S. Hawes (offensive foul),,60-67,,
0:33.0,Technical foul by Team,,60-67,,
0:33.0,,,60-67,,M. Thornton misses technical free throw
0:33.0,,,60-67,,Offensive rebound by Team
0:29.0,,,60-67,,Shooting foul by J. Lin (drawn by P. Beverley)
0:29.0,,,60-67,,P. Beverley misses free throw 1 of 2
0:29.0,,,60-67,,Offensive rebound by Team
0:29.0,,,60-67,,P. Beverley misses free throw 2 of 2
0:29.0,Defensive rebound by F. Kaminsky,,60-67,,
0:07.0,F. Kaminsky misses 3-pt shot from 22 ft,,60-67,,
0:06.0,,,60-67,,Defensive rebound by T. Jones
0:00.0,,,60-69,2,T. Jones makes 2-pt shot from 1 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,60-69,,Turnover by M. Thornton (bad pass; steal by S. Hawes)
11:40.0,K. Walker misses 3-pt shot from 24 ft,,60-69,,
11:39.0,,,60-69,,Defensive rebound by C. Brewer
11:33.0,,,60-72,3,M. Thornton makes 3-pt shot from 25 ft (assist by C. Brewer)
11:07.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by J. Lamb),3,63-72,,
10:50.0,,,63-72,,Offensive foul by D. Howard
10:50.0,,,63-72,,Turnover by D. Howard (offensive foul)
10:50.0,,,63-72,,C. Capela enters the game for D. Howard
10:37.0,Turnover by K. Walker (lost ball; steal by M. Thornton),,63-72,,
10:32.0,,,63-74,2,T. Jones makes 2-pt shot from 1 ft (assist by C. Brewer)
10:32.0,Charlotte full timeout,,63-74,,
10:27.0,,,63-74,,Personal foul by C. Brewer (drawn by J. Lin)
10:13.0,Shooting foul by M. Thornton (drawn by F. Kaminsky),,63-74,,
10:13.0,F. Kaminsky misses free throw 1 of 2,,63-74,,
10:13.0,Offensive rebound by Team,,63-74,,
10:13.0,F. Kaminsky makes free throw 2 of 2,1,64-74,,
9:52.0,,,64-76,2,M. Thornton makes 2-pt shot from 19 ft
9:36.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by J. Lin),2,66-76,,
9:30.0,,,66-76,,Offensive foul by P. Beverley
9:30.0,,,66-76,,Turnover by P. Beverley (offensive foul)
9:14.0,J. Lamb misses 3-pt shot from 26 ft,,66-76,,
9:13.0,,,66-76,,Defensive rebound by C. Capela
9:05.0,,,66-76,,P. Beverley misses 3-pt shot from 24 ft
9:04.0,,,66-76,,Offensive rebound by C. Capela
9:04.0,,,66-76,,C. Capela misses 2-pt shot from 2 ft
9:01.0,,,66-76,,Offensive rebound by P. Beverley
8:53.0,,,66-79,3,P. Beverley makes 3-pt shot from 25 ft (assist by M. Thornton)
8:39.0,S. Hawes misses 2-pt shot from 3 ft (block by T. Jones),,66-79,,
8:39.0,Offensive rebound by Team,,66-79,,
8:39.0,,,66-79,,J. Terry enters the game for P. Beverley
8:38.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by J. Lamb),2,68-79,,
8:38.0,Shooting foul by T. Jones (drawn by F. Kaminsky),,68-79,,
8:38.0,F. Kaminsky makes free throw 1 of 1,1,69-79,,
8:24.0,,,69-79,,M. Thornton misses 2-pt shot from 21 ft
8:23.0,,,69-79,,Offensive rebound by T. Jones
8:18.0,,,69-79,,T. Jones misses 2-pt shot from 1 ft
8:17.0,Defensive rebound by K. Walker,,69-79,,
8:13.0,Shooting foul by J. Terry (drawn by J. Lamb),,69-79,,
8:13.0,J. Lamb makes free throw 1 of 2,1,70-79,,
8:13.0,,,70-79,,T. Ariza enters the game for C. Brewer
8:13.0,,,70-79,,J. Harden enters the game for M. Thornton
8:13.0,J. Lamb makes free throw 2 of 2,1,71-79,,
7:52.0,,,71-79,,J. Terry misses 3-pt shot from 24 ft
7:51.0,Defensive rebound by J. Lamb,,71-79,,
7:46.0,,,71-79,,Personal foul by J. Terry (drawn by K. Walker)
7:46.0,K. Walker makes free throw 1 of 2,1,72-79,,
7:46.0,K. Walker makes free throw 2 of 2,1,73-79,,
7:21.0,,,73-79,,Turnover by Team (shot clock)
6:57.0,J. Lin makes 3-pt shot from 25 ft (assist by S. Hawes),3,76-79,,
6:32.0,,,76-79,,T. Ariza misses 3-pt shot from 25 ft
6:31.0,Defensive rebound by Team,,76-79,,
