time,Memphis,pts.away,score,pts.home,Charlotte
7:03.0,M. Gasol misses 2-pt shot from 11 ft,,13-13,,
7:02.0,,,13-13,,Defensive rebound by M. Williams
6:59.0,,,13-13,,Turnover by N. Batum (bad pass)
6:42.0,M. Barnes misses 2-pt shot at rim (block by C. Zeller),,13-13,,
6:41.0,Offensive rebound by M. Barnes,,13-13,,
6:34.0,M. Conley makes 2-pt shot at rim,2,15-13,,
6:19.0,,,15-15,2,N. Batum makes 2-pt shot from 12 ft (assist by K. Walker)
6:04.0,Turnover by J. Green (bad pass; steal by C. Zeller),,15-15,,
5:54.0,,,15-18,3,K. Walker makes 3-pt shot from 26 ft
5:34.0,M. Gasol misses 2-pt shot from 4 ft,,15-18,,
5:34.0,,,15-18,,Defensive rebound by Team
5:14.0,,,15-18,,Turnover by N. Batum (bad pass; steal by J. Green)
5:10.0,Shooting foul by M. Williams (drawn by J. Green),,15-18,,
5:10.0,J. Green makes free throw 1 of 2,1,16-18,,
5:10.0,J. Green enters the game for M. Gasol,,16-18,,
5:10.0,T. Allen enters the game for C. Lee,,16-18,,
5:10.0,J. Green misses free throw 2 of 2,,16-18,,
5:08.0,,,16-18,,Defensive rebound by N. Batum
4:53.0,,,16-21,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
4:34.0,M. Barnes makes 3-pt shot from 24 ft (assist by M. Conley),3,19-21,,
4:15.0,,,19-24,3,P. Hairston makes 3-pt shot from 27 ft (assist by N. Batum)
4:00.0,J. Green misses 2-pt shot at rim (block by M. Williams),,19-24,,
3:58.0,,,19-24,,Defensive rebound by M. Williams
3:47.0,,,19-27,3,P. Hairston makes 3-pt shot from 29 ft (assist by K. Walker)
3:29.0,M. Conley misses 3-pt shot from 24 ft,,19-27,,
3:29.0,Offensive rebound by Team,,19-27,,
3:29.0,,,19-27,,Loose ball foul by C. Zeller (drawn by J. Green)
3:29.0,,,19-27,,J. Lin enters the game for M. Williams
3:29.0,,,19-27,,A. Jefferson enters the game for C. Zeller
3:29.0,,,19-27,,F. Kaminsky enters the game for N. Batum
3:19.0,J. Green makes 2-pt shot from 1 ft (assist by M. Barnes),2,21-27,,
3:12.0,,,21-27,,Charlotte full timeout
3:12.0,Z. Randolph enters the game for M. Barnes,,21-27,,
3:03.0,,,21-27,,A. Jefferson misses 2-pt shot from 12 ft
3:02.0,Defensive rebound by J. Green,,21-27,,
2:41.0,Shooting foul by P. Hairston (drawn by J. Green),,21-27,,
2:41.0,J. Green makes free throw 1 of 2,1,22-27,,
2:41.0,M. Chalmers enters the game for M. Conley,,22-27,,
2:41.0,J. Green makes free throw 2 of 2,1,23-27,,
2:20.0,,,23-27,,F. Kaminsky misses 2-pt shot from 2 ft
2:20.0,Defensive rebound by J. Green,,23-27,,
2:14.0,M. Chalmers makes 2-pt shot from 1 ft,2,25-27,,
2:08.0,,,25-27,,Charlotte full timeout
2:08.0,,,25-27,,J. Lamb enters the game for P. Hairston
1:56.0,,,25-27,,Turnover by J. Lamb (bad pass; steal by T. Allen)
1:38.0,J. Green makes 2-pt shot from 1 ft,2,27-27,,
1:16.0,,,27-27,,Shooting foul by M. Chalmers (drawn by F. Kaminsky)
1:16.0,,,27-28,1,F. Kaminsky makes free throw 1 of 2
1:16.0,,,27-28,,F. Kaminsky misses free throw 2 of 2
1:14.0,Defensive rebound by J. Green,,27-28,,
1:00.0,Turnover by J. Green (lost ball; steal by A. Jefferson),,27-28,,
0:53.0,,,27-28,,Shooting foul by T. Allen (drawn by A. Jefferson)
0:53.0,,,27-28,,A. Jefferson misses free throw 1 of 2
0:53.0,,,27-28,,Offensive rebound by Team
0:53.0,,,27-28,,A. Jefferson misses free throw 2 of 2
0:52.0,Defensive rebound by J. Green,,27-28,,
0:33.0,Z. Randolph misses 2-pt shot from 16 ft,,27-28,,
0:30.0,Offensive rebound by J. Green,,27-28,,
0:28.0,J. Green misses 2-pt shot at rim (block by J. Lamb),,27-28,,
0:26.0,,,27-28,,Defensive rebound by J. Lamb
0:13.0,,,27-30,2,A. Jefferson makes 2-pt shot from 16 ft (assist by K. Walker)
0:05.0,,,27-30,,Personal foul by A. Jefferson (drawn by M. Chalmers)
0:05.0,M. Chalmers makes free throw 1 of 2,1,28-30,,
0:05.0,M. Conley enters the game for Z. Randolph,,28-30,,
0:05.0,M. Chalmers misses free throw 2 of 2,,28-30,,
0:04.0,,,28-30,,Defensive rebound by J. Lin
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by Z. Randolph (bad pass; steal by N. Batum),,28-30,,
11:43.0,,,28-32,2,N. Batum makes 2-pt shot from 1 ft
11:43.0,,,28-32,,Shooting foul by V. Carter (drawn by N. Batum)
11:43.0,,,28-33,1,N. Batum makes free throw 1 of 1
11:26.0,V. Carter misses 2-pt shot at rim,,28-33,,
11:25.0,Offensive rebound by J. Green,,28-33,,
11:24.0,J. Green makes 2-pt shot at rim,2,30-33,,
10:59.0,,,30-33,,J. Lamb misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by Z. Randolph,,30-33,,
10:51.0,V. Carter misses 2-pt shot from 17 ft,,30-33,,
10:48.0,,,30-33,,Defensive rebound by J. Lin
10:44.0,,,30-33,,Shooting foul by V. Carter (drawn by J. Lin)
10:44.0,,,30-33,,J. Lin misses free throw 1 of 2
10:44.0,,,30-33,,Offensive rebound by Team
10:44.0,M. Gasol enters the game for J. Green,,30-33,,
10:44.0,,,30-34,1,J. Lin makes free throw 2 of 2
10:28.0,T. Allen misses 2-pt shot from 2 ft (block by N. Batum),,30-34,,
10:25.0,Offensive rebound by Z. Randolph,,30-34,,
10:25.0,Z. Randolph misses 2-pt shot from 1 ft,,30-34,,
10:23.0,,,30-34,,Defensive rebound by A. Jefferson
10:15.0,,,30-37,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by J. Lin)
10:01.0,,,30-37,,Personal foul by F. Kaminsky (drawn by Z. Randolph)
9:56.0,Offensive foul by M. Chalmers,,30-37,,
9:56.0,Turnover by M. Chalmers (offensive foul),,30-37,,
9:47.0,,,30-37,,N. Batum misses 3-pt shot from 24 ft
9:45.0,Defensive rebound by T. Allen,,30-37,,
9:38.0,Z. Randolph misses 2-pt shot from 1 ft (block by A. Jefferson),,30-37,,
9:36.0,,,30-37,,Defensive rebound by A. Jefferson
9:28.0,,,30-40,3,N. Batum makes 3-pt shot from 25 ft (assist by J. Lin)
9:18.0,Memphis full timeout,,30-40,,
9:10.0,M. Gasol makes 2-pt shot from 8 ft (assist by V. Carter),2,32-40,,
8:58.0,,,32-40,,Offensive foul by F. Kaminsky
8:58.0,,,32-40,,Turnover by F. Kaminsky (offensive foul)
8:58.0,,,32-40,,M. Williams enters the game for F. Kaminsky
8:47.0,M. Gasol makes 2-pt shot from 18 ft (assist by M. Chalmers),2,34-40,,
8:24.0,,,34-40,,M. Williams misses 3-pt shot from 24 ft
8:23.0,Defensive rebound by T. Allen,,34-40,,
8:12.0,M. Gasol makes 2-pt shot from 8 ft,2,36-40,,
7:54.0,,,36-40,,A. Jefferson misses 2-pt shot from 2 ft
7:54.0,Defensive rebound by V. Carter,,36-40,,
7:47.0,M. Chalmers makes 2-pt shot at rim,2,38-40,,
7:44.0,,,38-40,,Charlotte full timeout
7:44.0,M. Barnes enters the game for V. Carter,,38-40,,
7:44.0,,,38-40,,C. Zeller enters the game for A. Jefferson
7:35.0,Personal foul by M. Barnes (drawn by N. Batum),,38-40,,
7:29.0,,,38-40,,N. Batum misses 3-pt shot from 24 ft (block by M. Barnes)
7:28.0,,,38-40,,Offensive rebound by N. Batum
7:18.0,,,38-42,2,M. Williams makes 2-pt shot from 10 ft (assist by N. Batum)
7:06.0,T. Allen makes 2-pt shot from 16 ft (assist by M. Chalmers),2,40-42,,
6:48.0,,,40-42,,J. Lin misses 2-pt shot from 1 ft
6:47.0,Defensive rebound by M. Gasol,,40-42,,
6:37.0,M. Gasol misses 2-pt shot from 10 ft,,40-42,,
6:35.0,Offensive rebound by Z. Randolph,,40-42,,
6:35.0,Z. Randolph misses 2-pt shot at rim,,40-42,,
6:31.0,,,40-42,,Defensive rebound by J. Lin
6:25.0,,,40-45,3,J. Lin makes 3-pt shot from 22 ft (assist by N. Batum)
6:14.0,Offensive foul by M. Gasol,,40-45,,
6:14.0,Turnover by M. Gasol (offensive foul),,40-45,,
6:14.0,M. Conley enters the game for M. Chalmers,,40-45,,
6:14.0,,,40-45,,K. Walker enters the game for J. Lin
5:58.0,,,40-45,,N. Batum misses 2-pt shot from 1 ft
5:56.0,,,40-45,,Offensive rebound by J. Lamb
5:54.0,,,40-45,,Shooting foul by T. Allen (drawn by M. Williams)
5:54.0,,,40-46,1,M. Williams makes free throw 1 of 2
5:54.0,,,40-47,1,M. Williams makes free throw 2 of 2
5:35.0,M. Gasol misses 2-pt shot from 5 ft (block by N. Batum),,40-47,,
5:35.0,Offensive rebound by Team,,40-47,,
5:35.0,J. Green enters the game for T. Allen,,40-47,,
5:31.0,M. Conley misses 2-pt shot from 19 ft,,40-47,,
5:30.0,,,40-47,,Defensive rebound by J. Lamb
5:22.0,,,40-47,,J. Lamb misses 3-pt shot from 23 ft
5:21.0,Defensive rebound by Z. Randolph,,40-47,,
5:12.0,Z. Randolph makes 2-pt shot at rim (assist by M. Gasol),2,42-47,,
5:02.0,Personal foul by Z. Randolph (drawn by M. Williams),,42-47,,
5:02.0,,,42-48,1,M. Williams makes free throw 1 of 2
5:02.0,,,42-49,1,M. Williams makes free throw 2 of 2
4:46.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,44-49,,
4:27.0,,,44-49,,C. Zeller misses 2-pt shot from 2 ft
4:26.0,Defensive rebound by J. Green,,44-49,,
4:25.0,,,44-49,,Violation by K. Walker (kicked ball)
4:25.0,,,44-49,,T. Hansbrough enters the game for C. Zeller
4:20.0,,,44-49,,Personal foul by T. Hansbrough (drawn by M. Gasol)
4:12.0,M. Gasol makes 2-pt shot from 8 ft (assist by M. Conley),2,46-49,,
4:03.0,,,46-49,,Offensive foul by M. Williams
4:03.0,,,46-49,,Turnover by M. Williams (offensive foul)
3:49.0,M. Gasol makes 2-pt shot from 10 ft (assist by M. Conley),2,48-49,,
3:29.0,,,48-49,,Offensive charge foul by T. Hansbrough
3:29.0,,,48-49,,Turnover by T. Hansbrough (offensive foul)
3:24.0,,,48-49,,P. Hairston enters the game for J. Lamb
3:20.0,,,48-49,,Personal foul by P. Hairston (drawn by J. Green)
3:18.0,,,48-49,,Personal foul by P. Hairston (drawn by J. Green)
3:18.0,,,48-49,,J. Lin enters the game for P. Hairston
3:09.0,,,48-49,,Personal foul by T. Hansbrough (drawn by M. Gasol)
3:09.0,M. Gasol misses free throw 1 of 2,,48-49,,
3:09.0,Offensive rebound by Team,,48-49,,
3:09.0,M. Gasol misses free throw 2 of 2,,48-49,,
3:07.0,Offensive rebound by Z. Randolph,,48-49,,
2:56.0,Z. Randolph misses 2-pt shot from 1 ft (block by M. Williams),,48-49,,
2:55.0,,,48-49,,Defensive rebound by K. Walker
2:50.0,,,48-49,,N. Batum misses 3-pt shot from 24 ft
2:49.0,Defensive rebound by M. Conley,,48-49,,
2:43.0,M. Barnes misses 3-pt shot from 24 ft,,48-49,,
2:43.0,Offensive rebound by Team,,48-49,,
2:43.0,Official timeout,,48-49,,
2:43.0,,,48-49,,F. Kaminsky enters the game for M. Williams
2:36.0,Turnover by M. Conley (bad pass; steal by F. Kaminsky),,48-49,,
2:33.0,,,48-51,2,N. Batum makes 2-pt shot from 1 ft (assist by T. Hansbrough)
2:24.0,Z. Randolph makes 2-pt shot from 2 ft,2,50-51,,
2:06.0,,,50-51,,K. Walker misses 3-pt shot from 25 ft
2:05.0,Defensive rebound by M. Barnes,,50-51,,
1:56.0,,,50-51,,Personal foul by F. Kaminsky (drawn by M. Gasol)
1:56.0,M. Gasol makes free throw 1 of 2,1,51-51,,
1:56.0,,,51-51,,P. Hairston enters the game for F. Kaminsky
1:56.0,M. Gasol makes free throw 2 of 2,1,52-51,,
1:40.0,,,52-53,2,P. Hairston makes 2-pt shot from 16 ft (assist by N. Batum)
1:31.0,,,52-53,,Personal foul by P. Hairston (drawn by Z. Randolph)
1:31.0,Z. Randolph misses free throw 1 of 2,,52-53,,
1:31.0,Offensive rebound by Team,,52-53,,
1:31.0,,,52-53,,A. Jefferson enters the game for P. Hairston
1:31.0,Z. Randolph misses free throw 2 of 2,,52-53,,
1:28.0,,,52-53,,Defensive rebound by N. Batum
1:19.0,,,52-53,,Turnover by K. Walker (bad pass; steal by M. Conley)
1:14.0,M. Conley misses 2-pt shot at rim,,52-53,,
1:11.0,Offensive rebound by M. Barnes,,52-53,,
1:11.0,M. Barnes misses 2-pt shot from 1 ft,,52-53,,
1:10.0,Offensive rebound by Z. Randolph,,52-53,,
1:10.0,Z. Randolph misses 2-pt shot at rim,,52-53,,
1:10.0,Offensive rebound by Team,,52-53,,
0:59.0,M. Gasol misses 2-pt shot from 19 ft,,52-53,,
0:57.0,Offensive rebound by Z. Randolph,,52-53,,
0:57.0,Z. Randolph misses 2-pt shot from 1 ft,,52-53,,
0:55.0,Offensive rebound by M. Barnes,,52-53,,
0:53.0,M. Barnes misses 2-pt shot at rim (block by J. Lin),,52-53,,
0:51.0,,,52-53,,Defensive rebound by T. Hansbrough
0:36.0,,,52-53,,A. Jefferson misses 2-pt shot from 18 ft
0:35.0,Defensive rebound by M. Conley,,52-53,,
0:25.0,M. Conley misses 2-pt shot from 1 ft,,52-53,,
0:25.0,Offensive rebound by Z. Randolph,,52-53,,
0:25.0,Shooting foul by A. Jefferson (drawn by Z. Randolph),,52-53,,
0:25.0,Z. Randolph misses free throw 1 of 2,,52-53,,
0:25.0,Offensive rebound by Team,,52-53,,
0:25.0,T. Allen enters the game for M. Gasol,,52-53,,
0:25.0,Z. Randolph makes free throw 2 of 2,1,53-53,,
0:02.0,,,53-53,,K. Walker misses 2-pt shot from 1 ft (block by M. Barnes)
0:01.0,,,53-53,,Offensive rebound by A. Jefferson
0:00.0,,,53-53,,A. Jefferson misses 2-pt shot from 1 ft
0:00.0,,,53-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,M. Gasol makes 2-pt shot from 14 ft,2,55-53,,
11:25.0,,,55-55,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
11:25.0,,,55-55,,Shooting foul by M. Conley (drawn by C. Zeller)
11:25.0,,,55-56,1,C. Zeller makes free throw 1 of 1
10:59.0,M. Barnes misses 3-pt shot from 24 ft,,55-56,,
10:57.0,,,55-56,,Defensive rebound by N. Batum
10:52.0,,,55-56,,Turnover by N. Batum (bad pass)
10:41.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,57-56,,
10:22.0,,,57-56,,M. Williams misses 3-pt shot from 24 ft
10:20.0,Defensive rebound by M. Barnes,,57-56,,
10:07.0,Turnover by M. Barnes (lost ball; steal by C. Zeller),,57-56,,
10:03.0,,,57-58,2,C. Zeller makes 2-pt shot at rim
10:03.0,,,57-58,,Shooting foul by M. Gasol (drawn by C. Zeller)
10:03.0,,,57-58,,F. Kaminsky enters the game for M. Williams
10:03.0,,,57-59,1,C. Zeller makes free throw 1 of 1
9:39.0,M. Conley misses 3-pt shot from 25 ft,,57-59,,
9:38.0,,,57-59,,Defensive rebound by N. Batum
9:30.0,,,57-62,3,N. Batum makes 3-pt shot from 25 ft
9:13.0,C. Lee misses 3-pt shot from 24 ft,,57-62,,
9:11.0,,,57-62,,Defensive rebound by C. Zeller
9:06.0,,,57-65,3,P. Hairston makes 3-pt shot from 24 ft (assist by N. Batum)
9:06.0,Memphis full timeout,,57-65,,
8:49.0,Turnover by M. Conley (bad pass; steal by P. Hairston),,57-65,,
8:45.0,Violation by M. Barnes (def goaltending),,57-65,,
8:45.0,,,57-67,2,K. Walker makes 2-pt shot from 1 ft (assist by P. Hairston)
8:28.0,M. Gasol misses 2-pt shot from 1 ft (block by F. Kaminsky),,57-67,,
8:26.0,,,57-67,,Defensive rebound by C. Zeller
8:20.0,,,57-67,,P. Hairston misses 3-pt shot from 25 ft
8:20.0,,,57-67,,Offensive rebound by C. Zeller
8:20.0,,,57-67,,C. Zeller misses 2-pt shot from 1 ft (block by M. Gasol)
8:20.0,,,57-67,,Offensive rebound by Team
8:15.0,,,57-67,,Shooting foul by J. Green (drawn by F. Kaminsky)
8:15.0,,,57-68,1,F. Kaminsky makes free throw 1 of 2
8:15.0,,,57-69,1,F. Kaminsky makes free throw 2 of 2
7:59.0,M. Conley makes 3-pt shot from 23 ft (assist by J. Green),3,60-69,,
7:40.0,,,60-69,,K. Walker misses 2-pt shot from 1 ft (block by M. Conley)
7:38.0,Defensive rebound by C. Lee,,60-69,,
7:31.0,C. Lee misses 2-pt shot from 1 ft,,60-69,,
7:30.0,,,60-69,,Defensive rebound by F. Kaminsky
7:15.0,,,60-69,,N. Batum misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by M. Gasol,,60-69,,
7:06.0,M. Conley makes 2-pt shot from 15 ft,2,62-69,,
6:44.0,,,62-69,,F. Kaminsky misses 2-pt shot from 11 ft
6:43.0,Defensive rebound by M. Conley,,62-69,,
6:30.0,Turnover by J. Green (bad pass; steal by P. Hairston),,62-69,,
6:25.0,,,62-71,2,N. Batum makes 2-pt shot at rim (assist by K. Walker)
5:58.0,M. Conley misses 3-pt shot from 25 ft,,62-71,,
5:57.0,,,62-71,,Defensive rebound by C. Zeller
5:49.0,Def 3 sec tech foul by J. Green,,62-71,,
5:49.0,,,62-72,1,N. Batum makes technical free throw
5:49.0,Z. Randolph enters the game for J. Green,,62-72,,
5:49.0,T. Allen enters the game for C. Lee,,62-72,,
5:39.0,,,62-72,,F. Kaminsky misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by Z. Randolph,,62-72,,
5:23.0,M. Gasol misses 2-pt shot from 9 ft,,62-72,,
5:19.0,Offensive rebound by T. Allen,,62-72,,
5:19.0,T. Allen makes 2-pt shot from 1 ft,2,64-72,,
5:05.0,,,64-72,,K. Walker misses 2-pt shot from 20 ft
5:04.0,Defensive rebound by M. Gasol,,64-72,,
4:47.0,Z. Randolph makes 2-pt shot from 1 ft (assist by T. Allen),2,66-72,,
4:32.0,,,66-72,,Turnover by N. Batum (bad pass; steal by M. Conley)
4:27.0,M. Barnes makes 2-pt shot at rim (assist by M. Conley),2,68-72,,
4:27.0,,,68-72,,Charlotte full timeout
4:27.0,,,68-72,,A. Jefferson enters the game for P. Hairston
4:27.0,,,68-72,,J. Lin enters the game for C. Zeller
4:27.0,,,68-72,,M. Williams enters the game for N. Batum
4:04.0,,,68-72,,K. Walker misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by M. Gasol,,68-72,,
3:46.0,M. Conley misses 2-pt shot from 6 ft,,68-72,,
3:44.0,,,68-72,,Defensive rebound by M. Williams
3:31.0,,,68-72,,A. Jefferson misses 2-pt shot from 10 ft
3:30.0,Defensive rebound by M. Barnes,,68-72,,
3:23.0,,,68-72,,Personal foul by A. Jefferson (drawn by M. Gasol)
3:08.0,M. Conley makes 2-pt shot at rim,2,70-72,,
2:52.0,Personal foul by T. Allen (drawn by J. Lin),,70-72,,
2:52.0,J. Green enters the game for M. Gasol,,70-72,,
2:52.0,M. Chalmers enters the game for M. Conley,,70-72,,
2:44.0,,,70-72,,J. Lin misses 2-pt shot from 9 ft
2:43.0,Defensive rebound by J. Green,,70-72,,
2:28.0,Z. Randolph misses 2-pt shot from 1 ft,,70-72,,
2:26.0,Offensive rebound by Z. Randolph,,70-72,,
2:23.0,Turnover by M. Barnes (bad pass; steal by J. Lin),,70-72,,
2:12.0,,,70-72,,Offensive charge foul by J. Lin
2:12.0,,,70-72,,Turnover by J. Lin (offensive foul)
2:12.0,C. Lee enters the game for M. Barnes,,70-72,,
1:55.0,Z. Randolph makes 2-pt shot from 2 ft,2,72-72,,
1:42.0,,,72-72,,J. Lin misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by M. Chalmers,,72-72,,
1:25.0,Z. Randolph makes 2-pt shot from 18 ft (assist by M. Chalmers),2,74-72,,
1:09.0,,,74-72,,Turnover by J. Lin (lost ball; steal by M. Chalmers)
1:05.0,Turnover by M. Chalmers (lost ball; steal by F. Kaminsky),,74-72,,
1:02.0,,,74-72,,Turnover by F. Kaminsky (lost ball; steal by C. Lee)
0:56.0,Turnover by M. Chalmers (bad pass; steal by K. Walker),,74-72,,
0:55.0,,,74-74,2,F. Kaminsky makes 2-pt shot from 1 ft
0:43.0,J. Green misses 2-pt shot from 18 ft,,74-74,,
0:43.0,Offensive rebound by Team,,74-74,,
0:43.0,,,74-74,,Loose ball foul by A. Jefferson (drawn by Z. Randolph)
0:43.0,,,74-74,,J. Lamb enters the game for F. Kaminsky
0:27.0,M. Chalmers misses 3-pt shot from 25 ft,,74-74,,
0:25.0,,,74-74,,Defensive rebound by J. Lamb
0:03.0,,,74-74,,J. Lamb misses 3-pt shot from 24 ft
0:03.0,,,74-74,,Offensive rebound by Team
0:03.0,,,74-74,,Turnover by Team (shot clock)
0:03.0,J. Green enters the game for T. Allen,,74-74,,
0:00.0,Z. Randolph misses 3-pt shot from 34 ft,,74-74,,
0:00.0,Offensive rebound by Team,,74-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,74-76,2,N. Batum makes 2-pt shot from 8 ft (assist by J. Lin)
11:27.0,Z. Randolph misses 2-pt shot from 1 ft (block by A. Jefferson),,74-76,,
11:26.0,,,74-76,,Defensive rebound by N. Batum
11:19.0,,,74-76,,Turnover by J. Lamb (bad pass; steal by Z. Randolph)
11:07.0,Shooting foul by A. Jefferson (drawn by J. Green),,74-76,,
11:07.0,J. Green makes free throw 1 of 2,1,75-76,,
11:07.0,J. Green makes free throw 2 of 2,1,76-76,,
10:41.0,,,76-76,,A. Jefferson misses 2-pt shot from 16 ft
10:41.0,,,76-76,,Offensive rebound by Team
10:41.0,,,76-76,,Turnover by Team (shot clock)
10:22.0,C. Lee makes 3-pt shot from 25 ft (assist by Z. Randolph),3,79-76,,
10:11.0,Personal foul by M. Chalmers (drawn by J. Lin),,79-76,,
10:03.0,,,79-76,,N. Batum misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by Z. Randolph,,79-76,,
9:47.0,J. Green misses 2-pt shot from 18 ft,,79-76,,
9:46.0,,,79-76,,Defensive rebound by M. Williams
9:39.0,,,79-76,,J. Lin misses 2-pt shot from 20 ft
9:38.0,Defensive rebound by J. Green,,79-76,,
9:20.0,C. Lee makes 2-pt shot from 2 ft,2,81-76,,
9:20.0,Shooting foul by J. Lamb (drawn by C. Lee),,81-76,,
9:20.0,,,81-76,,K. Walker enters the game for J. Lin
9:20.0,,,81-76,,F. Kaminsky enters the game for M. Williams
9:20.0,C. Lee misses free throw 1 of 1,,81-76,,
9:18.0,,,81-76,,Defensive rebound by K. Walker
9:04.0,,,81-76,,N. Batum misses 2-pt shot from 17 ft
9:03.0,Defensive rebound by J. Green,,81-76,,
8:44.0,C. Lee misses 3-pt shot from 25 ft,,81-76,,
8:43.0,,,81-76,,Defensive rebound by A. Jefferson
8:26.0,,,81-76,,A. Jefferson misses 2-pt shot from 15 ft
8:25.0,Defensive rebound by J. Green,,81-76,,
8:10.0,,,81-76,,Personal foul by A. Jefferson (drawn by M. Chalmers)
8:10.0,Official timeout,,81-76,,
8:10.0,,,81-76,,J. Lin enters the game for A. Jefferson
8:10.0,,,81-76,,C. Zeller enters the game for J. Lamb
8:00.0,T. Allen misses 2-pt shot at rim (block by C. Zeller),,81-76,,
7:58.0,,,81-76,,Defensive rebound by N. Batum
7:56.0,,,81-76,,Shooting foul by Z. Randolph (drawn by J. Lin)
7:56.0,,,81-77,1,J. Lin makes free throw 1 of 2
7:56.0,,,81-78,1,J. Lin makes free throw 2 of 2
7:44.0,Z. Randolph makes 2-pt shot at rim (assist by M. Chalmers),2,83-78,,
7:21.0,,,83-78,,Turnover by J. Lin (traveling)
7:07.0,Turnover by J. Green (offensive foul),,83-78,,
7:07.0,Offensive foul by J. Green,,83-78,,
6:56.0,Personal foul by T. Allen (drawn by F. Kaminsky),,83-78,,
6:56.0,M. Gasol enters the game for J. Green,,83-78,,
6:45.0,,,83-78,,F. Kaminsky misses 3-pt shot from 25 ft
6:42.0,,,83-78,,Offensive rebound by N. Batum
6:34.0,,,83-78,,Shooting foul by M. Gasol (drawn by F. Kaminsky)
6:34.0,,,83-79,1,F. Kaminsky makes free throw 1 of 2
6:34.0,,,83-80,1,F. Kaminsky makes free throw 2 of 2
6:18.0,M. Gasol misses 2-pt shot from 19 ft,,83-80,,
6:17.0,,,83-80,,Defensive rebound by K. Walker
6:07.0,,,83-83,3,J. Lin makes 3-pt shot from 24 ft (assist by K. Walker)
6:07.0,Memphis full timeout,,83-83,,
6:07.0,M. Conley enters the game for M. Chalmers,,83-83,,
5:46.0,Z. Randolph makes 2-pt shot from 17 ft,2,85-83,,
5:25.0,Jump ball: T. Allen vs. K. Walker (M. Gasol gains possession),,,,Jump ball: T. Allen vs. K. Walker (M. Gasol gains possession)
5:25.0,,,85-83,,Turnover by K. Walker (lost ball; steal by T. Allen)
5:07.0,M. Conley misses 3-pt shot from 25 ft,,85-83,,
5:06.0,,,85-83,,Defensive rebound by F. Kaminsky
4:47.0,,,85-83,,F. Kaminsky misses 2-pt shot from 2 ft
4:46.0,,,85-83,,Offensive rebound by C. Zeller
4:44.0,,,85-83,,Turnover by C. Zeller (bad pass; steal by M. Conley)
