time,Phoenix,pts.away,score,pts.home,Brooklyn
6:51.0,B. Knight misses 3-pt shot from 24 ft,,10-10,,
6:50.0,,,10-10,,Defensive rebound by T. Young
6:46.0,,,10-10,,Turnover by T. Young (lost ball; steal by A. Len)
6:44.0,A. Len makes 2-pt shot at rim,2,12-10,,
6:33.0,,,12-10,,Turnover by J. Jack (bad pass)
6:20.0,B. Knight makes 3-pt shot from 24 ft,3,15-10,,
6:14.0,,,15-10,,Brooklyn full timeout
6:01.0,,,15-10,,J. Jack misses 3-pt shot from 24 ft
6:00.0,,,15-10,,Offensive rebound by R. Hollis-Jefferson
5:57.0,,,15-12,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft
5:39.0,M. Morris misses 2-pt shot from 4 ft,,15-12,,
5:38.0,Offensive rebound by P. Tucker,,15-12,,
5:34.0,P. Tucker makes 2-pt shot from 1 ft,2,17-12,,
5:21.0,,,17-12,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
5:20.0,,,17-12,,Offensive rebound by R. Hollis-Jefferson
5:19.0,,,17-14,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft
4:58.0,P. Tucker makes 2-pt shot from 2 ft (assist by M. Morris),2,19-14,,
4:41.0,D. Booker enters the game for B. Knight,,19-14,,
4:32.0,,,19-14,,T. Young misses 2-pt shot from 17 ft
4:31.0,,,19-14,,Offensive rebound by Team
4:22.0,,,19-14,,T. Young misses 2-pt shot at rim
4:21.0,Defensive rebound by E. Bledsoe,,19-14,,
4:04.0,M. Morris misses 2-pt shot from 5 ft,,19-14,,
4:03.0,,,19-14,,Defensive rebound by J. Jack
3:55.0,,,19-14,,T. Young misses 2-pt shot from 2 ft (block by A. Len)
3:54.0,,,19-14,,Offensive rebound by Team
3:51.0,,,19-14,,Turnover by B. Lopez (offensive foul)
3:51.0,,,19-14,,Offensive foul by B. Lopez
3:41.0,Turnover by D. Booker (illegal screen),,19-14,,
3:24.0,,,19-14,,J. Johnson misses 3-pt shot from 26 ft
3:23.0,Defensive rebound by A. Len,,19-14,,
3:12.0,M. Morris misses 3-pt shot from 24 ft,,19-14,,
3:11.0,,,19-14,,Defensive rebound by J. Johnson
2:54.0,,,19-16,2,B. Lopez makes 2-pt shot from 10 ft
2:39.0,Phoenix full timeout,,19-16,,
2:39.0,J. Leuer enters the game for P. Tucker,,19-16,,
2:39.0,,,19-16,,B. Bogdanovic enters the game for J. Johnson
2:39.0,,,19-16,,T. Robinson enters the game for B. Lopez
2:39.0,T. Warren enters the game for M. Morris,,19-16,,
2:25.0,Turnover by A. Len (traveling),,19-16,,
2:25.0,,,19-16,,W. Ellington enters the game for R. Hollis-Jefferson
2:25.0,M. Teletovic enters the game for A. Len,,19-16,,
2:05.0,,,19-16,,Turnover by W. Ellington (bad pass; steal by T. Warren)
2:00.0,D. Booker misses 2-pt shot from 1 ft (block by T. Robinson),,19-16,,
1:58.0,,,19-16,,Defensive rebound by W. Ellington
1:45.0,,,19-18,2,W. Ellington makes 2-pt shot from 2 ft
1:29.0,Shooting foul by T. Robinson (drawn by E. Bledsoe),,19-18,,
1:29.0,E. Bledsoe misses free throw 1 of 2,,19-18,,
1:29.0,Offensive rebound by Team,,19-18,,
1:29.0,E. Bledsoe makes free throw 2 of 2,1,20-18,,
1:18.0,,,20-20,2,J. Jack makes 2-pt shot from 9 ft
1:06.0,J. Leuer misses 3-pt shot from 24 ft,,20-20,,
1:05.0,,,20-20,,Defensive rebound by B. Bogdanovic
0:57.0,,,20-22,2,T. Robinson makes 2-pt shot from 9 ft (assist by J. Jack)
0:48.0,M. Teletovic misses 3-pt shot from 24 ft,,20-22,,
0:47.0,,,20-22,,Defensive rebound by B. Bogdanovic
0:29.0,,,20-22,,Shooting foul by M. Teletovic (drawn by T. Young)
0:29.0,,,20-23,1,T. Young makes free throw 1 of 2
0:29.0,,,20-23,,S. Larkin enters the game for J. Jack
0:29.0,,,20-23,,T. Young misses free throw 2 of 2
0:28.0,,,20-23,,Offensive rebound by T. Robinson
0:25.0,,,20-25,2,T. Robinson makes 2-pt shot at rim
0:25.0,,,20-25,,Technical foul by T. Robinson
0:25.0,E. Bledsoe misses technical free throw,,20-25,,
0:25.0,Offensive rebound by Team,,20-25,,
0:01.0,E. Bledsoe misses 2-pt shot from 2 ft,,20-25,,
0:00.0,,,20-25,,Defensive rebound by T. Robinson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,20-25,,Def 3 sec tech foul by T. Robinson
11:45.0,B. Knight misses technical free throw,,20-25,,
11:45.0,Offensive rebound by Team,,20-25,,
11:33.0,D. Booker misses 2-pt shot from 19 ft,,20-25,,
11:32.0,,,20-25,,Defensive rebound by W. Ellington
11:24.0,,,20-27,2,W. Ellington makes 2-pt shot from 22 ft
11:03.0,T. Warren makes 2-pt shot from 8 ft,2,22-27,,
10:48.0,,,22-27,,Turnover by T. Young (bad pass; steal by T. Warren)
10:34.0,T. Warren makes 2-pt shot from 19 ft,2,24-27,,
10:08.0,,,24-27,,T. Young misses 2-pt shot from 2 ft
10:07.0,Defensive rebound by B. Knight,,24-27,,
10:00.0,M. Teletovic makes 3-pt shot from 23 ft (assist by B. Knight),3,27-27,,
9:44.0,,,27-29,2,S. Larkin makes 2-pt shot from 22 ft
9:32.0,B. Knight makes 2-pt shot from 1 ft,2,29-29,,
9:05.0,,,29-29,,T. Young misses 2-pt shot from 1 ft
9:04.0,Defensive rebound by M. Teletovic,,29-29,,
9:03.0,R. Price enters the game for D. Booker,,29-29,,
9:03.0,,,29-29,,J. Johnson enters the game for T. Young
8:52.0,B. Knight misses 3-pt shot from 26 ft,,29-29,,
8:51.0,,,29-29,,Defensive rebound by B. Bogdanovic
8:43.0,,,29-29,,B. Bogdanovic misses 2-pt shot from 1 ft
8:42.0,,,29-29,,Offensive rebound by T. Robinson
8:41.0,,,29-29,,T. Robinson misses 2-pt shot from 2 ft
8:40.0,Defensive rebound by T. Warren,,29-29,,
8:35.0,J. Leuer makes 2-pt shot at rim (assist by B. Knight),2,31-29,,
8:13.0,,,31-31,2,T. Robinson makes 2-pt shot at rim (assist by S. Larkin)
8:03.0,B. Knight makes 2-pt shot at rim,2,33-31,,
7:39.0,,,33-34,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by S. Larkin)
7:23.0,J. Leuer misses 2-pt shot from 8 ft (block by T. Robinson),,33-34,,
7:22.0,Offensive rebound by J. Leuer,,33-34,,
7:17.0,,,33-34,,Personal foul by J. Johnson (drawn by M. Teletovic)
7:17.0,Official timeout,,33-34,,
7:17.0,,,33-34,,B. Lopez enters the game for T. Robinson
7:17.0,P. Tucker enters the game for J. Leuer,,33-34,,
7:04.0,,,33-34,,Shooting block foul by W. Ellington (drawn by B. Knight)
7:04.0,B. Knight makes free throw 1 of 2,1,34-34,,
7:04.0,B. Knight misses free throw 2 of 2,,34-34,,
7:03.0,,,34-34,,Defensive rebound by B. Lopez
6:42.0,,,34-36,2,B. Lopez makes 2-pt shot from 6 ft
6:22.0,M. Teletovic misses 3-pt shot from 24 ft,,34-36,,
6:21.0,,,34-36,,Defensive rebound by S. Larkin
6:10.0,,,34-36,,B. Bogdanovic misses 3-pt shot from 22 ft
6:09.0,Defensive rebound by M. Teletovic,,34-36,,
5:54.0,T. Warren misses 2-pt shot from 6 ft,,34-36,,
5:53.0,Offensive rebound by T. Warren,,34-36,,
5:51.0,T. Warren misses 2-pt shot from 1 ft,,34-36,,
5:50.0,,,34-36,,Defensive rebound by B. Bogdanovic
5:44.0,,,34-38,2,B. Lopez makes 2-pt shot from 1 ft
5:44.0,,,34-38,,Shooting foul by M. Teletovic (drawn by B. Lopez)
5:44.0,,,34-38,,Brooklyn full timeout
5:44.0,A. Len enters the game for M. Teletovic,,34-38,,
5:44.0,,,34-38,,R. Hollis-Jefferson enters the game for B. Bogdanovic
5:44.0,,,34-38,,J. Jack enters the game for W. Ellington
5:44.0,,,34-38,,B. Lopez misses free throw 1 of 1
5:43.0,Defensive rebound by P. Tucker,,34-38,,
5:25.0,A. Len misses 2-pt shot from 4 ft,,34-38,,
5:24.0,,,34-38,,Defensive rebound by R. Hollis-Jefferson
5:10.0,,,34-40,2,B. Lopez makes 2-pt shot from 6 ft (assist by J. Johnson)
5:10.0,,,34-40,,Shooting foul by A. Len (drawn by B. Lopez)
5:10.0,M. Morris enters the game for T. Warren,,34-40,,
5:10.0,E. Bledsoe enters the game for R. Price,,34-40,,
5:10.0,,,34-41,1,B. Lopez makes free throw 1 of 1
4:52.0,A. Len makes 2-pt shot from 20 ft (assist by E. Bledsoe),2,36-41,,
4:40.0,,,36-41,,J. Jack misses 2-pt shot from 8 ft
4:39.0,Defensive rebound by B. Knight,,36-41,,
4:27.0,P. Tucker makes 3-pt shot from 22 ft (assist by M. Morris),3,39-41,,
3:57.0,,,39-41,,Turnover by J. Johnson (lost ball; steal by E. Bledsoe)
3:50.0,P. Tucker misses 3-pt shot from 22 ft,,39-41,,
3:49.0,,,39-41,,Defensive rebound by R. Hollis-Jefferson
3:44.0,,,39-43,2,B. Lopez makes 2-pt shot from 1 ft (assist by J. Jack)
3:29.0,Turnover by E. Bledsoe (lost ball; steal by S. Larkin),,39-43,,
3:23.0,,,39-45,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by J. Jack)
3:12.0,Shooting foul by S. Larkin (drawn by A. Len),,39-45,,
3:12.0,A. Len makes free throw 1 of 2,1,40-45,,
3:12.0,A. Len misses free throw 2 of 2,,40-45,,
3:11.0,,,40-45,,Defensive rebound by B. Lopez
2:53.0,,,40-47,2,J. Johnson makes 2-pt shot from 6 ft
2:36.0,B. Knight misses 3-pt shot from 24 ft,,40-47,,
2:35.0,,,40-47,,Defensive rebound by R. Hollis-Jefferson
2:31.0,,,40-47,,Offensive foul by R. Hollis-Jefferson
2:31.0,,,40-47,,Turnover by R. Hollis-Jefferson (offensive foul)
2:31.0,Phoenix full timeout,,40-47,,
2:31.0,,,40-47,,T. Young enters the game for R. Hollis-Jefferson
2:14.0,Offensive foul by M. Morris,,40-47,,
2:14.0,Turnover by M. Morris (offensive foul),,40-47,,
1:57.0,,,40-49,2,B. Lopez makes 2-pt shot at rim (assist by S. Larkin)
1:48.0,E. Bledsoe misses 3-pt shot from 24 ft,,40-49,,
1:47.0,,,40-49,,Defensive rebound by Team
1:31.0,,,40-51,2,J. Jack makes 2-pt shot from 1 ft
1:15.0,Turnover by E. Bledsoe (bad pass; steal by J. Jack),,40-51,,
1:03.0,,,40-51,,T. Young misses 2-pt shot from 6 ft
1:02.0,Defensive rebound by A. Len,,40-51,,
0:41.0,M. Morris misses 2-pt shot from 22 ft,,40-51,,
0:40.0,,,40-51,,Defensive rebound by B. Lopez
0:32.0,,,40-51,,T. Young misses 2-pt shot from 1 ft (block by A. Len)
0:31.0,Defensive rebound by B. Knight,,40-51,,
0:26.0,B. Knight makes 2-pt shot from 11 ft,2,42-51,,
0:06.0,,,42-51,,J. Johnson misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by B. Knight,,42-51,,
0:03.0,,,42-51,,Personal foul by S. Larkin (drawn by B. Knight)
0:03.0,Phoenix full timeout,,42-51,,
0:03.0,,,42-51,,M. Brown enters the game for S. Larkin
0:00.0,M. Morris misses 2-pt shot from 11 ft,,42-51,,
0:00.0,Offensive rebound by Team,,42-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,A. Len makes 2-pt shot at rim,2,44-51,,
11:31.0,,,44-51,,J. Johnson misses 3-pt shot from 24 ft
11:30.0,Defensive rebound by B. Knight,,44-51,,
11:24.0,B. Knight misses 2-pt shot at rim,,44-51,,
11:23.0,,,44-51,,Defensive rebound by J. Johnson
11:11.0,,,44-51,,B. Lopez misses 2-pt shot from 20 ft
11:10.0,Defensive rebound by B. Knight,,44-51,,
11:03.0,M. Morris misses 2-pt shot from 16 ft,,44-51,,
11:02.0,,,44-51,,Defensive rebound by R. Hollis-Jefferson
10:39.0,,,44-51,,J. Johnson misses 2-pt shot from 12 ft
10:38.0,Defensive rebound by A. Len,,44-51,,
10:30.0,Turnover by E. Bledsoe (bad pass; steal by J. Johnson),,44-51,,
10:15.0,Def 3 sec tech foul by E. Bledsoe,,44-51,,
10:15.0,,,44-52,1,J. Jack makes technical free throw
10:04.0,,,44-54,2,B. Lopez makes 2-pt shot from 16 ft (assist by J. Jack)
9:49.0,B. Knight makes 3-pt shot from 25 ft (assist by M. Morris),3,47-54,,
9:38.0,,,47-56,2,B. Lopez makes 2-pt shot from 21 ft (assist by J. Jack)
9:29.0,P. Tucker misses 3-pt shot from 22 ft,,47-56,,
9:27.0,,,47-56,,Defensive rebound by R. Hollis-Jefferson
9:10.0,,,47-56,,Turnover by J. Jack (bad pass; steal by P. Tucker)
9:01.0,B. Knight makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,50-56,,
8:43.0,,,50-56,,J. Jack misses 3-pt shot from 24 ft
8:42.0,,,50-56,,Offensive rebound by Team
8:17.0,,,50-56,,B. Lopez misses 2-pt shot from 14 ft
8:16.0,,,50-56,,Offensive rebound by Team
8:16.0,,,50-56,,Turnover by Team (shot clock)
8:02.0,Shooting foul by R. Hollis-Jefferson (drawn by B. Knight),,50-56,,
8:02.0,B. Knight makes free throw 1 of 2,1,51-56,,
8:02.0,B. Knight makes free throw 2 of 2,1,52-56,,
7:47.0,,,52-56,,J. Jack misses 2-pt shot from 5 ft
7:46.0,Defensive rebound by A. Len,,52-56,,
7:39.0,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe),2,54-56,,
7:38.0,,,54-56,,Brooklyn full timeout
7:22.0,,,54-56,,Turnover by R. Hollis-Jefferson (bad pass; steal by E. Bledsoe)
7:17.0,B. Knight makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,56-56,,
7:07.0,,,56-56,,J. Jack misses 2-pt shot from 19 ft
7:06.0,Defensive rebound by A. Len,,56-56,,
6:58.0,Shooting foul by R. Hollis-Jefferson (drawn by A. Len),,56-56,,
6:58.0,A. Len makes free throw 1 of 2,1,57-56,,
6:58.0,,,57-56,,B. Bogdanovic enters the game for R. Hollis-Jefferson
6:58.0,A. Len makes free throw 2 of 2,1,58-56,,
6:41.0,,,58-56,,J. Jack misses 2-pt shot from 7 ft
6:40.0,Defensive rebound by A. Len,,58-56,,
6:32.0,P. Tucker makes 2-pt shot from 2 ft (assist by B. Knight),2,60-56,,
6:17.0,,,60-56,,T. Young misses 2-pt shot from 17 ft
6:16.0,Defensive rebound by A. Len,,60-56,,
6:00.0,A. Len misses 2-pt shot from 9 ft,,60-56,,
5:59.0,Offensive rebound by E. Bledsoe,,60-56,,
5:51.0,,,60-56,,Personal foul by J. Jack (drawn by A. Len)
5:51.0,,,60-56,,S. Larkin enters the game for T. Young
5:49.0,Shooting foul by J. Jack (drawn by A. Len),,60-56,,
5:49.0,E. Bledsoe makes free throw 1 of 2,1,61-56,,
5:49.0,E. Bledsoe makes free throw 2 of 2,1,62-56,,
5:26.0,,,62-56,,B. Lopez misses 2-pt shot from 10 ft
5:25.0,Defensive rebound by B. Knight,,62-56,,
5:16.0,B. Knight misses 2-pt shot from 21 ft,,62-56,,
5:15.0,,,62-56,,Defensive rebound by B. Lopez
5:04.0,,,62-59,3,J. Johnson makes 3-pt shot from 22 ft (assist by S. Larkin)
4:46.0,E. Bledsoe misses 2-pt shot from 2 ft (block by S. Larkin),,62-59,,
4:45.0,,,62-59,,Defensive rebound by Team
4:45.0,R. Price enters the game for E. Bledsoe,,62-59,,
4:30.0,,,62-59,,Turnover by J. Johnson (bad pass; steal by A. Len)
4:11.0,Turnover by M. Morris (lost ball; steal by J. Johnson),,62-59,,
3:59.0,,,62-62,3,S. Larkin makes 3-pt shot from 24 ft (assist by J. Jack)
3:58.0,Phoenix full timeout,,62-62,,
3:44.0,M. Morris misses 2-pt shot from 7 ft,,62-62,,
3:43.0,,,62-62,,Defensive rebound by J. Jack
3:29.0,,,62-64,2,B. Lopez makes 2-pt shot at rim (assist by J. Jack)
3:11.0,B. Knight misses 2-pt shot from 21 ft,,62-64,,
3:10.0,,,62-64,,Defensive rebound by B. Bogdanovic
2:56.0,,,62-64,,J. Jack misses 2-pt shot from 14 ft
2:55.0,Defensive rebound by A. Len,,62-64,,
2:39.0,Turnover by B. Knight (bad pass; steal by J. Johnson),,62-64,,
2:33.0,,,62-66,2,B. Bogdanovic makes 2-pt shot from 13 ft (assist by J. Johnson)
2:15.0,Shooting foul by B. Lopez (drawn by A. Len),,62-66,,
2:15.0,A. Len makes free throw 1 of 2,1,63-66,,
2:15.0,,,63-66,,T. Robinson enters the game for B. Lopez
2:15.0,M. Teletovic enters the game for M. Morris,,63-66,,
2:15.0,E. Bledsoe enters the game for P. Tucker,,63-66,,
2:15.0,T. Warren enters the game for B. Knight,,63-66,,
2:15.0,A. Len makes free throw 2 of 2,1,64-66,,
2:02.0,,,64-66,,Shooting foul by E. Bledsoe (drawn by J. Jack)
2:02.0,,,64-67,1,J. Jack makes free throw 1 of 2
2:02.0,J. Leuer enters the game for A. Len,,64-67,,
2:02.0,,,64-68,1,J. Jack makes free throw 2 of 2
1:42.0,M. Teletovic makes 3-pt shot from 22 ft (assist by R. Price),3,67-68,,
1:33.0,,,67-68,,Turnover by J. Jack (lost ball; steal by E. Bledsoe)
1:32.0,,,67-68,,Personal foul by J. Jack (drawn by E. Bledsoe)
1:32.0,E. Bledsoe misses free throw 1 of 2,,67-68,,
1:32.0,Offensive rebound by Team,,67-68,,
1:32.0,,,67-68,,W. Ellington enters the game for J. Jack
1:32.0,E. Bledsoe misses free throw 2 of 2,,67-68,,
1:30.0,,,67-68,,Defensive rebound by B. Bogdanovic
1:15.0,,,67-70,2,B. Bogdanovic makes 2-pt shot from 2 ft
1:06.0,M. Teletovic makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,70-70,,
0:45.0,,,70-70,,S. Larkin misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by T. Warren,,70-70,,
0:34.0,M. Teletovic misses 3-pt shot from 24 ft,,70-70,,
0:33.0,,,70-70,,Defensive rebound by B. Bogdanovic
0:13.0,,,70-70,,S. Larkin misses 2-pt shot from 1 ft
0:11.0,Defensive rebound by M. Teletovic,,70-70,,
0:00.0,E. Bledsoe makes 3-pt shot from 25 ft,3,73-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,73-70,,T. Robinson misses 2-pt shot from 6 ft
11:44.0,Defensive rebound by R. Price,,73-70,,
11:37.0,T. Warren makes 2-pt shot from 12 ft (assist by R. Price),2,75-70,,
11:30.0,Personal foul by R. Price (drawn by S. Larkin),,75-70,,
11:14.0,,,75-70,,Turnover by W. Ellington (traveling)
11:02.0,M. Teletovic makes 3-pt shot from 23 ft (assist by R. Price),3,78-70,,
10:52.0,,,78-72,2,W. Ellington makes 2-pt shot from 1 ft (assist by S. Larkin)
10:41.0,E. Bledsoe makes 3-pt shot from 24 ft,3,81-72,,
10:31.0,Personal foul by T. Warren (drawn by B. Bogdanovic),,81-72,,
10:31.0,,,81-72,,B. Lopez enters the game for T. Robinson
10:23.0,,,81-74,2,B. Lopez makes 2-pt shot from 6 ft (assist by S. Larkin)
10:23.0,,,81-74,,Shooting foul by M. Teletovic (drawn by B. Lopez)
10:23.0,,,81-75,1,B. Lopez makes free throw 1 of 1
10:13.0,E. Bledsoe misses 2-pt shot from 2 ft,,81-75,,
10:12.0,,,81-75,,Defensive rebound by S. Larkin
10:05.0,,,81-75,,W. Ellington misses 3-pt shot from 23 ft
10:04.0,Defensive rebound by J. Leuer,,81-75,,
9:45.0,R. Price misses 3-pt shot from 26 ft,,81-75,,
9:44.0,Offensive rebound by Team,,81-75,,
9:44.0,,,81-75,,Loose ball foul by B. Bogdanovic (drawn by T. Warren)
9:44.0,A. Len enters the game for J. Leuer,,81-75,,
9:44.0,,,81-75,,R. Hollis-Jefferson enters the game for B. Bogdanovic
9:39.0,R. Price misses 3-pt shot from 23 ft,,81-75,,
9:38.0,,,81-75,,Defensive rebound by S. Larkin
9:20.0,,,81-75,,B. Lopez misses 2-pt shot from 11 ft
9:19.0,Defensive rebound by R. Price,,81-75,,
9:11.0,M. Teletovic misses 3-pt shot from 24 ft,,81-75,,
9:10.0,,,81-75,,Defensive rebound by S. Larkin
9:04.0,Personal foul by A. Len (drawn by B. Lopez),,81-75,,
8:57.0,,,81-75,,T. Young misses 2-pt shot from 5 ft (block by A. Len)
8:55.0,Defensive rebound by A. Len,,81-75,,
8:47.0,E. Bledsoe misses 3-pt shot from 25 ft,,81-75,,
8:46.0,,,81-75,,Defensive rebound by R. Hollis-Jefferson
8:37.0,,,81-78,3,W. Ellington makes 3-pt shot from 24 ft (assist by T. Young)
8:36.0,Phoenix full timeout,,81-78,,
8:36.0,B. Knight enters the game for R. Price,,81-78,,
8:22.0,T. Warren misses 2-pt shot from 5 ft (block by B. Lopez),,81-78,,
8:21.0,,,81-78,,Defensive rebound by R. Hollis-Jefferson
8:04.0,,,81-78,,B. Lopez misses 2-pt shot from 10 ft
8:02.0,Defensive rebound by A. Len,,81-78,,
7:49.0,Turnover by A. Len (lost ball; steal by S. Larkin),,81-78,,
7:33.0,,,81-78,,B. Lopez misses 2-pt shot from 12 ft
7:31.0,Defensive rebound by M. Teletovic,,81-78,,
7:18.0,A. Len makes 2-pt shot at rim (assist by E. Bledsoe),2,83-78,,
6:59.0,,,83-80,2,S. Larkin makes 2-pt shot from 20 ft
6:31.0,Turnover by E. Bledsoe (bad pass; steal by W. Ellington),,83-80,,
6:18.0,,,83-80,,W. Ellington misses 3-pt shot from 23 ft
6:17.0,Defensive rebound by Team,,83-80,,
6:17.0,R. Price enters the game for E. Bledsoe,,83-80,,
6:09.0,Offensive foul by A. Len,,83-80,,
6:09.0,Turnover by A. Len (offensive foul),,83-80,,
5:51.0,,,83-82,2,T. Young makes 2-pt shot at rim (assist by S. Larkin)
5:33.0,M. Teletovic misses 3-pt shot from 25 ft,,83-82,,
5:32.0,,,83-82,,Defensive rebound by Team
5:32.0,Official timeout,,83-82,,
5:17.0,,,83-84,2,S. Larkin makes 2-pt shot from 11 ft (assist by B. Lopez)
5:08.0,,,83-84,,Personal foul by S. Larkin (drawn by B. Knight)
5:08.0,E. Bledsoe enters the game for R. Price,,83-84,,
4:52.0,Shooting foul by R. Hollis-Jefferson (drawn by E. Bledsoe),,83-84,,
4:52.0,E. Bledsoe makes free throw 1 of 2,1,84-84,,
4:52.0,P. Tucker enters the game for T. Warren,,84-84,,
4:52.0,M. Morris enters the game for M. Teletovic,,84-84,,
4:52.0,,,84-84,,J. Johnson enters the game for R. Hollis-Jefferson
4:52.0,E. Bledsoe makes free throw 2 of 2,1,85-84,,
4:35.0,,,85-84,,Shooting foul by E. Bledsoe (drawn by T. Young)
4:35.0,,,85-84,,T. Young misses free throw 1 of 2
4:35.0,,,85-84,,Offensive rebound by Team
4:35.0,,,85-85,1,T. Young makes free throw 2 of 2
4:17.0,B. Knight misses 3-pt shot from 25 ft,,85-85,,
4:16.0,,,85-85,,Defensive rebound by T. Young
4:08.0,,,85-87,2,S. Larkin makes 2-pt shot from 1 ft
3:42.0,Turnover by E. Bledsoe (lost ball; steal by W. Ellington),,85-87,,
3:39.0,,,85-89,2,W. Ellington makes 2-pt shot from 1 ft
3:39.0,Phoenix full timeout,,85-89,,
3:15.0,B. Knight misses 2-pt shot from 17 ft,,85-89,,
3:14.0,,,85-89,,Defensive rebound by S. Larkin
2:54.0,,,85-89,,Shooting foul by M. Morris (drawn by B. Lopez)
2:54.0,,,85-89,,Brooklyn full timeout
2:54.0,,,85-90,1,B. Lopez makes free throw 1 of 2
2:54.0,,,85-90,,B. Lopez misses free throw 2 of 2
2:53.0,Defensive rebound by P. Tucker,,85-90,,
2:37.0,,,85-90,,Personal foul by B. Lopez (drawn by P. Tucker)
2:27.0,,,85-90,,Personal foul by T. Young (drawn by B. Knight)
2:27.0,B. Knight makes free throw 1 of 2,1,86-90,,
2:27.0,B. Knight makes free throw 2 of 2,1,87-90,,
2:03.0,,,87-90,,S. Larkin misses 2-pt shot from 17 ft
2:02.0,Defensive rebound by A. Len,,87-90,,
1:52.0,Turnover by M. Morris (offensive foul),,87-90,,
1:52.0,Offensive charge foul by M. Morris,,87-90,,
1:52.0,,,87-90,,J. Jack enters the game for W. Ellington
1:38.0,,,87-92,2,J. Johnson makes 2-pt shot from 15 ft
1:23.0,E. Bledsoe makes 2-pt shot from 17 ft,2,89-92,,
1:03.0,,,89-94,2,T. Young makes 2-pt shot from 16 ft (assist by S. Larkin)
1:03.0,Phoenix full timeout,,89-94,,
1:03.0,M. Teletovic enters the game for M. Morris,,89-94,,
0:59.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by P. Tucker),2,91-94,,
0:43.0,,,91-94,,S. Larkin misses 2-pt shot from 6 ft
0:42.0,,,91-94,,Offensive rebound by B. Lopez
0:41.0,,,91-94,,B. Lopez misses 2-pt shot from 1 ft
0:40.0,Defensive rebound by A. Len,,91-94,,
0:30.0,A. Len misses 2-pt shot from 2 ft,,91-94,,
0:29.0,,,91-94,,Defensive rebound by J. Jack
