time,Indiana,pts.away,score,pts.home,Dallas
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,26-26,3,D. Nowitzki makes 3-pt shot from 22 ft (assist by D. Harris)
11:19.0,R. Stuckey makes 3-pt shot from 24 ft,3,29-26,,
10:59.0,,,29-28,2,D. Lee makes 2-pt shot from 9 ft (assist by D. Nowitzki)
10:54.0,,,29-28,,Personal foul by R. Felton
10:38.0,C. Miles misses 3-pt shot from 23 ft,,29-28,,
10:37.0,,,29-28,,Defensive rebound by D. Lee
10:28.0,,,29-28,,Shooting foul by L. Allen (drawn by D. Nowitzki)
10:28.0,,,29-29,1,D. Nowitzki makes free throw 1 of 2
10:28.0,,,29-30,1,D. Nowitzki makes free throw 2 of 2
10:17.0,J. Hill makes 2-pt shot at rim (assist by L. Allen),2,31-30,,
10:17.0,Shooting foul by D. Lee (drawn by J. Hill),,31-30,,
10:17.0,J. Hill makes free throw 1 of 1,1,32-30,,
10:09.0,,,32-32,2,J. Barea makes 2-pt shot from 4 ft
9:50.0,R. Stuckey misses 2-pt shot from 7 ft,,32-32,,
9:48.0,,,32-32,,Defensive rebound by D. Lee
9:45.0,,,32-32,,D. Harris misses 2-pt shot at rim
9:43.0,,,32-32,,Offensive rebound by D. Lee
9:43.0,,,32-34,2,D. Lee makes 2-pt shot at rim
9:38.0,Indiana full timeout,,32-34,,
9:29.0,C. Miles misses 3-pt shot from 24 ft,,32-34,,
9:27.0,,,32-34,,Defensive rebound by J. Barea
9:16.0,,,32-34,,R. Felton misses 2-pt shot from 10 ft
9:15.0,Defensive rebound by L. Allen,,32-34,,
9:01.0,C. Miles makes 3-pt shot from 23 ft (assist by G. Hill),3,35-34,,
8:48.0,Personal foul by L. Allen,,35-34,,
8:48.0,,,35-34,,C. Parsons enters the game for D. Nowitzki
8:48.0,M. Turner enters the game for L. Allen,,35-34,,
8:34.0,,,35-34,,R. Felton misses 2-pt shot from 15 ft (block by R. Stuckey)
8:34.0,,,35-34,,Offensive rebound by Team
8:34.0,,,35-34,,Turnover by Team (shot clock)
8:22.0,Shooting foul by D. Harris (drawn by J. Hill),,35-34,,
8:22.0,J. Hill makes free throw 1 of 2,1,36-34,,
8:22.0,,,36-34,,D. Williams enters the game for D. Lee
8:22.0,,,36-34,,Z. Pachulia enters the game for R. Felton
8:22.0,,,36-34,,W. Matthews enters the game for D. Harris
8:22.0,J. Hill makes free throw 2 of 2,1,37-34,,
8:04.0,,,37-34,,Turnover by J. Barea (lost ball; steal by J. Hill)
7:55.0,Turnover by G. Hill (bad pass),,37-34,,
7:43.0,Personal foul by M. Turner,,37-34,,
7:43.0,S. Hill enters the game for M. Turner,,37-34,,
7:32.0,,,37-34,,Z. Pachulia misses 2-pt shot at rim
7:32.0,,,37-34,,Offensive rebound by Z. Pachulia
7:32.0,,,37-34,,Z. Pachulia misses 2-pt shot at rim (block by C. Miles)
7:32.0,,,37-34,,Offensive rebound by Team
7:29.0,,,37-36,2,C. Parsons makes 2-pt shot at rim (assist by D. Williams)
7:10.0,J. Hill makes 2-pt shot from 2 ft (assist by S. Hill),2,39-36,,
7:00.0,Def 3 sec tech foul by S. Hill,,39-36,,
7:00.0,,,39-37,1,D. Williams makes technical free throw
6:54.0,,,39-40,3,D. Williams makes 3-pt shot from 24 ft (assist by C. Parsons)
6:40.0,Turnover by C. Miles (lost ball; steal by D. Williams),,39-40,,
6:34.0,,,39-40,,D. Williams misses 2-pt shot at rim
6:33.0,,,39-40,,Offensive rebound by Z. Pachulia
6:32.0,,,39-42,2,Z. Pachulia makes 2-pt shot from 1 ft
6:16.0,C. Miles misses 2-pt shot from 6 ft,,39-42,,
6:15.0,,,39-42,,Defensive rebound by C. Parsons
6:09.0,,,39-42,,C. Parsons misses 3-pt shot from 24 ft
6:07.0,,,39-42,,Offensive rebound by Z. Pachulia
6:06.0,,,39-42,,Z. Pachulia misses 2-pt shot at rim
6:05.0,,,39-42,,Offensive rebound by J. Barea
5:49.0,,,39-42,,J. Barea misses 2-pt shot from 18 ft
5:48.0,Defensive rebound by S. Hill,,39-42,,
5:31.0,J. Hill makes 2-pt shot from 14 ft,2,41-42,,
5:30.0,,,41-42,,Dallas full timeout
5:30.0,,,41-42,,D. Harris enters the game for J. Barea
5:30.0,M. Ellis enters the game for G. Hill,,41-42,,
5:30.0,I. Mahinmi enters the game for J. Hill,,41-42,,
5:30.0,P. George enters the game for C. Miles,,41-42,,
5:23.0,,,41-42,,Turnover by D. Williams (lost ball; steal by P. George)
5:18.0,S. Hill makes 2-pt shot from 1 ft (assist by M. Ellis),2,43-42,,
4:58.0,,,43-42,,Z. Pachulia misses 2-pt shot from 14 ft
4:57.0,Defensive rebound by S. Hill,,43-42,,
4:39.0,I. Mahinmi misses 2-pt shot from 4 ft,,43-42,,
4:38.0,,,43-42,,Defensive rebound by Z. Pachulia
4:18.0,,,43-42,,D. Harris misses 3-pt shot from 24 ft
4:17.0,Defensive rebound by S. Hill,,43-42,,
3:59.0,I. Mahinmi makes 2-pt shot from 6 ft (assist by M. Ellis),2,45-42,,
3:52.0,,,45-42,,Dallas full timeout
3:52.0,,,45-42,,D. Nowitzki enters the game for D. Harris
3:52.0,M. Turner enters the game for S. Hill,,45-42,,
3:41.0,,,45-42,,C. Parsons misses 2-pt shot from 2 ft (block by M. Turner)
3:40.0,Defensive rebound by M. Turner,,45-42,,
3:33.0,I. Mahinmi makes 2-pt shot at rim (assist by R. Stuckey),2,47-42,,
3:16.0,,,47-42,,Turnover by D. Williams (lost ball; steal by M. Ellis)
3:10.0,P. George misses 3-pt shot from 24 ft,,47-42,,
3:10.0,,,47-42,,Defensive rebound by Z. Pachulia
2:56.0,Official timeout,,47-42,,
2:56.0,,,47-42,,D. Lee enters the game for Z. Pachulia
2:52.0,,,47-45,3,D. Williams makes 3-pt shot from 22 ft (assist by C. Parsons)
2:32.0,Turnover by M. Ellis (lost ball; steal by D. Williams),,47-45,,
2:16.0,,,47-47,2,D. Nowitzki makes 2-pt shot from 12 ft (assist by C. Parsons)
2:09.0,,,47-47,,Personal foul by D. Williams
2:09.0,G. Hill enters the game for R. Stuckey,,47-47,,
2:04.0,M. Ellis makes 2-pt shot from 6 ft,2,49-47,,
2:04.0,Shooting foul by D. Lee (drawn by M. Ellis),,49-47,,
2:04.0,M. Ellis makes free throw 1 of 1,1,50-47,,
1:42.0,,,50-47,,C. Parsons misses 2-pt shot from 17 ft
1:41.0,Defensive rebound by Team,,50-47,,
1:19.0,M. Ellis misses 3-pt shot from 23 ft,,50-47,,
1:18.0,,,50-47,,Defensive rebound by W. Matthews
1:06.0,,,50-47,,D. Williams misses 3-pt shot from 24 ft
1:05.0,Defensive rebound by I. Mahinmi,,50-47,,
0:56.0,M. Turner makes 3-pt shot from 25 ft (assist by P. George),3,53-47,,
0:38.0,,,53-49,2,D. Nowitzki makes 2-pt shot from 14 ft (assist by W. Matthews)
0:23.0,G. Hill misses 3-pt shot from 22 ft,,53-49,,
0:22.0,,,53-49,,Defensive rebound by W. Matthews
0:06.0,Personal take foul by G. Hill,,53-49,,
0:06.0,Inbound foul by I. Mahinmi,,53-49,,
0:06.0,,,53-50,1,D. Nowitzki makes free throw 1 of 2
0:06.0,Indiana full timeout,,53-50,,
0:06.0,,,53-50,,D. Harris enters the game for D. Lee
0:06.0,J. Hill enters the game for I. Mahinmi,,53-50,,
0:06.0,,,53-51,1,D. Nowitzki makes free throw 2 of 2
0:01.0,M. Ellis makes 2-pt shot at rim,2,55-51,,
0:00.0,,,55-51,,D. Harris misses 3-pt shot from 73 ft
0:00.0,,,55-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,55-53,2,W. Matthews makes 2-pt shot from 16 ft (assist by D. Williams)
11:31.0,Offensive foul by M. Turner,,55-53,,
11:31.0,Turnover by M. Turner (offensive foul),,55-53,,
11:15.0,,,55-55,2,W. Matthews makes 2-pt shot from 12 ft
10:56.0,P. George misses 2-pt shot from 9 ft,,55-55,,
10:55.0,Offensive rebound by M. Turner,,55-55,,
10:55.0,M. Turner makes 2-pt shot at rim,2,57-55,,
10:32.0,,,57-57,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Williams)
10:21.0,Turnover by G. Hill (lost ball; steal by D. Nowitzki),,57-57,,
10:13.0,,,57-57,,D. Nowitzki misses 3-pt shot from 23 ft
10:12.0,Defensive rebound by P. George,,57-57,,
10:04.0,M. Turner misses 2-pt shot from 12 ft,,57-57,,
10:03.0,,,57-57,,Defensive rebound by Z. Pachulia
9:48.0,,,57-57,,Turnover by D. Williams (lost ball; steal by G. Hill)
9:43.0,P. George makes 2-pt shot from 1 ft (assist by M. Ellis),2,59-57,,
9:25.0,,,59-57,,C. Parsons misses 2-pt shot from 2 ft
9:24.0,Defensive rebound by I. Mahinmi,,59-57,,
9:19.0,Shooting foul by D. Nowitzki (drawn by G. Hill),,59-57,,
9:19.0,G. Hill makes free throw 1 of 2,1,60-57,,
9:19.0,G. Hill makes free throw 2 of 2,1,61-57,,
9:05.0,,,61-57,,W. Matthews misses 3-pt shot from 23 ft
9:03.0,Defensive rebound by M. Turner,,61-57,,
8:56.0,G. Hill misses 3-pt shot from 23 ft,,61-57,,
8:54.0,,,61-57,,Defensive rebound by D. Williams
8:44.0,,,61-59,2,C. Parsons makes 2-pt shot at rim (assist by Z. Pachulia)
8:24.0,M. Turner misses 2-pt shot from 18 ft,,61-59,,
8:23.0,Offensive rebound by P. George,,61-59,,
8:17.0,P. George makes 3-pt shot from 22 ft (assist by G. Hill),3,64-59,,
8:06.0,,,64-61,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Williams)
7:52.0,P. George makes 3-pt shot from 24 ft (assist by G. Hill),3,67-61,,
7:52.0,,,67-61,,Dallas full timeout
7:34.0,,,67-61,,Turnover by D. Williams (back court)
7:15.0,M. Turner makes 2-pt shot from 21 ft (assist by P. George),2,69-61,,
6:50.0,,,69-61,,Shooting foul by G. Hill (drawn by D. Williams)
6:50.0,,,69-62,1,D. Williams makes free throw 1 of 3
6:50.0,,,69-62,,D. Williams misses free throw 2 of 3
6:50.0,,,69-62,,Offensive rebound by Team
6:50.0,,,69-62,,D. Lee enters the game for Z. Pachulia
6:50.0,,,69-63,1,D. Williams makes free throw 3 of 3
6:44.0,Turnover by M. Ellis (lost ball; steal by W. Matthews),,69-63,,
6:39.0,,,69-65,2,D. Lee makes 2-pt shot at rim (assist by W. Matthews)
6:38.0,Indiana full timeout,,69-65,,
6:24.0,M. Turner misses 2-pt shot from 20 ft,,69-65,,
6:23.0,,,69-65,,Defensive rebound by W. Matthews
6:05.0,,,69-65,,W. Matthews misses 2-pt shot from 4 ft (block by I. Mahinmi)
6:05.0,,,69-65,,Offensive rebound by Team
6:02.0,,,69-65,,D. Williams misses 2-pt shot from 12 ft
6:01.0,Defensive rebound by M. Turner,,69-65,,
5:54.0,,,69-65,,Violation by D. Nowitzki (kicked ball)
5:54.0,,,69-65,,R. Felton enters the game for D. Nowitzki
5:47.0,G. Hill misses 3-pt shot from 24 ft,,69-65,,
5:46.0,,,69-65,,Defensive rebound by R. Felton
5:23.0,,,69-65,,Turnover by D. Williams (lost ball; steal by M. Ellis)
5:21.0,M. Ellis makes 2-pt shot from 2 ft,2,71-65,,
5:21.0,Shooting foul by C. Parsons (drawn by M. Ellis),,71-65,,
5:21.0,S. Hill enters the game for M. Turner,,71-65,,
5:21.0,M. Ellis makes free throw 1 of 1,1,72-65,,
5:12.0,Personal foul by S. Hill,,72-65,,
5:03.0,Personal foul by M. Ellis,,72-65,,
4:57.0,,,72-67,2,R. Felton makes 2-pt shot at rim
4:43.0,Shooting foul by C. Parsons (drawn by I. Mahinmi),,72-67,,
4:43.0,I. Mahinmi makes free throw 1 of 2,1,73-67,,
4:43.0,I. Mahinmi makes free throw 2 of 2,1,74-67,,
4:19.0,,,74-69,2,W. Matthews makes 2-pt shot from 15 ft (assist by D. Williams)
4:08.0,,,74-69,,Personal foul by D. Lee
4:08.0,R. Stuckey enters the game for G. Hill,,74-69,,
3:59.0,P. George misses 3-pt shot from 23 ft,,74-69,,
3:58.0,,,74-69,,Defensive rebound by D. Lee
3:58.0,Loose ball foul by S. Hill,,74-69,,
3:46.0,,,74-69,,D. Williams misses 3-pt shot from 24 ft
3:45.0,Defensive rebound by S. Hill,,74-69,,
3:37.0,Turnover by P. George (lost ball; steal by C. Parsons),,74-69,,
3:30.0,,,74-69,,Turnover by W. Matthews (lost ball)
3:27.0,Offensive charge foul by R. Stuckey,,74-69,,
3:27.0,Turnover by R. Stuckey (offensive foul),,74-69,,
3:09.0,,,74-69,,Turnover by D. Lee (lost ball; steal by P. George)
2:56.0,,,74-69,,Shooting block foul by D. Williams (drawn by R. Stuckey)
2:56.0,R. Stuckey makes free throw 1 of 2,1,75-69,,
2:56.0,,,75-69,,D. Harris enters the game for C. Parsons
2:56.0,,,75-69,,D. Nowitzki enters the game for W. Matthews
2:56.0,,,75-69,,J. Barea enters the game for D. Williams
2:56.0,L. Allen enters the game for S. Hill,,75-69,,
2:56.0,R. Stuckey makes free throw 2 of 2,1,76-69,,
2:49.0,,,76-69,,Shooting foul by I. Mahinmi (drawn by D. Harris)
2:49.0,,,76-69,,D. Harris misses free throw 1 of 2
2:49.0,,,76-69,,Offensive rebound by Team
2:49.0,,,76-70,1,D. Harris makes free throw 2 of 2
2:32.0,M. Ellis makes 2-pt shot from 15 ft (assist by P. George),2,78-70,,
2:20.0,,,78-70,,J. Barea misses 3-pt shot from 22 ft
2:19.0,Defensive rebound by P. George,,78-70,,
2:12.0,Shooting foul by R. Felton (drawn by P. George),,78-70,,
2:12.0,P. George makes free throw 1 of 2,1,79-70,,
2:12.0,J. Hill enters the game for I. Mahinmi,,79-70,,
2:12.0,P. George makes free throw 2 of 2,1,80-70,,
2:01.0,,,80-70,,D. Harris misses 3-pt shot from 23 ft
2:00.0,Defensive rebound by L. Allen,,80-70,,
1:41.0,M. Ellis misses 3-pt shot from 24 ft,,80-70,,
1:41.0,,,80-70,,Defensive rebound by D. Harris
1:29.0,,,80-70,,D. Nowitzki misses 2-pt shot from 11 ft
1:28.0,Defensive rebound by J. Hill,,80-70,,
1:15.0,L. Allen misses 2-pt shot from 6 ft,,80-70,,
1:14.0,,,80-70,,Defensive rebound by D. Nowitzki
1:13.0,Personal foul by P. George,,80-70,,
1:13.0,,,80-71,1,D. Harris makes free throw 1 of 2
1:13.0,,,80-71,,C. Parsons enters the game for D. Lee
1:13.0,,,80-72,1,D. Harris makes free throw 2 of 2
0:50.0,P. George misses 2-pt shot from 13 ft,,80-72,,
0:49.0,Offensive rebound by L. Allen,,80-72,,
0:46.0,P. George makes 3-pt shot from 25 ft (assist by L. Allen),3,83-72,,
0:32.0,,,83-75,3,C. Parsons makes 3-pt shot from 25 ft (assist by J. Barea)
0:11.0,R. Stuckey misses 2-pt shot from 15 ft,,83-75,,
0:10.0,,,83-75,,Defensive rebound by D. Nowitzki
0:03.0,,,83-75,,Turnover by J. Barea (lost ball; steal by R. Stuckey)
0:01.0,P. George misses 2-pt shot from 3 ft,,83-75,,
0:00.0,Offensive rebound by Team,,83-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,S. Hill misses 2-pt shot from 9 ft,,83-75,,
11:36.0,,,83-75,,Defensive rebound by C. Parsons
11:22.0,Personal foul by C. Miles,,83-75,,
11:11.0,,,83-77,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by J. Barea)
10:53.0,,,83-77,,Personal foul by R. Felton
10:43.0,G. Hill misses 2-pt shot from 17 ft,,83-77,,
10:42.0,Offensive rebound by J. Hill,,83-77,,
10:39.0,J. Hill misses 2-pt shot from 8 ft,,83-77,,
10:37.0,,,83-77,,Defensive rebound by D. Nowitzki
10:17.0,,,83-80,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea)
9:51.0,Shooting foul by R. Felton (drawn by R. Stuckey),,83-80,,
9:51.0,R. Stuckey makes free throw 1 of 3,1,84-80,,
9:51.0,R. Stuckey makes free throw 2 of 3,1,85-80,,
9:51.0,R. Stuckey makes free throw 3 of 3,1,86-80,,
9:42.0,Personal foul by G. Hill,,86-80,,
9:34.0,,,86-80,,D. Nowitzki misses 3-pt shot from 24 ft
9:34.0,Defensive rebound by R. Stuckey,,86-80,,
9:22.0,Turnover by J. Hill (lost ball; steal by D. Nowitzki),,86-80,,
9:18.0,,,86-80,,Turnover by C. Parsons (lost ball)
9:01.0,C. Miles misses 3-pt shot from 26 ft,,86-80,,
9:00.0,Offensive rebound by J. Hill,,86-80,,
8:42.0,Offensive foul by J. Hill,,86-80,,
8:42.0,Turnover by J. Hill (offensive foul),,86-80,,
8:42.0,Official timeout,,86-80,,
8:42.0,,,86-80,,W. Matthews enters the game for R. Felton
8:36.0,Personal foul by J. Hill,,86-80,,
8:25.0,,,86-82,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by W. Matthews)
8:01.0,Offensive foul by R. Stuckey,,86-82,,
8:01.0,Turnover by R. Stuckey (offensive foul),,86-82,,
7:42.0,,,86-84,2,D. Harris makes 2-pt shot from 13 ft (assist by J. Barea)
7:21.0,R. Stuckey makes 2-pt shot from 2 ft (assist by J. Hill),2,88-84,,
7:10.0,,,88-86,2,J. Barea makes 2-pt shot from 1 ft
7:01.0,Indiana full timeout,,88-86,,
7:01.0,,,88-86,,D. Lee enters the game for D. Nowitzki
7:01.0,M. Ellis enters the game for G. Hill,,88-86,,
7:01.0,P. George enters the game for J. Hill,,88-86,,
7:01.0,I. Mahinmi enters the game for C. Miles,,88-86,,
6:48.0,M. Ellis misses 3-pt shot from 22 ft,,88-86,,
6:47.0,,,88-86,,Defensive rebound by J. Barea
6:38.0,,,88-86,,D. Lee misses 2-pt shot from 1 ft
6:37.0,Defensive rebound by S. Hill,,88-86,,
6:37.0,,,88-86,,Loose ball foul by D. Lee
6:21.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by R. Stuckey),2,90-86,,
6:06.0,,,90-86,,Turnover by D. Harris (lost ball; steal by I. Mahinmi)
6:02.0,Turnover by R. Stuckey (lost ball; steal by W. Matthews),,90-86,,
5:56.0,,,90-89,3,W. Matthews makes 3-pt shot from 24 ft
5:46.0,Shooting foul by D. Harris (drawn by P. George),,90-89,,
5:46.0,P. George makes free throw 1 of 2,1,91-89,,
5:46.0,G. Hill enters the game for R. Stuckey,,91-89,,
5:46.0,P. George makes free throw 2 of 2,1,92-89,,
5:31.0,,,92-91,2,J. Barea makes 2-pt shot from 6 ft
5:14.0,G. Hill makes 3-pt shot from 23 ft (assist by S. Hill),3,95-91,,
5:13.0,,,95-91,,Dallas full timeout
5:13.0,,,95-91,,D. Williams enters the game for D. Lee
5:13.0,,,95-91,,D. Nowitzki enters the game for D. Harris
5:02.0,,,95-93,2,W. Matthews makes 2-pt shot from 2 ft
4:45.0,G. Hill makes 3-pt shot from 24 ft (assist by P. George),3,98-93,,
4:27.0,,,98-93,,W. Matthews misses 3-pt shot from 23 ft
4:25.0,Defensive rebound by G. Hill,,98-93,,
4:09.0,P. George makes 2-pt shot from 1 ft (assist by M. Ellis),2,100-93,,
3:46.0,,,100-93,,Shooting foul by I. Mahinmi (drawn by D. Nowitzki)
3:46.0,,,100-94,1,D. Nowitzki makes free throw 1 of 2
3:46.0,,,100-95,1,D. Nowitzki makes free throw 2 of 2
3:24.0,I. Mahinmi misses 2-pt shot from 2 ft,,100-95,,
3:23.0,,,100-95,,Defensive rebound by C. Parsons
3:19.0,,,100-97,2,J. Barea makes 2-pt shot at rim (assist by C. Parsons)
2:55.0,G. Hill makes 3-pt shot from 22 ft (assist by M. Ellis),3,103-97,,
2:40.0,,,103-99,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Williams)
2:28.0,M. Ellis makes 2-pt shot from 2 ft,2,105-99,,
2:28.0,Shooting foul by D. Williams (drawn by M. Ellis),,105-99,,
2:28.0,M. Ellis makes free throw 1 of 1,1,106-99,,
2:09.0,,,106-99,,Turnover by W. Matthews (lost ball; steal by M. Ellis)
1:51.0,S. Hill makes 2-pt shot at rim (assist by M. Ellis),2,108-99,,
1:51.0,,,108-99,,Dallas full timeout
1:46.0,,,108-99,,Shooting foul by I. Mahinmi (drawn by D. Nowitzki)
1:46.0,,,108-100,1,D. Nowitzki makes free throw 1 of 2
1:46.0,,,108-100,,D. Nowitzki misses free throw 2 of 2
1:46.0,Defensive rebound by I. Mahinmi,,108-100,,
1:32.0,Offensive foul by I. Mahinmi,,108-100,,
1:32.0,Turnover by I. Mahinmi (offensive foul),,108-100,,
1:27.0,,,108-103,3,D. Nowitzki makes 3-pt shot from 26 ft (assist by D. Williams)
1:27.0,Indiana full timeout,,108-103,,
