time,Washington,pts.away,score,pts.home,San Antonio
9:35.0,K. Oubre misses 3-pt shot from 25 ft,,33-31,,
9:34.0,,,33-31,,Defensive rebound by M. Ginobili
9:30.0,,,33-33,2,P. Mills makes 2-pt shot from 1 ft (assist by M. Ginobili)
9:17.0,K. Oubre misses 2-pt shot from 1 ft (block by B. Marjanovic),,33-33,,
9:16.0,Offensive rebound by K. Oubre,,33-33,,
9:15.0,K. Oubre misses 2-pt shot from 2 ft (block by B. Marjanovic),,33-33,,
9:13.0,,,33-33,,Defensive rebound by B. Diaw
9:05.0,,,33-35,2,M. Ginobili makes 2-pt shot from 3 ft
9:05.0,Washington full timeout,,33-35,,
9:05.0,J. Wall enters the game for R. Sessions,,33-35,,
9:05.0,,,33-35,,K. Leonard enters the game for M. Ginobili
8:54.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,35-35,,
8:38.0,,,35-37,2,K. Anderson makes 2-pt shot from 5 ft
8:25.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,37-37,,
8:14.0,Personal foul by K. Oubre (drawn by P. Mills),,37-37,,
8:14.0,O. Porter enters the game for K. Oubre,,37-37,,
7:57.0,,,37-39,2,P. Mills makes 2-pt shot from 3 ft
7:46.0,M. Gortat misses 2-pt shot from 5 ft,,37-39,,
7:45.0,,,37-39,,Defensive rebound by B. Marjanovic
7:30.0,Personal foul by O. Porter (drawn by K. Anderson),,37-39,,
7:30.0,,,37-39,,K. Anderson misses free throw 1 of 2
7:30.0,,,37-39,,Offensive rebound by Team
7:30.0,,,37-39,,T. Parker enters the game for P. Mills
7:30.0,,,37-39,,D. West enters the game for B. Diaw
7:30.0,,,37-39,,L. Aldridge enters the game for B. Marjanovic
7:30.0,,,37-40,1,K. Anderson makes free throw 2 of 2
7:20.0,G. Neal makes 2-pt shot from 9 ft,2,39-40,,
6:58.0,,,39-40,,K. Leonard misses 2-pt shot from 14 ft
6:58.0,,,39-40,,Offensive rebound by D. West
6:53.0,,,39-40,,L. Aldridge misses 2-pt shot from 18 ft
6:53.0,,,39-40,,Offensive rebound by Team
6:53.0,Loose ball foul by J. Dudley (drawn by D. West),,39-40,,
6:53.0,,,39-40,,D. West misses free throw 1 of 2
6:53.0,,,39-40,,Offensive rebound by Team
6:53.0,K. Humphries enters the game for J. Dudley,,39-40,,
6:53.0,,,39-41,1,D. West makes free throw 2 of 2
6:37.0,G. Neal misses 2-pt shot from 18 ft,,39-41,,
6:37.0,,,39-41,,Defensive rebound by D. West
6:12.0,,,39-41,,K. Anderson misses 2-pt shot from 9 ft
6:11.0,Defensive rebound by K. Humphries,,39-41,,
6:08.0,Turnover by K. Humphries (bad pass; steal by L. Aldridge),,39-41,,
5:58.0,,,39-41,,Shooting foul by G. Neal (drawn by K. Leonard)
5:58.0,Official timeout,,39-41,,
5:58.0,R. Sessions enters the game for G. Neal,,39-41,,
5:58.0,,,39-42,1,K. Leonard makes free throw 1 of 2
5:58.0,,,39-42,,D. Green enters the game for K. Anderson
5:58.0,,,39-43,1,K. Leonard makes free throw 2 of 2
5:48.0,Turnover by J. Wall (bad pass; steal by D. West),,39-43,,
5:29.0,,,39-43,,T. Parker misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by K. Humphries,,39-43,,
5:15.0,O. Porter misses 3-pt shot from 24 ft,,39-43,,
5:14.0,,,39-43,,Defensive rebound by D. West
4:51.0,,,39-43,,Turnover by T. Parker (traveling)
4:38.0,Shooting foul by K. Leonard (drawn by J. Wall),,39-43,,
4:38.0,J. Wall makes free throw 1 of 2,1,40-43,,
4:38.0,J. Wall misses free throw 2 of 2,,40-43,,
4:38.0,,,40-43,,Defensive rebound by D. West
4:15.0,,,40-43,,D. West misses 2-pt shot at rim
4:15.0,Defensive rebound by M. Gortat,,40-43,,
4:08.0,K. Humphries makes 2-pt shot from 13 ft (assist by J. Wall),2,42-43,,
4:08.0,,,42-43,,San Antonio full timeout
3:56.0,,,42-45,2,T. Parker makes 2-pt shot from 1 ft
3:42.0,Turnover by J. Wall (bad pass; steal by K. Leonard),,42-45,,
3:39.0,Violation by J. Wall (def goaltending),,42-45,,
3:39.0,,,42-47,2,T. Parker makes 2-pt shot from 1 ft
3:23.0,R. Sessions misses 2-pt shot from 5 ft,,42-47,,
3:22.0,,,42-47,,Defensive rebound by K. Leonard
3:16.0,,,42-47,,D. Green misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by M. Gortat,,42-47,,
2:58.0,K. Humphries misses 3-pt shot from 24 ft,,42-47,,
2:57.0,,,42-47,,Defensive rebound by D. Green
2:49.0,,,42-49,2,T. Parker makes 2-pt shot from 17 ft
2:32.0,J. Wall misses 3-pt shot from 24 ft,,42-49,,
2:32.0,,,42-49,,Defensive rebound by Team
2:32.0,Loose ball foul by K. Humphries (drawn by L. Aldridge),,42-49,,
2:32.0,,,42-50,1,L. Aldridge makes free throw 1 of 2
2:32.0,K. Oubre enters the game for O. Porter,,42-50,,
2:32.0,,,42-50,,M. Ginobili enters the game for D. Green
2:32.0,,,42-51,1,L. Aldridge makes free throw 2 of 2
2:18.0,,,42-51,,Personal foul by M. Ginobili (drawn by J. Wall)
2:04.0,K. Oubre makes 2-pt shot at rim (assist by K. Humphries),2,44-51,,
1:47.0,,,44-53,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
1:34.0,Shooting foul by D. West (drawn by K. Oubre),,44-53,,
1:34.0,K. Oubre makes free throw 1 of 2,1,45-53,,
1:34.0,,,45-53,,J. Simmons enters the game for M. Ginobili
1:34.0,,,45-53,,B. Diaw enters the game for D. West
1:34.0,K. Oubre makes free throw 2 of 2,1,46-53,,
1:22.0,,,46-53,,L. Aldridge misses 2-pt shot from 18 ft
1:21.0,Defensive rebound by J. Wall,,46-53,,
1:18.0,,,46-53,,Personal foul by J. Simmons (drawn by J. Wall)
1:18.0,J. Wall makes free throw 1 of 2,1,47-53,,
1:18.0,,,47-53,,K. Anderson enters the game for J. Simmons
1:18.0,J. Wall makes free throw 2 of 2,1,48-53,,
1:02.0,,,48-55,2,K. Leonard makes 2-pt shot from 16 ft (assist by T. Parker)
0:57.0,R. Sessions makes 2-pt shot from 2 ft,2,50-55,,
0:57.0,Shooting foul by T. Parker (drawn by R. Sessions),,50-55,,
0:57.0,R. Sessions misses free throw 1 of 1,,50-55,,
0:57.0,Offensive rebound by J. Wall,,50-55,,
0:48.0,Shooting foul by K. Anderson (drawn by K. Oubre),,50-55,,
0:48.0,K. Oubre makes free throw 1 of 2,1,51-55,,
0:48.0,,,51-55,,M. Ginobili enters the game for K. Anderson
0:48.0,K. Oubre makes free throw 2 of 2,1,52-55,,
0:33.0,,,52-55,,T. Parker misses 2-pt shot at rim (block by M. Gortat)
0:32.0,Defensive rebound by M. Gortat,,52-55,,
0:27.0,J. Wall misses 3-pt shot from 25 ft,,52-55,,
0:26.0,,,52-55,,Defensive rebound by T. Parker
0:02.0,,,52-55,,Turnover by Team (shot clock)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,J. Wall misses 2-pt shot from 11 ft,,52-55,,
11:48.0,,,52-55,,Defensive rebound by L. Aldridge
11:33.0,,,52-57,2,D. West makes 2-pt shot from 17 ft (assist by T. Parker)
11:20.0,G. Neal makes 2-pt shot from 20 ft (assist by J. Wall),2,54-57,,
11:04.0,,,54-57,,Turnover by T. Parker (bad pass; steal by J. Wall)
11:04.0,,,54-57,,Personal take foul by D. West (drawn by J. Wall)
10:51.0,G. Neal misses 2-pt shot from 19 ft,,54-57,,
10:50.0,,,54-57,,Defensive rebound by L. Aldridge
10:37.0,Personal foul by K. Humphries (drawn by D. West),,54-57,,
10:22.0,,,54-59,2,T. Parker makes 2-pt shot from 2 ft (assist by L. Aldridge)
10:08.0,O. Porter misses 2-pt shot from 10 ft,,54-59,,
10:07.0,,,54-59,,Defensive rebound by D. West
9:58.0,,,54-59,,T. Parker misses 2-pt shot from 19 ft
9:58.0,Defensive rebound by M. Gortat,,54-59,,
9:50.0,Turnover by J. Wall (bad pass; steal by K. Leonard),,54-59,,
9:46.0,,,54-61,2,K. Leonard makes 2-pt shot at rim
9:46.0,Washington full timeout,,54-61,,
9:34.0,G. Neal misses 2-pt shot from 8 ft (block by T. Parker),,54-61,,
9:33.0,,,54-61,,Defensive rebound by D. Green
9:15.0,,,54-61,,D. Green misses 3-pt shot from 22 ft
9:15.0,Defensive rebound by J. Wall,,54-61,,
9:08.0,O. Porter makes 2-pt shot from 20 ft,2,56-61,,
8:52.0,,,56-63,2,K. Leonard makes 2-pt shot from 16 ft
8:42.0,O. Porter misses 3-pt shot from 25 ft,,56-63,,
8:42.0,,,56-63,,Defensive rebound by D. West
8:30.0,,,56-66,3,K. Leonard makes 3-pt shot from 25 ft (assist by T. Parker)
8:10.0,G. Neal makes 2-pt shot from 20 ft (assist by M. Gortat),2,58-66,,
7:52.0,,,58-68,2,D. West makes 2-pt shot from 6 ft (assist by K. Leonard)
7:30.0,J. Wall makes 2-pt shot from 8 ft (assist by M. Gortat),2,60-68,,
7:07.0,,,60-70,2,K. Leonard makes 2-pt shot from 14 ft (assist by D. West)
6:58.0,J. Wall misses 2-pt shot from 15 ft,,60-70,,
6:56.0,Offensive rebound by G. Neal,,60-70,,
6:47.0,J. Wall misses 2-pt shot from 2 ft (block by D. West),,60-70,,
6:47.0,Offensive rebound by Team,,60-70,,
6:47.0,Technical foul by J. Wall,,60-70,,
6:47.0,,,60-71,1,K. Leonard makes technical free throw
6:30.0,O. Porter misses 2-pt shot from 20 ft,,60-71,,
6:29.0,,,60-71,,Defensive rebound by L. Aldridge
6:17.0,,,60-71,,K. Leonard misses 3-pt shot from 24 ft
6:17.0,,,60-71,,Offensive rebound by Team
6:17.0,K. Oubre enters the game for O. Porter,,60-71,,
6:13.0,,,60-73,2,L. Aldridge makes 2-pt shot from 16 ft (assist by T. Parker)
6:08.0,,,60-73,,Personal foul by D. West (drawn by M. Gortat)
6:02.0,G. Neal misses 2-pt shot from 2 ft,,60-73,,
5:59.0,Offensive rebound by M. Gortat,,60-73,,
5:58.0,M. Gortat misses 2-pt shot from 6 ft,,60-73,,
5:55.0,,,60-73,,Defensive rebound by D. West
5:52.0,,,60-75,2,D. Green makes 2-pt shot from 2 ft (assist by T. Parker)
5:52.0,Washington full timeout,,60-75,,
5:52.0,J. Dudley enters the game for K. Humphries,,60-75,,
5:45.0,Shooting foul by T. Parker (drawn by J. Wall),,60-75,,
5:45.0,J. Wall makes free throw 1 of 2,1,61-75,,
5:45.0,J. Wall makes free throw 2 of 2,1,62-75,,
5:30.0,,,62-75,,K. Leonard misses 2-pt shot from 17 ft
5:28.0,,,62-75,,Offensive rebound by T. Parker
5:23.0,,,62-78,3,D. Green makes 3-pt shot from 25 ft (assist by T. Parker)
5:10.0,G. Neal misses 2-pt shot from 19 ft,,62-78,,
5:09.0,,,62-78,,Defensive rebound by D. West
4:58.0,,,62-78,,L. Aldridge misses 2-pt shot from 8 ft
4:57.0,Defensive rebound by K. Oubre,,62-78,,
4:50.0,K. Oubre makes 3-pt shot from 22 ft (assist by J. Wall),3,65-78,,
4:28.0,,,65-78,,T. Parker misses 2-pt shot at rim (block by M. Gortat)
4:28.0,,,65-78,,Offensive rebound by Team
4:25.0,,,65-80,2,D. West makes 2-pt shot from 1 ft (assist by T. Parker)
4:21.0,,,65-80,,Shooting block foul by D. Green (drawn by G. Neal)
4:21.0,G. Neal makes free throw 1 of 2,1,66-80,,
4:21.0,G. Neal makes free throw 2 of 2,1,67-80,,
4:09.0,Def 3 sec tech foul by K. Oubre,,67-80,,
4:09.0,,,67-81,1,K. Leonard makes technical free throw
4:01.0,Personal foul by K. Oubre (drawn by K. Leonard),,67-81,,
3:55.0,,,67-81,,D. West misses 2-pt shot from 1 ft (block by M. Gortat)
3:53.0,,,67-81,,Offensive rebound by D. West
3:49.0,,,67-81,,T. Parker misses 3-pt shot from 25 ft
3:49.0,Defensive rebound by J. Dudley,,67-81,,
3:35.0,K. Oubre misses 3-pt shot from 24 ft,,67-81,,
3:34.0,,,67-81,,Defensive rebound by L. Aldridge
3:28.0,,,67-81,,San Antonio full timeout
3:28.0,,,67-81,,M. Ginobili enters the game for D. Green
3:28.0,,,67-81,,B. Diaw enters the game for D. West
3:11.0,,,67-81,,L. Aldridge misses 2-pt shot from 15 ft
3:10.0,Defensive rebound by M. Gortat,,67-81,,
3:03.0,Turnover by J. Wall (bad pass; steal by T. Parker),,67-81,,
2:49.0,,,67-81,,M. Ginobili misses 2-pt shot from 11 ft
2:49.0,Defensive rebound by G. Neal,,67-81,,
2:26.0,J. Wall misses 2-pt shot from 14 ft,,67-81,,
2:25.0,,,67-81,,Defensive rebound by B. Diaw
2:11.0,,,67-83,2,L. Aldridge makes 2-pt shot at rim (assist by M. Ginobili)
1:45.0,M. Gortat makes 2-pt shot from 10 ft (assist by G. Neal),2,69-83,,
1:35.0,,,69-83,,M. Ginobili misses 3-pt shot from 24 ft
1:35.0,Defensive rebound by M. Gortat,,69-83,,
1:10.0,M. Gortat misses 2-pt shot from 14 ft,,69-83,,
1:09.0,,,69-83,,Defensive rebound by L. Aldridge
0:45.0,,,69-83,,T. Parker misses 2-pt shot from 19 ft
0:45.0,Defensive rebound by G. Neal,,69-83,,
0:37.0,J. Wall makes 2-pt shot from 18 ft,2,71-83,,
0:29.0,,,71-83,,Turnover by M. Ginobili (bad pass; steal by M. Gortat)
0:27.0,,,71-83,,P. Mills enters the game for T. Parker
0:27.0,,,71-83,,B. Marjanovic enters the game for L. Aldridge
0:07.0,G. Neal misses 2-pt shot from 14 ft,,71-83,,
0:06.0,,,71-83,,Defensive rebound by K. Leonard
0:02.0,,,71-86,3,M. Ginobili makes 3-pt shot from 24 ft (assist by K. Leonard)
0:01.0,K. Oubre misses 3-pt shot from 46 ft,,71-86,,
0:00.0,Offensive rebound by Team,,71-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Violation by K. Oubre (def goaltending),,71-86,,
11:48.0,,,71-88,2,B. Marjanovic makes 2-pt shot from 1 ft (assist by M. Ginobili)
11:35.0,Turnover by R. Sessions (lost ball; steal by P. Mills),,71-88,,
11:31.0,,,71-88,,Offensive charge foul by K. Anderson
11:31.0,,,71-88,,Turnover by K. Anderson (offensive foul)
11:19.0,J. Dudley makes 2-pt shot from 16 ft (assist by R. Sessions),2,73-88,,
11:06.0,,,73-90,2,P. Mills makes 2-pt shot at rim (assist by M. Ginobili)
10:42.0,K. Oubre misses 2-pt shot from 5 ft,,73-90,,
10:42.0,Offensive rebound by D. Blair,,73-90,,
10:42.0,D. Blair misses 2-pt shot from 1 ft,,73-90,,
10:41.0,,,73-90,,Defensive rebound by B. Marjanovic
10:36.0,,,73-90,,Shooting foul by D. Blair (drawn by B. Marjanovic)
10:36.0,,,73-91,1,B. Marjanovic makes free throw 1 of 2
10:36.0,,,73-92,1,B. Marjanovic makes free throw 2 of 2
10:16.0,Shooting foul by B. Diaw (drawn by R. Sessions),,73-92,,
10:16.0,R. Sessions makes free throw 1 of 2,1,74-92,,
10:16.0,R. Sessions makes free throw 2 of 2,1,75-92,,
9:54.0,,,75-94,2,B. Diaw makes 2-pt shot from 1 ft (assist by K. Anderson)
9:42.0,K. Oubre misses 3-pt shot from 25 ft,,75-94,,
9:41.0,,,75-94,,Defensive rebound by B. Marjanovic
9:30.0,,,75-94,,Shooting foul by R. Sessions (drawn by P. Mills)
9:30.0,,,75-95,1,P. Mills makes free throw 1 of 3
9:30.0,,,75-96,1,P. Mills makes free throw 2 of 3
9:30.0,M. Gortat enters the game for D. Blair,,75-96,,
9:30.0,J. Wall enters the game for J. Dudley,,75-96,,
9:30.0,K. Humphries enters the game for R. Sessions,,75-96,,
9:30.0,,,75-96,,K. Leonard enters the game for M. Ginobili
9:30.0,,,75-97,1,P. Mills makes free throw 3 of 3
9:13.0,Turnover by J. Wall (bad pass; steal by B. Diaw),,75-97,,
9:04.0,,,75-97,,B. Diaw misses 2-pt shot from 8 ft
9:03.0,Defensive rebound by K. Humphries,,75-97,,
8:54.0,K. Oubre makes 2-pt shot from 1 ft (assist by J. Wall),2,77-97,,
8:38.0,,,77-97,,Turnover by B. Marjanovic (traveling)
8:38.0,Official timeout,,77-97,,
8:38.0,Violation by Team (delay of game),,77-97,,
8:17.0,K. Oubre makes 2-pt shot at rim (assist by J. Wall),2,79-97,,
7:50.0,,,79-97,,K. Leonard misses 2-pt shot from 14 ft
7:48.0,Defensive rebound by K. Humphries,,79-97,,
7:36.0,J. Wall misses 2-pt shot from 1 ft (block by B. Diaw),,79-97,,
7:35.0,Offensive rebound by K. Oubre,,79-97,,
7:34.0,Washington full timeout,,79-97,,
7:34.0,,,79-97,,D. West enters the game for B. Marjanovic
7:26.0,J. Wall misses 2-pt shot from 18 ft,,79-97,,
7:25.0,Offensive rebound by M. Gortat,,79-97,,
7:20.0,M. Gortat misses 2-pt shot from 17 ft,,79-97,,
7:19.0,,,79-97,,Defensive rebound by K. Anderson
7:04.0,,,79-99,2,P. Mills makes 2-pt shot from 19 ft (assist by B. Diaw)
6:39.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,81-99,,
6:23.0,,,81-99,,P. Mills misses 2-pt shot at rim (block by G. Temple)
6:21.0,Defensive rebound by J. Wall,,81-99,,
6:17.0,J. Wall misses 2-pt shot from 1 ft (block by K. Anderson),,81-99,,
6:16.0,Offensive rebound by K. Humphries,,81-99,,
6:01.0,K. Humphries makes 2-pt shot from 20 ft,2,83-99,,
6:01.0,,,83-99,,San Antonio full timeout
6:01.0,,,83-99,,M. Ginobili enters the game for K. Anderson
6:01.0,,,83-99,,L. Aldridge enters the game for B. Diaw
6:01.0,G. Neal enters the game for G. Temple,,83-99,,
5:48.0,,,83-101,2,L. Aldridge makes 2-pt shot at rim (assist by M. Ginobili)
5:21.0,J. Wall misses 2-pt shot from 17 ft,,83-101,,
5:18.0,Offensive rebound by K. Humphries,,83-101,,
5:18.0,,,83-101,,Personal foul by M. Ginobili (drawn by K. Humphries)
5:03.0,G. Neal misses 2-pt shot from 18 ft (block by D. West),,83-101,,
5:00.0,,,83-101,,Defensive rebound by M. Ginobili
4:46.0,,,83-104,3,K. Leonard makes 3-pt shot from 24 ft (assist by M. Ginobili)
4:19.0,M. Gortat makes 2-pt shot from 12 ft,2,85-104,,
4:07.0,,,85-104,,K. Leonard misses 3-pt shot from 25 ft
