time,Indiana,pts.away,score,pts.home,Miami
6:07.0,,,16-2,,Defensive rebound by H. Whiteside
6:02.0,,,16-4,2,G. Dragic makes 2-pt shot from 2 ft (assist by J. Winslow)
5:56.0,Turnover by Team (back court),,16-4,,
5:45.0,,,16-4,,Shooting foul by M. Turner (drawn by D. Wade)
5:45.0,,,16-5,1,D. Wade makes free throw 1 of 2
5:45.0,,,16-5,,D. Wade misses free throw 2 of 2
5:44.0,Defensive rebound by P. George,,16-5,,
5:26.0,M. Ellis misses 2-pt shot from 17 ft,,16-5,,
5:25.0,,,16-5,,Defensive rebound by H. Whiteside
5:19.0,,,16-5,,L. Deng misses 2-pt shot from 1 ft
5:18.0,,,16-5,,Offensive rebound by J. Winslow
5:17.0,,,16-7,2,J. Winslow makes 2-pt shot from 5 ft
5:01.0,G. Hill misses 2-pt shot from 20 ft,,16-7,,
5:00.0,,,16-7,,Defensive rebound by D. Wade
5:00.0,Personal foul by I. Mahinmi (drawn by D. Wade),,16-7,,
4:48.0,,,16-7,,Shooting foul by I. Mahinmi (drawn by D. Wade)
4:48.0,,,16-7,,D. Wade misses free throw 1 of 2
4:48.0,,,16-7,,Offensive rebound by Team
4:48.0,J. Hill enters the game for I. Mahinmi,,16-7,,
4:48.0,,,16-8,1,D. Wade makes free throw 2 of 2
4:22.0,M. Turner makes 2-pt shot from 14 ft,2,18-8,,
4:12.0,,,18-8,,L. Deng misses 3-pt shot from 24 ft
4:11.0,Defensive rebound by M. Turner,,18-8,,
4:02.0,M. Ellis misses 2-pt shot from 20 ft,,18-8,,
4:01.0,,,18-8,,Defensive rebound by J. Winslow
3:49.0,,,18-8,,L. Deng misses 2-pt shot from 6 ft
3:48.0,Defensive rebound by J. Hill,,18-8,,
3:43.0,Turnover by G. Hill (bad pass; steal by D. Wade),,18-8,,
3:34.0,,,18-8,,B. Udrih enters the game for G. Dragic
3:34.0,,,18-8,,G. Green enters the game for D. Wade
3:34.0,,,18-8,,J. McRoberts enters the game for L. Deng
3:23.0,,,18-8,,G. Green misses 3-pt shot from 23 ft
3:22.0,Defensive rebound by G. Hill,,18-8,,
3:13.0,P. George misses 2-pt shot from 1 ft,,18-8,,
3:12.0,Offensive rebound by M. Turner,,18-8,,
3:11.0,M. Turner makes 2-pt shot from 1 ft,2,20-8,,
2:57.0,Personal foul by J. Hill (drawn by G. Green),,20-8,,
2:57.0,Indiana full timeout,,20-8,,
2:57.0,J. Young enters the game for M. Ellis,,20-8,,
2:57.0,S. Hill enters the game for G. Hill,,20-8,,
2:43.0,,,20-8,,Shooting foul by M. Turner (drawn by J. McRoberts)
2:43.0,,,20-8,,J. McRoberts misses free throw 1 of 3
2:43.0,,,20-8,,Offensive rebound by Team
2:43.0,,,20-8,,J. McRoberts misses free throw 2 of 3
2:43.0,,,20-8,,Offensive rebound by Team
2:43.0,L. Allen enters the game for M. Turner,,20-8,,
2:43.0,,,20-9,1,J. McRoberts makes free throw 3 of 3
2:26.0,J. Hill misses 2-pt shot from 1 ft,,20-9,,
2:25.0,,,20-9,,Defensive rebound by J. Winslow
2:17.0,,,20-9,,H. Whiteside misses 2-pt shot from 5 ft
2:16.0,,,20-9,,Offensive rebound by H. Whiteside
2:16.0,,,20-9,,Shooting foul by L. Allen (drawn by H. Whiteside)
2:16.0,,,20-10,1,H. Whiteside makes free throw 1 of 2
2:16.0,,,20-11,1,H. Whiteside makes free throw 2 of 2
2:07.0,,,20-11,,Personal block foul by B. Udrih (drawn by P. George)
2:00.0,J. Young makes 2-pt shot from 19 ft (assist by J. Hill),2,22-11,,
1:43.0,,,22-11,,J. Winslow misses 2-pt shot from 1 ft
1:42.0,Defensive rebound by P. George,,22-11,,
1:26.0,,,22-11,,Personal foul by J. McRoberts (drawn by P. George)
1:15.0,J. Hill misses 2-pt shot from 1 ft (block by G. Green),,22-11,,
1:14.0,Offensive rebound by Team,,22-11,,
1:09.0,J. Young makes 2-pt shot from 9 ft (assist by S. Hill),2,24-11,,
0:52.0,,,24-13,2,H. Whiteside makes 2-pt shot from 15 ft (assist by G. Green)
0:29.0,J. Hill misses 2-pt shot from 8 ft,,24-13,,
0:28.0,,,24-13,,Defensive rebound by J. McRoberts
0:18.0,,,24-13,,Turnover by J. McRoberts (bad pass; steal by P. George)
0:18.0,,,24-13,,Personal foul by J. Winslow (drawn by P. George)
0:18.0,P. George misses free throw 1 of 2,,24-13,,
0:18.0,Offensive rebound by Team,,24-13,,
0:18.0,,,24-13,,G. Dragic enters the game for B. Udrih
0:18.0,P. George makes free throw 2 of 2,1,25-13,,
0:00.0,,,25-15,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,L. Allen makes 2-pt shot from 21 ft (assist by J. Young),2,27-15,,
11:19.0,,,27-15,,Shooting foul by J. Hill (drawn by G. Dragic)
11:19.0,,,27-15,,G. Dragic misses free throw 1 of 2
11:19.0,,,27-15,,Offensive rebound by Team
11:19.0,,,27-16,1,G. Dragic makes free throw 2 of 2
11:07.0,C. Budinger misses 2-pt shot from 18 ft,,27-16,,
11:06.0,,,27-16,,Defensive rebound by H. Whiteside
10:54.0,,,27-16,,G. Green misses 3-pt shot from 23 ft
10:53.0,Defensive rebound by J. Young,,27-16,,
10:40.0,J. Hill makes 2-pt shot from 14 ft,2,29-16,,
10:17.0,,,29-18,2,H. Whiteside makes 2-pt shot from 6 ft
10:04.0,J. Young makes 2-pt shot from 16 ft,2,31-18,,
9:54.0,Personal foul by L. Allen (drawn by H. Whiteside),,31-18,,
9:44.0,,,31-18,,J. Winslow misses 2-pt shot from 2 ft
9:43.0,Defensive rebound by S. Hill,,31-18,,
9:33.0,J. Hill misses 2-pt shot from 11 ft,,31-18,,
9:32.0,,,31-18,,Defensive rebound by H. Whiteside
9:26.0,,,31-20,2,G. Dragic makes 2-pt shot from 1 ft
9:11.0,J. Young misses 2-pt shot from 1 ft,,31-20,,
9:10.0,,,31-20,,Defensive rebound by G. Dragic
8:47.0,,,31-20,,J. McRoberts misses 3-pt shot from 26 ft
8:46.0,Defensive rebound by S. Hill,,31-20,,
8:42.0,Shooting foul by G. Dragic (drawn by J. Hill),,31-20,,
8:42.0,Official timeout,,31-20,,
8:42.0,,,31-20,,J. Richardson enters the game for G. Green
8:42.0,J. Hill misses free throw 1 of 2,,31-20,,
8:42.0,Offensive rebound by Team,,31-20,,
8:42.0,J. Hill misses free throw 2 of 2,,31-20,,
8:41.0,,,31-20,,Defensive rebound by H. Whiteside
8:29.0,,,31-20,,J. McRoberts misses 2-pt shot from 17 ft
8:28.0,,,31-20,,Offensive rebound by Team
8:20.0,,,31-22,2,G. Dragic makes 2-pt shot from 1 ft (assist by J. McRoberts)
7:57.0,Turnover by S. Hill (lost ball),,31-22,,
7:41.0,,,31-22,,Turnover by G. Dragic (bad pass; steal by C. Budinger)
7:35.0,J. Young makes 2-pt shot from 5 ft,2,33-22,,
7:18.0,,,33-22,,G. Dragic misses 2-pt shot from 7 ft
7:17.0,,,33-22,,Offensive rebound by G. Dragic
7:02.0,,,33-25,3,J. McRoberts makes 3-pt shot from 25 ft (assist by G. Dragic)
6:45.0,J. Young makes 2-pt shot from 9 ft,2,35-25,,
6:35.0,,,35-25,,Shooting foul by S. Hill (drawn by J. Winslow)
6:35.0,,,35-26,1,J. Winslow makes free throw 1 of 2
6:35.0,I. Mahinmi enters the game for S. Hill,,35-26,,
6:35.0,M. Ellis enters the game for J. Young,,35-26,,
6:35.0,G. Hill enters the game for J. Hill,,35-26,,
6:35.0,,,35-26,,J. Winslow misses free throw 2 of 2
6:33.0,Defensive rebound by L. Allen,,35-26,,
6:21.0,C. Budinger makes 3-pt shot from 25 ft (assist by I. Mahinmi),3,38-26,,
6:21.0,,,38-26,,Miami full timeout
6:21.0,,,38-26,,D. Wade enters the game for J. McRoberts
6:21.0,,,38-26,,L. Deng enters the game for J. Richardson
6:05.0,,,38-26,,D. Wade misses 2-pt shot from 14 ft
6:04.0,,,38-26,,Offensive rebound by J. Winslow
5:59.0,,,38-28,2,L. Deng makes 2-pt shot from 19 ft (assist by J. Winslow)
5:42.0,Turnover by C. Budinger (bad pass; steal by J. Winslow),,38-28,,
5:38.0,,,38-30,2,J. Winslow makes 2-pt shot from 4 ft
5:38.0,Indiana full timeout,,38-30,,
5:38.0,P. George enters the game for L. Allen,,38-30,,
5:38.0,M. Turner enters the game for C. Budinger,,38-30,,
5:38.0,,,38-30,,B. Udrih enters the game for G. Dragic
5:20.0,I. Mahinmi misses 2-pt shot from 5 ft,,38-30,,
5:19.0,,,38-30,,Defensive rebound by H. Whiteside
5:05.0,,,38-30,,H. Whiteside misses 2-pt shot from 11 ft
5:04.0,Defensive rebound by M. Ellis,,38-30,,
4:59.0,Turnover by I. Mahinmi (bad pass),,38-30,,
4:48.0,,,38-30,,D. Wade misses 2-pt shot from 16 ft
4:47.0,Defensive rebound by P. George,,38-30,,
4:35.0,M. Ellis misses 2-pt shot from 20 ft,,38-30,,
4:34.0,,,38-30,,Defensive rebound by H. Whiteside
4:21.0,,,38-30,,L. Deng misses 3-pt shot from 23 ft
4:20.0,Defensive rebound by M. Ellis,,38-30,,
4:10.0,M. Turner makes 2-pt shot from 6 ft (assist by P. George),2,40-30,,
3:45.0,,,40-30,,H. Whiteside misses 2-pt shot from 11 ft
3:44.0,,,40-30,,Offensive rebound by L. Deng
3:43.0,,,40-30,,L. Deng misses 2-pt shot from 3 ft (block by M. Turner)
3:42.0,Defensive rebound by G. Hill,,40-30,,
3:32.0,Shooting foul by H. Whiteside (drawn by I. Mahinmi),,40-30,,
3:32.0,I. Mahinmi makes free throw 1 of 2,1,41-30,,
3:32.0,I. Mahinmi makes free throw 2 of 2,1,42-30,,
3:20.0,,,42-30,,Turnover by D. Wade (bad pass; steal by P. George)
3:16.0,P. George makes 2-pt shot from 1 ft,2,44-30,,
2:59.0,Personal foul by I. Mahinmi (drawn by H. Whiteside),,44-30,,
2:59.0,J. Hill enters the game for I. Mahinmi,,44-30,,
2:52.0,,,44-30,,J. Winslow misses 2-pt shot from 2 ft (block by J. Hill)
2:51.0,,,44-30,,Offensive rebound by Team
2:50.0,,,44-30,,Offensive foul by L. Deng
2:50.0,,,44-30,,Turnover by L. Deng (offensive foul)
2:41.0,M. Ellis misses 2-pt shot from 19 ft,,44-30,,
2:40.0,,,44-30,,Defensive rebound by Team
2:40.0,,,44-30,,G. Dragic enters the game for B. Udrih
2:26.0,,,44-30,,D. Wade misses 2-pt shot from 11 ft
2:23.0,,,44-30,,Offensive rebound by H. Whiteside
2:20.0,,,44-30,,H. Whiteside misses 2-pt shot at rim
2:19.0,,,44-30,,Offensive rebound by H. Whiteside
2:16.0,,,44-32,2,H. Whiteside makes 2-pt shot from 1 ft
2:15.0,Turnover by J. Hill (bad pass; steal by J. Winslow),,44-32,,
2:14.0,,,44-32,,D. Wade misses 2-pt shot from 9 ft
2:13.0,,,44-32,,Offensive rebound by H. Whiteside
2:12.0,,,44-34,2,H. Whiteside makes 2-pt shot from 9 ft
2:11.0,Indiana full timeout,,44-34,,
2:00.0,,,44-34,,Personal foul by L. Deng (drawn by J. Hill)
1:46.0,M. Ellis misses 3-pt shot from 26 ft,,44-34,,
1:45.0,,,44-34,,Defensive rebound by H. Whiteside
1:31.0,,,44-37,3,G. Dragic makes 3-pt shot from 24 ft
1:08.0,P. George misses 2-pt shot from 13 ft,,44-37,,
1:07.0,,,44-37,,Defensive rebound by D. Wade
1:01.0,,,44-37,,L. Deng misses 2-pt shot from 1 ft (block by M. Ellis)
1:00.0,,,44-37,,Offensive rebound by G. Dragic
0:58.0,,,44-39,2,J. Winslow makes 2-pt shot from 1 ft (assist by D. Wade)
0:43.0,Turnover by G. Hill (bad pass; steal by J. Winslow),,44-39,,
0:40.0,,,44-39,,J. McRoberts enters the game for L. Deng
0:40.0,L. Allen enters the game for M. Turner,,44-39,,
0:27.0,,,44-39,,G. Dragic misses 2-pt shot from 7 ft
0:26.0,Defensive rebound by L. Allen,,44-39,,
0:09.0,Turnover by P. George (bad pass; steal by J. McRoberts),,44-39,,
0:03.0,,,44-41,2,G. Dragic makes 2-pt shot from 1 ft (assist by D. Wade)
0:00.0,M. Ellis misses 3-pt shot from 30 ft,,44-41,,
0:00.0,Offensive rebound by Team,,44-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,M. Ellis misses 2-pt shot from 20 ft,,44-41,,
11:44.0,,,44-41,,Defensive rebound by G. Dragic
11:27.0,,,44-41,,D. Wade misses 2-pt shot from 3 ft
11:26.0,Defensive rebound by P. George,,44-41,,
11:10.0,I. Mahinmi misses 2-pt shot from 1 ft,,44-41,,
11:09.0,,,44-41,,Defensive rebound by A. Stoudemire
10:58.0,,,44-41,,A. Stoudemire misses 2-pt shot from 2 ft (block by M. Turner)
10:57.0,,,44-41,,Offensive rebound by A. Stoudemire
10:53.0,,,44-43,2,G. Dragic makes 2-pt shot from 16 ft (assist by A. Stoudemire)
10:38.0,M. Turner misses 2-pt shot from 13 ft,,44-43,,
10:37.0,,,44-43,,Defensive rebound by J. Winslow
10:24.0,,,44-43,,D. Wade misses 2-pt shot from 4 ft
10:23.0,Defensive rebound by P. George,,44-43,,
10:17.0,M. Ellis makes 2-pt shot from 1 ft,2,46-43,,
9:50.0,,,46-43,,Turnover by Team (shot clock)
9:33.0,G. Hill misses 2-pt shot from 15 ft,,46-43,,
9:32.0,,,46-43,,Defensive rebound by L. Deng
9:27.0,,,46-43,,Shooting foul by M. Turner (drawn by L. Deng)
9:27.0,,,46-44,1,L. Deng makes free throw 1 of 2
9:27.0,,,46-45,1,L. Deng makes free throw 2 of 2
9:10.0,P. George makes 2-pt shot from 21 ft (assist by M. Turner),2,48-45,,
8:54.0,,,48-47,2,A. Stoudemire makes 2-pt shot from 1 ft (assist by G. Dragic)
8:44.0,Shooting foul by D. Wade (drawn by P. George),,48-47,,
8:44.0,P. George makes free throw 1 of 2,1,49-47,,
8:44.0,P. George makes free throw 2 of 2,1,50-47,,
8:36.0,,,50-47,,D. Wade misses 2-pt shot from 5 ft
8:35.0,,,50-47,,Offensive rebound by L. Deng
8:34.0,,,50-49,2,L. Deng makes 2-pt shot from 1 ft
8:26.0,Shooting foul by A. Stoudemire (drawn by I. Mahinmi),,50-49,,
8:26.0,I. Mahinmi makes free throw 1 of 2,1,51-49,,
8:26.0,I. Mahinmi misses free throw 2 of 2,,51-49,,
8:25.0,,,51-49,,Defensive rebound by L. Deng
8:09.0,,,51-49,,G. Dragic misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by P. George,,51-49,,
8:04.0,,,51-49,,Personal foul by G. Dragic (drawn by M. Turner)
7:54.0,M. Turner misses 2-pt shot from 12 ft,,51-49,,
7:53.0,,,51-49,,Defensive rebound by L. Deng
7:43.0,,,51-51,2,A. Stoudemire makes 2-pt shot from 1 ft (assist by J. Winslow)
7:30.0,M. Turner makes 2-pt shot from 8 ft (assist by P. George),2,53-51,,
7:20.0,,,53-51,,G. Dragic misses 2-pt shot from 2 ft
7:19.0,Defensive rebound by Team,,53-51,,
7:08.0,Turnover by P. George (bad pass),,53-51,,
6:53.0,,,53-51,,G. Dragic misses 2-pt shot from 17 ft
6:52.0,,,53-51,,Offensive rebound by L. Deng
6:51.0,,,53-51,,L. Deng misses 2-pt shot from 1 ft
6:50.0,,,53-51,,Offensive rebound by J. Winslow
6:42.0,,,53-51,,D. Wade misses 2-pt shot from 6 ft
6:41.0,,,53-51,,Offensive rebound by L. Deng
6:40.0,,,53-53,2,L. Deng makes 2-pt shot from 2 ft
6:40.0,,,53-53,,Shooting foul by M. Turner (drawn by L. Deng)
6:40.0,L. Allen enters the game for M. Turner,,53-53,,
6:40.0,,,53-53,,J. McRoberts enters the game for D. Wade
6:40.0,,,53-54,1,L. Deng makes free throw 1 of 1
6:31.0,,,53-54,,Personal foul by J. Winslow (drawn by P. George)
6:28.0,Turnover by G. Hill (bad pass; steal by J. Winslow),,53-54,,
6:22.0,,,53-56,2,L. Deng makes 2-pt shot from 1 ft (assist by G. Dragic)
6:22.0,Indiana full timeout,,53-56,,
6:04.0,P. George makes 2-pt shot from 2 ft,2,55-56,,
6:04.0,Shooting foul by L. Deng (drawn by P. George),,55-56,,
6:04.0,P. George makes free throw 1 of 1,1,56-56,,
5:43.0,,,56-56,,L. Deng misses 2-pt shot from 7 ft
5:42.0,,,56-56,,Offensive rebound by Team
5:42.0,,,56-56,,H. Whiteside enters the game for A. Stoudemire
5:34.0,,,56-56,,Shooting foul by L. Allen (drawn by G. Dragic)
5:34.0,,,56-57,1,G. Dragic makes free throw 1 of 2
5:34.0,,,56-57,,G. Dragic misses free throw 2 of 2
5:33.0,Defensive rebound by P. George,,56-57,,
5:14.0,P. George misses 2-pt shot from 17 ft,,56-57,,
5:13.0,,,56-57,,Defensive rebound by J. McRoberts
4:50.0,,,56-57,,L. Deng misses 3-pt shot from 23 ft
4:49.0,,,56-57,,Offensive rebound by G. Dragic
4:44.0,,,56-57,,H. Whiteside misses 2-pt shot from 2 ft
4:43.0,Defensive rebound by Team,,56-57,,
4:43.0,,,56-57,,Loose ball foul by J. Winslow (drawn by I. Mahinmi)
4:43.0,I. Mahinmi makes free throw 1 of 2,1,57-57,,
4:43.0,I. Mahinmi misses free throw 2 of 2,,57-57,,
4:42.0,,,57-57,,Defensive rebound by L. Deng
4:19.0,,,57-59,2,J. McRoberts makes 2-pt shot from 2 ft
4:07.0,G. Hill misses 2-pt shot from 19 ft,,57-59,,
4:06.0,,,57-59,,Defensive rebound by H. Whiteside
4:00.0,,,57-59,,L. Deng misses 2-pt shot from 3 ft (block by I. Mahinmi)
3:59.0,,,57-59,,Offensive rebound by L. Deng
3:55.0,,,57-61,2,H. Whiteside makes 2-pt shot from 2 ft
3:41.0,Shooting foul by H. Whiteside (drawn by M. Ellis),,57-61,,
3:41.0,M. Ellis makes free throw 1 of 2,1,58-61,,
3:41.0,J. Young enters the game for G. Hill,,58-61,,
3:41.0,M. Ellis makes free throw 2 of 2,1,59-61,,
3:38.0,Personal foul by P. George (drawn by L. Deng),,59-61,,
3:38.0,J. Hill enters the game for I. Mahinmi,,59-61,,
3:38.0,S. Hill enters the game for M. Ellis,,59-61,,
3:18.0,,,59-63,2,J. McRoberts makes 2-pt shot from 5 ft
2:57.0,P. George misses 3-pt shot from 23 ft,,59-63,,
2:56.0,Offensive rebound by Team,,59-63,,
2:56.0,,,59-63,,Miami full timeout
2:44.0,J. Young misses 2-pt shot from 13 ft,,59-63,,
2:43.0,,,59-63,,Defensive rebound by L. Deng
2:30.0,,,59-65,2,H. Whiteside makes 2-pt shot from 4 ft (assist by J. McRoberts)
2:17.0,P. George makes 2-pt shot from 15 ft (assist by J. Young),2,61-65,,
2:17.0,Shooting foul by J. Winslow (drawn by P. George),,61-65,,
2:17.0,,,61-65,,D. Wade enters the game for G. Dragic
2:17.0,,,61-65,,J. Richardson enters the game for J. Winslow
2:17.0,P. George makes free throw 1 of 1,1,62-65,,
1:56.0,,,62-65,,D. Wade misses 2-pt shot from 17 ft
1:55.0,Defensive rebound by J. Hill,,62-65,,
1:39.0,L. Allen makes 2-pt shot from 8 ft (assist by J. Young),2,64-65,,
1:19.0,,,64-65,,Shooting foul by P. George (drawn by L. Deng)
1:19.0,,,64-65,,L. Deng misses free throw 1 of 2
1:19.0,,,64-65,,Offensive rebound by Team
1:19.0,,,64-65,,L. Deng misses free throw 2 of 2
1:19.0,,,64-65,,Offensive rebound by Team
1:18.0,Loose ball foul by S. Hill (drawn by H. Whiteside),,64-65,,
1:18.0,,,64-65,,H. Whiteside misses free throw 1 of 2
1:18.0,,,64-65,,Offensive rebound by Team
1:18.0,,,64-66,1,H. Whiteside makes free throw 2 of 2
1:05.0,S. Hill misses 2-pt shot from 2 ft (block by H. Whiteside),,64-66,,
1:04.0,Offensive rebound by S. Hill,,64-66,,
1:03.0,S. Hill misses 2-pt shot from 3 ft (block by H. Whiteside),,64-66,,
1:03.0,,,64-66,,Defensive rebound by J. McRoberts
0:58.0,,,64-68,2,D. Wade makes 2-pt shot from 1 ft (assist by J. McRoberts)
0:52.0,P. George makes 3-pt shot from 25 ft,3,67-68,,
0:36.0,,,67-68,,D. Wade misses 2-pt shot from 17 ft
0:32.0,Defensive rebound by L. Allen,,67-68,,
0:31.0,,,67-68,,Personal foul by L. Deng (drawn by L. Allen)
0:31.0,L. Allen makes free throw 1 of 2,1,68-68,,
0:31.0,,,68-68,,G. Green enters the game for L. Deng
0:31.0,,,68-68,,G. Dragic enters the game for J. Richardson
0:31.0,L. Allen makes free throw 2 of 2,1,69-68,,
0:21.0,,,69-70,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
0:02.0,J. Young misses 2-pt shot from 18 ft,,69-70,,
0:01.0,,,69-70,,Defensive rebound by J. McRoberts
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,69-70,,D. Wade misses 2-pt shot from 12 ft
11:45.0,,,69-70,,Offensive rebound by H. Whiteside
11:37.0,,,69-70,,Turnover by D. Wade (lost ball)
11:22.0,M. Ellis misses 3-pt shot from 25 ft,,69-70,,
11:21.0,,,69-70,,Defensive rebound by J. Richardson
11:05.0,,,69-70,,H. Whiteside misses 2-pt shot from 17 ft
11:04.0,Defensive rebound by L. Allen,,69-70,,
10:46.0,J. Hill makes 2-pt shot from 7 ft,2,71-70,,
10:29.0,,,71-72,2,J. McRoberts makes 2-pt shot from 5 ft (assist by H. Whiteside)
10:11.0,J. Hill makes 2-pt shot from 7 ft,2,73-72,,
9:55.0,,,73-72,,J. Richardson misses 2-pt shot from 2 ft
9:54.0,Defensive rebound by L. Allen,,73-72,,
9:48.0,M. Ellis misses 2-pt shot from 2 ft,,73-72,,
9:47.0,,,73-72,,Defensive rebound by J. McRoberts
9:30.0,,,73-72,,H. Whiteside misses 2-pt shot from 9 ft
9:29.0,Defensive rebound by J. Young,,73-72,,
9:16.0,Turnover by J. Young (bad pass; steal by J. McRoberts),,73-72,,
9:13.0,,,73-72,,Shooting foul by J. Hill (drawn by D. Wade)
9:13.0,,,73-73,1,D. Wade makes free throw 1 of 2
9:13.0,,,73-74,1,D. Wade makes free throw 2 of 2
8:59.0,J. Hill misses 2-pt shot from 14 ft,,73-74,,
8:58.0,,,73-74,,Defensive rebound by J. McRoberts
8:47.0,,,73-74,,Turnover by J. McRoberts (bad pass; steal by S. Hill)
8:45.0,,,73-74,,Personal foul by J. McRoberts (drawn by S. Hill)
8:45.0,Official timeout,,73-74,,
8:32.0,J. Hill misses 2-pt shot from 14 ft,,73-74,,
8:31.0,,,73-74,,Defensive rebound by H. Whiteside
8:04.0,,,73-74,,H. Whiteside misses 2-pt shot from 15 ft
8:03.0,Defensive rebound by J. Hill,,73-74,,
7:54.0,Turnover by L. Allen (lost ball; steal by J. Richardson),,73-74,,
7:48.0,,,73-74,,J. McRoberts misses 3-pt shot from 24 ft
7:47.0,,,73-74,,Offensive rebound by Team
7:47.0,Loose ball foul by J. Hill (drawn by H. Whiteside),,73-74,,
7:47.0,,,73-74,,G. Dragic enters the game for J. Richardson
7:36.0,,,73-74,,J. McRoberts misses 2-pt shot from 1 ft
7:35.0,Defensive rebound by Team,,73-74,,
7:35.0,,,73-74,,Loose ball foul by J. McRoberts (drawn by J. Hill)
7:35.0,G. Hill enters the game for J. Young,,73-74,,
7:35.0,P. George enters the game for S. Hill,,73-74,,
7:15.0,J. Hill misses 2-pt shot from 3 ft (block by H. Whiteside),,73-74,,
7:14.0,Offensive rebound by L. Allen,,73-74,,
6:50.0,L. Allen makes 2-pt shot from 4 ft,2,75-74,,
6:43.0,,,75-74,,H. Whiteside misses 2-pt shot from 10 ft
6:42.0,Defensive rebound by P. George,,75-74,,
6:40.0,,,75-74,,Loose ball foul by D. Wade (drawn by M. Ellis)
6:40.0,,,75-74,,Technical foul by Team
6:40.0,P. George misses technical free throw,,75-74,,
6:40.0,Offensive rebound by Team,,75-74,,
6:40.0,I. Mahinmi enters the game for J. Hill,,75-74,,
6:40.0,M. Turner enters the game for L. Allen,,75-74,,
6:40.0,,,75-74,,L. Deng enters the game for J. McRoberts
6:32.0,P. George makes 3-pt shot from 26 ft,3,78-74,,
6:32.0,,,78-74,,Miami full timeout
6:32.0,,,78-74,,J. Winslow enters the game for G. Green
6:20.0,,,78-76,2,D. Wade makes 2-pt shot from 10 ft
6:16.0,Indiana full timeout,,78-76,,
5:59.0,M. Turner makes 2-pt shot from 19 ft (assist by M. Ellis),2,80-76,,
5:34.0,,,80-78,2,J. Winslow makes 2-pt shot from 1 ft
