time,Charlotte,pts.away,score,pts.home,Chicago
11:16.0,,,26-22,,Offensive rebound by J. Noah
11:16.0,,,26-22,,J. Noah misses 2-pt shot from 1 ft
11:15.0,Defensive rebound by M. Williams,,26-22,,
11:01.0,S. Hawes makes 3-pt shot from 23 ft (assist by J. Lamb),3,29-22,,
10:46.0,,,29-22,,T. Gibson misses 2-pt shot from 1 ft
10:45.0,,,29-22,,Offensive rebound by T. Gibson
10:45.0,,,29-22,,T. Gibson misses 2-pt shot from 1 ft
10:44.0,Defensive rebound by S. Hawes,,29-22,,
10:42.0,Turnover by S. Hawes (traveling),,29-22,,
10:18.0,,,29-25,3,D. McDermott makes 3-pt shot from 26 ft (assist by E. Moore)
10:00.0,F. Kaminsky misses 3-pt shot from 25 ft,,29-25,,
9:59.0,,,29-25,,Defensive rebound by K. Hinrich
9:52.0,,,29-27,2,D. McDermott makes 2-pt shot from 2 ft (assist by J. Noah)
9:33.0,S. Hawes misses 2-pt shot from 13 ft,,29-27,,
9:32.0,,,29-27,,Defensive rebound by T. Gibson
9:22.0,,,29-30,3,E. Moore makes 3-pt shot from 23 ft (assist by T. Gibson)
9:14.0,Charlotte full timeout,,29-30,,
9:14.0,P. Hairston enters the game for F. Kaminsky,,29-30,,
8:56.0,J. Lamb misses 3-pt shot from 25 ft,,29-30,,
8:54.0,,,29-30,,Defensive rebound by T. Gibson
8:50.0,Violation by J. Lin (kicked ball),,29-30,,
8:37.0,,,29-32,2,T. Gibson makes 2-pt shot from 3 ft (assist by K. Hinrich)
8:21.0,J. Lamb misses 2-pt shot from 1 ft,,29-32,,
8:20.0,Offensive rebound by S. Hawes,,29-32,,
8:08.0,S. Hawes makes 3-pt shot from 24 ft (assist by J. Lin),3,32-32,,
7:55.0,Personal foul by J. Lin (drawn by K. Hinrich),,32-32,,
7:55.0,,,32-32,,D. Rose enters the game for K. Hinrich
7:45.0,,,32-34,2,E. Moore makes 2-pt shot from 4 ft (assist by J. Noah)
7:27.0,J. Lamb misses 2-pt shot from 14 ft,,32-34,,
7:26.0,Offensive rebound by S. Hawes,,32-34,,
7:26.0,Shooting foul by T. Gibson (drawn by S. Hawes),,32-34,,
7:26.0,S. Hawes makes free throw 1 of 2,1,33-34,,
7:26.0,S. Hawes makes free throw 2 of 2,1,34-34,,
7:17.0,,,34-34,,Turnover by D. McDermott (traveling)
7:08.0,J. Lin misses 2-pt shot from 2 ft,,34-34,,
7:07.0,,,34-34,,Defensive rebound by D. Rose
7:00.0,,,34-34,,Offensive charge foul by D. Rose
7:00.0,,,34-34,,Turnover by D. Rose (offensive foul)
6:44.0,J. Lamb makes 2-pt shot from 14 ft,2,36-34,,
6:32.0,N. Batum enters the game for P. Hairston,,36-34,,
6:32.0,C. Zeller enters the game for M. Williams,,36-34,,
6:32.0,,,36-34,,J. Butler enters the game for E. Moore
6:18.0,,,36-34,,T. Gibson misses 2-pt shot from 2 ft
6:18.0,Defensive rebound by Team,,36-34,,
6:07.0,J. Lin makes 2-pt shot from 3 ft (assist by S. Hawes),2,38-34,,
5:51.0,,,38-36,2,D. Rose makes 2-pt shot from 9 ft (assist by J. Noah)
5:46.0,,,38-36,,Personal foul by D. Rose (drawn by J. Lin)
5:46.0,Charlotte full timeout,,38-36,,
5:46.0,,,38-36,,P. Gasol enters the game for J. Noah
5:46.0,K. Walker enters the game for J. Lin,,38-36,,
5:37.0,C. Zeller misses 2-pt shot from 3 ft (block by P. Gasol),,38-36,,
5:36.0,,,38-36,,Defensive rebound by P. Gasol
5:26.0,,,38-36,,Shooting foul by S. Hawes (drawn by J. Butler)
5:26.0,,,38-36,,J. Butler misses free throw 1 of 2
5:26.0,,,38-36,,Offensive rebound by Team
5:26.0,,,38-37,1,J. Butler makes free throw 2 of 2
5:05.0,C. Zeller misses 2-pt shot from 2 ft (block by P. Gasol),,38-37,,
5:03.0,,,38-37,,Defensive rebound by P. Gasol
4:52.0,,,38-37,,Shooting foul by J. Lamb (drawn by T. Gibson)
4:52.0,,,38-38,1,T. Gibson makes free throw 1 of 2
4:52.0,,,38-39,1,T. Gibson makes free throw 2 of 2
4:40.0,N. Batum misses 2-pt shot from 2 ft,,38-39,,
4:39.0,,,38-39,,Defensive rebound by D. Rose
4:33.0,,,38-41,2,J. Butler makes 2-pt shot from 9 ft (assist by D. Rose)
4:20.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,40-41,,
4:03.0,,,40-43,2,P. Gasol makes 2-pt shot from 19 ft (assist by D. McDermott)
3:50.0,K. Walker misses 3-pt shot from 25 ft,,40-43,,
3:48.0,,,40-43,,Defensive rebound by P. Gasol
3:33.0,,,40-43,,P. Gasol misses 2-pt shot from 18 ft
3:32.0,Defensive rebound by N. Batum,,40-43,,
3:24.0,J. Lamb makes 2-pt shot from 1 ft,2,42-43,,
3:04.0,,,42-46,3,D. Rose makes 3-pt shot from 22 ft (assist by J. Butler)
2:40.0,N. Batum makes 3-pt shot from 24 ft (assist by S. Hawes),3,45-46,,
2:40.0,Shooting foul by J. Butler (drawn by N. Batum),,45-46,,
2:40.0,,,45-46,,Chicago full timeout
2:40.0,,,45-46,,N. Mirotic enters the game for D. McDermott
2:40.0,,,45-46,,E. Moore enters the game for T. Gibson
2:40.0,J. Lin enters the game for S. Hawes,,45-46,,
2:40.0,T. Hansbrough enters the game for J. Lamb,,45-46,,
2:40.0,N. Batum makes free throw 1 of 1,1,46-46,,
2:29.0,,,46-48,2,J. Butler makes 2-pt shot at rim (assist by P. Gasol)
2:09.0,J. Lin makes 2-pt shot from 1 ft (assist by N. Batum),2,48-48,,
1:49.0,,,48-48,,N. Mirotic misses 3-pt shot from 25 ft
1:48.0,Defensive rebound by Team,,48-48,,
1:30.0,Turnover by K. Walker (bad pass; steal by J. Butler),,48-48,,
1:26.0,,,48-48,,J. Butler misses 2-pt shot from 1 ft
1:25.0,Defensive rebound by N. Batum,,48-48,,
1:17.0,Turnover by N. Batum (bad pass; steal by N. Mirotic),,48-48,,
1:11.0,,,48-48,,E. Moore misses 2-pt shot from 1 ft
1:11.0,,,48-48,,Offensive rebound by J. Butler
1:11.0,,,48-48,,J. Butler misses 2-pt shot from 2 ft
1:11.0,,,48-48,,Offensive rebound by P. Gasol
1:11.0,,,48-48,,P. Gasol misses 2-pt shot from 1 ft
1:11.0,,,48-48,,Offensive rebound by Team
1:11.0,Personal foul by K. Walker (drawn by J. Butler),,48-48,,
0:58.0,,,48-50,2,P. Gasol makes 2-pt shot from 7 ft
0:39.0,K. Walker misses 2-pt shot from 2 ft,,48-50,,
0:38.0,Offensive rebound by C. Zeller,,48-50,,
0:38.0,C. Zeller makes 2-pt shot at rim,2,50-50,,
0:29.0,,,50-50,,N. Mirotic misses 2-pt shot from 16 ft
0:28.0,Defensive rebound by J. Lin,,50-50,,
0:06.0,T. Hansbrough makes 2-pt shot at rim (assist by J. Lin),2,52-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,M. Williams misses 2-pt shot from 22 ft,,52-50,,
11:48.0,,,52-50,,Defensive rebound by J. Butler
11:38.0,,,52-50,,J. Butler misses 2-pt shot from 11 ft
11:37.0,Defensive rebound by M. Williams,,52-50,,
11:24.0,N. Batum makes 2-pt shot from 11 ft (assist by M. Williams),2,54-50,,
10:58.0,,,54-50,,P. Gasol misses 2-pt shot from 11 ft
10:57.0,Defensive rebound by N. Batum,,54-50,,
10:48.0,K. Walker makes 2-pt shot from 2 ft,2,56-50,,
10:25.0,,,56-50,,Turnover by D. Rose (lost ball; steal by K. Walker)
10:17.0,P. Hairston misses 3-pt shot from 25 ft,,56-50,,
10:15.0,Offensive rebound by M. Williams,,56-50,,
10:06.0,K. Walker misses 2-pt shot from 20 ft,,56-50,,
10:04.0,,,56-50,,Defensive rebound by J. Butler
9:59.0,,,56-50,,Shooting foul by C. Zeller (drawn by J. Butler)
9:59.0,,,56-51,1,J. Butler makes free throw 1 of 2
9:59.0,,,56-52,1,J. Butler makes free throw 2 of 2
9:47.0,Turnover by K. Walker (bad pass),,56-52,,
9:35.0,,,56-55,3,D. Rose makes 3-pt shot from 24 ft (assist by P. Gasol)
9:33.0,Charlotte full timeout,,56-55,,
9:26.0,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker),2,58-55,,
9:26.0,Shooting foul by P. Gasol (drawn by C. Zeller),,58-55,,
9:26.0,C. Zeller makes free throw 1 of 1,1,59-55,,
9:07.0,,,59-55,,N. Mirotic misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by M. Williams,,59-55,,
8:51.0,Shooting foul by P. Gasol (drawn by C. Zeller),,59-55,,
8:51.0,C. Zeller misses free throw 1 of 2,,59-55,,
8:51.0,Offensive rebound by Team,,59-55,,
8:51.0,C. Zeller makes free throw 2 of 2,1,60-55,,
8:41.0,,,60-57,2,P. Gasol makes 2-pt shot from 1 ft (assist by D. Rose)
8:19.0,C. Zeller makes 2-pt shot from 16 ft (assist by M. Williams),2,62-57,,
8:11.0,,,62-59,2,D. Rose makes 2-pt shot from 2 ft
8:11.0,,,62-59,,Shooting foul by K. Walker (drawn by D. Rose)
8:11.0,,,62-59,,D. Rose misses free throw 1 of 1
8:10.0,Defensive rebound by Team,,62-59,,
7:59.0,P. Hairston misses 3-pt shot from 24 ft,,62-59,,
7:57.0,,,62-59,,Defensive rebound by P. Gasol
7:46.0,,,62-59,,P. Gasol misses 2-pt shot from 2 ft
7:45.0,Defensive rebound by C. Zeller,,62-59,,
7:34.0,N. Batum misses 3-pt shot from 24 ft,,62-59,,
7:33.0,,,62-59,,Defensive rebound by J. Butler
7:22.0,,,62-61,2,D. Rose makes 2-pt shot from 1 ft (assist by P. Gasol)
7:03.0,M. Williams misses 2-pt shot from 6 ft,,62-61,,
7:02.0,,,62-61,,Defensive rebound by P. Gasol
6:54.0,,,62-61,,J. Butler misses 3-pt shot from 24 ft
6:53.0,Defensive rebound by C. Zeller,,62-61,,
6:34.0,P. Hairston misses 3-pt shot from 22 ft,,62-61,,
6:31.0,Offensive rebound by K. Walker,,62-61,,
6:26.0,Turnover by N. Batum (3 sec),,62-61,,
6:17.0,,,62-61,,Shooting foul by C. Zeller (drawn by P. Gasol)
6:17.0,,,62-62,1,P. Gasol makes free throw 1 of 2
6:17.0,,,62-62,,D. McDermott enters the game for T. Snell
6:17.0,,,62-62,,P. Gasol misses free throw 2 of 2
6:16.0,Defensive rebound by M. Williams,,62-62,,
6:05.0,N. Batum misses 2-pt shot from 22 ft,,62-62,,
6:04.0,,,62-62,,Defensive rebound by N. Mirotic
5:56.0,,,62-62,,D. Rose misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by C. Zeller,,62-62,,
5:45.0,C. Zeller makes 2-pt shot from 21 ft (assist by K. Walker),2,64-62,,
5:30.0,,,64-64,2,J. Butler makes 2-pt shot from 2 ft (assist by P. Gasol)
5:15.0,K. Walker misses 3-pt shot from 25 ft,,64-64,,
5:14.0,,,64-64,,Defensive rebound by N. Mirotic
5:04.0,,,64-67,3,J. Butler makes 3-pt shot from 24 ft (assist by D. Rose)
4:48.0,C. Zeller misses 2-pt shot from 17 ft,,64-67,,
4:46.0,,,64-67,,Defensive rebound by N. Mirotic
4:40.0,,,64-67,,Turnover by N. Mirotic (bad pass; steal by C. Zeller)
4:35.0,Turnover by P. Hairston (step out of bounds),,64-67,,
4:35.0,,,64-67,,J. Noah enters the game for P. Gasol
4:35.0,F. Kaminsky enters the game for M. Williams,,64-67,,
4:20.0,,,64-67,,N. Mirotic misses 3-pt shot from 22 ft
4:20.0,,,64-67,,Offensive rebound by J. Butler
4:20.0,Personal foul by C. Zeller (drawn by J. Butler),,64-67,,
4:20.0,J. Lin enters the game for P. Hairston,,64-67,,
4:20.0,S. Hawes enters the game for C. Zeller,,64-67,,
4:04.0,,,64-67,,Turnover by J. Noah (lost ball; steal by J. Lin)
3:46.0,K. Walker misses 2-pt shot from 19 ft,,64-67,,
3:45.0,,,64-67,,Defensive rebound by D. Rose
3:42.0,,,64-67,,N. Mirotic misses 2-pt shot at rim
3:41.0,Defensive rebound by K. Walker,,64-67,,
3:27.0,S. Hawes misses 3-pt shot from 25 ft,,64-67,,
3:26.0,,,64-67,,Defensive rebound by J. Noah
3:17.0,,,64-69,2,D. Rose makes 2-pt shot from 8 ft
2:57.0,N. Batum makes 2-pt shot from 12 ft,2,66-69,,
2:45.0,,,66-69,,N. Mirotic misses 3-pt shot from 24 ft
2:44.0,Defensive rebound by K. Walker,,66-69,,
2:34.0,Turnover by N. Batum (bad pass; steal by J. Butler),,66-69,,
2:34.0,Personal foul by N. Batum (drawn by J. Butler),,66-69,,
2:34.0,,,66-69,,Chicago full timeout
2:34.0,,,66-69,,T. Gibson enters the game for N. Mirotic
2:34.0,,,66-69,,K. Hinrich enters the game for D. Rose
2:34.0,,,66-70,1,J. Butler makes free throw 1 of 2
2:34.0,,,66-71,1,J. Butler makes free throw 2 of 2
2:11.0,K. Walker makes 3-pt shot from 25 ft,3,69-71,,
1:53.0,,,69-71,,D. McDermott misses 3-pt shot from 26 ft
1:53.0,,,69-71,,Offensive rebound by J. Noah
1:53.0,Personal foul by J. Lin (drawn by J. Noah),,69-71,,
1:53.0,,,69-72,1,J. Noah makes free throw 1 of 2
1:53.0,J. Lamb enters the game for N. Batum,,69-72,,
1:53.0,,,69-73,1,J. Noah makes free throw 2 of 2
1:36.0,Shooting foul by J. Noah (drawn by S. Hawes),,69-73,,
1:36.0,S. Hawes misses free throw 1 of 2,,69-73,,
1:36.0,Offensive rebound by Team,,69-73,,
1:36.0,S. Hawes makes free throw 2 of 2,1,70-73,,
1:27.0,,,70-73,,Turnover by D. McDermott (bad pass; steal by K. Walker)
1:16.0,J. Lin misses 3-pt shot from 24 ft,,70-73,,
1:16.0,Offensive rebound by Team,,70-73,,
1:14.0,Turnover by S. Hawes (bad pass; steal by K. Hinrich),,70-73,,
1:07.0,,,70-73,,K. Hinrich misses 2-pt shot from 2 ft
1:06.0,Defensive rebound by F. Kaminsky,,70-73,,
1:00.0,Turnover by K. Walker (lost ball; steal by T. Gibson),,70-73,,
0:55.0,,,70-75,2,K. Hinrich makes 2-pt shot from 22 ft (assist by T. Gibson)
0:42.0,F. Kaminsky misses 3-pt shot from 26 ft,,70-75,,
0:40.0,,,70-75,,Defensive rebound by J. Noah
0:18.0,,,70-75,,Turnover by K. Hinrich (lost ball; steal by J. Lin)
0:12.0,J. Lin misses 2-pt shot from 1 ft,,70-75,,
0:12.0,Offensive rebound by J. Lin,,70-75,,
0:12.0,,,70-75,,Personal foul by J. Butler (drawn by J. Lin)
0:12.0,J. Lin makes free throw 1 of 2,1,71-75,,
0:12.0,,,71-75,,N. Mirotic enters the game for T. Gibson
0:12.0,P. Hairston enters the game for K. Walker,,71-75,,
0:12.0,M. Williams enters the game for F. Kaminsky,,71-75,,
0:12.0,J. Lin makes free throw 2 of 2,1,72-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,72-75,,Turnover by T. Gibson (traveling)
11:26.0,M. Williams misses 3-pt shot from 25 ft,,72-75,,
11:25.0,,,72-75,,Defensive rebound by J. Noah
11:01.0,,,72-77,2,T. Gibson makes 2-pt shot from 16 ft (assist by E. Moore)
10:45.0,J. Lamb misses 2-pt shot from 1 ft,,72-77,,
10:44.0,Offensive rebound by S. Hawes,,72-77,,
10:44.0,S. Hawes makes 2-pt shot from 1 ft,2,74-77,,
10:26.0,,,74-79,2,D. McDermott makes 2-pt shot from 11 ft (assist by T. Gibson)
10:12.0,J. Lamb misses 3-pt shot from 24 ft,,74-79,,
10:11.0,,,74-79,,Defensive rebound by J. Noah
10:06.0,,,74-79,,Offensive foul by T. Gibson
10:06.0,,,74-79,,Turnover by T. Gibson (offensive foul)
9:53.0,K. Walker misses 2-pt shot from 2 ft,,74-79,,
9:52.0,Offensive rebound by K. Walker,,74-79,,
9:45.0,Shooting foul by D. McDermott (drawn by J. Lamb),,74-79,,
9:45.0,J. Lamb makes free throw 1 of 2,1,75-79,,
9:45.0,J. Lamb makes free throw 2 of 2,1,76-79,,
9:33.0,,,76-79,,K. Hinrich misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by J. Lin,,76-79,,
9:20.0,M. Williams misses 3-pt shot from 23 ft,,76-79,,
9:18.0,Offensive rebound by S. Hawes,,76-79,,
9:15.0,M. Williams misses 3-pt shot from 23 ft,,76-79,,
9:14.0,,,76-79,,Defensive rebound by J. Noah
9:06.0,,,76-79,,J. Noah misses 2-pt shot from 5 ft
9:03.0,,,76-79,,Offensive rebound by T. Gibson
8:42.0,,,76-79,,T. Gibson misses 2-pt shot from 9 ft
8:41.0,Defensive rebound by S. Hawes,,76-79,,
8:35.0,,,76-79,,Personal foul by K. Hinrich (drawn by K. Walker)
8:35.0,Charlotte full timeout,,76-79,,
8:35.0,,,76-79,,D. Rose enters the game for K. Hinrich
8:35.0,N. Batum enters the game for K. Walker,,76-79,,
8:26.0,S. Hawes makes 3-pt shot from 25 ft (assist by J. Lin),3,79-79,,
8:02.0,,,79-79,,E. Moore misses 2-pt shot from 2 ft
8:00.0,,,79-79,,Offensive rebound by E. Moore
7:57.0,,,79-82,3,D. McDermott makes 3-pt shot from 23 ft (assist by E. Moore)
7:43.0,J. Lin makes 2-pt shot from 22 ft,2,81-82,,
7:35.0,Personal foul by J. Lin (drawn by D. Rose),,81-82,,
7:35.0,C. Zeller enters the game for M. Williams,,81-82,,
7:35.0,,,81-82,,J. Butler enters the game for E. Moore
7:25.0,,,81-82,,D. Rose misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by N. Batum,,81-82,,
7:08.0,J. Lamb makes 2-pt shot from 2 ft (assist by C. Zeller),2,83-82,,
6:53.0,,,83-84,2,J. Butler makes 2-pt shot from 18 ft (assist by J. Noah)
6:31.0,N. Batum makes 3-pt shot from 25 ft (assist by S. Hawes),3,86-84,,
6:19.0,,,86-86,2,J. Butler makes 2-pt shot from 2 ft (assist by J. Noah)
6:19.0,,,86-86,,Shooting foul by S. Hawes (drawn by J. Butler)
6:19.0,,,86-86,,P. Gasol enters the game for J. Noah
6:19.0,,,86-86,,J. Butler misses free throw 1 of 1
6:18.0,Defensive rebound by C. Zeller,,86-86,,
6:06.0,J. Lamb makes 2-pt shot from 1 ft,2,88-86,,
5:45.0,,,88-86,,P. Gasol misses 2-pt shot from 16 ft
5:44.0,Defensive rebound by S. Hawes,,88-86,,
5:29.0,J. Lin misses 3-pt shot from 25 ft,,88-86,,
5:28.0,,,88-86,,Defensive rebound by D. Rose
5:18.0,,,88-88,2,P. Gasol makes 2-pt shot from 4 ft (assist by D. Rose)
5:00.0,N. Batum makes 3-pt shot from 24 ft (assist by S. Hawes),3,91-88,,
5:00.0,Shooting foul by T. Gibson (drawn by N. Batum),,91-88,,
5:00.0,,,91-88,,Chicago full timeout
5:00.0,M. Williams enters the game for J. Lin,,91-88,,
5:00.0,K. Walker enters the game for S. Hawes,,91-88,,
5:00.0,N. Batum misses free throw 1 of 1,,91-88,,
4:58.0,,,91-88,,Defensive rebound by J. Butler
4:43.0,,,91-88,,Shooting foul by M. Williams (drawn by J. Butler)
4:43.0,,,91-89,1,J. Butler makes free throw 1 of 3
4:43.0,,,91-90,1,J. Butler makes free throw 2 of 3
4:43.0,,,91-90,,N. Mirotic enters the game for T. Gibson
4:43.0,,,91-91,1,J. Butler makes free throw 3 of 3
4:28.0,N. Batum makes 3-pt shot from 24 ft (assist by K. Walker),3,94-91,,
4:08.0,,,94-91,,D. Rose misses 2-pt shot from 2 ft
4:08.0,,,94-91,,Offensive rebound by Team
4:08.0,Loose ball foul by K. Walker (drawn by P. Gasol),,94-91,,
3:53.0,,,94-91,,D. Rose misses 2-pt shot from 18 ft
3:52.0,Defensive rebound by N. Batum,,94-91,,
3:34.0,K. Walker misses 3-pt shot from 25 ft,,94-91,,
3:33.0,,,94-91,,Defensive rebound by P. Gasol
3:16.0,,,94-91,,P. Gasol misses 2-pt shot from 5 ft
3:15.0,Defensive rebound by N. Batum,,94-91,,
2:58.0,J. Lamb misses 2-pt shot from 2 ft (block by P. Gasol),,94-91,,
2:57.0,Offensive rebound by J. Lamb,,94-91,,
