time,Brooklyn,pts.away,score,pts.home,Miami
2:52.0,,,48-50,,D. Wade misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by T. Young,,48-50,,
2:39.0,Turnover by T. Young (step out of bounds),,48-50,,
2:39.0,Brooklyn full timeout,,48-50,,
2:39.0,B. Bogdanovic enters the game for M. Brown,,48-50,,
2:39.0,,,48-50,,J. Johnson enters the game for J. Winslow
2:21.0,,,48-50,,Turnover by D. Wade (lost ball; steal by S. Larkin)
2:15.0,S. Larkin misses 2-pt shot at rim,,48-50,,
2:14.0,,,48-50,,Defensive rebound by L. Deng
2:04.0,,,48-52,2,L. Deng makes 2-pt shot at rim (assist by D. Wade)
1:48.0,S. Karasev misses 2-pt shot from 15 ft,,48-52,,
1:47.0,,,48-52,,Defensive rebound by D. Wade
1:41.0,,,48-52,,J. Johnson misses 2-pt shot from 1 ft (block by T. Young)
1:40.0,Defensive rebound by B. Bogdanovic,,48-52,,
1:34.0,Turnover by S. Larkin (lost ball; steal by L. Deng),,48-52,,
1:31.0,,,48-54,2,D. Wade makes 2-pt shot at rim (assist by J. Richardson)
1:30.0,Brooklyn full timeout,,48-54,,
1:30.0,,,48-54,,A. Stoudemire enters the game for J. Richardson
1:30.0,,,48-54,,J. Winslow enters the game for H. Whiteside
1:18.0,B. Lopez makes 2-pt shot from 1 ft (assist by S. Larkin),2,50-54,,
1:02.0,,,50-54,,L. Deng misses 3-pt shot from 23 ft
1:01.0,Defensive rebound by S. Larkin,,50-54,,
0:55.0,B. Bogdanovic misses 2-pt shot from 13 ft (block by D. Wade),,50-54,,
0:54.0,Offensive rebound by B. Lopez,,50-54,,
0:52.0,B. Lopez makes 2-pt shot from 5 ft,2,52-54,,
0:39.0,,,52-54,,Shooting foul by T. Young (drawn by A. Stoudemire)
0:39.0,,,52-54,,A. Stoudemire misses free throw 1 of 2
0:39.0,,,52-54,,Offensive rebound by Team
0:39.0,,,52-55,1,A. Stoudemire makes free throw 2 of 2
0:29.0,B. Lopez misses 3-pt shot from 24 ft,,52-55,,
0:28.0,,,52-55,,Defensive rebound by J. Winslow
0:07.0,,,52-57,2,D. Wade makes 2-pt shot from 12 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,52-57,,Turnover by J. Johnson (lost ball; steal by S. Larkin)
11:23.0,T. Young makes 2-pt shot from 18 ft,2,54-57,,
11:00.0,,,54-57,,J. Richardson misses 2-pt shot from 20 ft
10:59.0,Defensive rebound by T. Young,,54-57,,
10:46.0,B. Bogdanovic misses 3-pt shot from 25 ft,,54-57,,
10:45.0,,,54-57,,Defensive rebound by L. Deng
10:34.0,,,54-57,,Turnover by A. Stoudemire (lost ball; steal by S. Larkin)
10:32.0,Shooting foul by D. Wade (drawn by S. Larkin),,54-57,,
10:32.0,S. Larkin makes free throw 1 of 2,1,55-57,,
10:32.0,S. Larkin makes free throw 2 of 2,1,56-57,,
10:18.0,,,56-59,2,A. Stoudemire makes 2-pt shot at rim (assist by D. Wade)
10:05.0,Turnover by S. Karasev (lost ball; steal by A. Stoudemire),,56-59,,
10:02.0,,,56-59,,Turnover by J. Johnson (lost ball)
9:59.0,,,56-59,,Personal foul by J. Johnson
9:45.0,B. Bogdanovic misses 2-pt shot from 11 ft,,56-59,,
9:44.0,,,56-59,,Defensive rebound by A. Stoudemire
9:29.0,,,56-59,,D. Wade misses 2-pt shot from 17 ft
9:28.0,Defensive rebound by S. Larkin,,56-59,,
9:12.0,Turnover by B. Lopez (lost ball; steal by A. Stoudemire),,56-59,,
8:55.0,,,56-59,,J. Richardson misses 2-pt shot from 5 ft
8:54.0,Defensive rebound by Team,,56-59,,
8:43.0,,,56-59,,Violation by A. Stoudemire (def goaltending)
8:43.0,T. Young makes 2-pt shot from 3 ft,2,58-59,,
8:22.0,,,58-59,,L. Deng misses 2-pt shot from 4 ft
8:21.0,,,58-59,,Offensive rebound by A. Stoudemire
8:17.0,,,58-61,2,D. Wade makes 2-pt shot from 9 ft
8:17.0,,,58-61,,Shooting foul by S. Karasev (drawn by D. Wade)
8:17.0,,,58-62,1,D. Wade makes free throw 1 of 1
8:07.0,Shooting foul by D. Wade (drawn by S. Karasev),,58-62,,
8:07.0,S. Karasev misses free throw 1 of 2,,58-62,,
8:07.0,Offensive rebound by Team,,58-62,,
8:07.0,S. Karasev makes free throw 2 of 2,1,59-62,,
7:52.0,,,59-64,2,D. Wade makes 2-pt shot from 3 ft
7:31.0,Turnover by S. Larkin (lost ball; steal by D. Wade),,59-64,,
7:20.0,,,59-66,2,D. Wade makes 2-pt shot from 22 ft
7:20.0,Brooklyn full timeout,,59-66,,
7:20.0,S. Kilpatrick enters the game for S. Karasev,,59-66,,
7:07.0,S. Larkin misses 2-pt shot from 9 ft,,59-66,,
7:06.0,,,59-66,,Defensive rebound by L. Deng
7:01.0,,,59-66,,D. Wade misses 2-pt shot from 6 ft
7:00.0,Defensive rebound by T. Young,,59-66,,
6:51.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by D. Wade),,59-66,,
6:50.0,Offensive rebound by Team,,59-66,,
6:35.0,B. Lopez makes 2-pt shot from 13 ft,2,61-66,,
6:13.0,,,61-66,,L. Deng misses 2-pt shot from 2 ft
6:12.0,Defensive rebound by T. Young,,61-66,,
5:59.0,T. Young makes 2-pt shot from 6 ft,2,63-66,,
5:53.0,,,63-66,,Miami full timeout
5:53.0,,,63-66,,J. Winslow enters the game for J. Johnson
5:53.0,,,63-66,,H. Whiteside enters the game for A. Stoudemire
