time,San Antonio,pts.away,score,pts.home,Cleveland
6:50.0,,,59-73,1,K. Irving makes free throw 1 of 2
6:50.0,,,59-74,1,K. Irving makes free throw 2 of 2
6:36.0,T. Parker makes 2-pt shot from 1 ft,2,61-74,,
6:21.0,,,61-74,,K. Love misses 2-pt shot from 4 ft
6:21.0,Defensive rebound by K. Leonard,,61-74,,
6:14.0,B. Diaw misses 2-pt shot from 2 ft,,61-74,,
6:13.0,,,61-74,,Defensive rebound by T. Thompson
6:12.0,Personal foul by T. Parker,,61-74,,
5:58.0,,,61-76,2,L. James makes 2-pt shot at rim
5:55.0,San Antonio full timeout,,61-76,,
5:39.0,M. Ginobili misses 3-pt shot from 26 ft,,61-76,,
5:39.0,,,61-76,,Defensive rebound by L. James
5:32.0,,,61-76,,L. James misses 2-pt shot from 2 ft
5:31.0,Defensive rebound by B. Diaw,,61-76,,
5:21.0,B. Diaw makes 2-pt shot from 5 ft,2,63-76,,
5:21.0,Shooting foul by T. Thompson (drawn by B. Diaw),,63-76,,
5:21.0,B. Diaw makes free throw 1 of 1,1,64-76,,
5:00.0,,,64-76,,J. Smith misses 2-pt shot from 15 ft
5:00.0,,,64-76,,Offensive rebound by Team
5:00.0,Loose ball foul by M. Ginobili,,64-76,,
4:47.0,,,64-76,,Turnover by T. Thompson (3 sec)
4:29.0,K. Leonard makes 2-pt shot from 6 ft,2,66-76,,
4:16.0,,,66-76,,L. James misses 3-pt shot from 24 ft
4:15.0,,,66-76,,Offensive rebound by K. Love
4:10.0,,,66-78,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
3:56.0,M. Ginobili misses 2-pt shot from 1 ft,,66-78,,
3:55.0,,,66-78,,Defensive rebound by T. Thompson
3:48.0,,,66-81,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
3:32.0,Shooting foul by K. Love (drawn by L. Aldridge),,66-81,,
3:32.0,L. Aldridge makes free throw 1 of 2,1,67-81,,
3:32.0,,,67-81,,I. Shumpert enters the game for K. Love
3:32.0,,,67-81,,M. Dellavedova enters the game for K. Irving
3:32.0,P. Mills enters the game for T. Parker,,67-81,,
3:32.0,L. Aldridge misses free throw 2 of 2,,67-81,,
3:30.0,,,67-81,,Defensive rebound by I. Shumpert
3:06.0,,,67-84,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by L. James)
3:02.0,,,67-84,,Personal foul by J. Smith
2:54.0,Shooting foul by L. James (drawn by K. Leonard),,67-84,,
2:54.0,K. Leonard makes free throw 1 of 2,1,68-84,,
2:54.0,K. Leonard makes free throw 2 of 2,1,69-84,,
2:44.0,,,69-86,2,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova)
2:29.0,M. Ginobili misses 2-pt shot from 10 ft (block by T. Thompson),,69-86,,
2:28.0,,,69-86,,Defensive rebound by T. Thompson
2:23.0,,,69-88,2,L. James makes 2-pt shot from 1 ft
2:05.0,Shooting foul by I. Shumpert (drawn by K. Leonard),,69-88,,
2:05.0,K. Leonard makes free throw 1 of 2,1,70-88,,
2:05.0,K. Leonard makes free throw 2 of 2,1,71-88,,
1:43.0,,,71-88,,Turnover by L. James (lost ball; steal by M. Ginobili)
1:38.0,M. Ginobili misses 2-pt shot from 1 ft (block by L. James),,71-88,,
1:38.0,,,71-88,,Defensive rebound by M. Dellavedova
1:30.0,,,71-88,,Cleveland full timeout
1:30.0,K. Anderson enters the game for B. Diaw,,71-88,,
1:12.0,,,71-88,,I. Shumpert misses 3-pt shot from 22 ft
1:11.0,Defensive rebound by M. Ginobili,,71-88,,
1:04.0,K. Anderson misses 2-pt shot from 6 ft,,71-88,,
1:02.0,Offensive rebound by K. Anderson,,71-88,,
0:59.0,M. Ginobili makes 3-pt shot from 24 ft (assist by K. Anderson),3,74-88,,
0:39.0,,,74-90,2,L. James makes 2-pt shot from 11 ft
0:28.0,K. Leonard makes 2-pt shot from 14 ft,2,76-90,,
0:06.0,Personal foul by P. Mills,,76-90,,
0:06.0,,,76-91,1,L. James makes free throw 1 of 2
0:06.0,,,76-91,,R. Jefferson enters the game for J. Smith
0:06.0,,,76-92,1,L. James makes free throw 2 of 2
0:00.0,K. Anderson misses 2-pt shot from 9 ft,,76-92,,
0:00.0,Offensive rebound by Team,,76-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,76-94,2,K. Irving makes 2-pt shot from 13 ft
11:33.0,,,76-94,,Personal foul by K. Irving
11:19.0,K. Anderson makes 2-pt shot from 15 ft,2,78-94,,
11:05.0,Violation by D. West (kicked ball),,78-94,,
11:01.0,,,78-94,,Turnover by K. Love (lost ball; steal by K. Anderson)
11:00.0,,,78-94,,Personal foul by M. Dellavedova
10:51.0,K. Anderson makes 2-pt shot at rim,2,80-94,,
10:42.0,Personal foul by J. Simmons,,80-94,,
10:42.0,,,80-94,,R. Jefferson enters the game for T. Thompson
10:36.0,,,80-94,,Turnover by M. Dellavedova (bad pass)
10:19.0,K. Anderson misses 2-pt shot from 12 ft,,80-94,,
10:17.0,,,80-94,,Defensive rebound by M. Dellavedova
9:54.0,,,80-94,,Turnover by Team (shot clock)
9:32.0,D. West makes 2-pt shot from 2 ft (assist by D. Green),2,82-94,,
9:07.0,,,82-94,,R. Jefferson misses 2-pt shot from 17 ft
9:07.0,Defensive rebound by K. Anderson,,82-94,,
9:01.0,D. Green misses 3-pt shot from 25 ft,,82-94,,
9:01.0,,,82-94,,Defensive rebound by K. Love
8:43.0,,,82-96,2,K. Irving makes 2-pt shot from 5 ft
8:24.0,D. West makes 2-pt shot from 1 ft (assist by K. Anderson),2,84-96,,
8:00.0,,,84-98,2,K. Irving makes 2-pt shot from 1 ft
8:00.0,,,84-98,,Shooting foul by D. West (drawn by K. Irving)
8:00.0,Official timeout,,84-98,,
8:00.0,,,84-98,,T. Thompson enters the game for K. Love
8:00.0,L. Aldridge enters the game for D. West,,84-98,,
8:00.0,,,84-98,,K. Irving misses free throw 1 of 1
7:59.0,Defensive rebound by L. Aldridge,,84-98,,
7:45.0,P. Mills misses 3-pt shot from 25 ft,,84-98,,
7:45.0,,,84-98,,Defensive rebound by R. Jefferson
7:40.0,,,84-98,,K. Irving misses 2-pt shot from 4 ft (block by K. Anderson)
7:40.0,,,84-98,,Offensive rebound by K. Irving
7:39.0,,,84-101,3,M. Dellavedova makes 3-pt shot from 23 ft (assist by K. Irving)
7:15.0,J. Simmons makes 2-pt shot at rim,2,86-101,,
6:57.0,,,86-103,2,M. Dellavedova makes 2-pt shot from 7 ft
6:47.0,D. Green makes 3-pt shot from 25 ft (assist by P. Mills),3,89-103,,
6:24.0,,,89-105,2,K. Irving makes 2-pt shot from 5 ft
6:16.0,,,89-105,,Personal foul by I. Shumpert
6:16.0,,,89-105,,L. James enters the game for R. Jefferson
6:16.0,K. Leonard enters the game for K. Anderson,,89-105,,
6:04.0,J. Simmons makes 2-pt shot from 6 ft (assist by K. Leonard),2,91-105,,
5:48.0,,,91-107,2,K. Irving makes 2-pt shot from 1 ft (assist by T. Thompson)
5:38.0,K. Leonard misses 3-pt shot from 25 ft,,91-107,,
5:37.0,,,91-107,,Defensive rebound by I. Shumpert
5:23.0,,,91-110,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by I. Shumpert)
5:08.0,P. Mills makes 2-pt shot from 1 ft,2,93-110,,
5:00.0,Violation by L. Aldridge (kicked ball),,93-110,,
5:00.0,,,93-110,,Cleveland full timeout
4:50.0,,,93-110,,Turnover by L. James (lost ball)
4:43.0,Turnover by P. Mills (lost ball; steal by L. James),,93-110,,
4:41.0,,,93-112,2,L. James makes 2-pt shot from 1 ft
4:41.0,,,93-112,,Shooting foul by P. Mills (drawn by L. James)
4:41.0,,,93-113,1,L. James makes free throw 1 of 1
4:20.0,L. Aldridge makes 2-pt shot from 12 ft (assist by J. Simmons),2,95-113,,
4:02.0,,,95-113,,M. Dellavedova misses 3-pt shot from 22 ft
4:01.0,,,95-113,,Offensive rebound by T. Thompson
3:47.0,,,95-113,,I. Shumpert misses 3-pt shot from 24 ft
3:47.0,,,95-113,,Offensive rebound by L. James
3:38.0,Personal foul by P. Mills,,95-113,,
3:28.0,,,95-115,2,M. Dellavedova makes 2-pt shot from 8 ft
3:18.0,K. Leonard makes 3-pt shot from 25 ft,3,98-115,,
2:53.0,,,98-115,,K. Irving misses 2-pt shot from 4 ft
2:52.0,Defensive rebound by D. Green,,98-115,,
2:49.0,K. Leonard misses 3-pt shot from 25 ft,,98-115,,
2:49.0,,,98-115,,Defensive rebound by Team
2:49.0,San Antonio full timeout,,98-115,,
2:49.0,R. Butler enters the game for K. Leonard,,98-115,,
2:49.0,K. Anderson enters the game for L. Aldridge,,98-115,,
2:49.0,B. Marjanovic enters the game for D. Green,,98-115,,
2:49.0,M. Bonner enters the game for P. Mills,,98-115,,
2:25.0,,,98-117,2,L. James makes 2-pt shot from 21 ft
2:12.0,,,98-117,,Personal foul by K. Irving
2:12.0,,,98-117,,T. Mozgov enters the game for L. James
2:12.0,,,98-117,,J. Cunningham enters the game for T. Thompson
2:12.0,,,98-117,,R. Jefferson enters the game for K. Irving
2:06.0,J. Simmons misses 2-pt shot from 17 ft,,98-117,,
2:04.0,,,98-117,,Defensive rebound by M. Dellavedova
1:42.0,,,98-117,,J. Cunningham misses 3-pt shot from 24 ft
1:41.0,,,98-117,,Offensive rebound by T. Mozgov
1:37.0,,,98-117,,T. Mozgov misses 2-pt shot from 1 ft
1:32.0,Defensive rebound by B. Marjanovic,,98-117,,
1:22.0,B. Marjanovic misses 2-pt shot from 1 ft,,98-117,,
1:22.0,Offensive rebound by B. Marjanovic,,98-117,,
1:22.0,,,98-117,,Personal foul by T. Mozgov
1:22.0,B. Marjanovic makes free throw 1 of 2,1,99-117,,
1:22.0,B. Marjanovic misses free throw 2 of 2,,99-117,,
1:21.0,,,99-117,,Defensive rebound by T. Mozgov
1:12.0,,,99-117,,Offensive foul by T. Mozgov
1:12.0,,,99-117,,Turnover by T. Mozgov (offensive foul)
0:48.0,K. Anderson makes 2-pt shot from 15 ft (assist by B. Marjanovic),2,101-117,,
0:29.0,,,101-117,,M. Dellavedova misses 2-pt shot from 15 ft
0:28.0,Defensive rebound by J. Simmons,,101-117,,
0:20.0,J. Simmons makes 2-pt shot from 2 ft,2,103-117,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
